@English@|@Telugu@
@why do you drive the car?@|@neevu car endhuku nadipaavu?@
@wife@|@bharya, pendlämu@
@wild boar@|@ontikãdu@
@will come@|@vasthaanu@
@will open@|@therusthaadu@
@will you come with me?@|@neevu ikkadiki vasthaava?@
@win@|@gelavatam@
@window@|@gaväksi, kitikï@
@wine@|@dräksämadyamu, dräksapullakallu, kallu@
@wing@|@bhägamu, pakka, paksamu, rekka@
@winter@|@chalikãlamu, sïtakälamu@
@wolf@|@tödëlu, vrkamu@
@woman@|@ãdadi, ãdamanisi, padati, padati, padati, padatuka, padatuka, paidali, strï@
@wood@|@adivi, aranyamu, vanamu@
@wool@|@bochchu, ürnamu@
@word@|@mäta, šabdamu@
@work@|@pani@
@workshop@|@pattada@
@world@|@bhümi@
@worm@|@krimi kïtamu, purugu@
@year@|@ëdãdi, ëdu, samvatsaramu@
@yellow@|@pacca, pasimidi@
@yellow colour@|@pasimi@
@yellowish colour@|@pasupu@
@yes@|@avunu, sare@
@yes; of course@|@sare; thappakunda@
@yesterday@|@ninna@
@you@|@meeru, nuvvu, nuwu@
@young@|@chinna, lëta, paši@
@your@|@needi@
@you're welcome@|@meku swagatham@

