@English@|@Cheyenne@
@chicken (sub dialectical variant)@|@kokêhéáxa (na)@
@chicken coop@|@kokôhéaxáemâhëö'o (ni)@
@chicken hawks@|@óestómêheo'o (na pl)@
@chicken pox: have ~@|@kokôhéaxáehoéseotse (vai)@
@chicken: he's a ~@|@éóvahe (vai)@
@chicken: little ~@|@kokôhéaxaëso (na dim)@
@chicken: prairie ~@|@vá'ôhéáse (na)@
@chickens@|@kokôhéáxáne (na pl)@
@chief@|@vého (na), véhon- (i), véhoname (na poss), véhone- (pv)@
@Chief Appearing@|@Véhonemé'éhnêstse (pn)@
@Chief Child@|@Ka'êškóne Ôhvéhonevêstse (pn)@
@chief child (child of a chiefs family)@|@véhoneka'êškóne (na)@
@chief cook@|@véhonêhomôséhe (na)@
@Chief Kills@|@Na'hanévého (pn)@
@Chief Kills Woman@|@Véhonena'hané'e (pn)@
@Chief Soldiers@|@Véhonenótâxeo'o (na pl)@
@chief song@|@véhonenoo'ôtse (ni)@
@chief songs@|@véhonenootôtse (ni pl)@
@Chief Young Wolf@|@Véhonemónáhtsêstse (pn)@
@chief: be a ~@|@véhoneve (vai)@
@chief: be the ~@|@he-véhonetâhéstove (vai)@
@chief: have a ~@|@he-véhonamé (?) (vai)@
@chief: have SB as ~@|@he-véhonamé'tov (vta ai+o)@
@chief: he is the ~@|@évéhoneve (vai)@
@chief: his ~@|@hevéhonamo (na poss)@
@chief: look like a ~@|@véhonátamaahe (vai)@
@chief: my ~@|@navéhoname (na poss)@
@chief: regard SB as a ~@|@véhonoem (vta)@
@chief: sit as ~@|@véhonoo'e (vai)@
@chief: the one who is ~@|@tsévéhonevêstse (na)@
@chief: want to be a ~@|@véhonévétanó (vai)@
@chiefs@|@véhoo'o (na pl)@
@chief's lodge@|@véhoneome (ni)@
@chiefs: the ones who are ~@|@tsévéhonevese  (na pl)@
@chieftainship: have the ~@|@he-véhonetâhéstove (vai)@
@child@|@ka'êškone (na), néso (na poss)@
@child (poss.)@|@ka'êškónêhame (na poss), nésón (na poss)@
@child in law: have SB as a ~@|@he-véxahé'tov (vta ai+o)@
@child: act like a ~@|@ka'êškónémáne (vai)@
@child: eldest ~@|@ná'tomóehnohtsêstse (na nom)@
@child: first ~@|@ná'tomóehnohtsêstse (na nom)@
@child: first ~ (variant)@|@nó'tomóehnohtsêstse (na)@
@child: have a ~@|@heka'êškónêháme (vai), henésone (vai)@
@child: have SB as ~@|@heka'êškónêhamé'tov(vta ai+o)@
@child: have SB as a ~@|@he-nésónêhé'tov (vta ai+o)@
@child: illegitimate ~@|@mé'anéka'êškóne (na)@
@child: little ~@|@ka'kóéso (na), ka'kóóhe (na), óvohe (fai)@
@child: my ~@|@nanéso (na poss pl)@
@child: oldest ~@|@ná'tomóehnohtsêstse (na nom)@
@child: oldest ~ (variant)@|@nó'tomóehnohtsêstse (na)@
@child: only ~@|@no'kóehnohtsêstse (na)@
@child: pretend to be a ~@|@ka'êškónémáne (vai)@
@child: treat SB as a ~@|@ka'êškóneveéh veeh? (vta)@
@child: youngest ~@|@énoehnohtsêstse (na)@
@child: youngest ~ (when a boy)@|@ma'kö'se (na)@
@child: youngest ~ (when a girl)@|@ma'ko'sá'e (na)@
@child-in-law@|@néše (voc), véxah (na poss)@
@child-in-law: your ~@|@éxahe (na poss)@
@childish@|@ka'êškónêstáhá (vai)@
@children@|@ka'êškóneho (na pl)@
@children!@|@ka'êškónêhasêstse (voc)@
@children: bear many ~@|@háestôhnóehné (vai)@
@children: bear two ~@|@nésóehné (vai)@
@children: have very many ~@|@vonêstôhnóehné (vai)@
@children: he has many ~@|@éháestôhnóéhne (vta)@
@children: her ~@|@henésono (na poss)@
@children: his ~@|@henésono (na poss)@
@children: his/her ~@|@henésono (na poss)@
@children: my ~@|@nanésoneho (na pl poss)@
@children: our  (exclusive) ~@|@nanésonêhaneo'o (na pl poss)@
@children: she has lots of ~@|@éháestôhnóéhne (vai)@
@children: the ~@|@néenéso (na pl)@
@children: their ~@|@henésonêhevóho (na poss)@
@children's drink@|@ka'êškónâšé'šestôtse (ni nom)@
@children's talk@|@ka'êškónêhevéeestsestôtse (ni)@
@chili@|@tséhá'haeéno'e (vii cj)@
@chilled: be ~@|@homóhtose (vai), tonôhtomóhtahe (vai)@
@chilled: be easily ~@|@ta'pose (vai)@
@chills down the spine: have ~@|@poatováotse (vai)@
@chills: have ~@|@ná'tsevo'ose (vai)@
@chin@|@htóo'oná (mbp), htsêstoo'o (ni poss)@
@chin: my ~@|@nâhtoo'o (ni poss)@
@Chinese person@|@Kêhaénéhe (na), Néma'ó'o'tonôhéhe (na)@
@chink@|@nêhpeaménené (vai)@
@chinking@|@peaménéó'o (ni)@
@chip@|@é'ôheon (ni)@
@chipmunk@|@néške'esta (na)@
@chipped (gap or hole from being chipped)@|@tovó'kó (vii)@
@chipped: be ~@|@tovó'keotse (vii)@
@choke@|@o'hohke (vai)@
@choke SB@|@nêhpotóman (vta)@
@choke SB (by hand)@|@he'kotan (vta)@
@choke while breathing@|@nêhpotómeotse (vai)@
@choke while drinking@|@o'hóhkâše'še (vai)@
@choke while eating@|@o'hóhke'haná (vai)@
@chokecherries@|@menôtse (ni pl)@
@chokecherry@|@mén (ni)@
@chokecherry branch@|@vénôhó'kôhtse (ni)@
@chokecherry branches (used in Sun Dance altar)@|@vénôhó'kóhtsêstse (ni pl)@
@chokecherry bush@|@ménó'e@
@chokecherry bush area@|@vénôho'kôhtšêše'e ? (ni pl)@
@choker@|@ho'ota (ni), vo'ota (ni poss)@
@choker: beaded ~@|@ôxa'ôhéonévo'ota (ni)@
@choker: my ~@|@navo'ota (ni poss)@
@choker: put on a ~@|@e'to'ótaná (vai)@
@chokers@|@ho'ótanôtse (ni pl)@
@chomp@|@kó'konósané (vai)@
@choose@|@hešetanó'tôsené (vai), mon- (i), mone- (pv)@
@choose a wife@|@moné'évá (vai)@
@choose blanket@|@monoomané (vai)@
@choose SB@|@he-neta'óseoné'tov (vta), moné'tov (vta ai+o), nêheta'ov (vta), netsem (vta)@
@choose SB for work@|@monotse'ónané'tov (vta)@
@choose shawl@|@monoomané (vai)@
@choose ST@|@mone (vti ai+o)@
@choose ST for SB@|@monétah (vta)@
@chop down SB"@|@ávoh(n) (vta)@
@chop off neck of SB@|@énotováh(n) (vta)@
@chop ST by tool@|@pénohá (vti)@
@chop the head of SB@|@é'enotovah(n) (vta)@
@chop up SB@|@oó'e'óneevo'oh(n) (vta)@
@chop wood@|@ó'xoemâhané (vai), oó'xoemâhané (vai)@
@chop wood for SB@|@ó'xoemâhaov (vta), oó'xoemâhaov (vta)@
@chopped down (of a tree)@|@é'e'ohe (vai)@
@chopped his neck off: he ~@|@éénotováhnóho (vta)@
@chopped wood@|@é'ôheon (ni)@
@chopped wood pieces@|@é'ôheonôtse (ni pl)@
@chopping firewood: he's ~@|@éoo'xoemâhane (vti)@
@chosen: be ~@|@monéstove (vii impers)@
@Christ (holy annointed one) (vai cj ppl)@|@Ma'heónêxo'éstaenêstse (vai)@
@Christian@|@e'óoestaáhe- (pv), e'óoestáe- (pv), ma'heónevé'ho'e (na)@
@Christian (lit Christian warrior society person)@|@e'óoestaáhenótaxe (na)@
@Christian person@|@e'óoestaáhevo'êstane (na)@
@Christian woman@|@ma'heónevé'ho'á'e (na)@
@Christians@|@e'óoestaáheo'o (na pl)@
@Christians (not commonly used)@|@ma'heóneane'emêseono (na)@
@Christmas@|@Hoésanestôtse (ni nom)@
@Christmas (variant)@|@Hoésenestôtse (ni nom)@
@Christmas: be ~@|@Tsé'ôhkêhoésanéstove (vii cj)@
@chrysanthemum: Chinese ~@|@hesó'xêho'enóse (na)@
@chubby feet: have ~@|@a'kêhahtá   (vai)@
@chum (male to male)@|@má'hahe (voc)@
@chum: my ~ (male to male)@|@nésema'háahe (na)@
@church (body) (lit Christian group)@|@e'óoestaáhemano'âhestôtse@
@church (lit Christian society)@|@e'óoestaáhenótâxévestôtse@
@church building@|@ma'heóneéestsemâheo'o (ni)@
@church building (prayer house)@|@háoenamâhëö'o (ni)@
@church grounds (lit holy place)@|@ma'heóneve'ho'éno (ni)@
@church property@|@ma'heóneve'ho'éno (ni)@
@Church: Native American ~@|@Mátâhéve'hanahtôtse@
@cicada (lit ripener)@|@éxâho'hóvahe (na)@
@cigarette@|@he'pohtôtse (na), nesta tšêhešema'eneo'o (na)@
@cigarette paper@|@tšêhešema'enenestôtse (ni)@
@cigarette paper (variant)@|@tšêhešema'eneo'o (ni)@
@cigarette papers (ni pl)@|@tšêhešema'enenéstotôtse@
@cigarette: light up a ~@|@ho'šeme'óoná (vai)@
@cigarettes@|@he'póhtoto (na pl), nesta tšêhešema'eneono (na pl)@
@cigarettes: smell of ~@|@he'póméá'ha (vii)@
@cinch@|@he'konôhtáeto'hamestôtse (ni), hóhtôhtaéseo'o (na)@
@cinch up SB@|@hóhtôhtaét (vta)@
@cinch up SB loosely@|@ho'tonóvôhtáet (vta)@
@cinch up SB tight@|@he'konôhtáet (vta)@
@cinched loosely: be ~@|@ho'tonóvôhtáehe (vai)@
@cinched: be ~@|@hóhtôhtaéhe (vai)@
@cinema@|@momóhtôxe'a'xémâhéó'o (ni)@
@circle@|@tsé-onéstáhko (vii cj)@
@circle (as a camp): be set in a ~@|@onéstâhko'honé'tá (vii)@
@Circle of Stars@|@tsého'hoonévoésenase (vai cj)@
@circle SB@|@néma'e'ov (vta)@
@circle while flying@|@néma'e'há (vai)@
@circle while going along@|@néma'o'eohtsé (vai)@
@circle: sit in a ~@|@néma'óneoe (vai)@
@circle: stand in ~@|@onéstâhkóneeóé (vai)@
@circle: stand in a ~@|@néma'óneeóé (vai)@
@circular@|@néma'-, néma'e- (i), néma'o'e- (pv), onéstahk- (i), onéstahk (p)@
@circular ground: be ~@|@tâhtanóma'o'e (vii)@
@circular: be ~@|@onéstâhkahe (vai), onéstahkó (vii)@
@circumcise SB (lit clean cut)@|@hóxe'as (vta)@
@cirrhosis of the liver (his liver is exhausted)@|@má'seohtsetse hestse'e (vai)@
@cities@|@mâhoéstotôtse (ni pl)@
@city@|@mâhoestôtse (ni), mâhoéve'ho'éno (ni loc)@
@claim@|@hotsévatanohtse (ni nom), htotsévatanohtôtse (ni poss)@
@claim: hold ~@|@hotsévátanó (vai)@
@claims money@|@hotsévama'kaeta (ni)@
@claims money (variant)@|@hotsévatanóma'kaeta (ni)@
@clam@|@hexövo (na)@
@clams@|@hexovono (na pl)@
@clang@|@kó'koévone (vii)@
@clap@|@po'poo'etšésestse (vai), poo'etšésestse (vai), poo'ôhené (vai)@
@clap (?)@|@pó'poetséseh (vta)@
@clap of thunder: be a ~@|@pónenené (vai)@
@clap repeatedly@|@pó'ponenené (vii)@
@class@|@óvahe (vá?) (fai), óvátó (va?) (fti)@
@claw@|@hkosé (mbp), hótâha'ó'sané (vai), hótâhenené (vai), htóohevó (na poss), osé (mbp)@
@claw SB@|@hótâha'ó'h (vta)@
@claw ST@|@hótâho'ó'tsé (vti)@
@claw ST/SB@|@hótâhon (hótâhan?) (vta)@
@clay@|@vóetséna'e (ni)@
@clay white paint (a Sun Dance paint)@|@vóetséna'e@
@clay: be red ~@|@ma'óma'ene (vii)@
@clean@|@hóxe', hóxe'anëne (vai)@
@clean face: have a ~@|@hóxe'éné (vai)@
@clean for SB@|@hóxe'anomev (vta ben)@
@clean SB@|@hóxe'a'ov (vta)@
@clean SB (keep SB clean)@|@hóxe'é'tov (vta)@
@clean SB quickly@|@hóxe'a'o'h (vta)@
@clean ST/SB@|@hóxe'an (vti)@
@clean water: be ~@|@hóxe'óome (vii)@
@clean: appear ~@|@hóxe'enóno'e (vii)@
@clean: he's ~@|@éhóxe'ahe (vai)@
@clean: it's ~@|@éhóxe'ó (vii)@
@clean: look ~@|@hóxe'enóno'e (vii)@
@clean: regard SB as ~@|@hóxe'átam (vta)@
@clean: urge SB to be ~@|@hóxe'évám (vta)@
@clean: want to be ~@|@hóxe'etanó (vai)@
@cleaners (vii cj) (lit clothes where cleaned)@|@hone'óonôtse tsé'ôhkêhóxe'ane@
@cleaning: he is ~@|@éhóxe'anëne (vai)@
@cleanly@|@hóxe'e- (pv)@
@clear@|@nanévesév- (i)@
@Clear Lake (near Bridgeport OK)@|@Nanévêsévoomemahpe (loc)@
@clear liquid: be ~@|@ohasévoome (vii)@
@clear space: be a ~ (esp in the brush)@|@véhpôsó'émátó (vii)@
@clear water: be ~@|@nanévêsévoome (vii)@
@clearly@|@táhtanoove- (pv)@
@clench@|@hahpêhe'oná'ó  (vai)@
@Clenched Fist@|@Hahpêhe'onáhe (pn)@
@clenched teeth@|@hahponenéotse (vai)@
@clerk: head ~@|@véhonôxe'êstónéhe (na)@
@clever: be ~@|@nonâháxêstónané ? (vai), oto'xovahe (vai)@
@cliff: be a ~@|@ó'xeanóeve (vii)@
@cliff: be a high ~@|@ó'hoésta (vii)@
@climax@|@nêhe'otse (vai)@
@climax: cause SB to ~@|@nêhe'oot (vta)@
@climb@|@voneohe (fai)@
@climb aboard@|@e'evonehné (vai)@
@climb ashore@|@onóvevonehné (vai)@
@climb down@|@anôhevonehné (vai)@
@climb down (variant)@|@anôhevoneohe (vai)@
@climb following SB in single file@|@hóto'evonêhót (vta)@
@climb on@|@e'evonehné (vai)@
@climb out of the water@|@onóvevonehné (vai)@
@climb up@|@e'evonehné (vai), e'evoneohe (vai)@
@cling (ex berry on a bush)@|@oe'tó (fai)@
@cling limp@|@á'kavoe'tó  (vai)@
@clinging (things): be very many ~@|@hoháo'oe'tó (vii)@
@clinic (lit medicine house)@|@heséeotsémâhéó'o (ni)@
@Clinton (OK)@|@Tséxhótôxáha (ni loc)@
@clippers: hair ~@|@oo'kóhtâxovahtôtse (ni)@
@clitoris@|@má'ko'seo'o (ni poss)@
@clitoris: her ~@|@hemá'ko'seo'o (ni poss)@
@clock@|@éše'hame (na poss)@
@clock: have a ~@|@heéše'hamé (vai)@
@clocks@|@kó'ko'êhaseono (na pl)@
@close@|@hohpo'a'hähtse (vti), hoón- (i), ka'eto (p), kahkêse (p), káse- (pv), nehp- (i), o'om- (pv)@
@close (one's own) mouth@|@hahpâhtsená'o (vai)@
@close (one's own) mouth (variant)@|@hahpâhtsenáotse (vai)@
@close against: be ~@|@ho'xó'ó'ta (vii)@
@close hand@|@hahpêhe'oná'ó  (vai)@
@close in age child@|@ménotó'kêhéso (na)@
@close in age person@|@ménótó'e (na)@
@close it (the door)!@|@hoónôtse! (voc)@
@close SB by tool (lock SB up)@|@nêhpo'oh(n) (vta)@
@close ST@|@hoón (vti), nêhpo'an (vti)@
@close ST (esp a door or gate)@|@hoó'o'tsé (vti)@
@close ST by mouth@|@nêhpóhtá (vti)@
@close ST forcefully@|@hoo'hahtsé (vti)@
@close to SB: be ~@|@pâhonoe'tov (vta)@
@close to ST@|@háestôhnóváto (vti)@
@close to: set ~@|@pâhono'tá (vai)@
@close together@|@hahpan (vta)@
@close: be ~@|@kásó (vii)@
@close: come ~@|@káhaneöhtse (vai)@
@closed@|@nêhpa'éehe (vai)@
@closed (physically): be ~@|@hoó'tá (vii)@
@closer@|@hó'hóma (p)@
@closer: go ~@|@háhanehné (vai)@
@closet: clothes ~@|@hone'óonôtse tsé'ôhkêhoéseme@
@clot: blood ~@|@moméhevôhtse@
@cloth@|@koešé'hóno (na), koešé'honono (na pl)@
@cloth: bits and pieces of ~@|@pé'hešé'honono (na pl)@
@cloth: pieces of white ~@|@vó'komêšé'honono@
@cloth: thin ~@|@kâhkoešé'hóno (na)@
@cloth: white ~@|@vó'komê-šé'hóno (na), vó'komêšé'hóno@
@clothe SB@|@hone'ó'seh (vta), hone'ónaov (vta)@
@clothed well: be ~@|@pêhévone'one (vai)@
@clothed with: be ~@|@hone'ó'tov (vta), hone'ov (vta)@
@clothes dryer@|@ó'a'haseo'o (ni)@
@clothes dryer (variant)@|@ó'a'hasenestôtse (ni), ó'a'hesenestôtse (ni)@
@clothes: Cheyenne ~@|@tsêhésêhone'óonôtse (ni pl)@
@clothes: wear new ~@|@mónêsané (vai)@
@clothesline@|@ó'óéséó'o, ó'óéséó'o (ni)@
@clothing: article of ~@|@hone'oo'o (ni)@
@clothing: articles of ~@|@hone'óono (ni pl)@
@clothing: piece of ~@|@hone'oo'o (ni), htone'oo'o (ni poss)@
@clothing: pieces of ~@|@hone'óono (ni pl)@
@clothing: traditional pieces of ~@|@nésta'omeéhone'óonôtse (ni pl)@
@cloud@|@vo'e@
@Cloud Chief@|@Vo'évého (pn)@
@cloudy and hot: be ~@|@hovéo'áehö'ta (vii), vo'évaeho'tá (vii)@
@cloudy: be ~@|@vo'eve (vii)@
@cloudy: become ~@|@vo'évéóhtse (vii)@
@clown@|@háaenóvetane (na), méstaévêsanéhe (na)@
@clowns@|@háenóvetaneo'o (na pl)@
@club@|@tamôheo'o (na)@
@club (obsolescing)@|@tôhoo'o (ni)@
@club: choose a (to defend oneself)@|@monooxané (vai)@
@clubbed him: he ~@|@éáhanôhnóho (vta)@
@clubfoot@|@a'kêhahtáhe (na)@
@clubs@|@tamôheono (na pl), tséháto'kôxe'ohe  (vii cj)@
@clumsy@|@hoó'sotahe (vai)@
@clumsy: he's ~@|@éhoó'êspahe (vai)@
@clutch ST@|@hóéstse (vti)@
@Clydesdales@|@tsémomé'šêhahtase (na pl)@
@co in law@|@htováme (na poss)@
@co wife@|@veo'o (na poss)@
@coal@|@ho'ose (ni)@
@coal man@|@ho'ósevé'ho'e (na)@
@coal: be ~@|@ho'óseve (vii)@
@coals die down@|@énôse'êstovoo'e (vii)@
@coals: there are hot ~@|@éénôse'êstovoo'e (vii)@
@coarse hair: have ~@|@hohpó'hovésé (vai)@
@coarse material@|@heškóvêšé'hóno (na)@
@coarse person@|@hé'heetovánovetanó (na)@
@coat@|@éstse'he (na)@
@coat (lit thick shirt)@|@tónoveéstse'he (na)@
@coat (of sheepskin)@|@kôsáeéstse'he (na)@
@coat (variant)@|@éstse'hen (na)@
@coat: fur ~@|@mé'šeéstse'he@
@coat: long ~@|@táho'keéstse'he (na)@
@coat: long ~ (neologism)@|@tsêhe'êseéstse'he (na)@
@coat: put on a ~@|@e'seéstse'hená (vai)@
@coat: rain ~@|@hoo'kôheéstse'he (na)@
@coat: sheepskin ~@|@kôsáeéstse'he (na)@
@coat: top ~@|@táho'keéstse'he (na)@
@coat: top ~ (variant)@|@táho'ke-éstse'he (na)@
@coat: warm ~@|@éxoveéstse'he (na)@
@coat: wear a warm ~@|@éxoveéstse'hená (vai)@
@coated@|@éstse'hená (fai)@
@coats@|@éstse'heno (na pl)@
@coax@|@éšenot (vta)@
@coax SB@|@éšenôxévaen (vta), oéšenot (vta)@
@coaxed him: he ~@|@ééšenôxévaenóho (vta)@
@cobbler@|@mo'kêhananéhe (na)@
@cobra@|@a'kêstséašé'šenovôtse (na)@
@coccyx@|@vóse'êsestôtse (ni)@
@cocklebur@|@háhnovâhéšé'e (ni)@
@cocklebur patch@|@háhnovâhéšé'e (ni)@
@cocklebur patch (variant)@|@háhnóváso (ni)@
@cockleburrs@|@ma'kêháhnóváso (na pl)@
@coffee@|@mo'kôhtávêhohpe coffee, mo'ôhtávêhohpe (ni)@
@coffee beans@|@mâhtao'kemenôtse (ni pl)@
@coffee grounds@|@mâhtao'kemenôtse (ni pl)@
@coffee pot@|@éškôsetoo'o (ni), mo'ôhtávâhá'éó'o (ni)@
@coffee pot (variant)@|@éškôsévetoo'o (ni)@
@coffin@|@vé'hoestôtse (ni nom), vé'hoestôtse (ni)@
@coffins@|@vé'hoéstotôtse (ni pl)@
@cogitate@|@oo'hetanó (vai)@
@coiled: lie ~@|@onéstaema'eše(na) (vai)@
@coin@|@onéstâhké-ma'kaeta (ni), onéstâhkéma'kaeta@
@coin purse@|@ma'kaetaéve'ho'seško (ni)@
@coinlaw: his ~@|@hestovamo (na poss)@
@coins@|@ma'kaatánêstse (ni pl), ma'kaatänêstse (ni pl), onéstâhkéma'kaatánêstse(ni pl)@
@cold@|@ose (fai), to(n) (p)@
@cold (weather): it's ~@|@étonéto (vii)@
@cold belly: have a ~@|@tonohtá (vai)@
@cold drink@|@toóomâšé'šestôtse (ni nom)@
@cold ears@|@ná'tôse'êstávose (vai)@
@cold face@|@toéné (vai)@
@cold feet@|@ná'tôsêhahtávose (vai)@
@cold feet: have ~@|@ná'tsêhahtávose (vai), toehahtá (vai), toehahtáohtsé (vai)@
@cold get to one: have the ~@|@homóhtose (vai)@
@cold hand: have ~@|@toehe'oná (vai)@
@cold hands: have ~@|@ná'tôsêhe'onávose (vai)@
@cold head: have a ~@|@toestséá'e (vai)@
@cold in the mouth: make ST ~@|@tonóhtá (vti)@
@cold in the room: be ~@|@toene'ho'tá (vai)@
@cold inside: be ~ (ex a room)@|@tonôseoméo'e (vii)@
@cold leg: have a ~@|@toeškóhtá (vai)@
@cold nose: have a ~@|@toeesé (vai)@
@cold water: be ~@|@toóome (vii)@
@cold: accustomed to ~@|@héose (vai)@
@cold: all ~@|@mâhose (vai)@
@cold: be ~ (of the weather)@|@tonétó (vii)@
@cold: be popping ~@|@pónohtá (vii)@
@cold: be very ~@|@vé'ôhkemenoo'e (vii)@
@cold: become ~@|@tonétóohtsé (vii)@
@cold: get a ~@|@he'haeotse  (vai)@
@cold: have a ~@|@he'haa'e (vai), he'haévomóhtahe (vai)@
@cold: it's not ~@|@ésáatonétôhane (vii)@
@cold: lie ~@|@toeše (vai)@
@cold: sit ~@|@tonôhtoo'e (vai)@
@cold: turn ~@|@tonétóohtsé (vii)@
@cold: used to ~@|@héose (vai)@
@cold: very ~ (popping berry)@|@kóemenóo'e (vii)@
@collaborate with SB@|@vésta'êstsém (vta)@
@collapsed from crying: he ~@|@éáhana'xäne (vai)@
@collarbone@|@mée'e@
@collarbone: fall and break ~@|@é'eméenáxe (vai)@
@collars (for horses)@|@ho'ótano'haméstotôtse (ni pl)@
@collide with ST@|@hótôhtan (vti)@
@color@|@hahen- (i), hahénôhéné (vai), hahénôhenestôtse (ni), hohtâhéné (vti ai+o), hohtâhénestôtse (ni nom)@
@color ST yellow@|@heóvêhahénohá (vti)@
@colored from heat (or sun): how ~@|@tónetôhtâho'tá (vii)@
@colored: be so ~@|@hetôhtâheve (vii rr)@
@colors@|@hahénôhonéstotôtse (ni pl)@
@colossal (lit lose count size)@|@vonao'ó (vii)@
@colossal in size: it's ~@|@évonaö'o (vii)@
@Colstrip (lit coalriver) MT@|@Ho'óseo'hé'e (pn loc)@
@colt@|@mo'éhno'hameson  (na), mo'kéhno'hamëso (na)@
@coma: be in a ~@|@tó'ovánehe (vai)@
@Comanche@|@Šé'šenovotsétane (na)@
@Comanches (lit snake people)@|@Šé'šenovotsétaneo'o (na)@
@comb@|@pénovésêhestôtse (ni), tseene'éheo'o (na), tseene'éheono (obv)@
@comb hair@|@hóxe'tséene'ehe (vai), pénovésehe (vai), tseene'ehe (vai)@
@comb hair of SB@|@hóxe'tséene'eh(n) (vta), pénovéseh(n) (vta)@
@comb SBs hair@|@tseene'éh(n) (vta)@
@comb your hair!@|@pénovéseestse! (voc)@
@combs@|@pénovésêhestoto (na pl), tseene'éheono (na pl)@
@come@|@ho'- (i), ho'eohe (vai), ho'ohtsé (vai)@
@come after SB@|@nó'otseh (vta)@
@come after ST to pack on the back@|@nóhto'xe (vti)@
@come apart@|@vó'hoveotse (vii)@
@come ashore@|@onóhné (vai)@
@come back together@|@évamámôheveohtseo'o (vai)@
@come close@|@káhaneohe (vai), káhaneöhtse (vai)@
@come down@|@aneohtsé (vai)@
@come eat!@|@hémêseestse! (voc)@
@come eat! (pl addressee)@|@hémêsehe (voc)@
@come from (there)@|@héstoehnétó (vii)@
@come from there@|@hé'óhtse (vai)@
@come here@|@tsêhe'oohe (vai)@
@come here quickly!@|@néstsêhe'ooestse! (voc)@
@come here!@|@nenáasêstse! (voc)@
@come here! (pl addressee)@|@nenáase! (voc)@
@come in@|@éstséhne (vai)@
@come in quickly@|@ésto'eoesta'xe (vai)@
@come in quickly!@|@ésta'xêstse! (voc), ne'ésta'xe! (voc)@
@come in to SB@|@ésêhót (vta)@
@come in!@|@éstséhnêstse! (voc), né'éstséhnêstse! (voc)@
@come into@|@ésto'ehné (vai), éstseov (vta)@
@come into being@|@hesta (vai)@
@come near SB@|@nóhtsêhót (vta)@
@come out@|@hóa'ha (há?) (vii)@
@come out from@|@onóohtsé (vai)@
@come to (senses)@|@hóvahëše (vai)@
@come to life@|@homôheotse (vai)@
@come to pass@|@hesóotse (vii), nonáhe-tsêhesó ?? (vii)@
@come to rest@|@hosótomeotse (vai)@
@come to SB@|@ho'êhót (vta), ho'eohé'tov (vta), ho'eohtsé'tov (vta)@
@come to ST@|@ho'êhóhtá (vti), ho'eohé'tá (vti)@
@come to want (ST)@|@ho'âhéotse (vti ai+o)@
@come together: all ~@|@mâheohtsé (vai)@
@come toward SB@|@nó'ôhtsé'tov (vta)@
@come walking with game@|@ho'o'xéohtsé (vai)@
@comely: be ~@|@pêhévoomêso'he (vai)@
@comfort@|@vovóešemêstáhánová (vai)@
@comfort SB@|@vovóešem (vta), vovóešemêstáhán (vta)@
@coming from behind the clouds: it's (sun/moon) ~@|@ééšeévâhóooése éše'he (vii)@
@coming out of a drunken stupor: he's ~@|@émóneévamésééše (vai)@
@command SB@|@ho'emaot (vta), néenáh(n) (fta)@
@command SB (variant)@|@ho'emaov (vta)@
@command SB to go out@|@hóeneenáh(n) (vta)@
@command SB: thus ~@|@heto'emáov (vta rr)@
@command: thus ~@|@heto'emané (vai rr)@
@commemoration: be a ~@|@hetáohame (vii)@
@commence@|@osáane- (pv)@
@commission SB@|@tsêhetane'ónaov (vta)@
@committee@|@tséamo'emanese (vai cj ppl)@
@commode@|@xaevetoo'o (ni)@
@commodities: issue ~@|@hoxotá (vai)@
@commodity house (building)@|@hoxotámâhéó'o (ni)@
@common@|@xamae- (pv)@
@common (in)@|@nétov (p)@
@common: in ~@|@né'tove- (pv), né'tóvéto (p), nétov- (i)@
@Communion (variant)@|@hetomóosenéve'hanahtôtse (ni)@
@communion bread@|@ma'heónekóhkonôheo'o (ni)@
@Communion: take ~@|@hetomóosanéve'häna (vai), ma'heónekóhkonôheonéve'haná@
@Communion: take Holy ~@|@xo'ome (vai)@
@Compact Dance@|@A'kôhomó'hestôtse (ni)@
@compact design: have a ~@|@a'keoxa'ohe (vai)@
@companion@|@vésevoo'o (na poss), véstaneo'o (na poss)@
@companion: have a ~@|@he-vésevoone (vai)@
@companion: have SB as a ~@|@he-vésevooné'tov (vta ai+o)@
@companion: have SB as an inseparable ~@|@he-vésta'óseoné'tov (vta)@
@compassion: have ~@|@hestsêstahe (ni poss)@
@compassionate@|@nêševátsêstahe (vai)@
@compete against@|@novet (vta)@
@complain@|@óetsetanónave-éestse (vai), oóxôhó'ané (vai)@
@complain to SB@|@oéšem (vta)@
@complainingly@|@hotóme- (pv)@
@complaint@|@momáxêsetanevahtôtse@
@complete@|@má't/má's (p), vá'oht- (i), vá'oht/vá'os (p), vá'os- (i), vá'ôse- (pv)@
@complete SB by speaking@|@vá'ôsem (vta)@
@complete school to the maximum@|@vá'ôhtoéstóne (vai)@
@complete singing@|@vá'ôsenÿne (vai)@
@complete sleep@|@má'sénóme (vai)@
@completely@|@hetaa'- (pv), óove- (pv)@
@compliment SB to SB else@|@hoto'o'ót (vta)@
@comply with SB@|@amâhtov (vta)@
@compulsory@|@hó'ko- (pv)@
@computer (lit hold on in thinking thing)@|@toetanohtôtse (ni nom)@
@computer (neologism) (lit saving typewriter) (ni)@|@taose-kó'konôxe'êstónestôtse@
@computer (storage catching thing)@|@hóvôsenâha'enenestôtse (ni)@
@comrade@|@htaxe (na), néstaxe (na)@
@comrade: my ~@|@néstaxe (na poss)@
