@English@|@Laotian@
@be haughty@|@ຖືຫຸ່ມ@
@be heedless of@|@ບໍ່ຟັງສຽງ@
@be hesitant@|@ຕະລຶງ, ຕົກຕະລຶງ, ຕົກຕະລຶງ@
@be hidden@|@ລອບ@
@be high-spirited@|@ຄຶກຄາມ, ຄຶກຄາມ@
@be hit@|@ຖືກຕີ@
@be honest@|@ຖືສັດ@
@be hopeful; there is hope@|@ມີຫວັງ@
@be horrified@|@ສະຍົດສະແຍງ, ສຽວໄສ້@
@be hostile@|@ມຸ້ງຮ້າຍ@
@be humble@|@ຖ່ອມ, ຖ່ອມຕົວ@
@be humble in spirit@|@ຖ່ອມກາຍວາຈາໃຈ@
@be humble oneself@|@ຖ່ອມໂຕ@
@be humid@|@ຊຸ່ມເຢັນ@
@be hungry@|@ຢາກເຂົ້າ@
@be Iin peace@|@ຢູ່ຊຸ່ມກິນເຢັນ@
@be ill@|@ໄຂ້ເປັນໄຂ້, ປະຊວນ@
@be ill (slang)@|@ເຈັບເປັນ@
@be imbedded in@|@ຝັງຢູ່ໃນ@
@be imbedded in one’s heart@|@ຝັງຢູ່ໃນດວງໃຈ@
@be imdistinct@|@ວິບປະລາບ@
@be impeded be stuck@|@ຄ້າງຢູ່@
@be implicated in@|@ສົມຮູ້@
@be impoverished@|@ຂາດເຂີນ@
@be improvident@|@ນອນໃຈ@
@be imprudent@|@ເຜີຕົວ@
@be in@|@ສະຖິດ@
@be in a critical position@|@ເຂົ້າຕາຮ້າຍ@
@be in a position ready for action@|@ຈັງກ້າ@
@be in accord with established customs@|@ເຂົ້າຮີດຄອງ@
@be in anguish@|@ຕອມຕົມ@
@be in awe of@|@ເກງກົວ, ກົວເກງ, ຢຳເກງ@
@be in bad position@|@ເສຽທ່າ@
@be in charge of@|@ຮັກສາການ@
@be in conflict with@|@ຂັດກັນ, ແຍ້ງກັນ@
@be in earnests@|@ກະຕື້ລືລົ້ນ@
@be In good health@|@ຢູ່ດີມີແຮງ@
@be in good humor again@|@ຄາຍອາລົມ@
@be in great abundance@|@ມີຖົມເຖໄປ@
@be in groups@|@ເປັນຂະບວນ@
@be in harmony with@|@ເຂົ້າຄໍ@
@be in hurry@|@ຕຶງຕາງ@
@be in jail@|@ຕິດຄຸກ@
@be in jeopardy@|@ຕົກຢູ່ໃນອັນຕະລາຍ@
@be in line@|@ຮຽງກັນເປັນແຖວ@
@be in love with@|@ຕິດພັນ@
@be in menstrual period@|@ລົງຄີງ@
@be in no hurry@|@ບໍ່ເຮັ່ງຮ້ອນ, ບໍ່ຮີບຮ້ອນ@
@be in possession of@|@ຍາດເອົາໄວ້@
@be in rut (usually of an elephant)@|@ຕົກມັນ@
@be in the service of@|@ສັງກັດ, ສັງກັດຢູ່@
@be in the subject@|@ເຂົ້າເລື້ອງ@
@be in touch@|@ຕິດຕໍ່ກັນ, ຕິດຕໍ່ກັນ@
@be in touch with@|@ຕິດກັບ@
@be in voyage@|@ໄປທາງ@
@be inappropriate@|@ວິບປະການ@
@be incapable@|@ດຽມຄີງ@
@be incapable of excreting because of illness@|@ຂັດຫນັກ@
@be incapable of urinating because of illness or for other reasons@|@ຂັດເບົາ@
@be incognito@|@ແບ່ງພາກ@
@be incompatible@|@ໄປກັນໃຫຍ່@
@be incumbent upon@|@ຕົກມາຢູ່ນຳ@
@be indigent@|@ຂົ້ນແຄ້ນ@
@be influential@|@ມີອິດທິພົນ@
@be informal@|@ເປັນກັນເອງ@
@be insecure@|@ຂາດຄວາມຫມັ້ນຄົງ@
@be interested in@|@ຂ້ອງໃຈ, ສົນໃຈ@
@be interrupted@|@ສະດຸດຢຸດລົງ@
@be intinate@|@ມັກຄຸ້ນ@
@be irritataed with@|@ຄັດແຄ້ນ@
@be irritated@|@ຂອດຂະລັງ, ພິໂຣດ@
@be joined together@|@ປະກອບເຂົ້າກັນ@
@be killed@|@ຂ້າຕາຍ@
@be kind@|@ມີນ້ຳໃຈດີ@
@be knocked out@|@ບັດ@
@be knowledgeable in@|@ເຈນຈັດ@
@be known as@|@ທີ່ຮູ້ກັນຢູ່ແລ້ວວ່າ@
@be lacking in respect for@|@ຂາດຄວາມນັບຖື@
@be lain disorderly@|@ລ່າວ@
@be lain on@|@ນອນເຕັງ@
@be late@|@ມາບໍ່ທັນ@
@be leased with@|@ອະພິຣົມ@
@be left@|@ຍັງເຫຼືອ, ຍັງເຫຼືອຢູ່, ຍັງເຫລືອ, ຍັງເຫລືອຢູ່@
@be left over@|@ເສດ@
@be like or equal to@|@ເທົ່າກັນກັບ@
@be lined up@|@ຮຽງກັນເປັນແຖວ@
@be located@|@ຕັ້ງຢູ່@
@be lost@|@ເສຽ@
@Be lost (on the way)@|@ເຮັ້ຽ@
@be love@|@ຊູ້ຮັກ@
@be lucky@|@ມີໂຊກ@
@be luminous@|@ວິພາດ@
@be mad for@|@ເມົາມົວນຳ@
@be made at@|@ທຳທີ່@
@be marked@|@ມີຮອຍ@
@be meaningful@|@ມີຄວາມຫມາຍ@
@be merciful@|@ທຳພຽນ@
@be merry@|@ບັນເທີງ@
@be milked@|@ຮີດນົມ@
@be mired@|@ຕິດຕົມ@
@be missing@|@ຂາດໄປ@
@be mistaken still@|@ຍັງມີຄວາມຜິດ@
@be mixed@|@ເຈືອ@
@be modest@|@ຈຽມ, ຈຽມຕົວ@
@be modest in speech@|@ຖ່ອມກາຍວາຈາໃຈ@
@be named@|@ຊົງພະນາມ, ມີຊື່ວ່າ, ມີນາມ, ຮ້ອງວ່າ@
@be named or called@|@ຊື່ວ່າ@
@be naturalized@|@ແປງຊາດ@
@be negligent@|@ເລິນເລີ້@
@be nervous@|@ເປັນເສັ້ນ, ແດດີ້ນ@
@be neutral@|@ເປັນກາງ, ຢູ່ເປັນກາງ@
@be noisy@|@ດົງດັງ@
@be null and void@|@ເສຽຜົນ@
@be obliged to do something against one’s will@|@ຂືນທຳ@
@be obliged to do something for someone@|@ຂືນເຮັດ@
@be obliged to go meet someone whom one has avoided@|@ເຂົ້າຫາ@
@be observant@|@ມີຄວາມສັງເກດດີ@
@be obsessed with@|@ສາລະວົນ@
@be obstipated@|@ບໍ່ຖ່າຍທ້ອງ@
@be of a good family@|@ມີຕະກູນ@
@be of an opinion@|@ລົງຄວາມເຫັນ@
@be of the same opinion@|@ມີຄວາມເຫັນພ້ອມດ້ວຍ@
@be offbeat@|@ຜິດຈັງຫວະ@
@be offended@|@ສະເທືອນໃຈ@
@be offened@|@ຂັດຕາ, ຂຸ່ນເຄືອງ@
@be on constant guard over one’s health@|@ຄອຍຮັກສາພະຍາບານ@
@be on duty@|@ຢູ່ຍາມ, ຮັກສາການ@
@be on guard (in boxing)@|@ກໍ່ມວນ@
@be on intimate terms with@|@ສຸ່ສິງ@
@be on purpose@|@ຕັ້ງເຮັດ@
@be on time@|@ທັນ@
@be opposed@|@ຂີນຂັດ@
@be or remain idle@|@ຢູ່ລ້າ@
@be ordained@|@ບວດ, ຜະນວດ@
@be out of keeping with the situation@|@ວິບປະການ@
@be overcome with emotion@|@ສະທ້ອນໃຈ@
@be parallel to@|@ຂະນານກັບ@
@be partial@|@ເລືອກທີ່ຮັກມັກທີ່ຊັງ@
@be partial to@|@ເຂົ້າຂ້າງ, ສັນທາຄະຕິ@
@be partial to because of affection@|@ສັນທາ@
@be partially broken@|@ເດຶອ@
@be party to@|@ຕີຄໍກັນ@
@be patient@|@ທຸ່ນ@
@be penallsed@|@ຕ້ອງໂທດ@
@Be penitent@|@ຮູ້ສຳນຶກ@
@be perfect@|@ບັນຈົບ@
@be permanent@|@ສະຖິດ@
@be perplexed@|@ສາລະວົນ@
@be persecuted@|@ຕ້ອງຄະດີ@
@be perty to@|@ເປັນກັນ@
@be petrified with fear@|@ສະຍົດສະຍອນ@
@be pleasantly absorbed in some activity@|@ງ່ວນ@
@be pleased@|@ຕ້ອງໃຈ, ບັນເທີງ, ປຶ້ມໃຈ@
@be poisoned@|@ຖືກວາງຢາເບື່ອ@
@Be polite@|@ຮູ້ທຳນຽມ@
@be populous@|@ມີຜູ່ຄົນຫນາແຫນ້ນ@
@be positive be sure@|@ຄັກໃຈ@
@be possessed by a self-exalted spirit@|@ທະຍານໃຈ@
@be possessed by a spirit@|@ເຂົ້າຜີ, ຜີເຂົ້າ@
@be pregnant@|@ຕັ້ງຄັນ, ຖືທ້ອງ, ຖືພາ, ຖືພາມານ, ມີຄັນ@
@be prepared@|@ກຽມພ້ອມ@
@be present@|@ຊ້ອງຫນ້າຊ້ອງຕາ, ຊ້ອງໜ້າຊ້ອງຕາ@
@be promoted@|@ເລື່ອນຂຶ້ນ, ເລື່ອນຊັ້ນຂຶ້ນ@
@be promoted in rank@|@ເລື່ອນຍົດ@
@be prompt at work@|@ທັນວຽກທັນການ@
@be prosperous@|@ມີຊັບ@
@be proud@|@ເຮັດອ້າງ, ເຮັດອວດ@
@be proud of@|@ທະນົງຕົວ@
@be proud of rank@|@ທະນົງສັກ@
@be punished@|@ຮັບໂທດ@
@be put together@|@ປະກອບເຂົ້າກັນ@
@be quiet@|@ສູ່ປາກ@
@be razed to the ground@|@ພັງຮາບ@
@be ready@|@ສະພັກພ້ອມ@
@be ready (to run@|@ຈັ້ງທ່າ@
@be ready for@|@ຕຽມໄວ້@
@be reborn@|@ເກີດໃຫມ່, ປະຕິສົນທິ@
@be reborn as@|@ກັບຊາດເກີດມາເປນ@
@be reborn from heaven into this world@|@ຈຸຕິມາຈາກສະຫວັນ@
@be reconciled@|@ເຮັດດີນຳກັນ@
@be recruited in@|@ບັນຈຸເຂົ້າເປັນ@
@be reduced to penury@|@ສິ້ນເນື້ອສິ້ນຕົວ@
@be reduced to zero@|@ສູນສ້ຽງ@
@be regarded@|@ຖືກັນວ່າ@
@be rekieved@|@ເບົາແຮງ@
@be related@|@ພົວພັນ@
@be related by marriage@|@ກ່ຽວດອງ@
@be related to@|@ຕິດກັນກ່ຽວຂ້ອງ, ຕິດຕໍ່ກ່ຽວຂ້ອງ@
@be relieved of work@|@ເບົາມື@
@be remembered still@|@ຍັງຢູ່ໃນຄວາມຈົດຈຳ@
@be remored@|@ລື@
@be removed from a natural place of abode@|@ພັດກີ@
@be repeating another's words@|@ແສມແລມ@
@be reprimanded@|@ວ່າກ່າວ@
@be required to excerise unsual force@|@ກິນແຮງ@
@be reserved@|@ສະຫງົບສະງຽມ@
@be resigned to one’s fate@|@ປ່ອຍຕາມບຸນຕາມກັມ@
@be responsible for@|@ແນບນຳ@
@be restless@|@ຮຸກຣົນ, ຮົນ@
@be revengeful@|@ຜູກກຳ@
@be rich@|@ລວຍ@
@be right@|@ແພ້ຮູ້@
@be rooted@|@ຝັງຮາກ, ຝັງຮົກຮອກ@
@be rounted@|@ຊ່ານ, ຊ່ານ, ຊ່ານ, ຊ່ານ, ຊ່ານ@
@be ruined@|@ເຈັ້ງ, ສະລາຍ, ປັກຫັກພັງ, ປັກຫັກພັ່@
@be rumored@|@ໂຈດຈັນ, ໂຈດຈົນ, ໂຈດແຈ@
@be sad@|@ສະທ້ອນໃຈ, ສະຫລົດ, ສະຫລົດໃຈ, ສະຫຼົດ, ສະຫຼົດໃຈ, ໂສກໂສກາ, ໂສກໂສກີ, ມໍ້@
@be safe@|@ຄາດແຄ້ວ@
@be satisfied@|@ນິຍົມຊົມຊື່ນ, ພໍໃຈ, ອະພິຣົມ, ເຮີງ@
@be satisfied with@|@ຊອບ@
@be scared@|@ຮູ້ຢ້ານ@
@be scatted@|@ຊ່ານ, ຊ່ານ, ຊ່ານ, ຊ່ານ, ຊ່ານ@
@be scattered@|@ແຕກກະຈາຍ@
@be scattered about@|@ເນຣະນາດ@
@be seasick@|@ເມົາຄື້ນທະເລ@
@be seated@|@ສະເດັດປະທັບຢູ່@
@be seized@|@ຕົກຂະນະ@
@be separated@|@ພັດພາກ, ພັດພາກຈາກກັນ@
@be separated from@|@ຜະ@
@be seriously ill or wounded@|@ເຈັບຫນັກ, ເຈັບໜັກ@
@be servant or slave@|@ເປັນຂ້ອບ@
@be settled@|@ຝັງຮົກຮອກ@
@be shiny@|@ເປັນເງົາ@
@be shocked@|@ສະເທືອນໃຈ@
@be short@|@ຂາດມື@
@be short of@|@ຂາດເຂີນ, ຂາດໄປ@
@be shy@|@ລະອາຍ@
@be sick@|@ເຈັບປ່ວຍ, ປັດຊອນ@
@be sick of fish@|@ເບື່ອປາ@
@be sinned@|@ເປັນກັມ@
@be sitting@|@ນັ່ງຢູ່@
@be situated@|@ຕັ້ງຢູ່@
@be situated at@|@ປະຈຳຢູ່@
@be situated close to@|@ຕິດກັບ@
@be skilled@|@ມີສີມື@
@be slanted@|@ເນີ້ງ@
@be sleepy@|@ງີບ, ນິດທະເນ່ງ, ຢາກນອນ@
@be slightly open@|@ງັບແງ@
@be solicitous@|@ຖະຫນອມໃຈ, ຖະໜອມໃຈ@
@be sorry@|@ເສຽໃຈ@
@be sorry afterward@|@ເສຽໃຈພາຍຫລັງ@
@be speechless@|@ຕັນຄໍຫອຍ@
@be startled@|@ຂວັນຫາຍ, ຂວັນຫາຍ, ຂວັນຫນີ, ສະດຸ້ງຕົກໃຈ@
@be startled or scared@|@ຕື່ນຕົກໃຈ@
@be starved@|@ທ້ອງແຫ້ງ@
@be sterile@|@ຕາຍດ້ານ@
@be still@|@ຂະນອບ@
@be still in memory@|@ຍັງຢູ່ໃນຄວາມຈົດຈຳ@
@be strengthened@|@ແຮງຂຶ້ນ@
@be stuck dumb by a spirit@|@ຜີອຳ@
@be stuck in@|@ໂຈ່@
@be stuck in or stuck open@|@ສະພັ້ງ@
@be stuck in the mud@|@ຕິດຕົມ@
@be stupefied@|@ຕະລຶງ@
@be subject to@|@ຂຶ້ນຕາ@
@be subordinate to@|@ກັບ@
@be successful@|@ເປັນກ້ອນເປັນຫນ່ວຍ@
@be sure@|@ເຊື່ອຄັກ@
@be surprised@|@ເຊິ້@
@be suspended from service@|@ພັກຣາຊການ@
@be suspicious@|@ຂອດຂະລັງ@
@be swamped with work@|@ທຸຣະຫຍຸ້ງຍາກ@
@be tactful@|@ພິກໄຫວ@
@be taken@|@ມີຄົນຈອງແລ້ວ@
@be taken in iron collar@|@ຕ້ອງຄາ@
@be tasty@|@ມີຣົດ@
@be terrified@|@ສະຍົບ, ສຽວໄສ້@
@be thankful@|@ຂອບຄຸນ, ຂອບໃຈ@
@be that as it may@|@ສັນໃດກໍ່ສັນນັ້ນ, ສັນໃດກໍ່ສັນນັ້ນ@
@be the first@|@ຜະເດີມ@
@be the result of sin@|@ທົນກັມ@
@be thirsty@|@ຢາກນຳ້@
@be thoroughly exhausted@|@ເມື່ອຍເກືອບໃຈຂາດ@
@be threaded@|@ເປັນກຽວ@
@be ticklish@|@ດຶມ, ດຽມ@
@be timid@|@ສະທົກສະເທີ້ນ@
@be tired@|@ສະມິ້ງ, ຮຸນ@
@be tired of@|@ລະອາ@
@be told to close down@|@ບອກປິດ@
@be torn@|@ຂາດ@
@be touched@|@ດູດດື່ມ@
@be tributary to a great power@|@ຈີ້ມກ້ອງ@
@be troubled@|@ສະງົນ@
@be two-faced@|@ຕີສອງຫນ້າ@
@be unable@|@ບໍ່ລ້າຍ@
@be unable to burn@|@ຈູດບໍ່ໄດ້, ຈູດບໍ່ໄຫມ້, ຈູດບໍ່ໄໝ້@
@be unable to close one’s eyes@|@ຕາຄ້າງ@
@be unable to do what one wishes@|@ບໍ່ໄດ້ດັ່ງໃຈ@
@be unable to eat or sleep@|@ບໍ່ອັນກິນອັນນອນ@
@be unable to find a solution@|@ຄິດຈົນເຈັບຫົວ@
@be unable to put up with@|@ທົນບໍ່ໄຫວ@
@be unable to report@|@ເຂົ້າຫນ້າບໍ່ຕິດ@
@be unable to see@|@ເຂົ້າຖ້ຳ, ຟາງຕາ@
@be unable to see clearly in strong light@|@ຟາງໄຟ@
@be unable to solve@|@ບໍ່ອອກ@
@be unable to think@|@ບໍ່ຮູ້ອ່າວ@
@be unanimous@|@ສົມຍອມ@
@be uncertain@|@ຈົດຈ້ອງ, ຈົດໆຈ້ອງໆ, ສັນເທ, ລັງເລ@
@Be uncertain@|@ເຮຮວນ@
@be unconcerned@|@ດູດາຍ@
@be under the influence or power of@|@ເຂົ້າໄປຢູ່ໃຕ້ອຳນາດ@
@be uneasy about@|@ພະວັກພະວົນ@
@be unequal in eight so that one end rises@|@ເດື່ອງ@
@be unhappy@|@ມໍ້@
@be unhappy about@|@ເຂີງຄຽດ@
@be unhealthful@|@ຜິດອະນາໄມ@
@be unified@|@ເປັນກ້ອນເປັນຫນ່ວຍ@
@be unsparing of@|@ທຸ່ມເທ@
@be unsuited@|@ບໍ່ຕົກລົງກັນ@
@be unworried@|@ເຢັນໃຈ@
@be unworthy of one's country or race@|@ເສຽຊາດ@
@be up-to-date@|@ຮູ້ທັນ@
@be used@|@ໃຊ້@
@be used for@|@ໃຊ້ໄວ້@
@be useful@|@ເປັນຄຸນ, ມີປໂຫຍດ@
@be useless@|@ເປົ່າປະໂຫຍດ@
@be vain@|@ມັກອວດ, ເຮັດອ້າງ, ເຮັດອວດ@
@be vanquished@|@ເຈ້ງ, ອະປະຣາ, ອະປະຣາ@
@be vengeful@|@ຂຳຂອດ@
@be venggeful@|@ຂຸ່ນຫມອງຫມາງ@
@be vertical@|@ຕັ້ງປືນ@
@be vertical or well-aligned@|@ຊັ້ງລັ້ງ@
@be very angry@|@ກີ້ວ@
@be very depressed@|@ກຸ້ມຈິງ@
@be very familiar with@|@ຈັບມືຖືເຂນ@
@be very frightened@|@ຂະຍອງ@
@be very important@|@ສຳຄັນຍິ່ງ@
@be very indignant against@|@ຂຸ່ນຫມອງຫມາງ@
@be very thankful@|@ຂອບໃຈຫລາຍ@
@be very thirsty@|@ແຍ້ນ@
@be vigorous@|@ຜັງເຂັ້ມແຂງ@
@be wafted@|@ທະຍານ, ໄປ່ປີວ@
@be wavy@|@ເປັນຄື້ນ@
@be weakened@|@ສິ້ນກຳລັງ@
@be wealthy@|@ມີເງິນ@
@be weaned@|@ເຊົານົມ@
@be well@|@ຄ່ອຍຢູ່@
@be well entertained@|@ຮັບຕ້ອນດີ@
@be well off@|@ຢູ່ສຸກ@
@Be well-aware@|@ຮູ້, ຮູ້ແກ່ໃຈ@
@be wet@|@ຈື່ນ@
@be widely known@|@ລື, ລືຂະຈອນ@
@be widespread@|@ແພ່ຫລາຍ@
@be willing@|@ເຕັມໃຈ@
@be willing to die@|@ສະຫມັກຕາຍ, ສະໝັກຕາຍ@
@be without family or relatives@|@ຂາດພີ່ຂາດນ້ອງ@
@be without money@|@ສິ້ນເນື້ອປະດາຕົວ@
@be without money for transportation@|@ຕົກລົດ@
@be worried@|@ທຳຄວາມກັງວົນ, ວິຕົກກຳຮົນ, ຮ້ອນອົກຮ້ອນໃຈ@
@be worth a great deal@|@ມີຄ່າມາກ@
@be worth its price@|@ສົມລາຄາ@
@be worth the price@|@ສົມລາຄາ@
@be wrinkled@|@ຍູ່@
@beach resort@|@ສະຖານທີ່ຕາກອາກາດຊາຍທະເລ@
@beacuase of@|@ກໍ່ຍ້ອນວ່າ@
@beaere of ten powers@|@ທົດສະພົນ@
@beak@|@ສົບນົກ, ສົບ@
@beak of a bird@|@ສະກອຍ@
@beal fruit@|@ໝາກຕູມ@
@beam@|@ຂື່, ຂືງ, ສະດົມ, ແສງ, ປະພາ@
@beam of the house@|@ແປເຮືອນ@
@bean@|@ຖົ່ວ@
@bean cake@|@ເຕົ້າຮວຍ@
@bean curd@|@ເຕົ້າຮູ້@
@bean sauce@|@ເຕົ້າຈ້ຽວ@
@bean sprout@|@ຖົ່ວງອກ@
@bean stake bean pole@|@ຄ້າງຖົ່ວ@
@bear@|@ທົນຢູ່ໄດ້@
@bear cub@|@ລູກຫມີ@
@bear fruit@|@ເກີດຜົນ@
@bear ill will@|@ມຸ້ງຮ້າຍ@
@bear suffering@|@ທົນທຸກ@
@bear the consequences of previous action or sins@|@ທົນກັມ@
@bear the name of@|@ມີຊື່ວ່າ@
@beard@|@ເຄົ່າ, ມັດສຸ, ໜວດ@
@bearer of a letter@|@ຜູ້ຖືຈົດຫມາຍ@
@bearer of the river@|@ນະທີທອນ@
@beat@|@ສ້າມ, ຊະນະ, ຊົກຕ່ອຍ, ຍ່ຳ, ຕີ, ທັບຕີ, ທຸບຕີ, ທວງດິ້ນດັ່ນ, ນ່ຳ, ບຸບ, ເປຽ, ຜະແລງ, ຟາດ@
@beat (as of the heart pulse)@|@ຂະມຸບ@
@beat a drum@|@ຈາບກອງ@
@beat a gong in order to get attention for an announcement@|@ປ່າວຄ້ອງ@
@beat about@|@ດີ້ນໄປດີ້ນມາ@
@beat one’s chest@|@ທຸບອົກ@
@beat out the time@|@ຍ່ຳຍີ@
@beat repeatedly@|@ນ່ວນ@
@beat the face@|@ຟາດຫນ້າ@
@beat the time the rhythm@|@ເຄາະຈັງຫວະ@
@beat the wings@|@ກະຜື@
@beat thrash@|@ຕີກັນ@
@beat with both hands@|@ຈາບ@
@beaten@|@ຖືກຕ່ອຍ@
@beating@|@ການທຸບຕີ@
@beautifuk@|@ໄພໂຣດ@
@beautiful@|@ກາກ່ອງ, ກັນລະຍານ, ໂກ້, ງົດງາມ, ງາມ, ງາມງອນ, ງາມຍ້ອຍ, ງາມອາດ, ຈຸບຸ, ສະໂຣດ, ສະເລົາ, ສະລວຍ, ສະວາດ, ສີຄານ, ສີສະລາວ, ສຸທັດ, ສຸນທະຣາ, ສຸນທອນ, ໂສພາ, ສວຍງາມ, ສວຍລວຍ, ເສົາວະ, ເສົາພາ, ໂສມຍົງ, ຊອນລອນ, ດົ້ວ, ຕະເກີງ, ຕະແບ່ນ, ຕຸຫລຸ, ເຕາະເຫລາະ, ຕຽງຫລ້ຽງ, ປິ່ງຊິ່ງ, ປ່າຍຫລ່າຍ, ປ່ອຍຫລ່ອຍ, ແປນແວ່ນຫນ້າ, ຜ່ອງງາມ, ຜ່ອງແຜ້ວ, ຜົ້ງ, ພະງາ, ພິໄລ, ພິລາດ, ພິດສລ່າງ, ໄພຈິດ, ພາວ, ມະໂນຣົມ, ວັດທະກະ, ວາມະ, ວິລາສິນີ, ວິລາວັນ, ວິໄລ, ວິລາດ, ຮຸ່ງເຮືອງ, ຮຸ່ງເຮືອງເຫລືອງເຫລື້ອມ, ຮົງ, ຮູບສວາຍງາມ@
@beautiful color@|@ວັນນີ@
@beautiful enough@|@ພໍງາມ@
@beautiful girl@|@ໂສເພນີ, ນາງຄານ@
@beautiful magnificent@|@ຄ່ອງ@
@beautiful skin@|@ຜິວຜາງ@
@beautiful woman@|@ສາຍາ, ເຍົາວະລັກ, ເຍົ່າ, ນົງຄານ, ນົງນາດ, ນົງພະງາ, ນົງຮາມ@
@beautiful; regularly formed@|@ງ້ອມ@
@beautiul and pure@|@ກັນຮັດ@
@beauty@|@ສະວັດດີ, ສຸພະ, ເສີມສວຍ, ໂຊດຕະການ, ຮູບສົມບັດ@
@beauty characterized by a dark complexion@|@ງາມອໍາທໍາ@
@beauty characterized by a fair skin and a well-proportioned body@|@ງາມຜຸດຜ່ອງ@
@beauty characterized by a flat face resembling an open lotus leaf on the water@|@ງາມແປ່ນແວ່ນ@
@beauty characterized by a wide@|@ງາມເປີ່ນເວີ່ນ@
@beauty characterized by an egg-shaped face having the color of cooked egg-white@|@ງາມປ່ອຍລ່ອຍ@
@beauty characterized by an oval face@|@ງາມປິ່ນວິ່ນ@
@beauty characterized by fair skin@|@ງາມອາດຫລາດ@
@beauty contest@|@ປະກວດນາງງາມ@
@beauty in a woman@|@ອະນົງ@
@beauty queen@|@ນາເຣດ, ນາງງາມ@
@beauty spot@|@ຂີ້ແມງວັນ@
@beauty spot(mole) on the face@|@ຂີ້ແມງວັນ@
@beauty which makes one feel like touching@|@ງາມອໍຣະຊອນ@
@because@|@ດ້ວຍວ່າ, ເພາະ, ເພາະວ່າ@
@because of@|@ທັງນີ້ກໍເພາະວ່າ, ທັງນີ້ເພາະ, ເນື່ອງຈາກ, ເນື່ອງດ້ວຍ, ເປັນຍ້ອນ, ເປັນດ້ວຍ, ເປັນນຳ@
@because of affection@|@ສັນທາຄະຕິ@
@because of him@|@ຍ້ອນລາວ@
@because of you@|@ຍ້ອນເຈົ້າ@
@beckon@|@ກວັກມື@
@become@|@ກັບກາຍ, ກາຍເປັນ, ກາຍກັບກາຍເປັນ, ເກີດເປັນ, ຂຶ້ນເປັນ, ມາເປັນ@
@become a drug addict@|@ເສບຢາເສບຕິດ@
@become a member@|@ເຂົ້າເປັນສະມາຊິກ@
@become a partner@|@ເຂົ້າທຶນ@
@become acquainted@|@ຮັກແກວ່ນ@
@become angry@|@ເກີດໂມໂຫ, ເປັນຟືນເປັນໄຟ, ພິໂຣດ@
@become angry with@|@ຂັດແຄ້ນ@
@become attached to sb@|@ໃຝ່ຫາ@
@become blind or near sighted@|@ເສຽຕາ@
@become civilized@|@ຜາຕິ@
@become cocoon@|@ເຂົ້າຝັກ@
@become conscious@|@ໄດ້ສະຕິ@
@become conscious of pain@|@ແປບ@
@become deaf@|@ເສຽຫູ@
@become dense@|@ແຂ້ນ@
@become denser@|@ຂຸ້ນ@
@become dust@|@ຕາຍເປັນທຸລີ@
@become enlightened@|@ຕັດສະຮູ້@
@become few@|@ບາງຕາ@
@become friends@|@ແຮກສ່ຽວ@
@become ill with pneumonia@|@ຈັບຫນາວ@
@become irate@|@ຟຸນ@
@become jealous@|@ເກີດຫຶງຫວງ@
@become less severe@|@ຢ່ອນຄາຍ@
@become light@|@ເບົາໄປ@
@become lower on one side@|@ດ່ອຍ@
@become popular@|@ສ້າງຊື່ສຽງ@
@become pregnant@|@ຮາມເດືອນ, ຮາມລະດູ@
@become quiet@|@ສະຫງົບລົງ@
@become rich@|@ລວຍຂຶ້ນ@
@become rusty@|@ສະຫນິມຈັບ, ສະໜິມຈັບ@
@become sad@|@ຈັບເຫງົາ@
@become taller or higher@|@ສູງຂຶ້ນ@
@become thin@|@ຈ່ອຍລົງ, ຢອດ@
@become unconscious@|@ສະຫລົບສະໄຫລ, ສະຫຼົບສະໄຫຼ@
@become very angry@|@ຟຸນ, ຮຶດ@
@become weak from fatigute@|@ແພະ@
@become wealthy@|@ມັ່ງມີຂຶ້ນ@
@bed@|@ສະນອນ, ຊະແນນ, ຕຽງ, ຕຽງນອນ, ທີ່ນອນ, ບ່ອນນອນ, ເມັງ@
@bed clothes and appurtenances@|@ເຄື່ອງນອນ@
@bed sheet@|@ຜ້າປູບ່ອນນອນ, ແພປູບ່ອນ@
@bedbug@|@ເຮືອດ@
@bedding@|@ສັນຖະຣະ@
@bedpost@|@ເສົາຕຽງ@
@bedroom@|@ສ້ວມນອນ, ບ່ອນນອນ@
@bedtime@|@ເວລານອນ@
@bee@|@ເຜິ້ງ, ເຜິ້, ພະມະຣະ, ພະມະໂຣ, ພະມະຣິນ, ພະມອນ, ພູມມະຣະ, ມະທຸມະທຸກອນ, ແມ່ເຜິ້ງ, ແມງເຜິ້ງ@
@bee sting@|@ໄລແມງເຜີ້ງ@
@beef@|@ງົວເຖິກ, ເນື້ອງົວ@
@beef fat@|@ປຽງ@
@beehive@|@ຮັງເຜິ້ງ, ຮວງເຜິ້ງ@
@beer@|@ເບັຽ@
@beeswax@|@ຂີ້ສູດ, ຂີ້ເຜິ້ງ@
@beetle@|@ດ້ວງ@
@before@|@ກ່ອນ, ກອນຈະ, ກວ່າຈະ, ສະໄຫມກ່ອນ, ສະໄໝກ່ອນ, ເດີມ, ຕ່າກີ້, ແຕ່ກີ້, ແຕ່ກ່ອນ, ບຸບເພ@
@before dark@|@ນິສາຄົມ@
@before one’s eyes@|@ຕໍ່ຫນ້າຕໍ່ຕາ@
@before that@|@ກ່ອນນັ້ນ@
