@English@|@Hmong@
@dawdle@|@tau to@
@dawn@|@hnub tuaj, kaj ntug, kaj ntug, kaj ntug txoog, ntug@
@dawn (1)@|@hnub poob@
@day@|@hnub, ntsuab hnub@
@day after tomorrow@|@nag kis@
@day before yesterday@|@hnub hmo, hnub hnub@
@day care@|@chaw zov menyuam@
@day care center@|@chaw zov menyuam@
@day of rest@|@hnub so@
@day of the child@|@me nyuam hnub@
@daybreak@|@kaj ntug@
@daydream@|@pheej xav li ub li no@
@daytime@|@nruab hnub@
@dazed@|@yoob@
@dead@|@kev ploj tuag, tuag@
@dead end@|@kev tws@
@dead people meet the ancestors@|@cuag poj cuag yawg@
@deaf@|@lag ntseg, tsis hnov lus@
@deaf-blind@|@lag ntseg thiab dig muag@
@deal@|@ua hais nrog@
@dear@|@phoojywg, tus  hlub@
@death@|@kev tuag@
@death ceremonies@|@ntees@
@death spasm@|@huam cheej@
@debate@|@kev sib cav tswv yim, nyom, sib cav tswv yim@
@debt@|@nuj nqi@
@debt non-payer@|@kwv nuj nqi@
@deca..@|@kaum@
@decade@|@ib niag@
@decayed@|@lwj@
@deceased@|@tas zim tawv@
@deceive@|@dag, ntxias@
@december@|@kaum ob hli ntuj@
@decent@|@ncaj ncees@
@deci..@|@ib feem kaum@
@decibel@|@kev ntsuas suab@
@decide@|@txiav txim siab@
@decimal (1)@|@cab mev@
@decipher@|@xav kom tau kom tawm@
@decision@|@kev txiav txim siab@
@declaration@|@hais paub, tshaj tawm@
@declare@|@hais paub, qhia rau, qhia tseeb, tshaj tawm@
@declare (1)@|@tshaj xo tawm@
@decline@|@poob theem rov qab, thim lus@
@decompose@|@lwj@
@decorate@|@dai, kho@
@decoration@|@kho kom zoo nkauj@
@decrease@|@luv, nqis, poob, tsawg zuj zus, txo, ua kom tsawg@
@decrease (1)@|@nqig, tsawg zus@
@deduct@|@tshem@
@deep@|@tob, tsis diav@
@deeply upsetting time@|@caij nyoog phem heev@
@deer@|@kauv, mos lwj, muaslwj, tus mos lwj@
@defeat@|@kovyeej, swb, tais, yeej@
@defend@|@ntis, povhawm, thaiv@
@deficient@|@siv tsis tau, tsis muaj txaus@
@deficit@|@sis tshaj@
@define@|@txhais kom meej@
@definite@|@tseeb@
@definition@|@kev txhais kom meej@
@deformed@|@muaj tsis txhua, txawv txawv@
@degree@|@kev ntsuas sov, kev ntsuasno, ntawv pov thawj zoo@
@dehydrated@|@tsis muaj dej@
@deity@|@vajtswv@
@delay@|@tabkaum@
@delegate@|@xa mus nyob chaw@
@deliberately@|@txhob txwm@
@delicatessen@|@tsev noj mov raws qauv@
@delicious@|@qab@
@delighted@|@zoo siab@
@deliver@|@xa@
@delivery person@|@neeg xa khoom@
@demand@|@kev thov txog, kev xav tau, khoo kom ua@
@democracy@|@kev cai ywj pheej, tus cai meej tswv@
@demolish@|@rhuav@
@demon@|@dab, tus tsiaj txawv heev@
@demon king@|@dab ntxwg nyoog@
@demonstrate@|@ua qauv qhia@
@den of animal@|@tsiaj chaw nyob@
@denominator@|@zauv feem uas tuaj hauv qab@
@dense grassy valley@|@hav fab@
@density@|@ceev, ntom@
@dent@|@hmlos, hmlos hmlee, mluav, zuav@
@dental@|@hais txog hniav@
@dented@|@zuav@
@dentist@|@kev kho hniav, kws kho hniav@
@deny@|@tsis kam txais, tsis tso cai@
@deodorant@|@tshuaj ua kom txhob tsw phem@
@depart@|@khiav, lawm, ncaim, plau, sawv kev@
@department (1)@|@tooj tsav xwm saib xyuas@
@department store@|@tsev loj muag khoom siv@
@departure@|@kev tawm mus taug kev@
@depend@|@cia siab, ncerau ntawm, nyob ntaw, nyob ntawm seb@
@depend on someone@|@thawj@
@deposit@|@coj mus tso cia, nyiaj tso ua ntej@
@depress@|@nyuab siab, zawj los saus@
@depressed@|@kho siab, lwj siab, ntxho siab, tus siab@
@depressed (1)@|@kev lwj siab@
@depression@|@kev ntxho siab, nyuab siab, txhawj xeeb@
@deprive@|@tsis pub ua@
@depth@|@qhov tob@
@descend@|@nqis los@
@descendants@|@xeebleej xeebntxwv@
@describe@|@piav qhia@
@description@|@kev piav qhia, kev piav qhia txog@
@desegregate@|@koom ua ke, ua pab pawg ua ke@
@desert@|@moj sab qhua, tiaj suab puam@
@desert (1)@|@tiaj tshav puam@
@deserve@|@ntxim, tsim nyog@
@design@|@kev ua tsim, tsim@
@desire@|@siab nyiam, siab xav, xav tau, yuav@
@desk@|@rooj@
@despair@|@poob siab, tsis muaj hau@
@desperate@|@tsis tau raws siab nyiam, xav ua kom tau@
@despise@|@ntxub, xyeej@
@dessert@|@khoom noj qab zib, khoom qab zib, nab vam@
@destitute@|@nyem, txom, txomnyem@
@destroy@|@puam tsuaj, rhuv, tsoo, ua kom puas, ua kom puas@
@destroyed@|@piamsij, puas@
@detail@|@nthuav dav, qhia@
@details@|@txhua yam me me tib si@
@detain with force@|@lawj@
@detention@|@khuav tseg, raug txim@
@detergent@|@tshuaj ntshuav tsev, xum npum ntxhua khaub ncaws@
@deteriorate@|@yaig@
@determination@|@mob siab ua kom tau@
@determined@|@mob siab, muaj siab@
@detour@|@lug kev@
@develop@|@ntxuav duab, tsim kom muaj, tsim muaj, tsim tsa@
@develop (1)@|@ua kom dav ntxiv@
@development@|@kev loj hlob, kev paub tab, kev tsim tsa@
@development delay@|@kev hlob cob pob, laj lim qeeb@
@deviation@|@sib txawv@
@devise@|@npaj, xav kom tawm los ua@
@devout@|@ntseeg kawg siab@
@dew@|@hlws, lwg@
@diagnose@|@kev tshawb nrhiav, tshawb nrhiav@
@diagnosis@|@tshawb nrhiav txog kab mob@
@diagnostic teaching@|@kev qhia soj ntsuam, kev tshawb nrhiav@
@diagnostic test@|@qhov ntawv twv xyuas cov me@
@diagonal@|@kab pheeb ces kaum@
@dialect@|@hom lus hais, lus sis, suab hais lus@
@dialogue@|@kev sib tham@
@diamond@|@pob zeb ci muaj nqis, pob zeb diamond@
@diaper@|@ntaub cee zis, ntaub ceev zis@
@diaphragm@|@qhov nqaij pab ua pa@
@diarrhea@|@haw quav, lawv plab, raws plab, thoj plab@
@diarrhea (1)@|@mob zawv plab, zawv plab@
@diary@|@chaw muag mis nyuj, daim ntawv teev num tseg@
@dice@|@tsuav@
@dictate@|@koj hais kuv sau, txib los ntawm tsoom hlob@
@dictionary@|@phau ntawv qhia ntsiab lus@
@did@|@tau@
@die@|@tuag@
@diet@|@cov khoom noj, ua kom yuag@
@difference@|@qhov seem, qhov tshuav, txawv@
@different@|@txawv (tsis yog tib yam, zoo tsis sib thooj)@
@differentiate@|@qhov txawv, ua kom txawv@
@difficult@|@nyuab, nyuaj@
@difficulty@|@ceeblaj, mob xeev zig@
@dig@|@khawb av, khawb qhov, tho qhov av, tshom@
@dig holes in the ground@|@tuam txhob@
@dig out@|@nthua@
@digest@|@xo, zom@
@digestion@|@kev zom, plab zom mov@
@digger@|@tuam txhob@
@digit@|@lej, zauv@
@dignified@|@laus neeg@
@dignify@|@yeej hua@
@dilemma@|@teeb meem@
@diligent@|@mob siab ua kom zoo@
@dilute@|@ua kom txhob nyeem nyeem@
@dim@|@zem@
@dime@|@Npib 10 xee, npib ib xee@
@dimensions@|@qhov ntev@
@dimly@|@zem@
@dine@|@noj hmo@
@dining car@|@tsheb noj mov@
@dining room@|@chaw noj mov@
@dinner@|@pluag hmo@
@dinning room@|@chav noj mov@
@dinning table@|@rooj noj mov@
@dip into liquid@|@ntsw, tub@
@dipper@|@tshob@
@direct@|@coj kev, ntaus thawj@
@direction@|@kev taw qhia@
@directions@|@ncauj ke@
@director@|@thawj tsev kab xwm, thawj tswj@
@directory@|@chaws nyob, phau ntawv qhia npe, thiab xov tooj@
@dirt@|@av, kauv@
@dirty@|@lo phem, qias, qias neeg, tsa, tsis huv, txab@
@dirty (1)@|@lo phim, nphob, vuab tsuab@
@dirty face@|@ceb muag@
@disability@|@kev tsis taus@
@disability category (1)@|@tsis pom kev, xws li tsis hnov lus@
@disable@|@lov tes taw@
@disabled@|@neeg xiam@
@disadvantage@|@qhov tsis muaj feem ua tau zoo@
@disagree@|@cam, tsis pom zoo@
@disappear@|@ploj, saus, yaj@
@disappoint@|@tsis raws siab xav@
@disassemble@|@lauj@
@disaster@|@puas tsuaj@
@discard@|@pov tseg@
@discharge@|@tso mus@
@disciple@|@thwjtim@
@disciplinary action@|@kev qhuab qhia kom paub cai@
@discipline@|@qhuab@
@discount@|@kev luv nqi, luv nqi@
@discourage@|@poob siab@
@discover@|@nrhiav pom, nrhiav tau@
@discriminate@|@paub tau qhov sib txawv, pom tau qhov sib txawv@
@discriminate (1)@|@faj tau qhov sib txawv, saib ntsej muag hais@
@discriminate (2)@|@saib tsis taus@
@discrimination@|@saib tsis taus lwm tus@
@discuss@|@sablaj, sib sablaj, sib tham@
@discussion@|@sib pauv tswv yim, sib tham, txiav txim@
@disease@|@kab mob, mob yeej@
@disgraced@|@poob ntsej muag@
@disgusting@|@qias neeg, tsis ntxim nyiam@
@dish@|@phaj, tais@
@dish soap@|@xum npum ntxuav tais diav@
@dishes@|@phaj tais diav@
@dishonest@|@neeg siab tsis ncaj, siab nkhaus, siab tsis ncaj@
@dishonest (1)@|@kev dag@
@dishonor@|@tsis phimhwj@
@dishtowel@|@ntaub so tais diav@
@dishwasher@|@tshuab ntxuav tais diav@
@disinfectant@|@tshuaj tua kab, tua kab mob@
@disintegrate@|@tawg ua me me@
@dislike@|@fav, tsis nyiam@
@dislocate a joint@|@txhauj@
@dismal@|@phem heev@
@dismiss@|@lawb tawm mus, tso mus@
@disobedient@|@tawv ncauj, tsis nloog lus@
@disobey@|@cam thawj, tawv ncauj@
@disorder@|@nyob tsis muaj chaw, qhov txawm muaj@
@disorderly@|@sw@
@disparage@|@tub qaug@
@display@|@tso saib@
@displease@|@tsis zoo siab@
@dispute@|@kev cov nyom, kev sib cam@
@disregrad@|@tsis quav ntsej@
@disrepect@|@tub qaug@
@disrespectful@|@saib tsis taus@
@dissatisfied@|@u siab@
@dissect@|@txiav tawm, txiav tus tsiaj los kawm@
@dissent@|@kev tsis yeem lus, tsis yeem lus@
@dissimilar@|@txawv@
@dissolve@|@yaj@
@distance@|@deb, ncua, ncuas kev, nov mus rau tim, ze, ze@
@distance (1)@|@ntus kev@
@distant@|@deb@
@distant from@|@nrug@
@distinguish@|@qhov txawv@
@distinguishing@|@pom qhov txawv@
@distract@|@cuam tshuam@
@distribute@|@faib@
@district@|@ciam teb kav, tuam tsev kawm ntawv@
@district chief@|@tojxeem@
@disturb@|@cuam tshuam, looj koov, tab kaum, thab@
@disturbed@|@ntxhov@
@dive@|@dhia dej, dhia taub hau ua ntej@
@divide@|@faib, kem@
@division@|@kem@
@dizzy@|@qhov muag kiv@
@do@|@tab tom@
@do a second time@|@ua dua ib zaug@
@do again@|@loos dua@
@do business@|@ua lag ua luam@
@do on purpose@|@txwm@
@do quickly@|@kov tsij@
@do something together@|@nqag@
@do something with all heart@|@ntso@
@do spirit rites@|@ua dab qhuas@
@do wrong@|@phiv@
@Do you get pay well?@|@Koj puas tau nqe zog zoo?@
@Do you have a gas can?@|@Koj puas muaj dabtsi ntim roj?@
@Do you have any children?@|@Koj puas tau muaj menyuam?@
@Do you know how to drive?@|@Koj puas paub tsav?@
@Do you know my father?@|@Koj puas paub kuv txiv?, Koj puas paub kuv txiv?@
@Do you know my mother?@|@Koj puas paub kuv niam?@
@Do you know my younger brother@|@Koj puas paub kub tug kwv?@
@Do you like it?@|@Koj puas nyiam ua?@
@do your math!@|@Ua koj cov lej!@
@doctor@|@kws kho mob, kws tshuaj@
@doctrine@|@tej lus qhuab qhia@
@document@|@ntaub ntawv, ntaub ntawv teev tseg@
@dodge@|@maim@
@doe@|@maum muas lwj@
@dog@|@aub, dev@
@dog barking@|@nkhoob nkhoob@
@doing spiritual things@|@kev ua neeb ua yaig@
@doll@|@menyuam roj hmab@
@dollar@|@dauslas (nyiaj hauslas)@
@dolls@|@me nyuam roj hmab@
@dolphin@|@ntses taub ntswg ntev@
@domain of assessment@|@qhov uas tau txheeb xyuas txog@
@domesticated@|@nyeg@
@dominant language@|@hom lus txawj hais tshaj@
@dominate@|@tus thawj@
@donation@|@pub dawb@
@done@|@pob tsha, tas, tas, tiav lawm, ua tag lawm@
@donkey@|@luav, luj, zag@
@donor@|@pub, pub khoom rau luag@
@Don't enter!@|@Tsis pub nkag@
@don't know@|@co taub hau, xyov@
@Don't make so much noise!@|@Tsis txhob qw nrov nrov.@
@Don't tell a lie!@|@Tsis txhob hais lus dag!@
@Don't walk@|@Tsis txhob mus@
@don't..@|@tsis txhob...@
@door@|@qhov rooj@
@door hinge@|@pob khawm@
@doorknob@|@cos qhov rooj@
@dope@|@neeg ruam, tshuaj phem@
@dosage@|@noj raws pluas, noj tshuaj raws caij nyoog@
@dot@|@cab mev, lub cab mev@
@double@|@ntxaib@
@double bed@|@txaj ob leeg pw@
@double crossed@|@ntxeev siab@
@doubt@|@tsis ntseeg, xyob@
@doughnut@|@ncuav tswb neeb ncuav qab zib@
@dove@|@nquab@
@down@|@hauv, hauv qab, nram@
@down the hill@|@nram@
@downhill@|@nqes hav, nqis hav, qab ke@
@downstairs@|@theem hauv qab@
@downtown@|@hauv plawv nroog, lub phawv zos@
@dowry@|@nqi tshoob@
@doze@|@ncaws dab ntub, ntub@
@dozen@|@lum, muaj kaum ob@
@draft@|@cua ntsawj ntshab@
@draftsman@|@kws yees tshuab@
@drag@|@cab, hai, luag@
@drag along the ground@|@luag@
@dragon@|@zaj@
@drain@|@tso dej tawm@
@drain excess water@|@tsi@
@draw@|@kos duab@
@drawer@|@tub rau khaub ncaws, tub rau khoom@
@dreadful@|@phem heev@
@dream@|@npau suav, ua npau suav@
@dress@|@hnav, ris tsho hnav ua zam, tiab@
@dress code@|@hnav ris tsho raws txoj cai@
@dress form@|@qauv ris tsho@
@dress shoes@|@khau ua zam@
@dresser@|@tub rau khaub ncaws, txee rau khoom@
@dressmaker@|@kws xaws khaub ncaws, kws xaws tiab@
@dressmaker (1)@|@Kws xaws ris tsho@
@drift@|@mus ib qho rau ib qho@
@drill@|@log koob txam, rhau, tho, tshauqhov@
@drill a hole@|@tshau@
@drink@|@haus, haus dej, hauv qhuav, pas@
@drinks@|@dej qab zib@
@drip@|@nrog, txia@
@drive@|@ntiab, tsav@
@drive away@|@ntiab@
@drive out@|@ntiab@
@drive recklessly@|@leeb@
@driver@|@neeg tsav tsheb, tsav tsheb@
@driveway@|@kev tsev tsheb@
@drizzling rain@|@nag tshauv@
@drop@|@dauv, nrog, tee, ua poob@
@drop of water@|@ncos dej nrog@
@drop-out@|@tso tseg@
@drought@|@ntuj qhuav heev@
@drown@|@poob dej, tuag dej@
@drowsy@|@looj hlias@
@drug@|@tshuaj@
@druggist@|@kws tov tshuaj@
@drugs@|@tshuaj, txhaj tshuaj@
@drugstore@|@tsev muag tshuaj@
@drum@|@nruas@
@drunk@|@qaug cawv@
@dry@|@huav, qhuav, tsis ntub dej, ziab@
@dry area with few trees@|@nqha@
@dry by fire@|@sub@
@dry cleaner@|@tsev ntxhua khaub ncaws qhuav@
@dry over a fire@|@qha@
@dry season@|@caij ntuj qhua@
@dry up@|@nqhuab@
@dryer@|@tshuab ziab khaub ncaws@
@dry-land animals@|@nqhuab@
@dry-leaning@|@kev ntxhua qhuav@
@duck@|@os@
@duck in@|@chaws nplho@
@duckling@|@menyuam os@
@dude@|@neeg@
@due process@|@kev taug txoj cai@
@due process hearing@|@lub rooj kho ob tog lus@
@dull@|@npub, tsis cus, tsis hnov lus@
@dumb@|@ruam@
@dump@|@pob tseg@
@dunce@|@neeg ruam@
@dungeon@|@qhov av kaw neeg, qhov taub@
@dupe@|@ntxias tau, plhom moj@
@duplex@|@ob lub tsev@
@duplicate@|@theej tawm@
@duration@|@ntev, sijhawm ntev li cas@
@during@|@sijhawm ntawd, thaum@
@during the night@|@nyob rau hmo ntuj@
@dusk@|@tsaus ntuj zuag, yuav luag tsaus ntuj@
@dust@|@hmoov av, plaus plav, plua tshauv@
@dust cloth@|@daim so pluav tshauv@
@dust pan@|@cib laug@
@dusty@|@paug paug, plua plav@
@duty@|@dej num@
@dwarf@|@ntsias@
@dwell@|@nyob@
@dwelling@|@tsev@
@dye@|@qob, xim, zas qob, zas xim@
@dysentery@|@mob plab zaw@
@each@|@ib hom, ib lub, ib tug, ib yam, niaj, niaj, txhua lub@
@each one@|@nyias@
@eager@|@txhaus siab heev, xav ua@
@ear@|@ntsej, pob ntseg@
@ear canal@|@qhov ntsej@
@ear drum@|@ndaim ntawv npog qhov ntsej@
@ear lobe@|@taub ntseg@
@early@|@ntxov, pobkws cauj@
@early morning@|@ntug, tshais, tshais@
@earmuffs@|@khwb pob ntseg@
@earn@|@tau txais@
@earnest@|@ua tiag@
@earring@|@qhws ntsej@
@earrings@|@poj co@
@earth@|@ntiaj teb@
@earthquake@|@ntiaj teb@
@earthworm@|@cua nab@
@east@|@sab hnub tuaj@
@easy@|@yooj yim, yoojyim@
@eat@|@noj@
@eat breakfast@|@noj tshais@
@eat dinner@|@noj mo@
@eat New Year Feast@|@noj tsiab@
@eat only one food item@|@noj qhuav@
@eat ravenously@|@dhuas, moov@
@echo@|@suab ntxhe, zab teb@
@eclipse@|@dab noj hnub, thaum lub hli ntis lub hnub@
@economist@|@kws xam nyiaj txiag@
@economy@|@nyiaj txiag kev lag kev luam@
@economy (1)@|@kev nrhiav nyiaj txiag@
@edge@|@hniav, npoo, ntsis ntse, ntug@
@edible@|@yam khoom noj tau@
@edit@|@kho kom raug@
@educate@|@kawm ntawv@
@education@|@kev kawm@
@education assistant@|@tus pab qhia ntawv@
@education setting@|@qhov chaw kawm ntawv@
@eel@|@ntses nab@
@effect@|@ua rau nws zoo li cas, zoo li cas lawm@
@effective@|@leej, ntxim, tej lim, ua tau zoo ntxiv@
@efficient@|@tsis phuaj lam, tsis xiam@
@effort@|@rau siab, siv zog@
@egg@|@hlim, lub qe, nkaub, qe, qee@
@egg rolls@|@kab yob@
@egg shell@|@plhaub qe@
@egg white@|@hli@
@egg yolk@|@nkaub qe@
@eggplant@|@les, lws, txiv lws ntev@
@eight@|@cuaj, yim@
@eighteen@|@kaum yim@
@eighth@|@thib yim@
@eighth grade@|@qib yim@
@eighty@|@yim caum@
@either way's all right with me@|@ua li cas kuj yog@
@elaborate@|@piav ntau zog ntxiv@
@elapse@|@dhau caij, dhau mus@
@elbow@|@lub tshib, yas npab@
@elder@|@txwj laus@
@elect@|@xaiv tsa@
@elected office@|@tuav dejnum@
@election@|@kev xaiv tsa@
@electrician@|@kev kho hlauv taws xob, kws kho hluav taws xob@
@electricity@|@hluav taws xob, hluavtaws xob@
@elegram@|@tsab xov ntaus@
@elementary school@|@tsev kawm ntawv theem pib@
@elephant@|@ntxhw@
@elevator@|@ntaiv hluav taws xob@
@eleven@|@kaum ib@
@eleventh grade@|@qib kaum ib@
@eligible@|@muaj cai txais, tau txais kev pab@
@eliminate@|@erase, thuam@
@elimination@|@rho tawm, txiav tawm, ua kom du lug@
@elite@|@cov neeg tseem ceeb@
@elk@|@mos lwj hom loj@
@ellegible@|@tsis pom zoo@
@elope@|@tsis pom zoo@
@elude@|@nkaum, nraim@
@embarrass@|@txajmuag@
@embarrassed@|@txaj muag@
@embers@|@ncaig@
@embrace@|@khawm, puag@
@embroidered ends@|@hlab ntxhoo@
@embroidery@|@laug, paj ntaub@
@emding@|@kawg, qhov xaus@
@emerge@|@tawm los@
@emergency@|@ceev heev, xwm, xwm ceev@
@emergency exit@|@txoj kev tawm ceev@
@emigrant@|@neeg tawm mus txawv tebchaws@
@emotion@|@kev puas siab puas ntsws, siab ntsws xav@
@emotional@|@npau taws@
@emotional ability@|@rab peev xwm coj tau tus@
@emotional disorders@|@kev ntshawv siab, kev tsiv siab@
@emotionally@|@siab tsis tus, tswj tsis tau@
@emough@|@txaus@
@empathy@|@nrog@
@emperor@|@faj tim@
@emphasize@|@feem ntau@
@empire@|@faj tim teb chaws@
@employ@|@ntiav@
@employee@|@tus ua num@
@employer@|@tswv num@
@employment@|@kev txib haujlwm@
@empty@|@khab, khoob lug, tas du lug, tsis muaj dabtsi@
@encircle@|@khaub zig, ncig@
@enclose@|@xa nrog tuaj@
@enclosed valley@|@hav zawj@
@encounter@|@raug@
@encourage@|@txhawb, yaum@
@encrusted@|@khub@
@end@|@kawg, kawg, tag, tag, tas, tas, tws, ua tag lawm, ua tag lawm, xaus, xaus@
@endangered@|@yuav ua rau ploj tu noob tag@
@ended@|@tag nrho@
@endorse@|@sau yuas@
@endure@|@thev@
@enemy@|@yeeb ncuab@
@energetic@|@nquag@
@energy (1)@|@haj, haj, lub zog, muaj zog@
@engaged@|@txij nkawm@
@engagement@|@sib qhaib@
@engine@|@cav, tshuab tsheb@
@engineer@|@kws ua choj, kws ua kev@
@English@|@Akiv, lus Askiv@
@enhance@|@ua kom zoo zog ntxiv@
@enigma@|@tej yam paub tsis txog@
@enjoy@|@xis, xyivfab@
@enlarge@|@ua kom loj@
@enlarged@|@tsam@
@enlarged spleen@|@mob txiav@
@enlighten@|@to taub, ua kom meej@
@enough@|@pov chaw, txaus@
@Enough to live on.@|@tau txaus noj txaus haus., Zoo thiab@
@enroll@|@muab npe rau, muab npe rau, muaj npe lawm, sau npe@
@enrollment@|@muab npe rau, muaj npe lawm@
@ensemble@|@khaub ncaws ntau@
@enter@|@nkag mus@
@entertain@|@lom zem, ua kom zoo siab@
@enthusiastic@|@kub siab, txaus siab heev, zoo siab@
@entice@|@ntxias@
@entire@|@tag nrho@
@entrance@|@chaw nkag mus, qhov rooj nkag@
@entrepreneur@|@ua lag luam@
@entry@|@sau rau@
@enunciate@|@hais meej meej@
@envelope@|@hnab ntawv@
@environment@|@ib puag ncig, ib thaj tsam chaw ncig@
@environmental print@|@cov npe ntawv rhais tom tej@
@envy@|@khib@
@epidemic@|@mob teb hlob, phaum@
@epilepsy@|@qaug dab peg@
@episode@|@dabneeg ntev tsawv, ib ntu yeeb yam@
@eplepsy@|@qaug dab peg@
@epoch@|@ntu@
@equal@|@npaum, sib npaug@
@equal chance@|@muaj feem sib npaug@
@equation@|@ob sab sib npaug, sib npaug@
@equator (1)@|@ncaj ncees@
@equilateral@|@xab xeeb kaum pebfab sib luag@
@equip@|@tau@
@equipment@|@khoom siv@
@equitable@|@ncaj ncees lawm, sib npaug zos@
@equivalent@|@npaum, sib npaug@
@erase@|@lwv tawm, thuam, ua kom ploj@
@eraser@|@lub so tawm, lwv, lwv ntawv@
@erect@|@txua@
@erect poles@|@txhos ncej@
@erode@|@yaig, yaig zuj zus@
@erosion@|@kev yaig@
@err@|@ua yuam kev@
@errand@|@ib qho hauj lwm me me@
@erring@|@qhws tsej@
@error@|@tsis yog lawm, txhaum, ua yuam kev, yuam kev@
@error (1)@|@hais tsis yog, qhov yuam kev, teb tsis raug@
@erupt@|@tawg tuaj@
@escape@|@dim, khiav tawm@
@esophagus@|@hlab pas@
@especially@|@yam tshwj xeeb@
@essay@|@sau ntawv@
@essential@|@qhov tseem ceeb@
@essentially@|@yeej tseem zoo@
@establish@|@tsim kom muaj@
@estate@|@lag luam vajtse av real, qub txeeg qub tes@
@estimate@|@kev yees xam, kwv yees, kwvlam@
@eternal@|@ib txhis@
@eulogy@|@qhia nus lub neej@
@evade@|@nkaum, nraim@
@evaluate@|@kuaj xyuas, soj ntsuam@
@evaluation@|@kev ntsuam xyuas, kev ntsuas@
@evaporate@|@yaj@
@even@|@khub, tiaj, tus@
@even day@|@hnub txooj@
@even number@|@leb muaj khub, muaj txwm@
@even though@|@txawm tias@
@evening@|@caij tsaus ntuj, yav tsaus ntuj@
@event@|@sib sau ua ke, ua kev zoo siab ua ke@
@event (1)@|@tej yam tshwm sim@
@eventually@|@thaum tawm@
@every@|@niaj, txhua txhua@
@every time@|@txhua txhua zaug@
@everybody@|@sawvdaws, txhua leej txhua tus@
@everyday@|@niaj hnub, txhua hnub@
@everyone@|@sawvdaws, tag nrho, txhua leej txhua tus@
@everything@|@txhua txhua yam@
@everywhere@|@qhovtxhia qhovchaw@
@evidence@|@pov thawj@
@evil@|@kev phem, kev phem kev qias, phem@
@evil omen@|@chov@
@evil person@|@siab dub txig@
@evil spirit@|@dab@
@exact@|@haum nkaus, npliag, npliag, txaus nkaus@
@exactly@|@yog kiag@
@exaggerate@|@hais ntau tshaj li qhov muaj@
@examination@|@kev sib tw kev txawj, tshuaj ntsuam xyuas@
@examine@|@tshuaj xyuas@
@examiner@|@tus kws ntsuam xyuas, tus kws txheeb xyuas@
@example@|@piv txwv, yam ntxwv@
@excavate@|@khawb@
@exceed@|@tshaj@
@except@|@tsis pub@
@excess@|@ntau heev@
@exchange@|@sib hloov, sib pauv@
@exchange places@|@txauv@
@excite@|@ua kom muaj siab@
@excited@|@zoo siab heev@
@exclaim@|@quaj qw hais tawm@
@exclude@|@cais, tsis muaj  nrog@
@excrete@|@paim@
@excrete liquid from wound@|@paim@
@excuse@|@keb, kev thov txim, thov txim@
@execute@|@txim tuag@
@execution@|@tiav@
@exemption@|@zam@
@exercise@|@dhia ua si kom muaj zog@
@exhale@|@ua pa tawm, xyu@
@exhausted@|@sab lim@
@exhaustion@|@qaug zog, siv loj ua du lug, tsaug heev@
@exile@|@tshem tawm@
@exit@|@chaw tawm, qhov rooj tawm@
@expand@|@txuas ntxiv kom dav, ua kom dav ntxiv@
@expect@|@tos ntsoov yuav pom, xav kom@
@expectation@|@kev cia siab tias yuav tiav@
@expedition@|@ntoj ke mus kawm@
@expediture@|@siv nyiaj txiag@
@expel@|@ntiab tawm, tshem tawm@
@expensive@|@kim, tsis pheejyig@
@experience@|@kev uas yus ua tej yam, tej yam uas yus ua@
@experience (1)@|@hom tau ua dhau los@
@experiment (1)@|@ua ib yam dab tsi kom yus paub@
@experimental@|@sim, ua seb puas yog@
@explain@|@piav@
@explicit@|@qhia tau meej heev@
@explode@|@tawg@
@explore@|@mus tshawb kawm tej yam tshiab, tshawb@
@explosion@|@tawg@
@expore@|@nrhiav@
@export@|@xa khoom tawm txawv tebchaws@
@express@|@maj, piav qhia@
@expression@|@hais piav qhia, kev muab ua lus hais piav qhia@
@expression on face@|@kev ua ntsejmuag qhia@
@expressive language@|@paub qhia tej lo lus@
@expressive vocabulary@|@kev paub qhia lo lus@
@expressway@|@txoj kej khiav ceev@
@extend@|@cuag, cuag, hlev, ntxiv rau, ntxiv sij hawm ntxiv@
@exterior@|@sab nraum zoov@
@external@|@sab nraud@
@extinct@|@ploj tag lawm, tu noob@
@extinguish@|@tua@
@extra@|@ntxiv, seem@
@extreme@|@heev, heev, tas zog@
@eye@|@mua, qhov muag@
@eye chart@|@phiaj tsom qhov muag@
@eyebrow@|@plaub muag@
@eyeglesses@|@tsom iav qhov muag@
@eyelash@|@di muag@
@eyelid@|@di muag, tawv muag@
@fabric@|@ntaub@
@fabulous@|@xav tsis thoob, zoo heev@
@face@|@ceb muag, muag, ntsej muag@
@face downward@|@rwg@
@face to face@|@tabmeeg@
@face towel@|@phuam ntxuav muag@
@fact@|@lo lus ntsuas cia, tiag, tseeb@
@factory@|@koom xwm@
@faculty@|@kws qhia ntawv@
@fade@|@thim@
@fail@|@poob, poob lawm, swb, swb, tsis dhau, ua tsis@
@fail to hatch@|@qauj@
@failure@|@poob@
@faint@|@feeb, tsaus muag, tsaus muag@
@fair@|@ntxim nyiam, tshav ntuj, zoo nkauj, zoo txaus@
@fair (1)@|@tsev khw teem caij@
@faithful@|@muaj lub siab ua kom tiav, ncaj ncees@
@fake@|@cuav, txuj@
@fall@|@ntog, qaug, txeej, vau, vaus@
@fall (1)@|@caij nplooj ntoos zeeg@
@fall down@|@poob, vau@
@fall falt@|@ntog@
@fall over@|@ntog@
