@English@|@Nepali@
@extremely@|@attenta, attyanta, jyadai@
@extremely beautiful@|@abhiram@
@eye@|@ankha@
@eyebrow@|@ankhibhuin@
@eyelash@|@parela@
@facade@|@muhar@
@face@|@mukh@
@facility@|@suvidha@
@facing@|@aghiltira@
@facion@|@phesan@
@fair-complexioned@|@goro@
@faith@|@astha@
@faithful@|@imandar@
@fall@|@adhogati, patan@
@fallen@|@bhrasta, patit@
@false@|@jhutho, jhuto@
@family@|@jahan, parivar, santan@
@family priest@|@purohit@
@famine@|@anikal@
@famous@|@naun caleka, prakhyat@
@fan@|@pankha@
@far away@|@tadha@
@far-sightedness@|@durdarshita@
@fascination@|@atmavibhorta@
@fashion@|@nakkal@
@Fast@|@jaldi@
@fasting@|@anashan@
@fat@|@moto@
@father@|@ba, babu, janmadata, pita@
@father-in-law@|@sasura, sasuro@
@father's brother@|@kaka@
@father's brother's wife@|@kaki@
@father's elder brother@|@thulo ba, thulo buva@
@father's elder brother's wife@|@thuli ama@
@father's sister@|@phupu@
@father's sister's husband@|@phupaju@
@fatigue@|@thakai@
@favourable@|@anukul@
@fear@|@atangka, dar@
@feeling@|@citta@
@female@|@striling@
@female disciple@|@celi@
@fermented and dried vegetables@|@gundruk@
@fertile@|@malilo@
@feudal@|@samanti@
@few@|@ali, thorai@
@field@|@jamin@
@fiery@|@analamaya@
@fifteen@|@pandhra@
@Fifteen@|@pandra@
@fifth@|@pancaun@
@fifth month of the Nepali year@|@Ashvin, Asoj, bhadau, bhadra@
@fifty@|@pacas@
@fifty-eight@|@anthaunna@
@fifty-five@|@pacpanna@
@fifty-four@|@cavanna@
@fifty-nine@|@unsathi@
@fifty-one@|@ekanunna@
@fifty-seven@|@santaunna@
@fifty-six@|@chapanna@
@fifty-three@|@tripanna@
@fifty-two@|@baunna@
@fig@|@nebharo@
@fight@|@maramar@
@figure and letter@|@angka ra akshar@
@file@|@kshetra@
@fillet@|@angkapatra@
@filth@|@gandagi@
@finance@|@artha@
@fine@|@arthadanda, badhiya, danda, danda, jarimana, jarimana, jarivana@
@Fine@|@sanchai@
@fine flour@|@maida@
@finger@|@angul, aunlo@
@finger impression@|@anguli pratimudra@
@fingerprint@|@anguli mudra@
@finish@|@khatam@
@finished@|@samapta@
@fire@|@agni, agnikand@
@fire sacrifice@|@havan@
@firefly@|@junkiri@
@fireplace@|@ageno@
@firewood@|@daura@
@firm@|@atal@
@first@|@aghillo, agillo, pahilo, pratham@
@first cause@|@adikaran@
@first epic@|@adikavya@
@first month of the Nepali year@|@vaishakh@
@first number of the magazine@|@patrikaako pa'ilo anka@
@first person@|@pratam purusvacak, pratham purus@
@first poet@|@adikavi@
@fish@|@macha@
@Fishing@|@jal-sikär@
@fission@|@vikhandan@
@fist@|@muthi@
@five@|@panc, panch@
@fixed@|@kayam@
@fixes@|@toknu@
@flat iron pan@|@tai@
@flat on one's back@|@uttano@
@flat spoon for ladling rice@|@paniun@
@flat spoon used for ladling@|@puniun@
@flattened rice@|@ciura@
@flea@|@upiyan@
@flight@|@udan@
@flood@|@jal-pralaya@
@Flood@|@jal-thal@
@flood which forms regular lake@|@jalätal, jalätäl@
@floor@|@bhain, bhuin, tala@
@floor seat@|@pira@
@floral tribute@|@puspaanjali@
@flour@|@pitho@
@flour boiled in water@|@haluva@
@flour of dryfried corn@|@satu@
@flower@|@phul@
@flower garden@|@phulbari@
@folds@|@pattyaunu@
@follow-up@|@anugaman@
@food@|@ahara, anna, bhojan, khanekura@
@Food@|@kanah@
@food grains@|@khadyanna@
@foot@|@caran@
@footpath@|@doreto@
@footstep@|@kadam@
@for@|@upar@
@for a moment@|@ek chin@
@for how much?@|@katima?@
@for the sake of@|@nimitta@
@for the whole day@|@dinbhari@
@forbidden land@|@nisedh bhumi@
@forehead@|@nidhar@
@foreign@|@pararastra@
@foreign aid@|@videshi sahayata@
@foreign country@|@videsh@
@foreign land@|@vilayat@
@foreign minister@|@pararastra mantri@
@foreign ministry@|@pararastra mantralaya, pararastriya@
@foreigner@|@videshi@
@forest@|@bana@
@forest resources@|@vanko dhan@
@forest users group@|@van upabhokta samuha@
@fork@|@kanta@
@form@|@svarup@
@formally polite@|@aupacarik adarvaci@
@formation@|@gathan, sandarbha@
@former@|@sabik@
@former small state@|@parvat@
@formerly India's under the GB@|@pa'ile bhaarat angrejko thiyo@
@formless@|@amurta@
@forty@|@calis@
@forty-eight@|@athcalis@
@forty-five@|@paintalis@
@forty-four@|@cavalis@
@forty-nine@|@unancas@
@forty-one@|@ekcalis@
@forty-seven@|@satcalis@
@forty-six@|@chayalis@
@forty-three@|@tricalis@
@forty-two@|@bayalis@
@forum@|@manc@
@foundation@|@adhar, jaga@
@founded@|@sthapit@
@four@|@car, char@
@four times@|@caubar@
@fourteen@|@caudha@
@Fourteen@|@chandah@
@fourth@|@cautho@
@fourth eldest of brothers@|@kahinlo@
@fox@|@phyauro@
@fragrance@|@attar@
@frame@|@jiu@
@free@|@svatantra@
@free from axiety@|@dhukka@
@free from debt@|@arini@
@free from trouble@|@akantak@
@free time@|@avakash@
@freedom@|@svatantrata@
@free-hold land@|@birta@
@French@|@phranseli@
@frequent defectionist@|@ayaram gayaram@
@fresh@|@taja@
@Friday@|@shukavar, shukravar@
@fried meat@|@bhuteko masu, bhutuva@
@friend@|@mit@
@friendship@|@sadbhavana@
@frog@|@bhyaguto@
@froh@|@khusi@
@from left to right@|@agal-bagal@
@from now on@|@aba@
@fruitless@|@viphal@
@fruits and flowers@|@phalphul@
@frying pan@|@tapke@
@Full of water@|@jalamaya, jalämaya, jalämme, jaljale@
@full to the brim@|@bhari, bharibharau, bharipurna@
@fullness@|@bhar@
@function@|@triyakalap@
@functions@|@kriyakalap@
@gained@|@upalabdha@
@gamble@|@juva@
@game@|@khel@
@garden@|@bagainca, bari@
@gardening@|@bagbani@
@garlic@|@lasun@
@gateway@|@dhoka@
@gathering of people@|@bhela@
@gem@|@juhar@
@gender@|@ling@
@general@|@am@
@general assembly@|@mahadhiveshan@
@general elections@|@amnirvacan@
@generation@|@pusta@
@generic term@|@jativacak nam, samanya nam@
@generosity@|@udarta@
@gentle@|@Shista@
@genuine@|@asali@
@geographic@|@bhaugolik@
@geographical importance@|@bhaugolik mahatva@
@geological survey@|@bhugolko anusandhan karya@
@geology@|@bhugarbha vigyan@
@germination@|@angkuran@
@gesture@|@ishara, mudra@
@get stuck@|@aRkanu@
@gift@|@dan, upahar@
@gigantic@|@bado@
@ginger@|@aduva, atuva@
@girl@|@keti@
@Girl@|@chori@
@girls@|@thiti@
@girls trafficking@|@celibeti becvikhat@
@giver@|@data@
@giving and taking of things@|@adan-pradan@
@glad@|@gadagad@
@gladness@|@rijha@
@glass@|@glas@
@glimpse@|@abhas@
@gloomy@|@andheri, andhyaro@
@gnat@|@bhusuno@
@goal@|@lakshya@
@goat@|@bakhro@
@god@|@devata@
@God@|@akavat@
@Godavari; village in Kathmandu@|@godavari@
@godown@|@godam@
@gold@|@sun@
@golden@|@dhani, sunaulo@
@gone@|@atit@
@gone away@|@vigat@
@good@|@kalyan, ramro@
@Good@|@deray ramro@
@good government@|@sushasan@
@Good Luck@|@saphalhos@
@good morning@|@Shubha prabhat, Shuva bihan@
@good night@|@shuva ratri, Subha raatri@
@good saying@|@sukti@
@good wishes@|@sadiccha@
@Goodbye@|@Namasté@
@goods@|@cijbij, maltal@
@Gopal Prasad Rimal@|@gopalprasad rimal@
@government@|@sarkar, shasan-pranali, shasanpaddhati, shasanpaddhati@
@government work@|@rajkaj@
@governmental@|@sarkari, shasakiya@
@graft@|@ghus@
@granary@|@anna-bhandar@
@grand@|@bhavya@
@granddaughter@|@natini@
@grandfather@|@baje, budha ba, hajurba, hajurba, hajurbuva, hajurbuva@
@Grandfather of Manadeva I@|@shankaradeva@
@grandmother@|@amai, bajyai, budhi ama, hajurama, hajurama, hajurama, hajurmuma, hajurmuma@
@grandson@|@nati@
@granite@|@grenait@
@grant@|@anudan@
@grape@|@anggur, angur@
@grapefruit@|@bhogate@
@grau@|@vriddha@
@grave@|@cihan@
@grease@|@poto@
@great poet@|@mahakavi@
@great-grandfather@|@bara@
@great-grandfather of Manadeva@|@vrisadeva@
@greatness@|@mahatta, mahatva@
@greed@|@lobh@
@greedily@|@lobhi@
@green@|@hariyo@
@grey hair@|@phuleko kesh@
@grizzled@|@phusro@
@ground@|@bhuin, bhumi@
@ground corn@|@cyankhla@
@grumbling@|@ganagan, ganaganahat@
@guardian@|@abhibhavak@
@guardianship@|@sanrakshan@
@guava@|@amba@
@guest@|@pahuna@
@guest house@|@atithighar, atithishala@
@guiltless@|@akapat@
@gum@|@gija@
@Gurung; a Nepali nationality@|@gurung@
@habit@|@bani, svabhav@
@hair@|@bhutla@
@hair of the body@|@raun@
@hair of the head@|@kesh@
@half@|@adha@
@half past@|@sadhe@
@half past one@|@dedh baje@
@half past two@|@adhai baje@
@hand@|@hat@
@handicraft@|@hastakala, sip@
@handmill for grinding corn@|@janto@
@happiness@|@anand, maja@
@happy@|@anandi@
@hard labour@|@shram@
@hare@|@kharayo@
@harsh@|@kada, kathor@
@harvest@|@upaj@
@Have A Good Trip@|@ramro saga jaanos@
@having no ear@|@akarna@
@having no enemy@|@ajatshatru@
@having the form of@|@rupi@
@hawk@|@baj@
@he@|@so, uhan@
@He@|@U(without respect), Uha (with respect), Uni (without respect)@
@he always used to come before@|@u agi-pachi sadaï aaüthyo@
@He ate an apple@|@Usle syau  khayo@
@he comes here in the afternoon@|@wãã aksar diüso aaunuhuncha@
@He eats an apple@|@Usle syau khanchha@
@He goes@|@U janchha@
@He has eaten@|@Usle khayeko chha@
@he instigates corrupt behavior@|@naraamro kaammaa agi sarcha@
@He is eating an apple@|@Usle syau khai raheki chhin@
@he is still busy@|@u aja besta cha@
@He slept the whole night@|@Uni raat bhari sutyo@
@He will come@|@Uha aoucha@
@He will go@|@Uha jancha@
@He wrote well in the exame@|@Usle pariksha ramro lekhyo@
@head@|@kapal, tauko@
@head of state@|@rastranayak@
@headstrong@|@ateri@
@health@|@svasthya@
@healthy@|@svasth@
@heap@|@thupro@
@heart@|@mutu@
@hearth@|@agena@
@heat of the sun@|@rap@
@heaven@|@paramdham, sagar, sagar, svarg@
@heavenly musician@|@gandharva@
@heavy@|@gahraun, gahrungo@
@heeds@|@ternu@
@he-goat@|@boko@
@height@|@uncai@
@heirship@|@angshako hak@
@hello@|@Namaskaar, Namasté@
@Hello@|@Namasté@
@help@|@bhogdan, sahara, sahayata@
@helpless@|@asahaya@
@hen@|@kukhurako pothi, kukhuri@
@hence@|@atah@
@here@|@yahan, yasmadhye@
@hermitage@|@ashram@
@heroic@|@parakrami@
@hidden@|@ojhel@
@hide@|@camada@
@high@|@aglo, unco@
@high minded@|@udar@
@high mountain@|@aglo pa'aaR@
@higher@|@badhi@
@hill@|@danda, dando@
@hilly region@|@lek, pahadi pradesh@
@Himalayan region@|@himalaya pradesh@
@Himalayan wild goat@|@ghoral@
@hinderance@|@badha@
@hindering@|@badhak@
@Hindi@|@hindi@
@hint@|@sangkat@
@hip@|@nitamba@
@Hippopotamus@|@jal-häthi, jala-hasti@
@hire@|@bhada@
@historian@|@itihaskar@
@historical@|@aitihasik, itihasik@
@history@|@itihas@
@History@|@kahani@
@hog@|@sungur@
@holiday@|@parva@
@holy men@|@santa-mahanta@
@home@|@nivas@
@honest@|@imandar@
@honesty@|@imandari@
@honey@|@maha@
@honeybee@|@mauri@
@honorable@|@mananiya@
@honorary member@|@adarniya sadasya.@
@honorific@|@manbodhak@
@hook@|@ankush@
@hope@|@ash, ash, asha, bharosa@
@hopeless@|@gatta, gattam@
@horse@|@ghoda@
@horse carriage@|@baggi@
@horticulture@|@bagvani, phalphul kheti@
@hospital@|@aspatal@
@hostel@|@chatravas@
@Hot@|@tato@
@hot and sour pickle@|@acar@
@hot in taste@|@piro@
@Hot Water@|@tatopani@
@hotel@|@hotel@
@house@|@ghar, griha@
@House@|@Ghara@
@housefly@|@jhingo@
@how are you (2)@|@Aaraamai hunu huncha?, Malaai sancai cha@
@How are you?@|@Tapaai laai kasto chha?, Timilai kasto chhaa?@
@how are you? (1)@|@Tapaainlaai kasto cha?@
@How Are You? (1)@|@kasto cha@
@How did you come?@|@Timi kasari ayau?@
@How did you write?@|@Timile kasto lekhyo?@
@How Many@|@kati@
@How Many Children Do You Have@|@tapainko chorachori kati cha?@
@How many did you take?@|@Timile kati ota linchhau?@
@How many years will you stay?@|@Nepaalmaa kati barsa basne?@
@How Much@|@kati@
@How much did he pay you?@|@Usle timilai kati tiryo?@
@How much distance to go?@|@Jana lai kati duri chha?@
@how much is it?@|@kati bhayo?@
@How Much Is That?@|@Kati Ho?@
@how much?@|@kati@
@How was the journey yesterday?@|@Hijo ko yatra kasto bhayo?@
@hug@|@angalo@
@huge@|@brihat@
@humerous@|@hansilo@
@hundred@|@saya, shatak@
@hunger@|@bhok@
@hunting paradise@|@shikariko svarg@
@hurt@|@ghaite@
@husband@|@logne, pati, poi, shriman@
@husband and wife@|@dampati@
@husband's elder brother@|@jethaju@
@husband's elder brother's wife@|@jethani didi@
@husband's elder sister@|@amaju@
@husband's young brother's wife@|@devarani@
@husband's younger brother@|@devar@
@husband's younger sister@|@nanda@
@husband's younger sister's@|@nandebhai@
@husked but uncooked rice@|@camal@
@hymn@|@rica@
@Hyolmo; a Nepalese nationality@|@hyolmo@
@hyperbole@|@atyukti@
@I@|@Ma@
@I am fine@|@Ma sanchai chhu@
@I am Nepali@|@ma nepali hu@
@I do not understand@|@jin mathu@
@I don't know@|@kunni, malai thah chaina@
@I don't like@|@malai man pardaina@
@I don't like Dal Bat@|@Mon lai pul daina dal bhat@
@I don't understand@|@Maile bujhdain@
@I don't understand Nepali@|@ma nepaali bujdina@
@I go@|@Ma jau, mon jaun@
@I go down@|@mon jaon ralo@
@I go far@|@mon jaun taro@
@I go up@|@mon jaon oh calo@
@I like@|@malai man parcha@
@I Like Dal Bhat@|@ma lai dal bhat@
@I love you@|@ma timilai maya garchu@
@I salute the god within you@|@namaste@
@I shall come with you@|@Ma timi sanga auchhu@
@I Speak Very Little Nepali@|@ma ali ali nepali bolchu@
@I Stay One Day@|@ek din basne@
@I suppose@|@kyare@
@identity@|@cinari@
@ideological@|@vaicarik@
@idle@|@akarmanya, alchi, alsi@
@idleness@|@alasya@
@ignorance@|@agyan, asicchit@
@ignorant@|@ajan@
@Ilam district@|@ilam@
@illiteracy@|@ashiksha@
@illiterate@|@apadha, niraccher, nirakshar@
@illiterate exist in darkness@|@haru ãdyaaromaa chan@
@I'm Fine@|@tik cha@
@I'm Sick@|@ma birami chu@
@imagination@|@kalpana@
@immediate@|@turunta@
@immigrant@|@apravasi@
@imminent@|@asanna@
@immorality@|@anautikta@
@immovable@|@sthira@
@important@|@samriddha@
@impossible@|@asambhava@
@imprisonment@|@bandhan, kaid, kara@
@improper@|@akaraniya, akartavya, najayaj@
@improve@|@sanshodhit@
@improvement@|@sudhar@
@improves@|@sudharnu@
@impure@|@ashuddha@
@imputation@|@arop@
@in any country@|@ekadeshma@
@in bunches@|@lataramma@
@in childhood@|@ketaketima@
@in everyday language@|@bolcalma@
@in front of@|@agadi, aghadi, aghiltira, agiltira, pesh@
@in public@|@janasamaksha@
@in reality@|@vastavik@
@in such darkness@|@yasto andhyaroma@
@in sum@|@jama, jamma@
@in the custom@|@pracalit@
@in the evening@|@sanjha@
@in the frame@|@bhandaa agi, goliile bhuTnu@
@in this connection@|@tyasprati@
@in what way?@|@kasari@
@incapable@|@shaktihina@
@incence@|@dhup@
@incessant@|@ektak@
@incident@|@ghatana@
@inclination@|@abhiruci@
@inclination of mind@|@pravritti@
@included@|@antargat@
@including@|@lagayat, sath, sath@
@incoherence@|@asanggati@
@income@|@amdani, amdani, amdani badhaune, kamai@
@inconvenience@|@asuvidha@
@indebted@|@rini@
@indecent@|@ashlil@
@Independence@|@svadhinta@
@independence day@|@svatantrata divas@
@independence from party@|@dalvihinata@
@independent@|@svadhin@
@independent from a noun@|@namasthanik@
@India@|@bharat@
@Indian@|@bharatiya@
@Indian Moghul Emperor@|@akbar@
@indifferent@|@bevasta@
@indigo@|@nir@
@indoeuropean@|@bharopeli, bharopiya@
@Indonesien@|@indonesia@
@industrial@|@audyogik, udyamashil@
@industrious@|@mihineti, udyogi@
@industry@|@mehanat, udyog@
@inequality@|@asamanta@
@inevitable@|@anivarya@
@inexpressible@|@akathaniya, akathya@
@inference@|@anuman@
@influence@|@prabhav@
@information@|@sandesh@
@informed@|@jaapit@
@infrastructure@|@purvadhar@
@infringement@|@atikraman@
@inhabitant@|@basinda, nivasi@
@inhabitant of Ilam@|@ilame@
@inhuman@|@amanav@
@injustice@|@anyaya@
@ink@|@masi@
@inland letter@|@antardeshiya patra@
@inland waterways@|@antardeshiya jalpath@
@innocent@|@niraparadh@
@innumerable@|@asankhya@
@inopportune@|@asamayik@
@insatiability@|@atripti@
@inscription@|@abhilekh@
@inside@|@bhitra@
@insistence@|@akad@
@instance@|@udaharan@
@institution@|@sanstha, sansthan@
@institutional@|@sansthagat@
@instruction@|@nirdesh, nirdeshan, upadesh@
@insufficient@|@kamta@
@integration@|@ekikaran@
@intelligence@|@akal, cetana@
@intelligent@|@buddhijivi, jehendar@
@interest@|@ruci@
@interested@|@icchuk@
@interference@|@khicalo@
@interior@|@antarik@
@interjection@|@vismayadibodhak@
@internal trade@|@antardeshiya vanijya@
@international@|@antarrastriya@
@international law@|@antarrastriya kanun@
@International Monetary Fund@|@antarrastriya mudrakos@
@interned@|@antarvasit@
@internee@|@antarvasi@
@internship@|@antarvasan@
@interrogative pronoun@|@prashnarthak sarvanam@
@interruption@|@hastakshep@
@interview@|@antarvarta@
@intimidation@|@garjan-tarjan@
@intoxicating@|@lagu@
@intransitive@|@akarmak@
@intrige@|@kucakra@
@introduction@|@prastav, prastav, prastavana, visayapravesh@
@introvert@|@antarmukhi@
@invention@|@aviskar@
@investment@|@lagani@
@involved@|@antargrasta@
@Ireland@|@ayarlaind@
@iron@|@phalam@
@irrigated@|@sincit@
@irrigation@|@patani, sincai@
@irritation@|@ris@
@Is@|@Ho@
@is close@|@nagi cha@
@Is it a book?@|@Yo auta kitab ho?@
@is low@|@tolla cha@
@Is There Food@|@kanah cha?@
@issue@|@nambara@
@it became evening@|@sanjha paryo@
@it has got lost@|@harayo@
@It is a book@|@Yo kitab ho@
@it is late@|@aber bhayo@
@it is shut@|@banda bhayo@
@it looks like@|@jasto dekhincha@
@it sounds like@|@jasto sunincha@
@It's A Beautiful Day@|@deray ramro din cha@
@It's Enough@|@pugyo@
@It's Food Tasty Good@|@mitho cha@
@it's getting dark@|@rat parcha@
@It's The Same@|@ehyotay ho@
@It's Very Windy@|@daray howahcha@
@jack fruit@|@katahar@
@jackal@|@syal@
@jail@|@bandighar@
@Japan@|@japan@
@jealous@|@irsyalu@
@jealousy@|@ikh@
@Jhangad; Nepalese nationality@|@jhangad@
@Jirel; a Nepalese nationality@|@jirel@
@journalist@|@patrakar@
@journey by water@|@jal-jäträ@
@judge@|@nyayadhish@
@judiciary@|@nyayapalika@
@juice@|@ras@
@jurisdiction@|@ilaka@
@justice@|@nyaya, nyayadhish@
@jute@|@pat, san@
@keeper@|@sanrakshak@
@kettle@|@kitli@
@key@|@talika@
@kick@|@latti@
@kind@|@kisam, kisim, varga@
@kind of marriage@|@gandharva-vivaha@
@kind of playing cards@|@ganjipha@
@kind of river bird@|@jalewä@
@kind of tree@|@jalpäi@
@kindness@|@daya@
@king@|@narendra, naresh, raja@
@king throne@|@sinhasan@
@kingdom@|@rajya@
@king's address relatives@|@bhai-bharadar@
@kiss@|@mvain@
@kitchen@|@bhansa, bhojnalaya@
@kitten@|@chauro@
@klassenlos@|@vargahin@
@klima@|@jalvayu@
@knee@|@ghunda@
@knowledge@|@akkal, buddhi, gyan, janakari, thaha@
@knowledgeable@|@jaani@
@known@|@janieko, prasiddha@
@Korea@|@koriya@
@Kunsthandwerk@|@kalakaushal@
@laborious@|@parishrami@
@labour@|@mihinet@
@lächeln@|@muskuraunu@
@lack of clarity@|@aspastata@
@lack of peace@|@ashanti@
@lacking salt@|@alilo@
@ladle@|@dadu@
@lake@|@daha, tal@
@lamb female@|@pathi@
@lamb male@|@patho@
@lamp@|@batti@
@landland@|@jagga@
@land-locked country@|@bhu-parivestit desh@
@language@|@bhasa@
@large@|@bada, dirgha@
@large bamboo@|@mandro@
@large close-meshed basket@|@thunse@
@large hammer@|@ghan@
@large millet@|@junelo@
@large water-vessel@|@ghailo@
@large yellow pumpkin@|@pharsi@
@last@|@antim, antis, pachillo@
@last born female child@|@kanchi@
@last night@|@hijo rati@
@last run@|@antya@
@last Thursday@|@astiko bihibar@
@last week@|@agillo haptaa@
@last year@|@pohor@
@late@|@aber, ber, pachaute@
@late autumn@|@hemanta@
@lateness@|@abela@
@later in the day@|@bhare@
@latitude@|@akshansh@
@laugh@|@hanso@
@laughter@|@hanseuli, hanssi@
@law court@|@adalat@
@laying of the foundation stone@|@bijaropan@
@lazy@|@gatihara, susta@
@lead@|@kakh, sisa@
@leadership@|@nayakatva, netritva@
@leading@|@aguva@
@leaf of a book@|@pana@
@leaflet@|@parca@
@lean against the wall@|@bhittaamaa aRes laaga@
@learned@|@gyani@
@lebendig@|@jivajantu@
@lecture@|@bhasan@
@lecturer@|@pradhyapak@
@left@|@bayan, debre@
@leg@|@khutto@
@legendary@|@pauranik@
@legislative@|@vyavasthapika@
@lemon@|@nibuva@
@length@|@lamai@
@length of life@|@umer@
@length of time@|@kher@
@Leninism@|@leninvad@
@lentils@|@gahat@
@less@|@kamti@
@Let's Go@|@la jaane@
@letter@|@citthi@
@letter of the alphabet@|@accer, akshar@
@letter(s) of the alphabet@|@accher, akchyar@
@liberal@|@udarvadi@
@liberalism@|@udarvad@
@liberation@|@paramgati, parampad@
@library@|@pustakalaya@
@Licchavi era@|@licchavikal@
@lice@|@jumra@
@life@|@jaan, jindagi, jivan, jyaan@
@life-story@|@jivani@
@light@|@haluka, halungo, halungo, prakash, ujyalo@
@light (weight)@|@haluko@
@light in weight@|@haluka@
@Light refreshment@|@jal-pän@
@light weight@|@haluko, halungo@
@light-brown@|@kailo@
@like that@|@tyasto@
@like this@|@yasto@
@Limbu a Nepali nationality@|@limbu@
@lime@|@cuna, kagati@
@linguistics@|@bhasavigyan@
@lion@|@sinha@
@lips@|@oth@
@listen!@|@e@
@literacy@|@saksharta@
@literary@|@sahityik@
@literate@|@saaccher, sakshar@
@literature@|@sahitya@
@literature table@|@sandarbha-suci@
@little@|@ghati@
@little bit more than 1/2 of it@|@tinma adhi bhanda kehi badhi@
@liver@|@kalejo@
@livestock@|@janavar@
@local@|@sthaniya@
@local inhabitant@|@raithane@
@lock@|@tala, talca@
@locust@|@salah@
@lofty@|@unca@
@long@|@lamba, lamo@
@long tale of oneself@|@gathaso@
@long time ago@|@dherai aghi@
@look@|@avalokan, rup@
@looseness@|@shitilta@
@lottery@|@cittha@
@love@|@maya@
@low@|@hina, hoco@
@lunar eclipse@|@candra grahaNa@
@lungs@|@phokso@
@machine for husking rice@|@dhiki@
@mad@|@baulaha@
@Made in Nepal@|@nepaalmaa baneko@
@mad-house@|@pagalkhana@
@magazine@|@patrika@
@main point@|@bunda@
@main road@|@mulsadak@
@maize@|@makai@
@majority@|@bahumat@
@making clear@|@dyotak@
@Malaysia@|@malesiya@
@male@|@punling@
@malnutrition@|@kuposan@
@man@|@lognemanche, lognemanis, manav@
@manager@|@prabandhak@
@mango@|@anp@
@manifestation@|@pradarbhav@
@manifesto@|@ghosanapatra@
@manner@|@tavar@
@man's brother's daughter@|@bhatiji@
@man's brother's son@|@bhatijo@
@mansion@|@bhavan@
@many@|@aneka, dherai, dherai, dheraijaso, kaiyun@
@Marathi@|@marathi@
@marching@|@julus@
@marijuana@|@ganja@
@mark@|@tato@
@marked@|@angkit@
@marks down@|@theknu@
@marriage@|@biha, vivaha@
@married@|@bihaite@
@martyr@|@shahid@
@master@|@svami@
@mat made of rice@|@gundri@
@match-box@|@salaiko batta@
@matches@|@salai@
@material@|@sadhan@
@material noun@|@dravyavacak nam@
@mattress@|@dasana@
@mean@|@adham@
@meaning@|@ashaya@
@meaning of a word@|@padartha@
@meaningless@|@nirarthak@
@meanwhile@|@utnikher@
@meat@|@masu@
@meat broth@|@suruva@
@meat fried in butter@|@pakku@
@meating@|@sammelan@
@Meche; a Nepali nationality@|@mece@
@meddling@|@khicolo@
@media@|@midiya@
@mediaeval@|@madhyakalin@
@medicine@|@okhati@
@meditation@|@dhyan@
@medium@|@madhyam@
@meeting@|@baithak, bhet@
@meeting place@|@adaalata, nyaalaalaya@
@Meghalaya; a NE Indian state@|@meghalaya@
@melon@|@meva@
@melted butter@|@ghiu@
@meltwater river@|@himasrot bhaeko nadi@
@member@|@sadashya, sadashya, sadasya@
@member of the royal family@|@cautara, cautariya@
@memorandum@|@gyapan@
@memory@|@sansmaran, smriti@
@mendicant@|@santa@
@mental state@|@mansthiti@
@mention@|@ukta, ullekh@
@mentioned@|@ullikhit@
@merchant@|@bepari, sahu@
@mercury@|@paro@
@message@|@khabar@
@metal@|@dhatu@
@method@|@pranali, tarika@
@mica@|@abhrak@
@middle ages@|@madhyamik yug@
@midnight@|@adharat, madhyarat@
@mid-term elections@|@madhyavadhi nirvacan@
@might@|@habba, habbe@
@mighty@|@samartha@
@migration@|@basai sarai@
@military@|@sainik@
@milk@|@dudh, dugdha@
@milk boiled down@|@kurauni@
@Milk Tea@|@dood (dudh) chia@
@millennium@|@sahasrabdi@
@mimicry@|@abhinaya@
@mind@|@atma@
@Mind@|@Mana@
@mine@|@khani@
@mineral@|@khanij@
@mineral product@|@khanij padartha@
@minimum@|@nyuntam@
@minister@|@mantri@
@minister of finance@|@artha-mantri@
@ministery@|@mantralaya@
@Minium powders@|@sindur@
@minority@|@alpamat@
@mint@|@padina@
@miracle@|@karamat@
@mirror@|@aina@
@misconduct@|@durvavahar@
@Miss@|@s, sushri@
@missing@|@gayab, vihinata@
@mobilization@|@paricalan@
@moderate@|@natishitosna@
@modern@|@adhunik@
@monarchy@|@rajtantra@
@Monday@|@saunvar, somvar@
@moneylender@|@mahajan@
@Mongolian@|@mangoliya@
@mongoose@|@nyauri@
@monkey@|@bandar@
@monopolistic@|@eklauti@
@month@|@mahina@
@moon@|@candrama@
@moonlit half of a lunar month@|@shukla paksha@
@moraine@|@moren@
@morality@|@naitikta@
@more@|@jhan@
@more and more@|@jhan jhan@
@morning@|@bihana@
@morsel@|@gans@
@mosquito@|@lamkhutte@
@mother@|@ama, ama, muma@
@Mother fucker@|@ma-chik-na@
@mother love@|@matribhakta, matriprem@
@mother of Manadeva I@|@rajyavati@
@mother tongue@|@matribhasa@
@mother-in-law@|@sasu@
@mother's brother@|@mama@
@mother's brother's wife@|@maiju@
@mother's younger sister@|@sani ama@
@mother's younger sister's husb@|@sana buva@
@motivated@|@abhiprerit@
@Mount Everest@|@sagarmatha@
@mountain@|@pahad@
@mousehole@|@musoko dulo@
@moustache@|@junga@
@move something from one place@|@osarnu@
@movement@|@cal, sancalan, sancalan, sancar, sancaran@
@Mr.@|@s@
@Mrs.@|@s@
@much@|@kaiyaun, nikai@
@mulberry@|@kimbu@
@mule@|@khacar@
@multi-coloured@|@rangicangi@
@multiparty@|@bahudaliya@
@multiparty system@|@bahudaliya vyavastha@
@municipality@|@nagarpalika@
@murder@|@hatya@
@murderer@|@jyaan-maaraa@
@mushroom@|@cyau, pyau@
@music@|@gandharva-vidya@
@muskdeer@|@kasturi@
@mustard@|@tori@
@mustard greens@|@rayako sag, tariko sag@
@mutilation of a limb@|@anga-bhanga@
@mutiny@|@gadar@
@mutually@|@paraspar@
