@English@|@Xavante@
@the Creator@|@dapoto'wa@
@the deed done by him@|@ïsimi'ui'éré@
@the fabric is red@|@Zazahâ æhâpré@
@the fish stays under the water@|@Â 'rowi te nomro@
@the house is beauty@|@Ri hã wå di@
@the man isn't indian@|@Aibâ hã warazu@
@the man went immediatly@|@Aibâ te mo awa'awi@
@the medication done by him@|@ïsimiwede@
@the mother's ownerships@|@dati'âhâ te@
@The new house stands up@|@'Ri té te za@
@the one who gave me birth@|@ïïpoto’wa@
@the one who help me@|@ïïpawapto’wa@
@the one who helps me@|@ïïpawato'wa@
@the one who takes care me@|@ïï’madâ’â’wa@
@the painting made by him@|@ïsimi'upté@
@the painting made by me@|@ïïnhimi'upté@
@the painting made by them@|@æsimi'upté zahuré, ïsimi'upté za'ra@
@the painting made by us@|@wanhimi'upté, wanhimi'upté za'ra@
@the painting made by you@|@asimi'upté@
@the painting made by you (pl)@|@asimi'upté za'ra wa 'wa, asimi'uptéi wa'wa@
@the painting of his body@|@ïsi'upté@
@the painting of my body@|@ïïsi'upté@
@the painting of our bodies@|@ïwasi'upté za'ra@
@the painting of our body@|@ïwasi'upté@
@the painting of their bodies@|@æsi'upté zahuré, ïsi'upté za'ra@
@the painting of your bodies pl@|@asi'upté za'ra wa'wa@
@the painting of your body@|@asi 'upte@
@the painting of your body (pl)@|@asi'uptéi wa'wa@
@the red truck is stoped@|@Wedewara pré te za@
@the rice is tasteful@|@E se ti aro hã@
@the river's water is down@|@ma tô ti'âré@
@the sand which is white@|@supara ï'a@
@the tall man isn't indian@|@Aibâ ïwa'ru hã warazu@
@the thing with which I sweep@|@ïïnhimiwamrozé@
@the thing with which I wash me@|@ïïsi'upsõzé@
@the thing with which i write@|@ïïnhimi'ui'érézé@
@the two men go@|@aibâ te tineb zahuré@
@the woman is working@|@Pi'õ te romhu@
@the work did by you is good@|@Asimiromhuri hã; we di@
@the work done by him@|@ïsimiromhuri@
@the work is pleasant@|@romhuri ze ti@
@the work made by them is good@|@ïsimiromhuri zahuré hã; we di@
@the work was did by us@|@Wanhimiromhuri, Wanhimiromhuri za'ra@
@the work was done by him@|@ïsimiromhuri, ïsimiromhuri@
@the work was done by me@|@ïïnhimiromhuri@
@the work was done by you (pl)@|@Asimiromhuri 'wa hã; we di@
@the work was made by them@|@ïsimiromhuri zahuré@
@their house@|@ïsip’ri za’ra, ïsip’ri zahuré@
@there@|@'obë, õwa@
@there are cows@|@powawe di@
@there are flys@|@upu di@
@there are men@|@aibâ di@
@there are snakes@|@wahi di@
@there are women@|@pi'õ ti@
@there aren't bananas@|@pa'o õ di@
@there aren't men@|@aibâ õ di@
@there aren't women@|@pi'õ õ di@
@there isn't water@|@â õ di@
@these are Xavante@|@Ã norï hã, Ã norï hã a'uwê@
@they@|@ta norï, taa-dori@
@they all are crying@|@te tiwawa za'ra@
@they all go@|@te ai'aba'ré@
@they all like to work@|@te te romhuri ze za'ra di@
@they are all coughing@|@te ti'a'a za'ra@
@they are cleaning the rice@|@aro tê tsub-dza'ra@
@they are hot@|@wa'ro za'ra di, wa'ro zahuré di@
@they are not working@|@Te te romhuri zahuré õ di@
@they are weeding@|@E te wazâri za'ra, E te wazâri zahuré@
@they are writing@|@Te rob'uiéré za'ra@
@they are Xavante@|@Ta norï hã, Ta norï hã a'uwê@
@they aren't coughing@|@a'a za'ra õ di@
@they aren't crying@|@wawa za'ra õ di@
@they aren't laughing@|@sihâ za'ra õ di@
@they don't go@|@Neb zahuré õ di, Si'aba'éi õ di@
@they give him@|@te za tãma sõmri zahuré@
@they go@|@te tineb zahuré@
@they go to the feast by plane@|@da-tsipêtsê-u tê dza atsamrõ@
@they help you@|@te pawaptob za'ra, te pawaptob zahuré@
@they laugh@|@te aihâ za'ra wa'wa@
@they like to work@|@te te romhuri ze zahuré di@
@they mix@|@te wasi za'ra, te wasi zahuré@
@they said@|@ma tô nharï za'ra@
@they see@|@te sabu za'ra, te sabu zahuré@
@they take the wood@|@te za siwi ti'â@
@they two are crying@|@te tiwawa zahuré@
@they two are Xavante@|@Ta zahuré, Ta zahuré a'uwê@
@they two aren't coughing@|@a'a zahuré õ di@
@they two aren't crying@|@wawa zahuré õ di@
@they two aren't laughing@|@sihâ zahuré õ di@
@they two cough@|@te ti'a'a zahuré@
@they two laugh@|@te aihâ zahuré@
@they two said@|@ma tô nharï zahuré@
@they two take the wood@|@te za âri zahuré@
@they two will go fast@|@te za neb su'u zahuré@
@they two will take two sticks@|@te za mrami zahuré@
@they will make him know@|@Te za tãma waihu'u za'ra@
@they will take the wood@|@te za siwi âri za’ra@
@they will take woods@|@te za siwi waibu@
@they work@|@te romhuri za'ra, te romhuri zahuré@
@they'll be back here@|@tê dza wê apö tinëb-dzahure@
@thick@|@ca'etë-di@
@thier father@|@ïmama za'ra, ïmama zahuré@
@thing@|@marî@
@this@|@ãhã, ãhã-@
@this direction@|@we@
@this people@|@ã norï@
@this way@|@ãne, tane, tane tô@
@those are Xavante@|@Õ norï hã, Õ norÏ hã a'uwê@
@three@|@ci'ubdato, skudaton@
@throw@|@bã tibë@
@throw the garbage away@|@ropru sa'wari@
@thunder@|@tãjrãrã@
@tick@|@ti'a@
@to@|@ba, ma, teme, u@
@to a woman@|@pi'odda@
@to afraid@|@te pi:pa@
@to agree with@|@sarina, zarina@
@to approve@|@a'âza@
@to ask@|@sadanharï@
@to Babati@|@Babatihi u@
@to Batovi@|@Batovi u@
@to be ownership of us@|@date da@
@to be sit@|@te jãbrã@
@to beat@|@su@
@to bite@|@te ti:ca@
@to blow@|@ca'u@
@to break@|@êi@
@to breath@|@dãci tipë'ë-jadï@
@to burn@|@ro:'o@
@to buy@|@uipra@
@to carry@|@âri@
@to clean@|@te 'u'o@
@to clear@|@wa:'ri@
@to come@|@te we:bo@
@to come back@|@te 'api'ra@
@to count@|@te' core, te ca'ra@
@to cross@|@saprï@
@to Cuiabá@|@Cuiabá u@
@to cut@|@te ci:jë@
@to cut into pieces@|@prum@
@to die@|@bã dë:rë@
@to dilate@|@bã dupto, te ci're@
@to drink@|@te hë'rë@
@to eat@|@sai, te ti're@
@to eraser@|@pari@
@to fall@|@bã wapãrã@
@to fan@|@põrï@
@to fight@|@te wa:pe@
@to fly@|@te wa:ra@
@to gather@|@te robjábrá@
@to get@|@bã tete, mrami, te're ti'e@
@to give@|@bä ticö, sõmri@
@to grass@|@duz zô@
@to hear@|@te wa:pa@
@to help@|@pawaptom@
@to her@|@sada@
@to here@|@we@
@to him@|@sô, tãma, zô@
@to hit@|@azâri, bã 'a:jë@
@to hole@|@te capu'u@
@to home@|@'ri tëme@
@to hunt@|@aba@
@to hunt deer@|@aihâ zô@
@to hunt tapir@|@utâ zô@
@to know@|@te wajhu'u@
@to laugh@|@te 'ajhë@
@to lay down@|@te dobro@
@to live@|@te 're bö@
@to make hole@|@'ap're@
@to mix@|@wasi@
@to order@|@'rui@
@to pull@|@te ticã@
@to push@|@te icã, te ticã@
@to put cassava@|@upa zô@
@to put corn@|@wa'rupré zô@
@to put woodfire@|@mimi zô@
@to read@|@sõré@
@to run water@|@te tiprabra@
@to salute@|@sawi@
@to say@|@te brë, te ro:wacu'u@
@to school@|@rowahutuzéb u@
@to scrub@|@te 'u:'re@
@to see@|@sabui, te ca:bu@
@to see you; i came here@|@Te asabu da; wa we mo@
@to sew@|@te hë're@
@to sing@|@te tijo're@
@to sit@|@'acabá@
@to sit down@|@te jã:brã@
@to sleep@|@te jodo@
@to smell@|@re cadabrï@
@to speak@|@nharï, te ro:wacu'u, te tijä@
@to split@|@po:'o@
@to stand up@|@te ja@
@to suck@|@te wapcö@
@to sustain@|@te're ti'e@
@to sweep@|@wamroi@
@to swin@|@te jë:ri@
@to take@|@waibui@
@to the bush@|@marã u@
@to the fire@|@unhama u@
@to the grass@|@dui ma@
@to the houses@|@'rïï baba@
@to the lagoon@|@pu'u u@
@to the new land@|@rop tép u@
@to the official@|@apito u@
@to the work@|@romhuri u@
@to think@|@te co rop'bãdë@
@to throw@|@bá tibe@
@to tight@|@waci:ci, wati@
@to vomit@|@te cö'o:ro@
@to wash@|@te 'upcö, upsõi@
@to water@|@âi ba@
@to your father@|@aimama ma@
@tobacco@|@warï@
@tomorrow@|@awë@
@tomorrow i'll give him some@|@Awêpsi wa za syry na tãma tisõ@
@tongue@|@da-jöto, da-nonto, damreeme@
@tool@|@romhurizé@
@tooth@|@da-'wa@
@trail@|@bëdëdi@
@tree@|@ro'wa iprE, wede@
@truck@|@wedewara@
@turtle@|@u'ã@
@two@|@maipoänä, maparene, waparadë@
@two men@|@aibâ maparane@
@under@|@'rowi@
@until@|@u@
@urucum fruit@|@be@
@village@|@daza'ru@
@viscous@|@tobdi@
@walk@|@te bo@
@warm@|@tâ ti@
@wash fast@|@upsõ su'u@
@wash the dishes@|@Piza'a upsõ na@
@water@|@'e, 'ë, 'u, â, kö@
@watery food@|@wai'o ti@
@way@|@bâdâdi, bëdëdi@
@we@|@wa norï, wa:-döri@
@we all are crying@|@wa wawawa za'ra ni@
@we all go@|@wa ai'aba'ré ni@
@we all saw@|@Wa tô sabu za’ra ni@
@we are hot@|@wa'ro zahuré di, wawa'ro di@
@we are not working@|@Wa te romhuri õ di, Wa te romhuri za'ra õ di@
@we are washing clothes@|@Zazahâ wa upsõ ni@
@we are washing the clothes@|@Zazahâ wa upsõ za'ra ni@
@we are Xavante@|@Wa norï hã, Wa norï hã a'uwê@
@we aren't coughing@|@wa'a'a za'ra õ di@
@we aren't crying@|@wawawa za'ra õ di@
@we aren't laughing@|@wasihâ za'ra õ di@
@we don't go@|@Waneb õ di, Wasi'aba'réi õ di@
@we give to him@|@wa za tãma sõmri ni@
@we go@|@wa wanem ni@
@we help you@|@wa pawaptob za'ra ni, wa pawaptom ni@
@we laugh@|@wa aihâ za'ra ni@
@we like to work@|@wa te romhuri ze ti@
@we mix@|@wa wasi ni, wa wasi za'ra ni@
@we said@|@ma tô tinha, wa tô nharï za'ra ni@
@we see@|@wa sabu ni, wa sabu za'ra ni@
@we take the wood@|@wa za wasiwi âri ni@
@we two are crying@|@wa wawawa ni@
@we two are not coughing@|@wa'a'a õ di@
@we two are writing@|@Wa rob'ui'éré ni@
@we two are Xavante@|@Wa zahuré, Wa zahuré a'uwê@
@we two aren't crying@|@wawawa õ di@
@we two aren't laughing@|@wasihâ õ di@
@we two cough@|@wa wa'a'a ni@
@we two laugh@|@wa aihâ ni@
@we two saw him@|@Wa tô sabu ni@
@we two will go fast@|@wa za waneb su'u ni@
@we two will help you@|@wa za aipawaptom ni@
@we two will help you (pl)@|@wa za aipawapto wa’aba ni@
@we two will take two sticks@|@wa za mrami ni@
@we two will take woods@|@wa za waibu ni@
@we will make you know@|@Wa za tãma waihu'u za'ra ni@
@we will take the wood@|@wede wa za wasiwi âri za’ra ni@
@we will take two sticks@|@wa za wasiwi mrami ni@
@we will take woods@|@wa za wasiwi waibu ni@
@we will tell you@|@Wa za aima rowasu'u ni, Wa za aima rowasu'u za'ra ni@
@we will tell you two@|@Wa za aima rowasu'u wa'aba ni@
@we work@|@wa romhuri ni, wa romhuri za'ra ni@
@wedding@|@dasina damrozé@
@wet@|@wapti'i-di@
@what@|@'e:bãrï, 'e:tiha@
@what a small meat!@|@nhi watoi!@
@what a small peace of meat@|@jïwatoj@
@what are they washing?@|@E maræ te upsõ zahuré@
@what are you two washing?@|@E marï te ï'upsõi wa'wa@
@what are you washing?@|@e marï te ï'upsõ@
@what are you washing? (pl)@|@E maræ te æ'upsõ za'ra wa'wa@
@what is?@|@e marï@
@what it wll be?@|@'e tiha@
@what she is washing?@|@E marï te upsõ@
@what will you buy?@|@E marï te za ï'uipra@
@what?@|@e mari@
@when@|@'e: dïwa, wapsi@
@when he comes@|@witsi-waptsi@
@when he goes; I work@|@Morï wapsi; wa za romhu@
@when I go; I'll work@|@dhomorï wapsi; wa za rohmu@
@When it finishes@|@Tâibâ wapsi@
@when they go; I work@|@Neb zahuré wapsi; wa za romhu, Si'aba'réi wapsi; wa za romhu@
@when we go; I work@|@Wane wapsi; wa za romhu@
@when will be tomorrow@|@awëmhã, awëpsi@
@when you (pl) go; I work@|@Ane wa'aba wapsi; wa za romhu@
@when you go; I work@|@Aimorï wapsi, wa za romhu.@
@when you see him; be back soon@|@Sabui wamhã; we aimoræ su'u za@
@when?@|@e niwa@
@where@|@bã:bë, bãhata, bobo, e momo, momo@
@where do you go?@|@e momo te aimo@
@where is?@|@e mahãta@
@which is the price?@|@E niha æwa'â@
@white@|@'a:-di, a di@
@white sand@|@supara a@
@who@|@'e:'wa, 'wa@
@who did the work?@|@E 'wa simiromhuri@
@who goes?@|@e 'wa te mo@
@who is crying?@|@E 'wa te tiwawa@
@who is the owner?@|@E ‘wa te@
@who made the painting?@|@E 'wa simi'upté@
@who made the work?@|@E 'wa simiromhuri@
@who?@|@e ?wa hã@
@who's taking care of the house@|@E 'wa te asô 'madâ; 'ri hã@
@why@|@-te/-wa@
@why did you come here?@|@E marï zô te we aimo@
@why do tou go?@|@E tiha zô te aimo@
@why he is crying?@|@E maræ wa; te tiwawa@
@why?@|@E maræ zô; te aimo, E tihai wa@
@wide@|@wawë:-di@
@wife@|@da-bro@
@will you hear to learn?@|@E waihu'u da, te za ïwapa@
@Will you weed at the country?@|@E buru ãma te za æwazâ@
@wind@|@ro:wa:'u, rowa'u@
@wing@|@'ïpajhi, isaribi@
@with@|@-be, dã@
@with cold@|@hâ di@
@with grass@|@du na@
@with hungry@|@mram di@
@with Mi'é@|@Mi'éhé me@
@with the earth@|@rom na@
@with who do you go?@|@E 'wai me te aimo@
@without@|@ãna@
@woman@|@pi'õ@
@wood@|@bí, wede@
@wood stick@|@wedehu@
@woodfire@|@mi@
@word@|@damreme@
@work@|@wa romhu@
@work a lot@|@romhuri za'åtå@
@work all you!@|@Romhuri za'ra wa'aba@
@work was done by the child@|@Babatihi nhimiromhuri@
@work well you two!@|@romhuri wê wa'aba@
@work you all!@|@Te za æromhuri za'ra wa'wa@
@work you two!@|@Romhuri aba, Te za æromhuri 'wa@
@work!@|@Romhuri, Te za æromhu@
@worker@|@romhuri’wa@
@xavante@|@a'uwê@
@year@|@wahu@
@yellow@|@'ujet-ti@
@yes@|@ihë@
@yes; i am weeding@|@ïhe; wa wazâ@
@yes; I'working@|@ïhe; wa romhu@
@yes; we are all weeding@|@Ïhe; wa wazâri za'ra ni@
@you@|@'a-, 'a:-, a, a hã@
@you (pl)@|@'a-döri@
@you (pl) are not working@|@Romhuri za'ra wa'aba õ di@
@you (pl) don't go@|@Ane wa'aba õ di@
@you all are crying@|@te aiwawa za'ra wa'wa@
@you all don't go@|@Ai'aba'rei wa'aba õ di@
@you all go@|@te ai'aba'réi wa'wa@
@you are all hot@|@aiwa'ro za'ra wa'aba di@
@you are crying@|@te aiwawa@
@you are hot@|@aiwa'ro di@
@you are not working@|@Romhuri õ di@
@you are worker@|@a hã romhuri di@
@you are working@|@te ïromhu@
@you are Xavante@|@a'uwê, A hã a'uwê@
@you are xavante (pl)@|@A norï wa'wa hã a'uwê@
@you are Xavante (pl)@|@A norï wa'wa hã@
@you aren't coughing@|@ai'a'a õ di@
@you aren't coughing (pl)@|@ai'a'a za'ra wa'aba õ di@
@you aren't crying@|@aiwawa õ di@
@you aren't crying (pl)@|@aiwawa za'ra wa'aba õ di@
@you aren't laughing@|@aihâ õ di@
@you aren't laughing (pl)@|@aihâ za'ra wa'aba õ di@
@you cough@|@te ai'a@
@you daid (pl)@|@ma tô ïnharï za'ra wa'wa@
@you don't go@|@Aimoræ õ di@
@you give to him@|@te za tãma ïsõ@
@you go@|@te aimo@
@you go (pl)@|@te ane wa'wa@
@you go to wash@|@Upsõ da te aimo@
@you help him@|@te ïpawapto@
@you help him (pl)@|@te ïpawapto wa'wa, te ïpawaptob za'ra wa'wa@
@you helped me@|@ma tô ææpawapto@
@you helped us all@|@ma tô ïwapawaptob za’ra@
@you helped us two@|@ma tô ïwapawapto@
@you laugh@|@te aihâ@
@you laugh (pl)@|@te aihâ za' ra@
@you like this@|@se ti@
@you like to work@|@romhuri ze ti@
@you mix@|@te ïwasi@
@you mix (pl)@|@te ïwasi wa'wa, te ïwasi za'ra wa'wa@
@you said@|@ma tô ïnha@
@you see@|@te ïsabu@
@you see (pl)@|@te ïsabu za'ra wa'wa, te ïsabui wa'wa@
@you see frequently@|@te ïsabui u'â@
@you take the wood@|@te za æ'â@
@you take the wood (pl)@|@te za asiwi ï'âri 'wa@
@you think it tastefull@|@aima se ti@
@you two are crying@|@te aiwawai wa'wa@
@you two are hot@|@aiwa'ro wa'aba di@
@you two are not coughing@|@ai'a'a aba õ di@
@you two are not working@|@Romhuri aba õ di@
@You two are weeding@|@E te ïwazâri 'wa@
@you two are Xavante@|@A sahuré, A sahuré a'uwê@
@you two aren't crying@|@aiwawai wa'aba õ di@
@you two aren't laughing@|@aihâ wa'aba õ di@
@you two cough (pl)@|@te ai'a'a 'wa@
@you two give to him@|@te za tãma ïsõmri 'wa@
@you two laugh@|@te aihâ wa'wa@
@you two like to work@|@romhuri zei wa'aba di@
@you two said@|@ma tô ïnharï 'wa@
@you two saw the man@|@E ma tô ïsabui wa’wa; aibâ hã@
@you two see@|@te ïsabui wa'wa@
@you two see frequently@|@te ïsabui u'âsi 'wa@
@you two take the wood@|@wa za âri ni@
@you two will go fast (pl)@|@wa za waneb su'u ni@
@you two will take two sticks@|@te za ïmrami 'wa@
@you two will take woods@|@te za ïwaibui wa’wa@
@you two work well@|@te ïromhuri wê wa'wa@
@you will go fast@|@te za aimorï su, te za aimorï su@
@you will help me now?@|@E ãhã na te za ææpawapto@
@you will help me?@|@E te za ïïpawapto@
@you will make himto know@|@Te za tãma ïwaihu@
@you will take the wood (pl)@|@te za asiwi ï’âri za’ra wa ‘wa@
@you will take two sticks@|@te za ïmra@
@you will take two sticks (pl)@|@te za asiwi ïmrami ‘wa@
@you will take woods@|@te za ïwaibu@
@you will take woods (pl)@|@te za asiwi ïwaibui wa’wa@
@you work@|@te ïromhu@
@you work (pl)@|@te ïromhuri 'wa, te ïromhuri za'ra wa'wa@
@you work well@|@te ïromhuri wê@
@young boy@|@cõyba@
@young girl@|@cójba@
@your@|@ayya@
@your eye@|@atto@
@your father@|@aimama@
@your father (pl)@|@aimama 'wa, aimama za'ra wa'wa@
@your hair@|@aséré, aséré@
@your hand@|@ana@
@your house@|@asip’ri, asõrõwa@
@your house (pl)@|@asip’ri wa’wa, asip’ri za’ra wa’wa@
@your meat@|@anhi@
@your name@|@asisi@
@your things@|@ate@
@your wings@|@ïsaribi@
@your worker@|@aima romhuri'wa@

