@English@|@Pali@
@old@|@vuddha@
@omniscient@|@sabbannuta@
@on one side@|@ekamante@
@once@|@Ekacciya, Ekad, Ekadatthu@
@once-returner@|@sakadgmi@
@one attention@|@Ekodi@
@one by one@|@Ekameka@
@one day@|@âha@
@one less@|@una@
@one of five Niyama@|@bijaniyama@
@One of the 28 Buddhas@|@Kassapa@
@one of the eight hells@|@avici@
@one of two brothers@|@Asanga@
@one part@|@Ekangsa@
@one sided@|@Ekanta@
@one who has overcome the flood@|@âtiga@
@One who is Self-Enlightened@|@paccekabuddha@
@one who produces@|@Uppadetar@
@one-pointedness of mind@|@citt'ekaggat@
@one's own advantage@|@atta-hita@
@only@|@Eva, samussaya@
@open space@|@okasa@
@opportunity@|@khana@
@opposed to@|@para@
@oppressed@|@Ubbalha@
@oppressing@|@Uppila@
@or@|@va@
@order of fully ordained nuns@|@bhikkhun sangha@
@ordinary person@|@puthujjana@
@our@|@Amhhbkaµ@
@out luck@|@Ummanga@
@out of one's mind@|@Ummatta@
@outflow@|@Ussaava@
@over@|@Ubbha@
@overcomes@|@Abhibhavati, atigacchati@
@overflowing@|@Ussadana, Ussanna@
@owls' wings@|@pakkha@
@ownerless@|@anatta@
@paddy@|@vhi@
@pagoda@|@Cetiya@
@Part of the Sutta Pitaka@|@Nikya, Nikya@
@partakes@|@bhu-jati@
@particle@|@nip'ta@
@passing into Nibbana@|@parinibbna@
@pasture@|@Gocara@
@patience@|@khanti@
@peace@|@santi@
@perceives@|@Abhijhbnhbti@
@perfect@|@samma sambuddha@
@perfect release@|@vimutti@
@perfect wisdom@|@bodhi@
@perfection@|@prami@
@perfumed@|@Upavasita@
@perishes@|@viha--ati@
@permanent@|@nicca@
@perplexed by doubts@|@Upavicara@
@personality belief@|@sakkyadiµµi@
@perversions@|@vipallsa@
@phase of kamma@|@kammavaµµa@
@phase of resultants@|@vipkavaµµa@
@physician@|@vejja@
@place of continuous extreme@|@niraya@
@plays@|@kâati@
@pleasant@|@kalyna@
@pleasure grove@|@Uyyana@
@pliancy of the mind@|@cittamuduta@
@plunging into@|@Ogahana@
@poet@|@kavi@
@pollutant@|@asava@
@pond pool@|@taâaka@
@possess strengthening quality@|@Ojavant@
@postures@|@iriyapatha@
@potter@|@kumbhakara@
@powerful@|@balavantu@
@practice@|@paêipada@
@praise@|@vaööa@
@preached by buddha@|@buddhadesita@
@preaches@|@deseti@
@preaching hall@|@dhammasala@
@preceptor@|@upajjhya@
@prefix@|@upasagga@
@preliminary@|@parikamma@
@preoccupation@|@arammana@
@present@|@paööakara@
@pressed@|@Uppilita@
@pride@|@mana@
@primary material element@|@mahabhuta@
@prince@|@kumara@
@principal@|@padhana@
@procession@|@Ussarana@
@proclamation@|@Ussavana@
@producing@|@Uppadaka@
@profound@|@gambhira@
@property@|@vatthu@
@protects@|@rakkhati@
@protuberance@|@Ussada@
@pulling up@|@Uppatanaka@
@puññakárí@|@good doer@
@pupil@|@Antevhbsiko@
@pure land@|@jodo, jodoshin@
@purification@|@visuddhi@
@purity@|@suddhi@
@puts in@|@pakkhipati@
@puts on@|@paridahati@
@queen@|@mahes, rajin@
@question@|@pa-ha, panha@
@quickly@|@khippaµ@
@raiment@|@vattha@
@rain@|@vassa@
@raise@|@Usseti@
@rapture@|@p²ti@
@realizable aspect of the Dhama@|@pativedha@
@realm@|@gati, raêêha@
@realm of Brahmas@|@brahma-loka@
@reason for@|@Ummattaka@
@reasoning@|@uhana@
@receives@|@labhati@
@recites@|@bhaöati, vaceti@
@reckless@|@Anottappin@
@recollection of Buddha@|@buddhnussati@
@red@|@ratta@
@reddish@|@Upalohitaka@
@refuge@|@natha, saraöa@
@refuge of the world@|@loka-natha@
@relative@|@nati@
@release@|@vimutti@
@reliance@|@saddh@
@religious stanzas@|@parittas@
@remains to be explained@|@Upplavana@
@removes@|@nharati@
@removing@|@uhacca1@
@representing uppilava@|@Ubbilla@
@repugnance@|@patigha@
@requisite robes of a monk@|@c²vara@
@resentment@|@patigha@
@residence in the forest@|@vanavása@
@resolution@|@adhitthana, adiµµhana@
@respect for conscience@|@garavat@
@restraint@|@samvara@
@restriction@|@yoga@
@result@|@phala@
@retreats@|@paêikkamati@
@Reverence@|@puja, pujana@
@reverend sir@|@Bhante@
@reverse@|@viloma@
@rice gruel@|@yagu@
@richness in sap@|@Ojavantat@
@right@|@samma@
@Right@|@sammsaªkappa@
@Right Action@|@sammkammanta@
@Right Concentration@|@sammasamadhi@
@Right Effort@|@samm vyma@
@Right Livelihood@|@sammaaj²va@
@Right Mindfulness@|@sammsati@
@Right Speech@|@sammavaca@
@Right Understanding@|@samm±diµµhi@
@righteous@|@dhammattha, dhammika@
@righteous one@|@dhammacari@
@righthand side@|@dakkhina@
@rises@|@uggacchati@
@river@|@gaºga@
@road@|@magga@
@rock@|@giri, pabbata@
@roots@|@Ummula@
@ruin@|@parabhava@
@Rule designed@|@ptimokkha@
@run away@|@Ussata@
@runs@|@dhavati@
@runs about@|@paridhavati@
@runs up to@|@upadh?vati@
@sacred@|@punna@
@sacred book of Hinduism@|@veda@
@sage@|@isi, muni@
@saint@|@diêêhadhammo@
@Sakka's throne@|@pandukambala@
@sálá@|@hall@
@saline@|@usara@
@salutes@|@vandati@
@sanctified one@|@gotrabhè@
@sanctuary@|@vihara@
@Saranath near Varanasi@|@Isipatana@
@satisfaction@|@piti@
@satisfactoriness@|@sukha@
@saving@|@Ullumpana@
@scatters@|@vikkhipati@
@school@|@paêhasala@
@scout@|@Ocaraka@
@scratched@|@Ullikhita@
@sea@|@samudda@
@seat@|@îsana@
@second@|@dutiya@
@seed@|@bija@
@seeking@|@Esin@
@seen@|@dittha@
@sees clearly@|@vipassati@
@self@|@atta, saµ@
@self enlightened@|@sambuddha@
@sensation@|@vedan@
@sense medium@|@ayatana@
@sense sphere realm@|@kmdhtu@
@sensual pleasure@|@kama@
@separated@|@vigata@
@separated from the troop@|@Ogana@
@serious fault@|@sanghadisesa@
@servant@|@dasa@
@servant maid@|@dasi@
@set free@|@Ussajjati@
@seven@|@satta@
@seventeen@|@sattadasa@
@seventh@|@sattama@
@seventy@|@sattati@
@shakyan capital@|@kapilavastu@
@she@|@sa@
@she elephant@|@hatthin@
@she goat@|@ajá@
@shoulder@|@Ura@
@shrine in Tavatimsa heaven@|@Culamani@
@sick person@|@gilana@
@single@|@eka, Ekaccika@
@single remark@|@vaciya@
@singly@|@Ekaso@
@sister@|@bhagin@
@sits@|@nisdati@
@six@|@Cha@
@sixteen@|@soâasa@
@sixth@|@chaêêha@
@sixty@|@saêêhi@
@skilfnulness of mind@|@cittapagunnata@
@sky@|@îkhbsa@
@sleep fell upon him@|@nidda okkami@
@small@|@khuddaka@
@Small Vehicle@|@Hinayana@
@smeared@|@Ullitta@
@snake@|@bhujaga@
@so far@|@Ett?vat@
@so long@|@y?va@
@so much@|@Ettaka@
@soiling by defecation@|@uhacca@
@soka@|@grief@
@sole sovereignty@|@rajja@
@some@|@eka@
@something@|@anga@
@son@|@putta@
@song@|@gita@
@sorrowless@|@visoka@
@south@|@dakkhiöa@
@southern buddhism@|@Hinayana@
@sows@|@vapati@
@spade@|@kuddala@
@speaker of the truth@|@dhammavad@
@speaks@|@vadati@
@specially assigned days@|@uposatha@
@speech@|@bhasana, Bhasita, vaca@
@sphere@|@yatana@
@spread over@|@Otthata@
@spreading over@|@Ottharana@
@springing up@|@Ubbhinna@
@sprinkle@|@Usabha1@
@spying faults@|@otarâpekkha@
@stainless@|@vimala@
@standing erect@|@Ubbhatthaka@
@stands upon@|@AdhitiÊÊhati@
@stanza of exultation@|@udana@
@state@|@gati@
@state of deprivation@|@apaya-bhumi@
@state of existence@|@loka@
@steals@|@corayati, coreti@
@Stick@|@danda@
@stiffness and torpor@|@thina-middha@
@stopping@|@Upasanthapan@
@stream enterer@|@sotpanna@
@stream of consciousness ready@|@gandhabba@
@stream of existence@|@sansara@
@street@|@visikha@
@strength@|@bala, Oj, Ussaha@
@stretched over@|@Otata@
@strewn over@|@Okinna@
@strikes@|@paharati@
@strives@|@parakkamati@
@striving@|@Uyyuta, Uyyutta@
@sublime@|@panita@
@sublime states@|@brahmavihra@
@submersion@|@Ogahana@
@subsequent@|@Apara@
@substantive@|@n'ma@
@suburb@|@upanagaraµ@
@success@|@iddhi@
@successor@|@Anurhbja@
@such@|@Amu, Etadisa, rupa@
@such like@|@Edisa@
@suffering@|@duhkha, dukkha@
@suitable@|@patirèpaµ, yogga@
@sujana@|@good man@
@sun@|@dinakara@
@superior@|@adhika, Ussa@
@supporter@|@dayaka@
@supreme disciple of the Buddha@|@aggasavaka@
@Supreme Enlightenment@|@bodhi nana, sabbanuta nana@
@surgeon's probe@|@Esan@
@suspension@|@Ubbhara@
@sustained application@|@vicra@
@Sustained mental absorption@|@samapatti@
@swan@|@hamsa@
@sword@|@Asi@
@swordfight@|@AsikaÂaho@
@taints of ignorance@|@avijsava@
@taken out@|@uhata1@
@takes away@|@avaharati@
@taking hold of@|@Upasaghara@
@taking what is not given@|@adinadana@
@talker@|@vattu@
@tasteless@|@nrasa@
@teacher@|@acariya, îcariya, satthu@
@temporarily@|@tandaga@
@ten@|@dasa@
@ten fetters@|@samyojanas@
@ten precept- observing nun@|@dasas²lam@
@ten royal virtues@|@dasarjadhamma@
@terrifier@|@Ubbejetar, Ubbejitar@
@that@|@ya@
@that which can be engulfed@|@Oghaniya@
@the 2nd of the six Deva-loka@|@Tavatimsa Heaven@
@the action of an arahat@|@kiriya@
@the aggregate of consciousness@|@viññºakkhanda@
@the aggregate of feeling@|@vedankkhanda@
@the Arahat monk@|@Mahinda@
@the astrologer@|@Asita@
@the basic Buddhist Scriptures@|@Pli Canon@
@the basket@|@sutta pitaka@
@the birth place of the Buddha@|@Lumbini@
@the blessed one@|@bhagava, bhagavantu@
@the breast@|@Ura@
@the Buddha of the Western@|@Amitabha@
@the Buddha-to-be@|@Bawdithat, bodhisatta@
@the Buddhist Order@|@Sangha@
@The canon of Buddhist writings@|@Buddhist text@
@the career of study@|@ganthadhura@
@the castor oil plant@|@Eranda@
@the ceremony of robes@|@kaµhina@
@the cessation of suffering@|@dukkhanirodha@
@the chief@|@etadaggam@
@the continent so called@|@Jambudipa@
@the departed@|@peta@
@the Disciplinary@|@vinaya@
@the divine power of sigh@|@dibbacakkhu nana@
@the eight moral precepts@|@uposatha sila@
@the extinguishment of defileme@|@kilesaparinibbna@
@the fig tree@|@bodhi Tree@
@the first Arahant@|@Kondañña@
@the first Magga attained@|@sotpattimagga@
@the four noble truths@|@cattri ariyasaccni@
@the god of death@|@mra@
@the head of a bed@|@Ussisaka@
@the high divinity of Dhamma@|@Brahm Sahampati@
@The highest good@|@paramattha@
@the ignorant@|@b'la@
@the inanimate world@|@okasa loka@
@the leader of tibetan buddhist@|@dalai lama@
@the learned@|@pandita@
@the life continuum@|@bhavaªga@
@the life-faculty@|@j²vitindriya@
@the lip@|@Ottha1@
@the male followers@|@upasaka@
@the mental continuum@|@cittasantna@
@The Middle Path@|@majjhimapatipad@
@the moment of awakening@|@abhisamaya@
@the neck of a lute@|@Upavina@
@the next Buddha@|@Maitreya, Metteyya@
@The Noble Dhamma@|@dhammamuttamam@
@the noble truth@|@dukkhasamudaya ariasacca@
@the only son of Siddhatta@|@Rãhulã@
@the order@|@saºgha@
@the order of cessation@|@patiloma@
@the order of kamma@|@kammaniyma@
@the period between death@|@bardo@
@the plant Cassia Tora@|@Elagal@
@the power of a good@|@bala@
@the power of recollection@|@pubbenivasanussati nana@
@the practice of the Dhamma@|@patipatti@
@the principle@|@paticcasamuppada@
@the radiant brahma@|@abhassara brahma@
@'The 'Radiant Ones'@|@abhassara@
@The relations between@|@asabha, esabha, isabha@
@the remaining@|@itara@
@the royal bird mount of Vish@|@Karaweik@
@the sacred banyan tree@|@bodhi Tree@
@the six senses bases@|@salayatana@
@the sun@|@suriya@
@the sun being out@|@Ussura@
@the supreme deva@|@brahma@
@the ten bases of skillful@|@kusala kammapathas@
@the ten precepts@|@dasas²la@
@the thigh@|@Uru@
@the three month@|@vassa@
@the three ratanas@|@Buddhist Faith@
@The Truth of cessation@|@nirodha Sacca@
@the universal natural law@|@dhammaniyama@
@the vehicle of insight@|@vipassanyna@
@the would-be next Buddha@|@Bodhisatta Metteyya@
@their@|@tasaµ, tesaµ@
@then@|@tada@
@thence@|@Etto@
@there@|@Etta@
@thinking one thing@|@cintin@
@third@|@tatiya@
@thirteen@|@terasa@
@thirty@|@tiµsati@
@this@|@Etad, ima@
@thoroughly practised@|@subhavita@
@thousand@|@sahassaµ@
@three@|@ti@
@Three Baskets@|@Tipitaka, Tripitaka@
@Three Jewels@|@Triple Gem@
@throwing up on@|@Ussada@
@thrown down@|@Okkhitta@
@thrown out@|@Oddita@
@throws around@|@parikkhipati@
@throws upwards@|@ukkhipati@
@thus@|@Eva, evaµ, evam@
@tibetan tantric techniques@|@dzogchen@
@till life lasts@|@yavajvaµ@
@timeless@|@akaliko@
@tina@|@grass@
@to anoint@|@Ubbatteti@
@to ask permission@|@okasang yacati@
@to bale out@|@Ussiñcati@
@to be@|@bhè@
@to be able@|@Ussahati@
@to be after something@|@Ocarati@
@to be agitated@|@Ubbijjati@
@to be in abundance@|@Ussadiyati@
@to be jealous@|@Usuyyati@
@to be moved@|@Ubbedhati@
@to be prepared@|@Upasankheyya@
@to be soiled@|@uhaññati@
@to be touched@|@photthabba@
@to be visible@|@Okasati@
@to beat@|@Uppotheti@
@to become settled@|@bhavati@
@to bend up@|@Ubbhujati@
@to blow on or towards@|@Upavayati@
@to bring forth a child@|@Upavijaññ@
@to burst upwards@|@Ubbhijjati@
@to call out@|@Ullapati@
@to carry away@|@Ubbahati@
@to collect@|@Upasangharati@
@to come down@|@Otareti@
@to come near@|@Upavisati@
@to come to pass@|@Upavattati@
@to conquer@|@Ojinati@
@to cover@|@Oguntheti@
@to creep out@|@Ussakkati@
@to cut@|@Upphaleti@
@to cut off@|@Occhindati, Okantati, uuhanati@
@to day@|@Ajja@
@to defecate@|@uhadati@
@to descend@|@Otarati@
@to describe fully@|@Upavanneti@
@to dismiss@|@Ussadeti@
@to disturb@|@uhanati1@
@to drag away@|@Okaddhati@
@to drag down@|@Okassati@
@to draw on to oneself@|@Usseneti@
@to dry in the sun@|@Otapeti@
@to dry up@|@Ussussati@
@to dwell in@|@Upavasati@
@to emerge@|@Ummujjati@
@to endeavour@|@Ussakkati, Ussakkati, Ussukkati@
@to enter@|@Okkamati@
@to exhibit@|@Ullingeti@
@to feel a sense of guilt@|@Ottappati@
@to fix one's mind on@|@Okappeti@
@to gather@|@Ocinaati, ocinati@
@to give rise to@|@Uppadeti@
@to give up@|@Ojahati@
@to go@|@Uyyassu@
@to go and to come@|@Eti@
@to go away@|@Uyyuñjati@
@to go down@|@Ogacchati@
@to go out@|@Uyyati@
@to go up to@|@upasankamati@
@to go upwards@|@Ubbattati@
@to hang up@|@Ubbandhati@
@to immerse@|@Uplapeti@
@to incline@|@Onamati@
@to instigate@|@Uyyojeti@
@to invoke@|@Upavhyati@
@to kill@|@Ubbadhati@
@to laugh at@|@uhasati@
@to laugh out loud@|@Umhayati@
@to leap up@|@Ullanghati@
@to lie low@|@Okkhayati@
@to lift up@|@Ussapeti@
@to like@|@Oka@
@to live with somebody@|@Upasa?vasati@
@to look on to@|@Ulloketi@
@to make enter@|@okkameti@
@to make jump up@|@ullangheti@
@to move@|@Ereti@
@to move back@|@Ussareti@
@to open one's eyes@|@Ummileti, Ummisati@
@to order@|@yathakammaµ@
@to plunge@|@Ogahati, ogaheti@
@to pour down on@|@Okirati@
@to preface@|@Okappati@
@to press down@|@Uppileti@
@to prosper@|@Edhati@
@to pull out@|@okasseti, Ubbaha, Ubbahati1@
@to raise aloft@|@Ussáreti@
@to rejoice@|@modati@
@to rub something on@|@Ummaddeti@
@to run out@|@Ussarati@
@to seek an opportunity@|@Ot? gavesati@
@to set into agitation@|@Ubbejeti@
@to shake@|@Okampeti@
@to shine@|@okasa@
@to sit down@|@nisidati@
@to smear@|@Upalimpati@
@to spit out@|@Otthubhati@
@to split@|@Uppateti@
@to sport@|@okkandikang kilati@
@to spread over@|@Ottharati@
@to string together@|@Ogumpheti@
@to stroll@|@Ulloleti@
@to swallow down@|@Ogilati@
@to take up@|@Ullumpati@
@to tear out@|@Ubbatteti@
@to tell@|@Upavadati@
@to this@|@Ena@
@to throw down@|@Okkhipati@
@to throw out@|@Oddeti@
@to touch@|@Ummasati@
@to uproot@|@Ummuleti@
@to urinate@|@Ummihati@
@to wash off@|@Onojeti@
@to weave@|@Upaviyati@
@to which@|@Ubhato@
@tomorrow@|@suve@
@tongue@|@Jivha@
@towards@|@pati@
@trainer@|@sekha@
@training in higher mentality@|@adhicitta sikkha@
@training in higher morality@|@adhisla sikkha@
@training precepts@|@sikkhapda@
@transcendental@|@lokuttara@
@transgresses@|@atikkamati@
@transgression@|@v²tikkama@
@traveller@|@maggika@
@traverses@|@avacarati@
@treasurer@|@bhaögarika@
@tree@|@rukkha@
@tries@|@vayamati@
@trouble@|@upasagga@
@true to one man@|@purisika@
@truth@|@sacca@
@truth in the ultimate@|@paramattha Sacca@
@twelve@|@dvadasa@
@twenty@|@vsaµ, vsati@
@twice@|@dvikkhattuµ@
@two@|@dvi@
@type of water lily@|@lotus@
@ultimate elements@|@dharmas@
@umbrella@|@chatta@
@uncle@|@matula@
@un-conditioned phenomenon@|@dhammas@
@under@|@Anu@
@under ground watercourse@|@Ummagga@
@underlying tendency@|@anusaya@
@understanding@|@avabhodha@
@understands@|@bujjhati@
@uneven@|@visama@
@unexplained@|@abyakata@
@unhappy destinations@|@duggati@
@unit of distance measure@|@yojana@
@unity@|@Ekatta, Ekattat@
@universal monarch@|@cakkavattirj@
@unoriginated@|@abh³ta@
@unrighteous conduct@|@adhamma@
@unskillful@|@akusala@
@unsteady@|@anicca@
@up stream@|@Ussota@
@upper@|@uttara@
@upper robe@|@uttarasanga@
@uprooting@|@Ummulaka@
@urban@|@nagarika@
@vaddhati@|@grows@
@vanity@|@Okara@
@vehicle@|@yana@
@venerable@|@bhadanta@
@Venerable Sir@|@Bhante@
@verb@|@khy't@
@verbal action@|@vac²kamma@
@Vernacular language@|@pli@
@versed in the dhamma@|@dhammadhara@
@verses of the arahat nuns@|@ther²gth-@
@very@|@ativiya@
@very beautiful@|@atisundara@
@very brief story@|@koan@
@very cold@|@Adhista@
@very strong@|@pabala@
@very weak@|@sudubbala@
@viceroy@|@uparaja@
@victory@|@jaya@
@view@|@diµµhi@
@village@|@gama@
@village where a monk get food@|@gocaragama@
@virgin@|@ka--a@
@virtue@|@sla@
@virtuous one@|@guöavantu@
@virtuous worldling@|@kalyana puthujjana@
@vocative@|@lapana-vacana@
@voice@|@sadda@
@volition@|@cetan@
@volitional action@|@kamma@
@volitional formation@|@abhisankhara@
@volitional formations@|@saªkhra@
@vowel liaison@|@sara-sandhi@
@vowel-consonant liaison@|@vya'jana-sandhi@
@waking@|@Jagarita@
@walking up and down@|@cankama@
@wandering@|@cara@
@wandering ascetic@|@paribbjaka@
@wanders@|@carati@
@wanders about@|@vicarati@
@wanting@|@una@
@washes@|@dhovati@
@washing off@|@Onojana@
@water@|@Ela, Odaka, udaka@
@wave@|@umika@
@waved@|@Ullulita@
@wavering@|@Ullolan@
@wavers@|@kampati@
@way leading to the cessation@|@dukkhanirodhagminpaµipad@
@wealth@|@dhana@
@wealth of virtue@|@sladhanaµ@
@weighty@|@garu@
@well@|@kèpa, sadhukaµ@
@well preached@|@sudesita@
@went@|@Aghb@
@were buddha died@|@kashinagara@
@west@|@pacchima@
@wether@|@Urabbha@
@wheel@|@cakkha@
@Wheel of Law@|@dhammacakka@
@when@|@yada@
@where the next Buddha@|@tusitã@
@which is prob. the correct@|@Ubbilapa@
@which should be done@|@karanya@
@which should be given@|@deyya@
@which?@|@ka, katama, katara@
@while in motion@|@gacchati@
@white@|@seta@
@who earns living to dhamma@|@dhammajivino@
@who has achieved nirvana@|@Arhat@
@who has found the Truth@|@Tathgata@
@who is versed in the Dhamma@|@dhammadhara@
@who practises Meditation@|@yogi@
@why?@|@kiµ@
@wide@|@Uru@
@wife@|@bhariya@
@wife of Prince Siddhatta@|@Bhaddakaccãna, Yasodhar@
@will lie upon@|@Adhisessati@
@willed act@|@kamma, karma@
@wind element@|@vyo@
@wisdom@|@pa--a, paññã@
@wise@|@medha@
@wise consideration@|@yoniso manasikra@
@wise man@|@medhav@
@wise woman@|@medh?vin@
@wish fulfilled@|@Siddhartha, Siddhatta@
@wishing to do@|@kattukama@
@wishing to eat@|@bhu-jitukama@
@wishing to go@|@gantukama@
@with ankles midway@|@Ussankha@
@with confusion of@|@Esati@
@with one in between@|@Ekantarika@
@with ribs out@|@Upphasulika@
@without food@|@nirahara@
@woman@|@nar@
@woman observing 10 precepets@|@dasas²la upsik@
@wooden@|@darumaya@
@word@|@vaca@
@wording that ought to be utter@|@kammavc@
@world@|@loka@
@worldly@|@lokika, lokiya@
@Worthy one@|@Arahant@
@would be@|@siya@
@writes@|@likhati@
@wrong@|@miccha@
@wrong paths@|@agati@
@yágu@|@gruel-rice@
@yellow@|@pta@
@yes@|@îma@
@yesterday@|@hyo@
@young@|@bala, taruöa@
@young wife@|@vadhè@
@younger@|@kaniya@
@youngest@|@kaniêêha@
@your@|@tava, tumhakaµ, tuyhaµ@

