@English@|@Yupik@
@grandfather@|@aparrlugar@
@grandmother@|@marrlugar@
@grandpa@|@ap'a@
@grass@|@caneg@
@grass bag in which the mesh is fairly tight@|@kalzngapigar@
@grass bag in which the stitches@|@malzrucuar kalzngag@
@grass bag with open mesh@|@ukilqag@
@grass basket@|@mingqar@
@grass mat used in the house@|@curulug@
@grass mat used on kayak seat@|@ikarall'in@
@grass that grows in sandy areas@|@ussuur@
@grass wiper dipped in urine@|@epriun@
@grass-lined storage pit@|@etqacug@
@graver for ivory@|@elegcig, ingciun@
@gray snail@|@ipugpag@
@gray thing@|@arerngalzngur@
@grayling@|@culugpaugar@
@great-grandchild@|@iluliarun@
@great-grandparent@|@amaurrlugar@
@great-great-grandchild@|@ilulkucugar@
@grebe@|@payig@
@greedy person@|@cingkissagta@
@green (underripe) salmonberry@|@qelengqur@
@grinding stone@|@akagun, tacilar@
@groove in large rib of a kayak@|@kiuner@
@groove line on oval wooden bowl@|@quagu@
@group of seven ribs in a boat@|@napallageg@
@growl@|@kiryani-@
@growth of callous on feet@|@assirange-@
@guard strip made of antler on keel of kayak@|@pirlar@
@gun@|@nuteg@
@gun case@|@caniurtar@
@gunpowder@|@puyurkar@
@hacksaw@|@qelutnguyar@
@hailstone@|@kavtag@
@hair@|@qiuqlag@
@hair at nape of neck@|@naucit@
@hair braided in two braids with beads at base@|@qillerpautat@
@hair brush(es)@|@kumagsitet@
@hair growths in fore ear@|@atrarutet@
@hair line on the forehead that insert on the sides@|@neginqur@
@half dollar@|@qupa@
@half dried fermented herring@|@nin'amayag@
@half dried herring@|@teggsiq'er@
@half of a whole@|@aweg@
@half-dried Dolly Varden stored in seal oil@|@pingcir@
@halibut@|@cagir@
@Halloween@|@Qaaritar@
@hammer@|@mulut'ug@
@hamstring@|@qugtuqer@
@hand@|@unatet@
@hand chopping tool@|@kep'un@
@hand made thing@|@pilliar@
@hand string-game@|@aaraq, aarraq@
@hand-hold at lower end of harpoon@|@cigwigqur@
@handle of a drum@|@paplu@
@handle or shaft end of an oar@|@cawutem epua@
@handle to pull seam tight@|@cagniyun@
@hand-twisted sinew thread@|@qip'ar@
@hangnail@|@cet'um ciuti@
@harbor porpoise@|@mangaqcuar@
@hard bluish stone for making wood shaping tools@|@miqsar@
@hard object that is soaked@|@keniciqiar-@
@hard white bone inside the cranium of fish@|@teki@
@hard wood@|@etgerer@
@hard-shelled sea creature that resembles a stick@|@ukiutnar@
@harlequin duck@|@ungunqukar(ar)@
@harness for dogs@|@anu@
@harpoon@|@tegun@
@harpoon float@|@qerruinar@
@harpoon line part@|@engevyarer@
@harpoon part into which the metal head is fitted@|@tegutet epuat@
@harpoon tip with hole for attachment@|@nengciun@
@harpoon's sealskin line@|@uss'ar@
@hatch of kayak@|@paa, qayam paanga@
@hatch rim of kayak@|@iluyarag@
@have not defecated yet@|@anaqsaate-@
@hawk@|@Qilzrirlur@
@he@|@ell'i@
@he will not watch a movie@|@tangercet'aryugnaatur@
@head@|@qamiqur@
@head of seal harpoon with trifurcate@|@caweg@
@headband@|@kengun@
@headdress used for Eskimo dancing@|@nasqerrun@
@headgear for taking a steambeath@|@maqissun@
@health center@|@yungcariwig@
@health worker@|@yungcarista@
@heart@|@unguwan@
@heat@|@maqer@
@heater@|@maqangcaun@
@heavy material used to make parka@|@ciwignilzngur@
@heavy sewing thread@|@cillup'kaar(ar)@
@heel@|@kitngig@
@helicopter@|@aqumkallag@
@her@|@ell'i@
@herring@|@iqalluarpag@
@herring eggs on kelp@|@qaryat@
@herring sac roe@|@imlaucuar@
@herself@|@ellmineg@
@hey you@|@uss'ur@
@hickory@|@teggsag@
@hide@|@qecig@
@hide tanned scraping by hand@|@calugtar@
@high skin boot worn by women@|@yuunin@
@high tide@|@ula@
@high waterproof boot(s) for young girls@|@qalluwit@
@hill meaning one resembling a wart@|@Utngurngaleg@
@hill meaning one that looks like a bird@|@Aklegarngali@
@hill meaning one that resembles a shoulder blade@|@Tuyegngalzria@
@hill meaning one with a nice slope@|@Akitnaqeggli@
@hill meaning one with rocks that resemble a man@|@Cugguartaleg@
@hill meaning partially exposed@|@Uyangssuar@
@hill meaning place to throw things away@|@Egcivv'it@
@hill meaning place with numerous crowberries@|@Paun'ertuli@
@hill meaning small lookout@|@Tegyiwicuar@
@hill meaning spoon@|@Qassuciar@
@hill meaning the mudflat's mountain@|@Maram Ingria@
@hill meaning the one in the middle@|@Akuliqer@
@hill meaning way to go over@|@Tevyarat@
@hill with a crater meaning lookout@|@Tegyiwig@
@hill with crater in the northeast of Nunivak@|@Tuyuryam Ingria@
@hill with crater meaning one like a float for fish@|@Pugtaqutarngali@
@hill with crater meaning tends to be high@|@Qasqayug@
@him@|@ell'i@
@himself@|@ellmineg@
@hip@|@materta, mecangqag@
@hole at boat bow@|@allganer@
@hole in rim to lash to frame of kayak@|@tupiciller@
@hole in the leading upright section at end of keel@|@agayuqulznguarer@
@holes for rope over top of kayak@|@napiller@
@holy spirit@|@qel'a@
@home made tanning tool blade@|@cakiwun@
@homemade curved tanning board@|@allir@
@homemade tanning tool blade@|@cakivqun@
@honey bucket@|@qerrun@
@hook@|@iqsag@
@hooligan@|@quss'ur@
@Hooper Bay@|@Naparyarmiut@
@horizon@|@kenglenguar@
@horizontal log in men's community house@|@tuussar@
@horizontal pole for hanging fish for drying@|@puyurcin@
@horizontally striped thin cloth@|@ikaarruar@
@horse@|@luussitar@
@horse mussel@|@amyagyag@
@horsetail@|@kener@
@hostage@|@tegguar@
@house@|@ena@
@house plant@|@naucir(ar)@
@housefly@|@anaririyar@
@how many?@|@qavcit@
@how?@|@castun@
@however@|@taugg'am@
@human burial above ground@|@cit'ag@
@human skull@|@iingakuyug@
@hunting implement@|@cingileg@
@hunting implement used by boys@|@kutvag@
@hurry up@|@amci@
@husband@|@wii@
@I@|@kuinga, kwiinga@
@ice breaks up along shore@|@iqertur-@
@ice cracks along river or ocean shore@|@pequnret@
@ice crystal from extreme cold weather@|@quilikupiar@
@ice pick or long ice cutter@|@cikussun@
@ice scoop@|@qaswanerrlug@
@ice that erodes away along the river@|@peq'ur@
@icicle@|@kucukar@
@illness@|@canerrlag, kirciur-, nangyun@
@immediate area@|@nalla@
@immediately@|@egmianun@
@implement for digging roots@|@eqin@
@in a little while@|@kuaniku, kwaniku@
@in front of@|@manu@
@in that area@|@tamaani@
@in there@|@qamani@
@in there in the inner part@|@kiani@
@in this area toward here@|@ukani@
@incense@|@tarwar@
@incoming tide@|@tungyu@
@indentation on top of bow of kayak@|@nutangqut@
@index finger@|@keniun@
@Indian@|@Nuyarpag@
@Indian (American)@|@Ingqilir@
@inedible red worm found on beaches@|@keliissir, wiinguyug@
@inflated seal skin@|@qerrurer@
@inlet@|@iteryarer@
@insect@|@kingug@
@insect larvae@|@anat@
@inside layer of hatch rim in kayak@|@paam iluqlia@
@insole grass@|@tungimirkar@
@insole made of sealskin or grass@|@alliqsar@
@inspector that checks outside frequently@|@curaqet'arta@
@instructor@|@eskuularta@
@interior@|@ilu@
@intestine@|@qilu@
@intestine float on shaft@|@aklegar@
@intestine's J-hook after stomach@|@qilunar@
@intoxicating liquor@|@taangar, taangar@
@Inupiaq@|@Qagkumiu@
@iron@|@manigcarissun@
@is not digging@|@lanrite-@
@is not moving yet@|@eglengeksaate-@
@is not traveling yet@|@eglengeksaate-@
@is not willing to drive@|@alunaryunrite-@
@island@|@qikertar@
@island in a bay meaning long one@|@Taklir@
@islet at the southeast coast of Nunivak@|@Alpalgar@
@islet meaning a major island@|@Qikertarrlag@
@islet meaning mostly rocks@|@Siimarpallur@
@islet meaning place for stakes for stretching seal@|@Paugwigar@
@islet meaning place where Qivcaug fought@|@Qivcaugem Callugwia@
@islet meaning village of good little point of land@|@Nuugavlarmiut@
@islet near the village of Mekoryuk@|@Ataatagguar@
@islet or reef meaning island belonging to Akurcir@|@Akurcin Qikerta@
@islet or sandbar in a riparian estuary@|@Wegpit@
@isthmusmeaning one that bites@|@Kegcuqag@
@it almost happened@|@kuaggsikika@
@it is a blessing@|@atawwauguq@
@it is bad@|@assiituq@
@it is big@|@ang'uq@
@it is hurt physically@|@aqngirtuq@
@it is not goot to lend him anything@|@navriskengarkarniitur@
@it might have happened@|@kit'awaani@
@item for trade@|@navrun@
@item of clothing@|@un'u@
@item that is situated in a small space@|@kukutna'ar@
@it's right here!@|@kuatarr'i@
@its stitches@|@kellua@
@ivory@|@tugkarer@
@ivory attachment for earrings to prevent tangling@|@qipsalkutet@
@ivory earring to which beads are fastened@|@agar@
@ivory fastener for sewing bag@|@qerrvig@
@ivory piece on tap'er@|@akagyalkun@
@ivory spear head@|@qigiqur@
@jack in playing cards@|@tan'gurer@
@jacket@|@paltug@
@jackrabbit@|@qayuqegglir@
@jade@|@tuniqtar@
@jaegar@|@cungaqvag@
@jail@|@iterciwig@
@jam@|@ciamar@
@janitor@|@eprirista@
@January@|@Tanqiluryag Kinguqlir@
@Japanese@|@cugngalznguarar, Tayarumiu@
@jeans@|@qiuglig@
@jet@|@cupurtur@
@jet airplane@|@cupurtuleg@
@joint (of body)@|@napner@
@joint at the edge of canguyalkun@|@nall'arruar@
@July meaning the month murres fly south@|@Alpaaruswig@
@jump-rope@|@qawaliqtar@
@June@|@Tengmiarat Tengutit@
@Kasigluk@|@Kassiglurmiut@
@kayak@|@qayar@
@kayak bow with a tote-hole in above the tangir@|@qengaryugguar@
@kayak end part@|@nenguralzria, pupsugyuggualeg, qayam anaullga@
@kayak floor cross piece@|@ingun@
@kayak frame part@|@nutengqupagtet@
@kayak part@|@akagyalkun, caaganer, imaqlig, kuwirner, makvig@
@kayak rack(s)@|@tatkit@
@kayak skin@|@amir@
@kayak stern piece@|@pamyur@
@kayak type@|@anaulleleg@
@keel of kayak or open boat@|@kuyagar@
@kelp@|@elqurrlug@
@kerosene@|@kuluilar@
@kerosene lamp@|@nanir@
@kettle@|@caanig@
@key@|@angwarun@
@kidney@|@tartur@
@killer whale@|@arrlug@
@kindling wood@|@ayagaaraun@
@king eider@|@qengalleg@
@king in cards@|@kallag@
@king salmon@|@taryaqvag@
@kittiwake@|@tengauqsarar(ar)@
@knee@|@cisqur@
@knife@|@cawiggarer, luussir@
@knife with hook at end to make curved lines@|@ingciraun@
@knitting needle@|@qilaggsun@
@knolls meaning two places to pile feces@|@An'arag@
@knoll's side seen in the distance@|@irlurner@
@Kuskokwim River@|@Kusquqvag@
@Kwethluk-Alaska@|@Kuigglug@
@laagute-@|@laagute-@
@labrador tea@|@ayu@
@labret@|@tuutar@
@lace for use as drawstring@|@tarperkaun@
@ladle (usually wooden)@|@qalutar@
@lagoon meaning lagoon@|@Tuqsug@
@lake@|@Aaluugileg@
@lake in the village of Mekoryuk@|@Nanwarrag@
@lake meaning dear old lake@|@Nanwarrlugar@
@lake meaning lake of Qasqayug@|@Qasqass'um Nanwa@
@lake meaning little place to hunt@|@Leqlerrsurwigar@
@lake meaning place to hunt molting geese@|@Leqlerrsurwig@
@lake meaning raggedy stomach@|@Anrucillug@
@lake meaning the lake@|@Nanwar@
@lake meaning the two begrudgers@|@Aglumatelzrig@
@lake meaning where Canada geese molt@|@Tuutangayit Ingeswiat@
@lake near the east coast of Nunivak@|@Tuullegtuli@
@lake of Iqalluleg@|@Iqallulgem Nanwi@
@lake of Tevcarer@|@Tevcaram Nanwi@
@lake on the south coast of Nunivak@|@Taryurnilzngur@
@lakes meaning ones connecting to each other@|@Usgukelzrit@
@lakes meaning ones that resemble ravens@|@Tulukarugat@
@lakes meaning two flounders@|@Urarulzgag@
@lakes near a cliff meaning two lakes@|@Nanwag@
@lamb@|@tuntuyagar@
@land otter@|@cenkar, pirturcir(ar)@
@land planner@|@nunaliurta@
@landmark made of stones@|@cugalluutar@
@language@|@qaneryarer@
@large blue beads@|@cungavyit@
@large boat@|@angyarpag, laapar@
@large crack on shore-fast sea ice@|@aayuqer@
@large flat rock@|@caliger@
@large gaff@|@legcigpag@
@large harpoon head for walrus@|@cawegpag@
@large hook@|@legcig@
@large intestine@|@qilurpag@
@large ivory adze or pick@|@ciklar@
@large rectangular earring with glass@|@qevleqsar@
@large rocks@|@simpag@
@large snail@|@nakunar@
@large stone vessel for frying@|@asgirkiwig@
@large storage dish made of wood@|@akirtarpag@
@large strut running across top of kayak@|@assaun@
@large wooden bowl@|@tuqmig@
@lashing of frame@|@nemer@
@lashing of kayak hatch to its supports@|@tupiutar@
@last post at rear of sled@|@pingutaqug@
@last strut at bow and stern of kayak attached@|@tuntunar@
@lateral malleolus of fibula@|@qamangar@
@lava bed meaning sharp rocks jutting out@|@Ipgeryit@
@law@|@aarun@
@lazy person@|@anarkiurta, qessaatalzria@
@lead pellet@|@kal'kiissar@
@leaf@|@pellukutar@
@leaf of yellow flowering plant@|@cuya@
@leak in a boot or boat@|@imangun@
@leavening@|@mayurngig@
@left over food@|@aminkullrar@
@left over of food@|@ilakuar@
@left-over@|@aminkug@
@leg@|@iru@
@legend@|@qulirer, univkar@
@legendary creature@|@irci@
@legendary walrus-like creature@|@quugar@
@lemming@|@pugultu@
@lesser golden plover@|@tuyig@
@let's see@|@tarr'i@
@level (tool)@|@maktanqegciss'un@
@lid@|@patu@
@light@|@kuman@
@lighting fixture@|@lampar@
@like that@|@tawaten@
@line@|@ceter@
@line (cord) across top of kayak@|@tapr(ar)@
@line holder for harpoon on front deck@|@acalur@
@lip@|@qissir, qissir@
@little bug near the beach that tries to get in eye@|@tengleryagar(ar)@
@little cove@|@Kangiqucugar@
@little finger@|@iqelqur@
@little river@|@kuicuar@
@little room at side of entrance@|@qerrayar@
@little sled (one or two)@|@ikamracuarag@
@liver@|@tengug@
@log above door of an enpiar@|@qaliqerrun@
@log at each side of iluyarag@|@ayaperyag@
@log dividing an area such the bedding@|@akin@
@log in front of doorway of a sod house@|@qissiryarer@
@log with a groove soaked with sap@|@cayagaleg@
@lone individual@|@ellnginar(ar)@
@long grass used for lining a storage pit@|@englullin(rar)@
@long jaw bone@|@assingar@
@long roots of a tree trunk@|@cagpaalug@
@long snow crystals@|@takemqussugyagat@
@long spear thrower for sealing harpoon@|@assauquss'un@
@long tail feather of male oldsquaw@|@allgilinrat@
@long waterproof dehaired sealskin mitten or glove@|@arillugar@
@long wood foreshaft with an ivory shaft@|@alqunaun@
@look@|@atam@
@loop@|@negurlug@
@loop(s) on grass bag for drawsring@|@pass'ar (1)@
@looped string to tell a story@|@aarrauteg@
@lots of stars are clustered together@|@igigkarrat (1)@
@louse@|@neresta@
@louse nit@|@ingqi@
@lousewort@|@megtat neqait@
@lovage@|@ciukarer@
@low bush willows@|@inaqacit@
@low mountain meaning one with rocks@|@Siimaleg@
@lower part of a tree trunk@|@mimernar@
@lower stringer of a building@|@aglungraarrun@
@lower tie beam@|@aglur@
@lubricating oil@|@uqurun@
@lumber@|@tuskar@
@lung@|@caqania, elzrawig@
@lurnir-@|@lurnir-@
@magazine@|@cuvri@
@maggot@|@quvlur@
@magistrate@|@apqaurta@
@maid@|@eprirista@
@main section of keel that is lashed to stern@|@pakilzria@
@male@|@angun@
@male common eider@|@tunupista@
@male lapland longspur@|@nacaqupagar@
@man of stature@|@angutepig@
@Manokotak-Alaska@|@Manuquutar@
@man's cap turned around@|@tunutmuar@
@man's fancy Eskimo-boot with wolverine@|@ac'iqer ciuqaleg@
@man's hair-do with a long locks@|@ketekneret@
@man's labret@|@ungunqur@
@man's labret with beads on a frame@|@elciqaruar@
@man's labret with green and white stones@|@kukupag@
@man's large median stone lip-plug@|@tapruartar@
@man's short skin mitten used when going on a kayak@|@arikarer@
@March@|@Taqukat Tanqiat@
@margarine@|@maslar, mingug@
@marrow@|@pater@
@marrow extractor@|@paterturrsun@
@marsh@|@lurrlug@
@marsh cinquefoil@|@mecungyuilzngur@
@marsh land meaning the one in between@|@Akuliqutar@
@marsh marigold@|@wivlug@
@marsh marigold bulb@|@anguteryug@
@marsh marigold leaves@|@arnat@
@mast of a boat@|@naparta@
@mat@|@tutner@
@match@|@kener@
@mattress or mat@|@aci@
@mature Alaska cotton-grass@|@melqiun@
@May@|@Tengmiarat Tanqiat@
@meaning old cormorant's fat@|@Uqsullug@
@meaning one positioned sideways@|@Can'iralzria@
@meaning one who comes this way@|@Ukayir@
@meaning one who give drinks@|@Miissar@
@meaning one who is harnessed@|@Anunaar@
@meaning one who is surprised@|@Al'akar@
@meaning one who runs away@|@Qimagarer@
@meaning one who shows up@|@Uyanglin@
@meaning one with aaluugit sea gulls@|@Aaluugileg@
@meaning one with an arm@|@Tallileg@
@meaning one without a thumb@|@Tekrilzngur@
@meaning sand dune@|@Arriran@
@meaning the number three@|@Pingayan@
@meaning the sights of a gun@|@Cuqa'ar@
@measurement@|@aaggarner, ikuyegarner@
@measurement between tips of fingers@|@cagner@
@measurement from finger tip to armpit@|@qerruuner@
@measurement from fingertip to the chest@|@quruner@
@measuring instrument@|@cuqciss'un@
@measuring tape@|@wiigiss'un@
@meat@|@kemeg@
@meat hook with long straight handle@|@legcikcuar@
@mechanic@|@massiiniurta@
@medication@|@yungcaun@
@medicine man@|@angalku@
@Mekoryuk meaning village of abundance@|@Mikuryarmiut@
@men's dance hat@|@nacarpig'ar@
@men's dancing stick or wand@|@iqiilitar@
@men's Eskimo winter boots@|@an'giuteg@
@men's fur Eskimo-boot@|@ac'iqer@
@men's high wading boot@|@qamquinar@
@men's waterproof sealskin boot with fur inside@|@ivrucir@
@merging of apamag@|@capngig@
@mesh of a gillnet@|@negar@
@mesh-gauge for fish or seal net@|@negaqerrun@
@messenger feast@|@kevgir@
@messy person@|@tawalkaayan'er@
@metacarpel in walrus flipper@|@pasvig@
@meteor@|@agyam an'a@
@middle finger@|@qaqur@
@middle ridge of an oar@|@cawutem qengarti@
@midwife@|@qetunriciqialzriani ukisqam, qetunriurta@
@milk@|@malak'ur@
@Milky Way@|@Tanglurallret@
@mink@|@imarmiutar@
@mink parka or parkas@|@imarmiutat@
@mirror@|@tarenriurun@
@mist@|@taatugglug@
@mitten@|@aritvag@
@model of village or land@|@nunanguar@
@modern ridge pole of a building@|@aglur@
@Monday@|@Ciuqlir@
@money@|@aki@
@monkshood@|@nacapcuar@
@month@|@tanqig@
@moon@|@iraluq@
@moose@|@tuntuwag@
@moral saying@|@qanruyun@
@mortar for preparing black paint@|@awisgarciwig@
@mosquito@|@kegturyar@
@moss marinated in seal oil@|@puyallret@
@moss soaked in seal oil and used as a bandage@|@cupkecirkaun@
@most clean spot@|@eprilqur@
@mother@|@aana@
@mother bearded seal swimming near an ice floe@|@uginagumar@
@mother bearded seal swimming with a cub on back@|@qamuqatag (1)@
@mother's brother@|@angak@
@Mother's Day@|@Aanat Erenrat@
@mother's sister@|@anaanar@
@mother's sister (aunt)@|@anaana@
@mountain@|@ingri@
@mountain meaning mountain of the bay@|@Tacim Ingria@
@mountain meaning place to lie next to another@|@Tutegwig@
@mountain of Ateng river@|@Ateng Ingria@
@mountain sorrel@|@quulistar@
@mouth@|@qaner@
@mouth of a river@|@paaluyar(ar)@
@mouth of Cugguarat Kuigat@|@Cugguarat@
@mouthpiece of seal float@|@qerturwig@
@mouthpiece of water bottle@|@pass'ar@
@movie@|@tangercet'ar@
@Mt. Roberts@|@Ing'errlag@
@mucus@|@nuwag@
@mud@|@marayar@
@mudflat@|@marer@
@murre@|@alpa@
@murre chick@|@taatuir(ar)@
@murre-skin parka@|@alpacurrlugar@
@musket@|@uquutelleg@
@musk-ox@|@maskar, umingmar@
@muskrat@|@kanaqlag@
@nagoonberry@|@puyuraar@
@nail@|@ussukcar@
@nailhead@|@atsarruar@
@name of two small mountains@|@Keggalzruteg@
@Napakiak@|@Naparyarer@
@Napamute@|@Napamiut@
@Napaskiak@|@Napaskiar@
@nasal cavity to main bronchi@|@curlug@
@Nash Harbor@|@Naasaapelarmiut@
@native of Nunivak Island@|@Cup'ig@
@Native of the general Yukon-Kuskokwim Delta@|@Yup'ig@
@native person of the Kuskokwim Delta@|@Paugkumiu@
@native residents of Chevak@|@Cev'armiut@
@necessity@|@nuuqutkar@
@neck@|@uyaqur@
@necklace@|@uyamig@
@needy person@|@arrsagar@
@neighbor@|@ellaqlir@
@Nelson Island@|@Qaluyat@
@nephew or niece of a woman through her brother@|@an'garer@
@nephew or niece on brother's side@|@qangiar@
@nest@|@unglu@
@net-hanging needle@|@qipauteg@
@new feather growth on a molting goose@|@emqur@
@new thing@|@nutarer@
@newborn baby@|@anqenkiiyagar@
@niece and nephew through sister@|@usru@
@niece on brother's side@|@qangiaravyuarer@
@night@|@un'ug@
@nine@|@qulzngunrita'ar@
@nine in playing cards@|@qukaleg@
@nineteen@|@cuinaunrita'ar@
@ninety@|@talliman ipiar qula@
@nipple of breast@|@mula@
@noise@|@nepa@
@noise that is unbearble to listen to@|@nitniite-@
@north@|@waassiar@
@northern fulmar@|@uquir@
@northern lights@|@kiuryat@
@northern pintail@|@napaqer@
@nose@|@qengar@
@nose-bead@|@ingcu@
@not long ago@|@akaurtenrilzngur@
@November@|@Imam Umgut'i@
@nowadays@|@maa-i@
@number chart for counting@|@naaqiss'un@
@numeral term used for two hundred@|@kenruter@
@Nunapitchuk-Alaska@|@Nunapicuar@
@Nunivak Island@|@Nuniwar@
@o be flattened@|@mamcar-@
@oar@|@caw'un@
@oar blade@|@cawutem mullua@
@oarlock@|@cawuciutar@
@object to be taken along on a trip or sent off@|@assautarkar@
@occupation@|@calliar@
@occuring one after the other@|@allamtauneg@
@ocean@|@imarpig@
@ocean current@|@carwaner@
@ocean flounder@|@naternarnar@
@ocean wave@|@qar@
@October@|@Nanwarat Cikutit@
@off white color@|@urasqer@
@offspring@|@qetunr(ar)@
@oh my goodness!@|@akguarpag@
@oh!@|@ala@
@oil stove@|@uqungnagtutuli@
@oily color@|@uquriner@
@old bench be in an ena@|@acir@
@old long skin boot@|@acupegglugar@
@old parka@|@aturrlugar@
@old person@|@ak'allar@
@old thing@|@ak'allar@
@older brother@|@anngar@
@older sister@|@alqer@
@oldest sister@|@alqerpaar(ar)@
@oldsquaw duck@|@aarrangiir@
@old-time house@|@enpiar@
@on the other side@|@amani@
@on the other side of it@|@amatiini@
@one@|@atauciq, ataucir@
@one at the bottom@|@atlir@
@one hundred dollars@|@talliman ipiar@
@one little nose@|@qengapcuar(ar)@
@one of five large ribs in kayak below the apamar@|@ingner@
@one of four supporting posts in a sod house@|@cukar@
@one of last three ribs at bow of boat@|@kawiqicungar@
@one of the three ribs in front of hatch@|@tukerwig@
@one that is never used@|@atuyuilkengar-@
@one that is pigeon toed@|@kurngalzria@
@one that is towed@|@ukamanqutar@
@one that is very light@|@uqgelzngucuar(ar)@
@one that journeyed into the ocean@|@imarteller@
@one up there (extended)@|@pagna@
@one who attracts affection@|@unganarqe-@
@one who falls into water with a splash@|@Lurlur@
@one who is easily intimidated@|@maligarucukar(ar)@
@one who raises a child@|@mangnaqesta@
@one who tends to argue@|@qanemcugner-@
@one who washes clothes@|@erwigista@
@one who washes dishes@|@erurista@
@one with a cover@|@caqu-@
@one with an end@|@iquleg@
@one with wings@|@caquleg@
@one's own@|@nakmin@
@onion@|@anyanssar@
@opposite side@|@aki@
@or@|@angu-llu, angu-qa@
@orange@|@atsarpag@
@orange colored thing@|@atsarngalzngur@
@original way@|@nutem@
@ornaments for harpoon float@|@qerruinat aqevyait@
@Oscarville-Alaska@|@Kuigayagarmiut@
@osprey hawk@|@eskavviar@
@other side@|@inglu@
@out there@|@keggani, qiini, waani@
@outboard motor@|@elliqeryarar@
@outdoors@|@ella@
@outer part of hatch rim on kayak@|@qaglag@
@outer sides of eyes@|@qigcig@
@outgoing tide@|@ancarner@
@outside (often referring to weather)@|@qakemna@
@oval shape@|@ucugyamqitag@
@over a river or valley@|@iini@
@over there@|@awani, yaani@
@oysterleaf@|@civnerturpag@
@pack strap@|@atmautar@
@paddle@|@anguarun@
@padlock@|@kelucar@
@paint@|@kelaskar@
@pair of ice skates@|@kankig@
@Pallas buttercup@|@aaggulunguar@
@palm of hand@|@arwag, callirner, tum'i@
@pancake@|@maniar@
@paper@|@kalikar@
@parallelogram@|@canirngalzria@
@parent-in-law@|@caki@
@parentless child@|@elliraar(ar)@
@parka@|@atkug@
@parka cover@|@qasper@
@parka made from black-legged kittiwake skin@|@tengaurtet@
@parka made from oldsquaw duck@|@aarraangiarat@
@parka made from pigeon guillemot@|@cigurat atkut@
@parka made of strips of bleached sealskin@|@ellangrat@
@part of a caweg@|@cavgem umia@
@part of a tree trunk@|@epulqur@
@part of seal harpoon@|@giimar@
@partner@|@aipaq@
@patch over hole in a container@|@uqurtar@
@path@|@tumyarer@
@pattern@|@lirqun@
@patterned snowdrift@|@iqallugguar@
@pea@|@cin'amerlag@
@pearl@|@uyaqsug@
@pectoral fin of fish@|@pakiurun@
@peeler@|@qeltaariss'un@
@pelagic cormorant@|@uyaleg@
@pelvic bone@|@kuucinar@
@pelvic fin of fish@|@pakiurun kinguqlir@
@pencil@|@kalantaassar@
@penis@|@ucug@
@penny@|@kawirliyagar, qelemner@
@pepper@|@piilicar@
@perfume@|@tepkegcar@
@perhaps meaning to sleep with@|@Tutqir@
@person@|@cug, pi@
@person of ancient times@|@ciuliaqatug@
@person of the Catholic religion@|@manassenkar@
@person of the white race@|@kass'ar@
@person or animal that is part walrus@|@kaugpaleg@
@person who carves wood or ivory@|@caanguista, caanguituli@
@person who is least expected to know@|@kelzngunrilzngur@
@person who makes a gurgling sound@|@Lurtussikar@
@person who starts complaints@|@egwurcista@
@personal name@|@Al'akar, Anunaar, Arriran, Can'iralzria, Cuqa'ar, Lurtussikar, Miissar, Pingayan, Qimagarer, Tallileg, Tekrilzngur, Tutqir, Ukayir, Uqsullug, Uyanglin@
@personal name (from English "Flora")@|@Pelular@
@personal name a daughter for one@|@Panigkar@
@personal name derived of English word Hendrickson@|@An'uliksenar@
@personal name from Russian Wassilie@|@Wass'lir@
@personal name meaning a little amount@|@Car'er@
@personal name meaning a man who had two wives@|@Aacurlir@
@personal name meaning a place to cry@|@Qiawigar@
@personal name meaning a post@|@Cuukar@
@personal name meaning an eye@|@Iingan@
@personal name meaning an inflated intestine@|@Irnerraucin@
@personal name meaning bladder@|@Nakaar@
@personal name meaning brine@|@Cungallug@
@personal name meaning burbot@|@Manignar@
@personal name meaning cute little daughter@|@Panigacungar@
@personal name meaning daughter@|@Paninagar@
@personal name meaning future coffin@|@Qungurkar@
@personal name meaning future water well@|@Laakautarkar@
@personal name meaning giant@|@Mell'arpag@
@personal name meaning girl@|@Arnarayar@
@personal name meaning grave@|@Qungutur@
@personal name meaning hand support@|@Ayaprun@
@personal name meaning heavenly star@|@Agyaqer@
@personal name meaning land cluttered with rocks@|@Qiuran@
@personal name meaning large mussel@|@Umyan@
@personal name meaning little daughter@|@Panissagar@
@personal name meaning little gills@|@Pacungiar@
@personal name meaning little girl@|@Arnacungar@
@personal name meaning little mother@|@Aanayagar@
@personal name meaning little needlefish@|@Cukiliyagar@
@personal name meaning little one on top@|@Qaawagar@
@personal name meaning middle aged woman@|@Arnaciar@
@personal name meaning moon@|@Iralur@
@personal name meaning not a pretty bay@|@Tacillgar@
@personal name meaning old floor@|@Nat'rug@
@personal name meaning old lady@|@Arnalluar@
@personal name meaning old top layer@|@Qullirrlugar@
@personal name meaning one gets grass@|@Werqalzria@
@personal name meaning one that has an inside@|@Ilussug@
@personal name meaning one that has been heated@|@Uqninrat@
@personal name meaning one that is big@|@Angtuapagar@
@personal name meaning one to be tidied@|@Icaranin@
@personal name meaning one who arrives badly@|@Taamituryag@
@personal name meaning one who asks questions@|@Apurin@
@personal name meaning one who calls names@|@Ariyang@
@personal name meaning one who can cut in halves@|@Awegyar@
@personal name meaning one who changes@|@Cimigar@
@personal name meaning one who continuously frowns@|@Qavcurpag@
