@English@|@Balochi@
@inoffensive@|@gharíb@
@inside@|@andará, taha, táha@
@instead@|@handá@
@instep@|@phádh-phusht@
@intention@|@nahmat@
@interest@|@shok, súd, sut@
@interpreter@|@tarjuman@
@into@|@avr, mán@
@introduce@|@ta aruf kanag@
@iron@|@ásin@
@iron peg@|@shafak@
@irrigation@|@ávdárí@
@is coming@|@mana-ághen, phedh ághen, phedhághen@
@is necessary@|@gazaren@
@is not@|@nesten@
@Islamic law@|@shariat@
@issue@|@dar-khafagh@
@item@|@ta@
@jackal@|@tholagh@
@jaw@|@shagor@
@jawbone@|@harb@
@jaws@|@zanákh@
@jest@|@chawá@
@jester@|@chawágar@
@jewels@|@sahth@
@jhand tree@|@kahír, sol@
@joint@|@muchh@
@joint in wood@|@bogh@
@joke@|@chhatar@
@juggler@|@bázígar@
@juice@|@ras@
@jungle@|@adanav, ladh@
@just@|@munsif, tanaya, tania@
@justice@|@aldo-shara, insáf, nirwár@
@káfila@|@sáth@
@kaurí@|@kashk@
@kauyí@|@gur@
@kernel@|@gadikh@
@key@|@kunjí@
@kick@|@ladhagh, laghadh@
@kid@|@shanikh, zah@
@kind of coarse grass@|@gorkhá@
@kind of creeper@|@már-val@
@kind of grass@|@gomádh, gomádh, lambi, manihár, nar-gomádh@
@kind of melon@|@getra@
@kind of tamarisk@|@gith-gaz@
@kind of wild turnips@|@khokhar@
@king@|@bádsháh@
@kite@|@patang@
@kneading-trough@|@sarakh@
@knee-pan@|@dhakaní@
@knot@|@granch@
@knowingly@|@zánagh, zántho@
@known@|@málím, sahra@
@lade beasts of burden@|@ladagh, ladatha@
@lady@|@godí@
@lake@|@talab@
@lamb@|@ghatúr, gwarakh@
@lame@|@lang@
@lamp@|@dío@
@lana@|@lánav@
@land@|@deh, dighár@
@landlord@|@dighár-wázhá@
@large ant@|@salor@
@large boat@|@rachin@
@large lizard@|@goh, vágú@
@large needle@|@gondosh@
@large pot@|@deghrá@
@large saddle bags@|@hartel@
@large stones@|@khalgar@
@last night@|@doshí@
@last year@|@phárí@
@late@|@aver@
@lay hold of@|@gipta, gír, giragh@
@laziness@|@swsti@
@lazy@|@sust, swst@
@lead@|@síhá, surf@
@leader@|@mevo@
@leaf@|@thákh@
@lean@|@lághar@
@learning@|@talim@
@leather bag for flour@|@Aphán@
@leather churn@|@hínz@
@leather strap@|@vadrí@
@leather worker@|@mochí@
@leave@|@mokal@
@leech@|@zarágh@
@leeward@|@sher-gwáth@
@left@|@chap@
@left hand@|@chap-dust@
@legging@|@mozhagh@
@leisure@|@phár, wándá@
@lemon@|@límú, nímon@
@lemon-grass@|@nadhakh@
@leopard@|@díhav@
@less@|@kham@
@lesson@|@sabak@
@let go!@|@Bil-dai!@
@letter@|@harf, kághadh@
@liar@|@drogh-bandokh@
@lice@|@rashk@
@lid@|@dafsar@
@light@|@sawakk, sobak@
@lightning@|@girokh, napt@
@limb@|@bázú@
@line@|@rid, sätär@
@link of a chain@|@karrá@
@lip@|@rakh@
@lisping@|@lalla@
@little finger@|@chúch@
@livelihood@|@takra@
@liver@|@jaghar@
@living@|@zindagh@
@lizard@|@bághár@
@lock@|@kulaf@
@locust@|@madhakh@
@loins@|@saren@
@long@|@drázh@
@long coat@|@kurtá, pahráwan@
@long curls worn by Balochis@|@gulálakh@
@long-haired goat@|@shanik@
@loud voice@|@zor-gríhá@
@lover@|@ambal@
@low@|@jahl@
@low furze-like shrub@|@shezirk@
@lucerne grass@|@uspust@
@luggage@|@saman@
@lungí@|@mandíl@
@lungs@|@phiphar@
@mad@|@tirtha@
@madman@|@charí@
@magic@|@sihr@
@magician@|@sihr-khanokh@
@maimed@|@tund@
@maintenance@|@guzrán@
@maize@|@gadobar@
@make@|@shar kanag@
@make a mistake@|@rad kanag@
@make away with@|@gár-khanagh@
@make ready@|@tayyari kanag@
@makeshift@|@guzar@
@making signs@|@mech@
@male@|@nar@
@male calves@|@báhrav@
@male camel@|@leyo@
@male donkey@|@lágh@
@male of any beast of chase@|@washkí@
@male urial@|@goránd@
@mallet@|@mekhmár@
@man@|@mar, mar, mard, sar@
@mange@|@kaigho@
@mango@|@amb@
@mankind@|@ahsán@
@many@|@geshtar, uchal@
@many-coloured@|@zád@
@march@|@mizil@
@mare@|@mádhin@
@marriage@|@sang, sír@
@marriageable@|@sír-wájh@
@masonry watercourse@|@Ad@
@masonry water-course@|@Ad@
@master@|@logh-wázhá, sáín, wázhá, wázhá, whántkár@
@master of a subject@|@wastád@
@mat of palm fronds@|@tagird@
@match@|@phalíthagh, tál@
@mate@|@sangat@
@maternal aunt@|@másí@
@maternal grandfather@|@náná@
@maternal grandmother@|@nání@
@maternal uncle@|@mámá@
@matter@|@rem@
@matting@|@chitar@
@matting made of the leaves@|@thaghard@
@mattock@|@kharphaz, kodál@
@mattrass@|@bauf@
@may you be well@|@shar bate@
@me@|@manán@
@mean@|@kamína@
@meaning@|@matbal@
@meat@|@gozhd@
@medal@|@billá@
@medicine@|@darmán@
@meeting@|@mel@
@melting@|@hal@
@memory@|@gír@
@mending@|@dak@
@menstruation@|@godh@
@menthol@|@sufari@
@merchandise@|@sawda@
@merchant@|@sawdagir@
@merciful@|@momand@
@messenger@|@káshid@
@metal@|@hardhát@
@metal cup for drinking@|@kodí@
@middle@|@nyám@
@middle-finger@|@nyámaghí murdán@
@midnight@|@nem-shaf, shapnim@
@might@|@zor@
@milch@|@shír-deokh@
@militia@|@uls@
@milk@|@shir@
@milker@|@shír-doshokh@
@millstone@|@jathir@
@mine@|@kán@
@minor@|@ná-báligh@
@minstrel@|@lorí@
@mirage@|@shetan@
@miser@|@gazír@
@mist@|@díthlo@
@mist after rain@|@muzh@
@mistress@|@amul, logh-bánukh@
@mixed@|@áwár@
@mockery@|@shaghán@
@modern@|@nína@
@moist@|@thar@
@mole@|@tal@
@Monday@|@somar@
@money@|@paysa, zar@
@money changer@|@saraf@
@monkey@|@bholú, shado@
@moon@|@roshni@
@moonlight night@|@máhkání shaf@
@morning@|@sawáh, sawáh, sohb, suhv@
@morning meal@|@subarag@
@morning star@|@suhv-astár@
@morning twilight@|@asur@
@mosque@|@masít@
@mosquito@|@pashsha, sunti makisk, sutí@
@mother@|@máth@
@Mother@|@maas, Maat@
@mother-in-law@|@wasí@
@motion@|@suräG@
@mountain@|@koh@
@mourning@|@ghamí@
@mouse@|@múshk@
@moustaches@|@baroth@
@mouth@|@daf@
@move@|@juzagh@
@moving@|@jumb@
@much@|@báz@
@mule@|@hastal@
@mungoose@|@nor@
@murder@|@mar-khushí@
@murderer@|@mar-khushokh@
@mushroom@|@kumbígh@
@music@|@sarodh@
@musical wind instrument@|@saz@
@musk@|@misk@
@my@|@maín, maní@
@my brother!@|@Birá maní@
@mystery@|@israr, isrár@
@nail@|@nákhun@
@naked@|@khíndar@
@namda@|@gandal, tapur@
@name@|@nám@
@name of a stream@|@Thegháf@
@name of a tree@|@zámur@
@namesake@|@am-nám, amnám@
@nape of the neck@|@gaukh@
@narrow@|@tanak, tankh, tankh@
@narrow hill path@|@rúngrá@
@near@|@gwar, khund, kund@
@nearly@|@gwará@
@necessary@|@pakar, zarúr@
@neck@|@gardan@
@necklace@|@kandí, sanghar@
@necklace of shells worn@|@selhí@
@needle@|@síshin, suchin@
@needle's eye@|@dukh@
@neighbour@|@símándar@
@nephew@|@nákhozákht, trízákht@
@nest@|@ákhero, kudhám@
@net@|@jár@
@new@|@nokh@
@news@|@chebar@
@next year@|@Thí-sál@
@nice@|@shar@
@night@|@shap@
@night and day@|@shap o roch@
@night attack@|@pásná@
@nine@|@nuh, nw@
@ninety@|@chyár gíst dah@
@ninth@|@nuhmí@
@nipple@|@gwar-sar@
@No@|@Inna@
@nomadic@|@pawal@
@noon@|@nem-rosh, nermosh@
@north@|@Ubbá@
@nose@|@phonz, ponz@
@nose-ring@|@phulúh@
@nostril@|@gránz@
@not@|@ná, nah, nah, nen@
@not smooth@|@zivir@
@now-a-days@|@nína-vakhtá@
@nurse@|@dáí@
@oasis with vegetation@|@sar sabz@
@oath@|@patsákh, sákh, sákh, saughan@
@obedient@|@tábidár@
@object@|@murád@
@odd@|@táh@
@of age@|@bálagh@
@of European manufacture@|@kaldár@
@of every kind@|@har-rangá@
@of mixed breed@|@karthagh@
@of more than one colour@|@jharí@
@of one sort@|@ya-rangá@
@of silver@|@nughraená@
@of that sort@|@ukaiya@
@offence@|@doh@
@official@|@hodadár@
@often@|@Bázen-barán@
@old age@|@phírí@
@old clothes@|@kahnagh@
@old man@|@phír@
@on account of@|@phar, phar, savavá@
@on the leeside@|@er-gwáthá@
@on the upper side@|@sarbarí-pahnádhá@
@on this account@|@hameshiya phar@
@on this side@|@inbará@
@on top of@|@sara@
@on what account?@|@pharchhe@
@once@|@ya-bare@
@one@|@ya, yak, yak, yek@
@one another@|@yak-áptiyá@
@one who demands@|@pholokh@
@one-fifth@|@phanjak@
@one's own@|@wathí, wathí jindeghen@
@oneself@|@but, jind, wath@
@one-third@|@saiak@
@onion@|@phímáz@
@only@|@charo, sirf@
@only one@|@yake@
@opinion@|@chaná@
@opium@|@áfím@
@opportunity@|@muhlat@
@or@|@hai@
@or perhaps@|@arna@
@order@|@hukm@
@original@|@phutur@
@orphan@|@chorí, yatím@
@other@|@ipti@
@outside@|@dar, dará@
@outwards@|@darrí@
@oven@|@tandur, tháfagh@
@oven-baked@|@tanduri@
@over@|@sarbira@
@overcome@|@katagh@
@overtake@|@gon-deagh@
@overturned@|@ondo@
@ox@|@kárígar, khair@
@pace@|@gám@
@paces@|@raftár@
@pack-saddle@|@thán@
@packsaddle for oxen@|@gwálagh@
@page@|@tak@
@pain@|@dard@
@painter@|@rázá@
@pair@|@jawár@
@palm frond mat@|@patrik, tapishk@
@palm of hand@|@tillí@
@parched corn@|@sálagh@
@parents@|@máth-phith@
@parrot@|@totá@
@parting of hair@|@sar-rand@
@partner@|@sharík@
@passing out parade@|@salami@
@passionate@|@trund@
@password@|@shape nam@
@past indef. of the verb to be@|@ath, athan, athán, athant, atheí, atheí, athún@
@pasture@|@jídh@
@patch of light on ground@|@roche tik@
@paternal@|@arif@
@paternal aunt@|@phúphí@
@path leading round the foot@|@gwarband@
@patience@|@mahl@
@pattern@|@namúna@
@pay@|@talab, tankha@
@peach@|@shaftalu, shastalu@
@peak@|@talú@
@pebbles@|@zawár@
@pedestrian@|@piyadag@
@peg@|@meh@
@pencil@|@pinsil@
@penis@|@kher@
@people@|@dunyá@
@pepper@|@murján, pilpil@
@perhaps@|@khaizán, nawán@
@person taking a bribe@|@rishwat khor@
@pestal for ditto@|@jogindár@
@petition@|@ardas@
@photograph@|@taswir@
@pigeon@|@kahne@
@pilgrim@|@hájí@
@pillow@|@sarjah@
@pillow slip@|@sarja posh@
@pipe@|@giroh@
@pipe water@|@payp@
@pistol@|@druhání@
@pit@|@khad@
@pity@|@Armán@
@place@|@hand@
@plain@|@pleni jaga@
@plant@|@godur, phídhagh@
@plant used in washing@|@gwámísh@
@plate@|@hírán, san@
@play@|@lád@
@playing cards@|@pata@
@pleasant smell@|@Náz-bo@
@Please@|@Mihrabani kan@
@pleasure@|@marzí@
@pledge@|@gahn@
@plough@|@nangár@
@plunder@|@áwár@
@pocket@|@phado@
@poem@|@shár, shár@
@poet@|@shahir, sháir@
@poison@|@jaur@
@police@|@polis@
@political@|@siasi@
@pommel of saddle@|@kúch@
@pony@|@daddav@
@pool@|@kumb@
@pool in a stream@|@khumb@
@poor ground@|@laghoren dighár@
@poppy@|@phost, post@
@poppy-heads@|@dodá@
@porcupine@|@sikun@
@possible@|@bíokh@
@post@|@tapál@
@pot@|@dez@
@potherb@|@ság@
@pouch@|@khísagh@
@power@|@majál@
@powerful@|@dhing, shán@
@practice@|@tajruba@
@prance@|@siragh@
@prayer@|@du'á, nekhen du'á@
@prayers@|@namásh@
@precipice@|@drang, gat, gat, gay, ghat, rug@
@prefer@|@shúház-khanagh@
@pregnant@|@áfsin, do-gín, do-gín, doghín, láphur, maighí@
@present@|@házir, pesh kanag@
@previous@|@säri@
@price@|@bhá@
@prickly-heat@|@phit@
@priming of a gun@|@lab@
@probably@|@aghsar@
@problem@|@tang@
@produce@|@paidáish, peda kanag@
@produced@|@peda@
@profit@|@fáida, nafá, sud@
@proflgate@|@luch@
@promise@|@daráhiyá, jáizo, labz@
@prophet@|@nabí@
@prostitute@|@kanjarí, randi@
@proverb@|@ákhán@
@province@|@suba@
@provisions@|@sursád@
@puberty@|@balúghat@
@puffed up@|@gwáth-shalwar@
@pulse@|@navz, rag@
@punishment@|@malámat, sazá, säza, sizza@
@pure@|@saf, sap@
@pursuit@|@khorí@
@putting off@|@tálábálá@
@quail@|@baterá@
@quantity@|@gal@
@quarrel@|@gárá, jhera@
@quarter@|@thora@
@quarter of the hour@|@rub@
@question@|@sawál, suwal@
@questioning@|@phol-phurs@
@questions and answers@|@soj o suwal@
@quick@|@zaghar, zíth@
@quickly@|@zíthen@
@quickness@|@ashtáfí@
@quicksand@|@gap@
@quicksilver@|@pára@
@quietly!@|@dáshtiyá@
@quilt@|@lihef@
@quiver@|@jábah@
@race@|@tachag@
@race-winner@|@go-bar@
@radio@|@redyo@
@rain@|@gwárish, haur@
@rain clouds@|@nodh@
@rainbow@|@drín@
@raising@|@Ubhár@
@ram@|@guránd@
@Ramadan@|@ramzan@
@ramrod@|@tufak-síh, tufak-síh@
@rare@|@gunás@
@rate of sale@|@ag@
@raven@|@koh-gurágh@
@razor@|@istaragh, rishen mishin@
@reach@|@rasag, rast@
@readiness@|@sambaráí@
@ready@|@tayyar@
@reap@|@runag, runt@
@reason@|@kahá@
@reciter@|@gushokh@
@reckoning@|@lekho@
@recruit@|@rangrut@
@red@|@suhr@
@red berries@|@gor-dil@
@referee@|@siti wala@
@refridgerator@|@salaja@
@refuge@|@báutí@
@refugee@|@báut@
@rejoicing@|@shádhí, shádhí@
@related by marriage@|@sangband@
@relation@|@syád@
@relations@|@rishtadar, siad@
@relationship@|@syáldárí@
@relative@|@syad, syal@
@remaining@|@bákí@
@rennet@|@phanerpuch@
@respectable man@|@du-mandíl@
@rest@|@Áram@
@retching@|@dil-shuthí@
@retreating@|@guttaní@
@revenge@|@bair@
@reverence@|@tázím@
@rice growing@|@sárí@
@rich@|@daur@
@ride@|@swar buag@
@rider@|@zawár@
@rifle@|@rayfal@
@rights@|@hak@
@ring@|@mundrí@
@ring worn on a woman's toe@|@phádhí@
@ripe@|@phakká@
@rise@|@phádh-ágh@
@rise up@|@sittag, sittit@
@rising@|@Ásán@
@River Indus@|@bahá@
@road@|@dag, ráh, ráh, sadak, sarak, sayak@
@roast meat@|@níy, sijjí@
@rock@|@talar@
@rod for applying collyrium@|@shefagh@
@roof@|@chat@
@root@|@pád@
@root of plant@|@rotag@
@rope@|@sádh@
@rope securing flock@|@tand@
@rotten@|@galatha@
@rough table@|@bándan@
@round@|@chaupher@
@rubber stamp@|@tappa@
@rubbish left by a flood@|@sewál, sewál@
@ruby@|@lál@
@rude@|@be-adab@
@ruler@|@rul@
@runaway@|@baghá@
@rupee@|@rupi@
@saddle@|@zen@
@saddle bags@|@hurjín@
@safety pin@|@tasini@
@sale@|@baháí@
@salt mountain@|@bohal@
@saltpetre@|@shoragh@
@salutation@|@salám@
@salutation on meeting@|@salám-alaik@
@salute@|@salam@
@sand@|@rekh@
@sand dune@|@rek@
@sand dunes@|@rekistan@
@sand grouse@|@sisu@
@sandals@|@chabha@
@sand-fly@|@phurí@
@sand-grouse@|@katakar@
@sangar@|@sangar@
@satisfied@|@ser, ser buag, seráf@
@Saturday@|@shambe@
@savage@|@búz@
@scabbard of a sword@|@jukht@
@scales@|@chillur@
@scar of a sword wound@|@zahm-hand@
@scar of a sword-wound@|@zahm-hand@
@scarlet@|@hishkí@
@scissors@|@mikráz@
@scorpion@|@zím@
@screw@|@pech@
@scum@|@jhag@
@scurf@|@baphá@
@sea@|@samundar@
@search@|@phol@
@season@|@mosim@
@seat@|@sit@
@seat belt@|@patta@
@secret@|@raz@
@section of a tribe@|@phallí@
@security@|@zámingírí@
@seed@|@bij@
@seek@|@pattag, pattit@
@selfish@|@matbalí@
@semen@|@shawat@
@sense@|@hosh@
@senseless@|@be-akul@
@senselessness@|@be-akulí@
@separate@|@aláhida, dír, khard@
@servant@|@ambráh, naukar@
@service@|@naukarí@
@sesamum@|@kunchíth@
@settlement@|@Ájám, anjám@
@seven@|@hapt, hept@
@seventeen@|@havdah@
@seventh@|@haptumí@
@severe@|@säkk@
@shade@|@sáh@
@shadow@|@sayig@
@shah@|@sha@
@shallow@|@talusht@
@shame@|@hayá, laj, mayár, sharm, sharminda@
@shameless@|@be-hayá@
@sharp@|@tez@
@shave the head@|@sá, sará sá@
@shaving@|@serab@
@sheep@|@mesh, rid, rid@
@sheep's wool@|@pashm@
@shell@|@sippí@
@shepherd@|@pahnwál@
@Shi'ah@|@shia@
@shield@|@dhál@
@shin@|@phádh-nalí@
@ship@|@jaház@
@ship's steering equipment@|@sukkan@
@shoe made of date palm@|@sawas@
@shoelaces@|@tasma@
@shoes@|@phádh-guzár@
@shop@|@hat@
@shopkeeper@|@set@
@short@|@gwand@
@short coat@|@kurtí@
@short fodder grass@|@gandíl@
@short grass@|@chábar@
@short time@|@sahat@
@shortness@|@gwandádh@
@shot@|@chirra@
@shoulder@|@khofagh@
@shoulder-blade@|@bardast@
@shout at@|@tawar kanag@
@shove@|@telán@
@show@|@mushádhá, nigháh, sawád@
@shrine@|@ziyárat@
@sick@|@tapi@
@sickle@|@dás@
@sieve@|@geshin@
@sight of a gun@|@shist@
@sign@|@shánd@
@signature@|@dast-khatt@
@silk@|@Ábresham, pat@
@silver@|@nughra, núrá@
@sinetta@|@gethishk@
@singer@|@shayr janok@
@Sir@|@sahib@
@sister@|@Addí, gohár@
@six@|@shash, shesh@
@sixteen@|@shanzda, shánzdah@
@sixth@|@shashumí@
@sixty@|@sai-gíst, shast@
@skeleton@|@dhúnd, hushken@
@skewbald@|@gayrá, gayrí@
@skilful@|@hoshyár, saháral@
@skill@|@hunar, kal@
@skin@|@post@
@skin of black colour@|@siah@
@skull@|@khopar@
@slander@|@tuhmat@
@slaughter@|@khushár@
@slave@|@nakhíf@
@sleep@|@wháv@
@sleeve@|@ástín@
@slender@|@talu@
@slin@|@kámbání@
@slip out@|@laghushagh, laghushtha@
@slope@|@shef@
@slope of a drainage basin@|@áf-shef@
@slowly@|@ámur, ástagh@
@small@|@patak, patko@
@small bird@|@gíánch, jhan@
@small fly@|@jozho@
@small pillow@|@sarja@
@small pond@|@lohígh@
@small thorny plant@|@saghdattá@
@small tree@|@shágh@
@small-pox@|@gurphugh@
@smell@|@bo, zawádh@
@smoke@|@dúhon@
@smoke a pipe@|@phor-khashagh@
@smuggler@|@shapok@
@smuggling@|@shapoki@
@snake@|@be-phádh, már, syáh-már@
@snare@|@korkí@
@sneak into@|@putrag, putrit@
@snuff@|@násh@
@soap@|@sabun@
@society@|@majális, suhbat@
@soft@|@narm@
@soft dust@|@pulk@
@soldier@|@sipahi@
@some@|@kharde@
@some one@|@kase@
@some one else@|@Thí-kase@
@somewhat@|@chí@
@somewhere@|@handiyá@
@somewhere else@|@Thí-hande@
@son@|@bachh, phusagh, zákht@
@song@|@garí, garí, guftár, shayr, surgo@
@son-in-law@|@zámáth@
@sorrow@|@gham@
@sorrowful@|@dil-gír, ghamnák@
@soul@|@rúh, sah@
@sound@|@gríh, gwánkh@
@soup@|@áfshik, sup@
@sour@|@trush@
@south@|@lammá@
@space@|@vitthí@
@spade@|@shewal@
@span@|@girárth@
@span with the thumb@|@gokho@
@spear@|@bal, nezagh, sángí@
@species of salsola@|@khál@
@speech@|@bolí, gál@
@spices@|@haledh@
@spider@|@mokho@
@spider's web@|@mokho-logh@
@spill@|@rechag, retk@
@spindle@|@dikh@
@spinning@|@kath@
@spit@|@síh, síh@
@spoil-bags@|@ganda-gwálagh@
@spoon@|@doí@
@sport@|@lev@
@spot@|@aiv@
@spotted@|@morband@
@spring@|@buzí, drik@
@spring of water@|@mund@
@spring water@|@rudaga ap@
@spur@|@momrez@
@spy@|@jásús@
@squash@|@sharbat@
@squinting@|@Chot chham@
@squirrel@|@gelar, hirdik@
@stable@|@khuy, tambelá@
@stale@|@parútá@
@stallion@|@sán@
@stamp@|@tappag, tappit@
@standard@|@nishán@
@star@|@astár@
@star on the forehead of horse@|@moth@
@stealthily@|@tappokay@
@steel@|@phulát@
@stepdaughter@|@nafuskh@
@stepmother@|@mátún@
@step-son@|@phizádagh@
@sting@|@dang@
@stink@|@Gand-bo@
@stirrup@|@rikb@
@stitch in the side@|@sumbagh@
@stomach@|@láf, ojrí, saghindán@
@stone@|@sang, sing, wattá@
@stony ground at foot of hills@|@shánkh@
@storey@|@tabak@
@story@|@kissa@
@straight@|@sidhá@
@straight on@|@sida@
@stranger@|@ghuriáí@
@stream of water@|@perennial@
@street@|@vehí@
@strength@|@sakmardí, takat, was@
@string of camels@|@katár@
@strings of musical instrument@|@tár@
@strong@|@jor, tayt@
@student@|@shagird, talib@
@stumble@|@kirishk, kirishkagh@
@stunted@|@phutak@
@subdued@|@helák@
@substitute@|@iwazí@
@such a one@|@fulána@
@sugar@|@phulkand@
@sugary compressed date sweetmeat@|@shiragi na@
@suit@|@man-agh@
@suitcase@|@sutboks@
@sulphur@|@gandraf, gokurd@
@sultan@|@sultan@
@sun@|@roch@
@sunbeam@|@roche brinsh@
@Sunni@|@sunni@
@sunrise@|@Rosh-ásán@
@supper@|@sham@
@surety@|@zámin@
@surface of a stratum of rock@|@ban@
@sweat@|@ark, hedh@
@sweeper@|@kházg-barokh@
@sweeping@|@bohárí@
@sweet@|@shirk, wash@
@sweet melon@|@tejag@
@sweet scent@|@názbo@
@sweetmeats@|@shakar, washí@
@swift@|@thegh, tikká@
@swine@|@híkh@
@swinging cradle@|@gwánzagh@
@switch on@|@rok kanag@
@sword@|@khanáwa, zahm@
@swordbelt@|@zahm-band@
@swordsman@|@zahm-janokh@
@syce@|@galphán@
@table@|@tebal@
@tail@|@dumb@
@talisman@|@talismán@
@talk big@|@gwáthen hálwar khanagh@
@tamarisk@|@gaz@
@tamarisk sugar@|@shakhal@
@tank@|@haud@
@tank petrol@|@tánkí@
@taste@|@tam@
@tax levied by Baloch chiefs@|@dan@
@tear@|@anzí@
@tear up the ground@|@radhagh, rastha@
@temper@|@tabiyat@
@temperate@|@phárez@
@ten@|@dah, deh@
@tender@|@názuk@
@tent@|@tanbu@
@tenth@|@dahmí@
@testicles@|@gund@
@testing@|@chagá@
@Thank you@|@Shukria@
@thanks@|@shukr@
@that@|@an, hawán@
@that man@|@ánmar@
@that side@|@ándemá@
@that very one@|@ságí, vágí@
@thaw@|@áf-bíagh, phagaragh@
@the air-plant@|@hom@
@the ajwain seed@|@Izbokht@
@the ák-bush@|@kharag@
@the alarm@|@wáhú@
@the ankle@|@bhedí@
@the bábul bush@|@chighird@
@the back@|@phusht@
@the barrel of a gun@|@nalí@
@the ber-tree@|@kunar@
@the black bear@|@mam@
@the body@|@butu@
@the búí plant@|@nambo@
@the bulbul@|@títúná@
@the buttocks@|@bundar@
@the camel-thorn@|@shinz@
@the cap of a gun@|@phullí@
@the caper bush@|@karvelí@
@the chakor@|@kavg, sesí@
@the chest@|@dobar@
@the colocynth gourd@|@guch@
@the date palm@|@khají@
@the day after tomorrow@|@poshi, punshi@
@the day before yesterday@|@parari, pareri, payreri, payri, peri, phairí@
@the devil@|@shetan@
@the Dog@|@Bíng@
@the dwarf palm@|@phísh@
@the evening meal@|@shám@
@the eye@|@chham@
@the eye-brow@|@barwán@
@the fingers@|@murdánagh@
@the forearm@|@daulá, nalí@
@the gall-bladder@|@zahrak@
@the Gúgal tree@|@boz@
@the gullet@|@pogokh@
@the hare@|@khargoshk@
@the hot weather@|@ahár@
@the jál tree@|@phír@
@the Juniper tree@|@Apúrs, árus, ávran@
@the khip bush@|@hídhishk@
@the kidney@|@guttigh@
@the knee@|@khond@
@the language of the Jats@|@jaghdalí@
@the lee-side@|@er-gwáth@
@the male@|@pháshan@
@the male urial@|@guránd@
@the middle finger@|@gadí@
@the month of A'soj@|@káosh@
@the month of Chait@|@baharkhá@
@the moon@|@máh, máhkán@
@the morning star@|@sar-návagh@
@the navel@|@náfagh@
@the North Pole@|@kutb@
@the oleander@|@jaur@
@the palate@|@tálo@
@the pan of a matchlock@|@goshá@
@the phaláhí-tree@|@kaur@
@the Pleiades@|@much-panwar, panwar@
@the polestar@|@kutb-astár@
@the rains@|@bashám@
@the river has risen in flood@|@daryá dar-khaptha@
@the sand-piper@|@títíhar@
@the seclusion of women@|@sitr@
@the sense of began@|@rapta, rapta, ravagh, ravagh@
@the shin@|@phádh-nalí@
@the shoulder muscles@|@khofaghá@
@the shoulder-blade@|@hinjrí@
@The slow-match of a matchlock@|@falíta, palíthagh@
@the small intestines@|@bílan@
@the spleen@|@isphulk@
@the temples@|@laundrí@
@the third day of mourning@|@ásrokh@
@the throat@|@guth@
@the toes@|@phádh-murdánagh@
@the two stars@|@bitár@
@the universe@|@ulkah@
@the vulture@|@khargaz@
@the whole@|@drust, kull, thewaghen@
@the wild olive@|@hath@
@the wild onion@|@whasar@
@the wind is blowing@|@gwáth-khashaghen@
@the world@|@jihán@
@the year before@|@phairárí@
@theft@|@duzí@
@themselves@|@aptiya@
@then@|@agh, hadhen@
@thence@|@'shán-go@
@there@|@hamodhá, odhá@
@thick@|@dálá, istur@
@thief@|@duz@
@thigh@|@rán, rán, zán@
@thin@|@hírth@
@third@|@saimí@
@thirst@|@thun@
@thirsty@|@thuní@
@thirteen@|@senzdah, sezda@
@thirty@|@si@
@this@|@esh, hawen, ín@
@this man@|@imar@
@this morning@|@sohbi@
@this one@|@hawesh@
@this side@|@indemá@
@this very one@|@hamesh@
@thistle@|@kánderí@
@thither@|@hawángo@
@thorn@|@kuntagh, kuttigh@
@thorny bushes@|@kuttanokh@
@thoroughly@|@sharia sara@
@thought@|@dihán@
@thoughtless@|@be-dihán@
@thread@|@bandíkh, sad@
@three@|@sai, se, seh@
@three days ago@|@peshperi@
@threefold@|@yake-sai@
@threescore@|@sai-gíst@
@threshold@|@cháút@
@thrice@|@sai-bará@
@through@|@taha...danna@
@thumb@|@deb@
@thunder@|@garand@
@Thursday@|@khamís@
@thus@|@hachho, hanchho@
@tiger@|@mazár, sher@
@tiger's leap@|@mazár-trap@
@tiger's-tail@|@mazár-dumb@
@tight@|@tank@
@till now@|@daníkar@
@till then@|@danánkará@
@time@|@mudd, velá@
@tin@|@kaláí@
@tinder@|@phurz@
@to accompany@|@gon-deagh@
@to adopt@|@kutákhanagh@
@to apply@|@mán-deagh@
@to arise@|@phádh-ágh@
@to arrive@|@rasagh, rasitha@
@to ascend@|@chayagh@
@to ask@|@phol-khanagh, pursag, pursit@
@to ask a question@|@suwal kanag@
@to assemble@|@much-bíagh, much-khanagh@
@to attack@|@jalo-khanagh, kaptagh, khaptagh, mán-rashagh@
@to attend@|@managh, manitha@
@to bark@|@lákagh@
@to bathe@|@ján-shodhagh@
@to be able@|@khanagh, khutha@
@to be angry@|@zahr-giragh@
@to be ashamed@|@pashewan buag, sharminda buag@
@to be backward@|@pash kapag@
@to be beaten@|@radhagh, radhagh@
@to be born@|@peda buag@
@to be bribed@|@rishwat girag@
@to be broadcast@|@talan buag@
@to be cheated@|@rad kapag@
@to be circumcised@|@sunnat buag@
@to be cold@|@sard buag@
@to be cold oneself@|@sardi kanag@
@to be coming now@|@peda ayag@
@to be considerate@|@rahm buag@
@to be crooked@|@dolo@
@to be crushed@|@bhuragh, bhuritha@
@to be filled@|@pur buag@
@to be killed@|@bágh, báitha@
@to be lit@|@rok buag@
@to be lost@|@gár-bíagh@
