@English@|@Gbari@
@feather@|@bmina  (n.), gbmena  (n.)@
@feces@|@emi (n.)@
@feel@|@wo  (v.), woshya  (v.)@
@feel sorry@|@snye  (v.)@
@fell@|@mi  (v.)@
@fem. children born to one's mother@|@maagoi  (n.)@
@female@|@nyigo  (n.)@
@female (of animals)@|@nyigoyi  (n.)@
@fence@|@kna  (v.)@
@fenced-off area@|@bakpnakpna (n.)@
@fetch@|@to  (v.)@
@fiancé@|@nunwuri  (n.)@
@fiancée@|@nyigosunsun  (n.)@
@fibre knotted and used to make masquerade costume@|@eca   (n.)@
@fifth@|@tnuri  (num.)@
@fight@|@egu  (n.), sun egu  (v.p.)@
@filled to capacity@|@berebere (a.)@
@filter for beer made of woven grass@|@tisa  (n.)@
@filthy place@|@dodo  (n.)@
@fined: be ~@|@bwi  (v.)@
@finger@|@bwani  (n.)@
@fingerlings@|@shyampa (n.)@
@fingernail@|@bmunu  (n.), bnenu     (n.)@
@finish@|@zo   (v.)@
@finish up@|@fuya  (n.)@
@fire@|@ena  (n.)@
@fire (gun)@|@dna  (v.)@
@fire (pots)@|@nu  (n.)@
@fire a gun@|@ce gidinga  (v.p.)@
@fire burns@|@ëyi ena  (v.p.)@
@fire-fetcher@|@nateyen. (n.)@
@firefly@|@kudu  (n.)@
@fire-place@|@natse  (n.)@
@firewood@|@cimwa  (n.)@
@firewood etc.@|@knuri (n.)@
@firewood store@|@cimwa-ceta  (n.)@
@first@|@bebe (adv.)@
@first cousins (female)@|@mangoi  (n.)@
@first cousins (male)@|@mari  (n.)@
@fish  (scaleless fish)@|@nyalogo  (n.)@
@fish (generic)@|@shewo  (n.)@
@fish (Synodontis nigrita)@|@gbengulu  (n.)@
@fish (tilapia species)@|@nugwapun  (n.)@
@fish sp. (elephant-snout fish Mormyrus spp)@|@ebwa  (n.)@
@fish sp. (Labeo senegalensis)@|@shengeri  (n.)@
@fish sp. Bichir fish (Heterotis niloticus)@|@ego  (n.)@
@fish species@|@gade  (n.), gniyagunya  (n.), ketinkpi  (n.)@
@fish species (citharinus spp)@|@ebma  (n.)@
@fish type (Gymnarchus niloticus)@|@awari  (n.)@
@fish. (Tilapia species)@|@edzwan  (n.)@
@fish: large ~@|@eshya  (n.)@
@fish: large river ~@|@esha  (n.)@
@fishing by draining a stream or river@|@egan  (n.)@
@fishing net@|@foma  (n.)@
@fishing-hook@|@golo  (n.)@
@fishing-net@|@kari  (n.)@
@fish-trap@|@eji  (n.), kpaga  (n.)@
@fist@|@eko  (n.)@
@fit (clothes)@|@dna..gna   (v.)@
@five@|@gnuaatnu  (num), nkpno  (num.)@
@fix in place a circular ring while thatching@|@pma  (v.)@
@flame@|@ena manta  (n.p.)@
@flank@|@bmari  (n.)@
@flare up in anger@|@kagu  (v.)@
@flash (lightening)@|@bmya  (v.)@
@flat basketry tray@|@kapwe tasa   (n.)@
@flat fish@|@bansa (n.)@
@flat tray for drying locust-bean cakes@|@bakana (n.)@
@flattened half-gourd for men to drink beer@|@pata  (n.)@
@flicker@|@fnu  (v.)@
@flooded area suitable for growing rice@|@dnapa  (n.)@
@floor-beater@|@lube  (n.)@
@flour of any type@|@lugu  (n.)@
@flute@|@gbantsa  (n.)@
@fly@|@bwubwii  (n.), fnu  (v.)@
@flying@|@ta..efun  (n.p.)@
@flying-ant@|@enyi  (n.)@
@fold@|@kpmi  (v.)@
@follow@|@datu  (v.), nya  (v.), vi  (v.)@
@follow (a direction)@|@da   (v.)@
@fonio@|@fulu  (n.)@
@food@|@nyaëyiëyi  (n.)@
@food (general)@|@nyaëi  (n.)@
@foot@|@kakpa  (n.)@
@footwear@|@bwada  (n.)@
@for no reason@|@gbagada  (adv.)@
@forbidden action@|@lakni  (n.)@
@forceful anti-peristalsis@|@yisayisa  (n.)@
@forcefully@|@kalakala  (adv.)@
@forehead@|@nigun  (n.), nyiwun  (n.)@
@forest@|@kuti  (n.)@
@forge@|@tswa  (v.)@
@forget@|@zamwi   (v.)@
@forty@|@wogema  (num.), wogma  (num.)@
@forty one@|@wogma tu ebi gbmari  (num.)@
@forty two@|@wogma kpe ebi mba  (num.)@
@forward@|@wyebwa  (adv.)@
@foul gutter@|@doncigbya  (n.)@
@four@|@nnyi  (num.), nnyi  (num.)@
@four hundred@|@kpago aba  (num.)@
@fourth@|@nyiri  (num.)@
@free of charge@|@tantaki  (adv.)@
@frequent@|@gbwi  (v.)@
@frequently@|@gidigidi  (adv.), gidigidi (adv.)@
@fresh leaves or plants@|@futuri   (n.)@
@fresh porridge@|@jenagun  (n.)@
@friendless: be ~@|@gbwi  (v.)@
@friendship between man and unmarried girl@|@zhyange  (n.)@
@frighten@|@dna..dna  (v.)@
@frog (smooth-skinned@|@talugo (n.)@
@frog species (red and inedible)@|@bmajakun (n.)@
@frog. (type of frog that is caught and eaten)@|@dzungba  (n.)@
@frog. edible@|@suke  (n.)@
@fruit sp.@|@bwori  (n.)@
@fruit: type of ~@|@tsula funte  (n.)@
@fruit-bat@|@zunya (n.)@
@fry in oil@|@kna  (v.)@
@full: be ~@|@nu+ or nù  (v.)@
@Fulºe language@|@Bulolo  (p.n.), Gowyi  (p.n.)@
@Fulºe people@|@Bulolo  (p.n.), Gowyi  (p.n.)@
@funny thing@|@datsna  (n.)@
@fuse to one another@|@fedo  (v.), fefe  (v.)@
@fuse together@|@fnado   (v.)@
@future marker used when the subj. absent@|@ºa part.@
@Gade language@|@Gade  (n.)@
@Gade person@|@Gade  (n.)@
@galago@|@taknukpa  (n.)@
@Gamba grass (Andropogon gayanus)@|@bmesango (n.)@
@gap due to loss of teeth@|@nyibo  (n.)@
@gap-toothed person@|@nyibori  (n.)@
@garden@|@kápwì  (n.)@
@garden-egg (Solanum spp.)@|@ekun  (n.)@
@garden-egg. Small@|@ekun enapiri n.@
@garden-egg. Spherical@|@ekun pompori (n.)@
@gari@|@gari  (n.)@
@garment with long sleeves@|@ede bwadodo  (n.)@
@gather@|@ku  (v.), wnu  (v.), yekna  (v.)@
@gather dew when walking in the bush@|@kumtini  (n.)@
@Gbagyi or Gwarin-Ngenge people and language@|@Mate  (n.)@
@Gbari language@|@Gbari  (n.)@
@Gbari people@|@Gbari  (n.)@
@Gbari person@|@gbariza   (n.)@
@Gbari sect@|@Bwokpna    (n.)@
@Gbari section living along river Sumwa@|@Sumwakpna  (n.)@
@Gbmunu drum@|@cido  (n.)@
@gecko@|@kwankware  (n.)@
@general term for wide@|@bansa (n.)@
@generally food or water@|@nagwi  (n.)@
@generation of household@|@eºe  (n.)@
@genet@|@piri   (n.), pyiri  (n.)@
@genuine@|@dyegwe  (a.)@
@gerbil@|@gadá  (n.)@
@get@|@bwa  (v.), ºwa   (v.)@
@get (somebody)@|@zhige  (v.)@
@get an impulse@|@gnu  (v.)@
@get in@|@ëo  (v.)@
@get stuck@|@kakeku  (v.)@
@get up@|@laga  (v.)@
@get up (from sleep)@|@laga..ere  (v.p.)@
@giant rat@|@eku  (n.)@
@ginger@|@citankasa  (n.)@
@girl@|@byingoyi  (n.), nyigoza  (n.)@
@give@|@gi  (v.)@
@give birth@|@ma  (v.)@
@give s.o. a slap@|@dna epmi  (v.p.)@
@glance@|@cewye  (v.)@
@go@|@lo  (v.)@
@go ahead with@|@kewye  (v.)@
@go gently@|@fya  (v.)@
@go out in the bush looking for animals@|@fada  (v.)@
@go round@|@gwoma  (v.)@
@go round s.t.@|@cegnu  (v.)@
@go to a place with smth.@|@lo..ge (v.)@
@go up@|@gnu   (v.)@
@goat@|@ena  (n.)@
@goat-pen@|@na'go  (n.)@
@goat-skin@|@enapa  (n.)@
@God@|@Tswashe  (n.), Tswashengo  (n.)@
@good@|@dyegwe  (a.), maari  (a.)@
@good (reduplicated form-used with pl.s)@|@maarimaari  (a.)@
@Good evening!@|@abwawyi  (excl.)@
@Good morning!@|@arife  (excl.), habi  (excl.)@
@good: be ~@|@bmya  (v.), bya (v.)@
@good: look ~@|@bmya  (v.)@
@gorge of a river@|@gyegye  (n.)@
@gourd@|@ela  (n.)@
@gourd for carrying loads@|@gabwa  (n.)@
@gourd ladle used for serving@|@kuku pasa  (n.p.)@
@gourd used in preparation of sorghum beer@|@bonuko (n.)@
@government official@|@zawun  (n.)@
@granary -any type@|@dobwi  (n.)@
@grandmother@|@kaka (n.)@
@grass@|@gbmango  (n)@
@grass sp@|@gazama  (n.)@
@grass sp. used for thatching@|@bmagna  (n.)@
@grass species@|@bmisna  (n.), ete (n.), satikalaba  (n.)@
@grass species (Pennisetum pedicellatum)@|@bori (n.)@
@grass species (tall grass)@|@pmunu  (n.)@
@grass species used for thatching@|@esna  (n.)@
@grass species. 'squirrel's tail'@|@gb«dnu tsantsi  (n.)@
@grasshopper (=lumberi)@|@namberi  (n.)@
@Grasshopper (poisonous@|@mungala  (n.)@
@grasshopper: small ~@|@bezamba  (n.)@
@grave@|@dzungo  (n.)@
@gravel@|@jata  (n.)@
@grease@|@emi  (n.)@
@green pepper@|@jagba kungbwe  (n.)@
@green plant with triangular leaf-irritates skin@|@namanama  (n.)@
@green variety)@|@mungala  (n.)@
@greet@|@fi...ejni  (v.p.)@
@greeting@|@ejni (n.)@
@grill@|@bmi  (v.)@
@grind (cereals)@|@gwo  (v.)@
@grind into a paste (pepper@|@ko  (v.)@
@grinding of guinea-corn to make local beer@|@dekwo  (n.)@
@grinding-mill@|@inji  (n.)@
@gritty pieces of guinea-corn chaff@|@wyicere  (n.)@
@grope@|@fibaba  (v.)@
@ground@|@ekni  (n.), knini  (n.)@
@ground squirrel@|@gb«dnu  (n.)@
@ground: slippery ~@|@batata  (n.)@
@groundnuts@|@gbwegbwe  (n.)@
@group (of people)@|@epu   (n.)@
@grow@|@mwa  (v.)@
@grow healthy@|@dna'sun  (v.p.)@
@grow seeds@|@fibere  (v.)@
@grub@|@edzun (n.)@
@guest@|@geri  (n.)@
@guinea-corn@|@ewyi  (n.), ewyi eyi atsantsi  (n.)@
@guinea-corn (white-seeded var. for eating)@|@ewyi buyibuyi  (n.)@
@guinea-corn heads after seeds are removed@|@wyisni (n.)@
@guinea-corn in the head)@|@kpá  (v.)@
@guinea-corn type@|@pyatnaca  (n.)@
@guinea-corn. Red-seeded variety for eating@|@ewyi kyana  (n.)@
@guinea-fowl (Numidia meleagris)@|@ezu  (n.)@
@guinea-pig@|@zezetsu  (n.)@
@guinea-yam@|@etsi  (n.), nnda  (n.)@
@guinea-yam type@|@akuki (n.), atalibe  (n.), dagba  (n.), gbaguzu  (n.), gwaagwa  (n.), jiga  (n.), pepa  (n.), zabwada   (n.), zagi  (n.)@
@guinea-yam type (yam preferred for eating)@|@suba  (n.)@
@guinea-yam type-early maturing@|@yangbade (n.)@
@gun@|@gidinga (n.)@
@Gwandara language@|@Gbmandara  (p.n.)@
@Gwandara people@|@Gbmandara  (p.n.)@
@habit@|@eri  (n.)@
@hack away at@|@ka  (v.)@
@hair@|@eyi  (n.)@
@hair on head@|@tugoyi  (n.)@
@half@|@a gna do gnu aba@
@hallo!@|@nkwa  (excl.)@
@Hallo!@|@oku  (excl.)@
@hammer (especially used to sharpen hoe-blades)@|@kwankwa   (n.)@
@hammer at@|@ka  (v.), ke..ya  (v.)@
@hammered@|@keyari  (a.)@
@hand@|@ebwa  (n.)@
@hand over@|@kegi  (v.)@
@handicapped person@|@gnuri  (n.)@
@handle of tool@|@epwi  (n.)@
@handwoven cloth used for bedsheet or wrapper@|@godo  (n.)@
@hang on top of a tree@|@kpere (v.)@
@happiness@|@bmada  (n.), gbada  (n.)@
@hard (surface)@|@kaka(la)ka  (adv.)@
@hard-working person@|@becintsu (n.)@
@hare@|@eze  (n.)@
@Harmattan period@|@gbmasisa  (n.)@
@harvest@|@la  (v.)@
@hat of vegetable fibre@|@kata  (n.)@
@hatch (egg)@|@ma  (v.)@
@hate@|@shi  (v.)@
@hatred@|@shishi (n.)@
@Hausa language@|@Ece  (n.)@
@Hausa person@|@Ece  (n.)@
@hawk@|@wyitango (n.)@
@he@|@wo  (pron.)@
@head@|@tugo  (n.)@
@head of extended family group@|@pigo  (n.), pitsugo  (n.)@
@head: back of the ~@|@kpago  (n.)@
@head-pad@|@nuka  (n.)@
@headtie@|@nyatugopa  (n.), yaatugopa  (n.)@
@health@|@byine(yi)  (n.)@
@heap up (yam-heaps)@|@kpna..ego  (v.)@
@hear@|@wó  (v.)@
@heart@|@edu  (n.)@
@hearth@|@natse  (n.)@
@heat@|@guna  (n.)@
@heat on the body@|@banagun  (n.)@
@hedgehog@|@cife  (n.)@
@heel of foot@|@pítà bokpa  (n.)@
@he-goat@|@butsu  (n.)@
@help@|@bmasun  (v.), bmasun (n.)@
@hemispherical gourd used by women to drink beer@|@koto  (n.)@
@hemispherical gourd used to serve food@|@kala  (n.)@
@hen@|@pyise  (n.)@
@henhouse@|@pyisego (n.)@
@henna@|@laari  (n.)@
@hepatitis@|@kala  (n.)@
@herbalist@|@ºeri  (n.)@
@here@|@enyi  (adv.)@
@hernia@|@kpakpalugudu  (n.)@
@herself@|@wodye  (pron.)@
@hiccoughingly@|@sebyisebyi  (adv.)@
@hidden or undisclosed thing@|@finilo  (n.)@
@hide@|@epa  (n.), ºwi  (v.)@
@hill@|@knùknù  (n.)@
@himself@|@wodye  (pron.)@
@hippopotamus@|@dagba nuwa ni  (n.), kaku  (n.)@
@hips@|@enyi  (n.), eshni  (n.)@
@hit@|@ke  (v.), la  (v.), laba  (v.)@
@hit s.o. with the fist@|@dna eko  (v.p.)@
@hit with an arrow@|@kete  (v.)@
@hoe@|@zugo  (n.)@
@hoe (large hoe for building yam-heaps)@|@zugo guri  (n.)@
@hoe (oval@|@shere  (n.)@
@hoe (oval-bladed)@|@zugo yagwe   (n.)@
@hoe (small hoe for weeding)@|@zugo kunti  (n.)@
@hoe for making mounds@|@guri  (n.)@
@hole in a tree@|@ebmi  (n.)@
@hole in the ground@|@ebwo (n.)@
@hole in the river where fish congregate@|@edu  (n.)@
@hole made by mudfish or crab in the river-mud@|@edu  (n.)@
@honey@|@esu  (n.)@
@hooked wooden stick used to beat drums@|@kongo ashyari  (n.)@
@horn (for signals): antelope ~@|@mwari (n.)@
@hornbill@|@tswangbe  (n.)@
@horse@|@dogo  (n.)@
@horse-bean (used as a musical instrument by girls)@|@zabangi  (n.)@
@hot pepper@|@jagba kpabnena  (n.)@
@hot season@|@banagun'sa (n.)@
@hot temper@|@shigu  (n.)@
@hourglass-drum with two heads@|@karengu  (n.)@
@house@|@bwari  (n.), epi   (n.)@
@house-bat@|@fufu (n.)@
@house-fly@|@bujugo  (n.)@
@house-mouse@|@bwoko (n.)@
@house-rat@|@boku (n.), etsu  (n.)@
@house-swallow@|@mantare  (n.)@
@how many?@|@guna  (int)@
@How?How much? [money]@|@wona  (int.)@
@however@|@co  (part.)@
@human being@|@gbariza   (n.), znagoti  (n.)@
@hunchback@|@butsugo  (n.)@
@hundred@|@wogmaaba kpe ebi woshi (num.)@
@hundred and sixty@|@wogmaani  (num.)@
@hundred and twenty@|@wogmaaca  (num.)@
@hunger@|@miwun     (n.)@
@hunt@|@gbè  (v.)@
@hunter@|@fazei  (n.), nagberi  (n.)@
@hunting@|@faza  (n.)@
@hurry up@|@la ewye dna  (v.p)@
@Hurry up!@|@dnawe  (excl.)@
@hurt@|@sna  (v.)@
@husband@|@ènú  (n.), eºa  (n.)@
@hyena@|@gbara  (n.), gbusu  (n.)@
@I/me@|@myi  (pron.)@
@if@|@ndye  (part.)@
@Igbo language@|@Yigbe (p.n.)@
@Igbo person@|@Yigbe (p.n.)@
@imaginary@|@gbangbe  (a.)@
@imagine@|@mwi(..bo)  (v.)@
@immature bean@|@egba  (n.)@
@imp. ceremony and sacrifice@|@Gbmunu   (p.n.)@
@impotent man: an ~@|@kpakpatali  (n.)@
@in a dangling manner@|@ladalada (adv.)@
@in a hurry@|@wyeniwyeni  (adv.)@
@in front@|@wyebwa  (adv.)@
@in order that@|@dye  (conj. part.), ke  (conj.)@
@inactive: become ~@|@na  (v.)@
@include@|@ladna  (v.)@
@increase in volume@|@ºe     (v.)@
@incubate (eggs)@|@ºwi  (v.)@
@infect s.o. with a cough@|@keci  (v.)@
@inflict upon@|@kela  (v.)@
@inheritance@|@egu  (n.)@
@initial verb prefixing an order or instruction@|@la  (v.)@
@inject@|@tsun  (v.)@
@injection (for sickness)@|@eki  (n.)@
@injection: get an ~@|@tsuki  (v.)@
@insect@|@nyavwevwe (n.)@
@insert@|@ladna  (v.)@
@inside@|@mimi  (adv.)@
@inside (singular subject): be ~@|@dna  (v.)@
@inside (with pl. subject): be ~@|@fi  (v.)@
@insipid@|@ladae  (a.), ladaeladae  (a.)@
@instrument used by blacksmiths to burn charcoal@|@nashna   (n.)@
@instrument: musical ~@|@bonuko  (n.)@
@intellect@|@kpe egbo'ye  (n.p.)@
@intelligence@|@keke  (n.)@
@intestine@|@meyá  (n.), myeya  (n.)@
@intimidate@|@dna..dna  (v.)@
@iron@|@nyasha  (n.)@
@iron animal spring-trap et. mouth + two@|@gbmaba  (n.)@
@irritating behaviour@|@màrí  (n.)@
@it@|@wo  (pron.)@
@itself@|@wodye  (pron.)@
@jaundice@|@kala  (n.)@
@jaw@|@kiki  (n.)@
@join@|@fnado   (v.)@
@joke (cf. ma..ebe)@|@ebe  (n.)@
@joking@|@bmagnu(ti)  (n.)@
@joy@|@gbada  (n.)@
@junior brother@|@dokari   (n.)@
@Kersting's groundnut@|@shikwuya-knu  (n.)@
@kick@|@eta   (n.), keta  (v.), ta  (v.)@
@kidneys@|@ekwo  (n.)@
@kill@|@wu  (v.)@
@kind: be ~@|@dami  (v.)@
@kindness to another person@|@wozasunsun  (v.)@
@kitchen@|@myesan  (n.)@
@knee@|@kuku  (n.)@
@knife@|@ebe  (n.)@
@knocked in@|@kekee  (a.)@
@know@|@kpe  (v.)@
@knowing@|@kpeye  (n.)@
@ladder@|@shabo  (n.)@
@land freshly cleared for agricultural purposes@|@edzu  (n.)@
@land-clearing prior to cultivation@|@fajnu   (n.)@
@large@|@benu (n.), elo  (n.), jagba kungbwe  (n.)@
@large basket used to carry maize and cowpeas@|@kapwe tama  (n.)@
@large bird that eats the maize@|@cengbe  (n.)@
@large biting fly@|@dogo nadyi  (n.)@
@large hemispherical gourd for ground cereals@|@yigobwe  (n.)@
@large hoe used for breaking yam-hills@|@dugba  (n.)@
@large number of things@|@bere (adj., n.)@
@larva@|@edzun (n.)@
@larva (larva of insect that irritates skin)@|@namanama  (n.)@
@larvae of an insect found in dry wood@|@edzunkpokpo (n.)@
@lash@|@bnutsni   (n.)@
@last day of smth.@|@febwagun  (n.)@
@last year@|@eyetso (adv.)@
@late@|@sagaga  (adv.)@
@laugh@|@matsna  (v.)@
@laughter@|@etsna  (n.)@
@lay (eggs)@|@ca  (v.)@
@lazy person@|@bwankonu  (n.), bwatoi  (n.)@
@leader in group farming@|@fagabe  (n.)@
@leader of the women in a village@|@Maja (p.n.)@
@leaf charm@|@funte  (n.)@
@leaf for washing calabash@|@gbésnáarì  (n.)@
@leak@|@ëu ya (v.)@
@leaking container@|@tambwi  (n.)@
@leave alone@|@fa  (v.)@
@leave be@|@falo  (v.)@
@leave it to God!@|@gi eshe  (excl.)@
@leave off@|@la..ya  (v.), ya  (n.)@
@leave out@|@ke..ya  (v.)@
@leave remaining@|@ketu  (v.)@
@leaves: young ~@|@bwalasa  (n.)@
@left hand@|@bwampmi  (n.)@
@left-handed person@|@bwampmi  (n.)@
@leg@|@pítà  (n.)@
@lend@|@ºa  (v.)@
@lend (where the exact amount will be returned)@|@mwi  (v.)@
@leopard@|@damusa  (n.), ºala  (n.)@
@leopard?@|@dnukpyi   (n.)@
@leper@|@teguri  (n.)@
@lessen@|@kebma   (v.)@
@let go@|@la..ya  (v.), ya  (n.)@
@liar@|@furi  (v.)@
@lick@|@nyi  (v.)@
@lie@|@efu  (n.)@
@lie down@|@yaci(re)  (v.)@
@life@|@esnu  (n.)@
@lift from the ground@|@la  (v.)@
@light@|@ena  (n.)@
@lightening@|@shegogba   (n.)@
@light-headed@|@vugavuga  (a.)@
@light-headed cf. vugavuga@|@kasakase (n.)@
@lighting fire@|@nasna  (n.)@
@like@|@ºeye  (v.), ye  (v.)@
@limp: go ~@|@na  (v.)@
@limping person@|@gbakeke  (n.)@
@lion@|@gaba  (n.)@
@listen@|@la tnubwa dna  (v.p.)@
@live long@|@dnati  (v.)@
@liver@|@eye  (n.)@
@lizard@|@lase  (n.)@
@lizard: agama ~@|@yekun  (n.)@
@load@|@nyambi  (n.)@
@load a net@|@dna'sa  (v.p.)@
@loc. marker indicating place (end of the sent.)@|@lo part.@
@locally made bicarbonate of ashes to make soap@|@snago  (n.)@
@lock@|@gú  (v.)@
@locust (plague type)@|@lumberi  (n.)@
@locust bean seed@|@knando  (n.)@
@locust swarm@|@ebe  (n.)@
@locust-bean tree (Parkia biglobosa)@|@ëori  (n.)@
@log@|@knunu  (n.)@
@loin-cloth@|@epa nyidne  (n.)@
@long@|@dungu(lu)   (n.)@
@loofah@|@bantu ºeºe  (n.)@
@loofah-used for bathing@|@nuwa fuya  (n.)@
@look@|@ciwye  (n.), dna'wye  (v.p.)@
@look for@|@cin  (v.), dna'wye  (v.p.)@
@looking at smth. too attentively@|@cibana (n.)@
@loosen@|@gito  (v.), kefa  (v.), twa  (v.)@
@lose@|@bwi  (v.), ya (n.)@
@louse@|@edzunkpokpo (n.), konkota (n.)@
@love@|@ºeye  (v.)@
@love one another@|@yedobo (v.)@
@low@|@dada  (n.)@
@lump in porridge@|@knana  (n.)@
@lump on skin@|@knúknú  (n.)@
@lungs@|@fufu  (n.)@
@lute (2-stringed lute with a gourd body)@|@duku  (n.), molu  (n.)@
@lying@|@fuëi  (n.)@
@lymph nodes on the pubic area@|@koto  (n.)@
@made from reeds@|@gunma (n.)@
@maggot@|@edzun (n.)@
@mahogany tree@|@guri  (n.)@
@main road@|@lukpe  (n.)@
@maize@|@kamba  (n.)@
@maize or guinea-corn@|@koko  (n.)@
@make@|@dyin  (v.), sun  (v.)@
@make a hole@|@fna  (v.)@
@make a noise with pmunu squeaker@|@pminya (v.)@
@make a signature@|@dnabwa   (v.)@
@make an unintelligible speech@|@dabye  (v.)@
@make fit (as in tailoring)@|@gnu   (v.)@
@malaria@|@bantna (n.)@
@male@|@myesa  (n.)@
@male (of animals)@|@nugbe  (n.)@
@male children born to one's stepmother@|@maamii  (n.)@
@male patas monkey@|@benu (n.)@
@mallam@|@malo  (n.)@
@man@|@myesa  (n.)@
@man who chases women and is favoured by them@|@wárìºà  (n.)@
@mango@|@mangoro  (n.)@
@marker of the future tense. cf. ºa@|@gá  (part)@
@market@|@gnyingo  (n.)@
@marriage@|@mula  (n.)@
@marriage celebration@|@mulabwa  (n.)@
@married man@|@nyigotsugo  (n.)@
@mason-wasp@|@gnamignami  (n.)@
@masquerade@|@kuci  (n.)@
@masquerade (a ceremony)@|@Boku (n.)@
@Masquerade (also Weya)@|@Nago  (n.)@
@masquerade ceremony@|@Dambei  (p.n.)@
@masquerade that appears at funerals@|@Kpeku  (n.)@
@mat (any type)@|@rena  (n.)@
@mat made from borassus palm-leaves@|@kapela  (n.)@
@mat used for sleeping@|@putu  (n.)@
@mat used to cover doorway@|@zogo  (n.)@
@matchete@|@eda (n.)@
@mature@|@ko  (v.)@
@measles@|@gbashawu  (n.)@
@measure@|@mwi  (v.)@
@meat@|@bida (n.)@
@meat (word only used when talking to children)@|@dada  (v.)@
@medical operation@|@mesa  (n.)@
@medicine@|@cigbe (n.)@
@medicine against the charms of enemies@|@shiba cigbe (n.)@
@medicine for cough@|@kpagodu  (n.)@
@medium-sized basket used for storage@|@kapwe  (n.)@
@medium-sized hoe)@|@shere  (n.)@
@meet@|@tsun  (v.)@
@melons@|@knuri (n.)@
@melt@|@dzun  (v.)@
@mend (clothes)@|@ki  (v.)@
@mess@|@gnyagnya  (n.)@
@message@|@tnutnu   (n.)@
@metal@|@esni  (n.), nyasha  (n.)@
@metal spoon@|@koshya  (n.)@
@migrant@|@lari  (n.)@
@migration of people@|@ela  (n.)@
@millet (bulrush millet)@|@sawyi  (n.)@
@millet (long-season bulrush millet)@|@mawyi  (n.)@
@millipede@|@kpnamkpna(na) n.@
@mirror@|@badye (n.)@
@misbehaved@|@cewyena  (a.)@
@mist@|@bubui  (n.)@
@mistakenly@|@gbogbo  (adv.)@
@mix (fluids)@|@bmido  (v.)@
@mix mud for building@|@fu  (n.)@
@mix together dry substances@|@budo (v.)@
@mixed together (objects): be ~@|@ºedo  (v.)@
@mixed with millet@|@koko  (n.)@
@money@|@ewo  (n.)@
@monkey (general)@|@nakpa  (n.)@
@month@|@epya  (n.), epya + numeral  (n.)@
@moon@|@epya  (n.)@
@morally wrong@|@wulu  (a.)@
@morally wrong action@|@ºowulu  (n.)@
@morning@|@labmisa  (n.)@
@mortar@|@ginni  (n.)@
@Mosque@|@masalaci  (n.)@
@mosquito@|@mutsege  (n.)@
@mother@|@eya  (n.)@
@mother's brother@|@yago(r)i  (n.)@
@mother's junior sisters@|@eya  (n.)@
@mother's senior sister@|@yagwe  (n.)@
@motor vehicle@|@mato  (n.)@
@motor-bike@|@katakpukpu  (n.)@
@mould@|@bubure  (n.)@
@mould (pot)@|@myi  (v.)@
@mount@|@gnu   (v.)@
@mountain@|@knùknù  (n.)@
@mouse@|@banti (n.)@
@moustache@|@egbeyi  (n.)@
@mouth@|@egbe  (n.)@
@mouth: open the ~@|@lagbe  (v.)@
@move across@|@ceznu (v.)@
@mud@|@dodo  (n.)@
@mud used to build house@|@emu  (n.)@
@mulch for planting yam@|@ete (n.)@
@multitude@|@bere (adj., n.)@
@mumble@|@dabye  (v.)@
@mushroom@|@munu  (n.)@
@mushroom sp.@|@jeje munu  (n.)@
@mushroom type-a delicacy@|@etsu munu  (n.)@
@mushroom-eaten with okra in soup.@|@cigu  (n.)@
@musical instrument@|@enya'sha(ri)  (n.)@
@Muslim@|@musulumi  (n.)@
@Muslim (cf. Musulumi)@|@salaza  (n.)@
@my@|@mi  (pron.)@
@myself@|@myidye  (pron.)@
@Naira (unit of currency)@|@Naila  (n.)@
@name@|@eye  (n.)@
@narrow@|@kesa  (v.)@
@nasal mucus@|@ecni  (n.)@
@naughty@|@cewyena  (a.)@
@navel@|@kàpwí  (n.)@
@neck@|@eca  (n.)@
@necklace@|@catuya  (n.)@
@need@|@ye  (v.)@
@needle@|@eki  (n.)@
@needle ( large needle used to sew sacks)@|@kigo  (n.)@
@net (used to carry pots etc..)@|@esa  (n.)@
@new@|@wowe  (a.)@
@next year@|@eyetso (adv.)@
@night@|@tsongo  (n.)@
@nine@|@kpnanyi  (num.), tnanyi  (num.)@
@ninth@|@tnanyiri  (num.)@
@no matter@|@tazhin (v.)@
@No!@|@a'a       (excl.)@
@noise@|@lugba  (n.)@
@non-violent madman@|@gunje  (n.)@
@nose@|@ebwa  (n.)@
@nostril@|@ebwabu   (n.)@
@not eaten)@|@talugo (n.)@
@not inherited)@|@zeba  (n.)@
@notwithstanding (idiom)@|@tazhin (v.)@
@Nupe language@|@Nyipe  (n.)@
@Nupe people@|@Nyipe  (n.)@
@nut-grass (cyperus rotundus)@|@gugu  (n.)@
@nyibajya@|@ejya (n.)@
@obstruct@|@kaka  (v.), kakeku  (v.)@
@oddly-shaped palm-fruit@|@zniri  (n.)@
@odour@|@etsun  (n.), tsunmya  (n.)@
@office@|@tnutnuba  (n.)@
@offspring@|@eºi  (n.)@
@often@|@gidigidi  (adv.)@
@oil@|@emi  (n.)@
@oil)@|@wo  (v.)@
@oil-palm@|@ezin  (n.)@
@okra@|@ekpnwi  (n.)@
@old (people and objects)@|@kokwe  (a.)@
@old age@|@eko  (n.), oko  (n.)@
@old: be ~@|@ko  (v.)@
@omit@|@tu  (v.)@
