@Mam Todos Santos@|@English@
@jolil@|@to take the bedding off a bed, to take the cover off of something, to raise, to take off the cover of something to see what it is covering, to lift up (He lifted up the cover), to uncover an object, to take something off of someone (She removed her son's shirt)@
@jolin@|@brain, lifted, raised@
@jolpaj@|@to escape, to uncover, to disappear in the distance@
@jolpi@|@change character@
@jolpil@|@to violently remove cloth from on top of something (She jerked the blankets from off the sleeping boy)@
@jom-@|@empty stomach@
@jomajx@|@always@
@jomjin@|@empty@
@jomli@|@the state of the stomach when one hasn't eaten anything (No one fed my cow because his stomach is empty)@
@jomtz'aj@|@be empty@
@jon@|@cut@
@jona'wax@|@instantly@
@jonalx@|@alone, only@
@jongana@|@willingly, strongly ('con ganas' in Spanish)@
@joq@|@face down, to let something fall face down@
@joq'@|@very wide, broad, disrespectful way to refer to a grumpy-looking person, to pull out, to suddenly remove something from its place@
@joq'pi@|@break off shoots, pull up plants roots and all@
@joqb'a@|@to hug@
@joqb'al@|@to put someone face down@
@joqb'il@|@to place face down@
@joqeb'il@|@to place in a face down position@
@joqli@|@to be face down, to be in the face down position, drunk, person who is enebriated@
@joqoqon@|@to move over a surface in the face down position (He went crawling under the table face down)@
@joqtz'il@|@can refer to both living beings and to objects that are face down and likely didn't get there gently, to be face down, to fall face down@
@jor@|@snore@
@jorat@|@quickly, rapidly@
@joratx@|@rapidly, promptly@
@joril@|@snore@
@jorn@|@oven@
@jos@|@egg, noun root meaning egg, vulgar term for the testicles@
@josb'il@|@pencil sharpener, instrument for scraping or peeling@
@joset@|@to scrape (such as to clean or scrape around a campfire to keep the fire from escaping)@
@jospil@|@to cut with one single blow of the machete@
@jostz'ib'abil@|@pencil sharpener@
@jot@|@fistful, the quantity of grains that fit in a closed hand, moment of lifting and carrying all of something, ounce@
@jotol@|@burden, load, to carry all that one can@
@jotx'@|@atol (a corn drink similar to chocolate) that hasn't been cooked correctly, re-heated corn@
@jotz'an@|@hole, hollow, cavity, the quality of an object that has nothing inside (the pan is empty)@
@jotz'jil@|@to scratch an itch, to scrape, to scrub@
@jow@|@standing or sitting with loose clothes on, to be knocked down someone loose or that is wearing a loose garment, to fall a large linen (This term is used loosely to mean just about anything made of cloth 'Her shawl fell in the dirt'), the way a bird falls to the ground with its wings down (perhaps because it doesn't know how to fly yet)@
@jowet@|@to crawl, to drag@
@jowiwen@|@to fly with their wings drooping (Vultures begin flight with their wings down or drooping)@
@jowli@|@stretched out, lying down@
@jowowon@|@move slowly with the body dispirited the arms drooping and the head down looking at the ground, for a bird to move with its wings hanging down@
@jox@|@corn's first weeding, second weeding of the corn patch@
@joxpil@|@to scrape, to smooth@
@joyb'aj@|@search (We made a search for the puppy)@
@joyb'il@|@nest where the hens lay their eggs, nest, means or instrument that is used to look for something@
@joyil@|@to lay eggs, to look for@
@joyol@|@to look for@
@joyom@|@Todosantero, man fromTodos Santos@
@jpelja@|@door@
@jpet@|@to enclose (Ch'ix tjpet tjpel ja - I am going to close the door now), to fence in@
@jpol@|@to enclose, to fence, to jail@
@jpu'n twi'@|@clumsy@
@jpu'nile@|@to have fenced or circled all the way around something@
@jpul@|@to close (He went to close the barn door), to encircle (We surrounded the lambs), to enclose@
@jqol@|@to open, to uncover@
@jqul@|@to sharpen, to file, to file down, to smooth, to scrape@
@Jse@|@Joe (José)@
@jsob'il@|@pencil sharpener, planer (a woodworking tool)@
@jsol@|@to shave, to clean the weeds or underbrush from a crop using a hoe, to take the bark from the trunks of trees, to clean to scrape, to plane wood, to peel (use of an instrument to peel is implied), this word implies using care to shave or plane something@
@jte@|@a few (more than one), how many?, some@
@jte'@|@indefinate plural (we bought some bananas), more than one, some, how much?, how many?, interrogative placed at the beginning of a sentence that is used to ask how much something costs or how many units of something are required@
@Jte' ja at ti'jxi witz?@|@How many houses are behind the hill?@
@Jte' matij k'ayb'il at toj tnam tzalu?@|@How many big stores are in this town?@
@Jte' q'uqb'il at tzalu?@|@How many seats are here?@
@Jte' qb'et at tzalu?@|@How many are we here?@
@Jte' tab'q'iya?@|@How old are you?@
@Jte' tk'wa'la at?@|@How many children do you have?@
@jte' tk'wala at@|@How many children do you have?@
@Jte' tq'aya at?@|@How many sons do you have?@
@Jte' ttxina at?@|@How many daughters do you have?@
@Jte' txkup at tzma chix?@|@How many animals are there up to there?@
@jte'n@|@how much? (jte'n twi' oj? How much does the avocado cost?)@
@jte'twi'@|@how much does it cost@
@jte ti'j@|@how much is it?@
@jte twi'@|@how much is it?, what is its cost?@
@jto@|@when in the past?@
@jtoj@|@when? (in the future), fistful, measure of capacity that means a handful of something such as grains, interrogative that begins a sentence and is used to ask when something will be done (it is used only in reference to the future)@
@jtoj?@|@when in the future?@
@jtoja ula?@|@When did you arive? (ul means to arrive)@
@jtoja?@|@when?@
@jtoje@|@when? (in the past), interrogative that about an action that was done in the past@
@jtol@|@to grab or take what you can@
@jtx'ol@|@to harvest the corn crop@
@jtz'ol@|@to tighten by tying something down with a rope, to tie up, to squeeze, to be very busy@
@ju'@|@bad spirit, demon@
@ju' xhil@|@to make something pointed@
@ju'ch'il@|@to grind (The boy ground his teeth from the cold)@
@ju'l@|@land that is piled up around the corn stalks after they put out leaves to keep the wind from blowing them over, the first weeding that is given to the cornfield@
@ju'lil@|@to dig, to scratch up, to put dirt around the corn plants when they are a little over three feet tall so the wind won't blow them down, to burn hot (The forest fire burned intensely), to suck@
@ju'm@|@goose@
@ju'min@|@rumble@
@ju'n@|@each, one by one@
@ju'n ja@|@each house@
@ju'n xoch@|@each well@
@ju'nxil@|@different, once again, one of a kind@
@ju'x tze'@|@stake (wooden stake)@
@ju'xat@|@to sharpen [a pencil]@
@ju'xh@|@ghost, phantom (I encountered a ghost in the street), demon@
@ju'xhil@|@to make the point of something thinner, to sharpen the end of something@
@ju'xil@|@to make something pointed, to make something thinner@
@jub'chajil@|@to cool off, to catch a cold@
@jub'chal@|@to remember something out of the blue, to remember something suddenly@
@jub'chil@|@to whip with a whip or lasso, to hit something violently, jub'chil is a more general term for hitting@
@jub'il@|@to hit with a thin pole, to hit someone or something with an object that carries force or that makes a whooshing sound in the air@
@juch'@|@sharp pointed, the part of a land that has a sharp angle or is pointed (I have a small triangular piece of land), narrow@
@juch'sil@|@to make an object pointed (the man made the end of the stick pointed), to make sharp pointed (like a pointed stake), to make the point of something thinner@
@juchb'il@|@electric drill@
@juchil@|@to open, to excavate@
@Judey@|@Judea@
@juk@|@short and fat@
@juk''ajlab'il@|@to pull, to pull each other @
@juk'b'il@|@straw (through which one drinks a liquid)@
@juk'et@|@to pull (The man bent forward as he pulled the heavy cart)@
@juk'il@|@to pull, to be dragged by something (the river carried me downstream), to pull on or jerk something, one who pulls or drags something@
@juk'inj@|@invited, person that is invited by a member of the brotherhood to go to the house of another member of that brotherhood in order to help with preparations for a party in his house@
@juk'jneb'il@|@to pull, to constantly be pulling on something@
@juk'u@|@pull@
@juk'u-@|@pull@
@juk'ul@|@motor@
@juk-@|@burn@
@jukan@|@burnable@
@jukemuj@|@light fog, mist@
@jukiken@|@to advance or walk almost dragging or crawling@
@jukil@|@one who violates, to thunder, to violate, to drag@
@jukyil@|@to pull@
@jul@|@candy, sweet, caramel, something to suck on, to sip, to suck in, depression, deep hole, to enclose, to fence in, chicken coop, to let go, to free, to untie@
@jul k'ib'il kar@|@pit (where the garage hoist is located in older shops)@
@jula-@|@insert something in a hole@
@julat@|@to suck@
@julil@|@a hot fire with tall flames and popping sound (jayil implies hearing the sound of the fire but it focuses on the intensity of a fire while julil focuses more on the sound of the fire), heat, sensation provoked by a scrape on the body, to burn, to make a hole to dig up dirt for making bricks, to make holes, to poke holes in a surface, to suck solid objects like sweets (julil focuses on the sound of the sucking), to thunder@
@julin@|@sound of something (like the wind or a car)@
@julk'aj@|@to remember something out of the blue, to suddenly remember something@
@julk'aj k'u'j@|@suddenly remember@
@julk'an@|@the moment of remembering something (all of a sudden)@
@julk'il@|@to suddenly remember something (Out of the blue I remembered how my mother used to smile)@
@julkab'@|@piece of candy, caramel@
@jum mij@|@half@
@jumajx@|@at once, forever, just one time@
@jumil@|@to hit, to hit an object against something with force or drive, to blow hard (the wind), to go by fast enough to provoke the sound of air passing (whoosh), to pass by rapidly or suddenly@
@jumn@|@rumble@
@jumoj@|@a pair, one pair, a couple@
@jumutx'@|@eighty one@
@jumya'x@|@early, before the sun comes up@
@jun@|@indifenite article a (a plate not the specific plate), one, someone@
@jun ab'ax@|@a message, a notice, some news@
@jun ab'q'i@|@one year@
@jun aj matz'@|@a witch@
@jun aq'b'il@|@one night@
@jun armut@|@one liter@
@jun b'o'tz saq tx'yan@|@a small white dog@
@jun b'och@|@a small bundle (of herbs or something)@
@jun b'u'ch@|@a penny (un centavo in Guatemala)@
@jun ch'ine@|@a little bit@
@jun el@|@one time@
@jun elne@|@to be equal, to be the same@
@jun jun@|@some, one each one@
@jun laq chenq'@|@a plate of beans@
@jun ma'l@|@one measure of something (like one gallon of gas or one pound of meat or one shot of whisky)@
@jun maj@|@one time, once@
@jun majtil@|@once again@
@jun majtl@|@again, once again@
@jun majtle@|@again, once again@
@jun majx@|@all at once, only one time, forever@
@jun mij@|@half@
@jun muj@|@a pair, one pair@
@jun mutx'@|@eighty, four twenties (Mayan numbering)@
@jun paqx@|@rapid (like a plane)@
@jun pixh tx'otx'@|@a piece of earth@
@jun q'ij@|@a day, one day@
@jun q'uq'@|@one dollar (un quetzal in Guatemala)@
@jun tal ttx'yan@|@a puppy@
@jun tb'anel najb'il@|@a good place, a pretty place@
@jun ti'@|@something, things@
@jun ti'xti'@|@anything@
@jun Tk'wa'l Dios@|@one God's child (God's one son)@
@jun twi' nq'ab'@|@my finger@
@jun twitz  íyaj@|@kernal of corn@
@jun txilen@|@an explanation@
@jun txkup@|@an animal@
@jun txol@|@row, line@
@jun weq tze'@|@a kind of wood@
@jun wexj@|@a pair of pants (jeans etc)@
@jun wixh q'aq@|@one black cat, a black cat@
@jun xinaq@|@a man@
@jun xjal@|@a person, one person@
@jun xu'j@|@a woman, one woman@
@juna'wix@|@without feeling, unconsciously, involuntarily@
@junab'@|@in a year@
@junab'e@|@last year@
@junab'i@|@one year ago@
@junch'in@|@just one@
@junele'x@|@forever@
@juniky'qlel@|@equality, impartiality@
@junilni@|@equal, an equal quantity for each one, persons animals or objects of an equal size, objects of the same color@
@junjan plaj qxmilal@|@body parts@
@junjun@|@each, each one, one each, some, a few, one of them (just one of the chicks died), indefinate plural marker (we bought some bananas), some of them, one at a time@
@junjun aq'b'il chaq te junjun@|@a night for each one (each one takes a night - guarding the field or whatever)@
@junjun kmujchaq@|@a little while each (junjun kmujchaq te junjo k'okil te iqil ko'k - We take turns a little while each one to carry the load in the backpack)@
@junjun lob'j@|@some fruit@
@junjun q'ij@|@each day@
@junjun txkup@|@some animals@
@junjun u'j@|@some books@
@junjun xjal@|@some people@
@junjunchaq@|@one by one, one for each one (they gave one tortilla to each one), each (junjunchaq ab'q'i - each year), each one@
@junjuntl@|@some, other, some more@
@junk'al@|@twenty@
@junk'al laj@|@thirty@
@junk'al q'a'jtz@|@twenty chairs@
@junka@|@whole@
@junku'@|@something whole (they gave me a whole apple)@
@junlaj@|@eleven@
@junlajaj@|@eleven@
@junlajk'al@|@two hundred twenty, eleven twenties@
@junmaj@|@one time, once@
@junmajx@|@in one blow, at once, outright, once for all time@
@junmutx'@|@eighty, four twenties@
@junpaqx@|@quickly, rapidly, promptly, ability@
@junqax@|@to be equal, to be the same@
@junqe@|@one of us, us one (q'ontz junqetz Give us one)@
@juntl@|@another, one other, other@
@juntl el@|@one other time@
@juntl maj@|@once again, another time@
@juntl majl@|@again, once more@
@juntl tyem@|@another or next year@
@juntljal@|@other one (jal is a classifier to signify something nonhuman)@
@junwnaq@|@twenty, twenty days@
@junx@|@even, just one, smooth, the same, together, equal@
@junx q'ij@|@the same day@
@junx tuk'u@|@along with, together with@
@junxi'chaq@|@everything was different, different ways@
@junxichaq@|@different, others@
@junxil@|@different, one of a kind@
@junxiqe@|@different, others@
@junxitil@|@another (a different person or thing each time)@
@junxitl@|@different@
@junxj@|@a bad odor@
@junxjil@|@bad odor@
@junxlab'in@|@uniform@
@junxqe@|@the same, equeal, same, together@
@junya'@|@quickly@
@junya'x@|@early@
@jup@|@moment in which something closes@
@jupa@|@to equalize, to level@
@jupal@|@to perfume, to aromatize@
@jupan@|@to straighten, to plumb (to make something plumb), to make vertical, to discipline or orient a child so he behaves properly@
@jupb'il@|@padlock@
@jupil@|@to close, to finish, to finish off (I finished off the beans)@
@jupin@|@dense, thick, quality of a crop that has plants very close together@
@jupj@|@to close, to terminate@
@jupsb'il@|@perfume@
@jupsil@|@to perfume, to aromatize@
@juptz'aj@|@to finish, to terminate, to close@
@juptz'ajil@|@to stink, to create an intensely bad odor@
@juptz'al@|@to violently close a door (due to anger or hurry), to perfume, to aromatize@
@jupu'n@|@prisoner@
@jupul@|@to put a lid on a something, to close, person in charge of closing something@
@juq'ij@|@Monday@
@juqb'il@|@file (for sharpening etc)@
@juqil@|@to file, to sharpen@
@juqjneb'il@|@to be constantly passing the file over something that you are sharpening@
@juqmaq@|@medicinal herb with yellow flowers and small leaves @
@juqul@|@to sharpen, to rub the skin against something, to sharpen something with a file or whet (sharpening) stone@
@jus@|@burn@
@jusanjtz@|@burn (used as a noun not a verb)@
@jusb'en@|@burned place@
@jusbil@|@a match (for lighting something), place where they burn the garbage@
@jusil@|@to burn (They are burning their garbage)@
@jusj@|@burn (passive as in 'The trees were all burned to the ground')@
@jutil@|@to carefully spy on someone (especially spying on someone while moving from one hiding place to another)@
@jutx'itx'@|@type of bird that eats small chicks@
@jutz@|@to escape in such a way as to evade detection, to disapear with out leaving a trace@
@jutz'@|@tight (You can't stay with us because we don't have enough room), narrow, eat slowly@
@jutz'il@|@to cut something down too much, to narrow (We cuddled together so we could all fit in the bed), to reduce too much, to tighten@
@jutza-@|@dance with slow short steps without noise@
@jutzb'al@|@to leave someone huddled up and on the alert (We left the children huddled up behind the house so they would not be seen)@
@jutzeb'il@|@to reman huddled up and on the alert (I hid behind the tree in order to see what was going on in the house)@
@jutzil@|@to go out, to carefully spy on someone (especially spying on someone while moving from one hiding place to another)@
@jutzl@|@to escape, to get away@
@jutzli@|@to be huddled in a position of alert@
@jutzpajil@|@to carefully spy on someone (especially spying on someone while moving from one hiding place to another)@
@jutzpil@|@to go out@
@jutzx@|@to escape, to get away@
@jux@|@also, spittle or vomit tray@
@jux weya@|@me too@
@juxan@|@river, spittle or vomit tray@
@jvetil@|@to look for, to investigate@
@jvol@|@to look for, to find, to investigate@
@jwe'@|@five@
@jwe' b'u'ch@|@five cents (cinco centavos in Guatemala)@
@Jwe' te qa'la tuk'a lajaj toxk'alin@|@It is ten minutes before six o'clock@
@jwe' tkyawnaqi'n b'u'ch@|@twenty-five cents (veinticinco centavos in Guatemala)@
@jwe'b'utx'@|@pentagon (shape)@
@jwe'chaj@|@five by five, in groups of five@
@jwe'chaq@|@five each, five to each, five by five, five at a time, by fives, five for one (Lemons sell five for one dollar)@
@jwe'laj@|@fifteen@
@jwe'txlaj@|@pentagon (shape)@
@jwe'yin@|@fifth@
@jwe q'uq'@|@five dollars (cinco quetzales in Guatemala)@
@jwes@|@judge (jun jwes - a judge)@
@jxol@|@to prepare earth for planting@
@jya'ka@|@look for it@
@jya'tz@|@fighting, struggling, force, strength@
@jya'tza@|@look for it@
@jyax@|@very early morning@
@jyet@|@find, encounter@
@jyetil@|@to find, to look for, to investigate, a more generalized word for looking for something@
@jykyin@|@upright, straight, quality of a person or thing that is upright and just in a moral sense@
@jyo'n@|@look for, selected, to find@
@jyoj q'oj@|@fight, war@
@jyol@|@a generalized word for looking for something, members one of the most repressive of the police bodies in Guatemala that functioned from 1954 to 1997 called Treasury Police dedicated to searching out and dismantling home-brew manufacturers (The Guardia de Hacienda as they were called in Guatemala were linked to death squad killings and were disbanded in 1997), Search and Rescue vehicle, to examine, to look for, to search, to search out, to select something out of a group (We chose the best dog out of the litter), to find, to investigate@
@jyol teya@|@to look for you@
@jyolqueye@|@looking for us@
@jyolte@|@to search for him (or her or it)@
@jyolteya@|@to look for you@
@jyom@|@hollow stick, hollow, depression, piece of land that is uneven with deep depressions, something that is hollow or has depressions@
@jyon@|@look for, choose, select something out of a group@
@jyonjaxa@|@look (you look - jyon is telling you to look and -jax is a combination of the directionals jaw meaning 'up' and xi' meaning 'away' the final -a is the second person singular enclitic meaning 'you')@
@jyonjtz@|@were looked for, was looked for@
@jyonkuxa@|@You look for it!@
@jyontza@|@look for it (this is a command)@
@k'-@|@second person singular absolutive marker (prefix to verbs that begin with a vowel) to indicate a potential action, he, she, it, third person singular absolutive marker (prefix to verbs that begin with a vowel), you@
@k'a@|@bitter, bile, drink@
@k'a'@|@bad, bitter, cruel, drink, ugly, we will see (we will see if it is possible)@
@k'a' twitz!@|@ugly face!@
@k'a'b'il@|@for a living being to open the mouth too much, to yawn@
@k'a'chat@|@to feed@
@k'a'chb'en@|@person hat has been raised and maintained by someone (an orphan)@
@k'a'chb'il@|@means or instrument that is used to raise a person or an animal, support, to support or raise, maintenance@
@k'a'chil@|@to give someone something to eat, to nourish, to feed, to raise, providor, person or animal that is dedicated to the care and rearing of his child or young@
@k'a'chin@|@fed, cared for with special care, a better quality domestic animal that has a good appearance due to the special care it has received (and therefor will fetch a higher price when sold)@
@k'a'j@|@beverage, new@
@k'a'l@|@something placed in the bottom of a large pot to keep tamales from scorching while they steam (many just put corn cobs on the bottom of the pot for this purpose in the US we use a steamer rack insert plate), material used to tie up bundles of dry wheat or oats@
@k'a's@|@false ceiling of a house (many people keep objects not in daily use above the false ceiling much like we use our attic)@
@k'a'sb'il@|@aparatus that is used to grill foods exposing them to direct heat like a barbeque grill (meat)@
@k'a'sil@|@person who grills meat, to grill@
@k'a'xh@|@sale, anything that can or will be commercialized (sold)@
@k'a'ya@|@sell@
@k'a'yb'il@|@market, market place, place utilized where a person can sell or buy anything, store@
@k'a'yil@|@vendor@
@k'a-@|@drink@
@k'a atz'an@|@salty@
@k'a i'mach@|@a leafy green plant that grows wild and is called black nightshade in the US but called hierba mora in Central America (it is used in soups and stuffed corn tortillas)@
@k'a lob'aj@|@bitter fruit@
@k'ab'@|@yawn, to suddenly open the mouth or beak (as in a bird's beak)@
@k'ab'ab'an@|@to move about with the mouth open@
@k'ab'aj@|@beverage, drink@
@k'ab'aj i'xh@|@sweet corn and milk drink (atol de elote)@
@k'ab'aj q'otaj@|@atole (Drink made of cooked corn diluted with water or milk and cooked until thickened), atole made with masa (dough of ground corn and water)@
@k'ab'atzi'@|@open mouthed (His jaw dropped when he heard the news)@
@k'ab'chaj toj ttzi@|@to keep staring at something with your mouth wide open for a long time@
@k'ab'chil@|@to split, to open@
@k'ab'il@|@for a living being to open the mouth too much, to yawn, to open (the gate etc), to open the mouth, glass (for drinking)@
@k'ab'j@|@drink (a beverage)@
@k'ab'li@|@open@
@k'ab'tzi@|@open mouthed (He stood there with his mouth hanging open)@
@k'ab'watil@|@to yawn@
@k'abtzi@|@speechless, open-mouthed@
@k'achb'etz@|@persons that are under the care and maintenance of another person (They left me with five children to care for and maintain)@
@k'achb'il q'aq'@|@kitchen (for many in Guatemalan towns this is a room built outdoors and made of sticks)@
@k'achil@|@to feed, to give food to a living being@
@k'achje@|@to stop raining quickly@
@k'achol@|@to build a fire (implies the building of a fire or putting the materials together that will be lit to make a fire not the lighting of the fire)@
@k'aj@|@thirst@
@k'aj mo ntxaqet ti'j nk'u'ja@|@I am thirsty@
@k'ajb'el@|@will be used for, will be used for, will be useful for, for@
@k'ajchaq@|@in the middle@
@k'ajil@|@laziness, lack of desire to do something, reluctance@
@k'ajol@|@son of man@
@k'ak'aj@|@tasteless, bland@
@k'ak'ul@|@dandelion@
@k'akape@|@bitter coffee, headache remedy that is made of pure coffee boiled with little water and drank without sugar@
@k'al@|@sets of twenty (the Mayan counting system uses sets of twenty), to drink (to take refreshment), tie@
@k'alab'@|@fine string made of agave@
@k'alb'a@|@begin a job@
@k'alb'el@|@to begin@
@k'alb'il@|@band, bandana, belt (to hold up a man's pants), grass or agave used to tie up handfuls of wheat, handkerchief, large woven turban or scarf that cofrades (members of the religious brotherhood) and some other Mayan elders and authorities wear (this is a very bright, lashing, magic formulas and magic acts or witchcraft that are made to do harm (hex), mooring, sash, string used to tie something, to begin, weaving of string that is used to tie the diaper of infants or the pants of older men@
@k'alil@|@to bind a person 'spiritually' (not sure if this refers to a spell or hypnotizing or what), to call, to curse, to hex, to perform witchcraft or any unwelcome activity of a witch@
@k'alk'itz@|@sash, weaving that is used to tie the diaper de infants or the skirt of women or the pants of older persons@
@k'alo'n@|@tied (up)@
@k'alo-@|@tie@
@k'alol@|@to tie up, to moor, to secure, link together, attach, link, bind, tie down, tie, this word implies a fairly secure lashing (to tie something in a fairly secure manner), wrap, swaddle, swathe, person in charge of tying something up (He ties up the bundles of wood)@
@k'alq'e'n@|@drunk (q'e'n means 'liquor')@
@k'alsil@|@to dry firewood (to dry it out)@
@k'altxa'@|@black widow spider@
@k'am@|@to receive@
@k'amnaj@|@faded (The shirt's colors faded because it has been hanging in the sun for days)@
@k'amo@|@to receive@
@k'amol@|@addressee (on the lower portion of the envelope of correspondence), to accept or receive something (not physical) with much devotion (The man accepted the word of God in his heart), to receive@
@k'amol talu'j@|@doorkeeper (the one who takes tickets at the theater)@
@k'amsab'il tipan@|@coil (part of the engine mechanism of a vehicle)@
@k'an@|@to drink@
@k'ansil@|@to light, this is the generic word for light or illuminate, to light a fire, to make shine, to light up@
@k'ant@|@to burn normally, to light up (The light is burning in my house)@
@k'antel@|@to light, to torch@
@k'antil@|@to burn normally, to light up (The light is burning in my house)@
@k'antsal@|@to put on fire, to start the fire, to burn figuratively (Nq'aq'in nk'u'ja 'I am hungry' or to translate literally 'burning my stomach'), to have compassion for someone@
@k'antsil@|@to light, this is the generic word for light or shine or illuminate or make burn, to light a fire, to make shine, to light up@
@k'antzb'il@|@match (for lighting something)@
@k'apil@|@headache (Every once in awhile I get a headache)@
@k'aq'e'n@|@medicinal plant (used to lower fever)@
@k'as@|@bitter, debt, something purchased on credit or loaned@
@k'asb'en@|@to owe@
@k'asb'il@|@means or instrument that is used to wake people up (The rooster wakes us up every morning at 5 am)@
@k'asil@|@to wake up (k'asil focuses on the act of waking someone up), person in charge of waking up others, to interrupt someone's sleep, uncomfortable sensation on the skin produced by an insect bite or allergic reaction to something, itch@
@k'asol@|@to heat tortillas (especially on a comal), debtor, to ask for credit, to sell on credit@
@k'atpaj@|@to stop raining quickly@
@k'atxatxan@|@easy to open (The jar was easy to open)@
@k'atxla@|@ajar, half-closed (I banged my head on the cupboard door because it was ajar)@
@k'atxpil@|@to cut lumber@
@k'atxpuj@|@for lumber to crack from sun exposure@
@k'atxpul@|@to open a gap between stacked objects (like a pile of firewood to allow the wood to dry)@
@k'atz@|@sound emitted by dry wood after a sunny day@
@k'atzab'til@|@for a wooden object to make a constant noise@
@k'atzb'aj@|@waist (of the body)@
@k'atze@|@bitter ash tree, bitter wood tree@
@k'awajil@|@thirst provoked by something @
@k'awil@|@barter, to trade one good for another of equal value@
@k'axhjil@|@commodities, merchandise, products@
@k'axu@|@eat snack foods@
@k'axu-@|@eat snacks@
@k'axul@|@to chew (to eat corn-on-the-cob or a hot pepper that is called chiltepes in Guatemala), this word emphasizes the chewing of the corn or peppers@
@k'ay-@|@to sell@
@k'ayal chib'aj@|@meat vendor (butcher)@
@k'ayan@|@sell, sold@
@k'ayb'il@|@plaza, store, tax@
@k'ayb'il b'ech@|@florist shop@
@k'ayb'il jok'o'n lob'aj@|@The juice bar (The place of juices)@
@k'ayb'il okxb'il@|@ticket office (at a theater etc)@
@k'ayb'il pwaqab'aj@|@jewelry store@
@k'ayb'il saqchb'il@|@toy store@
@k'ayb'ilchib'aj@|@meat market@
@k'ayb'ilu'j@|@book, bookshop@
@k'ayib'al xajajb@|@shoe shop@
@k'ayil@|@one who sells things, to do business, to sell, the bitterness of something@
@k'ayil b'ix laq'il@|@buyer and seller (person who goes from place to place buying and selling goods - the goods are usually carried on a mecapal or wrapped in a large sheet and carried on the back)@
@k'ayil itzaj@|@vegetable seller, green grocer, vegetable vendor@
@k'ayil q'anb'il@|@pharmacist, druggist@
@k'ayil txache'w@|@ice-cream man@
@k'ayil xnoq' kab'@|@one who sells cotton candy (He sells cotton candy at the fair - or 'algondonero' in Spanish)@
@k'aysil@|@to make bitter (My mother in law has made my life bitter), to salt@
@k'ayti'chaq@|@store, store (where they sell things)@
@k'e'chil@|@to give someone something to eat, to feed, to nourish@
@k'elel@|@it will go (k'elel q'i'n - will be taken away or done away with)@
@k'eyb'il wab'j@|@restaurant, place of food@
@k'i'@|@not want (He doesn't want to go)@
@k'ik'lon@|@one who takes care of the catholic church for one year without pay@
@k'il@|@clay pot, cooking pot, pot@
@k'il k'u'j@|@diarrea, person (especially a child) who doesn't have diarrea but is constantly going to the bathroom to evacuate his bowels@
@k'ila-@|@fill pots@
@k'inkaq@|@lightening, thunder (The thunder frightened me)@
@k'itk'it@|@sound used to call chicks to come get their food@
@k'itxqe@|@a little while ago@
@k'itz@|@relational noun that indicates that something is close to or even with another thing (The banana is right next to the refrigerator), with@
@k'itzb'aj@|@waist@
@k'iwil@|@to bless (My parents went to bless the seed so we will have a fruitful growing season)@
@k'ixb'el@|@to get hurt or wound some part of your body@
@k'ixb'en@|@the effect that getting hit by something or colliding with something produces (like a bruise a bump or pain)@
@k'ixb'il@|@wound@
@k'ixb'isab'il@|@plague (a means of suffering)@
@k'ixb'len@|@wound or bruise or bump received from getting hit or wounded in some part of the body@
@k'ixb'sal@|@to hurt someone or an animal, to injur or wound someone or an animal@
@k'ixham@|@sneeze@
@k'ixhamil@|@to sneeze@
@k'ixhjaj@|@willow@
@k'ixhlob'@|@long thin stick or pole that is hard and flexible, rod, a thin leafless branch used to herd animals@
@k'ixk'oj@|@suffer, painful, picante (spicy hot), sensation of pain that remains after a body has been hurt (Injections can be painful), sickness, wound that provokes pain (nk'ix'koje it hurts me or is painful to me), suffering@
@k'jaj@|@thin cord, string@
@k'lab@|@cord made of sisal@
@k'lab'@|@bundle of something like firewood, twisted eight strand cord that is used to attach the upper and lower part of a back strap loom (the warp threads?)@
@k'laj@|@load of firewood, third (She poured a third of a gallon)@
@k'lajil@|@to divide in three parts@
@k'lel@|@although this word has the meaning of guiding someone or some animal its focus is on the bringing, to accompany, to bring someone (A girl is pasturing her sheep in the field), to pasture (sheep or other animals like cows and horses), to take someone along for company or for help, to take the herd of animals to a pasture area and watch them while they eat@
@k'lo'x@|@wheat, tamalito made of wheat@
@k'loj@|@group, handful@
@k'loja-@|@group people or animals@
@k'lojin@|@to be divided into groups or arranged by groups@
@k'lol@|@attach, bind, link, link together, this word implies a fairly secure lashing (to tie something in a fairly secure manner), tie (Tie your shoes), tie down, to moor, to secure, to tie up@
@k'loq'ij@|@week@
@k'loxpo'tzil@|@team@
@k'lul@|@to go out to meet someone, this word focuses on an encounter that is planned or by appointment@
@k'mol@|@to accept or receive something (not physical) with much devotion (The man accepted the word of God in his heart)@
@k'o'l@|@to crawl@
@k'o'li@|@to be crouched with the back curved without bending the knees much@
@k'o'n@|@palate, roof of the mouth@
@k'o'x@|@hardhat@
@k'o'xh@|@buzzard, stingy, the amount of grains that fit in a vessel made of the round woody fruit of the Bignoniaceae tree, vessel made of the round woody fruit of the Bignoniaceae tree@
@k'o'xhi'n@|@measure grains or liquids by bowl or basinful (nixtamal is measured this way)@
@k'o'xhil@|@vessel made of the round woody fruit of the Bignoniaceae tree or a recipient for a specific use@
@k'ob'il@|@trap (We put out traps for mice)@
@k'ob'oj@|@cave@
@k'och@|@what poultry are called when they have feathers of different colors (especially black and white)@
