@English@|@Irish Gaelic@
@courtier@|@cúirteoir@
@courtroom@|@seomra cúirte@
@courtyard@|@clós@
@cousin@|@col ceathar@
@cove@|@cuainín@
@covenant@|@cúnant@
@cover@|@clúdaigh@
@cover charge@|@táille cumhdaigh@
@cover note@|@nóta cumhdaigh@
@cover up@|@forcheilt@
@covert@|@folaithe@
@covet@|@santaigh@
@cow@|@bó@
@coward@|@cladhaire@
@cowboy@|@buachaill@
@cower@|@cúbadh siar ó dhuine@
@coy@|@cútail@
@crab@|@portán@
@crab apple@|@fia úll@
@crack@|@scoilt@
@crackle@|@bheith ag brioscarnach@
@cradle@|@cliabhán@
@craft@|@ceird@
@crafty@|@fadcheannach@
@crag@|@creig@
@cram@|@rud a shacadh le@
@cramp@|@crampa@
@cranberry@|@mónóg@
@crane@|@corr@
@crank@|@cromán@
@crash@|@tuairt@
@crash course@|@dianchúrsa@
@crash helmet@|@clogad coanta@
@crash landing@|@tuirlingt éigeandála@
@crate@|@cis@
@cravat@|@carbhat@
@crave@|@ciocras ruda a bheith ort@
@crawl@|@snámh@
@crayfish@|@cráifisc@
@crayon@|@crián@
@craze@|@mearadh@
@crazy@|@ar buile@
@creal@|@díosc@
@cream@|@uachtar@
@crease@|@filltín@
@create@|@cruthaigh@
@creature@|@créatúr@
@creche@|@naíolann@
@credence@|@rud a chreidiúint@
@credit@|@cairde@
@credit card@|@cárta creidmheasa@
@creed@|@creideamh@
@creek@|@crompán@
@creep@|@snámh@
@creepy@|@uaigneach@
@cremate@|@créam@
@crepe@|@créip@
@crepe bandage@|@bindealán síprise@
@crescent@|@corrán@
@cress@|@biolar@
@crest@|@cuircín@
@crestfallen@|@maolchluasach@
@crevice@|@gág@
@crew@|@criú@
@crib@|@cruib@
@crick@|@claon@
@cricket@|@criogar@
@crime@|@coir@
@criminal@|@coirpeach@
@crimson@|@corcairdhearg@
@cringe@|@lútáil@
@cripple@|@bacach@
@crisis@|@géarchéim@
@crisp@|@briosc@
@criterion@|@critéar@
@critic@|@criticeoir@
@critical@|@cáinteach@
@croak@|@grág@
@Croatia@|@An Chróit@
@crochet@|@cróise@
@crockery@|@soithí@
@crocodile@|@crogall@
@croft@|@croit@
@crook@|@crúca@
@crop@|@barr@
@cross@|@crois@
@cross examine@|@croscheistigh@
@cross eyed@|@fiarshúileach@
@cross purposes@|@bheith as teacht trasna@
@cross reference@|@crostagairt@
@cross section@|@trasghearradh@
@crossbar@|@trasnán@
@crossfire@|@croslámhach@
@crossing@|@pasáid@
@crossing guard@|@maor crosaire@
@crossroad@|@crosbhealach@
@crosswalk@|@crosaire@
@crossword@|@crosfhocal@
@crotch@|@gabhal@
@crouch@|@crom@
@crow@|@préachán@
@crowbar@|@gró@
@crowd@|@slua@
@crown@|@coróin@
@crucial@|@barrthábhacht@
@crucifix@|@An Chroch@
@crucifixion@|@céasadh@
@crude@|@amh garbh@
@cruel@|@cruálach@
@cruise@|@cúrsáil@
@crumb@|@grabhróg@
@crumpet@|@crombóg@
@crunch@|@cnag@
@crusade@|@crosáid@
@crush@|@brú@
@crust@|@crústa@
@crutch@|@maide croise@
@crux@|@croí@
@cry@|@caoin@
@cryptic@|@diamhair@
@crystal@|@criostal@
@cub@|@coileán@
@Cuba@|@Cúba@
@cubbyhole@|@caochóg@
@cube@|@ciúb@
@cubicle@|@cubhachail@
@cuckoo@|@cuach@
@cucumber@|@cúcamar@
@cuddle@|@muirnigh@
@cue@|@leid@
@cuff@|@cufa@
@cul de sac@|@cul de sac@
@cull@|@togh@
@culminate@|@teacht chin buaice le@
@culprit@|@ciontach@
@cult@|@cultas@
@cultivate@|@saothraigh@
@cultural@|@cultúrtha@
@cumbersome@|@anásta@
@cunning@|@gliceas@
@cup@|@cupán@
@cup tie@|@cluiche coirn@
@cupboard@|@cófra@
@curate@|@séiplíneach@
@curb@|@srian@
@curdle@|@téacht@
@cure@|@leigheas@
@curfew@|@cuirfiú@
@curiosity@|@fiosracht@
@curl@|@coirnín@
@currant@|@cuirín@
@currency@|@airgeadra@
@current@|@sruth, sruth@
@current account@|@cuntas reatha@
@current affairs@|@cúrsaí reatha@
@curriculum@|@curachla@
@curriculum vitae@|@curriculum vitae@
@curry@|@curaí@
@curse@|@bheith ag eascainí@
@cursor@|@cúrsóir@
@curt@|@giorraisc@
@curtail@|@giorraigh@
@curtain@|@cuirtín@
@curts(e)y@|@umhlaigh@
@curve@|@cuar@
@cushion@|@cúisín@
@custard@|@custard@
@custody@|@cúram@
@customer@|@custaiméir@
@customs@|@custaim@
@customs officer@|@oifigeach custaim@
@cut@|@gearr, gearr@
@cut price@|@faoi ráta@
@cutback@|@gearradh@
@cute@|@cleasach@
@cutlery@|@sceanra@
@cutlet@|@gearrthóg@
@cutout@|@gearrthán@
@cutthroat@|@gan taise@
@cyanide@|@ciainíd@
@cycle@|@timthriall@
@cyclist@|@rothaí@
@cygnet@|@éan@
@cylinder@|@sorcóir@
@cymbal@|@ciombal@
@cynic@|@cinicí@
@cynical@|@ciniciúil@
@cynicism@|@ciniceas@
@Cypriot@|@Cipireach@
@Cyprus@|@An Chipir@
@cyst@|@cist@
@czar@|@sár@
@Czech@|@Seiceach@
@dab@|@tabhair daba do@
@dad@|@daid@
@daddy longlegs@|@snáthadán@
@daffodil@|@lus@
@daft@|@amaideach@
@dagger@|@miodóg@
@dahila@|@dáilia@
@daily@|@laethúil@
@dairy@|@déirí@
@daisy@|@nóinín@
@dale@|@gleanntán@
@dam@|@damba@
@damage@|@damáiste@
@damn@|@damnaigh@
@damp@|@tais, tais@
@dance@|@damhsa@
@dandelion@|@caisearbhán@
@dandruff@|@sail@
@Dane@|@Danmhargach@
@danger@|@contúirt@
@dangle@|@coinneáil ar bogarnach@
@dare@|@dúshlán@
@dark@|@dorcha@
@dark glasses@|@gloiní dorcha@
@darkness@|@dorchadas@
@darkroom@|@seomra dorcha@
@darling@|@muirneach@
@darn@|@dearnáil@
@dart@|@ga@
@dartboard@|@clár dairteanna@
@dash@|@dais@
@dashboard@|@painéal ionstraimí@
@data@|@sonraí@
@data bank@|@stór sonraí@
@data capture@|@gabháil sonraí@
@data carrier@|@impróir sonraí@
@data processing@|@próiseáil sonraí@
@database@|@bunachar sonraí@
@date@|@datá@
@daughter@|@inín, iníon@
@daughter in law@|@banchliamhain bean@
@daunting@|@scáfar@
@dawn@|@breacadh@
@day@|@lá@
@day to day@|@laethúil@
@daybreak@|@breacadh@
@daydream@|@bheith ag aislingeacht@
@daylight@|@solas an lae@
@daytime@|@i rith an lae@
@daze@|@caoch@
@dazzle@|@dall@
@dead@|@marbh@
@dead end@|@ceann caoch@
@Dead Sea@|@An Mhuir Mharbh@
@deadline@|@spriocdháta@
@deadlock@|@sáinn@
@deaf@|@bodhar@
@deal@|@margadh@
@dean@|@déan@
@dear@|@ionúin@
@death@|@éag@
@death certificate@|@teastas báis@
@death penalty@|@pionós an bháis@
@death rate@|@ráta báis@
@death toll@|@líon na marbh@
@debate@|@díospóireacht@
@debauched@|@truaillithe@
@debit@|@dochar@
@debris@|@bruscarnach@
@debt@|@fiach@
@debug@|@dífhabhtaigh@
@decade@|@deich mbliana@
@decaffeinated@|@gan chaiféin@
@decanter@|@teisteán@
@decay@|@lobhadh@
@deceit@|@cealg@
@deceitful@|@fealltach@
@December@|@Mí na Nollag, Nollaig@
@decent@|@gnaíuíl, gnaoiúil@
@decentralization@|@dílárú@
@decide@|@réitigh@
@decimal@|@deachúlach@
@decipher@|@scaoil@
@decision@|@cinneadh@
@deck@|@deic@
@deck chair@|@cathaoir dheice@
@declare@|@dearbhaigh@
@decline@|@meath@
@decommission@|@díchoimisiúnaigh@
@decompose@|@lobh@
@decontaminate@|@díthruailligh@
@decor@|@feisteas@
@decorate@|@bronn gradam ar@
@decorum@|@cuibhiúlacht@
@decoy@|@gaiste@
@decrease@|@laghdú@
@decree@|@forógra@
@decrepit@|@craplaithe@
@dedicate@|@tiomnaigh@
@deduce@|@déan amach@
@deduct@|@bain de@
@deed@|@gníomh@
@deep@|@domhain, domhain@
@deep seated@|@dearg dubh@
@deepfreeze@|@domhainreo@
@deer@|@fia@
@defamation@|@aithisiú@
@default@|@mainneachtain@
@defeat@|@briseadh@
@defect@|@locht@
@defence@|@cosaint@
@defer@|@cuir ar athlá@
@deficient@|@easpach@
@deficit@|@easnamh@
@define@|@sainmhínigh@
@definite@|@cinnte@
@deflate@|@díbholg@
@deflect@|@sraon@
@deform@|@rud a chur ó chuma@
@defraud@|@déan calaois ar@
@defrost@|@díshioc@
@deft@|@deaslámhach@
@defunct@|@as feidhm@
@defuse@|@bain an t-aidhniú@
@defy@|@sárú ar@
@degenerate@|@meath@
@degrading@|@táireach@
@degree of kinship@|@col@
@dehydrated@|@spalptha@
@de-ice@|@dí-oighrigh@
@deign@|@deonú chun rud a dhéanamh@
@dejected@|@díomách@
@delay@|@moilligh@
@delay]@|@moill@
@delegate@|@toscaire@
@delete@|@cealaigh@
@deliberate@|@réamhbheartaithe@
@delicacy@|@fíneáltacht@
@delicious@|@caithiseach@
@delight@|@lúcháir@
@delinquent@|@ciontach@
@delirious@|@bheith ag rámhaille@
@deliver@|@seachaid@
@delivery van@|@veain seachadta@
@demand@|@éiligh@
@demarcation@|@críochú@
@demean@|@a bheag a dhéanamh@
@demeanour@|@iompar@
@demented@|@bheith as do mheabhair@
@demise@|@éag@
@democracy@|@daonlathas@
@demolish@|@leag@
@demoralize@|@bheith domheanmnach faoi rud@
@demote@|@tugadh céim síos dó@
@den@|@pluais@
@denationalize@|@dínáisiúnaigh@
@denial@|@séanadh@
@denim@|@deinim@
@Denmark@|@An Danmhairg@
@denomination@|@luach@
@denote@|@comharthaigh@
@dense@|@dlúth, tiubh@
@dent@|@log@
@dental@|@déadach@
@dental floss@|@flas déadach@
@dentist@|@fiaclóir@
@dentures@|@déadchíora@
@deny@|@diúltaigh, séan@
@deodorant@|@díbholaíoch@
@depart@|@imigh, imigh@
@department@|@roinn, roinn@
@department store@|@sipoa ilranna@
@departure@|@imeacht@
@depend@|@braith, brath ar@
@depleted@|@ídithe@
@deplorable@|@truamhéalach@
@deport@|@díbir as an tír@
@deposit@|@deascán@
@deposit account@|@cuntas taisce@
@depot@|@stóras@
@depraved@|@truaillithe@
@depreciate@|@titeann@
@depress@|@cuir gruaim ar@
@deprivation@|@anás, díth@
@depth@|@doimhneacht@
@deputy@|@leas ionadaí@
@derail@|@cuir de na ráillí@
@deranged@|@saochan céille@
@derby@|@babhlaer@
@derelict@|@tréigthe@
@deride@|@fonóid@
@derisory@|@fonóideach@
@derivative@|@fréamhaí@
@dermatitis@|@deirmitíteas@
@derogatory@|@dímheasúil@
@Derry@|@Doire@
@descend@|@tuirling@
@desciple@|@deisceabal@
@describe@|@cuir síos@
@desert@|@fásach@
@desert island@|@oileán fásaigh@
@deserve@|@tuill@
@design@|@dearadh@
@designate@|@ceap@
@designer@|@dearthóir@
@desire@|@mian, mian@
@desk@|@deasc@
@desktop@|@ríomhaire@
@desolate@|@tréigthe@
@despair@|@éadóchas@
@despicable@|@suarach@
@despite@|@d’ainneoin@
@dessert@|@milseog@
@destination@|@ceann@
@destiny@|@cinniúint@
@destitute@|@beo bocht@
@destroy@|@scrios@
@detach@|@scar@
@detail@|@sonra@
@detain@|@coinneáil istigh@
@detect@|@braith@
@detective@|@bleachtaire@
@detente@|@détente@
@deter@|@coisc@
@detergent@|@glantóir@
@deteriorate@|@téigh in olcas@
@determine@|@cinn, cinn ar@
@deterrent@|@cosc@
@detest@|@dearg-ghráin@
@detour@|@bealaigh@
@detract@|@baint ó@
@detriment@|@le haimhleas@
@devaluation@|@díluacháil@
@devastate@|@scrios@
@develop@|@forbair@
@deviant@|@claon@
@device@|@gaireas@
@devil@|@diabhal@
@Devil@|@Diabhal@
@devious@|@lúbach@
@devise@|@ceap@
@devoid@|@easpach@
@devolution@|@dílárú@
@devote@|@rud a thoirbhirt@
@devour@|@alp@
@devout@|@dúthrachtach@
@dew@|@drúcht@
@diabetic@|@diaibéiteach@
@diabolical@|@diabhalta@
@diagnosis@|@fáthmheas@
@diagonal@|@fiar@
@diagram@|@léaráid@
@dial@|@aghaidh@
@dial code@|@cód diailithe@
@dialect@|@canúint@
@dialling tone@|@ton diailithe@
@dialogue@|@comhrá@
@dialysis@|@scagdhealú@
@diameter@|@trastomhas@
@diamond@|@diamant@
@diaper@|@clúidín@
@diaphragm@|@scairt@
@diarrhoea@|@buinneach@
@diary@|@dialann@
@dice@|@dísle@
@dictate@|@deachtaigh@
@dictionary@|@foclóir@
@die@|@dul in éag, faigh bás@
@die hard@|@duine dígeanta@
@diesel@|@ola díosail@
@diet@|@aiste@
@differ@|@bheith éagsúil@
@different@|@difriúil@
@differentiate@|@idirdhealú a dhéanamh@
@difficult@|@deacair@
@diffusion@|@leathadh@
@dig@|@tochail@
@digest@|@díleáigh@
@digit@|@digit@
@dignity@|@dínit@
@digress@|@téigh ar seachmall@
@digs@|@lóistín@
@dilapidated@|@raiceáilte@
@dilemma@|@cruachás@
@diligent@|@dícheallach@
@dilute@|@lagaigh@
@dim@|@lag@
@dimension@|@buntomhas, gné@
@diminish@|@laghdaigh@
@dimple@|@loigín@
@din@|@trup@
@dine@|@dinnéar a ithe@
@diner@|@aoi@
@dinghy@|@dionga@
@dingy@|@gruama@
@dining room@|@proinnseomra@
@dinner@|@dinnéar@
@dinner jacket@|@seaicéad dinnéir@
@dinner party@|@cóisir dinnéir@
@dinner time@|@am dinnéir@
@dinosaur@|@dineasár@
@diode@|@dé-óid@
@dip@|@fána@
@diphtheria@|@diftéire@
@diploma@|@dioplóma, teastas@
@diplomat@|@taidhleoir@
@dipstick@|@slat tumtha@
@dire@|@uafásach@
@direct@|@díreach, díreach@
@direct debit@|@dochar díreach@
@direction@|@aird, aird, treorú@
@director@|@stiúrthoir@
@directory@|@eolaí@
@dirt@|@brocamas@
@disability@|@míchumas@
@disadvantage@|@míbhuntáiste@
@disagree@|@gan cur le chéile@
@disagreement@|@easontas@
@disappear@|@imigh@
@disapproval@|@míshásamh@
@disarm@|@dí-armáil@
@disarray@|@trína chéile@
@disaster@|@tubaiste@
@disband@|@scoir@
@disbelief@|@díchreideamh@
@disc@|@diosca, teasc@
@disc jockey@|@diosc-jacaí@
@discard@|@rud a chaitheamh uait@
@discern@|@tabhair faoi deara@
@discharge@|@folmhaigh@
@disclose@|@tabhair le fios@
@disco@|@dioscó@
@discoloured@|@ruaimneach@
@discomfort@|@míshuaimhneas@
@disconcert@|@cuir as do@
@disconnect@|@scaoil@
@discontent@|@míshásamh@
@discordance@|@neamhréireacht@
@discort@|@imreas@
@discount@|@lascaine@
@discourage@|@cuir beaguchtach ar@
@discover@|@fionn@
@discredit@|@tarraing míchreidiúint ar@
@discreet@|@discréideach@
@discrepancy@|@difear@
@discriminate@|@idirdhealú a dhéanamh ar@
@discus@|@teasc@
@discuss@|@pléigh@
@discussion@|@plé@
@disdain@|@dímheas@
@disease@|@galar@
@disembark@|@téigh i dtír@
@disentangle@|@réitigh@
@disfigure@|@cuir míghnaoi ar@
@disgrace@|@náire@
@disgruntled@|@míshásta@
@disguise@|@bréagriocht@
@disgust@|@déistin@
@dish@|@soitheach@
@dish cloth@|@éadach soithí@
@disheartened@|@beaguchtach a bheith ort@
@dishevelled@|@sraoilleach@
@dishonour@|@easonóir@
@dishwasher@|@niteoir soithí@
@disinfect@|@díghalraigh@
@disintegrate@|@tit as a chéile@
@disjointed@|@scaipthe@
@disk@|@diosca@
@disk drive@|@dioscthiomáint@
@dislike@|@col@
@dislocate@|@cuir as áit@
@disloyal@|@mídhílis@
@dismantle@|@bain as a chéile@
@dismay@|@anbhá@
@dismiss@|@scaip@
@disobedient@|@easumhal@
@disobey@|@bheith easumhal do dhuine@
@disorder@|@mí-ordú@
@disown@|@séan@
@disparaging@|@drochmheasúil@
@dispatch@|@seol@
@dispel@|@scaip@
@dispense@|@ullmhaigh@
@display@|@taispeántas@
@displease@|@chuir sé an-mhíshásamh@
@disposition@|@méin@
@disproportionate@|@díréireach@
@disprove@|@bréagnaigh@
@dispute@|@conspóid@
@disqualify@|@dícháilligh@
@disquiet@|@míshuaimhneas@
@disregard@|@déan neamhshuim@
@disreputable@|@míchlúiteach@
@disrespectful@|@dímheasúil@
@disrupt@|@bris isteach ar@
@dissatisfied@|@diomúch de, míshásta@
@dissent@|@easaontas@
@disservice@|@míghar@
@dissimilar@|@éagsúil@
@dissipate@|@diomaill@
@dissociate@|@tú féin a dhealú ó rud@
@dissolute@|@réiciúil@
@dissolve@|@tuaslaig@
@dissuade@|@duine a chur í rud a dhéanamh@
@distance@|@achar@
@distaste@|@drochbhlas@
@distil@|@driog@
@distinct@|@leithleach@
@distinction@|@gradam@
@distinguish@|@sonraigh@
@distort@|@cuir ar a riocht@
@distract@|@iúl duine a thógáil de@
@distraught@|@i mbarr do chéille@
@distress@|@broid, dochracht@
@distribute@|@dáil@
@district@|@ceantar@
@district attorney@|@aturnae dúiche@
@distrust@|@drochmhuinín@
@disturb@|@cuir isteach ar@
@disuse@|@léig@
@ditch@|@díog@
@dither@|@bheith ann as@
@ditto@|@an rud céanna@
@divan@|@dibheán@
@dive@|@onfais@
@diver@|@tumadóir@
@diverge@|@scar@
@diverse@|@éagsúil@
@divert@|@atreoraigh@
@divide@|@roinn@
@divided highway@|@mótarbhealach@
@dividend@|@dibhinn@
@divine@|@diaga@
@diving board@|@clár tumadóireachta@
@division@|@deighilt@
@divorce@|@colscaradh@
@divorcee@|@duine colscartha@
@divulge@|@sceith@
@dizzy@|@meadhar a bheith ionat@
@do (as I do)@|@déan mar a dhéanaimse@
@do (party)@|@cóisir@
@dock@|@duga@
@docket@|@duillín@
@dockyard@|@longlann@
@doctor@|@dochtúir, doctúir@
@document@|@cáipéis@
@documentary@|@faisnéiseach@
@doddery@|@cróilí a bheith ionat@
@dodge@|@cleas@
@doe@|@eilit@
@dog@|@cú, mada, madra@
@dog bark@|@tafann@
@dog collar@|@coiléar madra@
@dogged@|@righin@
@doldrums@|@bheith i ndroim dubhach@
@dole@|@dól@
@doll@|@bábóg@
@dollar@|@dollar@
@dolphin@|@deilf@
@dome@|@cruinneachán@
@domestic (of country)@|@intíre@
@domicile@|@áitreabh@
@dominant@|@ceannasach@
@dominion@|@críoch@
@domino@|@dúradán@
@don@|@léachtóir@
@donate@|@bronn@
@Donegal@|@Dún na nGall@
@donkey@|@asal@
@donor@|@deontóir@
@donut@|@taoschnó@
@doom@|@míchinniúint@
@door@|@doras, doras@
@doorbell@|@cloigín dorais@
@doorstep@|@leac dorais@
@doorway@|@doras@
@dope@|@drugaí@
@dope (idiot)@|@bómán@
@dormant@|@suanach@
@dormitory@|@suanlios@
@dormouse@|@dallóg@
@dosage@|@dáileog@
@dossier@|@foireann@
@dot@|@ponc@
@dot matric printer@|@printéir poncmhaitríse@
@double@|@dúbailte@
@double bass@|@olldord@
@double bed@|@leaba dhúbailte@
@double cross@|@déan feall ar@
@double decker@|@bus dhár urlár@
@double density@|@dédhlús@
@double glazing@|@gloiniú dúbailte@
@double room@|@seomra dúbailte@
@doubt@|@aimhreas, amhras@
@dough@|@taos@
@dove@|@colm@
@Dover@|@Dobhar@
@down@|@síos@
@Down@|@An Dún@
@down (soft feathers)@|@clúmh@
@down and out@|@ar an trá fholamh@
@down to earth@|@siosmaideach@
@down under@|@san Astráil@
@downcast@|@díomách@
@downfall@|@turnamh@
@downhearted@|@tromchroíoch@
@downhill@|@dul le fána@
@download@|@íoslódáil@
@downpour@|@bailc@
@downright@|@glan@
@downstairs@|@thíos an staighre@
@downtown@|@i lár na cathrach@
@downwards@|@síos anuas@
@doze@|@néal a chodladh@
@dozen@|@dosaen@
@drab@|@lachna@
@draft@|@dréacht@
@drag@|@tarraing@
@dragon@|@dragan@
@dragonfly@|@snáthaid mhór@
@drain@|@draein@
@draining board@|@clár silte@
@drainpipe@|@gáitéar@
@drama@|@drámaíocht@
@drapes@|@cuirtíní@
@drastic@|@bunúsach@
@draughboard@|@clár táiplise@
@draught@|@siorradh@
@draughty@|@tá siorradh beag isteach ann@
@draw@|@tarraing@
@drawback@|@míbhuntáiste@
@drawbridge@|@droichead tógála@
@drawer@|@tarraiceán@
@drawing board@|@clár líníochta@
@drawing pin@|@tacóid@
@drawing room@|@seora suí@
@dread@|@scáth@
@dream@|@brionglóid@
@dreary@|@dearóil@
@dregs@|@deasca@
@drench@|@báigh@
@dress@|@gúna@
@dress rehersal@|@réamhléiriú@
@dresser@|@drisiúr@
@dressing gown@|@fallaing sheomra@
@dressing room@|@seomra gléasta@
@dressing table@|@clár maisiúcháin@
@dried@|@tíortha@
@drift@|@treo@
@drill@|@druilire@
@drink@|@deoch, deoch@
@drinking@|@ól@
@drinking water@|@uisce inólta@
@drip@|@braon@
@drip dry@|@siltriomaigh@
@drive@|@tiomáint, tiomáint@
@drivel@|@raiméis@
@driver@|@tiománaí@
@drivers licence@|@ceadúnas tiomána@
@driving test@|@triail tiomána@
@drizzle@|@brádán@
@drone@|@crónán@
@droop@|@rom@
@drop@|@braon, deoir@
@drove@|@na sluite@
@drown@|@báigh@
@drowsy@|@codlatach@
@drug@|@druga@
@drug addict@|@andúileach@
@drugstore@|@druglann@
@drum@|@druma@
@drummer@|@drumadóir@
@drunk@|@ólta@
@dry@|@tirim, tirim@
@dry clean@|@tirimghlan@
@dryer@|@triomadóir@
@dual@|@déach@
@dual carriageway@|@carrbhealach dúbailte@
@dubious@|@amhrasach@
@Dublin@|@Baile Átha Cliath@
@Dublin Bay@|@Bhaile Átha Cliath@
@duchess@|@bandiúc@
@duck@|@lacha@
@dud@|@tá sé gan mhaith@
@due@|@le teacht@
@duet@|@díséad@
@duke@|@diúc@
@dull@|@leadránach@
@dulse@|@duileasc@
@duly@|@go tráthúil@
@dumb@|@balbh@
@dump@|@láithreán@
@dumpling@|@domplagán@
@dung@|@cac@
@dungarees@|@bríste@
@dungeon@|@doinsiún@
@duplex@|@árasán@
@duplicate@|@dúblach@
@durable@|@buanfasach@
@duration@|@fad@
@during@|@i rith@
@dusk@|@deannach@
@duster@|@ceirt deannaigh@
@dusty@|@deannachúil@
@Dutch@|@Ollannach@
@duty@|@dualgas@
@duvet@|@fannchlúmhán@
@dwarf@|@abhac@
@dwell@|@bheith i do chónaí i@
@dwelling@|@áit chónaithe@
@dwindle@|@laghdaigh@
@dye@|@dath@
@dynamic@|@briomhar@
@dynamite@|@dinimít@
@dynamo@|@dineamó@
@dysentry@|@dinnireacht@
@dyslexia@|@disléicse@
@each@|@gach@
@eager@|@díocasach@
@eagle@|@iolar@
@ear@|@cluas, cluas@
@earache@|@tinneas cluaise@
@eardrum@|@tiompán cluaise@
@earl@|@iarla@
@earlier@|@níos luaithe@
@early@|@go luath@
@early retirement@|@scor a ghlacadh go luath@
@earmark@|@rud a chur i leataobh do@
@earn@|@tuill@
@earnest@|@dáiríre@
@earnings@|@pá@
@earphones@|@cluasáin@
@earplugs@|@plugaí cluaise@
@earring@|@fáinne cluaise@
@earth@|@ithir, talamh@
@earthenware@|@cré-earraí@
@earthquake@|@crith talún@
@earthy@|@graosta@
@earwig@|@gailseach@
@ease@|@sócúlacht@
@easel@|@tacas@
@easily@|@go héasca@
@east@|@oirthear@
@Easter@|@Cáisc@
@Easter egg@|@ubh Chásca@
@easy@|@furasta@
@easy going@|@réchúiseach@
@eat@|@ith, ith@
@eating@|@ithe@
@ebb@|@trá@
@ebony@|@éabann@
@ecast@|@réamhaisneis@
@eccentric@|@ait@
@ecclesiastical@|@eaglasta@
@echo@|@macalla@
@eclipse@|@urú@
@ecology@|@éireolaíocht@
@economy@|@eacnamaíocht@
@ecosystem@|@éiceachóras@
@ecstasy@|@eacstais@
@ecumenical@|@éacúiméineach@
@eczema@|@eachma@
@edge@|@imeall@
@edible@|@inite@
@Edinburgh@|@Dún Éideann@
@edit@|@cuir in eagar@
@edition@|@eagrán@
@education@|@oideachas@
@eel@|@eascann@
@eerie@|@diamhair@
@effect@|@éifeacht@
@effeminate@|@baineanda@
@efficiency@|@éifeachtacht@
@effort@|@iarracht@
@egg@|@ubh@
@eggcup@|@ubhchupán@
@eggplant@|@planda ubhthoraidh@
@eggs@|@uibheacha@
@ego@|@féinspéis@
@Egypt@|@An Éigipt@
@eiderdown@|@fannchlúmh@
@eight@|@ocht@
@eighteen@|@ocht déag@
@eighty@|@ochtó@
@Eire@|@Éire@
@either@|@ceachtar@
@eject@|@caith amach@
@elaborate@|@crióchnúil@
@elapse@|@imigh@
@elastic@|@leaisteach@
@elastic band@|@crios leaisteach@
@Elastoplast@|@Elastoplast@
@elation@|@scleondar@
@elbow@|@uillin, uillinn@
@elder@|@an duine is sine den chúpla@
@elect@|@togh@
@election@|@toghchán@
@electric@|@leictreach@
@electric fire@|@tine leictreach@
@electrical blanket@|@blaincéad leictreach@
@electrical cooker@|@cócaireán leictreach@
@electrical current@|@sruth leictreach@
@electrician@|@leictreoir@
@electrocute@|@maraigh le leictreachas@
@electrode@|@leictreoid@
@elegant@|@maisiúil@
@element@|@dúil@
@elephant@|@eilifint@
@elevate@|@ardaigh@
@elevator@|@ardaitheoir@
@eleven@|@aon déag@
@elicit@|@bain as@
@eliminate@|@díbir@
@elongated@|@fadaithe@
@elope@|@éalaigh@
@eloquent@|@deaslabhartha@
@else@|@eile@
@elsewhere@|@in áit eile@
@elude@|@éalaigh@
@emaciated@|@snoite@
@emancipate@|@fuascail@
@embargo@|@lánchosc@
@embarkment@|@claífort@
@embarrass@|@cuir aiféaltas@
@embassy@|@ambasáid@
@embed@|@neadaigh@
@embellish@|@maisigh@
@embers@|@aibhleoga@
@embezzle@|@cúigleáil@
@embitter@|@cuir chun seirbhe@
@emblem@|@comhartha@
@embody@|@tabhair cruth@
@embrace@|@duine a theannadh le do chroí@
@embroider@|@bróidnigh@
@embryo@|@suth@
@emerald@|@smaragaid@
@emerge@|@tar as@
@emergence@|@nochtadh@
@emergency@|@éigeandáil@
@emigrant@|@eisimirceach@
@eminent@|@céimiúil@
@emissions@|@brúchtanna@
@emit@|@cuir as@
@emotion@|@mothúchán@
@emperor@|@impire@
@emphasis@|@béim@
@emphatic@|@láidir@
@empire@|@impireacht@
@employ@|@fostaigh@
@employment@|@fostaíocht@
@empress@|@banimpire@
@empty@|@folamh@
@emulate@|@aithris a dhéanamh ar dhuine@
@emulsion@|@eibhleacht@
@en route@|@ar an mbealach@
@enamel@|@cruan@
@enamoured@|@dúil a bheith agat i@
@enchant@|@cuir draíocht@
@encircle@|@téigh thart ar@
@enclose@|@fálaigh@
@encore@|@arís@
@encounter@|@teagmháil@
@encourage@|@tabhair misneach@
@encyclop(a)edia@|@ciclipéid@
@end@|@deireadh, deireadh@
@endanger@|@cuir i mbaol@
@endearing@|@tarraingteach@
@endeavour@|@iarracht@
@ending@|@críoch@
@endorse@|@droimscíobh@
@endure@|@fulaing@
@enemy@|@namhaid@
@energy@|@fuinneamh@
@enforce@|@feidhmigh@
@engage@|@fostaigh@
@engine@|@inneall@
@engineer@|@innealtóir@
@England@|@Sasana@
@English@|@Béarla, Sasanach@
@engrave@|@grean@
@engrossed@|@bheith sáite@
@engulf@|@slog@
@enhance@|@méadaigh@
@enigma@|@dúthomhas@
@enjoy@|@bain sult as@
@enlarge@|@méadaigh@
@enlighten@|@tabhair léargas@
@enlist@|@liostáil@
@enmity@|@naimhdeas@
@enormous@|@ábhalmhór@
@enough@|@dóthain, go leor@
@enrich@|@saibhrigh@
@enrol@|@cláraigh@
@enter@|@téigh isteach i@
@enterprise@|@fiontar, fiontar@
@entertain@|@déan sult@
@enthralled@|@faoi dhraíocht@
@enthusiasm@|@fon@
@entire@|@iomlán@
@entrance@|@bealach isteach@
@entrant@|@iontrálaí@
