@English@|@Armenian@
@listener@|@ÉëáÕ@
@listing@|@Ñ³ßí³·ñáõÙ, Ù³ñ¹³Ñ³Ù³ñ@
@literal@|@µ³é³óÇ, ï³é³óÇ@
@literal translation@|@µ³é³óÇ Ã³ñ·Ù³ÝáõÃÛáõÝ@
@literature@|@·ñ³Ï³ÝáõÃÛáõÝ@
@Lithuania@|@ÉÇïí³@
@Lithuanian@|@ÉÇïí³Ï³Ý, ÉÇïí³óÇ, ÉÇïíáõÑÇ@
@litter@|@Í»ñï, Ï»Õïáï»É@
@little@|@áñáß µ³Ý, ÷áùñ@
@little by little@|@³ëïÇ×³Ý³µ³ñ, Ï³Ù³ó Ï³Ù³ó@
@live@|@³åñ»É, µÝ³Ï»óÝ»É, µÝ³Ïí»É, Ï»Ýó³Õ@
@liver@|@ÉÛ³ñ¹@
@living abroad@|@ûï³ñáõÃÛáõÝ@
@lizard@|@ËÉ»½, ÙáÕ»ë@
@load@|@µ³ñÓ»É, µ»é, µ»éÝ»É, ·»µ»éÝ»É, Í³Ýñ³µ»éÝ»É@
@loading@|@µ»éÝáõÙ, Í³Ýñ³µ»éÝáõÙ@
@loaf@|@µáùáÝ@
@loan@|@Ýå³ëï, í³ñÏ@
@lobby@|@Ý³Ë³ëñ³Ñ@
@local@|@ï»Õ³óÇ@
@lock@|@ÏáÕå»Ï, Ù³½³÷áõÝç, ÷³Ï, ÷³Ï³Ýù, ÷³Ï»É@
@locker@|@Ñ³Ý¹»ñÓ³ñ³Ý@
@locomotive@|@ßá·»ù³ñß@
@lodge@|@ïÝ³Ï, ûÃÛ³Ï@
@loft@|@³Õ³íÝ³ïáõÝ, Ëáï³Ýáó, Ó»ÕÝ³Ñ³ñÏ, Ù³ñ³·@
@log@|@·»ñ³Ý, Ù³ñ½³·»ñ³Ý@
@logic@|@ïñ³Ù³µ³Ý³Ï³Ý, ïñ³Ù³µ³ÝáõÃÛáõÝ@
@logically@|@ïñ³Ù³µ³Ý³Ï³Ý ¿, ïñ³Ù³µ³Ýáñ»Ý@
@loin@|@·áïÏ³ï»Õ@
@lonely@|@Ù»Ý³Ï@
@long@|@»ñÏ³ñ, »ñÏ³ñ³ï»õ, ß³ñáõÝ³Ï³Ï³Ý, ï»õ³Ï³Ý@
@long live@|@Ï»óó»@
@long range@|@Ñ»é³Ñ³ñ@
@long since@|@í³Õáõó@
@longer@|@³í»ÉÇ »ñÏ³ñ@
@longitude@|@»ñÏ³ñáõÃÛáõÝ@
@long-term@|@µ³½Ù³ÙÛ³@
@look@|@¹Çï»É, »ñ»õ³É, Ý³Û»É@
@look back@|@»ï Ý³Û»É@
@loop@|@Ï³å, Ñ³Ý·áõÛó, ûÕ³Ï@
@lorry@|@µ»éÝ³ï³ñ@
@lose@|@Ï³ï³ñ»É, ï³ñí»É@
@lose the way@|@ÙáÉáñí»É@
@loss@|@Ïáñáõëï, Ïáñóñ³ÍÁ, ÏáñóÝ»ÉÁ, íÝ³ë@
@lot@|@ËáõÙµ Ù³ñ¹ÇÏ, ÑáÕ³Ù³ë, Ù³ëÝ³ù³Ý³Ï, ß³ï, íÇ×³Ï, íÇ×³Ï³Ñ³ÝáõÃÛáõÝ@
@lot ion@|@¹»Õ³Ãñçáó, Ãñçáó@
@lottery@|@íÇ×³Ï³Ë³Õ@
@loud@|@³ÕÙÏ³ñ³ñ, µ³ñÓñ³Ó³ÛÝ@
@loudspeaker@|@µ³ñÓñ³Ëáë@
@love@|@ë»ñ@
@lovely@|@Ñ³×»ÉÇ, ëÇñ³ÉÇñ, ëÇñ»ÉÇ@
@low@|@ó³Íñ, ó³Íñ³Ñ³ë³Ï@
@lower@|@ó³Íñ³óÝ»É@
@lowest@|@³Ù»Ý³ó³Íñ, ëïáñ³·áõÛÝ, ó³Íñ³·áõÛÝ@
@lowland@|@ó³Íñ³¹Çñ í³Ûñ@
@luggage@|@áõÕ»µ»é@
@luggage rack@|@µ»éÝ³ËóÇÏ@
@lull@|@³Ý¹áñ, ÉéáõÃÛáõÝ, Ñ³Ý¹³ñïáõÃÛáõÝ@
@lullaby@|@ûñáñ@
@lump@|@µ»Ïáñ, ·áõÕÓ, ·áõÝ¹, Ïáßï, Ïïáñ, ÏáõÝÓ@
@lunatic@|@Ë»É³·³ñ, Ë»ÝÃ, óÝáñí³Í@
@lunch@|@»ñÏñáñ¹ Ý³Ë³×³ß@
@lung@|@Ãáù»ñ@
@lungs@|@Ãù»É@
@lustre@|@ç³Ñ@
@luxury@|@ßù»ÕáõÃÛáõÝ@
@lyrics@|@ùÝ³ñ³Ï³Ý »ñÏ, ùÝ³ñ»ñ·áõÃÛáõÝ@
@macaroni@|@Ù³Ï³ñáÝ@
@machine@|@Ù»ù»Ý³@
@machine gun@|@·Ý¹³óÇñ@
@machine tool@|@Ñ³ëïáó@
@machinist@|@Ù»ù»Ý³í³ñ@
@mackerel@|@ÃÙñ³¹»Õ@
@mad@|@Ï³ï³Õ³Í@
@madam@|@ïÇÏÇÝ@
@magazine@|@³Ùë³·Çñ, Ñ³Ý¹»ë@
@magic@|@Ï³Ë³ñ¹³Ï³Ý@
@magician@|@³×å³ñ³ñ, Ï³Ë³ñ¹, Ó»éÝ³Íáõ@
@magnanimous@|@Ù»Í³Ñá·Ç, í»Ñ³ÝÓÝ@
@magnet@|@Ù³·ÝÇë@
@magnificent@|@ÑÇ³Ý³ÉÇ, ÑáÛ³Ï³å, ×áÕ, ßù»Õ, ÷³é³Ñ»Õ, ÷³ñÃ³Ù@
@magnify@|@Ù»Í³óÝ»É@
@magnitude@|@Ù»ÍáõÃÛáõÝ@
@magpie@|@³ÝÍ»Õ, Ï³ã³Õ³Ï@
@maid@|@ûñÇûñ¹@
@maidenhood@|@ûñÇûñ¹áõÃÛáõÝ@
@mail@|@÷áëï, ÷áëï³ÛÇÝ@
@main@|@·ÉË³íáñ@
@maintain@|@ß³Ñ³·áñÍ»É@
@maintenance@|@³å³ÑáíáõÃÛáõÝ, ³å³ÑáíáõÙ@
@majestic@|@í»ñ, í»Ñ³ëù³Ýã@
@major@|@Ù»Í@
@majority@|@Ù»Í³Ù³ëÝáõÃÛáõÝ, ã³÷³Ñ³ëáõÃÛáõÝ@
@make@|@³é³ç³ñÏ»É, Ï³½Ù»É, ë³ñù»É, ëï»ÕÍ»É@
@make friends@|@µ³ñ»Ï³Ù³Ý³É@
@make out@|@Ó»õ³Ï»ñå»É@
@make the way@|@Ùáõïù ·áñÍ»É@
@make-up@|@·ñÇÙ, ¹ÇÙ³Ñ³ñ¹³ñáõÙ@
@make-up artist@|@¹ÇÙ³Ñ³ñ¹³ñ@
@malaise@|@í³ï³éáÕçáõÃÛáõÝ@
@male@|@³ñáõ, áñÓ, í³ñáõÅ³Ý@
@malefactor@|@ã³ñ³·áñÍ@
@malfunctions@|@³Ýë³ñùáõÃÛáõÝÝ»ñ, Ã»ñáõÃÛáõÝÝ»ñ@
@malicious@|@ã³ñ, ã³ñ³ÙÇï@
@malnutrition@|@Ã»ñ³ëÝáõÙ@
@mammal@|@Ï³ÃÝ³ëáõÝÝ»ñ@
@man@|@ïÕ³Ù³ñ¹@
@manage@|@·ÉáõË ·³É, Ï³ñáÕ³Ý³É, í³ñ»É@
@management@|@Õ»Ï³í³ñáõÃÛáõÝ, Õ»Ï³í³ñáõÙ@
@manager@|@Ï³é³í³ñÇã@
@mane@|@µ³ß@
@manhood@|@³ñÇáõÃÛáõÝ, ËÇ½³ËáõÃÛáõÝ@
@mania@|@ÙáÉ³·³ñáõÃÛáõÝ@
@manipulation@|@Ýß³ÏáõÙ@
@mankind@|@Ù³ñ¹ÏáõÃÛáõÝ@
@manner@|@·áñÍ»É³Ï»ñå@
@manoeuvre@|@½ÇÝ³í³ñÅáõÃÛáõÝÝ»ñ, ½áñ³Ë³Õ»ñ, ½áñ³ß³ñÅ@
@manor@|@Ï³Éí³Íù@
@man's@|@ïÕ³Ù³ñ¹áõ, ïÕ³Ù³ñ¹Ï³ÛÇÝ@
@manual@|@Ó»éùáí, Ó»éùÇ, Ó»éÝ³ñÏ@
@manufacture@|@³ñï³¹ñáõÃÛáõÝ, ³ñï³¹ñáõÙ@
@manure@|@·áÙ³Õµ, ÃñÇù@
@manuscript@|@Ó»é³·Çñ@
@many@|@µ³½ÙáõÃÛáõÝ, ß³ï»ñÁ, ß³ïáõÃÛáõÝ@
@map@|@ù³ñï»½@
@maple@|@ÃËÏÇ@
@marble@|@Ù³ñÙ³ñ@
@march@|@³ñß³í³Ýù, »ñÃ, ÁÝÃ³óù, ë³ÑÙ³Ý³·ÉáõË, ù³ÛÉ»ñ·@
@mare@|@½³ÙµÇÏ, Ù³ï³Ï@
@margin@|@»½ñ, Í³Ûñ@
@marine@|@Íáí³ÛÇÝ, ÍáíÇ@
@mark@|@·ñ³éáõÙ, ¹ÇåáõÏ, ¹ñáßÙ, ÃÇñ³Ë, Ãí³Ýß³Ý, ÏÝÇù, Ñ»ïù, Ø³ñÏ, ÝÇß, Ýß³Ý, Ýß³Ý, Ýß³Ý³Ï»ï, Ýß³Ý³Ï»ïÇÝ Ë÷»É, ÝßáõÙ, åÇï³Ï, íñÇå»É@
@marked down@|@¿Å³Ý³óí³Í@
@market@|@ßáõÏ³@
@marriage@|@³ÙáõëÝáõÃÛáõÝ, Ñ³ñë³ÝÇù@
@married@|@³ÙáõëÝ³ó³Í@
@marsh@|@³ßÝ³Ý³í³ñ, óñï³Ñ»ñÏ@
@mash@|@ËÛáõë@
@mask@|@¹ÇÙ³Ï@
@masquerade@|@¹ÇÙ³Ï³Ñ³Ý¹»ë@
@mass@|@½³Ý·í³Í³ÛÇÝ@
@massacre@|@Ïáïáñ³Í, ç³ñ¹@
@massage@|@Ù»ñë»É, Ù»ñëáõÙ@
@masses@|@µ³½ÙáõÃÛáõÝ, ½³Ý·í³ÍÝ»ñ@
@massive@|@½³Ý·í³Í, Ëáßáñ, íÇÃË³ñÇ@
@mast@|@¹ñáß³Ï³ëÛáõÝ, Ï³ÛÙ, Ý³í³Ï³ÛÙ@
@master@|@í³ñå»ï, ïÇñ³å»ï»É@
@masterly@|@íÇñïáõá½@
@masterpiece@|@·ÉáõË ·áñÍáó@
@mat@|@ËëÇñ@
@mat-bag@|@å³ñÏÇÏ, ïå³ñ³Ý@
@match@|@ÉáõóÏÇ, Ùñó»í³½ù, å³ïñáõÛ·@
@matchmaker@|@ËÝ³Ù³Ëáë@
@material@|@ÝÛáõÃ@
@mathematical@|@Ù³Ã»Ù³ïÇÏ³Ï³Ý@
@mathematics@|@Ù³Ã»Ù³ïÇÏ³, Ù³Ã»Ù³ïÇÏáë@
@matinee@|@ó»ñ»ÏáõÛÃ@
@matriculating student@|@¹ÇÙáñ¹@
@matter@|@·áñÍí³Íù, Ï»ñå³ë, Ù³ï»ñÇ³@
@mattress@|@Ý»ñùÝ³Ï@
@mature@|@Ñ³É³Í, Ñ³ëáõÝ@
@maturity@|@Ñ³ëáõÝáõÃÛáõÝ@
@mausoleum@|@¹³Ùµ³ñ³Ý@
@maximal@|@³é³í»É³·áõÛÝ@
@maximum@|@µ³ñÓñ³·áõÛÝ@
@may@|@Ù³ÛÇë@
@maybe@|@·áõó»@
@mayor@|@ù³Õ³ù³å»ï@
@me@|@»ë@
@meadow@|@Ù³ñ·³·»ïÇÝ@
@meal@|@áõï»ÉÇ@
@mean@|@³Ý³ñ·, ·³ñß»ÉÇ, »ÝÃ³¹ñ»É, ½³½ñ»ÉÇ, ½½í»ÉÇ, ÝáÕÏ³ÉÇ, ëïáñ, ó³Í@
@meander@|@·³É³ñí»É@
@meaning@|@µáí³Ý¹³ÏáõÃÛáõÝ, ÇÙ³ëï, Ýß³Ý³ÏáõÃÛáõÝ@
@meanly@|@ëï³ñ³µ³ñ, ëïáñáõÃÛáõÝ ¿@
@measles@|@Ï³ñÙñáõÏ@
@measure@|@ã³÷, ã³÷»É, ã³÷ë, ã³÷áõÙ@
@mechanic@|@÷³Ï³Ý³·áñÍ@
@mechanical@|@Ù»Ë³ÝÇÏ³Ï³Ý, Ù»ù»Ý³Û³Ï³Ý@
@mechanical engineering@|@Ù»ù»Ý³ßÇÝáõÃÛáõÝ@
@mechanism@|@Ù»Ë³ÝÇ½Ù@
@mechanization@|@Ù»ù»Ý³Û³óáõÙ@
@medal@|@ÏñÍù³Ýß³Ý, Ù»¹³É@
@medical@|@µÅßÏ³Ï³Ý, µáõÅ³Ï³Ý@
@medical assistant@|@µáõÅ³Ï@
@medicine@|@µÅßÏ³·ÇïáõÃÛáõÝ, µÅßÏáõÃÛáõÝ, ¹»Õ, ¹»Õ³ÙÇçáó@
@medicine bottle@|@ëñï³éáõã@
@meeting@|@ËáñÑñ¹³ÏóáõÃÛáõÝ, Ñ³Ý¹ÇåáõÙ, Ñ³í³ù@
@megaphone@|@Ëáë³÷áÕ@
@melancholy@|@Ã³ËÍáï, Ï³ñáï@
@melodious@|@Ù»Õ»¹³ÛÇÝ@
@melody@|@Ù»Õ»¹Ç@
@melon@|@ë»Ë@
@melted@|@Ñ³É³Í@
@member@|@³Ý¹³Ù@
@membership@|@³Ý¹³ÙÇ@
@memoirs@|@ÑÇßáÕáõÃÛáõÝ@
@memorable@|@ÑÇß³ï³Ï»ÉÇ, ÑÇß³ñÅ³Ý@
@memorial@|@Ñáõß³Ï³éáõÛó@
@memory@|@ÑÇß³ï³Ï, ÑÇßáÕáõÃÛáõÝ@
@menace@|@ëå³éÝ³É, ëå³éÝ³ÉÇù@
@mental@|@Ñá·»Ï³Ý@
@mentally@|@Ñá·»å»ë@
@mention@|@ßáß³÷»É, íÝ³ë»É@
@menu@|@×³ß³óáõó³Ï@
@mercenary@|@ß³Ñ³¹Çï³Ï³Ý, ß³Ñ³ÙáÉ, í³ñÓÏ³Ý@
@mercury@|@ëÝ¹ÇÏ@
@mercy@|@·ÃáõÃÛáõÝ, ÃáõÃù, Ï³ñ»ÏóáõÃÛáõÝ, Ý»ñáÕáõÃÛáõÝ, áÕáñÙ³ÍáõÃÛáõÝ@
@merit@|@³ñÅ³ÝÇù, Í³é³ÛáõÃÛáõÝ, í³ëï³Ï@
@mermaid@|@çñ³Ñ³ñë@
@message@|@Ñ³Õáñ¹áõÙ, áõÕ»ñÓ@
@messages@|@áõÕ»Ïó»É@
@metal@|@Ù»ï³Õ@
@metallurgy@|@Ù»ï³Õ³·áñÍáõÃÛáõÝ@
@metalworker@|@Ù»ï³Õ³·áñÍ@
@meteorological@|@û¹»ñ»õáõÃ³µ³Ý³Ï³Ý@
@meteorology@|@û¹»ñ»õáõÃ³µ³ÝáõÃÛáõÝ@
@meter@|@Ù»ïñ@
@method@|@Ù»Ãá¹@
@metric@|@ã³÷³Íá@
@Mexico@|@Ø»ùëÇÏ³@
@microscope@|@Ù³Ýñ³¹Çï³Ï@
@midday@|@Ï»ëûñ@
@middle@|@Ï»ÝïñáÝ, Ù»çï»Õ@
@midnight@|@Ï»ë·Çß»ñÇÝ@
@midwife@|@Ù³ÝÏ³µ³ñÓáõÑÇ@
@mighty@|@½áñ»Õ, Ñ½áñ@
@migrate@|@í»ñ³µÝ³Ï»óí»É@
@mild@|@µ³ñ»Ë³éÁ, ¹áõñ»Ï³Ý, ÃáõÛÉ³ïñ»É, Ñ³Ù»ëï, Ñ»½, Ù»ÕÙ, áã ëáõñ, ã³÷³íáñ@
@mildew@|@µáñµáë@
@mile@|@ÙÕáÝ@
@militarization@|@é³½Ù³Ï³Ý³óáõÙ@
@militarize@|@é³½Ù³Ï³Ý³óÝ»É@
@military man@|@µ³Ý³Ï³ÛÇÝ, ½ÇÝíáñ³Ï³Ý@
@milk@|@Ï³Ã@
@milkmaid@|@ÏÃíáñáõÑÇ@
@milkman@|@ÏÃíáñ@
@mill@|@³Õ³ó, çñ³Õ³ó@
@millennium@|@Ñ³½³ñ³ÙÛ³Ï@
@millet@|@Ïáñ»ÏÇ Ó³í³ñ@
@mimicry@|@¹ÇÙ³ß³ñÅáõÃÛáõÝ, ÙÝç³Ë³Õ@
@mind@|@Ë»Éù, Ï³ñÍÇù@
@mine@|@³Ï³Ý, ¹»ÙÉùÇ ³ñï³Ñ³ÛïáõÃÛáõÝ, ÇÙÁ, Ñ³Ýù, Ñ³Ýù³í³Ûñ, Ñ³Ýù³ï»Õ, Ñ³Ýù³Ñáñ@
@miner@|@É»éÝ³·áñÍ, Ñ³Ùù³·áñÍ, Ñ³Ýù³÷áñ@
@mineral@|@Ñ³Ýù, Ñ³Ýù³ÛÇÝ, Ñ³Ýù³ÝÛáõÃ@
@minimal@|@³Ù»Ý³÷áùñ, ³Ù»Ý³ùÇã, Ýí³½áõ·áõÛÝ@
@mining@|@Ñ³ÝáõÛÃ@
@mink@|@³½Ýí³ùÇë, çñ³ùÇë@
@minor@|@»ñÏñáñ¹³Ï³Ý@
@minority@|@÷áùñ³Ù³ëÝáõÃÛáõÝ@
@mint@|@³Ý³ÝáõË@
@minus@|@Ñ³Ý³Í@
@minute@|@ñáå»@
@miracle@|@Ññ³ß³ÉÇù, Ññ³ßù@
@mirror@|@Ñ³Û»É³ÛÇÝ, Ñ³Û»ÉÇ@
@mischievous@|@ã³ñ³ËÇÝ¹@
@miserable@|@Ë»Õ×@
@misfortune@|@¹Åµ³ËïáõÃÛáõÝ@
@miss@|@Ï³ñáï»É, íñÇå»É, íñÇåáõÙ@
@missing@|@µ³ó³Ï³ÛáÕ, Ã»ñÇ, Ïáñ³Í, å³Ï³ëáÕ@
@mission@|@³é³ù»ÉáõÃÛáõÝ@
@mist@|@Ùßáõß@
@mister@|@å³ñáÝ@
@mistrust@|@³Ýíëï³ÑáõÃÛáõÝ, Ã»ñ³Ñ³í³ïáõÃÛáõÝ@
@misunderstanding@|@³ÝÁµéÝáÕáõÃÛáõÝ, ÃÛáõÝÇÏ §ÓáõÏ¦, ãÁÙµéÝ»ÉÁ, ãÑ³ëÏ³Ý³ÉÁ@
@misuse@|@ã³ñ³ß³Ñ»É@
@mite@|@×áõïÇÏ, ÷ßáõñ, ÷ßñ³Ýù@
@mittens@|@Ã³ÃÙ³Ý, Ó»éÝáó@
@mix@|@Ë³éÝ»É, Ë³éÝáõñ¹@
@mixed@|@Ë³éÝ@
@moan@|@ïÝùáó@
@mobile@|@ß³ñÅ³Ï³Ý, ßñçÇÏ@
@mobilization@|@½áñ³Ñ³í³ù@
@mobilize@|@é³½Ù³Ï³Ý³óÝ»É@
@mode@|@Ï»Ýë³Ï³ñ·, é»ÅÇÙ, í³ñã³Ï³ñ·@
@model@|@Ó»õ³ÝÙáõß, ïÇå³ñ@
@modelling@|@Í»÷³Ï»ñïáõÙ@
@moderate@|@ã³÷³íáñ@
@modern@|@Å³Ù³Ý³Ï³ÏÇó@
@modest@|@Ñ³Ù»ëï, å³ñÏ»ßï@
@moisture@|@Ã³óáõÃÛáõÝ, ËáÝ³íáõÃÛáõÝ@
@mole@|@Ë³É, ËÉáõñ¹@
@moment@|@³ÏÝÃ³ñÃ, å³ñ@
@momentary@|@ñáå»³Ï³Ý@
@Monday@|@»ñÏáõß³µÃÇ@
@money@|@¹ñ³Ù, ¹ñ³Ù³Ï³Ý, ÷áÕ@
@monkey@|@Ï³åÇÏ@
@monopoly@|@Ù»Ý³ßÝáñÑ@
@month@|@³ÙÇë@
@monthly@|@³Ùëí³@
@monthly journal@|@³Ùë³·Çñ@
@monument@|@ÏáÃáÕ, Ñáõß³ñÓ³Ý@
@mood@|@ïñ³Ù³¹ñáõÃÛáõÝ@
@moon@|@ÉáõëÇÝ@
@moor@|@Ï³é³Ý»É@
@mooring@|@Ï³é³Ý, ×áå³Ý, Ý³í³Ù³ïáõÛó@
@moral@|@µ³ñáÛ³Ëáë³Ï³Ý, µ³ñáÛ³Ï³Ý, µ³ñáÛ³Ï³ÝáõÃÛáõÝ@
@morals@|@µ³ñáÛ³ËáëáõÃÛáõÝ, µ³ñáÛ³Ï³ÝáõÃÛáõÝ@
@moratorium@|@³éÏ³ËáõÙ@
@more@|@³í»ÉÇ@
@more often@|@³í»ÉÇ Ñ³×³Ë@
@more than@|@³í»ÉÇ@
@morgue@|@¹Ç³ñ³Ý@
@morning@|@³é³íáï@
@mortal@|@Ù³Ñ³óáõ@
@mortar@|@³Ï³Ý³Ý»ï@
@Moslem@|@ÙáõëáõÉÙ³Ý, ÙáõëáõÉÙ³Ý³Ï³Ý@
@mosquito@|@ÙáÍ³Ï@
@moss@|@Ù³Ùáõé@
@most@|@³Ù»Ý³ß³ï@
@moth@|@ó»ó, áõïÇ×@
@mother@|@Ù³Ûñ@
@mother-in-law@|@½áù³Ýã, ëÏ»ëáõñ@
@motion@|@ß³ñÅáõÙ@
@motionless@|@³Ýß³ñÅ@
@motivate@|@÷³ëï³ñÏ»É@
@motive@|@ÙáïÇí, ß³ñÅ³éÇÃ, å³ï×³é@
@motley@|@·áõÛÝ½·áõÛÝ, »ñ÷Ý»ñ³Ý·, Ë³Ûï³µÕ»ï@
@motor@|@Ùáïáñ, ß³ñÅÇã@
@motorway@|@Ù³ÛñáõÕÇ@
@motto@|@Ýß³Ý³µ³Ý@
@mould@|@µáñµáë, Í»÷»É, Ï³Õ³å³ñ@
@mount@|@ï»Õ³¹ñ»É, ï»Õ³Ï³Û»É@
@mountain@|@É»é, ë³ñ@
@mountain ash@|@³ñáë»ÝÇ, ³ñç³Í³é, ëÝÓ»ÝÇ@
@mountain climbing@|@É»éÝ³·Ý³óáõÃÛáõÝ@
@mountain range@|@É»éÝ³ßÕÃ³@
@mourning@|@ë·á, ëáõ·@
@mouse@|@ÙáõÏ@
@moustache@|@µ»Õ»ñ@
@mouth@|@µ»ñ³Ý@
@mouthpiece@|@ÍË³ù³ñß, ÍË³÷áÕ@
@move@|@·áÕÃ»óÝ»É, ÁÝÃ³Ý³É, Ùáï µ»ñ»É, Ùáï»óÝ»É, ß³ñÅ»É, í»ñ³µÝ³Ï»óí»É, í»ñ³µÝ³Ï»óÝ»É, ï»Õ³÷áË»É, ï»Õ³÷áËí»É, ï»Õ³ß³ñÅ»É@
@move down@|@ó³Í ÇçÝ»É@
@movement@|@ß³ñÅáõÙ, ï»Õ³÷áËáõÃÛáõÝ, ï»Õ³÷áËáõÙ, ï»Õ³ß³ñÅáõÙ@
@moving@|@³ÝóáõÙ@
@mower@|@ËáïÑ³ñ Ù»ù»Ý³, ÑÝÓÇã@
@much@|@ß³ï, ß³ï µ³Ý@
@muddy@|@³Õáï, ÙÃ³·Ý³Í, åÕïáñ@
@muffin@|@µáõÉÏ³@
@muffle@|@Ë»Õ¹»É §Ó³ÛÝÁ¦, ËÉ³óÝ»É, ÷³Ã³Ã»É@
@muffler@|@ËÉ³óáõóÇã@
@mug@|@·³í³Ã, ·³í³ÃÇÏ, ¹áõÝã@
@mulberry@|@ÃáõÃ³Ï@
@mule@|@çáñÇ@
@multi-collared@|@·áõÛÝ½·áõÛÝ@
@multinational@|@µ³½Ù³½·@
@multiplicity@|@µ³½Ù³½³ÝáõÃÛáõÝ@
@multiply@|@µ³½Ù³å³ïÏ»É, µ³½Ù³óÝ»É@
@multisignificant@|@µ³½Ù³Ýß³Ý³Ï³ÉÇó@
@multi-storey@|@µ³½Ù³Ñ³ñÏ@
@mum@|@Ù³ÛñÇÏ@
@mumps@|@Ëá½áõÏ@
@murder@|@ëå³ÝáõÃÛáõÝ@
@murdered@|@ëå³Ýí³Í@
@murderer@|@Ù³ñ¹³ëå³Ý@
@murderous@|@Ù³Ñ³µ»ñ@
@murmur@|@Ï³ñÏ³ã»É@
@museum@|@Ã³Ý·³ñ³Ý@
@mushroom@|@ëáõÝÏ@
@music@|@»ñ³ÅßïáõÃÛáõÝ@
@musical@|@»ñ³Åßï³Ï³Ý@
@musician@|@»ñ³ÅÇßï, Ýí³·áÕ@
@musketeer@|@Ññ³ó³Ý³ÏÇñ@
@mustard@|@Ù³Ý³Ý»Ë@
@mute@|@Ñ³Ùñ@
@muteness@|@Ñ³ÙñáõÃÛáõÝ@
@mutiny@|@ËéáíáõÃÛáõÝ@
@mutton@|@áãË³ñÇ ÙÇë@
@mutual@|@»ñÏáõëï»ù, ÷áË³¹³ñÓ@
@mutually exclusive@|@Çñ³ñ³Ù»ñÅ@
@muzzle@|@¹Ýã³Ï³É@
@my@|@ÇÙ@
@myself@|@ÇÝÓ, ÇÝùë@
@mysterious@|@³é»ÕÍí³Í³ÛÇÝ, ËáñÑñ¹³íáñ, Í³ÍáõÏ, Ñ³Ý»ÉáõÏ³ÛÇÝ@
@myth@|@³é³ëå»É@
@nail@|@»ÕáõÝ·, Ù»Ë@
@naive@|@¹Ûáõñ³Ñ³í³ï, å³ñ½³ÙÇï@
@naked@|@Ù»ñÏ, Ù»ñÏ³å³ñ³Ýáó, Ù»ñÏ³óí³Í@
@name@|@³ÝáõÝ, Ëáñ³·Çñ, Ý»ñÏ³Û³óÝ»É, í»ñÝ³·Çñ@
@namesake@|@³½·³Ýí³Ý³Ý³ÏÇó, ³Ýí³Ý³ÏÇó@
@nanny goat@|@³ÛÍ@
@nape@|@ÍáÍñ³Ï@
@napkin@|@³ÝÓ»éáóÇÏ@
@narrow@|@Ý»Õ, Ý»Õ³óÝ»É@
@nation@|@³½·@
@national@|@³½·³ÛÇÝ, ÅáÕáíñ¹³Ï³Ý, Ñ³Ù³½·³ÛÇÝ,@
@nationalism@|@³½·³ÛÝ³Ï³ÝáõÃÛáõÝ, ³½·³ÛÝ³ÙáÉáõÃÛáõÝ@
@nationalist@|@³½·³ÛÝ³ÙáÉ@
@nationality@|@³½·áõÃÛáõÝ@
@nationalization@|@³½·³ÛÝ³óáõÙ@
@nationalize@|@³½·³ÛÝ³óÝ»É, å»ï³Ï³Ý³óÝ»É@
@native@|@µÝÇÏ, Ñ³ñ³½³ï@
@native land@|@Ñ³Ûñ»ÝÇù@
@natty@|@½áõ·í³Í, ßù»Õ, ïáÝ³Ï³Ý@
@natural@|@µÝ³Ï³Ý, ûñÇÝ³ã³÷@
@natural science@|@µÝ³·ÇïáõÃÛáõÝ@
@naturally@|@µÝ³Ï³Ý@
@nature@|@µÝ³íáñáõÃÛáõÝ, µÝáõÃÛáõÝ@
@naughty kid@|@ã³ñ³××Ç@
@nausea@|@ëñïË³éÝáõÃÛáõÝ@
@navigable@|@Ý³í³ñÏ»ÉÇ@
@navigation@|@Ý³í³·Ý³óáõÃÛáõÝ, Ý³í³ñÏáõÃÛáõÝ@
@near@|@ÏáÕùÁ, ÏáÕùÇÝ, Ùáï, ÙáïÁ, ÙáïÇí, áã Ñ»éáõ@
@nearby@|@Ùáï³Ï³ÛùáõÙ, ÙáïÇí@
@neat@|@ÏáÏÇÏ, Ù³ùáõñ@
@necessarily@|@³Ï³Ù³ÛÇó, Ñ³ñÏ³¹ñí³Í, ëïÇåí³Í@
@necessary@|@³ÝÑñ³Å»ßï, å³ñï³¹Çñ, å»ïù³Ï³Ý, å»ïù »ÏáÕ@
@necessity@|@³ÝÑñ³Å»ßïïáõÃÛáõÝ@
@neck@|@å³ñ³Ýáó, íÇ½@
@necklace@|@Ù³ÝÛ³Ï@
@need@|@³Õù³ïáõÃÛáõÝ, ³ÝÑñ³Å»ßïïáõÃÛáõÝ, Ï³ñÇù, å³Ñ³Ýç, å»ïù@
@needle@|@³ë»Õ, ÷ß³ï»ñ»õ@
@needlework@|@³ë»ÕÝ³·áñÍáõÃÛáõÝ, Ó»é³·áñÍ@
@negative@|@µ³ó³ë³Ï³Ý, Ù»ñÅáÕ³Ï³Ý@
@neglect@|@³Ýï»ë»É, ³ñÑ³Ù³ñÑáõÙ, µ³ÝÇ ï»Õ ã¹Ý»É@
@negligent@|@³ÝÑá·, ³Ý÷áõÛÃ@
@negotiation@|@µ³Ý³ÏóáõÃÛáõÝ@
