@English@|@Mizo@
@malt rice for brewing@|@khal zu'huh, khal zu'hup@
@man who practices sodomy@|@tuai@
@manage anyhow@|@tla rawk, tlat rawk@
@manner@|@daan@
@manure@|@a-lut, lut@
@many@|@zát@
@marrow@|@thling@
@masculine of fowls@|@hlui@
@meagre@|@nép@
@measure@|@hrai, tuha-zawn@
@measure of time@|@tuibûr hmuam da@
@measurement of quantity@|@tuibûr hmuam zât@
@medium growth@|@tuai@
@meet with@|@took@
@meet with an accident@|@tlûk sual bah palh tawh, tlûk sual bah palh tawk@
@men and women@|@a hmei a pa, a hmei a pain@
@middle part of a woman's pipe@|@tuibûr lai@
@mildew@|@hmuar@
@mire@|@diak@
@mist@|@chhúm, tui khu@
@mix any liquid food@|@chom@
@mollify@|@tlawn lung-awi@
@month@|@Thla@
@moon@|@Thla@
@more than is necessary@|@a chuang a liamin@
@more than others@|@a hlei-hluakin@
@morning@|@tûk, tuuk@
@mosquito@|@kraang@
@mother@|@anu, nu@
@mountain@|@tlâng@
@movements@|@tuan@
@much@|@bar, tam, te'@
@mucus of the nose@|@hnap@
@murder@|@tual 'thah@
@muscle@|@taal@
@mushroom@|@ki-mu@
@name@|@hming@
@name given to the anti-christ@|@tlâng lâm zai@
@name of a bushy shrub@|@kham-thei@
@name of a cricket@|@khau hnah-chang@
@name of a dragon-fly@|@tui-the@
@name of a fabulous creature@|@ók@
@name of a grasshopper@|@khau bawppui tial, khau chempai, khau hmêl tha, khau lu zum, khau mam, khau nalh, khau pawi, khau phar, khau pûm-dêng, khau sa-um, khau sakhi, khau sanghar, khau saum bûr, khau sazuk, khau sêp, khau siksîl, khau ût@
@name of a green cricket@|@khau hnah-thel, thlor@
@name of a jointed creep plant@|@dóng@
@name of a large black crab@|@ai kam@
@name of a large closely basket@|@tlâm êm@
@name of a large grasshopper@|@khau êk thingthial, khau êka thing-thial@
@name of a large tree@|@long@
@name of a Lushai river@|@Tui-châng@
@name of a non-edible yam@|@hra kai suak@
@name of a river@|@Tui-vawl@
@name of a sacrifice@|@tual-hring@
@name of a skin disease@|@tui-thak@
@name of a small crab@|@ai-tê@
@name of a small grasshopper@|@khau fian@
@name of a small green cricket@|@khau ser@
@name of a small pool@|@tui-va-mit@
@name of a small tree@|@tui-hlo@
@name of a sp. of rice@|@hmor-háng@
@name of a species of maize@|@Tlânglau vaimîm@
@name of a straggling shrub@|@berh-nam, buarzâm, pholêng, tlângsâm hlo@
@name of a tree@|@hleng, tlang-tla, tuaitît suak, tuaitît suak, tual-ram@
@name of a tree (1)@|@tu-far@
@name of a tree bearing flowers@|@ai-nawn@
@name of a tree with showy red@|@khau-khim@
@name of a tribe of Lushai Hill@|@Tlâng-lau@
@name of a water turtle@|@tui satel@
@name of an iridescent beetle@|@tleng-tle@
@name of the Barak river@|@Tui-ruang@
@name of the Sonai river@|@Tui-rial@
@near@|@chil', hnai, hnai'@
@nearly dry@|@hil@
@neck@|@ring@
@need@|@tlákbalna@
@neither@|@a eng lam lam mah, a eng lam mah mah@
@neither of them@|@a eng mah@
@nephew@|@phili@
@nest@|@thip@
@nevertheless@|@a hrim rêngin, a rêng rêngin, engpawh ni sela@
@next@|@a dawtah, a dawtah chuan@
@next after that@|@a dawt lehah, a dawt lehah chuan@
@next year@|@nak-kum@
@nice@|@tui@
@nicotine@|@tuibûr êk@
@night@|@ng-ya, yan, zán@
@nine@|@kua kaw, pa-kua@
@nominative inflexion of kha@|@kha . . . khân@
@north and south@|@a chhim a hmar, a chhim a hmarin@
@nose@|@hna, hnár@
@not@|@ma', mák'@
@not anything about it@|@a eng a khaw . . . lo, a eng a khaw mah@
@not only . . . but@|@a hmanah@
@not possess the usual ornament@|@tlîng-ruak@
@not yet boiled with rice@|@tluak@
@now@|@tu@
@obtain@|@nei@
@occasion@|@tum@
@occasionally@|@a changin@
@occasionally like@|@a thlawnin@
@occupy@|@lua'@
@offer@|@pe'@
@often@|@fô@
@Oh brother!@|@ah khaih!, aw khaih!, awh khaih!, e khaih!, eh khaih!@
@old enough to work@|@tuha hêm rual@
@on precipice@|@kham karah@
@on the third morning@|@tûk thum tûkah@
@one@|@khat, pakhat@
@one after the other@|@a in-dawtin@
@one belonging there@|@khata mi@
@one class@|@ai khat@
@one of one's good mornings@|@tûk'tha@
@one of the two varieties@|@khar duap@
@one or the other@|@a eng ve ve pawh@
@one who feasts his fellow@|@tlâng hrai@
@one who plays with@|@khaltu@
@one who's at the constant beck@|@tirh-kah'tirh-kah@
@one's private parts exposed@|@sual@
@only nominally@|@a hming chauhvin, a hming pu chauhvin@
@open as a flower@|@par'@
@operculum of a snail's shell@|@khar-khe-rem@
@ordinary muzzle-loading gun@|@tu-ki-li@
@otter@|@hram, sa-hram@
@outside in the open@|@tualah@
@owl@|@-khu, -ku@
@own@|@mi@
@ownerless@|@tho@
@paddy@|@hram kawn@
@parrot@|@va-ki@
@part behind the abdomen@|@él@
@partially dry@|@ai, ai chawt, aichawt@
@partridge@|@Kha@
@pastime@|@khawhar hnemna@
@Pawi who lives among the Mizo@|@Tual Pawi@
@pay attention to@|@khon@
@pay court to@|@riim@
@pearl@|@tuikep lung@
@pendulous fruit-bearing branch@|@suur@
@penis@|@yang@
@people@|@mi@
@people of highlands@|@mizo@
@person belonging to the county@|@tual-chhûng, tual khat, tualchhûng mi, tualchhûnga mi@
@picking one's nails@|@tin kheuh-vin@
@piece of meat@|@hrang khat@
@pierce@|@chiu@
@pigeon@|@thu-mi@
@pile up@|@chhe', chhep@
@pipeline for conveying@|@tui lakna dawt@
@place@|@da'@
@place anything long horizontal@|@khan, khang@
@place creeper in the water@|@aibuh' chiah@
@place in a horizontal position@|@kham-phei@
@place together@|@khóm, M-khom@
@place where a stream flows@|@tui-lût@
@place where one is received@|@tui-tlakna@
@place where water eddies@|@tla-ser@
@plateau@|@tlang-zawl@
@platform in a Lushai house@|@tui-chhuar@
@play a musical instrument@|@tum@
@play at a game@|@tlawh@
@play with@|@chhai'@
@pleasant to the taste@|@sim@
@point@|@hmúr@
@pond@|@diil@
@popular@|@tlâng-lâwn@
@porcupine@|@ku'@
@possess power of fascinating@|@ai' nei, ai' neih@
@possibility@|@theihna@
@possible@|@theih@
@pot for heating water@|@tui lum bêl@
@pot for morning and noon food@|@tuk thuan bêl@
@practise self-sacrifice@|@tlawmngaih chhuah, tlawmngaihna@
@press with the finger@|@hme', hmet@
@prevent@|@daal@
@prime of one's young manhood@|@tlangval that lai@
@protuberance at the back@|@tukkhum ko@
@public knowledge@|@tlâng hriat@
@public opinion@|@tlâng thu@
@public work@|@tlâng hna@
@pumpkin@|@úm@
@punch@|@chum, chuum@
@punctually@|@a hun takah@
@punish@|@hree@
@pupa especially of the cicada@|@vual@
@purple hills@|@tlâng dum@
@push against@|@nék@
@put a bad construction upon@|@a chhe lamah'la, a chhe lamah'lak, a chhe zawnga'la, a chhe zawngala'lak@
@put on@|@sil'@
@put on rings@|@bu, bun@
@put over@|@hu', hup@
@quantity@|@chin@
@quickness@|@tuan-ran, tuan-rang, tuan 'ran, tuan 'rang@
@quiet@|@nguai, ti-ngiai-ngiau@
@race@|@hnam@
@rain@|@rua'@
@rain of the beginning of fall@|@ai ruah@
@rainwater either running@|@tui-hawk@
@rainy weather@|@khaw chhe, khaw chhia, khaw chhiat@
@ready@|@thliam@
@receive@|@chan, chang@
@receive into one's house@|@thlen, thleng@
@receive with approbation@|@tláktlum-tîr@
@recently@|@tlêm lai@
@recently bereaved family@|@khawhar chhûng@
@receptacle in a woman's pipe@|@tuibûr mawng@
@recess put at a grave@|@khau-khurh@
@recite@|@chham@
@red@|@sen@
@red cotton yarn@|@Ting sen@
@redemption@|@tlanna@
@regarding ancient times@|@leh mang thu@
@resemblance@|@siar@
@rheumatism@|@tui ei@
@rice@|@faang, mam@
@rice and hrakawng yam@|@hra kawng hawp@
@rice boiled@|@bu'@
@rice boiled with hrakawng@|@hra kawng buh, hra kawng rum@
@ridge of the roof@|@tlûng zawl@
@ridging of a roof@|@tlûng-khûm@
@right@|@ding@
@right and wrong@|@a dik a dawk@
@right to the end@|@khaw-chhuah, khaw-chhuak@
@rinse in water@|@tuiah "hmet fai, tuiah hmet nawk nawk@
@ripe@|@hmin@
@roll up in the hand@|@hrual@
@room@|@hmun@
@root@|@bul, jung, zung@
@root of a species of duchhia@|@ai lai-dum@
@rough@|@ram@
@round@|@bial, mum@
@rub@|@no', nót@
@rub with the hand@|@tuai@
@ruddy@|@taai, tai'@
@run@|@kat@
@sacrifice a domestic animal@|@ai, aih@
@sad@|@ngui@
@saddle connecting two@|@khan-kawn@
@salary@|@hlo'@
@saliva@|@chil@
@salt@|@tshum@
@salt water@|@tui al@
@sand@|@Haka thet-se, nél@
@satisfied@|@kham@
@scar@|@ser@
@scarcely@|@a-hleih@
@scold@|@chil'@
@scum on water@|@tui phûl@
@search for@|@lam@
@search for anything lost@|@to zawn@
@season@|@hun@
@seasons of loneliness@|@khawhar chang@
@sea-wall@|@tuifinriat kam lungbang@
@second crop of weeds@|@hram@
@see great-great-grand-child@|@to khûp thum"hmu@
@see one's great-grandchild@|@tuchhîn "hmu, tuchhîn hmuh@
@seed@|@mu@
@self@|@chia', ngei, tei@
@self-sacrifice@|@tlawmngaih@
@self-sacrificingly@|@tlawmngaitakin@
@self-sown@|@hli@
@send for@|@cha'@
@separate one@|@a hran, a hran-pa@
@separately@|@a dang dangah, a hrangin, a hranin@
@set a crab trap@|@aiawt' chiah@
@seven@|@s-Nis@
@several species of arum@|@tu-bal@
@shape@|@tlawn-tlai@
@share@|@chan@
@sharp@|@hriam@
@sharpened piece of bamboo@|@tlah-thi@
@sheer precipice@|@kham bak-ba-hai@
@shelf near a precipice@|@kham chhawr-dawh@
@shelf over fire@|@rap@
@shore@|@Kam@
@short@|@hniam@
@shy@|@za', zak@
@sickness@|@ná, nat@
@side betwen the top of the rib@|@ném@
@sides of the lower jaw@|@kha-val@
@side-whiskers@|@bak@
@simply@|@tluangtakin@
@since@|@a-hnu, achinah, ai te hrim@
@sinew@|@tha@
@sister@|@far-nu@
@sit up all night with@|@tlaivâr-pui@
@six@|@pa-ruk, ru'@
@skewer@|@tûl@
@skewer to impale grasshopper@|@khau tûl@
@skin@|@haka cuar, haka phaw@
@slate@|@tlak@
@sleep@|@ip'@
@slender@|@ria@
@slightly bulging@|@puar@
@slightly graze@|@thoi@
@slippery@|@nál@
@slowcoach@|@tuan-pui@
@small flask made out of gourd@|@tuibûr ûm@
@small grey species of wood@|@tu-hrik@
@small memorial stone@|@hrang-lung@
@small red land-crab@|@ai-sen, aite-sen@
@smoke a woman's pipe@|@tuibûr'zu, tuibûr'zûk, tuibûr-fawh, tuibûr "fawp@
@snake@|@p-rúl, rúl@
@snap@|@hap@
@snatch away@|@chhu'@
@soft@|@ném, r-ném@
@soft as skin@|@nél@
@soil@|@dool@
@solder@|@hár@
@sole@|@kut-pha'@
@somebody@|@tuemaw zawng@
@someone@|@tu-e-maw, tuemaw tal@
@sp. of flat shallow basket@|@fong@
@sp. of yam@|@hra-arsi@
@space in front of a house@|@kot@
@speak@|@sUn@
@specially@|@a hran-pain@
@species of aquatic lizard@|@tuipui sa-tang@
@species of bamboo@|@chaal, chál@
@species of climbing acacia@|@kham khang, khang-ding, khang ngo, khang sen@
@species of cultivated yam@|@hra arsi@
@species of edible arum@|@tluan-thîr@
@species of gourd@|@hran-thawl@
@species of hart's tongue@|@tuai-bûr@
@species of Hedychium@|@kham ai-chhia@
@species of meadow-rue@|@hrat@
@species of saxifrage@|@kham damdawi@
@species of small cockroach@|@khau-hriang@
@species of small owl@|@hrang-kir@
@species of sweet potato@|@hra thlum@
@species of water-birds@|@tui-va-lawng@
@species of wild edible yam@|@hra kai, hra kai-lûn, hra kawng, hra pui@
@species of willow@|@tuipui sul-hlah, tuipui sut-hlah@
@species or climbing acacia@|@khang-hu, khang eng@
@speech@|@pau@
@spider@|@ku@
@spin as cotton@|@kai, kai'@
@spindle@|@hmui-thal, hmui-thlur@
@spit@|@m-thoi@
@split@|@ek@
@split in the quick of the nail@|@tihna'chah, tinhna'chat@
@sporting about in the water@|@tui chêng, tui"chên, tuia "chên, tuiah chêng@
@spotted@|@chik@
@spray@|@tui si, tuifawn vawrh@
@spray from waves@|@tuifawn vawrh@
@spread@|@zám@
@spread out@|@zár@
@spread out in concentric waves@|@val@
@spring storms@|@to pui, to ruah@
@sprinkle with water@|@tuia "thlawr@
@squeeze@|@chil'@
@stand@|@tsap@
@star@|@ár-si@
@steam@|@hu, tui-hu@
@steam tram@|@tuallai rêl@
@stem@|@tOng@
@stem of a woman's pipe@|@tuibûr dawn@
@stick into@|@dô@
@stiff@|@khong@
@stinging to the tongue@|@hiar@
@stomach@|@dul@
@stone@|@lung, ng-lung@
@stop short at the last moment@|@tiim@
@straight and long@|@tlâwn, tloon@
@straw@|@pól@
@stride@|@kaar@
@strike@|@kon, koon@
@stringed musical instrument@|@tui ûm dar@
@strong@|@ru@
@strong point@|@chakna zawng@
@strongly@|@khauh-takin@
@stupid@|@khaw@
@submerge@|@chiim@
@suddenly@|@thut, top@
@sufficient food@|@kham khawp@
@sugarcane@|@fu@
@summer and winter@|@a fûr a thalin@
@summit of a hill@|@tlâng'chhuah, tlâng chhuak@
@sun@|@Ni@
@superfluously@|@a chuangin@
@support for the feet@|@tlawh-chhan@
@swaddling-clothes@|@-hni@
@sweep the street@|@tual'phiah, tual 'phiat@
@swimming@|@tui"hleuh@
@tail@|@kh-r-mei@
@take an animal to pasture@|@tlat tir@
@take care of@|@uap@
@take off@|@hli', hliip@
@take up room@|@o'@
@taste sweet@|@thlum@
@tasty@|@tuitakin@
@temporary house@|@tual puk@
@ten@|@kIp@
@tendril@|@khang@
@testicles and scrotum@|@til@
@than@|@a hluanin, aia@
@that@|@kha-kha, so, ti'@
@that . . . by you@|@kha . . . kha@
@that by you@|@kha kha@
@that kind@|@khatiang kha@
@that near you@|@khata . . . kha, khata kha@
@that wherewith to support@|@tuamhlawmna@
@that which one wants@|@chak sa-khai, chak sakhai zawng@
@that which should be done@|@ti tûr@
@that yonder@|@so@
@thatch@|@chi'@
@the afternoon@|@tlai-lam@
@the back@|@hnung@
@the back of the head@|@thluk, tuk-khum@
@the bank@|@raal@
@the bark@|@ru@
@the bat@|@baak@
@the bevelled edge@|@dap@
@the bladder@|@phiing@
@the body@|@pang@
@the border is sharp@|@tlâng hriam@
@the bottom of the sea@|@tuifinriat mawng@
@the breast@|@eng@
@the brink@|@tui chîm chin@
@the brink of a river@|@tui chîm chin@
@the bud@|@leep@
@the bulbul@|@tlai-berh@
@the cause of dilapidation@|@tlákranna@
@the channel of river@|@kuang@
@the child@|@tleirawl fa@
@the claw of a crab@|@ai-bawp@
@the clonic movements@|@chal-chang@
@the coast@|@tuipui kam@
@the comb-like bar@|@tuk-rek@
@the cool of the evening@|@tlai-nêm, tlai ni nêm@
@the crop@|@hóng, ong@
@the current of a river@|@tuizang khauh lai@
@the damming up of water@|@tui"khuah@
@the day after tomorrow@|@nak-thai@
@the day before@|@tûk lehah@
@the Delaswari river@|@tlong@
@the descendants of Tuaka@|@Tuaka note@
@the distance between@|@kár@
@the domesticated gayal@|@sial@
@the ear@|@beng@
@the East@|@chhak@
@the edge of a box@|@tlâng hriam@
@the edge of anything bound@|@tlâng'cheh, tlâng chep@
@the egg-fruit@|@ba-bao@
@the elbow@|@kiu@
@the evacuation of its bladder@|@tui-dûl lai@
@the exact likeness of@|@hlau'@
@the exast likeness of@|@theen@
@the extreme source of a stream@|@aite vûn, aite vûng@
@the eye@|@mik, mit@
@the fate@|@ai-sar@
@the feathers under the tail@|@dop@
@the first break of dawn@|@khaw fîng'chah@
@the forehead@|@chal, m-tsal@
@the fork@|@kaak@
@the founder of a village@|@khaw dintu@
@the gizzard@|@thial@
@the glans penis@|@lik@
@the good and bad@|@a chhia leh a tha@
@the good and the bad@|@a chhia a tha@
@the grain of wood@|@ti-thlûr@
@the grey monkey@|@ngau@
@the gums@|@hni@
@the head@|@Lu@
@the hill@|@thing@
@the hippopotamus@|@tui samak@
@the illegitimate child@|@tlangval lai fa@
@the inside@|@ti-ril@
@the keys@|@khapna@
@the knee@|@khúp@
@the knot@|@tuk@
@the large civet cat@|@tlum-pui@
@the large-leaved@|@tlîng-pui@
@the length@|@a dung zawng@
@the liver@|@thin@
@the loins@|@koong@
@the lower leg@|@phei@
@the lungs@|@chuap@
@the Lushai name of Changsil@|@Tlawng dawr@
@the membrane@|@dal@
@the morning meal@|@tuk-thuan@
@the mouth of a bottle@|@rong@
@the mouth of a river@|@mong@
@the name given to the Kolodyne@|@Tui-pui@
@the name given to the womb@|@hlúm@
@the name of a bear-scare@|@tui-per@
@the name of a beetle@|@tuai-ngawt@
@the name of a bird@|@tlak-awrh, tuk-lo, tukkhum vilik, tukkhum vilik@
@the name of a caterpillar@|@khap-diau@
@the name of a children's game@|@tîra mei kai@
@the name of a clan@|@Hrang-chal, Tlâng-tê@
@the name of a loosely@|@tui hnawih-loh puan@
@the name of a plant@|@ai-thûr, kha-tual, Tlingi leh Ngama inchhaina, tui-bal@
@the name of a plant akin@|@ai-chal, ai-du@
@the name of a river@|@Tui-vai@
@the name of a song@|@Aikhiangi zai@
@the name of a species of bean@|@Tuikuk be-pui@
@the name of a spirit@|@tual-sum-su@
@the name of a stretcher@|@Tlânglau bâwm@
@the name of a tree@|@tlang tlak, tuai-ha-bet, tuai-ha-bet, tuai-ha-bet, tuai-ram, tuai-ram, tuai-thlêng@
@the name of a tree (1)@|@tuai-tît@
@the name of a woven@|@tlâng tial@
@the name of an old-time@|@tuai lam@
@the nape of the neck@|@tukkhum khuar@
@the next@|@a dawttu@
@the occipital bone@|@tukkhum ruh@
@the ocean@|@tui-fin-riat@
@the one-stringed Lushai fiddle@|@Ting-Tang@
@the outer covering@|@pil@
@the pelt@|@vun@
@the people@|@tlaang@
@the place where two mountain@|@tlâng in-khanna@
@the precise@|@a chauh@
@the present@|@tuun@
@the principal mountain@|@tlâng-pui@
@the public@|@tlâng@
@the quick of the nail@|@tin-hna@
@the rainy season@|@fuur, khaw fûr, tui fûr@
@the raised platform outside@|@tlai-tlân@
@the rough platform@|@tui-chhuar@
@the rule@|@Tuaka no rorêl@
@the sambhur deer@|@sa-zuk@
@the sense of taste@|@tui leh hriat theihna, tui leh tuilo hriatna@
@the shoulder@|@kô@
@the side of a hill@|@tlâng pang@
@the sky@|@vaan@
@the small-leaved@|@tlîng-fang@
@the source of a spring@|@tui-hna@
@the source of a stream@|@tui hnar@
@the spring storms@|@to thli@
@the sprouting stump@|@tuk-chawr@
@the spur@|@siak@
@the stalk@|@kuang@
@the storms preceding the rainy@|@to@
@the street@|@tual, tual-lai@
@the time of excitement@|@a huau huau lai@
@the top of a range of hills@|@dung@
@the voice@|@oo-ka@
@the vulva@|@chhu@
@the warp@|@tung@
@the waxing@|@hang-lam@
@the west@|@tlák-lam@
@the whole@|@pum@
@the whole family@|@a chhûng kuain, a chhûngin@
@the why and the wherefore@|@a chhan leh a vang@
@the wife of one's youth@|@tleirawl lai nupui@
@the wild cherry tree@|@tlai-zawng@
@the yolk of an egg@|@tui chhung mu@
@the young of animals@|@nô@
@the youngest@|@tlum ber@
@then@|@le'@
@there@|@khatah khah@
@there in that place@|@khata, khatah@
@thick as wood@|@chha'@
@thick forest@|@tu-dur@
@thicket@|@chal bawn@
@thin@|@pá, ríl@
@thin as paper@|@pan@
@thin out@|@hram@
@thing that rouses to action@|@ti-tha-thotu@
@this@|@hei, i@
@those@|@khang-ho kha, khang . . . hote kha, khang kha@
@those . . . by you@|@khang . . . kha@
@those . . . near you@|@khang . . . ho kha@
@those near you@|@khang-hote kha, khangte kha@
@those. . . referred to@|@khang . . . te kha@
@thousand millions@|@tlûk leh din-awn@
@three@|@thum@
@through@|@tlang, tlang@
@throughout@|@tluanin@
@throughout the night@|@tlaivâr piapin, tlaivâr zakin@
@thus@|@khatia, khatiang, khatin@
@tiger@|@kei, sa-kei, t-kei@
@time of the spring storms@|@to-mir@
@time when one was a youth@|@tleirawl têt lai@
@timidity@|@tit@
@tinned milk@|@Tîn hnutê@
@Tipperah tribe@|@Tui-kuk@
@tiresome@|@khol'@
@Tlong River@|@Tlawng@
@to abstain@|@tlawh serh@
@to accompany@|@tel@
@to act@|@ti-phut, tih-phut@
@to administer punishment@|@tlâng-chîl@
@to advise@|@fui'@
@to affirm@|@ti-tlat, tih-tlat@
@to anger@|@ti-thin-rim, tih-thin-rim@
@to answer@|@chhón@
@to appear@|@lan, lang@
@to arrange@|@rep@
@to assist a person in any kind@|@loom@
@to attack@|@tual-dawi@
@to augur@|@ai' en, ai' san, ai 'sam@
@to bang@|@khar ri dur@
@to be@|@Ni, ni'@
@to be a flood@|@tui'lêt@
@to be able to attain to@|@tlin zawh, tling zo@
@to be able to work@|@tu-ha "hêm@
@to be absolutely unable@|@ai mit thlawn ang@
@to be at leisure@|@tlawng-awl@
@to be away from one's family@|@tla hrang, tlat hran@
@to be bearable@|@tuar-zia ' awm@
@to be beautiful@|@tlawntlai 'tha, tlawntlai 'that@
@to be born prematurely@|@tla-sual, tlak-sual@
@to be brave@|@hrang@
@to be caked@|@khak@
@to be careless@|@tla-dah, tlat-dah@
@to be cheap@|@to lo, to loh@
@to be constantly getting wet@|@tui-dûl@
@to be dazed@|@tuibûr'rui, tuibûr'ruih@
@to be dilapidated@|@tla-ran, tlak-ran@
@to be disobedient@|@tirh-mawh, tirh-nawm, tirh-nuam@
@to be dry@|@tui-hul@
@to be durable@|@tlo@
@to be eloquent@|@tui-tam@
@to be enlarged and tense@|@tlawng tlawn@
@to be expensive@|@to, tô@
@to be famous@|@hrat kaw-khêng@
@to be fearful@|@tlawm hlau, tlawn hlauh@
@to be flat-topped@|@tlâng'chêng@
@to be flyblown@|@Tît-êk@
@to be freshly laid@|@tui-hlim@
@to be frisky@|@tualchai "heh@
@to be full@|@dim, khah, khat@
@to be good@|@tlang, tlang, tlei, tluan chhuah, tluang chhuak@
@to be grooved@|@tuihawr"nei@
@to be hard@|@tuat@
@to be high as water@|@tui' lian@
@to be ill@|@sa@
@to be in favour@|@tlâng-tlák, tlâng tla@
@to be in full blossom@|@ti-vul, tih-vul@
@to be in good condition@|@ti'-That, ti'Tha@
@to be inexpert@|@tlaw@
@to be irresistible@|@a dada dal rual'nih loh, a dala dal rual'ni lo@
@to be late@|@ti-tlai, tih-tlai, tih-tlai, tlai@
@to be nasty@|@tui-tang lo@
@to be nice@|@tui, tui, tui-tang@
@to be nice looking@|@tui-hnai@
@to be not shy@|@tlâng'nêl, tlâng-nêl@
@to be obedient@|@tirh'awi@
@to be of use@|@tláktlaina' nei, tláktlaina'neih@
@to be open@|@tlau@
@to be over@|@Ting-Tiah, Ting-Tiak@
@to be over-ripe@|@tuah têp@
@to be parched with thirst@|@tuihal dang chara"awm@
@to be particular@|@ti-si-se, tih-si-se@
@to be permanently in flood@|@tui hnuk'thlung@
@to be polished@|@tlian, tliang@
@to be quick@|@tuan-tha, tuan-that, tuan 'tha, tuan 'that@
@to be resistless@|@a dana dan rual'ni lo, a dana dan rual'nih loh@
@to be running out of@|@tla-bal, tlák-bla@
@to be rusted@|@tuiêk chhe, tuiêk chhia, tuiêk chhiat@
@to be rusty@|@tui-êk@
@to be satisfied@|@kham, kham, tlai, tlai, tlai-puar@
@to be self-sacrificing@|@tlawm ngaih, tlawn ngai, tlawn ngaih@
@to be shallow@|@ljáng@
@to be skilled in augury@|@ai-en' thiam, aisam' thiam, aisân' thiam@
@to be slightly bitter@|@kha sek, khak-sek@
@to be slow@|@tuan-fûm, tuan 'fûm, tuan 'nei lo@
@to be small@|@tlêm@
@to be small as knot@|@tuk'chîk@
@to be softly tempered@|@tuai 'nêm@
@to be straight-grained@|@ti'ngîl@
@to be strong@|@tuizang'khauh@
@to be stupid@|@khaw baw@
@to be swollen out@|@tui-pum@
@to be tempered@|@tuai 'awn, tuai 'rum@
@to be thick and full-grown@|@tu khup@
@to be thirsty@|@tui'hal, tui-hâl@
@to be troubled of@|@buai@
@to be unappetizing@|@tui-hnai lo@
@to be unfriendly with@|@ai-hal@
@to be unsuccessful@|@tîng@
@to be useful@|@tlák-tlai@
@to be useless@|@tláktlai lo, tláktlai loh@
@to be very late@|@tlai-chhe, tlai-chhiat, tlai chhia@
@to be well-built@|@tituai'Tha, tituai'That@
@to be without kith and kin@|@tla-hlang, tlák-hlang@
@to be worthy@|@tlák@
@to beat@|@vél, vel'@
@to bend@|@kom, Kun@
@to bend down@|@kuur@
@to bespeak@|@hau'@
@to bevel@|@ti-sah-hai, tih-sah-haih@
@to bind@|@khit, kik@
@to bind the edge of anything@|@tlâng'cheh, tlâng'chep@
@to bind up the nails in a poul@|@tin'um, tin'um sen@
@to bite@|@kei'@
@to blame@|@pu'@
@to blister@|@dur'@
@to blow@|@tleh, tui"phuh@
@to blow as a spring storm@|@to thli 'tleh@
@to blow out of the mouth@|@phu'@
@to boil@|@ti-so, tih-so@
@to boil with salt@|@tlak al@
@to bother@|@Kam@
@to bow as the head@|@khúp@
@to bow down@|@chala lei"vit@
@to bow down with the forehead@|@chala lei"si, chala lei"sík@
@to brag@|@uang@
@to break@|@ti-tliak, tih-tliah, tliah, tliak@
@to break and splinter@|@tliah pawr, tliak pawr@
@to break as dawn@|@khawfîng'chah, khawfîng'chat@
@to break as waves@|@tui'fawk@
@to breathe@|@tho, thook@
@to brew@|@sa, sak@
@to bring up@|@ti-sei-lian, tih-sei-len@
@to bring with one@|@chhom@
@to brood@|@op@
@to bruise@|@ti-thi-tling, tih-thi-tlin@
@to bubble up@|@phúl@
@to build@|@rem, sa, sa, sak@
@to bulge@|@puar@
@to burn@|@ti-ût, tih-ût@
@to burrow@|@hreu'@
@to butt with the horns@|@tai@
@to buy@|@lei@
@to buy the whole@|@khar@
@to call@|@kô, kô'@
@to call back a wife@|@tlan ko, tlan koh@
@to carry bamboo@|@tui ûm"khirh@
@to carry on a conversation@|@ti-ti@
@to carry on the back@|@phur, phur', po, pua, puak@
@to carry on the shoulder@|@pu, put@
@to cast off@|@tui-thlar@
@to catch in a trap@|@ók@
@to cause people to desire@|@ti-rual-awt, tih-rual-awh@
@to cause to be spoiled@|@ti-ri-ral, tih-ri-ral@
@to cause to vanish away@|@ti-thâm ral, tih-thâm ral@
@to change@|@thleng@
@to change into smaller@|@ti-Tai, tih-Tai@
@to charm@|@ai kaih@
@to cheep@|@chiap@
@to chop@|@sa', saat@
@to clean@|@tlen, tlen-fai, tlêng, tlêng-fai@
@to clean by pouring water@|@tleeng, tlen@
@to clean rice@|@thia@
@to clean up@|@thiar@
@to clear@|@hrô, sial@
@to clear for cultivation@|@hreng@
@to clear the jungle@|@tlâng'sâm@
@to climb@|@loon@
@to close@|@khar, khar, khar pin, khar ping, khu', khu', khup, múm@
@to cluck@|@tuk"tuk@
@to coerce@|@kar@
@to collect@|@khon, tlin, tling@
@to comfort@|@hnem, hném, thleem, ti-thla-muang, tih-thla-muan@
@to command@|@tuk@
@to commence work@|@tlailam'hnawh, tlailam'hnawt@
@to commit fornication@|@tlangval ngai, tlangval ngaih@
@to compel@|@tîr lui, tirh luih@
@to complete@|@tlei-tla, tlei-tlák@
@to compose@|@phua'@
@to conceal@|@thup@
@to confuse@|@ti-tai-hai, tih-tai-hai@
@to congeal as water@|@tui'khang@
@to continue doing the same@|@tlawn@
@to converse@|@titi khaw-chân, titi khaw-châng@
@to convey water@|@tui lak, tui"la@
@to cook@|@hrakawng hawp"bawl@
@to cough@|@khu'@
@to count@|@ti-thiam, tih-thiam@
@to cover@|@tla, tlák@
@to cover up@|@khúp, up@
@to cover with wicker@|@cher@
@to crack@|@de'@
@to crouch@|@tom@
