@English@|@Icelandic@
@cheese@|@ostur@
@chemist´s@|@apótek@
@chemistry@|@efnafræði@
@chemist's@|@lyfjabúð@
@cheque@|@ávísun, Tékki@
@cheque book@|@ávísanabók@
@chequebook@|@tékkhefti@
@chest@|@bringa, kista@
@chest of drawers@|@dragkista, kommóða@
@chief@|@foringi, helztur, höfðingi@
@chief livelihood@|@aðalatvinnuvegur@
@chief means of communication@|@aðalfararskjóti@
@chief role@|@aðalhlutverk@
@chief weapon@|@aðalvopn@
@chiefly@|@aðallega@
@child@|@barn@
@childbirth@|@barneign@
@childhood@|@bernska@
@childless@|@barnalaus@
@children@|@börn@
@children´s hour@|@barnatími@
@children´s shoes@|@barnsskór@
@chimney@|@skorsteinn@
@chin@|@haka@
@choice@|@kjör@
@choke@|@kafna@
@choose@|@kjósa, velja@
@chopper@|@þyrla@
@christian name@|@fornafn@
@Christmas@|@Jól@
@Christmas cake@|@jólakaka@
@Christmas day@|@jóladagur@
@Christmas tree@|@jólatré@
@chuck away@|@fleygja frá sér@
@church@|@kirkja@
@church living@|@brauð@
@churchyard cemetery@|@kirkjugarður@
@cigarette@|@sígaretta, vindlingur@
@cinema@|@bíó@
@circumflex@|@tvíbroddur@
@circumlocution@|@vífilengur@
@circumstanc@|@kjör@
@circumstances@|@aðstæður@
@citizen@|@borgari, ríkisborgari@
@city@|@borg@
@civic community@|@samfélag@
@civil rights@|@borgararéttur@
@civilisation@|@menning@
@civilise@|@siða@
@claim@|@aðkall, krafa@
@clap@|@klappa, smella@
@clasp@|@spenna@
@class@|@bekkur, farrými, flokka, flokkur@
@clatter of hoofs@|@hófatak@
@claw@|@kló@
@clean@|@hreinn, hreinsa@
@cleanliness@|@hreinlæti@
@cleanse@|@fága@
@clear@|@auðséður, bersýnilegur@
@clear the throat@|@ræskja sig@
@clearly@|@gjörla, glöggt@
@cleave@|@kljúfa@
@clergyman@|@klerkur@
@clerical@|@andlegur@
@clever@|@duglegur, röskur@
@click@|@smella@
@cliff@|@berg, bjarg, hamar, klettur@
@climate@|@veðurlag@
@climb@|@klífa@
@cloak@|@kápa@
@clock@|@klukka@
@close@|@draga fyrir, náinn, nálægt@
@closely related@|@nákominn@
@cloth@|@dúkur, fataefni@
@clothes@|@fatnaður, föt, klæði@
@clothes hanger@|@herðatré@
@clothes shop@|@fatabúð@
@clothing@|@fat@
@cloud@|@ský@
@clumsily@|@klaufalega@
@clumsiness@|@klaufaskapur@
@clumsy@|@klaufalegur@
@clumsy man@|@klaufi@
@coal@|@kol@
@coast@|@strönd@
@coat@|@Frakki, jakki, kápa@
@coat of mail@|@brynja@
@cock@|@hani@
@coffe cup@|@kaffibolli@
@coffee@|@kaffi, kaffikanna@
@coffee pot@|@kanna@
@coffin@|@kista@
@coke@|@koks@
@cold@|@kaldur@
@cold storage@|@íshús@
@cold water@|@kalt vatn@
@cold weather@|@kuldi@
@cold-hearted@|@kaldrifjaður@
@collaboration@|@samvinna@
@collapse@|@hrun@
@collar@|@flibbi, jaxl@
@collect@|@innheimta@
@collection@|@innheimta@
@collection of folk tales@|@þjóðsagnasafn@
@collective@|@samvirkur@
@collector@|@safnari@
@collision@|@árekstur@
@colon@|@tvípunktur@
@colonel@|@ofursti@
@colour@|@litur@
@coma@|@dá@
@comb@|@greiða, kambur@
@combine@|@slá saman@
@combustion@|@brennsla@
@come@|@koma, koma til, komast@
@come about@|@atvikast@
@come across@|@hitta@
@come into being@|@verða til@
@come into effect@|@hrífa@
@come off@|@vegna@
@come to@|@ranka við sér@
@come to an end@|@hætta@
@come to learn@|@komast að raun um@
@come to nothing@|@verða að engu@
@come to one´s senses@|@ranka við sér@
@come true@|@verða að áhrinsorðum@
@come up@|@koma að@
@comfort@|@hugga, huggun, hughreysting, þægindi@
@comfort oneself@|@huggast@
@comfortable@|@þægilegur@
@command@|@fyrirskipun, ráða@
@commerce@|@verzlun@
@commit@|@fremja@
@commit to paper@|@færa í letur@
@committee@|@nefnd@
@committee report@|@nefndarálit@
@common@|@algengur, almennur, vanalegur@
@common fractions@|@almenn brot@
@common knowledge@|@á allra vitorði@
@common sense@|@heilbrigð skynsemi@
@commotion@|@læti@
@compacency@|@hugarhægð@
@companion@|@félagi@
@company@|@félag, flokka@
@comparable@|@hliðstæður@
@compare@|@bera saman, samjafna@
@compared with@|@miðað við@
@compass@|@áttaviti@
@compete@|@keppa@
@competition@|@keppni@
@compile@|@taka saman@
@complete@|@fullgera, fullkominn, heil@
@completed works@|@framkvæmdir@
@completely@|@algerlega, alveg@
@completely different man@|@allur annari maður@
@completely heathen@|@hundheiðinn@
@complex@|@flókinn@
@compose@|@semja@
@composedly@|@stillilega@
@compulsory education@|@skyldunám@
@computer@|@tölva@
@comrade@|@félagi@
@conceal@|@dylja, fela, hylja@
@conceit@|@dul, mont@
@conceivable@|@hugsanlegur@
@concern@|@taka til, varða@
@concerning@|@varðandi@
@concert@|@hljómleikar, tónleikur@
@concession@|@veiting@
@conclude@|@álykta@
@conclusion@|@ályktun@
@condition@|@ástand, hagur, skilyrði, stand@
@conduct@|@far, framferði, hegðun@
@cone@|@keila@
@confess@|@meðganga@
@confession@|@játing@
@confident@|@öruggur@
@confirm@|@ferma, staðfesta@
@confirmation@|@ferming@
@conflict@|@átök@
@conform@|@samræma@
@conger eel@|@hafáll@
@conjecture@|@ágizkun@
@conjugate@|@beygja@
@conjunction@|@samtenging@
@connect@|@tengja@
@connection@|@tengsl@
@conscious of@|@var@
@consent@|@játa, samþykki@
@consequence@|@afleiðing@
@conservatism@|@íhald@
@conservative@|@íhaldsmaður, íhaldssamur@
@conservative party@|@íhaldsflokkur@
@consider@|@álíta, athuga, hyggja, íhuga@
@considerable@|@talsverður, umtalsverður@
@considerably@|@allverulega@
@considering@|@með tillit til@
@consolation@|@huggun@
@console@|@hugga@
@constant@|@viðstöðulaus@
@constantly@|@jafnan, viðstöðulaust@
@constituency@|@kjördæmi@
@constitution@|@stjórnaskrá@
@consultant@|@ráðunautur@
@consumption@|@eyðsla@
@contain@|@rúma@
@container@|@geymir@
@contamination@|@mengun@
@contemplate@|@hugleiða@
@contemporary@|@samtíða, samtíðarmaður@
@contend@|@keppa@
@content@|@ánægður@
@contention@|@kapp@
@contents@|@efni, innihald@
@context@|@samhengi@
@continually working@|@sívinnandi@
@continuation@|@framhald@
@continue@|@halda áfram, haldast, vara@
@continuing@|@áframhaldandi@
@continuous@|@stöðugur@
@contrast@|@andstæða@
@control@|@eftirlit@
@control oneself@|@stilla sig@
@convene@|@kalla saman@
@convenient@|@hentugur@
@convention@|@samningur@
@conversation@|@samtal, viðtal@
@convoke@|@kalla saman@
@cook@|@elda, matbúa, matreiðsluko, matreiðslumaður@
@cool@|@afkæla@
@cooper@|@beykir@
@cooperation@|@samvinna@
@coordinate@|@samhæfa@
@coordination@|@samhæfing@
@copper@|@kopar@
@copy@|@afrita, eintak@
@cord@|@band@
@cordial@|@alúðlegur@
@core@|@kjarni@
@corner@|@horn@
@corpse@|@lík, nár@
@correct@|@leiðrétta@
@correction@|@leiðrétting@
@correspondence@|@bréfaviðskipti@
@correspondent@|@fréttaritari@
@corridor@|@gangur, göng@
@corrupt@|@afbaka@
@cost@|@kosta, verð@
@costume@|@búningur@
@cottage@|@sumarbústaður@
@cotton@|@baðmull@
@cotton goods@|@baðmullartau@
@cotton sock@|@baðmullarsokkur@
@cotton wool@|@baðmull@
@couch@|@dívan, sofi@
@cough@|@hósta, hósti@
@council@|@ráð@
@council of war@|@herráð@
@count@|@telja@
@count on one´s fingers@|@telja á fingrum sér@
@counter@|@búðarborð@
@counterpart@|@hliðstæða@
@country@|@hérað, land, sveit@
@courage@|@áræði, djörfung, hugprýði, hugrekki, hugur, kjarkur@
@courageous@|@kjarkmikill@
@course@|@námskeið@
@court@|@dómstóll, hirð@
@court martial@|@herdómur@
@courtship@|@tilhugalíf@
@courtyard@|@port@
@cousin@|@frændi@
@cover@|@ábreiða, hlemmur, hulda, lok, sveipa@
@cover of clouds@|@blika@
@cover up@|@byrgja@
@cover with a thin layer of snow@|@fölva@
@cover with dew@|@döggva@
@cow@|@kýr@
@cowardly@|@löðurmannlegur@
@cowshed@|@fjós@
@crack@|@bila@
@crackle@|@snarka@
@craftsman@|@iðnaðarmaður@
@crag@|@bjarg@
@crash@|@árekstur@
@crater@|@eldgjá@
@craze@|@æði@
@creak@|@braka, marra@
@creaking@|@marr@
@crease@|@hrukka@
@create@|@skapa@
@creation@|@sköpun@
@creep@|@læðast@
@crematorium@|@bálstofa@
@Crete@|@Krít@
@crew@|@áhöfn@
@crime@|@glæpur@
@criminal@|@glæpamaður@
@criticise@|@gagnrýna@
@criticism@|@gagnrýni@
@crop@|@snoðklippa@
@cross@|@argur, kross, skerast@
@cross breed@|@kynblanda@
@cross oneself@|@krossa sig@
@crossroads@|@gatnamót@
@crossword@|@krossgáta@
@crow@|@gala, kráka@
@crowd@|@fjölmenna, hópur, örtröð@
@crucifix@|@kross@
@crude oil@|@hráolía@
@cruel@|@grimmur@
@cruel peson@|@illmenni@
@cruelty@|@grimmd@
@cruiser@|@beitiskip@
@crunch@|@bryðja@
@crusader@|@baráttamaður@
@cry@|@gráta, grátur, kall@
@cry out@|@hljóða@
@crying@|@grátur@
@cub@|@strákhvolpur@
@culture@|@menning, menntun@
@cunning@|@kaldrifjaður, lymska, lymskur@
@cup@|@bolli@
@cup and saucer@|@bollapar@
@curiosity@|@forvitni@
@curious@|@forvitinn@
@curly@|@hrokkinn, liðaður@
@currency@|@gjaldeyrir@
@current account@|@hlaupareikningur@
@curse@|@blóta, bölva@
@cursor@|@bendill@
@curtain@|@gardína, gluggatjald@
@curtains@|@garðínur@
@curve@|@beygja@
@cushion@|@púði@
@custody@|@forræði, hald@
@custom@|@vandi@
@customary everwhere@|@alsiða@
@customer@|@kúnni, viðskiptavinur@
@customs@|@tollur@
@customs house@|@tollstöð@
@cut@|@klippa, nístur, skera@
@cutting@|@særandi@
@cycle@|@hjóla@
@Czech@|@Tékki@
@dad@|@pabbi@
@dag@|@dagur@
@daily@|@daglega, daglegur@
@daily wage@|@daglaun@
@dale@|@dalur@
@damage@|@brjóta, mein@
@damn him@|@fari hann bölvaður@
@damp@|@votur@
@dance@|@ball, dans, dansa, dansleikur@
@dance hall@|@danssalur@
@dandruff@|@flasa@
@Dane@|@Dani@
@Danes@|@Danir@
@danger@|@hætta, voði@
@dangerous@|@hættulegur@
@Danish@|@danska, danskur@
@dare@|@þora@
@daring@|@áræði, djarfur@
@dark@|@dimma, dimmur, dökkur, dumbungur, myrkur@
@dark green@|@dökkgrænn@
@dark haired@|@dökkhærður@
@darkness@|@dimma@
@date (fruit)@|@daðla@
@daughter@|@dóttir@
@dawn@|@birting, daga, dögun@
@day@|@dagur@
@day before yesterday@|@í fyrra dag@
@day´s journey@|@dagleið@
@day´s work@|@dagsverk@
@daybreak@|@birting@
@daylight@|@dagsbirta@
@day's journey@|@áfangi@
@dead@|@dáinn, dauður, látinn@
@dead calm@|@dúnalogn@
@deadly@|@banvænn@
@deaf@|@daufur, heyrnarlaus@
@deafness@|@heyrnarleysi@
@deal in@|@verzla með@
@deal with@|@fjalla um@
@dealings@|@viðskifti@
@dean@|@prófastur@
@dear@|@dýr, kær@
@dearth@|@ekla, hallæri, hörgull@
@death@|@andlát, dauði, fráfall@
@death rattle@|@hrygla@
@debauchery@|@ólifnaður, saurlífnaður@
@debt@|@skuld@
@debtor@|@skuldunautur@
@decade@|@áratugur@
@decay@|@fúna@
@decayed@|@fúinn@
@deceit@|@svik@
@deceive@|@blekkja, villa@
@December@|@desember@
@decide@|@afráða, ákveða, ráða@
@decision@|@ákvörðun@
@deckhand@|@háseti@
@declaration@|@yfirlýsing@
@declare@|@lýsa yfir@
@decline@|@beygja@
@dedicate@|@helga@
@deep@|@dimmur, djúpur@
@deep rooted@|@rótgróinn@
@deepen@|@dýpka@
@deeper@|@dýpri@
@deepest@|@dýpstur@
@defecation@|@saurlát@
@defect@|@galli@
@defence@|@vörn@
@defend@|@verja@
@defile@|@saurga@
@defilement@|@saurgun@
@defy@|@hafa að engu@
@delay@|@fresta, frestur, töf@
@delegate@|@fulltrúi@
@delightful@|@indæll@
@deliver@|@afhenda@
@deliver mail@|@bera út póst@
@delivery@|@afgreiðsla, afgreiðslutörf, afhending@
@dell@|@hvammur@
@delusion@|@hugvilla@
@demand@|@heimta, krafa, krefja@
@demand for@|@eftirspurn@
@democracy@|@lýðræði@
@demon@|@ári@
@Denmark@|@Danmörk@
@dense@|@þykkur@
@dent@|@dælda@
@deny@|@afneita, neita@
@department@|@deild@
@departure@|@burtför@
@depend on@|@byggjast á@
@dependable@|@áreiðanlegur@
@dependent on@|@háður@
@depending upon circumstances@|@eftir ástæðum@
@deportment@|@fasi, framkoma@
@deprieve@|@firra@
@deprivation@|@svipting@
@depth@|@dýpi@
@depth charge@|@djúpsprengja@
@deputy@|@fulltrúi@
@derange@|@trylla@
@derive one´s name from@|@draga nafn af@
@derived from@|@dregið af@
@descendant@|@afkomandi@
@descendants@|@afkomendur@
@describe@|@lýsa@
@desert@|@auðn, eyðimörk@
@desert island@|@eyðiey@
@deserve@|@verðskulda@
@desirable@|@fýsilegur@
@desk@|@skrifborð@
@desolation@|@auðn@
@despair@|@hugarvíl, vonleysi@
@despise@|@fyrirlíta@
@despite@|@þrátt fyrir@
@despond@|@hugfallast@
@despondent@|@einn og yfirgefinn, hugsjúkur@
@dessert@|@eftirmatur, eftirréttur@
@destination@|@áfangastaður@
@destiny@|@afdrif@
@destitute@|@allslaus@
@destroy@|@eyða, eyðileggja@
@destruction@|@eyðilegging, eyðing@
@detailed@|@ítarlegur@
@detain@|@hafa í haldi@
@deteriorate@|@versna@
@determination@|@festa@
@determine@|@ákveða, einsetja, einsetja sér@
@determined@|@ákveðinn@
@devaluation@|@gengisfelling@
@develop@|@framkalla, þróast@
@development@|@þróyn@
@devil@|@andskoti, djöfull@
@devoted@|@tryggur@
@dew@|@dögg@
@diamond@|@demantur@
@diarrhea@|@ræpa@
@diary@|@dagbók@
@dictate@|@lesa fyrir@
@dictionary@|@orðabók@
@die@|@andast, deyja, drepast@
@different@|@ólíkur, ýmis@
@difficult@|@erfiður@
@difficulty@|@erfiðleiki, fyrirhöfn, vandræði@
@dig@|@grafa@
@digest@|@melta@
@dike@|@berggangur@
@diligence@|@iðni@
@diligent@|@iðinn@
@din@|@ys@
@dine@|@borða@
@dining room@|@borðstofa@
@dinner@|@miðdegisverður@
@dip@|@ausa, dýfa@
@diphtheria@|@barnaveiki@
@dire need@|@neyð@
@direct@|@beina, beinn@
@direct speech@|@bein ræða@
@direction@|@átt, stefna@
@directive@|@reglugerð@
@directly@|@beinlínis, beint@
@director@|@forstjóri@
@dirt@|@óhreinindi, saur@
@dirty@|@forugur, óhreinn@
@disabled@|@farlama@
@disagreement@|@ágreiningur@
@disappear@|@hverfa@
@disappearance@|@hvarf@
@disappeared@|@horfinn@
@disappointment@|@vonbrigði@
@disaster@|@áfall@
@discerning@|@greindur@
@discipline@|@agi@
@disclosure@|@afhjúpun@
@discontent@|@óánægja@
@discontinue@|@leggja niður@
@discount@|@afföll, afsláttur@
@discover@|@finna@
@discovered@|@komast upp@
@discovery@|@fundur@
@discuss@|@fjalla um, ræða@
@disembarkation@|@landganga@
@disgrace@|@háðung@
@disgust@|@óbeit@
@disgusting@|@andstyggilegur@
@dish@|@diskur, fat, réttur@
@dismal@|@ömurlegur@
@dismount@|@fara af baki@
@dispose@|@hátta@
@disposition@|@geð@
@disproportion@|@misjafna@
@dispute@|@ágreiningur, deila@
@disputed issue@|@ágreiningsefni@
@distance@|@fjarlægð, fjarski@
@distant@|@fjarlægur@
@distinction@|@aðgreining@
@distinctive feature@|@einkenni@
@distinctly@|@greinilega@
@distort@|@afbaka@
@distress@|@hryggja@
@district@|@hérað, hreppur, hverfi, s veit, sveit@
@ditch@|@díki@
@ditty@|@vísa@
@divan@|@dívan@
@dive@|@kafa@
@diver@|@kafari@
@diverse@|@sundurleitur@
@divide@|@deila@
@divine service@|@guðsþjónusta@
@division@|@deiling, skil@
@do@|@gera@
@doctor@|@doktor, læknir@
@doe@|@hind@
@dog@|@hundur@
@dolerite@|@grágrýti@
@doll@|@dúkka@
@dollar@|@dollari@
@dome@|@bunga@
@domestic@|@innledur, innlendur@
@domestic affairs@|@heimilishagur@
@domestic animal@|@húsdýr@
@domestic animals@|@húsdyr@
@don´t mention it@|@fyrirgefið þér@
@donkey@|@asni@
@door@|@dyr, hurð@
@door beam@|@hurðarás@
@doorbell@|@dyraballa, dyrabjalla@
@doorkeeper@|@dyravörður@
@doorpost@|@dyrastafur@
@doorway@|@bæjardyr@
@dose@|@skammtur@
@dot matrix printer@|@nálaprentari@
@double@|@tvöfalda@
@double bed@|@hjónarúm@
@doubt@|@efa, efast, efi@
@doubt about@|@efast um@
@doubtless@|@efalaus, efalauss@
@dough@|@deig@
@dove@|@dúfa@
@down@|@dúnn, niður, ofan@
@down the valley@|@framan dalinn@
@downcast@|@dapur@
@downfall@|@hrun@
@downpour@|@húðarrigning@
@downstairs@|@niðri@
@doze@|@dotta, dúr@
@dpression@|@dæld@
@dragging@|@ádráttur@
@drainage@|@afrennsli@
@draught@|@ádráttur@
@draw@|@draga, teikna@
@draw a sword@|@bregða sverði@
@draw blood@|@blóðga@
@draw the curtains on@|@draga fyrir@
@drawers@|@brók@
@dread@|@hryllingur@
@dream@|@draumur, dreyma@
@dreary@|@ömurlegur@
@dress@|@búa sig, búningur, kjóll, klæða, klæða sig@
@dress coat@|@kjóll@
@dressed in blue@|@bláklæddur@
@dressed up@|@prúðbúinn@
@dried fish@|@harðfiskur@
@drift@|@drífa, fjúka@
@drifting ashore of a whale@|@hvalreki@
@drill@|@bora, borjárn@
@drink@|@drekka, drykkur@
@drink up@|@drekka upp@
@drinkable@|@drekkandi@
@drinking song@|@drykkjuvísa@
@drip@|@drjúpa@
@drive@|@aka, drífa, keyra@
@driver@|@bifreiðarstjóri, bílstjóri@
@driving@|@akstur@
@drizzle@|@súld@
@drone@|@niður@
@droop@|@drúpa@
@drop@|@dropi, falla, láta falla, missa@
@drop out@|@hellast úr lestinni@
@drop out of the race@|@falla úr leik@
@drown@|@drekkja, drukkna@
@drudge@|@strita@
@drug@|@eiturlyf@
@drunk@|@drukkinn, fullur@
@dry@|@þurr@
@dry clean@|@hreinsa@
@dry cleaning@|@efnalaug@
@due@|@vætanlegur@
@duel@|@hólmganga@
@dull@|@hugmyndasnauður@
@duress@|@harðræði@
@during@|@í@
@dusk@|@húm, rökkur@
@duty@|@skylda@
@duvet@|@dúnsæng, dúnyfirsæng@
@dwarf@|@dvergur@
@dwell@|@dvelja@
@dwelling place@|@ból@
@each@|@hver@
@each other@|@hver annan@
@eager@|@ákafur, fús@
@eagerness@|@ákafi, ákefð@
@eagle@|@örn@
@ear@|@eyra@
@earl@|@jarl@
@earlier@|@áður fyrr, fyrr@
@early@|@árla, snemma@
@early in the day@|@árdegis@
@earmark@|@marka@
@earn@|@afla@
@earnest@|@alvara, alvarlegur@
@earth@|@jörð@
@earthly@|@jarðneskur@
@earthquake@|@jarðskjálfti@
@earthworm@|@ánamaðkur@
@east@|@austur@
@easy@|@auðveldur, hægur@
@easy going@|@hæglátur@
@easy task@|@áhlaupaverk@
@eat@|@borða, éta@
@eating@|@át, áta@
@ebb@|@fjara@
@eccentric@|@sérvitur@
@eccentricity@|@sérviska@
@echo@|@bergmál@
@economics@|@hagfræði@
@edge@|@brún, egg, jaðar, rönd@
@edifice@|@bygging@
@educate@|@mennta@
@education@|@menntun@
@efficient@|@afkastamikill@
@egg@|@egg@
@egg on@|@etja@
@eider@|@æðarkolla@
@eiderdown@|@dúnsæng@
@eight@|@átta@
@eighteen@|@átján@
@eightfold@|@áttfaldur@
@eighth@|@áttundi@
@eightieth@|@áttugasti@
@eighty@|@áttatiú@
@eigra@|@roam@
@either@|@annarhvor@
@either ... or@|@annaðhvort  ... eða, ýmist .... eða@
@either .... or@|@annaðhvort .... eða@
@elbow@|@olbogi@
@elder@|@eldri@
@elderly@|@aldraður@
@eldest@|@elztur@
@elect@|@kjósa@
@election@|@kjör@
@elections@|@kosningar@
@electric@|@rafmagns-@
@elegant@|@fínn@
@elementary school@|@barnaskóli@
@eleven@|@ellefu@
@eleventh@|@ellefti@
@eligibility@|@kjörgengi@
@elk@|@elgur@
@ell@|@alin@
@else@|@annars, ella@
@elsewhere@|@annars staðar, annarsstaðar@
@elves@|@huldufólk@
@emaciated@|@horaður@
@emancipation movement@|@frelsihreyfing@
@embassy@|@sendiráð@
@embers@|@glæður@
@embrace@|@faðma@
@emotionally@|@tilfinningalega@
@emperor@|@keisair, keisari@
@emphatically@|@eindregið@
@employ@|@viðhafa@
@employee@|@launþegi, starfmaður, starfsmaður@
@employment@|@hagnýting@
@empty@|@auður, tómur@
@enchant@|@seiða@
@enchantment@|@álög@
@enclose@|@afgirða@
@enclosure@|@girðing@
@encouragement@|@havtning@
@end@|@enda, endi, endir, lok, lyktir@
@end and beginning of the year@|@áramot@
@endless@|@endalaus@
@endurance@|@þol, þreyja@
@enemy@|@fjandmaður, óvinur@
@energetically@|@duglega@
@engine@|@vél@
@engineering@|@verkfræði@
@England@|@England@
@English@|@enska, enskur@
@Englishman@|@Englendingur@
@enigma@|@ráðgáta@
@enjoy@|@líka@
@enmity@|@fjandskapur@
@enormous@|@afskaplegur, gífurlegur@
@enough@|@nógu, nógur@
@enquiry@|@fyrirspurn@
@enrol@|@innrita sig@
@enrollment@|@innganga@
@entanglement@|@benda@
@enter@|@ganga inn í@
@enterprise@|@fyrirtæki@
@enthusiasm@|@eldhugi@
@enthusiastic@|@ákafur@
@entrance@|@aðaldyr, aðgangur, innganga, inngangur@
@entrance hall@|@forstofa@
@envelope@|@bréfumslag@
@epidemic@|@faraldur@
@equal@|@jafn, jafningi@
@equally@|@jafnt@
@equinox@|@jafndægur@
@equipment@|@búnaður@
@erect@|@resitur@
@errand@|@erindi@
@eruption@|@gos@
@esides that@|@þar að auki@
@Eskimo@|@eskimói@
@especially@|@einkum, sérstaklega@
@essay@|@grein@
@establish@|@koma á fót, setja á fót, stofnsetja@
@establish once more@|@endurreisa@
@establishment@|@stofnun@
@estate@|@bú, bujörð@
@estimate@|@áætla, virða@
@etc@|@og svo framvegis@
@eternal@|@eilífur@
@eternity@|@eilífð@
@Europe@|@Evrópa@
@evade@|@humma fram af sér@
@evaluate@|@meta@
@evasion@|@vífilengur@
@eve of a holiday@|@aðfangadagur@
@even@|@flatur, jafn, jafnvé, sléttur@
@even numbers@|@jafnar tölur@
@even temper@|@jafnaðargeð, jafnlyndi@
@evening@|@aftan, kvöld@
@evensong@|@aftansöngur@
@event@|@atburður, atvik, utburður@
@eventful@|@viðburðaríkur@
@ever@|@alltaf@
@ever since@|@upp frá því@
@every@|@hver@
@every now and then@|@annað slagið@
@every one@|@sérhver@
@every other@|@annarhver@
@every other day@|@annan hvern dag@
@everyone@|@hver og einn@
@everything@|@allt@
@everywhere@|@allsstaðar, hvarvetna@
@evident@|@auðsær, auðséður, bersýnilegur@
@evil@|@illur@
@evil deed@|@illverk@
@evil spirit@|@ári@
@ewe@|@ær@
@exact@|@nákvæmur@
@exactly@|@einmitt, nákvæmlega@
@exaggerate@|@ýkja@
@example@|@dæmi, fyrirmynd@
@exasperate@|@espa@
@excellent@|@afbragðsgóður, ágætur, frábær@
@excellent thing@|@fyrirtak@
@excellently@|@ágætlega@
@except@|@nema@
@exception@|@afbrigði@
@exceptional@|@afbragðslegur@
@exceptionally@|@með afbrigðum@
@excess weight@|@yfirvigt@
@exchange@|@skipti@
@excite@|@æsa@
@exclusive@|@eintómur@
@excrement@|@saur@
@excuse@|@afsaka, afsökun@
@excuse me@|@fyrirgefið þér@
@exertion@|@áreynsla@
@exhausted@|@dauðþreyttur, uppgefinn@
@exhaustion@|@mæði, niðurlot@
@exhortation@|@hugvekja@
@exist@|@vera til@
@exit@|@útgangur@
@exorcism@|@særing@
@expanse@|@víðátta@
@expect@|@búast við, reikna með@
@expectation@|@eftirvænting@
@expedition@|@leiðangur@
@expenditure@|@útgjöld@
@experience@|@reynd, reynsla@
@experienced@|@reyndur@
@explain@|@skýra@
@explicit@|@eindreginn@
@exploit@|@stórvirki@
@exploitation@|@rányrkja@
@export@|@flytja út vöru, útflutningur@
@express@|@auðsýna@
@extinguish@|@slökkva@
@extinguished@|@slokknaður@
@extract@|@toga út@
@extravagant@|@eyðslusamur@
@extremely@|@fjarskalega@
@exultation@|@fögnuður@
@eye@|@auga@
@eye specialist@|@augnlæknir@
@eyebrow@|@augabrún@
@eyelash@|@brá@
@eyelet@|@kósi@
@eyelid@|@brá@
@eyesight@|@sjón@
@fabric@|@efni@
@face@|@andlit, svipur@
@face to face@|@augliti til auglitis@
@facial massage@|@andlitsnudd@
@facies@|@bergásýnd@
@facing south@|@á móti suðri@
@factory@|@verksmiðja@
@faculty@|@deild@
@faece@|@saur@
@fair@|@fagur, ljós@
@fairies@|@huldufólk@
@fairly@|@heldur@
@fairness@|@hæfa@
@fairy@|@álfur, dís@
@fairy melodies@|@álfalög@
@fairy woman@|@álfkona@
@faith@|@trú@
@falcon@|@fálki, valur@
@fall@|@detta, fall, falla, hrapa, lækka@
@fall asleep@|@sofna@
@fall down@|@detta ofan, steypast@
@fall in@|@hrynja@
@fall in love with@|@verða ástfanginn@
@false@|@falskur@
@falsification@|@fölsun@
@falsify@|@falsa@
@fame@|@frægð@
@family@|@fjölskyda, fjölskylda@
@family prayers@|@húslestur@
@famine@|@hallæri@
@famished@|@hungurmorða@
@famous@|@frægur@
@far@|@langt@
@far away@|@fjarri, fjárri, langt í burtu, út í bláinn@
@far behind@|@langt að baki@
@far off@|@fjárri@
@fare@|@fargjald@
@farm@|@bær, bóndabær, búa, bujörð, býli, jörð@
@farmer@|@bóndi, búandi@
@farmer without help@|@einyrki@
@farmer´s daughter@|@bóndadóttir@
@farming@|@bú, búnaður, búskapur@
@farmstead@|@bær, bóndabær@
@farmyard@|@hlað@
@farther@|@lengra@
@fast@|@fasta, fastur, fljótur@
@fasten@|@binda, festa@
@fat@|@feiti, feitur, fita@
@fate@|@afdrif@
@father@|@faðir@
@father and daughter@|@feðgin@
@father and son@|@feðgar@
@fatherland@|@föðurland@
@fathom@|@faðmur@
@fault@|@galli@
@faulty@|@gallaður@
@favour@|@greiði@
@favourable@|@mótdrægur@
@fear@|@hræðast, hræðsla@
@feast day@|@hátíð@
@feather@|@fjöður@
@feathers@|@fiður@
@February@|@febrúar@
@feeble@|@þróttlítill@
@feed@|@ala, fóðra@
@feel@|@finna til, þykja@
@feel as if@|@finnast sem@
@feel the cold@|@finna til kulda@
@fell@|@fella@
@female relative@|@frændkona, frænka@
@female teacher@|@kennslukona@
@fen@|@for, forarflói@
@fence@|@garður, girðing@
@fence in@|@girða@
@fence off@|@afgirða, girða af@
@ferry@|@ferja@
@festival@|@hátíð@
@fetch@|@sækja@
@few@|@fáir, fár, nokkrir@
@few people@|@fámenni@
@few things@|@fátt@
@fiddle@|@fiðla@
@field@|@akur, bali, ekra, tún, völlur@
@field glasses@|@kíkir@
@fifteen@|@fimmtán@
@fifth@|@fimmti, fimmtungur@
@fifty@|@fimmtíu@
@fig@|@fíkja@
@fight@|@at, barátta, bardagi, berjast, berjast við, deila, sviptingar@
@fight for independence@|@sjálfstæðisbarátta@
@fight over@|@togast á um@
@fight to the bitter end@|@berjast til þrautar@
@fighter@|@baráttamaður@
@fighting spirit@|@baráttahugur@
@fill@|@fylla@
@fill with snow@|@fenna@
@film@|@bíóleikur@
@filth@|@saur@
@final@|@endanlegur@
@final exam@|@burtfararpróf@
@finally@|@að lyktum, loks, loksins@
