@Spanish (Forestry)@|@English@
@matarrasa (V)@|@clearcut@
@material combustible colgado@|@draped fuel@
@matorral (M)@|@low brush, low scrub forest@
@mazo (V), cincel, formón@|@wood chisel@
@mcleod (herramienta de incendios)@|@mcleod (fire tool)@
@mechurria (V)@|@drip torch@
@medida@|@measure, measurement@
@medio (vivero)@|@soil medium (nursery)@
@medio ambiente@|@environment@
@médula@|@pith@
@meiosis (división de cromosomas)@|@meiosis(chromosome split)@
@mejoramiento de árboles@|@tree improvement@
@meristema@|@meristem@
@método, cuadrícula punteada@|@dot grid method@
@métodos de embarque@|@liner shipping methods@
@micelio@|@mycelium@
@mico (C), mono@|@small monkey@
@micorriza@|@mycorrhiza@
@micorrizas@|@mycorrhizae@
@micosis@|@fungal disease@
@microfauna@|@microfauna@
@microflora@|@microflora@
@miera, pino (A)@|@resin, pine@
@mil pies tablares@|@thousand board feet (mbf)@
@minadores de hojas@|@leaf miners@
@minifundio@|@small farm@
@mínima labranza@|@minimum tillage@
@mitosis@|@mitosis@
@mobiliario@|@furniture@
@mofeta@|@skunk@
@moho@|@mold, mildew@
@moho en la madera@|@must, surface fungi@
@mojar, mojado@|@wet, soaked@
@mojón@|@bench mark@
@moldura@|@molding (wood trim)@
@mono@|@monkey@
@monóico@|@monoecious@
@montacarga, grua@|@forklift truck@
@monte@|@woodlands, bush, wilderness, plantation(A)@
@montículo@|@mound@
@mora@|@blackberry@
@morfología@|@morphology@
@morrocoy@|@tortoise, turtle@
@mortajado@|@mortise@
@mortandad (A)@|@mortality@
@moteado, jaspeado@|@mottled@
@motoarrastrador (A)@|@skidder@
@motoniveladora, patrol (V)@|@motorgrader, grader@
@motosierra@|@chainsaw@
@muebles@|@furniture@
@muelle de carga@|@loading dock@
@muérdago enano; muérdago@|@dwarf-mistletoe, mistletoe@
@muesca@|@notch@
@muestreo por puntos@|@point sampling@
@muestreo, muestrear@|@sample (to), sampling, survey@
@mula@|@mule@
@multietaneo (rodal)@|@uneven aged (stand)@
@multiplicación agámica@|@vegetative reproduction@
@multiplicación sexual@|@sexual reproduction@
@musgo, lama@|@moss, peatmoss@
@naturaleza@|@nature@
@neblina@|@fog@
@necrosis@|@necrosis@
@nemátodos@|@nematodes@
@nido@|@nest@
@nivel@|@level@
@nivel freático@|@water table@
@nivel, curva de@|@contour line@
@nocivo@|@noxious@
@nogal@|@walnut@
@normalización de corte@|@sustained yield@
@normas@|@guidelines@
@nudo@|@knot@
@nudo fijo@|@sound knot, red knot@
@nudo suelto@|@loose knot, black knot@
@nudoso@|@knotty@
@nuez@|@nut (tree)@
@obrero, peón@|@laborer@
@oferta financiera@|@bid, quote@
@ojo de buen cubero, a@|@field estimate@
@olmo@|@elm@
@ondulado (pendiente)@|@rolling (hills)@
@onza@|@ocelot@
@operador de equipo pesado@|@heavy equipment operator@
@opinión ponderada@|@educated guess@
@orden@|@rank@
@orden ascendente@|@ascending order@
@orden descendente@|@descending order@
@orillo (C)@|@slab (of logs)@
@orteto@|@ortet@
@oruga@|@carterpillar@
@otoño@|@autumn@
@óxico@|@oxic@
@oxisoles@|@oxisols@
@padres@|@parents@
@paisaje@|@landscape@
@paja@|@straw@
@paja seca@|@dry straw@
@pala, palendra@|@shovel, spade@
@palma@|@palm tree@
@palo@|@stick, tree@
@palo de rosa@|@rosewood@
@pantano@|@swamp, marsh@
@papel@|@paper@
@papel de imprenta@|@writing paper@
@papel desperdicio@|@wastepaper@
@papel estucado@|@coated paper@
@papel lija@|@sandpaper@
@papel para máquina de escribir@|@bond paper@
@papel periódico@|@newsprint@
@papel plegadizo@|@bleached board@
@papel reciclable@|@wastepaper@
@papel sin pulpa mecánica@|@wood-free paper@
@parámetro@|@parameter@
@páramo@|@misty rain, lands above tree line@
@parásito@|@parasite@
@parcela@|@plot (of land)@
@parcela de prueba@|@sample plots@
@parcelas pareadas@|@paired plots@
@paredes de las células@|@cell walls@
@parénquima (célula)@|@parenchyma (cell)@
@parentesco@|@parentage, family relationship@
@participación en el mercado@|@market share@
@pasta, pulpa@|@pulp@
@pastal@|@graze@
@pastizal@|@pasture, meadow, grassland@
@pasto@|@grass@
@pasto guinea@|@Guinea grass@
@pasturas (A)@|@pastures, grassland@
@pata de cabra (palanca)@|@crowbar@
@patio@|@yard@
@patio de acopio@|@concentration yard (wood), landing@
@patio de madera@|@woodyard@
@patio de madera aserrada@|@lumber yard@
@patio satélite de trozas@|@log deck@
@patógeno@|@pathogen@
@patrón (modelo)@|@pattern@
@patrón (para injertar)@|@rootstock (for grafting)@
@pautas@|@guidelines, standards@
@pedo de bruja (C) (hongo)@|@puffball (fungus)@
@pedregoso@|@stony, gravelly@
@pendiente,cuesta@|@slope@
@peón (CA, M)@|@laborer@
@periódico@|@newspaper@
@peritecio@|@perithecium@
@perito@|@expert, technician@
@perno@|@bolt@
@perro de agua@|@mole cricket@
@perro tensor, tensor de cadena@|@chain binder@
@pertinente@|@relevant@
@pesa@|@scale, balance (for weighing)@
@peso@|@weight@
@peso específico/anhidro@|@wood density, oven dry@
@peste@|@pest@
@pesticida@|@pesticide@
@pétalo@|@petal@
@petiolo@|@petiole@
@pica (V)@|@cruse-line, survey line, skid trail@
@picnido@|@pycnidium@
@pie derecho, pilote@|@stud, upright post@
@pie tablar@|@board foot@
@pilote, pilotes, pilotaje@|@piling@
@pinar@|@pine forest@
@pino@|@pine@
@pino oregón (A, Ch)@|@Douglas-fir@
@piraña, caribe (V)@|@piranha@
@pista de arrastre (CR)@|@skid trail@
@plaga@|@pest (insect)@
@plagiotrópico@|@plagiotrophic@
@plan de ordenación forestal@|@forest management plan@
@plano de construcción@|@blueprint@
@planta@|@plant (vegetative)@
@planta de impregnación@|@wood treatment plant@
@planta leñosa@|@woody plant@
@plantación@|@planting, plantación@
@plantación en faja@|@strip planting@
@plantación en tresbolillo (C,V)@|@triangle configuration for planting@
@plantadora@|@planting machine@
@plantín (A)@|@seedling@
@plantita, plántula@|@seedling@
@plateo, rodaja (CR)@|@scalping (for planting)@
@playa de acopio (A)@|@woodyard, logyard, landing@
@plegador de hojas@|@leaf roller (lepidoptera)@
@pluviosidad@|@precipitation@
@población arborea@|@forest population@
@población forestal@|@stocking@
@poda@|@prune (cut limbs)@
@poda basal (vivero)@|@undercut (nursery)@
@poda de calidad@|@sawtimber pruning@
@poda de formación@|@formation pruning@
@poda inferior (vivero)@|@undercut, root wrenching@
@poda lateral (vivero)@|@lateral root pruning@
@poda radicular@|@root pruning@
@polea@|@pulley@
@polen@|@pollen@
@polilla@|@moth@
@polines@|@railroad ties@
@polinización abierta@|@open pollination@
@polinización controlada@|@controlled pollination@
@polinizar@|@pollinate@
@política forestal@|@forest policy@
@póliza de seguros@|@insurance policy@
@poro@|@pore@
@porra@|@sledge hammer@
@porrón (M)@|@brush hook@
@porta-objetos (microscopio)@|@slide (microscope)@
@porta-trozas (tractor)@|@forwarder@
@postes de mina@|@mine props@
@postes de transmisión@|@poles, telephone poles@
@postes, postes de cerca@|@fence posts@
@pradera@|@pasture, meadow, prairie@
@predio@|@tract@
@predominio genético (interacción de alelos en el sitio)@|@genetic dominance (interaction among alleles at loci)@
@preparación de sitio@|@site preparation@
@preparación del suelo@|@site preparation@
@presupuesto@|@budget@
@primavera@|@spring (season)@
@prisma@|@prism@
@procedencia@|@provenance@
@productos sólidos de madera@|@solid wood products@
@prohibición de trozas@|@log ban@
@promedio@|@mean, average@
@promedio ponderado@|@weighted average@
@propágulo@|@propagule@
@propiedad@|@property, ownership@
@propietario@|@landowner@
@proveedor de maquinaria@|@equipment supplier@
@proyecto@|@project@
@prueba@|@test, trial@
@prueba T de Student@|@T-test@
@prueba, parcela de@|@sample plot@
@pseudoestaca@|@stump (seedlings)@
@pua@|@scion@
@pudrición@|@rot, decay@
@pudrición de la albura@|@sap rot@
@pudrición del duramen@|@heart rot@
@pulaski (herramienta para candela)@|@pulaski (fire tool)@
@pulpa@|@pulp@
@pulpa absorbente@|@fluff pulp@
@pulpa blanqueada@|@bleached pulp@
@pulpa kraft@|@kraft pulp@
@pulpa kraft marrón@|@brown kraft pulp@
@pulpa mecánica@|@mechanical pulp@
@pulpa molida@|@groundwood pulp@
@pulpa química@|@chemical pulp@
@pulpa quimo-termo mecánica@|@chemi-thermal mechanical pulp@
@pulpa rayón, para disolver@|@dissolving pulp@
@pulpa termo-mecánica@|@thermal mechanical pulp (TMP)@
@puma, león de montaña@|@puma, mountain lion@
@quebrada@|@creek, brook@
@quebrada serpentina@|@meandering stream@
@quelates@|@chelates@
@quema@|@burn (brush, forest fire)@
@quema al voleo@|@broadcast burn@
@quema controlada@|@controlled burn@
@quema para reducción del peligro@|@hazard reduction burn@
@quema prescrita@|@prescribed burn@
@quemador@|@drip torch@
@quemadura@|@burn (on skin)@
@rabón (M)@|@truck, single axle or straight@
@radiación solar@|@solar radiation@
@radio-teléfono@|@two-way radio@
@ráfaga de viento@|@gust of wind, whirlwind@
@raicillas@|@feeder roots, root hairs@
@raíz cuadrada@|@square root@
@raíz desnuda@|@bare root@
@raíz libre (A)@|@bare root@
@raíz pivotante@|@tap root@
@raíz principal@|@primary root@
@raíz secundaria@|@lateral root@
@rajadura@|@split@
@raleo selectivo@|@selection thinning@
@raleo sistemático@|@row thinning@
@raleo, aclareo, entresaca@|@thinning@
@rama@|@limb, branch@
@rama frondosa@|@bough@
@rameto@|@ramet@
@ramificado@|@limby@
@rana@|@frog@
@raposo@|@fox@
@rasa, area de@|@clearcut areas@
@rasgo@|@trait (genetic)@
@rastra y cabezal (N)@|@tractor-trailer@
@rastra, rastrilla@|@disk, disc, harrow@
@rastrillo@|@rake@
@rastrillo forestal@|@fire rake@
@rastrojo@|@brush, brushland@
@rata@|@rat@
@ratón@|@mouse@
@rayo@|@lightning@
@raza (animales)@|@breed (race)@
@rebrotes, cópice@|@coppice, sprouts@
@recalcitrante (semilla)@|@recalcitrant (seed)@
@recipiente@|@container@
@recreo@|@recreation@
@rectitud@|@straightness@
@recurso natural renovable@|@renewable natural resource@
@red de caminos@|@road system, road network@
@réditos@|@financial yields@
@reforestador@|@tree farmer@
@regar@|@irrigate, water (to)@
@regeneración natural@|@natural regeneration@
@registro@|@record (data log)@
@regresión@|@regression@
@regresión múltiple@|@multiple regression@
@regruesadora@|@wood planer (machine)@
@regulación del aprovechamiento@|@regulation of cut@
@relámpago@|@lightning@
@relascopio@|@relascope@
@remate@|@auction@
@remolino@|@whirlwind@
@rendimiento@|@yield, gain@
@rendimiento anual@|@annual yield@
@rendimiento sostenido@|@sustained yield@
@reno@|@reindeer@
@repicar (plántulas)@|@prick out (seedlings)@
@repuesto@|@machine part@
@resina@|@resin@
@restar@|@subtract@
@resumen@|@summary@
@retardante de fuego@|@fire retardant@
@retoños, rebrotes@|@sprouts@
@retroexcavadora@|@backhoe@
@retroquema@|@backfire@
@revestimiento@|@wall, wall covering@
@riego@|@irrigation@
@riostras@|@corner supports, diagonal supports@
@roble@|@oak@
@robledal@|@oak forest@
@roca arenisca@|@sandstone@
@roca caliza@|@limestone@
@roca fosfórica@|@rock phosphate@
@rocería, socola (CR)@|@clearing, brush cutting@
@rociar@|@to spray@
@rocío@|@dew@
@rodaja (CR)@|@circle weeding@
@rodal@|@stand of trees@
@rodal semillero@|@seed production area@
@rola (V)@|@log, pulpwood stick@
@rolear (V)@|@buck, to@
@romana (V)@|@scale for weighing trucks@
@rompe-fuego@|@firebreak@
@rompe-olas (carro-cisterna)@|@baffle (tanker truck)@
@rotativa@|@rotary brush cutter@
@roya@|@rust (fungus)@
@sabana@|@savanna@
@sala de afilado@|@filing room, filing shack@
@saltahojas@|@leaf hopper@
@saltamontes@|@cricket@
@salvoconducto de transporte (C)@|@hauling permit@
@sapo@|@toad@
@sauce@|@willow@
@savia@|@sap@
@secamiento descendente(mortalidad)@|@dieback@
@sección radial@|@radial cut@
@sección tangencial@|@tangential cut@
@sección transversal@|@cross-section or face cut@
@seco@|@dry@
@seco al aire, secado al aire@|@air dry, air dried@
@seco al horno@|@bone dry@
@sedimento@|@sediment@
@seguridad@|@safety@
@seguros@|@insurance@
@selección disgénica@|@dysgenic selection@
@sembradora@|@seed drill@
@sembrar@|@sow, to plant@
@semilla@|@seed@
@semi-remolque (A)@|@tractor-trailer@
@señalización del árbol con hacha@|@blaze (tree mark)@
@señorita (C), tensor de cadenas@|@chain binder@
@señorita (V), diferencial@|@chain hoist@
@separación de los anillos anuales@|@shake, ringshake@
@separador de madera aserrada@|@sticker (of lumber)@
@sequía@|@drought@
@seto@|@hedge@
@siembra@|@sowing, planting@
@siembra de forraje@|@cover crop@
@siembra directa@|@direct seeding@
@sierra@|@saw@
@sierra de cinta@|@band saw@
@sierra de disco@|@circular saw@
@sierra sinfin@|@band saw@
@SIG, (Sistema de Información Geográfica)@|@GIS, (geographic information system)@
@significativo@|@significant@
@sílice@|@silicon@
@silicio@|@silicone@
@silo de aserrín@|@sawdust hopper@
@silvicultura@|@silviculture@
@sin corteza (troza descortezada)@|@inside bark, underbark@
@sindicato@|@labor union@
@sitio, calidad de@|@site quality@
@sobre corteza@|@overbark (E)@
@sobremaduro@|@overmature@
@sobrevivencia@|@survival@
@soldador@|@welder@
@soldadura, soldar@|@weld@
@sombra@|@shade@
@sompopa (CR)@|@leaf-cutter ant (Atta sp)@
@sotavento@|@leeward, downwind@
@sotobosque@|@understory, underbrush@
@subsolador (campo)@|@subsoiler@
@subsolador (vivero)@|@undercutter@
@subsolar@|@subsoil (to)@
@subsuelo@|@subsoil@
@suelo de capote@|@top soil@
@suma de cuadrados (SC)@|@sum of squares (SS)@
@sumar@|@add@
@superfosfato triple@|@triple superphosphate@
@supervivencia@|@survival@
@suprimido@|@suppressed, overtopped@
@surco@|@bed (agriculture)@
@tábano@|@horse fly@
@tabique@|@wall framing, separation@
@tabla@|@board, plank@
@tabla de rendimiento@|@yield table@
@tabla de volumen@|@volume table@
@tabla ranuarada@|@grooved board@
@tablero aglomerado@|@particle board@
@tablero aglomerado/tiras orientadas@|@oriented strand board (OSB)@
@tablero contraenchapado@|@plywood sheet@
@tablero de densidad media@|@MDF - medium density fiberboard@
@tablero de fibra@|@fiberboard@
@tablero de partículas@|@particleboard@
@tablero laminado@|@plywood@
@tablilla@|@lath, half-inch boards@
@tablón, tablones@|@thick boards, dimension stock@
@tacotal (CA)@|@high brush, sapling forest@
@tala dirigida@|@directional felling@
@tala rasa, matarrasa (V)@|@clear-cut@
@tala selectiva@|@partial cut, selective cutting@
@taladora-arrumadora (máquina)@|@feller-buncher@
@talador-apilador@|@feller-buncher@
@talar@|@cut, fell@
@taller@|@shop@
@taller mecánico@|@machine shop@
@tallo@|@stem@
@tanino@|@tannin@
@tapir@|@tapir@
@tara@|@tare@
@tarea, trabajo@|@task@
@tasa@|@ratio@
@tasa beneficio/costos@|@cost/benefit ratio@
@tasa de actualización@|@discount rate@
@tasa de interés@|@rate of interest@
@tasa interna de retorno (TIR)@|@internal rate of return (IRR)@
@tasa libor@|@prime rate@
@taxonomía@|@taxonomy@
@teca@|@teak@
@técnica de quema@|@firing technique@
@tejido de cicatrización@|@callus tissue@
@telémetro@|@range finder@
@tempestad@|@storm, rainstorm@
@tenazas@|@tongs@
@tendencia@|@trend@
@tensión ambiental@|@environmental stress@
@tensor de cadenas, perro tensor(V)@|@chain binder@
@terciado (A)@|@plywood@
@termita@|@termite@
@terrateniente@|@landowner@
@terreno baldío@|@wasteland, common use land@
@terreno escabroso@|@land with escarpments@
@terrón@|@clod of dirt@
@terrón (con plántula) (V)@|@containerized seedling@
@testigo@|@check (plot), witness@
@tetraploide@|@tetraploid@
@tigre, jaguar@|@jaguar@
@tigrillo@|@bobcat@
@tiras (de corteza)@|@strips (of bark)@
@tizón@|@blight@
@tocón@|@stump@
@toma de nutrientes@|@uptake of nutrients@
@topadora (A)@|@crawler tractor@
@torcedura@|@warp, twist, crookedness@
@torcido@|@crooked@
@tormenta@|@storm, rainstorm@
@tornillo de tuerca@|@bolt@
@tornillo goloso, barrenador@|@screw@
@torno@|@lathe@
@toronto (V)@|@tandem truck@
@torre de vigilancia@|@fire tower@
@torrero@|@tower operator@
@torton (M)@|@tandem truck@
@tortuga@|@turtle, tortoise@
@traba (diente de sierra)@|@set (saw tooth)@
@traba por triscado@|@alternate set (of saw teeth)@
@trabajabilidad de la madera@|@wood workability@
@trabajo de campo@|@field work@
@tractomula (C)@|@tractor-trailer@
@tractor articulado con tenazas@|@grapple skidder@
@tractor articulado, de arrastre@|@articulated skidder@
@tractor de oruga@|@crawler tractor@
@transplante@|@transplant, outplant@
@transportador (aprovechamiento)@|@forwarder@
@transportador (carga)@|@shipper@
@transportador (correa)@|@conveyor@
@transportador principal@|@leading shipper@
@transportadores en bulto@|@bulk carriers@
@tratamiento@|@treatment@
@trementina@|@turpentine@
@trepadora (planta)@|@climber, vine@
@triángulo de combustión@|@combustion triangle@
@trinchera@|@windrow@
@triplex (C)@|@plywood@
@triploide@|@triploid@
@trocear, rolear (V)@|@buck logs (to)@
@tronco@|@trunk (tree)@
@troza@|@log (tree)@
@troza inferior del fuste@|@butt log@
@troza para pulpa@|@bolt, pulpwood stick@
@troza superior del fuste@|@top log@
@trueno@|@thunder@
@tuca (CR)@|@log@
@tuerca@|@nut (machine)@
@tumbar@|@cut, fell@
@tupí@|@wood shaper@
@tupí portátil@|@portable wood shaper@
@turba@|@peat@
@turgidez@|@turgidity@
@turno@|@rotation@
@umbráculo@|@shade house@
@umbrófila@|@shade tolerant@
@vaina@|@sheath, bean pod@
@vaina de la facícula@|@fascicle sheath@
@valor de la madera en pie@|@stumpage (value)@
@vara@|@pole@
@variable dependiente@|@dependent variable@
@variable independiente@|@independent variable@
@varilla@|@wand, stick@
@vaso (célula de madera)@|@vessel (wood cell)@
@vástago@|@offspring@
@veda@|@restriction, prohibition@
@vegetación@|@vegetation@
@venado@|@deer@
@veneno@|@poison@
@verano@|@summer@
@vereda@|@trail (path), settlement@
@verruga@|@burl@
@vertisoles@|@vertisols@
@veta@|@wood grain@
@veteado@|@wood grain@
@vía de extracción@|@skid trail@
@viga@|@beam, joist@
@viga cambrera@|@top roof joist@
@viga de mina@|@pit prop@
@viga de solua@|@outside joist@
@viga madre@|@primary joists@
@vigilancia aérea@|@aerial fire spotter@
@vigilante de torre@|@tower operator@
@vigueta@|@joist@
@viruta@|@shavings, woodchip@
@viverista@|@nurseryman@
@vivero@|@nursery (tree)@
@volcamiento de árboles@|@windthrow@
@volqueta (C), volteo (V)@|@dump truck@
@volumen@|@volume@
@volumen comercial con corteza@|
@volumen comercial sin corteza@|
@volumen en pie@|@standing volume@
@volumen total con corteza@|@total overbark volume@
@volumen total sin corteza@|@total underbark volume@
@winche@|@winch@
@xilema@|@xylem@
@yaraguá melao (C)@|@molasses grass@
@yema del árbol@|@scion (tree)@
@yema terminal@|@leader (tree)@
@yunta de bueyes@|@ox team@
@zacatal (M)@|@tall grassland@
@zacate (M)@|@tall grass@
@zanja@|@ditch@
@zanjadora contra incendios@|@fire plow@
@zenit; cenit@|@zenith@
@zona@|@zone@
@zoología@|@zoology@
@zorrillo@|@skunk, opossum@
@zorro@|@fox@

