@English@|@Maxakali@
@Grandpa speaks well@|@Yãyã te hãm'ãktux maih@
@Grandpa walks by means of a stick@|@Yãyã te' kup hã hãpkumep@
@Grandpa wears a sheath for his knife.@|@Yãyã te mïkax xax tat.@
@grandson@|@putix, ügnix@
@grasshopper@|@kunihit, kunut, xanakoxtap@
@Grasshoppers are in the grass.@|@Kunihit te mïxux kopa' pip@
@greedy@|@xupkumïy@
@green@|@yïxux@
@green fruit@|@mïnta xupep@
@green grass@|@mïxux@
@greet@|@aneo@
@greeting@|@ãmãhïy@
@grieve@|@kuxa xok@
@grin@|@yïxix@
@grind@|@kãyãhã@
@groaning@|@ÃÃÃ@
@group@|@xop@
@grow@|@tuk@
@grunting@|@hüy@
@guard@|@penãnã'pip, xex@
@guira cuckoo@|@ëggïy@
@gums@|@xoxyïn@
@habitual@|@ehe, pax@
@hailstones@|@texxap@
@Hailstones fell from the sky@|@Texxap te pexkox tu' nãhã@
@hair@|@xe@
@half@|@xahi@
@half grown@|@tuktup@
@half moon@|@mãyõn xexka@
@halt@|@hup, hupmãhã@
@hammock@|@tutpe@
@hand@|@yüm@
@handle@|@ãpit@
@hang down@|@mõ'xup, xup@
@happy@|@hittup@
@hard@|@ka'ok@
@harden@|@ka'õgãhã@
@harmonica@|@anmõg@
@harpy eagle@|@mõyxexka@
@harvest honey from hives@|@küy@
@hat@|@xapeo@
@hawk@|@mõgmõka@
@hawk spirit@|@Mõgmõkaxop@
@he@|@ü@
@he already ate@|@a'xit@
@He arrived at the waterfall.@|@Tu ïmok tu' xupep@
@He ate beans and jerky@|@Tu pëyõg mãhã xix xognak@
@He beat on his own breast@|@Tu' yãy kep to'ok@
@He bought more than he had expected@|@Tu hãpxop pop ya'oma@
@He bought two records.@|@Tute kãnëy pet xax tix pop@
@He came down from the steep hill@|@Tu yïktix yïxoho@
@He cleared the land.@|@Tute hãpkunutxit@
@He clenched it in his hand@|@Tu' yïm hã' müg@
@He climbed the hill.@|@Tute yïktix mõ'kãnïn@
@He climbed up and came down again@|@Tu yïmü' mõg tu puxihi putpu@
@He closed his mouth@|@Tu' yïkox yïnnïn@
@He commanded the stormy wind@|@Tu' ãmuuh gãy tu' xat@
@He commanded them to sit down.@|@Tu' xat püyïy mãhãm.@
@He cut his big toe@|@Tute patatut xak@
@He did what was right.@|@Tute hãmyok mïy.@
@He divided up the watermelon@|@Tute totxuxpex mõ'pot@
@He drank coffee@|@Tute kapex xo'op@
@He drank the mixture@|@Tute konnop xo'op@
@He dug in the ground and planted@|@Tu' kot tu' xok@
@He gave it to you@|@Tute xa' hõm@
@He greeted them@|@Tute ãmãhïy.@
@He ground the coffee beans@|@Tu kapex xap kãyãhã@
@He grunted@|@Ha: -Hïy@
@He had four children (offspring)…@|@Ak-tok xohix te koat…@
@He had only one child@|@Ak-tok puxehnãg@
@He had sore buttocks@|@Ha tãyïn xüy@
@He has ten fingers@|@Üyïpkutok te nex@
@He heard a birdsong@|@Tu putuxnãg kax ãpak@
@He heard buzzing@|@Ha:-Hooooo.@
@He heard the rascal's defense@|@Tute kãy yõg hãm'ãktux ãpak@
@He hit him again and again@|@Tu' kix kakix@
@He hunted tapir.@|@Tu ãmãxux xak.@
@He interjected@|@Tute: -Ãy -@
@he is alive@|@Ap xip'ah Yeyox yã' putpu' hi@
@He is eight years old.@|@Üyõg hãmyãxatamuk xohix te oit@
@He is going along with this person@|@Tute nü mütik mõg@
@He is here@|@Nünte' xip@
@He is in the house@|@Mïptut kopa' xip@
@He knew it@|@Tute' yümmüg@
@He lay down panting@|@Tu' pip axa hu:--He he he@
@He led 'em until he brought 'em to their destiny@|@Ha' mõgãhã tu mõktu xupepmãhã@
@He left but he was furious@|@Ümõg pãyã' gãy.@
@He looked upward@|@Ha kãgmãg@
@He made bread from wheat@|@Tu xuxnãg xetox hã' mïy pãm@
@He moved away@|@Tu kãnãm@
@He passed through the center of town@|@Komën kotit hã' mõg@
@He planted corn as usual@|@Paxok xok ehe@
@he played an instrument@|@ha anmõg hã' kax@
@He received money and bought salt for his wife@|@Tayümak pop ãmot paha üxetutpu@
@He rose and stood up@|@Tu' yok tuk-nïhã'xip@
@He said@|@Tu:-Hoo?@
@He seized the man like this@|@Tu tik müg kaxïy@
@He shook the bottle of medicine@|@Tu hehmën yõg gahap yo'ok@
@He shoved it@|@Tu' kaxix@
@He slept soundly@|@Mõ'yõn ka'ok@
@He slept soundly all night long.@|@Mõ'yõn ka'ok ãmnïy tox hã.@
@He slept soundly not waking up at all.@|@Mõ'yõn ka'ok yãy koxak ohnãg@
@He sowed beans and corn@|@Tu pëyõg xok xix paxok@
@He spit@|@Tuü kãn kaxïy@
@He spoke to the children all together.@|@Tu kakxop pu hãm'ãktux ïgãnãhã@
@He stayed@|@Tu' xip@
@He stood in front of the other@|@Tu' nõy keppa' xip@
@He stopped breathing and died@|@Tu' xitxut kux tu' xok@
@He swallowed the medicine.@|@Tute hehmën tõmãhã@
@He talked about the Maxakalí.@|@Tute tikmü'ün ãktux.@
@He tied up the dog@|@Tute kokex hïy yã' tox hã' hï@
@He took up an arrow and shot it@|@Tu' pox paha ha: -Xëg@
@he waits and puts up with him@|@puxi' hip tu nõã'tot@
@He walked along the river shore@|@Tute hãpkux tu hãmkumep@
@He walked by the other's side@|@Tu' nõy kãmü' mõg@
@He wanted tobacco@|@Tutep-tup kohok@
@he wants to kill you@|@Tute ãp-tex putup@
@He was angry with his brother so he killed him@|@Ügãy ütaknõy tu' gãy hup-tex@
@He was ashamed@|@Tute yãyhãhup@
@He was badly beaten@|@Ha' kix kakixnãg@
@He was covered with wounds@|@Kayet punethok@
@He was healed and overjoyed@|@Ha' tupmãhã yïy hittup xexka@
@He was mounted on a small horse@|@Tu kãmãnoknãg yïmük yüm@
@He was not happy@|@Ap hittup 'ah.@
@He was starving@|@Putup tep-tex@
@He went@|@Ümog@
@He went and helped the other man.@|@Tu' mõg tu' nõy nõ tehe@
@He went at noon.@|@Amõg mãyõn te yãykote' yüm ïhã@
@He went to his son's home@|@Tuk-tokpit pet ha' mõg@
@He went to the valley@|@Amõg hãpxahit ha@
@He went to town in a jeep@|@Tu kõmën ha' mõg yip hã@
@He went up close to the river@|@Tu kõnãgkox mõ'yõkam: ha' mõg@
@He wore rags.@|@Ha kanet mõ'tat@
@He wrapped up the meat to transport it@|@Tu xogyïn yãykoxuk nüy tat@
@He wrote with a pen/pencil@|@Tu tappetkup hã kax'ãmi@
@head@|@putox@
@headache@|@putox xüy@
@headband@|@xahap@
@headwaters of river@|@kox putox@
@heal@|@hittupmãhã@
@healthy@|@hittup@
@hear@|@hãm'ãpak, xupak, xupax@
@hear about@|@ãpak@
@heart@|@kuxa@
@heat up@|@pukgãhã@
@heaven@|@pexkox@
@heavy@|@putux@
@hedgehog@|@õnyãm xexka@
@heel@|@patakup xahi@
@help@|@ãyonat, nõ tehe, tehe, tehet@
@help out@|@mõ'nïynãm@
@help!@|@a a a@
@hen@|@xokakkak@
@Her daughter helped her grandmother/aunt@|@Xukux tek-tokhex hã tehet@
@here@|@nünte@
@He's unconscious but came to himself again@|@Ha' xok putup pãyã' hi tapax@
@hide@|@xaptop@
@hide self@|@yãy xaptop@
@high orbit of sun in summer@|@mãyõn yüm ka'ok@
@highway@|@honex@
@His body was strong@|@Ha' yïn ka'ok@
@His foot hurt because it was swollen.@|@Apata xüy ümõm ha@
@His heel hurts@|@Üpatakup xahi xüy@
@His nephew/grandson was a teenager@|@Ha' putix tuktup@
@His relative came and stayed a long time@|@Üxape nün tu ti ka'ok@
@His son is a young man@|@Ak-tok pit yã hapax@
@His son is already grown up@|@Ük-tok yã' xiptap@
@hoe@|@taxunna@
@hold@|@müg, put@
@hole@|@kox@
@hollow out@|@ünahat@
@hollowed log@|@mïpkox@
@home@|@pet@
@hooting@|@ËÃ@
@horizon@|@hãmnõgnõy, hãpkuxyã@
@horned screamer@|@ãpihi@
@hornet@|@ãnãmok@
@horse@|@kãmãnok@
@hostile country@|@hãmpuknõg@
@hot@|@pukpex@
@hot weather@|@hãmpukpex@
@house@|@mïptut@
@house key@|@pipkup mõhãmyïnnïn'ax@
@housefly@|@kumyãm@
@how come?@|@putep ha, putep tu@
@how many?@|@xïy@
@How much money?@|@Tayümak xohix te xïy?@
@however@|@pa, pãyã@
@hug@|@mügka'ok@
@huh?@|@e@
@hungry@|@putup xüy@
@hunt@|@xax@
@hunt game animals@|@xokxopxak@
@hurry@|@mõkka'ok@
@hurt@|@xüy@
@husband@|@yïpxox@
@hypocrite@|@pa maih pãyã' kuxa kummuk@
@hypothetical consequence@|@puxix@
@I@|@-g, üg@
@I am a native son of the Maxakalí@|@Ügmün yã tikmü'ün kutok@
@I am angry because the outsider lied@|@Ãyuhuk koit hak gãy@
@I am dead for sleep@|@Kümïpxüy tek putex@
@I am dying for sleep.@|@Mïpxüy tek putex@
@I am hungry@|@Ükputup xüy.@
@I am sick@|@Ükpakut@
@I am speaking to give you information@|@Ãte hãm'ãktux nüy ãyümmügã@
@I bought a kilo and a half of rice@|@Ãte xuxnãg popyã' kit xi' xahi@
@I coiled it and smoothed it with a shell@|@Tu' mãgãhã tu' kõnãhã.@
@I cooked manioc and it was done@|@Üktet kohot ha' puk@
@I cooked the sweet potatoes@|@Ãte kõmïy pukgãhã@
@I did not go.@|@Ak mõg 'ah@
@I don't want to go. It is drizzling@|@Ük mõg putup 'ah. Tex tihi.@
@I don't wish to go; I am staying@|@Ak mõg putup'ah yãk hit@
@I dug and planted rice@|@Ha' kot tu' xok xuxnãg@
@I dug in the ground to plant beans@|@Ãte hãpkot tu pëyõg xok@
@I dug them up and I came back to cook them@|@tu' kot tuk nün ha' puk.@
@I filled the bag and brought it@|@Tu' xuk ãte tu' taha@
@I finished off and washed it@|@Axat koho tu' pix@
@I go on foot@|@Ükpata hãk mõg@
@I have a backache@|@Ügxãpxüy@
@I have a bellyache@|@Üktex xüy@
@I have a headache@|@Ükputox xüy, Ükputox xüy@
@I have come.@|@Ügnün@
@I have one brother@|@Ükpit puxet@
@I heard his voice@|@Ãte' yïxupep ãpak@
@I hurried to get the medicine@|@Mõkkaõk nüy hehmën pa@
@I made a clay pot and I made itup to the standard@|@Ãte nax mïy tu' maihnãhã.@
@I pinched my sister (female speaking)@|@Ãte ügtutnõy kuptop@
@I put it in a bag@|@Tu' xuk ãte@
@I rolled it up tightly into a ball of string@|@Üxit ha' kïy xexka@
@I saw the burial ground@|@Ãte hãpxukpot penãhã@
@I thought it over@|@Ãte hãmpe'panõm@
@I want to get down on my knees@|@Tuk kopaxux hãk yüm putup@
@I went all alone@|@Yãpxegnãg hã-g mõg@
@I went to take out clay to make pottery@|@Ügmõg nax nïã@
@I went to the open market with my father@|@Ügmõg nãpet ha ãtak mütik@
@I went to town@|@Ügmõg komën hah@
@I will go the day after tomorrow@|@Hãpkaxnõy ïhãg mõg putup@
@I wove a large net and tied it to a tree@|@Üxit xexka tumïm tu' hïy tutpe@
@If he is there; the man will call him@|@Pëyã' xip tik te' xãnãp-tup@
@If we Maxakalí were outsiders@|@Paxpu tikmü'ün yã ãyuhuk@
@If you had been wise@|@Pax xa hãmyümüg….@
@I'm a genuine Maxakalí@|@Ügmün yã tikmü'ün xe'e@
@I'm going to Batinga by bus@|@Tato Kat tuk mõg õn hã@
@I'm going to the market@|@Ügmõg nãpet ha@
@image@|@koxuk@
@immediately@|@hãpxip ohnãg@
@impact of a bright red@|@Këm@
@improve@|@maihnãhã@
@in@|@kopa@
@In a few days…@|@Ãmnïy kutõgnãg ïhã….@
@In a rage he destroyed things@|@Agãy tu hãpxop koxyõy@
@in case@|@püyã@
@in front of@|@keppa@
@In January the sun has a high orbit.@|@Yanën ïhã mãyõn yüm ka'ok.@
@In July the sun has a low orbit.@|@Yot ïhã mãyõn yüm pu'uk.@
@In July the weather is cold and foggy@|@Hãmgõy xix hãm axi ïhã Yot@
@in order that@|@pu@
@in order to@|@nüy@
@In September the weather is dry@|@Xetëm ïhã hãm nak@
@in that case@|@kopxix@
@In the cold season the children shiver@|@Hãm ãxi ïhã kakxop xapxüy@
@In the dark of the night@|@Ãmnïy koxtap ïhã@
@in the hope that@|@puyïy@
@in the hope that you...@|@xayïy@
@in the middle@|@kote@
@in the middle of@|@yãykote@
@in vain@|@hitop, hok@
@incite@|@ãpu@
@increase@|@nõynã'mõg@
@increase in volume@|@mõmmãhã@
@index finger@|@yïpkutok koxuk@
@Indian post@|@nõpox@
@inflict suffering@|@xüygãhã@
@infuriate@|@gãyãhã@
@innermost@|@kuxa@
@in-order-to@|@nüy@
@insect@|@kut@
@inside@|@kopa@
@intensifier@|@tapax@
@intestinal parasite@|@puxõ'õy@
@invite@|@xapit@
@Isabel herself roasted the meat@|@Iyameo mün mõg xogyïn hap@
@Isabel is staying at the Post@|@Gyameo te nõpox tu' nox xip@
@Isabel's brother is smart@|@Iyameo pit te hãmyümmüg@
@It all seems about the same@|@Axohix yã hãmputuk@
@It costs five hundred@|@Tayümak xohix te küyën.@
@It costs four reais.@|@Tayümak xohix te koat@
@It drizzled today@|@Hõnhã tex ãtix@
@It has a long neck@|@Üxuknïkup tox@
@It has a lot of animal fat@|@Ha xoktop punethok@
@It held [the man's] head in its@|@Tap-tox nahat ha' pip mõktupt@
@It is a quality saddle@|@Kãmãnok xax maih@
@It is cold today@|@Hõnhã hãm'axi(x)@
@It is cold weather today@|@Hõnhã xaptep-tex@
@It is drizzling today@|@Hõnhã tex tihi@
@It is good!@|@Amaih!@
@it is green.@|@A' ta 'ah. Mïnta xupep hõnhã.@
@It is high noon now@|@Hõnhã mãyõn kote@
@It is your middle finger@|@yã' yïpkutok yok@
@It sank it's teeth into buttocks...@|@Tu mõktu nüte nãy tu nõ:-Kanep@
@it shrank@|@ha' yãy nünnãhã tu hümnãg@
@It stood against the wall@|@Yã hãm'ata tu' yüm@
@It was a bee.@|@Yã puhuk.@
@It was a deep crimson@|@Yã kotïnnãnãm@
@It was already becoming dark.@|@Yã ãmãxaknãg.@
@It was full moon.@|@Ha mãyõn ãnuk@
@It was nearly dark@|@Yã ãmnïynãg.@
@it will happen again@|@xe nün putup@
@itch@|@koho, xukoho@
@It's a good saddle@|@Yã kãtuk maih@
@It's a thunder storm@|@Yã textïnnãhã@
@It's empty@|@Yã hãmhok@
@It's good to throw out spoiled food@|@Yã' mãih hãpxop kunox putyõn@
@Its neck is long@|@Üxuknïkup tox@
@jacana@|@putuxtuxnãg@
@jackknife@|@kanimet@
@jaguar@|@hãmgãy@
@jail@|@kanet@
@James was his father's own messenger@|@Yãm te' tak hã yãykutnã'ax@
@jeep@|@yip@
@jerky@|@xognak@
@Jesus broke the bread@|@Yeyox te pãm koxip@
@Jesus died on a cross.@|@Yeyox te mïpkupnix tu' xok.@
@Jesus died on our behalf@|@Yeyox te yümüg pupi' xok@
@Jesus is not here@|@Ap xip'ah Yeyox yã' putpu' hi@
@Jesus restored the blind man's sight@|@Yeyox tetik pa hok pu' pa nãhã@
@Jesus sent out his own men@|@Yeyox te yãy tik xop mõ'pok@
@Jesus spoke on top of the mount@|@Yeyox te hãm'ãktux nïktix yïm@
@Joan stayed single@|@Yo'ãn yã yãytahok@
@Joe gave his brother/counterpart a pig@|@Yoye te xapup hõm ünõy pu@
@Joe is John's little brother@|@Yoye te Yõãm hã' nõy kutõgnãg@
@Joe is younger than his brother@|@Yoye te' taknõy hã' kuhmõy@
@Joe made a woven basket; it was well made@|@Yoye te manax mïy ümaih manax@
@Joe took John's daughter as his wife@|@Yoye te Yõãm kutokhex müg@
@Joe took the shotgun.@|@Yoye te kupukkox paha@
@Joe's son was well/happy@|@Yoye kutokpit hittup@
@John built a beautiful house.@|@Yõãm te mïptut maih mïy.@
@John built a fence@|@Yõãm te hãmpak'ax mïy.@
@John is Joe's big brother@|@Yõãm te Yoye hã' nõy tuk xexka@
@John made his home in a sparsely inhabited area@|@Yõãm te panip xexka tu' pet@
@John urged@|@Yõãm te@
@John was chosen by the province@|@Yõãm yã hãmyãykutnã'ax@
@John washed the heads of  the Jews@|@Yõãm te yoneo xop putox pix@
@John went@|@Yõãm mõg@
@John wore a leather belt@|@Yõãm te xokxax hãk-nãy hïy@
@John's home is on a large lot@|@Yõãm pet tehãm xexka kopa' yüm@
@John's home is over there@|@Õnte' yïm Yoãm pet@
@John's relatives met together@|@Yõãm xape xop te yãy tu nü'xok@
@John's residence is large@|@Yõãm yõg pip'ax xexka@
@Jonah was inside the fish's belly@|@Yõnã te mãm kotex kopa' xip@
@Joseph heard the news.@|@Yoye te hãm'ãpak@
@Joseph told the good news.@|@Yoye te hãm'ãpak maih ãktux@
@judge@|@hãmpe'paxex üpa kopa@
@jump@|@pün pün@
@jump across@|@mit@
@jump over@|@ãtex@
@jungle@|@hãmhipak@
@just before sundown@|@mãyõn kutõgnãg@
@keep@|@xex@
@kettle@|@kanenãm@
@key to unlock the door pipkup@|@hãpxõn'ax@
@kick@|@mõ'yõn üpata hã@
@kill@|@putex@
@kill with teeth@|@hãmhogãhã@
@kiss@|@hax@
@knee@|@kopaxux@
@kneel down@|@nühãy@
@knife@|@mïkax@
@knife sheath@|@mïkax xax@
@knit@|@xap@
@know@|@yümmüg@
@knowledgeable@|@hãmyümmüg@
@knowledgeable person@|@nõm te hãmyümmüg@
@laborer@|@kãmãnat@
@lack@|@hok@
@ladder@|@mïpku'ïn@
@lake@|@puxhep@
@lamp@|@kuyãnãm, yãnãm@
@land@|@hãhãm, hãpxexka@
@land turtle@|@kegmax xexka@
@lard@|@xoktop@
@large@|@xexka@
@large animal@|@tut@
@large body of water@|@kõnãkxexka@
@large group of people@|@münõpxop@
@large intestine@|@mãgtap@
@large land@|@hãpxexka@
@large pond@|@puxhep@
@large timber of structure@|@mãykup@
@large wing feathers@|@yïmãg xap@
@law@|@xat'ax@
@lazy@|@tuknõg@
@lead@|@mõgãhã@
@leaf@|@xux@
@leaf vein@|@mïxux kãyãmi@
@leather@|@xokxopxax@
@leave@|@ãpep, xupep@
@left hand@|@yï/pxax@
@legitimate@|@xe'e@
@lemon@|@mãnãgyãg xe'e@
@lest@|@ka@
@lest he kill me@|@kak putex@
@let down a fish hook@|@-m-nüm mãhat@
@let down from above@|@yïxot nãhã@
@let it be@|@püyã@
@Let the women stay@|@Puyã ün pi@
@let's clear away the weeds with a scythe@|@Ãpu yümüg mïxux xit kupukhe hã@
@Let's go Cross Cousin!@|@Ãpu ymü mõg tiktut!@
@Let's go fishing and use bee larva for bait@|@tu' nüy mãm tuk-tok hãxyãhã@
@let's go!@|@Ãpu yümüg mõg@
@level out@|@nuhut@
@lie@|@koit@
@lie down@|@pip@
@light@|@kuyãnãm, yãnãm@
@lightning@|@tex yãnãm@
@lightweight@|@tunnep@
@like@|@putuppax@
@like this@|@kaxïy, Tuü kãn kaxïy@
@limbless lizard@|@ãtonnok@
@lime@|@mãnãgyãg@
@lips@|@yüy kox xax@
@liquid@|@hep@
@liquid mixture@|@konnop@
@listen@|@hãm'ãpak@
@little brother@|@nõy kutõgnãg@
@little clay ball@|@hãpxap@
@little finger@|@yïpkutok yüynãg@
@live@|@hi, ti ka'ok@
@liver@|@xupkünãy@
@lizard@|@mãgnõg, xokyãm@
@lobster@|@kuxhip@
@long@|@tox@
@Long ago@|@Hõmã@
@Long ago my mother became ill and died@|@Hõmã üktut pakut tu' xok@
@Long ago there were lots of wild birds@|@Hõmã xokxop yïmãg punethok@
@long for@|@xax@
@long hair or fur@|@xetox@
@look@|@penãhã@
@look at in order to criticize@|@hãmpenã kummuk@
@Look at the bell@|@Penã pipkup ni'ik@
@look at the view@|@hãmpenãhã@
@Look at your little finger@|@Penã ãyïpkutok yüynãg@
@look here@|@hënãhã, hënãhã@
@look here!@|@hënã@
@Look here! The door key!@|@Henã! Pipkup mõ'yïnnïn'ax!@
@Look there is a wise man!@|@Pënã tihik nõm te hãmyümmüg!@
@look timidly at@|@penã pu'uk@
@look upward@|@kãgmãg, yõkãnãm@
@Look! A coati!@|@Penã! Künühüm!@
@Look! A stream of water!@|@Penã! Kõnãgkox!@
@Look! Ants!@|@Pënã! Münïhïn!@
@Look! Water!@|@Penã! Kõnã'ãg!@
@lose@|@xaxok@
@love@|@putuppax@
@love deeply with commitment@|@mõ'yãy xe'ëgnãg@
@low orbit of the sun in winter@|@mãyõn yÜm pu'uk@
@lower arm@|@yïmputox@
@lower leg@|@patap-tox@
@lukewarm@|@pu'uk@
@lumbar vertebrae@|@takup@
@lumber@|@mïmpe@
@macaroni@|@xokmãg@
@macaw@|@ãmkak@
@macaw spirit@|@Ãmkak@
@machete@|@mïkax xexka@
@made it into a fishnet@|@tu' kux tu nõ mãpxamut@
@make@|@mïy@
@make acceptable@|@maihnãhã@
@Make God's road ready@|@Ãpu Topa yõg putat max mïy@
@make happy@|@hittupmãhã@
@mammal@|@xoktut@
@man@|@tik@
@manioc@|@kohot, kot@
@manioc cake@|@kotpex@
@manioc flour@|@kõnyõn@
@man's sister@|@hex@
@many@|@punethok@
@Many crickets chirped@|@Xapanex xohix te' kax@
@many years back@|@hãmyãxatamuk xohix ïhã@
@market@|@nãpet@
@marry@|@yãytaha@
@marsh@|@pohok@
@Mary grieved over her husband's death@|@Manix kuxa xok üyïpxox xok ha@
@Mary's house is over there@|@Mãnix pet yüm nõnte@
@mature men@|@takxop@
@Maxakalí child@|@Kakxop@
@Maxakalí man@|@tihik, tik@
@Maxakalí woman@|@ühün, ün@
@may@|@'ax poten@
@may everyone reverence You@|@püyã' xohix kuxa' yëy ãkeppa@
@may it be@|@püyã@
@maybe@|@pãhã, pëyã@
@me@|@ãm@
@means@|@hã@
@meat@|@xogyïn, yïn@
@medicine@|@hehmën@
@meditate@|@hãmpe'paxex kuxa kopa@
@meet@|@yãy tu nü'nãhã@
@meet together@|@yãy tu nü'xok@
@melon@|@kehex@
@men of father's generation@|@ãtakxop@
@Men wear watches@|@Tik xop te henox tat@
@Men wrote it on paper@|@Tik te tappet hã' kax'ãmi@
@men's ritual house@|@kuxex@
@merciful@|@kuxa ka@
@mesa@|@xanep@
@mesh@|@hammock tuhut@
@messy@|@xux putux@
@metal object@|@pipkup@
@mid afternoon@|@mãyõn he@
@middle@|@nãgnõy@
@middle finger@|@yïpkutok yok@
@midmorning@|@pexkox puka' yüm@
@midnight@|@ãmnïy kote, hãpkoxtap@
@Miguel wore a white shirt@|@Mïget te kamïn ponnok tat@
@milk@|@münüytut yõktat hep, xokhep@
@mix food@|@tet@
@moaning@|@ÕÕÕÕ@
@Mom traveled to the Post.@|@Mãy hãpkumep Nopox tu'.@
@Mom went for medicine in vain@|@Mãy hïtop mõg hehmën ha@
@money@|@tayümak@
@monkey@|@koktix@
@moon@|@mãyõnhex@
@morning@|@hãptup@
@mosquito@|@kummãyõy@
@moth@|@kututtap@
@mother@|@hen xokakkak tut, mãy, tut@
@Mother brought the sugar@|@Mãy te axok putnün@
@Mother cooked the rice without husks@|@Mãy te xuxnãg koxuk kutet@
@Mother enlarged the fishnet@|@Mãy te mãptut xexkanãhã@
@Mother got some manioc flour@|@Mãy te kõnyõn paha@
@Mother has two sisters@|@Mãy müg tutnõy te tix@
@Mother made lots of manioc cakes@|@Mãy te kotpex xohix mïy@
@Mother roasted the meat@|@Mãy te mõ xogyïn hap@
@Mother roasts meat on the fire@|@Kuxap hã Mãy mõ xogyïn hap@
@Mother sent me to Grandfather@|@Mãy mõkpok Yãyã ha@
@Mother threw out the filthy thing@|@Mãy te hãpxop yã'ïgã putyõn@
@mother's sister@|@mãy, tut@
@motorized vehicle@|@mïptut mõg@
@mound@|@hãptot@
@mountain@|@yïktix@
@mourn@|@potaha@
@mouse@|@xetxox@
@mouth@|@yCykox, yïykox@
@Mr. Joe butchered a pig@|@Kopat Yoye te xapup putex@
@mud@|@puto'õy@
@mud stove@|@hãpkox ãmuk'ax@
@mud wall@|@hãm'ata@
@mule@|@kãmãnoknãg@
@multiply@|@nõynã'mõg@
@muscle@|@yïn@
@mute@|@yïyhok@
@mute with wonder@|@YaY@
@My back hurts@|@Akpat xüy@
@My brother chased away the strange dogs@|@Ükpit te kokex puknõg papux@
@My brother chews sugar cane.@|@Xõnnü te mïtkup xup.@
@My brother forgot/lost the fishing pole@|@Agnõy te koxãpkup xaxok@
@My brother grew until he was big@|@Ha xõnnÜ tuk tu mõktu xexka@
@My brother paid@|@Xõnnü te pago@
@My brother picked up a bow@|@Agnõy te nãptut paha@
@My brother you traveled to the town@|@Ügnõy xate hãpkumep kõmën ha@
@My daughter bought some perfume@|@Tuküm te hãpxop haxnãg paha@
@My daughter gave birth to a tiny baby@|@Tuküm te kakxop pügnãg put@
@My daughter has brown hair@|@Tuküm xe 'ata@
@My daughter has sore gums@|@Tuküm xoxyïn xüy@
@My daughter is already well@|@TukÜm hittup tap@
@My daughter is grown up; she is a young woman@|@Tuküm tuk xexka yã mõyxa.@
@My daughter made a pretty necklace@|@Tuküm te xap maih mïy@
@My father was drunk on Saturday@|@Nitxap ïhã ãtak paptux@
@My female cross cousin fished with a net@|@Tiktut te mãm mõkxuk@
@My granddaughter's/niece's name is Mary@|@Nixix ãxet'ax Manix@
@My grandfather is a good speaker@|@Akxuxyã te hãm'ãktux maih@
@My hand itches@|@Ügyïm koho@
@My relative cares about me@|@Ükxape tek putup pax@
@My relative has pain in his lower leg@|@Ükxape te patap-tox xüy@
@My sister got married@|@Ügtutnõy te yãytaha@
@My sister is going with me@|@Tuküm te nümütik mõg@
@My sister is lazy@|@Ük hex tuknõg@
@My sister looked out the window@|@Tuküm te hãpkatet hã' penãhã@
@My sister went to the Post for medicine@|@Akhex mõg hehmën ha nõpox tu@
@My sister wore decorative stones@|@Tuküm te' tat xahap@
@My sister's child is cute (male speaking).@|@Tuküm kutok yã mãynãg.@
@My son hooked a catfish@|@Xõnnü te kotatak paha@
@My son killed a capibara@|@Xõnnü te kuxakkuk putex@
@My son longs for meat@|@Xõnnü te xogyïn xak@
@My son you did it@|@Xõnnü xate' mïy.@
@My son's lower arm is painful@|@Xõnnü yïmputox xüy@
@My throat hurts.@|@Agmãykox xüy@
@My toe hurts@|@Akpatak-tok xüy@
@My uncle is an adult@|@Ükxuxyã te tiptap@
@naked@|@xaxtop@
@name@|@ãxet'ax, xuxet'ax@
@name of spirit@|@Ãmõm, Kotkuphix@
@narrow@|@hümnãg@
@near@|@hãmhümnãg@
@neck@|@xuknïkup@
@necklace@|@xahap@
@needle@|@ãmuxnãg@
@negotiate@|@nõmenax@
@nephew@|@ügnix@
@nest@|@pet, petnãg@
@never marry@|@yãytahok@
@new@|@tup@
@new moon@|@mãyõn kohohnãg@
@newborn@|@pügnãg@
@next@|@künãy tu@
@next to@|@yïka@
@next younger@|@kuhmõy@
@night@|@ãmnïy@
@nine o'clock AM@|@mãyõn xup, pexkox puka' yüm@
@no@|@ãmhok@
@no!@|@hok@
@nominalizer@|@-'ax@
@non-Indian@|@ãyuhuk@
@non-Maxakalí neighbor@|@kopat@
@noon@|@mãyõn te yãykote' yüm, mãyõn yãykote' yüm@
@nose@|@xupup@
@not@|@-'ah, a, ak, ap, hok@
@not at all@|@ohnãg@
@not…@|@hok@
@now@|@hõnhã, nõmhã@
@Now the watermelon is ripe@|@Nõmhã totxuxpex ta@
@nude@|@xaxtop@
@oblong round@|@mõktox@
@obstinate@|@putox ka'ok@
@Octavian's son is an adolescent@|@Otap kutok tuktup@
@offspring@|@kutok@
@offspring of snake@|@kãyãk-tok@
@oh@|@Ãy@
@Oh@|@Ãy ãy!@
@oh!@|@ãy, Ãy ãy!@
@Oh!@|@Ahhh!@
@oil@|@hep tox@
@old@|@hittap, kutut@
@on behalf of someone else@|@pupi@
@on guard@|@penãnã'xip@
@on the lookout@|@penãnã'pip, penãnã'xip@
