@English@|@Tanacross@
@general term for any bug@|@guu@
@general term for birds@|@tsúgaay@
@general term for caribou@|@wudzih@
@general term for fish@|@luug@
@general term for food@|@shí'@
@general term for moose@|@dendîig@
@George Creek@|@Nxaal Ndiig@
@Gerstle River@|@Ts'iitsiiy Ndiig@
@get dressed!@|@naghut-tl'uh de'!@
@get out of here!@|@én' tîinindaayh@
@get some from it@|@nâan ts'enh ch'unindiyh@
@get up@|@dég déníltsiit@
@get up!@|@dëg' ni'ídhínhaayh@
@gifts given at potlatch@|@jaa'@
@gillnet@|@tehmíil@
@give it to me@|@nde'@
@give me the baby@|@ts'enîin gaay shtl'á'íhteeyh@
@give me the dry fish@|@má' shtl'á'íhchuut@
@give me the gun@|@k'á' shtl'á'íntiiyh@
@give me the knife@|@seey nde'@
@give me the plate@|@tth'áak n1de'@
@give me the shirt@|@eek shtl'á'íhchuuth@
@give me the small rock@|@tthee gaay shtl'ánín'aayh@
@give me the water@|@tuu shtl'á'ínkaayh@
@glacier@|@luut ddhel@
@Glaman Lake@|@Dlaa Menn'@
@glued on@|@xetnelt'etth@
@go@|@aahaal, ghahdél, ghihhaal, ghinhaal, tedhahdeetl, tedhihshah, tedhinshah, teeshah, ts'aadél, ts'eedeetl, xaadél, xteedeetl@
@go away@|@én'@
@go away!@|@én' stâanindaay!@
@go get food!@|@hí' ka'inhá'@
@God@|@T'axdíht'eey@
@golden eagle@|@ch'eshaan'@
@goldeneye@|@tthí'k'âay@
@good@|@ahsuu, ihsuu, insuu, nsuu, ts'insuu, xinsuu@
@good luck@|@ghalíi'@
@Goodpaster River@|@Jîiz Ndiig@
@goshawk@|@jîiz chox@
@got better@|@naghishshé@
@grab@|@ídhahchúut, ídhekchúut ts'íhchúut, ídhihchúut, xiyíhchúut, yíhchúut@
@grass@|@tl'ox@
@grass growing out of water@|@taaguuth@
@grave@|@tth'enh k'ée@
@gravel@|@thaayh@
@gravel bar in river@|@thaayh ts'enin'ah@
@gravel creek@|@Niithaayh Ndiig@
@gray-haired@|@tthí' geyh, tthiitnitgaay@
@grayling@|@seejel@
@grease@|@xee@
@greasy@|@elxee@
@great grey owl@|@nahdaax@
@great person@|@diichâagh@
@green wood@|@tsets dehtsel@
@green wood is heavy@|@tsets dehtsel dindaath@
@green-winged teal@|@tuhtsêdl, tuhtsêdl@
@grey jay@|@jîiz@
@grizzly bear@|@ch'eliitthogh'@
@grizzly bears are brown@|@ch'eliitthogh' déltthox@
@grosbeak@|@kelahtuud@
@ground@|@nén'@
@ground hog@|@k'aay@
@ground squirrel@|@tthel@
@group@|@dendeey iin@
@grouse@|@deyh@
@grow@|@nesheex@
@guide@|@wuk'éetáa ch'eltsîig@
@gum@|@dzéex@
@gun@|@k'á'@
@gunny sack@|@tl'ox saak, tl'ox théth@
@gunsite@|@k'á' k'iig@
@gyrfalcon@|@jîiz chox, tantsiil@
@hairy caterpillar@|@guu detshos@
@half@|@ch'exaan@
@hammer@|@ch'iitth'ed@
@hand it to me fast@|@shtl'adintsiit@
@handkerchief@|@k'onit'êey@
@handle@|@wutii'@
@handle of dipnet@|@éth tii'@
@handsaw@|@ch'itl'ey'@
@hard outer spruce pitch@|@dzéex kón'@
@hardship@|@méxúntsaaddh, shaa medaxdíitsáath@
@harlequin@|@ddhel tox dets'énn'@
@has cooled off@|@náxnink'é'@
@hat@|@tthíishúus@
@hat with a visor@|@tthíishúus mintaak'ey xunlee@
@haul@|@ká'aahá', ká'ahhá', ká'ihhá', ká'inhá', ká'xéhá', káts'éhá'@
@have@|@ch'axeedlah, ch'edhahdlah, ch'eedlah, dhihdlah, dhindlah, yits'eedlah@
@have a pain@|@chetkeyh@
@hawk owl@|@tthí'dzaadz@
@he (baby) is crawling@|@natetges@
@he admires him@|@maa yidint'eh@
@he adopted him@|@yitnelshaa@
@he also carries his blanket@|@dets'ëd' in'él áaxeel@
@he always acts that way@|@xúu' xditndeyh@
@he arrived@|@ninshah@
@he asks her@|@yudehket@
@he beat him@|@laydehney@
@he became smart@|@ndaxdinshá'@
@he blacked out@|@xtnat-tl'éts@
@he blamed him@|@yits'í' xédadéníhtset@
@he brought a hat@|@tthíish_úus nin'aa@
@he brought him@|@xaghíhtee@
@he brought it@|@yinin'aa@
@he brought it here@|@jah yinin'aa@
@he brought it in@|@dayinintaa@
@he came from far away@|@xnintháat deh ts'enh ninshah@
@he came from his house@|@deshax ts'enh ninshah@
@he came into the house@|@ch'enäasheg tah daaninshah@
@he camped@|@néeháal@
@he carried him in@|@dayiníhtee@
@he caught@|@dayíidzek@
@he caught it@|@da'úndíik@
@he caught up with the boat@|@ts'eyh kétl'á'eeláat@
@he changed clothes@|@ch'ít-shûuy nâadalshah@
@he chased me away@|@stâashnéninshúut@
@he cheated him@|@naynin'aak@
@he cheated me@|@nashnin'aak@
@he chewed it up@|@aytnáldeetl@
@he chinking the house@|@shax xnehtthúuk@
@he choked on it@|@yitnelndék@
@he chose him@|@ch'etah xayíhtee@
@he claimed it@|@dayudétdíik@
@he closed his eyes@|@nelts'étl@
@he clubbed it with a club@|@dechenh xel' él yéhxel@
@he compressed it@|@sheg niht'enh@
@he cut fish@|@luug ehk'aayh@
@he deceived me@|@nashtnin'áayh@
@he descended@|@xdaghinshah@
@he descended from inland@|@ya'andêdz xdaghinshah@
@he devoured it@|@thayaldeek@
@he did something funny@|@tsaa t'etshaak@
@he died@|@ehtee@
@he drowned@|@lanintthet@
@he entered@|@daninshah@
@he escaped@|@statthinihshah@
@he fainted@|@wu'él nátl'ets dálneyh@
@he fell asleep@|@xaamel yihtee@
@he fooled me@|@nashtnin'aayh@
@he gained weight@|@na'alk'ax@
@he gave her the small rocks@|@tthee gaay yitl'áníndlah@
@he gave me a hug@|@leeshnintset@
@he goes away often@|@nilxen stâa'etdaak@
@he got a glimpse of him@|@yitdéh-'ee@
@he got addicted to it@|@yexnílts'et@
@he got lost in the woods@|@taachenn' tah tanetshah@
@he got revenge@|@nilk'éh dínlaak@
@he grabbed it@|@yihchúut@
@he grew up@|@néeshaa@
@he habituated to it@|@yexnílts'et@
@he had a premonition@|@wuts'í' xáxáltsii@
@he had a sign of something@|@wuts'í' xáxáltsii@
@he has a cold@|@koth t'iyíláak@
@he has a grudge against him@|@yets'ídél'ah@
@he has an earache@|@wudzíi' xuhts'iik@
@he has bad breath@|@wutaatthíi@
@he has butterfingers@|@mintl'ách'étdaax@
@he has confidence in him@|@yit'adíht'êeyh@
@he has excellent eyesight@|@wudaagh' dehk'eyh@
@he has left@|@natétshah@
@he helped me cut it up@|@shxaan ts'í' yint'áath@
@he hoisted it up@|@teelúu'@
@he inhaled@|@nilshíi atshíits@
@he insists@|@dách'údetgék@
@he invited him@|@yukah nídajénín'aa@
@he is a friendly person@|@mésúxúht'eey@
@he is a glutton@|@wumét maa dint'eh@
@he is a mean person@|@medats'axdihthen sínt'eh, mets'adaxdiht'eey@
@he is acting@|@cheejelde'e'@
@he is acting silly@|@tsáa'el'ee@
@he is afraid@|@niljet@
@he is alive@|@xondéyh@
@he is always working@|@etndah shée'@
@he is amazed@|@maa ch'á' xdiht'eh@
@he is assisting her@|@yi'él dé'eh@
@he is awake@|@xólxatndéyh@
@he is bathing@|@k'éch'eltsél@
@he is beating it@|@ch'ehxel, yi'él ch'enehtthék@
@he is being funny@|@datnet-ttheey@
@he is blackening it@|@nayitnet@
@he is blind@|@wudaagh' kól@
@he is blowing on it@|@yehshok@
@he is boiling it@|@yehmeets@
@he is bored@|@ts'axnintthenh@
@he is bragging about him@|@dach'áa' dadetdlíh@
@he is butchering it@|@nayeh'ol@
@he is calling my name@|@shuusih@
@he is calm@|@dadehxeetl@
@he is carrying a rope@|@tl'uul natneleek@
@he is carrying firewood@|@tsiil gaay tsets dâadelsheek@
@he is catching a ball@|@ch'ukeg' dá'ehshél@
@he is chipping@|@ehjek@
@he is cleaning up@|@xasaxo'aayh@
@he is climbing out the canyon@|@ch'etl'aa dég' téeshah@
@he is clowning around@|@tsaa el'eh@
@he is coloring it@|@yitnemenh@
@he is cooking bannock@|@léets eht'éeth@
@he is crippled@|@shaatth nlee@
@he is crunching it@|@yidehk'on@
@he is dancing@|@h'eldzes@
@he is delirious@|@wu'él staxúníntthet@
@he is dizzy@|@wu'él náxdéltheeyh@
@he is doing@|@tde'e@
@he is doing it like me@|@shk'eh sitde'e@
@he is dozing@|@xamelyeltéek@
@he is drinking cold water@|@tuu k'etth etnaa@
@he is drunk@|@nexel@
@he is enjoying it@|@maa xníndíik, maa xunétdíik@
@he is enraged@|@wushíi xnét-tthet@
@he is envious of him@|@yuunit-lé'@
@he is feeding us@|@nee'ech'eh'aal@
@he is fetching animals@|@nûun ká'ehá'@
@he is fleshing it@|@yehttheyh@
@he is folding it@|@ehxol@
@he is following behind him@|@yik'eh aahaal@
@he is friendly@|@xunsuu nt'eh@
@he is frightening him@|@yech'enehjet@
@he is frying@|@yeht'éeth@
@he is gasping for breath@|@shiits úkah etsheyh@
@he is giggling@|@nadlokdach'etnel'iik@
@he is going to get something@|@nahdëg' ts'enh ch'uténdíik@
@he is going to sleep@|@tneetee@
@he is guarding him@|@nayudah'ée'@
@he is guiding him around@|@nayitne'aax@
@he is handicapped@|@shaath nlee@
@he is handsome@|@ninsuu@
@he is hauling water@|@tuu ká'ahá'@
@he is helping me@|@shxaan ts'í' dé'e@
@he is hooking@|@ehsáx@
@he is in a very bad mood@|@miiní' shíi tnáalttthet, ts'ant'êey wushíi tnáaltthet@
@he is inexperienced with s.t.@|@ts'axnindîig@
@he is insane@|@miini' exuushak@
@he is insulted@|@xiynixtét-thet@
@he is intimidated@|@xáních'ulnih@
@he is jealous of him@|@yuhts'ee@
@he is jumping rope@|@tl'uul él yá'etshék@
@he is kicking it@|@yeké'éhkeyh@
@he is leading him@|@nayitne'áak@
@he is leaning against it@|@yikeneltaa@
@he is limping around@|@nach'etnet-'étth@
@he is looking@|@xneh'eh@
@he is making@|@shax xahtseyh@
@he is making medicine@|@etshen@
@he is making them@|@yexaa@
@he is measuring it@|@xech'udehsá'@
@he is mischievous@|@et-súuk@
@he is moving about@|@ya'ehaak@
@he is mumbling@|@deljók@
@he is mumbling angrily@|@dadeljók@
@he is naked@|@ch'ut-'ehdenh@
@he is not being careful@|@k'á súu el'én@
@he is packing water@|@tuu na'atkaal@
@he is paddling a boat@|@taat'ogh él áakeel@
@he is paddling boat@|@taachet'ogh wu'él ch'áakeel@
@he is peeling it@|@yehts'el@
@he is pleading@|@dach'udelkét@
@he is pleading with him@|@nadayutnelsú'@
@he is pointing at me@|@mets'u'inttheyh@
@he is precious to me@|@shaa xdint'eh@
@he is recording@|@nik'édajeeeyh@
@he is rendering fat@|@ch'ek'ah ehchees@
@he is replying to me@|@sts'í' naxundeyh@
@he is requesting it@|@yukah ch'udéhket@
@he is restless@|@mech'etnehlah k'eh shée' dé'e@
@he is returning@|@na'itshah@
@he is rolling it up@|@yehtth'aax@
@he is rubbing it@|@yeshes@
@he is sane@|@xunsuu nanich'etthet@
@he is scolding him@|@yédadée'ah@
@he is scraping it@|@yehjeeyh@
@he is sharpening it@|@nak'á'éhtseyh@
@he is shaving@|@xa'etnet-t'aath@
@he is sick@|@ehts'iik@
@he is skating@|@nátéljeyh@
@he is skipping@|@yajehchék@
@he is slapping him@|@yinekét@
@he is sleeping@|@eetee@
@he is walking down@|@naasheg' aahaal@
@he is walking forward@|@tth'iindeddh' áahaal@
@he is without necessities@|@ch'ehdenh détlee@
@he is yawning@|@etháat@
@he jerked on the rope@|@tl'uul etéetset@
@he kicked me@|@sheké'ehkéyh@
@he lives alone@|@dishée' éedah@
@he loves me@|@shaa nts'íi'@
@he made gloves for him@|@jeyh êy gha ehtsii@
@he made it@|@yíhtsii@
@he made them@|@yinxaa@
@he married her@|@yundíik@
@he moved away@|@stanindah@
@he must have gotten lost@|@mexushâag gha lé'e ch'e wukól@
@he owns the house@|@shax xúudé'e@
@he poked it@|@yihts'ok@
@he pounded it in@|@nítthéynintthéet@
@he praised him@|@daydihcháax@
@he pried it@|@yihtl'ek@
@he promised him@|@yidátl'áxdin'aa@
@he raised it above@|@dayidíi'aa@
@he raised it from below@|@níyidíi'aa@
@he received it@|@maa yínindéek@
@he regularly goes to Mansfield@|@dihthâad na'eltey xdiitndeyh@
@he released it@|@yedindíik@
@he revived him@|@nayihsuu@
@he said it like that@|@xúu' díinii@
@he says to her@|@yehnih@
@he scratched me@|@shits'ét@
@he sees his reflection@|@tuu shíi t'êey deshïig' neh'eh@
@he sewed around it@|@wughandah nach'enehtl'ú'@
@he sipped it@|@nach'elts'eex@
@he slammed the door@|@ldatneninshel@
@he sleeps during the day@|@dzeen tah eetee@
@he smeared him@|@yinech'aak@
@he stepped over it@|@yiteth ghin'éetth@
@he was born in Ketchumstuk@|@Saagescheeg deh ch'e mexunleen@
@he was fortunate@|@maa nitjelneyh@
@he went bald@|@wutthí' xághíntleek@
@he went home@|@âatétshah@
@he went to Fairbanks@|@Fairbanks ts'í' téeshah@
@he will return in the future@|@xtéetthet dé' tah nataadaal@
@headache@|@tthí' ts'iik@
@headache is killing me@|@tthí' ts'iik shdhéhxee@
@headwaters@|@ch'etl'aa@
@Healy Lake@|@Menhdeescheeg@
@heap@|@xatnaldók@
@heat it up!@|@naníhthii@
@heat up your house@|@nshax naxníhthii@
@heaven@|@yaak'et@
@heel of my foot@|@shkeetétl@
@her bedding@|@wutéel' nádhékxol@
@her birthday@|@mexunleey dzêenn'@
@her blamed him@|@yits'í' xédaxdéníhtset@
@her dog@|@wuliig'@
@her dog is walking ahead him@|@wuliig' wunaattheh aahaal@
@her feelings were hurt@|@xenitet-tthet@
@her hair is curly@|@wutth'í' tth'eg@
@her husband bought a gun@|@wukey' k'á' ughinkéet@
@her name is Elsie@|@Elsie miisí@
@her name was@|@mighinsí'@
@her whole body@|@wushenh@
@herd of animals@|@naltl'éy@
@herd of animals moves quickly@|@altl'eel@
@herd of caribou's moving quick@|@wudzih naltl'éy áltl'eel@
@here@|@jah@
@here and there@|@niichiduug@
@he's angry@|@ts'ani'elt'eh@
@he's bothering it@|@yi'él nách'éhlaay@
@he's chopping wood with an axe@|@chín'êy él tsets etthéel@
@he's cooling it off@|@náynehk'é'@
@he's drinking@|@ch'etnaa@
@he's drinking water@|@tuu etnaa@
@he's frowning@|@nanelch'éex@
@he's going downriver@|@yaadáa téeshah@
@he's hunting@|@na'elséex@
@he's laughing@|@edlóx@
@he's laying down@|@tth'í'elt'éeyh@
@he's living@|@eedah@
@he's loading the boat@|@ts'eyh shíi xóleeyh@
@he's lucky@|@daydelshaak, wuts'í' xu' dee'aa@
@he's making fun of himself@|@tsaa etnel'ee@
@he's packing water@|@tuu na'atkaal@
@he's playing with cards@|@galdás él nach'ehleek@
@he's resting@|@na'elshéyh@
@he's returning from downriver@|@nahdáa naghindaal@
@he's slicing off a piece of it@|@yits'enh xach'éhtsaat@
@he's smiling@|@tsaayinehthenh@
@he's surrounded by his belongs@|@wughandá' xúudlaay@
@he's walking along the edge@|@menh mâagh lo'aahaal@
@he's watching over it@|@yik'ánehtá'@
@hide it!@|@tneedhih'ii@
@high bush cranberry@|@tsaanttheetl@
@high up@|@yatthiidóg@
@hill@|@teyh@
@hill with very few trees@|@teyh kedl@
@hillside@|@xeekeeyh@
@hind legs@|@ch'exol'@
@his boat capsized@|@ts'eyh wu'él nákédéexel@
@his dog@|@wullig'@
@his face is scarred@|@wunée' k'et shétth ée'aa@
@his grandmother is sewing@|@wutsuu nâach'enetl'ú@
@his granny is threading beads@|@wutsuu náatl'êts ne'ées@
@his name os Silas@|@Silas miisí'@
@his packsack is lying at side@|@wuxëel' xah'áa' ée'aa@
@his penis@|@wutsóg'@
@his saliva@|@wusêeg'@
@his younger sister is sleeping@|@wudéedz' éetee@
@hissing noise of fire@|@kón' deltl'ét@
@hit me for no reason at all@|@shetédhihgót@
@hobbled by old injury@|@sháath@
@hoist down@|@daalúu'@
@hold@|@ts'uutón', u'ahtón', u'ihtón', u'intón', xiyuutón', yuutón'@
@hold it down with your foot@|@sheg' údin'éetth@
@hold it tight!@|@wudihtl'et@
@hole@|@xosk'ée@
@hole in the ground@|@tsaak'ée@
@hollow shale ice@|@tenh ch'ethuul'@
@hoof@|@ch'ekelaagey'@
@hoof of moose@|@ch'ekelaagey'@
@horizon@|@yaamâgh@
@horn@|@ch'edé'@
@horrible@|@ts'áxuntleeg@
@horsefly@|@ch'ut'aaddh@
@hospital@|@ts'iik shax@
@hot water@|@tuu néethel@
@housepit@|@nihtsiil@
@house's shaking from the dance@|@ch'edzes él shax detndiiyh@
@how@|@nts'é'@
@how are you going home?@|@nts'é' tâatindaal?@
@How are you?@|@Ntse' t'int'eh?@
@how did you all get here?@|@nts'é él jah nínáhdeetl?@
@how does it look to you?@|@nts'é' k'eh naxúltsii?@
@how long have you lived here?@|@ndók'ee jah dhindah@
@how much@|@ndóxk'ee@
@how old are you?@|@ndóxk'ee n'él xáthel?@
@howl@|@tsaxdelxos@
@hump on a moose's back@|@ch'inxaann'@
@hungry@|@dahtsii, dihtsii, dintsii, dintsii, dzintsii, xdintsii@
@hunt@|@na'alséex, na'egséex, na'elséex, na'ilséex, nats'elséex, naxelséex@
@hunter@|@na'elsêegh@
@hurry up@|@xánteyy'@
@I@|@shih@
@I admire him@|@shaa dint'eh@
@I advised him@|@wuts'í' xghihhá'@
@I almost caught a cold again@|@k'áhjiîl t'êey koth t'íshíláak@
@I am@|@ihlee, t'iht'eh@
@I am accompanying him@|@mee'u'egtón'@
@I am accompanying you@|@nee'u'egtón'@
@I am acquainted with him@|@me'ishdeyh@
@I am alone@|@shih shée'@
@I am amazed@|@shaa ch'á' xál'eh, shaa ch'á' xdiht'eh@
@I am baling fish@|@ihtsol@
@I am bathing@|@dêech'egtsél@
@I am bending it@|@nanekxót@
@I am bent over@|@xanén' xúghék-'ah@
@I am blowing my nose@|@chiitah ish-thíith, stsii ch'ishxíith@
@I am blowing on it@|@ekshok@
@I am bored@|@ts'ondéh shédhéhxee@
@I am bouncing it@|@yadegket@
@I am braiding it@|@nektl'uul@
@I am braiding my hair@|@shtthí' néktl'uul@
@I am breathing@|@ishsheyh@
@I am butchering it now@|@na'ek-'ol@
@I am calling your name@|@nu'ihsih@
@I am carrying it@|@ghih'aal@
@I am carrying it animate obj@|@ghekteel@
@I am carrying it flexible obj@|@ghekcheth@
@I am carrying it s.t. in box@|@ghihkaal@
@I am chinking the cache@|@dahtsáa xnektthúuk@
@I am chipping ice@|@luut ekch'ek@
@I am chipping it@|@ekch'ék@
@I am chopping it@|@ihddhel, ihtthéel@
@I am clapping@|@lach'ihkét@
@I am climbing@|@ké'íhhaal@
@I am cold@|@dhihdlih@
@I am comfortable with him@|@nâan sudé'égthenh@
@I am conscious@|@xól xghushndéyh@
@I am counting it@|@dihtiil@
@I am counting the money@|@lsaaz dihtiil@
@I am crawling@|@ghihduuth@
@I am crying@|@ihtsax@
@I am cussing@|@dihtsíix@
@I am cutting@|@ch'eníhtthek@
@I am demonstrating s.t. to him@|@mech'axdekdiix@
@I am digging@|@ihgot, xaxuhleeyh@
@I am doing beadwork@|@ch'enih'ées@
@I am dragging it back@|@naghishluuth@
@I am dreaming@|@ná'ihté'@
@I am dreaming about you@|@naa ná'ihté'@
@I am drifting along@|@tashahteel@
@I am drilling@|@dektáath@
@I am drinking@|@ishnaa@
@I am driving a car@|@naxetltihtiik@
@I am driving a sled@|@naxetltihtiik@
@I am drying it@|@ekgelyh@
@I am eating@|@nach'ih'áal@
@I am eating fast@|@tthadegneyh@
@I am eating fish@|@luug ih'áal@
@I am enjoying it@|@shaa xníndíik@
@I am enraged@|@shshíi xnét-tthet@
@I am exercising@|@ishk'aatth@
@I am famished@|@lá'a t'êey dihtsii@
@I am feeding the dogs@|@lii ech'ek-'aal@
@I am feeling it@|@medegdeyh@
@I am fetching firewood@|@tsets ká'íhá'@
@I am filing it@|@ihk'aax@
@I am filling it@|@de'egtl'ek@
@I am fishing@|@éth k'ée dhíhdah@
@I am floating around@|@natashtehteek@
@I am following you@|@nantnihdaak@
@I am gambling@|@nachihleek@
@I am getting dressed@|@na'ishtl'uh@
@I am giving it to you@|@ntl'á'ih'aayh@
@I am going to dive@|@tetishdetth@
@I am going to do my part@|@nxáan' ts'í' t'uhdé'e@
@I am grateful@|@tsíná'ee de'ishlee@
@I am hacking@|@dekkeyh@
@I am hacking it@|@ihdzonh@
@I am hanging up coats@|@eek dádzeldíhleeyh@
@I am happy about it@|@shaa xunsuu@
@I am having a hard time@|@shaa xéxúntsáath@
@I am hoarse@|@degthéek@
@I am ill@|@ts'iik t'ishíláak@
@I am imitating someone@|@sh'ek'éh dé'e@
@I am itchy@|@hxeeth@
@I am joking with him@|@wu'el tsáa didihdlih@
@I am keeping this one@|@jâan dhihdlah@
@I am knapping rock@|@tthee ledekneyh@
@I am kneeling@|@xnigótdhek-'ah@
@I am knitting@|@ch'ihtl'uh@
@I am knitting a dipnet@|@éth íhtl'uh@
@I am knocking@|@xdekt'enh@
@I am ladling water@|@tuu tach'ihkaayh, tuu tach'ishttheyh@
@I am leaning against@|@xékéxét'anédhégtee@
@I am leaning against something@|@xét'anédhégtee@
@I am leaning on my elbow@|@xets'és'údék-'aa@
@I am learning@|@xdegdíix@
@I am listening@|@dziitédhék-'ah@
@I am listening to him@|@wuts'í' dzíitédhék-'ah@
@I am loading it@|@xuhleeyh@
@I am making batter@|@léets néltsel ektseyh@
@I am making dry fish@|@luug ekmá'@
@I am making kindling@|@dekjáayh, dekjáayh@
@I am married@|@xuht'ee@
@I am measuring it@|@mech'unéedhék-'aa@
@I am melting snow for water@|@tuu gha shétth na'ekxee'@
@I am nibbling@|@wuk'et xoksók@
@I am nibbling on bone marrow@|@ch'eshaaddh' k'et xoksók@
@I am okay; not bad@|@sôgh t'íht'eh@
@I am out of breathe@|@negshúuts@
@I am paddling fast and smooth@|@ghegdzél@
@I am painting it@|@xnihtseyh@
@I am peeling birch@|@dekts'ek@
@I am peeling it@|@wuk'et naxokch'uul@
@I am planting a garden@|@xt'ach'ihleeyh@
@I am plucking it@|@ihdots@
@I am pointing at it@|@wuts'í' ts'utédhék-'ah@
@I am popping@|@dzéex nekk'éts@
@I am pretending to eat@|@cheejish'áal@
@I am pulling it@|@ghihluuth@
@I am punishing him@|@ekts'eth@
@I am punishing the naughty dog@|@lii ch'udelneey ekts'eth@
@I am pushing it@|@me'ektset@
@I am pushing it away@|@én' mé'éktset@
@I am pushing it forward@|@ndêddh me'ektset@
@I am reading@|@tách'údegsí'@
@I am really angry@|@shshíi xnét-tthet@
@I am related to him@|@wude'egken@
@I am reluctant to start@|@mets'udegnih@
@I am requesting her@|@miikah ch'udékket@
@I am rolling it up@|@ihtth'aax@
@I am running fast@|@xen ghegtthet@
@I am running quickly@|@xen ghegtthel@
@I am rushed@|@sh'él xáttlet@
@I am scaling fish@|@luug ekguuth@
@I am scared of it@|@menegjet@
@I am scraping it@|@ihtthox@
@I am searching@|@mikah naxtegsheek@
@I am separating it@|@ekketl@
@I am sewing@|@nâach'enihtl'ú'@
@I am shaking from fright@|@nejet ts'enh xadishndiiyh@
@I am shaking it (blanket) out@|@dihxaat@
@I am shaking water@|@tuu ihtl'ek@
@I am sharpening my knife@|@seey k'á' na'ihk'aax@
@I am shaving@|@xa'etnisht'aath@
@I am shivering@|@dissiis@
@I am shouting to him@|@wuts'í' ihsek@
@I am showing it to you@|@nech'axnek-'eh@
@I am shrieking@|@dihtl'iis@
@I am singeing porcupine@|@ts'iit eklet@
@I am singing@|@ch'edilih@
@I am sipping it@|@nategts'áax@
@I am sitting@|@didhihdah@
@I am sitting in the dark@|@tl'és shíi dhíhdah@
@I am sitting near him@|@maaxáh dídhíhdah@
@I am skinning a muskrat@|@gah nat'u'ekte'@
@I am skinning it@|@nat'u'ekte'@
@I am sleepy@|@mel shdehtlaa@
@I am slicing it@|@ektsaat@
@I am spearing@|@tihgok@
@I am telling you all about long ago@|@yaniidá'a gha nuh'él naxghog@
@I am traveling around@|@ghihndel@
@I am tying a rope@|@tl'uul dinekcheth@
@I am tying rope tightly@|@tl'uul dinek-tsón'@
@I am walking with one foot@|@nachegt'úu'@
@I argued angrily with him@|@medatdédhihmáak@
@I ask you@|@nudekket@
@I ate before them@|@ch'et-ttheh nach'ih'áatl@
@I bit it@|@dhih'él@
@I bought it@|@ughihkéet@
@I broke it apart@|@xátnekxótl@
@I bumped it@|@mech'edhektés@
@I bumped my elbow@|@xets'ésdhektés@
@I bumped my knee@|@xegótdhektés@
@I cache food for winter@|@xey de'ukah shíi nîinekchuut@
@I came in first@|@ch'et-ttheh nihshah@
@I cannot hear you@|@k'á ndíhtthég@
@I caught a fish@|@luug dheklóx@
@I caught it in mid-air@|@da'ídhekshél, da'ú'dhihdíik@
@I cherish him@|@shaa dint'eyh@
@I cherish my grandchildren@|@shchâay iin shaa dint'eyh@
@I choked@|@ch'etnédhegshíits@
@I chose these from among them@|@ch'etah ts'enh xaghíhdlah@
@I clapping for him@|@maa lach'ihkét@
@I climbed@|@ké'ídhíhshah@
@I climbed the mountain@|@ddhel ké'ídhíhshah@
@I climbed up a tree@|@ts'ôgh ké'ídhíhshah@
@I colored it@|@xnihmenh@
@I couldn't fall asleep@|@shch'aa mel delneyh@
@I covered it@|@wuk'et jekchúuth@
@I covered something@|@wunách'udédhekchúuth@
@I cramped up@|@níxeeldégneyh@
@I crawled out@|@xághíhduuth@
@I cussed at him@|@dektsíix@
@I deceived you@|@nantnih'áayh@
@I did not go to Tok@|@k'á Tok na'íhháal@
@I did something to brag about@|@dach'áa' ég'eh@
@I don't know@|@lé'e@
@I don't know it@|@k'á medadíshdéy, xets'í'ishdíig@
@I dove@|@teenishdetth@
@I dragged it back@|@nanishluuth@
@I dreamt@|@nághihté'@
@I drink a little bit of soup@|@tuuthel ntsîin ghishna'@
@I dropped it@|@naghekxel, shintl'adalneyh, shintl'aghinxel@
@I dropped it somewhere@|@xúh ts'í' dedhekneyh@
@I dropped them@|@shintl'aghindéek@
@I feel sad@|@ts'axokdeyh@
@I fell down@|@xughegtth'et@
@I fell down flat@|@xededhishmets@
@I fired a gun@|@ká' tedhekdeyh@
@I fixed it@|@nadhektsii@
@I fixed it the way it was@|@nilk'etah nadhektsii@
@I forgave him@|@wuts'í' xtédhíh'aa@
@I forgot@|@xedhegndax@
@I forgot it@|@medhegndax@
@I found it@|@mexdhek-'aa@
@I found part of a snowshoe@|@aayh xáan' éxdék-'aa@
@I gave her the small rocks@|@tthee gaay wutl'á'níhdlah@
@I gave them the small rocks@|@tthee gaay xuutl'áníhdlah@
@I gave you the baby@|@ts'enîin gaay ntl'ághéktee@
@I gave you the coats@|@eek ntl'á'ghíhdlah@
@I gave you the dry fish@|@má' n1tl'ághekchúut@
@I gave you the gun@|@k'á' n1tl'ághíhtaa@
@I gave you the little rock@|@tthee gaay ntl'á'ghíh'aa@
@I gave you the shirt@|@eek ntl'ághékchuuth@
@I gave you the water@|@tuu ntl'ághíhkaa@
@I glad she did that@|@shaa suú' delsháak@
@I glanced at him@|@ldatédhék-'ee@
@I got a glimpse of him@|@tdédhék-'ee@
@I got a scratch@|@shk'ech'itxuts@
@I got hurt@|@shexdéghindíik@
@I got injured@|@shexdéghindíik@
@I got my feelings hurt@|@xenitédhíshthet@
@I grabbed my clothes@|@shch'el' ídhekchúut@
@I grew up@|@nédhíhshaa@
@I had a nightmare@|@ts'étthínegthét@
@I have a cold@|@koth t'ishíláak@
@I have a headache@|@shtthí' éhts'iik, shtthí' shíi chétkeyh@
@I have a lot of hats@|@tthíshúus dhíhdlah@
@I have a pain in my chest@|@sdzehchíi chetkeyh@
@I have a stomachache@|@shshíi chétkeyh@
