@English@|@Czech@
@carton@|@kartón, krabice@
@cartons@|@kartony, krabice@
@cartoon@|@karikatura, kreslený film, kreslený vtip@
@cartoon film@|@kreslený film@
@cartoonist@|@karikaturista@
@cartoons@|@kreslené seriály@
@cartouche@|@kartuš@
@cartridge@|@kazeta s filmem, náboj, náplň do kuličkového pera, patrona@
@cartridges@|@kazety@
@carts@|@vozíky@
@cartwheel@|@cvik hvězda@
@cartwright@|@kolář@
@Carty@|@Carty@
@caruncle@|@karunkula@
@Caruso@|@Caruso@
@carve@|@krájet, vyřezávat@
@carve up@|@rozkrájet, rozřezat@
@carved@|@rytý, vyřezávaný@
@carver@|@kameník, řezbář, sochař@
@carvery@|@řezbářství@
@carving@|@vyřezávání@
@carvings@|@řezby@
@car-wax@|@vosk na auto@
@caryatid@|@karyatida@
@Casanova@|@Casanova@
@cascade@|@kaskáda@
@cascading@|@kaskádové řazení, řazení do kaskády@
@cascara@|@Cascara sagrada, Cascara, projímadlo@
@case@|@bedna, dóza, kryt, kufr, kufřík, pouzdro, případ, skříňka@
@case in point@|@... je toho důkazem@
@case study@|@případová studie@
@caseate@|@zesýrovatět@
@casebook@|@kniha pacientů@
@cased@|@oplášťovaný, zapouzdřený@
@case-hardened@|@kalený@
@casein@|@kasein, protein v mléku@
@caseload@|@klientela@
@casement@|@okenní křídlo@
@caseous@|@kaseózní, sýrovitý@
@casern@|@kasárna@
@cases@|@bedny, pouzdra, případy@
@casework@|@sociální práce@
@caseworker@|@sociální pracovník@
@Casey@|@Casey@
@cash@|@hotově, hotovost, peněžní, peníze@
@cash and carry@|@zaplať a odnes@
@cash bail@|@kauce v hotovosti@
@cash card@|@pokladní karta@
@cash cow@|@dojná kráva@
@cash crop@|@tržní plodina@
@cash desk@|@pokladna@
@cash dispenser@|@bankomat@
@cash flow@|@peněžní tok@
@cash in@|@sbalit to@
@cash machine@|@bankomat@
@cash on delivery@|@dobírka@
@cash on the barrelhead@|@hotovost, placení v hotovosti@
@cash on the line@|@zaplatit vše v hotovosti@
@cash register@|@kontrolní pokladna@
@cash settlement@|@hotově@
@cash up@|@inkasovat@
@cashable@|@likvidní, zpeněžitelný@
@cashbook@|@pokladní deník@
@cashed@|@inkasovat@
@cashed check@|@proplacený šek@
@cashew@|@druh ořechu, kešů@
@cashier@|@degradovat, odmítnout, pokladník, propustit@
@cashiers@|@pokladní@
@cashing@|@inkaso@
@cashless@|@bez peněz, bezhotovostní@
@cashmere@|@kašmír@
@casing@|@pouzdro@
@casino@|@kasino@
@cask@|@sud@
@cask wine@|@sudové víno@
@casket@|@kazeta, pohřební urna, rakev@
@caskets@|@pouzdra, rakve@
@casks@|@soudky@
@Caspian@|@kaspický@
@Caspian Sea@|@Kaspické moře@
@casque@|@helmice, přilbice@
@Cassandra@|@Cassandra@
@Cassatt@|@Cassatt@
@cassava@|@kasava, maniok@
@casserole@|@dusit, hrnec@
@cassette@|@kazeta@
@cassette player@|@kazeťák, kazetový magnetofon@
@cassettes@|@kazety@
@cassia@|@kasie@
@cassino@|@kasino@
@cassiterite@|@cínovec, kasiterit@
@Cassius@|@Cassius@
@cassock@|@sutana@
@cassocked@|@oblečený do sutany, oděný klerikou@
@cassowary@|@druh ptáka@
@cast@|@betonovat, cast/cast/cast, hod, obsadit, obsazení, obsazovat, vrhat@
@cast a spell@|@vyvolat kouzlo@
@cast about@|@pátrat, prohledávat, rozvažovat, slídit, uvažovat@
@cast anchor@|@spustit kotvu, zakotvit@
@cast aside@|@odložit, odsunout, zavrhnout@
@cast away@|@odvrhnout@
@cast down@|@deprimovat, skličovat@
@cast iron@|@litina, litinový@
@cast off@|@odhodit, odložit, odvrhnout, zavrhnout@
@cast out@|@vyhnat, vyhodit, vyloučit, vypudit@
@cast your vote@|@volit ve volbách@
@castanet@|@kastaněty@
@castanets@|@kastaněty@
@castaway@|@trosečník, ztroskotanec, ztroskotat@
@caste@|@kasta@
@castellated@|@hradový@
@caster@|@slévač@
@castigate@|@kárat@
@castigated@|@káral@
@castigating@|@kritizování@
@castigation@|@pokárání@
@castigator@|@kritik@
@Castile@|@Castile@
@Castillo@|@Castillo@
@casting@|@betonování, lití, obsazování, odlévání@
@cast-iron@|@litinový@
@castle@|@hrad, věž, zámek@
@castle in the air@|@vzdušný zámek@
@castled@|@hradovitý@
@castles@|@hrady, zámky@
@cast-off@|@odložené např. šaty@
@castor@|@kolečko nábytku, vyrobené z bobra@
@castor oil@|@ricínový olej@
@castrate@|@kastrovat@
@castrated@|@kastrovaný@
@castration@|@kastrace@
@castrato@|@eunuch, kastrát@
@Castries@|@hl.m. - Svatá Lucie@
@Castro@|@Castro, Fidel Castro (narozen 1926)@
@casts@|@obsazuje, předvádí@
@casual@|@ležérní, nahodilý, nenucený, nezaviněný, příležitostný, přirozený@
@casual jacket@|@bunda@
@casual labourer@|@příležitostný dělník@
@casually@|@náhodně, neplánovaně, příležitostně, přirozeně@
@casualness@|@přirozenost@
@casualties@|@oběti@
@casualty@|@havárie, mrtvý, oběť@
@casuarina@|@přesličník@
@casuist@|@kasuista@
@casuistic@|@kazuistický@
@casuistical@|@kasuistický@
@casuistry@|@kazuistika, překrucování@
@casus belli@|@důvod k válce@
@cat@|@kočka@
@cat (it's raining cats and dogs)@|@prší jako z konve@
@cat got your tongue@|@nemáš jazyk?, proč nemluvíš@
@cat out of the bag@|@prozradit, vyzvonit@
@catabiosis@|@katabióza@
@catabolic@|@katabolický@
@catabolism@|@katabolismus@
@catachrestic@|@katachrestický@
@cataclysm@|@kataklyzma, pohroma, zkáza@
@cataclysmal@|@kataklyzmatický@
@cataclysmic@|@kataklyzmatický, zkázný@
@catacomb@|@katakomby@
@catacombs@|@katakomby@
@catafalque@|@katafalk@
@Catalan@|@Catalan@
@catalase@|@kataláza@
@catalectic@|@katalestický@
@catalepsy@|@katalepsie, nehnuté držení, strnutí@
@cataleptic@|@kataleptický@
@Catalina@|@Catalina@
@catalog@|@katalog, soupis@
@catalogue@|@katalog, katalogizovat, seznam@
@catalogued@|@katalogizovaný@
@cataloguer@|@katalogizující osoba@
@catalogues@|@katalogy@
@cataloguing@|@katalogizování@
@Catalonia@|@Katalánsko@
@catalpa@|@katalpa@
@catalyse@|@něco vyvolat@
@catalysed@|@katalyzovaný@
@catalyses@|@vyvolává@
@catalysis@|@katalýza@
@catalyst@|@katalyzátor@
@catalysts@|@katalyzátory@
@catalytic@|@katalytický@
@catalyze@|@katalýza, katalyzovat@
@catamaran@|@katamarán@
@catamenia@|@katamenie, menstruace@
@catamount@|@puma, rys@
@cat-and-dog@|@hádavý@
@cataphoresis@|@kataforéza@
@cataplasm@|@kataplazma@
@catapult@|@katapult, katapultovat, prak, střílet prakem@
@cataract@|@šedý zákal, vodopád@
@catarrh@|@katar@
@catarrhal@|@katarální@
@catastrophe@|@katastrofa@
@catastrophes@|@katastrofy@
@catastrophic@|@katastrofický@
@catastrophically@|@katastroficky@
@catatonia@|@katatonie@
@catatonic@|@ztuhlý@
@Catawba@|@okres v USA@
@catbird@|@drozd@
@catbird seat@|@výhodná pozice@
@catboat@|@plachetnice@
@catcall@|@pískání@
@catch@|@catch/caught/caught, chytat, chytit, rozumět, stihnout, zachytit, záchytka, zastihnout@
@catch 22@|@důledek je příčina, začarovaný kruh@
@catch a buzz@|@pocítit opilost@
@catch a chill@|@nachladit se@
@catch a cold@|@dostat rýmu, nachladit se@
@catch a cold (catch cold)@|@dostat chřipku@
@catch a glimpse@|@na okamžik spatřit@
@catch a ride@|@nechat se svést@
@catch as catch can@|@co sebereš to máš, každý sám za sebe@
@catch cold@|@nastydnout@
@catch fire@|@vznítit se, vzplanout, zapálit se@
@catch hold of@|@zachytit@
@catch it@|@chytit to@
@catch me by surprise@|@zaskočilo mě ...@
@catch me doing that@|@uvidíš mě dělat ...@
@catch on@|@chytit se@
@catch one's breath@|@lapat po vzduchu, popadat dech@
@catch out@|@přistihnout@
@catch phrase@|@fráze, prázdné heslo@
@catch sight of@|@spatřit, uvidět@
@catch some rays@|@opalovat se@
@catch some z's@|@spát@
@catch the wave@|@připojit se k trendu@
@catch up@|@dohánět, dohnat, dohonit, dostihnout@
@catch up with@|@dohnat, dohonit@
@catch you at a bad time@|@zastihnout v nesprávný čas@
@catch you later@|@uvidíme se později@
@catch you off guard@|@zaskočit tě nepřipraveného@
@catch your death@|@silně se nachladit@
@catch your eye@|@upoutat tvou pozornost@
@Catch-22@|@Hlava 22@
@catchable@|@zachytitelný@
@catchall@|@komora@
@catch-all@|@všehochuť@
@catch-as-catch-can@|@rvačka@
@catcher@|@chytač, lapač@
@Catcher in the Rye@|@Kdo chytá v žitě@
@catches@|@chytá, chytí@
@catchiest@|@nejpoutavější@
@catching@|@chytání@
@catchment@|@poříčí, povodí@
@catchpenny@|@bezcenný, brak@
@catchphrase@|@reklamní heslo@
@catchweed@|@svízel přítula@
@catchword@|@módní slovo, slogan@
@catchy@|@přitažlivý@
@catechetic@|@katechetický@
@catechetical@|@katechetický@
@catechism@|@katechizmus@
@catechismal@|@katechetický@
@catechist@|@katecheta@
@catechistic@|@katechetický@
@catechize@|@katechizovat, vyptávat se@
@catechumen@|@katechumen@
@categorial@|@kategoriální@
@categorical@|@kategorický, rozhodný@
@categorically@|@kategoricky, rozhodně@
@categories@|@kategorie@
@categorisation@|@kategorizace@
@categorise@|@kategorizovat@
@categorised@|@kategorizovaný, roztříděný@
@categorises@|@kategorizuje@
@categorization@|@kategorizace@
@categorize@|@kategorizovat, třídit@
@categorized@|@kategorizovaný, tříděný@
@categorizer@|@kategorizátor@
@categorizers@|@třídící@
@category@|@kategorie, třída@
@catena@|@řada@
@catenary@|@řetězovka@
@catenate@|@zřetězit@
@cater@|@obstarávat potraviny@
@catercorner@|@diagonálně umístěný@
@catered@|@zajištěný, živený@
@caterer@|@dodavatel, nákupčí proviantu@
@catering@|@obstarávání potravin@
@caterpillar@|@housenka, pásové vozidlo@
@caterpillar tractor@|@pásový traktor@
@caterpillars@|@housenky@
@caters@|@hostí, zajišťuje@
@caterwaul@|@rvát se, vřeštět@
@cateterisation@|@cévkování@
@catfish@|@sumec@
@catgut@|@střevová struna@
@catharses@|@očisty@
@catharsis@|@katarze, očista, pročišťování@
@cathartic@|@čistící lék, čistící@
@cathedral@|@chrám, katedrála@
@cathedrals@|@katedrály@
@Cather@|@Cather@
@Catherine@|@Catherine, Kateřina@
@Catherwood@|@Catherwood@
@catheter@|@cévka@
@catheterisation@|@katetrizace, zavedení cévky@
@catheterize@|@cévkovat, zavést cévku@
@cathode@|@katoda@
@cathode ray@|@elektronový paprsek, paprsek elektronů@
@cathode-ray tube@|@obrazovka@
@cathodes@|@katody@
@cathodic@|@katodový@
@catholic@|@katolický, katolík@
@Catholic@|@Catholic, katolík@
@Catholicism@|@katolicismus, katolicizmus@
@Catholicisms@|@pl. od Catholicism@
@catholicity@|@liberálnost, univerzálnost, velkorysost@
@catholicize@|@pokatoličit@
@Catholics@|@pl. od Catholic@
@cathouse@|@bordel@
@Cathy@|@Cathy, Kateřina, Katka@
@cation@|@kation@
@cationic@|@kationový@
@catkin@|@kočička@
@catlike@|@kočičí, kradmý@
@catling@|@kočička, kotě, skalpel@
@catmint@|@šanta kočičí@
@catnap@|@dřímat@
@cat-o'-nine-tails@|@devítiocasá kočka@
@catoptric@|@katoptrický, zrcadlový@
@cats@|@kočky@
@catsuit@|@přiléhavý dámský oblek@
@catsup@|@kečup@
@cattery@|@útulek pro kočky@
@cattily@|@kočičí@
@cattiness@|@jedovatost, zlomyslnost@
@cattish@|@kočičí@
@cattle@|@dobytek, hovado, hovězí dobytek@
@cattleman@|@ošetřovatel dobytka@
@catty@|@falešný, neupřímný@
@catwalk@|@lávka, pódium@
@caucasian@|@bělošský, kavkazský@
@Caucasian@|@Kavkazan, kavkazský@
@Caucasians@|@pl. od Caucasian@
@Caucasus@|@Kavkaz@
@caucus@|@stranická mašinérie@
@caudal@|@ocasní@
@caudally@|@koncový, směrem k zadní části, směrem od hlavy@
@caudate@|@ocasatý@
@caught@|@catch/caught/caught, chycený, chytil, stihl@
@caught flatfooted@|@zastihnout nepřipraveného@
@caught in the act@|@přistižen při činu@
@caught red-handed@|@chycen při činu@
@caught up@|@být zaměstnán s ..., dokončit práci@
@caught with his pants down@|@chycen při činu@
@caul@|@plodová blána@
@cauldron@|@kotel, velký kotel@
@cauldrons@|@kotle@
@caulescent@|@stonkatý@
@cauliflower@|@květák@
@cauliflower ear@|@zdeformované ucho@
@cauline@|@stonkatý@
@caulk@|@těsnit, utěsnit@
@caulking@|@těsnění@
@causal@|@příčinný@
@causality@|@příčinná souvislost, příčinnost@
@causally@|@kauzálně@
@causation@|@příčina@
@causative@|@kauzativní, kauzativum@
@cause@|@důvod, proces, příčina, přimět, působit, soudní pře, spor, vést, vyvolat, způsobit@
@caused@|@zaviněný, způsoben@
@causeless@|@bezdůvodný, nepodložený@
@causes@|@příčiny, způsobí, způsobuje@
@causeway@|@cesta, násep, navigace@
@causing@|@způsobující@
@caustic@|@leptavý, žíravý@
@caustically@|@jízlivě@
@causticity@|@jízlivost, sžíravost@
@cauterise@|@vypálit@
@cauterization@|@kauterizace, vypalování@
@cauterize@|@leptat@
@cautery@|@kauterizace@
@caution@|@obezřetnost, opatrnost, varování, varovat, výstraha, záruka@
@cautionary@|@varovný@
@cautions@|@výstrahy@
@cautious@|@obezřetný, opatrný@
@cautiously@|@opatrně@
@cautiousness@|@opatrnost@
@cavalcade@|@jezdecká skupina@
@cavalier@|@jezdec, kavalerista, kavalír, pyšný, velkopanský@
@cavalierly@|@arogantně, povýšeně@
@cavalla@|@rod tropických ryb@
@cavalry@|@kavalerie, vojenská jízda@
@cavalryman@|@kavalerista@
@cavalrymen@|@jezdci@
@cave@|@jeskyně, politická frakce, sklep, utvořit politickou frakci@
@cave in@|@propadnout se, zřítit se@
@cave man@|@jeskynní člověk@
@caveat@|@varování, výstraha@
@Caveat Emptor@|@prodej bez záruky@
@caveats@|@upozornění, výstrahy@
@cave-in@|@propadnout se, vzdát se, zavalit se, zhroutit se, zřítit se@
@caveman@|@jeskynní člověk, pračlověk, primitiv@
@cavemen@|@jeskynní lidé@
@Cavendish@|@Cavendish@
@caver@|@jeskyňář, speleolog@
@cavern@|@dutina, jeskyně@
@cavernous@|@jeskyňovitý, kavernózní, rozsáhlý, vpadlý@
@caverns@|@jeskyně@
@caves@|@jeskyně@
@cavetto@|@fabion@
@caviar@|@kaviár@
@caviare@|@kaviár@
@cavil@|@rýpání, rýpat, šťourání, šťourat@
@Caviness@|@Caviness@
@caving@|@zával@
@cavitation@|@kavitace, vytváření dutin@
@cavities@|@dutiny@
@cavity@|@dutina@
@cavort@|@dovádět@
@cavum@|@dutina@
@cavy@|@morče@
@caw@|@krá@
@cay@|@korálový ostrůvek@
@cayenne@|@kajenský pepř@
@cayenne pepper@|@paprika@
@cayman@|@aligátor, kajman@
@Cayman Islands@|@Kajmanské Ostrovy@
@Cayuga@|@okres v USA@
@cayuse@|@indiánský poník@
@CBS@|@Columbia Broadcasting System@
@CCTV@|@Closed-circuit television@
@CD@|@CD, cédéčko, kompaktní disk@
@CD player@|@CD přehrávač@
@CD ROM@|@compact disk read only memory@
@CDC@|@Civil Defense Committee@
@CDT@|@Central Daylight time@
@cease@|@přestat, přestávat, ustat, zastavit@
@ceased@|@ukončený, zaniklý, zastavený@
@ceasefire@|@příměří@
@cease-fire@|@klid zbraní, nestřílet!@
@ceaseless@|@nepřetržitý, neustálý@
@ceases@|@přestal, ukončil, ustal, zanikl, zastavil@
@ceasing@|@přestávající, ustávající@
@Cecil@|@Cecil@
@Cecilia@|@Cecilia@
@cecity@|@slepota@
@cecum@|@slepé střevo@
@cedar@|@cedr@
@Cedar Rapids@|@město - USA@
@cedarwood@|@cedrové dřevo@
@cede@|@odstoupit, podstoupit@
@ceded@|@odstoupil, postoupil@
@ceder@|@cedr@
@cedilla@|@cédille@
@Cedric@|@mužské křestní jméno@
@ceilidh@|@zábava@
@ceiling@|@dostup letadla, dostup, horní mez, strop@
@ceilings@|@stropy@
@celandine@|@vlaštovičník@
@celebrant@|@celebrant@
@celebrate@|@celebrovat, oslavit, oslavovat, slavit, sloužit mši, velebit@
@celebrated@|@proslulý, slavil, slavný@
@celebrating@|@oslavování@
@celebration@|@mše, oslava@
@celebrations@|@oslavy@
@celebratory@|@slavnostní@
@celebrities@|@pl. od celebrity@
@celebrity@|@osobnost, proslulost, veličina@
@celeriac@|@hlíznatý@
@celerity@|@rychlost@
@celery@|@celer zahradní, celer@
@celesta@|@celesta@
@Celeste@|@Celeste@
@celestial@|@nebeský, nebešťan@
@celestially@|@nebezsky@
@Celia@|@Celia@
@celibacy@|@celibát@
@celibate@|@celibátní@
@cell@|@buňka, cela, elektrický článek, kyveta@
@cell phone@|@mobilní telefon@
@cell wall@|@buněčná stěna@
@cellar@|@sklep@
@cellarage@|@podsklepí, sklepy@
@cellars@|@sklepy@
@cell-free@|@bezbuněčný, zbavený buněk@
@Cellini@|@Cellini@
@cellist@|@violoncellista@
@cellists@|@cellisté, čelisté@
@cello@|@violoncello@
@cellophane@|@celofán@
@cellphone@|@celulární telefon@
@cells@|@buňky@
@cellular@|@buněčný, pórovitý@
@cellular phone@|@mobilní telefon GSM, mobilní telefon@
@cellular telephone@|@mobilní telefon GSM, mobilní telefon@
@cellularity@|@buněčnost@
@cellulite@|@celulitida@
@celluloid@|@celuloid@
@cellulose@|@buničina, celulóza@
@cellulose acetate@|@acetát celulózy@
@celom@|@tělní dutina@
@Celt@|@Kelt@
@Celtic@|@keltský, keltština@
@cemant@|@zpevnit@
@cembalo@|@cembalo, spinet@
@cement@|@cement, cementovat, tmel, tmelit@
@cement hands@|@nešikovné ruce@
@cement mixer@|@cementová míchačka@
@cementery@|@hřbitov@
@cementite@|@cementit@
@cements@|@pl. od cement@
@cementum@|@cement@
@cemeteries@|@hřbitovy@
@cemetery@|@hřbitov@
@cenotaph@|@kenotaf@
@cense@|@okuřovat kadidlem, okuřovat@
@censer@|@kadidelnice@
@censor@|@cenzor, cenzurovat@
@censored@|@cenzurováno, cenzurovaný@
@censorial@|@cenzorský@
@censoring@|@cenzurování@
@censorious@|@cenzorský, přehnaně kritický, zbytečně přísný@
@censoriousness@|@přísnost@
@censoriuos@|@zatracující@
@censors@|@pl. od cenzor@
@censorship@|@cenzura@
@censurable@|@hodný pokárání@
@censure@|@nepříznivá kritika, omítání, zavržení@
@censuring@|@káravý, vytýkající@
@census@|@cenzus, sčítání lidu@
@censuses@|@pl. od census@
@cent@|@cent@
@centaur@|@kentaur@
@centaury@|@zeměžluč@
@centavo@|@centavo@
@centenarian@|@stoletý@
@centenary@|@sté výročí, stoletý@
@centennial@|@sté výročí, stoletý, výročí@
@center@|@střed@
@centered@|@soustředěný@
@centering@|@centrování, centrující, vystředění@
@centerline@|@osa@
@centerpiece@|@dekorace středu, ozdoba@
@centesimal@|@centezimální, setinný@
@centigrade@|@stostupňový, stupeň Celsia@
@Centigrade@|@označení Celsiovy stupnice@
@centigram@|@centigram@
@centigramme@|@centigram@
@centiliter@|@centilitr@
@centilitre@|@centilitr@
@centime@|@centim@
@centimeter@|@centimetr@
@centimeters@|@centimetry@
@centimetre@|@centimetr@
@centimetres@|@centimetry@
@centipede@|@stonožka@
@centipedes@|@stonožky@
@central@|@centrální, hlavní, střední, ústřední@
@Central Africa@|@Střední Afrika@
@Central African Republic@|@Středoafrická republika@
@Central America@|@Střední Amerika@
@Central American@|@středoamerický@
@central city@|@vnitřní město@
@central heating@|@střední topení, ústřední topení@
@Central Intelligence Agency@|@zpravodajská služba USA@
@central nervous system@|@centrální nervový systém@
@central processing unit@|@procesor@
@centralisation@|@centralizace@
@centralise@|@centralizovat@
@centralised@|@centralizovaný@
@centraliser@|@centrátor@
@centralism@|@centralismus@
@centralist@|@centralista@
@centrality@|@stěžejnost@
@centralization@|@centralizace@
@centralize@|@centralizovat se, centrovat, soustředit se@
@centralized@|@soustředěný@
@centralizer@|@centrátor@
@centrally@|@centrálně@
@centre@|@centrovat, centrum, střed, středisko@
@centred@|@soustředěn@
@centrefold@|@prostřední dvoustránka@
@centrepiece@|@dekorace, ozdoba@
@centres@|@centra@
@centric@|@středový, vycentrovaný@
@centrifugal@|@odstředivka, odstředivý@
@centrifugal force@|@odstředivá síla@
@centrifugally@|@odstředivě@
@centrifugation@|@odstřeďování@
@centrifuge@|@centrifuga@
@centrifuging@|@odstřeďování@
@centring@|@centrování, středění@
@centripetal@|@dostředivý@
@centripetal force@|@dostředivá síla@
@centrist@|@centrista@
@Centrocercus urophasianus@|@tetřívek prériový@
@centroid@|@těžiště@
@centroidal@|@těžištní@
@cents@|@pl. od cent@
@centuries@|@pl. od století, staletí@
@centurion@|@vůdce 100 římských vojáků@
@century@|@století@
@CEO@|@ředitel společnosti@
@cephalic@|@cefalický@
@cephalitis@|@encefalitida@
@ceramic@|@keramický, keramika@
@ceramics@|@hrnčířství, keramika, keramiky@
@ceramist@|@hrnčíř, keramik@
@cereal@|@obilí, obilní, obilnina, obilný@
@cereals@|@obilniny, obiloviny, vločky@
@cerebellum@|@malý mozek@
@cerebral@|@mozkový@
@cerebral cortex@|@kůra mozková, mozková kůra@
@cerebral palsy@|@mozková obrna@
@cerebration@|@mozková činnost@
@cerebrum@|@mozek@
@ceremonial@|@ceremoniál, ceremoniální, obřadný, slavnostní@
@ceremonially@|@obřadně@
@ceremonies@|@ceremonie, obřady@
@ceremonious@|@ceremoniální, obřadný@
@ceremoniously@|@obřadně@
@ceremoniousness@|@obřadnost, slavnostnost@
@ceremony@|@ceremonie@
@ceresin@|@cerezín@
@ceric@|@ceričitý@
@cerise@|@červený, třešňově červený@
@cerium@|@cer@
@cermet@|@cermet@
@cerous@|@ceritý@
@cert@|@hotovka@
@certain@|@jist, jistý, určitý@
@certainly@|@jistě, určitě, zajisté@
@certainties@|@jistoty@
@certainty@|@jistota@
@certifiable@|@ověřitelný, šílený@
@certifiably@|@potvrzeně@
@certificate@|@certifikát, osvědčení, potvrzení, prokázat, průkaz, vysvědčení@
@certificated@|@cetifikoval, kvalifikovaný, prokázal@
@certificates@|@certifikáty@
@certification@|@certifikace, osvědčení, potvrzení@
@certification authority@|@certifikační autorita@
@certifications@|@certifikace@
@certificatory@|@garantující, osvědčující, ověřující@
@certified@|@aprobovaný, promovaný@
@certified check@|@bankou ověřený šek, potvrzený šek@
@certified mail@|@doporučené zásilky, potvrzená pošta@
@certified milk@|@pasterizované mléko@
@certifier@|@autorizovatel, ověřující osoba@
@certify@|@osvědčit, potvrdit, potvrzovat@
@certitude@|@jistota@
@cerulean@|@blankytný@
@cerumen@|@ušní maz@
@ceruminous@|@ceruminózní, mazovitý@
@Cervantes@|@Cervantes@
@cervical@|@krční@
@cervical cancer@|@rakovina děložního čípku@
@cervicitis@|@cervicitida@
@cervix@|@děložní čípek@
@Cesare@|@Cesare@
@cesium@|@cesium@
@cess@|@štěstí ve frázích, štěstí, žumpa@
@cessation@|@přerušení, skončení, zastavení@
@cessations@|@zrušení@
@cession@|@odstoupení, postup@
@Cessna@|@Cessna@
@cesspit@|@žumpa@
@cesspool@|@žumpa@
@c'est la vie@|@to je osud, to je život@
@cestode@|@tasemnice@
@cetacean@|@kytovec@
@Ceylon@|@Cejlon@
@Ceylonese@|@cejlonský@
@cf.@|@srovnej@
@cha-cha-cha@|@tanec čača@
@chad@|@konfeta@
@Chad@|@Čad, Chad@
@Chadwick@|@Chadwick@
@chafe@|@mnout, roztírat, třít@
@chafed@|@roztíral, třel@
@chaff@|@plevy@
@chaffer@|@dohadovat, handrkování, handrkovat se, smlouvání, smlouvat@
@Chaffey@|@Chaffey@
@chaffinch@|@pěnkava@
@chafing@|@dření, odírání, tření@
@chagrin@|@mrzutost, starost@
@chain@|@řetěz, řetězec, řetízek@
@chain mail@|@kroužkové brnění@
@chain up@|@připoutat@
@chained@|@připoutaný, spoutaný@
@chaining@|@připevnit řetězem@
@chains@|@řetězy, řetízky@
@chainsaw@|@řetězová pila@
@chain-smoke@|@kouřit bez ustání@
@chair@|@křeslo, předsedající, židle@
@chaired@|@předsedal@
@chairlift@|@sedačková lanovka@
@chair-lift@|@lanová dráha, lanovka, sedačková lanová dráha, sedačková lanovka@
@chairman@|@předseda@
@chairmanship@|@předsednictví@
@chairmen@|@předsedové@
@chairperson@|@předseda@
@chairs@|@židle@
@chairwoman@|@předsedkyně@
@chairwomen@|@předsedkyně mn. č., předsedkyně@
@chaise@|@druh kočáru@
@chalcedony@|@chalcedon@
@chalcopyrite@|@chalkopyrit@
@chaldron@|@uhelná míra@
@chalet@|@bouda, chata@
@chalice@|@kalich@
@chalk@|@křída@
@chalk out@|@načrtnout@
@chalk up@|@dosáhnout@
@chalkiness@|@křídovitost@
@chalkpit@|@křídový lom@
@chalky@|@křídový, vápencový@
@challenge@|@vybídnutí, vybízet, výzva, vyzvání, vyzvat, vyzývat@
@challenged@|@vyzvaný@
@challenger@|@soupeř, vyzyvatel, vyzývatel@
@challenges@|@výzvy, vyzývá@
@challenging@|@vyzývající, vyzývavý@
@challengingly@|@náročně@
@challis@|@druh tkaniny, chalinet@
@Chalmers@|@Chalmers@
@chamber@|@dutina, kancelář, komnata, komora, komůrka@
@chamber music@|@komorní hudba@
@chamber pot@|@nočník@
@chamberlain@|@komoří@
@chambermaid@|@pokojská@
@chamberpot@|@záchod v místnosti@
@chambers@|@komory, síně@
@chameleon@|@chameleon@
@chamfer@|@okosit, úkos, zešikmit, zkosit@
@chammy@|@jelenice@
@chamois@|@jelenice, kamzík@
@chamomile@|@heřmánek@
@champ@|@chroustat, šampión@
@champagne@|@sekt, šampaňské@
@champaign@|@rovina@
@Champaign@|@okres v USA@
@champion@|@borec, přeborník, šampión@
@champions@|@šampióni, vítězové@
@championship@|@mistrovství, přebor, šampionát@
@championships@|@šampionáty@
@Champlain@|@Champlain@
@chance@|@možnost, náhoda, nahodilý, náhodný, příležitost, riskovat, riziko, šance@
@chance upon@|@narazit na@
@chanced@|@riskoval@
@chancel@|@oltářní prostor@
@chancellery@|@kancléřství@
@chancellor@|@kancléř@
@Chancellor@|@Chancellor, kancléř@
@chancellorship@|@kancléřství@
@chancery@|@kancléřství@
@chances@|@šance@
@chanciness@|@náhodnost, riskantnost@
@chancre@|@tvrdý vřed@
@chancrous@|@šankrovitý, vředovitý@
@chancy@|@nejistý, riskantní@
@chandelier@|@lustr@
@chandeliers@|@lustry@
@chandler@|@hokynář@
@chandlery@|@hokynářství@
@Chang@|@Chang@
@Changchun@|@město - Čína@
@change@|@drobné, měnit, proměna, proměnit, proměňovat, přesedat, přesednout, přestoupit, přestup, přestupovat, rozměnit, výměna, vyměnit, vystřídání, změna@
@change coins@|@rozměnit@
@change for the better@|@změna k lepšímu@
@change hands@|@měnit majitele@
@change money@|@drobné@
@change of address@|@změna adresy@
@change of location@|@změna místa@
@change over@|@přeměna, změna@
@change your mind@|@změnit váš názor@
@changeability@|@proměnlivost@
@changeable@|@proměnlivý@
@changeableness@|@měnivost, proměnlivost@
@changed@|@proměněný, změněný@
@changeful@|@proměnlivý, vrtkavý@
@changefulness@|@měnivost, proměnlivost@
@changeless@|@neměnný@
@changelessness@|@neměnnost@
@changeling@|@podvržené dítě@
@changeover@|@změna@
@changer@|@měnič@
@changes@|@změny@
@changing@|@měnivý, proměnlivý, proměnný, střídání@
@changing room@|@zkušební kabinka@
@Changsha@|@město - Čína@
@channel@|@program, televizní kanál@
@Channel Islands@|@Normanské ostrovy@
@channelled@|@propojený kanály@
@channels@|@kanály@
@Channing@|@Channing@
@chanson@|@píseň, šanson@
@chant@|@pokřik, skandovat@
@chanted@|@skandoval@
@chanter@|@pěvec@
