@English@|@Adyghe@
@I went@|@Säk'uagh@
@I went shopping@|@Säshefagh@
@I will awake@|@Sqewshisht@
@I will buy@|@Sshefäsht@
@I will change@|@Skhojisht@
@I will come@|@Siqek'osht@
@I will do some shopping@|@Säshefesht@
@I will drink@|@Sèshosht@
@I will eat@|@Sishxesht@
@I will find@|@Sghotäsht@
@I will give@|@Stäsht@
@I will go@|@Sik'osht@
@I will lie@|@Pts'ä säwsäsht@
@I will look@|@Siplhesht@
@I will play@|@Sicegusht@
@I will read@|@Sècesht@
@I will sale@|@Sshesht@
@I will see@|@Slheghusht@
@I will sit@|@Sit'isisht@
@I will sleep@|@Sishiyesht@
@I will smell@|@Si-pemesht@
@I will stand up@|@Sqetecisht@
@I will take@|@Isxisht@
@I will write@|@Sätxesht@
@I work@|@Se-laje@
@I work day and night@|@Sheshi mafi  se-laje@
@I work during the day@|@Mefere se-laje@
@I work too@|@Seri  selaje@
@I write@|@Setxe@
@I wrote@|@Sätxagh@
@ice@|@mälä@
@If you would have given me@|@Qseptä-ghagheme@
@illness@|@wäzä@
@imperative@|@-0@
@imperative plural@|@-kw@
@in favour of@|@fa-@
@In front@|@Pe@
@In the morning@|@Pshedäjre@
@In the winter it snows@|@Sh`imafem  wes  qèsi@
@instrumental@|@-cha@
@Intenational@|@Dunaye  psew@
@interior@|@kwats'@
@Intestine@|@Ch'et'y@
@iron@|@ghwächä@
@Is that so?@|@Ara?@
@It's not nice what you're doing@|@Mi psh`ere yek'urep@
@It becomes bread@|@Halighu  mekhu@
@It comes down as a nice stream@|@Pshhe  daxo  qèshexi@
@It happened@|@Khughe@
@It has no more price@|@Psh`e yi`ejep@
@It hurts@|@Mewizi@
@It is 5 m deep@|@Metritf  yikuwuagh@
@It is going worse@|@Qäze`ehe@
@It is nice in the summer@|@Ghemafem  dunayer  daxe@
@It is not happening@|@Khurep@
@It is raining@|@Wshxä qèshxä@
@It is snowy forever@|@Yeghas`em wes tèlh@
@It is very bitter@|@Ar lhesho dici@
@It is worse@|@Qäze`ehagh@
@It rains very hard@|@Weshxiri  shu`o  qèshxi@
@It suits@|@Yek'u@
@iterative@|@-žä@
@It'll be backed within 20 min.@|@Minut t'o` tèsh`eme qeje@
@It's very cold and tasty water@|@Lhesho sh?`e yich'i ashu`@
@jackal@|@bažas@
@jackdaw@|@qwantsha@
@jewel@|@mätshä@
@jump@|@La-n@
@Just bread@|@Haläghu qodya@
@Just sit down@|@Ze t'ys@
@Keep his word@|@Yä-psalhe tèt@
@key@|@'wntch'äbza@
@kid@|@chacä, tsats'ä@
@kidney@|@zazäj@
@Kidney@|@Jaje@
@kill@|@wächä-n@
@kite@|@bgha@
@knee@|@La-gwanža@
@knitting-needle@|@kwtsa, kwutsa@
@know@|@sa-n@
@knucklebone@|@chan@
@labourer@|@Lejak'u@
@Lace@|@Lheps@
@lake@|@Psä khuray@
@lamb@|@säna@
@language@|@bza@
@large@|@-qä@
@lative preverb@|@na-, q:a-@
@laughing@|@meshxi, Qeshxä@
@Lay down@|@Gholh@
@leaf@|@thap@
@leech@|@däwa@
@Lemonade@|@lemunad, Quye-psi@
@length@|@Ch'ihagh@
@Let live@|@Ghepsew@
@lie@|@-Lä-, pcä, pts'ä@
@Lightning@|@Shible@
@Like a man@|@Lhä fed@
@Lip@|@Upsh`e@
@little@|@cä-kwä, ts'äkw@
@Little bit too long@|@Ch'ihao@
@little cat@|@ch'atäw@
@liver@|@swä, swä, thamsäghw@
@Living room@|@Lheghune@
@Lobe of the ear@|@Thek'um-ach'@
@locative in pronouns@|@-da@
@locust@|@mac?, mats'a@
@long@|@chä-ha@
@look@|@plan, Plhe@
@look [pl]@|@Shuplh@
@Look at@|@Ye-plh@
@Look at the mother@|@Näm ye-plhi@
@looking@|@Plhen@
@lost@|@K'odighe@
@louse@|@ca@
@luck@|@mafa@
@Lung@|@Thebile@
@mad@|@dèle@
@Maize@|@Natäf, naträf@
@Maize paste@|@P'aste Mamräs@
@Maize soup@|@Natäf hantkhups@
@make@|@Sh`ä@
@make shopping@|@Shafe@
@male@|@xwä@
@mamma@|@Bidzi@
@man@|@Lä, Lä, Lh`ä@
@mane@|@sakw@
@many@|@ba@
@maple@|@jantsha, jantsha@
@mark on cattle's ears@|@tha-bz@
@market@|@badzar@
@Marrow@|@Kuts'@
@marten@|@cäghwa, cäza@
@Mastitis@|@Bidzi-shin@
@Mattress@|@P'e@
@me@|@se, srä@
@me only@|@Si-zaqu@
@me too@|@serä@
@meat@|@Lä@
@meat of a duck is also good@|@Babishilri  ashu`@
@meat of the cow is little hard@|@Shemilir  tek'u  pite@
@Medicine@|@Witsi@
@Mediterranean@|@Xä fij@
@medlar@|@na-pca@
@melon@|@náš@
@Meredian@|@Meridyan@
@merry@|@tsafä@
@Meteorite@|@metyorit@
@middle@|@kwpsa@
@mid-night@|@Shesh  näqu@
@milk@|@ša@
@millet@|@fä-ghwa, mašä@
@Molar@|@Tsli-shh@
@Monday@|@bläpe, Bläshhe, qeberday@
@Month@|@Maze@
@moon@|@máza, Maze@
@more@|@náh@
@morning@|@Pshedäj@
@most@|@dad@
@mother@|@nä, nán@
@Mother@|@ni@
@mountain@|@qwäsh'a@
@Mountain@|@Qushha@
@mountain slope@|@chapa@
@mouse@|@ts'äghua@
@mouth@|@'wä, ža@
@much@|@be@
@Much too long@|@Ch'ihashe@
@Multiply@|@Ghebeghon@
@mute@|@bzakwa@
@My age@|@Si-näbj@
@My age is advanced@|@Si-näbj xek'otagh@
@My attention@|@Si-gu-lhite@
@My back hurts@|@Si-bgi qewizi@
@my brother@|@Si-shä@
@my brother is colour-blind@|@Sishä qolen neshu@
@My dad and mom are still alive@|@S-yatere syanere shä`ex@
@My father@|@s-yat, S-yate@
@My father and mother@|@S-yatere syanere@
@My father and mother are alive@|@Syatere syanere psewäx@
@My father is big@|@S-yate yänä@
@My father is coming@|@S-yate qek'o@
@My father past on@|@S-yate shä`ejep@
@My father's sister@|@S-yate yä-shipkhu@
@My grandmother@|@Si-nenej@
@My horse is coloured@|@Sishä  qolenä@
@My house@|@Si-wne@
@My mother@|@S-yan, S-yane@
@My mother is thin@|@S-yane psägho@
@My mother's sister@|@S-yane-shipkhu@
@My name@|@Si-ts'e@
@My old father@|@S-yatej, si-tetej@
@My partner@|@Si-näqoh@
@my pig@|@Siqo@
@my son is crazy@|@Si-qo dèle@
@my son is tall@|@Si-qo ch'he@
@My uncle@|@S-yate yä-sh@
@nail@|@'wän@
@Nail@|@Abjan@
@Nail of the foot@|@Lheqo-bjan@
@naked@|@pcána@
@Naked@|@Pts'ane@
@name@|@ca, ts'a@
@Name@|@Ts'e@
@narrow@|@Bghuze@
@Narrow@|@Zeju@
@navel@|@näbäzh@
@near@|@bLa-gha@
@neck@|@psa@
@Neck@|@Tiqin@
@Needle@|@Maste@
@Nevel@|@Nibe-pts'y@
@new house@|@uänats'a@
@New moon@|@Mazashhe@
@nice@|@daxe@
@night@|@chašä, Shesh@
@nine@|@bghu@
@nineteen@|@pshäk'umbgh@
@Nipple@|@Bidzi-shhe@
@nit@|@cacha@
@nominative (absolute)@|@-0@
@nominative determ.@|@-r@
@Noon@|@Shecaghu@
@North@|@Yä-pše@
@North America@|@Yäpshere Amerika@
@North star@|@Ghuaze@
@North-East@|@Yäpshe-qoch'äp'@
@North-West@|@Yäpshe-qohap'@
@nose@|@pa, Pe@
@Nose trill@|@Pe-ghuan@
@not@|@-p, mä-@
@not beautiful@|@daxep@
@not big@|@yinep@
@Not fat@|@Psherep@
@Not good@|@Shu`ep@
@not married@|@Shhe zaqu@
@Not much@|@Bep@
@Not OK@|@Khush-tep@
@not resemble@|@Fedep@
@Not smart@|@Femif@
@not sour@|@Xafep@
@Now; we have 10 goats@|@Ci pshenipsh` ti`e khughe@
@Numbers@|@Bjäghe-xer@
@oats@|@bagäna@
@Oats@|@he@
@object version@|@swä-@
@Ocean@|@Okyan@
@old@|@jä, ji, zä, zä@
@Old man@|@Lh`äjä@
@omelette@|@Ch'ench'e  gejagh@
@On day@|@mafem@
@once@|@ze@
@Once@|@Zy-mafegorem@
@one@|@zä, zä, zago, zy@
@one boy@|@zä'ale@
@one boy and one girl@|@Zä''alere zä pshashere@
@one boy and two girls@|@Zä'alere psheshit'ure@
@One by one@|@Zyryz@
@One chin@|@Zä-jepq@
@One forehead@|@Zi-nat'e@
@one garlic@|@Bjinifishh@
@one girl@|@zä pshashe@
@One hand has 5 fingers@|@Zi`am  akhombitf  yi`@
@One month@|@Zämaze@
@One night@|@Zy-shesh@
@One nose@|@Zä pe@
@one onion@|@Bjinishh@
@one share@|@Zäahe@
@One share of 100 shares@|@Ahishem shäshu zäah@
@One week@|@Zy-thomaf@
@onion@|@Bjänä, bžänä@
@Onion bread@|@Bjin  haliju@
@Onion soup@|@Bjän hantkhups@
@Only bread@|@Halighu  qodi@
@only one@|@Zä-zaqo@
@Only you@|@Wi-zaqu@
@Orange@|@Plhäj-ghoj@
@orphan@|@jäba, yäbe@
@Other birds come to us@|@Nemi` bziwxer qitfek'ox@
@Our bride@|@Ti-näse@
@Our daughter@|@Ti-pkhu@
@Our father@|@T-yat@
@Our father is fat@|@T-yate psher@
@Our goat gave birth@|@Ti-pshen qelhfagh@
@our grandmother@|@Ti-nenej@
@Our house@|@Ti-wne@
@Our house is large@|@Ti-wne  yini@
@Our house is new@|@Ti-wne sh`e@
@Our living room is large@|@Ti-lheghune yini@
@Our name@|@Ti-ts'e@
@Our new house@|@Ti-wnash`e@
@Our new house is nice@|@Ti-wnash`e  daxe@
@Our son-in-law@|@Ti-malkho@
@Our well is 12 m deep@|@Tipsine 12 m yikuwagh@
@painful@|@Ayyo mewizi@
@pale@|@Ifi@
@Pancake and cheese and tea@|@Shelamere quayere çhayre@
@Partner@|@Näqoh@
@Parts of face@|@Napem  xetxer@
@Past time@|@blech'äghe zemanär@
@Past tome@|@blech'äghe zemanär@
@Paste and shipsi@|@P'astere shipsäre@
@pea@|@Nekhut@
@peach@|@q:äca@
@pear@|@q:wäzä, qwäzä@
@pepper@|@Shäbji@
@Pepper  bread@|@Shibji  haliju@
@Pepper does not fit with tea@|@Shäbjir chayem dèk'urep@
@Pepper powder@|@Shäbji hajigh@
@Pepper suits fried meat@|@Shibjir  li  ghejaghem  dèk'u@
@Pepper with saly@|@Shibji - shighu@
@perfect@|@-gha@
@person@|@-wä, -wä, cä-fä, ts'äfä@
@Pheasants too@|@Mez  chetxeri  xetix@
@pig@|@Law, qwa@
@pigeon@|@tharq:wa@
@Pillow@|@Shhant@
@pimple@|@bagwä@
@Pink@|@Thambl?shu@
@pity@|@Pse  k'od@
@Pity@|@Gu- xe@
@place@|@pa, pwa, sa@
@place between hips@|@baq:w@
@Plague@|@Yemine@
@Plague disease@|@Yemine-wiz@
@plane-tree@|@pchajä@
@plaster@|@jä-n@
@play@|@Cegu, Shucegu@
@pleasant@|@gwap'a@
@ploughshare@|@cwa-bza@
@plum@|@pxa-@
@plural@|@-xar@
@pointed@|@pápc@
@post@|@p:q:aw@
@potentiality@|@fa-@
@precious stone@|@mäsa@
@precipice@|@bza-pa@
@present@|@-0@
@Present time@|@mä zemanär@
@preverb ad@|@gwa-@
@preverb in@|@da-, i-@
@preverb inter@|@xa-@
@preverb post@|@qwa-@
@preverb super@|@te-@
@preverb together with@|@da-@
@princess@|@gwacha@
@privative suffix@|@-nch, -ž@
@probability@|@-ngha@
@Protection@|@Khumen@
@Protects@|@yekhume, Yewkhume@
@quail@|@näbghwä@
@quick@|@Psänch'e@
@quite a lot@|@Bashe@
@Quite fat@|@Psheräu@
@Quite good@|@Shu`ä-she@
@Rabbit@|@Thek'ume-ch'ih@
@radish@|@Belic@
@Radish makes you belch@|@Belicem wqègheqeyi@
@rain@|@q:e-šxä-n, Wshxä@
@raining@|@Qèshxä@
@ram@|@tä@
@ray@|@bzäj@
@read!@|@Yec@
@read! (pl)@|@Shuèc@
@Real men are few@|@Lhä`deder zäräz@
@reciprocality prefix@|@za-, zara-@
@red@|@pläžä@
@Red pepper@|@Shäbji plhäj@
@Red sea@|@Xi  plhij@
@Red shirt@|@Cane  plhäj@
@reflexivity prefix@|@zä-@
@Reliable@|@Wshägughuno shät@
@rennet@|@žanaz@
@resemble@|@Fed@
@Resemble too much@|@Fededed@
@Resemble very much@|@Fededed@
@rib@|@ca-ga@
@rice@|@Päränc@
@riches@|@bäLäm@
@right@|@ža-bghw@
@Right angel@|@Quape  zanch'@
@rising@|@Èch'ä@
@river@|@Psä-shhe, psäxw@
@rivulet@|@Laha@
@road@|@ghwagw@
@room@|@W?ne@
@round@|@xwäráj@
@run@|@tshian@
@Running water@|@Psär mashe@
@sabre@|@sa@
@sale@|@she@
@sale [pl]@|@Shushe@
@salt@|@šäghw, shishu@
@salty water@|@Psä shiwghu@
@sand@|@pšáxwa@
@Satan@|@Shetan@
@Sausage is tasty food@|@Nek'ulher  shxin  ashu@
@Scab@|@Begu@
@Schizophrenia@|@shetan-wäz@
@sea@|@xä@
@Sea-shore@|@Xä-`ushu@
@season@|@gha@
@see@|@Lheghu@
@see [pl]@|@Shulheghu@
@seed@|@cha@
@Seed@|@Ch'e@
@self@|@jaž@
@Set down in the West@|@Qohap'em sh`ehejä@
@seven@|@bLä@
@seventeen@|@Pshäk'ubl@
@shaggy@|@bälác, pälác@
@shake@|@säsä-n@
@Shall I say it?@|@Qes`ona?@
@Shallot@|@Bjin  ts'in@
@Shame@|@Nape-tèx@
@shameful@|@Wäch'äten xelh, Yek'urep@
@share@|@Ahe@
@sharp@|@chan@
@she eats@|@Ma-shxe@
@She gave birth@|@Lhfaghe, Qelhfagh@
@She gave birth to a calf@|@Chits'i qilhfigh@
@she is pale@|@Yi-sho ifi@
@she sits on it@|@Tès@
@she twisted@|@kwaxua@
@sheep@|@xwä-@
@Sheep@|@Melä@
@sheep-fold@|@chat@
@Sheep's meat is the best@|@Meli-lir  pstomi  yanehashu`@
@Sheep's milk@|@Melä-she@
@Sheep's wool@|@Meläm  yäts@
@shirt@|@Can, cane, dzana@
@shoe@|@Tsuaqe@
@Shoe lace@|@Tsuaqe  lheps@
@Shoe made of skin@|@Tsuaqer  sho@
@short@|@chachä@
@shoulder@|@bljäpq@
@Shoulder@|@Tema-shhe@
@shrub@|@kwand@
@sickle@|@rwäpch@
@side@|@bghwä@
@silver@|@täžänä@
@Sister@|@Shäpkhu@
@sit@|@-sän@
@sit down@|@Shut'äs, täsän@
@Sit down@|@t'äs@
@Sit here@|@Mo  t'ys@
@six@|@xa@
@sixteen@|@pshäk'ux@
@skin@|@ša@
@Skin@|@Sho@
@Skull@|@Shhe-qumishh@
@sky@|@wa-ša@
@sleep@|@chäja, tshäjan@
@Sleep disease@|@Shiye-wiz@
@slide@|@mats'anta@
@Slow sheshen dance@|@Sheshen ghonteghu@
@small@|@ts'äkw, ts'ik'u@
@Small intestine@|@Ch'et'y psighu@
@small intestine is 7 m long@|@Ch'tiy  psighor 7m  mekhu@
@smart@|@Gu-bzigh, Shani, Ushe@
@smell@|@ma, Pame@
@smell [pl]@|@Shupam@
@smiling@|@meshxipts'i@
@smithy@|@chäšä@
@smoke@|@'wä-ghw@
@snail@|@cärghä@
@snake@|@bLa@
@snow@|@wasä@
@Snow man@|@Wes-guash@
@snow on the mountains smelt@|@Qushheme yatelh  wesir  qetk'u@
@So; we now have 10@|@Arizi  ci  psh`i ti`@
@society@|@Xase@
@sock@|@Lheped@
@socks@|@lapad@
@soft@|@Shabe, táta@
@Soft butter@|@Tkhu ts'än@
@Soil@|@Yat'e@
@Sole@|@Lhegu@
@Sole of shoe@|@Tsuaqe  lhegu@
@Some tomes it gets very cold@|@Zaghore shi`edede mekhu@
@son@|@qwa@
@Son@|@Qo@
@Son-in-law@|@Malhkho@
@son-in-law@|@maxwLa@
@soul@|@psa@
@Soul@|@psa, Pse@
@soup@|@Hantkhups@
@sour@|@Xafe@
@south@|@Ach'p'@
@South America@|@Ach'äp' Amerika@
@South-East@|@Ach'äpe-qoch'äp'@
@South-West@|@Ach'äp'e-qohap'@
@span@|@bžiz@
@Special Adyghe bread@|@Haläju@
@speech@|@Psalhe@
@Spine has 33 bones@|@Txits'em qumishhe  33 yi`@
@spit@|@caca@
@Spoiled@|@Ze`ehagh@
@Spring@|@Ghatxe, Psä shhe@
@square@|@bghuiplh, Zebghu - zenat'@
@squirrel@|@saja, tsäza@
@Stable@|@Tsosh@
@stack@|@'ata@
@stake@|@pcha-ghwä@
@stand up@|@qetecin@
@Stand up@|@Qetec, Tec@
@star@|@žághwa@
@Star@|@Juagho@
@starling@|@pchandaxw@
@steam@|@páx@
@step relative@|@-pwas@
@Stick@|@Besh@
@Stomach@|@Shxalhe@
@Stomatitis@|@Tsel-wiz@
@stone@|@mäža@
@strength@|@kwatsha@
@string@|@chápsa@
@Strong headed@|@Shhe pät@
@stump@|@táq:a@
@stupid@|@aq'äljäntsha, aq'äljäntsha@
@Style of dance@|@Qèsh`ach'@
@Subtract@|@Xexen@
@suffice@|@jaqwä-@
@suffix of Nomina Agentis@|@-kw, -kwa@
@Summer@|@Ghemaf@
@sun@|@tägha@
@Sunday@|@Theomafe@
@Sunflower@|@Täghe-ghaz@
@Supper@|@Shecaghu shxän@
@swallow@|@pcašxw, pts'ashxua@
@sweat@|@pchánt@
@sweet@|@'áswä@
@swine@|@qwa@
@Swollen@|@Begghe@
@table@|@'ana@
@tail@|@ch'a@
@Take@|@Tèx@
@take a sit@|@qet'äs@
@take!@|@ix@
@take! (pl)@|@Ishux@
@tea@|@Chay, shay@
@teat@|@bäjä@
@ten@|@psä@
@ten years@|@Yälhesipsh`@
@testiculus@|@ga@
@that@|@wä@
@thaw@|@zwä-n@
@The Adyghe language@|@adägabza, adygebze@
@The Adyghe society in America@|@Amerikam yä-adäge kultur xase@
@The Arabs wear long dresses@|@Arapme cane ch'?he zshalhe@
@The bile goes to the intestine@|@Zezer ch'et'iyem  mak'o@
@The billion has 9 zero's@|@Milyardäm nulibghu yä`@
@the boy@|@aler@
@The boy and the girl@|@Alemre pshashemre@
@The boy doesn't resemble his dad@|@Aler yate fedep@
@The boy hit the dog@|@Aler hem yewagh@
@The boy is@|@Alexer@
@The boy is 5 months old@|@Alem mazitf yä-näbj@
@The boy is bad@|@Aler bzace, Aler deyyä@
@The boy is big@|@aler yini@
@The boy is crazy too@|@Aleri dèle@
@The boy is crying@|@aler maghi@
@The boy is handsome@|@Aler qabze@
@The boy is in the fifth month@|@Aler mazitfäm yät@
@The boy is laughing@|@aler meshxi@
@The boy is long@|@Aler  ch'ihe@
@The boy is not...@|@Aler ghesaghep@
@The boy is on the donkey@|@Aler shädäm tès@
@The boy is on the horse@|@Aler shäm tès@
@the boy is small@|@aler ts'yk'u@
@The boy is smiling@|@aler meshxipts'i@
@The boy is thin@|@Aler  psigho@
@The boy resembles his father a lot@|@Aler yate fededed@
@the bread@|@haläghur@
@the bread is cold@|@Haläghur shä'e@
@the bread is old@|@Haläghur jä@
@The bread is soft@|@Haläghär shabe@
@the bread is warm@|@Haläghur fabe@
@The bride is beatiful@|@Näser daxe@
@The bride is not beatiful@|@Näser daxep@
@The cattle staying there@|@Bilimxer yitix@
@The chair is narrow@|@Pkhentek'ur  bghuze@
@The chairman of the society@|@Xasem yä-shhe, Xasem yäthemat@
@The colour of the car is nice@|@Kum yäsho daxe@
@The dance of Hadji Murad@|@Hac Murad yä-sheshen psänch'e@
@The day@|@Mafer@
@the dog is big@|@her yänä@
@the dog is small@|@Her ts'k'u@
@the dog is too big@|@Her  yänäded@
@The dog who the boy did hit@|@Hem aler yewagh@
@The donkey is in the garden@|@Shädär xatem xet@
@The dust gets into the eyes@|@Saper  nem  q`èhe@
@The egg is laid by hen@|@Ch'ench'er chetim qèch'ets'i@
@The eye of the needle@|@Maste  ghuan@
@The fale bread is delicious@|@Halighu  pa`er  ashu`i@
@The father@|@tär@
@The first day@|@Yapere mafer@
@The first day of the week@|@Theomafem  yapere  mafer@
@the food is good@|@Shxänär  deghu@
@the food is not good@|@Shxänär  deghuep@
@the food is OK@|@Shxinär  terez@
@the food is swollen@|@Yi-lhaqo  begghe@
@The forearm goes two bones@|@Alcanem  qumishhit'u  xelh@
@The forearm of mine is long@|@Sami  yi-alcane  ch'ihe@
@the girl@|@pshasher@
@The girl is 2 years old@|@Pshashem yä-lhesit'u yä-näbj@
@The girl is beautiful@|@pshasher daxe@
@The girl is crazy@|@Pshasher dèle@
@The girl is dainty@|@Pshasher  page@
@The girl is dancing good@|@Pshasher daxo qè-sh`e@
@The girl is short@|@Pshasher ch'ak'o@
@The girl is smart@|@Pshasher ushe@
@The girl is socially qualified@|@Pshasher  ghesaghe@
@The girl is squinting@|@Pshasher  nashe@
@The girl is tall@|@Pshasher ch'ähe@
@The girl resembles her mother@|@Pshashre yane fed@
@the globe@|@Dunay@
@The hen sits on the egg@|@Chetir ch'ench'em  tès@
@The labourer is good@|@Lejak'uer deghu@
@The labourer is not good@|@Lejak'uer deghuep@
@The labourer is too good@|@Lejak'uer deghushe@
@The labourer is very good@|@Lejak'uer deghuded@
@The ladies dance slowly@|@Pshashexeri ghonteghu qèsh`ex@
@The lightning has hit@|@Shibler qewagh@
@The liver also develop stones@|@Tehmshughum mijo yekho@
@The long white shirt@|@Cane fïj ch'iher@
@The lunar phases@|@Mazem yä-shätäch'exer@
@The lungs are large organs@|@Thembilir organ yin@
@The matter of dancing@|@Qèsh`enägher@
@The meat of a hen is better@|@Chetilir  nah  ashu`@
@The meat of a turkey is dry@|@Thechetim  yil  ghushe@
@the milk is sour@|@Sher xafe@
@The million has 6 zero's@|@Milyonäm nulix  yä`@
@The moon is appeared@|@Mazer q`èch'ägh@
@The moon is down@|@Mazer èhejägh@
@The moon is full@|@Mazer yäz@
@The moon is round@|@Mazer khuray@
@The names of the adyghe dances@|@Adäge qèsh`ach'eme yats'exer@
@The north pole@|@Yäpshe sh`äkhune@
@The old man dances slowly@|@Lh`äjäxer ghonteghu qèsh`ex@
@The outer side of the nose@|@Pe-bg@
@the salt@|@Shighuir@
@the salt is good@|@Shighuir deghu@
@the salt is salty@|@Shighuir shiwghe@
@the salt is very salty@|@Shighuir shiwghashe@
@The sheep is also in the garden@|@Meläri xatem xet@
@The shirt@|@Caner@
@The shirt is narrow@|@Caner bghuze@
@The shirt is white@|@Caner fiji@
@The shirt of the Aslan is quite white@|@Aslant yicane fijibz@
@The shirts@|@Canexer@
@The skin of a sheep@|@Meläm yäsho@
@The snow is falling@|@Wes qèxä@
@The snow is white@|@Wesä fäjä@
@The soup is cold@|@Hantghupsär shä`e@
@The soup is hot@|@Hantkhpsär mestä@
@The soup is warm@|@Hantkhups6ar fabe@
@The south pole@|@Ach'p' sh`äkhune@
@The stick is thick@|@Beshir  ghumi@
@The stick is thin@|@Beshir psigho@
@The stone was quite large@|@Mijor hezero yinighe@
@The style of my dancing@|@Si-qèsh`ache@
@The sun@|@Tägher@
@the sun rises in the East@|@Tägher qoch'äp'em qäshèchä@
@The tooth pain is horrible@|@Tse wizir helech@
@The trees are green@|@Shigixer  witsishox@
@the upper side@|@Bgi@
@the water@|@psär@
@The water freezes@|@Psixer  meshtix@
@The water has no colour@|@Psim  plhisho  yi`ep@
@The water is cold@|@Psär shä`e@
@The water is hot@|@Psär fabe@
@the water is salty@|@Psär  shäwghe@
@The weather is troubled@|@Washor ze`ehagh@
@The week@|@Zy-thomafem@
@The week has 7 days@|@Theomafer  mafibl  mekhu@
@The well is deep@|@Psiner  kuwu@
@The white of the egg@|@Ch'ench'em yfj@
@The white of the eye@|@Nem  yifij@
@The white shirt@|@Cane fiir@
@The white shirt is long@|@Cane fijir ch'ihe@
@The wind is blowing@|@Jäbghe qèpshe@
@The wind is cold@|@Jäbgher sh?`e@
@The yellow of the egg@|@Ch'ench'em  yighoj@
@Their name@|@Yats'e@
@Their son-in-law@|@Yamalhkhu@
@then marry with her daughter@|@yä-pkhu qashe@
@Then they knead it well@|@Yit'uane  sh`o  yapshe@
@There are 3 rooms in our house@|@Ti-wne wnish yit@
@There are trees in the garden@|@Xatem shägäxer xetäx@
@There is a stable in our house@|@Ti-qale  zi-tsosh  det@
@There is a traditional and social@|@Cegum  habze  xelh@
@There is a tree in the garden@|@Xatem shägä xet@
@There is a well in our house@|@Ti-qale psäne ded@
@There is no water@|@Psä  shä`ep@
@There is not@|@Shä`ep@
@There is oil in sunflower@|@Täghe-ghazem yäch'e daghe xelh@
@There live some bears@|@Mishexer xesix@
@There once a giant@|@Zegorem zy yinyj sh`agh@
@They are awake@|@Qewshighex, Qewshyghex@
@They are brave@|@Lh`äghe yaxelh@
@They are coming@|@Qek'ox@
@They are many who are like a man@|@Lhä`feder be@
@They are sitting@|@Shysyx@
@They are sleeping@|@Me-shäyex@
@They ate@|@Shxaghex@
@They awake@|@Qewishix@
@they bought@|@Yashefägh@
@they buy@|@Yashefä@
@They came@|@Qek'uaghex@
@they change@|@Yakhoji@
@they changed@|@Yakhojigh@
@They did not sleep@|@Shiyaghexep@
@they did the shopping@|@Shefaghex@
@They do not lie@|@Pts'e yawäpsrep@
@They do respect hem very much@|@Psh`eshuxe fash`@
@They don't shake hands@|@Shäsxo`a yatrep@
@They drank@|@Yeshuaghex@
@They drink@|@Yeshox@
@They eat@|@Mashxe@
@They eat one by one@|@Zyryzo mashxex@
@they fight@|@Mezawex@
@they find@|@yaghotä@
@they found@|@Yaghotägh@
@They fried with butter@|@Tkhuch'e  yaghaje@
@they gave@|@Yatägh@
@they get there@|@Nesix@
@they give@|@Yatä@
@They give nice smell@|@Me daxe qati@
@they go@|@Mak'ox@
@They look@|@Maplhex@
@They looked@|@Plhaghex@
@they make shopping@|@Meshafex@
@They make you sick@|@Wi-gu  qize`aghehe@
@they play@|@Mecegux@
@they played@|@Cegughex@
@They price him@|@Psh`e fash`i@
@they read@|@Yecex@
@they read (past)@|@Yecaghex@
@they sat@|@Tisighex@
@They saw@|@Yalheghugh@
@They see@|@Yalheghu@
@They sell@|@Yashe@
@they sit@|@Met'isix@
@They sleep@|@Meshiyex@
@They slept@|@Shiyaghex@
@They smell@|@Mepamex@
@They smelt@|@Pemaghex@
@They sold@|@Yashagh@
@They stand up@|@Qetecix@
@They stand up for a guest@|@He`em  fetecäx@
@They stood up@|@Qetecighex@
@they take@|@Eaxi@
@they took@|@Ishuxigh@
@They ware thick clothes@|@Shighin  uju  zshalhe@
@They wear wool clothes@|@Tsi canexer  zshalhex@
@they went@|@K'uaghex@
@They were sitting@|@Shysyghex@
@They will awake@|@Qewshishtix@
@they will buy@|@Yashefäsht@
@they will change@|@Yakhojisht@
@They will come@|@Qek'oshtix@
@they will do the shopping@|@Shefeshtäx@
@They will drink@|@Yeshushtix@
@they will find@|@Yaghotäsht@
@they will give@|@Yatäsht@
@They will go@|@K'oshtix@
@They will look@|@Plheshtix@
@they will play@|@Cegushtix@
@they will read@|@Yeceshtäx@
@They will see@|@Yalheghusht@
@They will sell@|@Yashesht@
@they will sit@|@T'isishtix@
@They will sleep@|@Shiyeshtix@
@They will smell@|@Pemeshtix@
@They will stand up@|@Qetecishtix@
@they will take@|@Eaxisht@
@they will write@|@Txeshtäx@
@they write@|@Matxex@
@they wrote@|@Txaghex@
@thick@|@ghwämä@
@Thick@|@Ghumi@
@thier grandmother@|@Ya-nenej@
@thigh@|@kwa@
@thin@|@Psigho, pwacha@
@thin bread@|@Haläghu pa`, Haläghu p'a`@
@thirteen@|@pshik'ush@
@thoroughbred horse@|@fára@
@thou@|@wa@
@Thread@|@Udan@
@three@|@šä, šä, šy@
@three boys@|@Alish@
@Three by three@|@Shyrysh@
@three girls@|@Psheshish@
@throat@|@chäj@
@Thunder@|@Ghuagho@
@time@|@jä-ghwa@
