@English@|@Japanese@
@chief vassal@|@juushin@
@chief virtue (of a medicine)@|@shujikounou@
@chief warrant officer@|@heisouchou@
@chiffon@|@shifon@
@chignon@|@mage@
@chignon style (hairdo)@|@shinyonsutairu@
@chilblain@|@toushou@
@chilblains@|@shimoyake, tousou@
@child@|@chairudo, chigo, dou, ji, ko, ko, kodomo, shijo, shounin, tou, warabe, youji@
@child (high-school age) pornography (X)@|@burusera@
@child (pol)@|@okosama@
@child (someone else's)@|@okosan@
@child born in first half of the year@|@toshidzuyoi@
@child born in last half of the year@|@toshiyowa@
@child etc@|@nakunasu, nakusu@
@child geisha@|@hangyoku@
@child labor@|@shounenroudou@
@child of a different mother@|@ifuku@
@child of one's age@|@toshiyorigo@
@child prodigy@|@tensaiji@
@child psychology@|@jidoushinrigaku@
@child rearing practice@|@ikujihou@
@child welfare@|@jidoufukushi@
@child who has returned to his or her country@|@kikokushijo@
@child)@|@ochinchin@
@childbirth@|@bunben@
@childcare@|@ikuji@
@child-faced@|@dougan@
@childhood@|@younen, youshou@
@childhood friend@|@chikubanotomo, osananajimi@
@childish@|@chisetsu, kodomojimita, osanai, otonagenai, tawainai, youchi@
@childishness@|@chiki@
@child-like woman@|@burikko@
@children@|@ainokesshou, jidou, jisou, kodomo, kodomotachi, kora, shoukokumin@
@children and grandchildren@|@jison@
@children of nisei@|@sansei@
@children of nobles@|@kindachi@
@Children's Day Holiday (May 5)@|@kodomonohi@
@children's dysentery@|@ekiri@
@children's play room@|@ronpa-ru-mu@
@children's song@|@douyou, warabeuta@
@child's copying pictures@|@utsushie@
@child's heart@|@osanagokoro@
@child's mind@|@doushin, osanagokoro@
@child's sash@|@tsukehimo@
@chill@|@okan, reiki, samuke@
@chilliness@|@kanrei@
@chilling (steel)@|@reigou@
@chilling exposure@|@hie@
@chilly@|@hadasamui, hadasamui, hadazamui, hiebie, hiyaritoshita, hiyayaka, hiyayaka, tsumetai@
@chilly chilly rain@|@hisame@
@chilly rain@|@reiu@
@chilly spring weather@|@hanabie@
@chime@|@chaimu, kane@
@chimera@|@kimera@
@chimney@|@enkan, entotsu@
@chimpanzee@|@kuroshoujou@
@chin@|@ago, chin@
@chin up@|@kensui@
@china@|@jiki, setomono, yakimono@
@China@|@chaina, chuugoku, chuuka, nicchuukan'etsu@
@China and Japan@|@chuunichi@
@China and Soviet Russia@|@chuuso@
@China ink@|@bokujuu@
@Chinatown@|@chuukagai, nankinmachi@
@chinaware@|@nankin'yaki@
@Chinese@|@chaini-zu@
@Chinese "hopping vampire"@|@kyonshi@
@Chinese (classical) literature@|@kanbun@
@Chinese art of self-defence@|@kenpou@
@Chinese bellflower@|@kikyou@
@Chinese bellflower (slightly screwed)@|@nejikikyou@
@Chinese black pine@|@maki@
@Chinese cabbage@|@hakusai@
@Chinese character@|@honji@
@Chinese Character-Japanese (e.g. dictionary)@|@kanwa@
@Chinese characters@|@kanji@
@Chinese Communist Army@|@chuukyougun@
@Chinese Communists@|@chuukyou@
@Chinese cooking@|@chuukaryouri@
@Chinese design@|@karayou@
@Chinese dishes@|@chuukaryouri@
@Chinese geomancy@|@fuusui@
@Chinese language@|@chuugokugo@
@Chinese language (vulg)@|@chango@
@Chinese male pigtail@|@benpatsu@
@Chinese martial art@|@chuugokukenpou@
@Chinese matrimony vine@|@kuko@
@Chinese medicine@|@chuui, chuuigaku@
@Chinese merchants abroad@|@kashou@
@Chinese painter (1301-1374)@|@geiunrin@
@Chinese people@|@kanminzoku@
@Chinese person@|@chuugokujin@
@Chinese poetry@|@kanshi@
@Chinese Republic (Taiwan)@|@chuukaminkoku@
@Chinese rice@|@nankinmai@
@Chinese scholar@|@ju@
@Chinese style@|@karayou@
@Chinese word@|@kango@
@Chinese-style fried rice@|@cha-han, chaahan@
@Chinese-style noodles@|@ra-men@
@chink@|@chinchin@
@chink (in one's armor)@|@suki@
@chinning@|@kensui@
@chinoform@|@kinohorumu@
@chip@|@mokuhen, sakuhen@
@chip of wood@|@kikuzu@
@chipped ice (kind of dessert)@|@kakigoori@
@chipping (sound)@|@gachingachin@
@chips@|@kirikuzu, sohen@
@chiropracter@|@kairopurata-@
@chiropractic@|@kairopurakutikku, kairotekku@
@chirp@|@chuuchuunaku, saezuru@
@chisel@|@choukokutou, nomi@
@chit@|@denpyou@
@chit book@|@hantorichou@
@chitchat@|@oshaberi@
@chivalrous person@|@dateshuu@
@chivalrous spirit@|@gikyoushin, jinkyou, kyouki, kyoukotsu, ninkyou, otokogi@
@chivalry@|@bukyou, giki, gikyou, kishidou, kyouyuu, ninkyou@
@chlorate@|@ensosan'en@
@chlorella (alga)@|@kurorera@
@chloric acid@|@ensosan@
@chloride@|@enka, enkabutsu@
@chlorine (Cl)@|@enso@
@chlorofluorohydrocarbon@|@furon@
@chloroform@|@kururuhorumu@
@Chloromycetin@|@kururumaisechin@
@chloromycetin (abbr)@|@kuromai@
@chlorophyl@|@youryokuso@
@chlorophyll@|@kurorofiru@
@chock@|@cho-ku@
@choco(late)@|@choko@
@chocolate@|@chokore-to, shokora@
@choice@|@konomi, saitaku, senbatsu, sentaku, sentakukoumoku, shusha, tobikiri@
@choice article@|@kahin@
@choice of subject@|@shuzai@
@choice sake@|@meishu@
@choices@|@sentakushi@
@choir@|@gasshoudan, gasshoutai, kuwaia@
@choir exercises@|@ko-ruyu-bungen@
@choir leader@|@gasshoutaichou@
@choir member@|@gasshoutaiin@
@choker@|@kubiwa@
@choking@|@cho-kingu@
@choking gas@|@chissokugasu@
@cholera@|@korera@
@cholesterol@|@koresutero-ru@
@chondriosome@|@kondorioso-mu@
@choosing@|@boku@
@choosing a homesite by divination@|@bokkyo@
@choosing an alternative@|@takuitsu@
@chop@|@choppu, kire@
@Chopin@|@shopan@
@chopper@|@choppa-@
@chopping board@|@manaita@
@choppy sea@|@sankakunami@
@chopsticks@|@hashi@
@choral@|@kora-ru@
@chord@|@ko-do@
@chord-name@|@ko-done-mu@
@chore@|@zatsueki@
@choreographer@|@koriogurafa-@
@chorus@|@gasshou, gasshoutai, ko-rasu, orikaeshi@
@chorus girl@|@ko-rasuga-ru@
@chorus group@|@gasshoudan@
@chorus)@|@konsei@
@chosen (in a competition)@|@nyuusen@
@chosen song@|@senkyoku@
@Christ@|@hitonoko, kirisuto@
@christening@|@meimei@
@Christian@|@kurisuchan, shinja@
@Christian (Muromachi time)@|@kirishitan@
@Christian Dior@|@kurisuchandio-ru@
@Christian Era@|@seireki@
@Christian name@|@kurisuchanne-mu@
@Christian priest@|@kirishitanpateren@
@Christian Science Monitor@|@kurisuchansaiensumonita-@
@Christiania@|@kurisuchania@
@Christianity@|@bateren, kirisutokyou@
@Christians@|@kirisutokyouto@
@christmas@|@noeru@
@Christmas@|@kurisumasu@
@Christmas cake@|@kurisumasuke-ki@
@Christmas card@|@kurisumasuka-do@
@Christmas carol@|@kurisumasukyaroru@
@Christmas Eve@|@kurisumasuivu, zen'yasai@
@Christmas present@|@kurisumasupurezento@
@Christmas tree@|@kurisumasutsuri-@
@chroma@|@saido@
@chromatic (scale) (music) (a-no)@|@han'onkai@
@chromatography@|@kuromatogurafi-@
@chrome yellow@|@ouen@
@chromium (Cr)@|@kuromu@
@chronic@|@manseiteki@
@chronic disease@|@jibyou@
@chronicity@|@mansei@
@chronicle@|@ki, kuronikuru, nendaiki@
@chronicler@|@shikan@
@chronicles@|@rekidaishi@
@chronobiology@|@kuronobaioroji-@
@chronograph@|@kuronogurafu@
@chronological@|@nenji@
@chronological age@|@rekinenrei@
@chronological order@|@nendaijun@
@chronological order (time sequential)@|@jikeiretsu@
@chronological record@|@nenpu@
@chronological tables@|@enpyou, nenpyou@
@chronology@|@enpyou, nendaiki, nenpyou@
@chronometer@|@kuronome-ta-@
@chronoscope@|@kuronosuko-pu@
@chrysalis@|@sanagi, youchuu, youchuu@
@chrysanthemum@|@kikka, kiku, kikunohana, kouka@
@chrysanthemum growing@|@kikudzukuri@
@chrysanthemum-shaped puppet@|@kikuningyou@
@Chrysler@|@kuraisura-@
@chubby@|@debu, futotta, pochapocha@
@chubby person@|@odebusan@
@chuckle@|@fukumiwarai@
@chum@|@aikuchi, nakayoshi, nakayoshi@
@chunk@|@chanku@
@church@|@cha-chi, kaidou, kyoukai, seidou@
@church history@|@kyoukaishi@
@churl@|@gesu@
@Chuukou bunko (publisher)@|@chuukoubunko@
@CIA@|@shi-aie-@
@cicada@|@semi@
@cider@|@kajitsushu, saida-@
@cigar@|@hamaki, shiga-@
@cigarette@|@shigaretto@
@cigarette end (butt)@|@suigara@
@cigarette holder@|@suikuchi@
@cigarette with a mouthpiece@|@kuchidzukitabako@
@cigarettes@|@tabako, tabako@
@Cinderella@|@shinderera@
@Cinderella boy@|@shindererabo-i@
@Cinderella complex@|@shindererakonpurekkusu@
@cine mode@|@shinemo-do@
@cine sign@|@shinesain@
@cinefilm@|@shinefirumu@
@cinema@|@shinema@
@CinemaScope@|@shinemasuko-pu@
@CinemaScope (abbr)@|@shinesuko@
@Cinerama@|@shinerama@
@cineraria@|@saineria, shineraria@
@cinnabar@|@tansha, tanshu@
@cinnamon@|@keihi, nikkei, shinamon@
@cinnamon-cookie from Kyoto@|@yatsuhashi@
@cipher@|@anshou@
@circle@|@en, enjin, enkei, ken, maru, maru, maru, marugata, marugata, sa-kuru, wa@
@circle of acquaintance@|@kousaihan'i@
@circle of friends@|@nakama@
@circle tour by ship@|@shuukou@
@circles@|@fuseji@
@circuit@|@kaisen, sa-kitto, shuu@
@circuit (electric)@|@kairo@
@circuit breaker@|@sa-kittobure-ka-, shadanki@
@circuit training@|@sa-kittotore-ningu@
@circular@|@kaihou, maroyaka, marui, marukkoi@
@circular (document)@|@kaibun@
@circular box@|@magemono@
@circular ceiling@|@marutenjou@
@circular coral reef@|@kanshou@
@circular form@|@marugata@
@circular motion@|@en'undou@
@circular notice@|@kairanban@
@circular skirt@|@sa-kyura-suka-to@
@circular tour@|@kaiyuu@
@circular window@|@marumado@
@circulation@|@busuu, denpa, densou, junkan, kairan, mawari, rufu, ryuutsuu, sa-kyure-shon, shuppanbusuu, tsuuyou@
@circulation (of the blood)@|@kekkou@
@circulator@|@sa-kyure-ta-@
@Circuline@|@sa-kurain@
@circumcision@|@houhisetsudan, katsurei@
@circumference@|@enshuu, mawari, shuu, shuuhen, shuui, shuukai, sotomawari@
@circumlocution@|@enkyoku@
@circumnavigation@|@sekaiisshuu, shuukou@
@circumpolar star@|@shuukyokusei@
@circumscribe@|@sa-kamusukuraibu@
@circumscription@|@sa-kamusukuripushon@
@circumscription (geom.)@|@gaisetsu@
@circumstance@|@haikei, kankyou, kotogara, kyouchi, tenmatsu@
@circumstances@|@arisama, ikyoku, jijou, jiko, jikyoku, joukyou, joutai, keii, koto, kurashi, kyouguu, sai, shidai, shisai, shohan, shousoku, tsugou, wake, yue@
@circus@|@kyokuba, sa-kasu@
@circus stunt rider@|@kyokubashi@
@circus troupe@|@kyokubadan@
@cirrhosis@|@kouhen@
@cirrhosis of the liver@|@kankouhen@
@cirro-cumulus@|@iwashigumo@
@cirrus (clouds)@|@ken'un@
@cistern@|@suisou@
@citadel@|@joukaku, nejiro@
@citation@|@in'you, inshou, saite-shon, teiji@
@citation at second remove@|@magobiki@
@cities@|@shichouson@
@cities and towns@|@shichou@
@citing again@|@juushutsu@
@citing copious references@|@hakuinboushou@
@Citipati (skeletal Buddhist demi-gods)@|@shidarin'ou@
@citizen@|@hongokujin, kokumin, koumin, shimin@
@citizen (identification) card@|@juuminhyou@
@citizen of the capital@|@keijin@
@citizens@|@juumin@
@citizens of a prefecture@|@kenmin@
@citizenship@|@kokusei, kouminken, shiminken@
@citizenship training school@|@koumingakkou@
@citric acid@|@kuensan@
@citrine@|@kizuishou@
@citron@|@shitoron, yuzu@
@citrus fruit@|@yuzu, yuzu@
@citrus fruits@|@kankitsurui@
@city@|@shi, shigai, shiti, tokai, toshi@
@city (within a)@|@shinai@
@city air terminal@|@shiti-eata-minaru@
@city assemblyman@|@shigi@
@city boy@|@shiti-bo-i@
@city conditions@|@shisei@
@city confusion@|@shijin@
@city council@|@shikai, shisanjikai@
@city councilman@|@shikaigiin@
@city dust@|@shijin@
@city gal@|@shiti-gyaru@
@city gate@|@shimon@
@city hall@|@shiti-ho-ru, shiyakusho@
@city land@|@shiyuuchi@
@City meeting hall@|@shiminkaikan@
@city official@|@shiriin@
@city pops (musical style)@|@shiti-poppusu@
@city populace@|@tomin@
@city streetcar@|@shiden@
@city style@|@miyakofuu@
@city tax@|@shizei@
@city water@|@yousui@
@civic@|@shibikku@
@civic center@|@shibikkusenta-@
@civic trust@|@shibikkutorasuto@
@civic virtues@|@koutoku@
@civics@|@kouminka@
@civil@|@minjiteki, minkan@
@civil (a-no)@|@minjijou@
@civil action@|@minjisoshou@
@civil affairs@|@minji@
@civil aviation@|@minkanhikou@
@civil case@|@minji, minjijiken@
@civil code@|@minpou@
@civil government@|@minsei@
@civil governor@|@minseichoukan@
@civil law@|@minpou, shiminhou@
@civil liberties@|@jinken@
@civil minimum@|@shibiruminimamu@
@civil official@|@bunkan@
@civil proceedings@|@minjisoshou@
@civil rights@|@kouminken, minken@
@civil service@|@shi@
@civil suit@|@minjisoshou@
@civil trial@|@minjisaiban@
@civil war@|@nairan, naisen@
@Civil War (U.S.)@|@nanbokusensou@
@civil year@|@heinen, rekinen@
@civilian@|@bunmin, minkan@
@civilian clothes@|@benpuku, heifuku@
@civilian control@|@shibiriankontoro-ru@
@civilian in military employ@|@gunzoku@
@civilian requirements@|@minju@
@civility@|@aiso, aisou@
@civilization@|@bunka, bunmei, jinbun, jinmon, kaika, kaimei, kyouka, shibirize-shon@
@civilized society@|@bunmeishakai@
@CJK (Chinese@|@nicchuukan, nicchuukantougou@
@CJKV@|@nicchuukan'etsu@
@claim@|@en'you, kure-mu, motome, moushide, moushiide, saiken, saisoku, seikyuu, shuchou, yousei@
@claim for damages@|@kyuushou@
@claimant@|@youkyuusha@
@claimer@|@hikitorinin@
@clairvoyance@|@senrigan, tengantsuu, toushi@
@clairvoyant@|@tengan@
@clam@|@hamaguri@
@clamminess@|@ketsurei@
@clamming@|@shiohigari@
@clamorous@|@kenkengougoutaru@
@clamorously@|@waiwai@
@clamour@|@hishimeki, oosawagi@
@clamp@|@kasugai@
@clan@|@batsu, batsuzoku, buzoku, ichimi, ichimon, kamon, keibatsu, kuran@
@clan favouritism@|@hanbatsu@
@clandestine meeting@|@mikkai@
@clannism@|@hanbatsu@
@clanship@|@hanbatsu@
@clapping hands@|@hakushu@
@clarify@|@meikaku@
@clarion@|@meikai@
@clarity@|@meikai, meiryou@
@clash@|@gachin, gekitotsu@
@clashing colors@|@hantaishoku@
@clashing of swords@|@chouchou, toutou@
@clasp@|@tomegane@
@class@|@bumon, burui, kaikyuu, kaisou, kumi, kuraidori, kurasu, rui, sou, toukyuu@
@class action@|@kurasuakushon@
@class library (as in C++)@|@kurasuraiburari@
@class magazine@|@kurasumagajin@
@class media@|@kurasumedia@
@class of readers@|@dokushasou@
@class struggle@|@kaikyuutousou@
@class with@|@douitsushi@
@class work@|@jugyou@
@classic@|@koten, kyuuten, tenga@
@classic car@|@kurashikkuka-@
@classic life@|@kurashikkuraifu@
@classic races@|@kurashikkure-su@
@classic(s)@|@kurashikku@
@classical@|@kotenteki, kurashikaru@
@classical & colloquial@|@gazoku@
@classical drama@|@kyuugeki@
@classical elegance@|@koga@
@classical Japanese style@|@junnihonfuu@
@classical literature@|@kobun, kotenbungaku@
@classical or dead languages@|@kotengo@
@classical school@|@kotenha@
@classical studies@|@kogaku@
@classical style@|@gikobun@
@classicism@|@kotenshugi, kurashishizumu@
@classics@|@koten@
@classification@|@bunrui, kakudzuke, kubetsu, ruibetsu, shiwake, shubetsu, uchiwake@
@classified ads@|@sangyoukoukokuran@
@classified table@|@bunruihyou@
@classifier@|@kurashifaia@
@classifier for naming train cars@|@gousha@
@classifying together@|@heishou@
@classmate@|@doukisei, kurasume-to, kurasumeito, kyuuyuu@
@classmate(s)@|@doukyuusei@
@classroom@|@kyoushitsu@
@classwork@|@gakugyou@
@classy@|@tokkyuu@
@clatter@|@gachagacha, gatagata@
@clattering@|@garagara@
@clattering noise@|@batabata@
@clause@|@joukou, kajou, kou, ku, yakkan@
@claustrophobia@|@heishokyoufushou@
@claw@|@tsume@
@clay@|@kure-, nendo, touji@
@clay court (tennis)@|@kure-ko-to@
@clay pigeon@|@kure-pijon@
@clay-like@|@nendoshitsu@
@clean@|@kirei, kiyoraka, kuri-n, sapparishita, seijou@
@clean (an)@|@seiketsu@
@clean (pure) culture@|@junsuibaiyou@
@clean copy@|@seisho@
@clean energy@|@kuri-n'enerugi-@
@clean float@|@kuri-nfuro-to@
@clean heater@|@kuri-nhi-ta-@
@clean hit@|@kuri-nhitto@
@clean hot bath water for rinsing@|@agariyu@
@clean politics@|@akaruiseiji@
@clean record@|@marugachi@
@clean rice@|@kuri-nraisu@
@clean room@|@kuri-nru-mu@
@clean shaven@|@soritate, suritate@
@clean sweep@|@nadegiri@
@clean water@|@jousui@
@cleaner@|@kuri-na-@
@cleaning@|@atokatadzuke, kuri-ningu, seisou, senjou, souji@
@cleaning up@|@soutou@
@cleaning up (political party)@|@shukutou@
@cleaning woman@|@soujifu@
@cleanness@|@toumei@
@cleanroom@|@boujinshitsu@
@cleanser@|@kurenza-@
@cleansing cream@|@kurenjingukuri-mu@
@cleansing lotion@|@kurenjinguro-shon@
@cleanup@|@jouka@
@cleanup trio@|@kuri-n'apputorio, kuri-nnapputorio@
@clear@|@akiraka, azayaka, hanzentaru, hareichijikosame, kiyoi, kuria-, meirou, rekirekitaru, rekizentaru, rourou, sawayaka, senmei, setsuzentaru, sukkiri@
@clear (an)@|@heimei, seichou, seirou@
@clear (eyes)@|@pacchiri@
@clear (pure) water@|@seisui@
@clear Autumnal weather@|@akibare@
@clear face@|@sumashigao@
@clear gain@|@marumouke@
@clear Japanese weather@|@nihonbare@
@clear lacquer@|@kuriarakka-@
@clear profit@|@jun'eki@
@clear soup@|@sumashijiru@
@clear stream@|@seiryuu@
@clear then rain@|@harenochiame@
@clear understanding@|@bunmei, bunmyou, funmyou, meikai@
@clear up@|@meikaku@
@clear vision@|@teikan@
@clear water@|@mashimizu@
@clear weather@|@hare@
@clear writing@|@meiki@
@clearance@|@kuriaransu@
@clearance (of a ship)@|@shukkou@
@clearance sale@|@akafuda, kuriaransuse-ru@
@clear-cut@|@kakuzen, kakuzentaru@
@clear-cut (policy)@|@zezehihi@
@clearing (land)@|@kirihiraki, sekkai@
@clearing house@|@koukanjo@
@clearing out the people@|@hitobarai@
@clearly@|@hakkiri, hanzento, kippari, kukkiri, mazamazato@
@clearness@|@bunmei, bunmyou, funmyou, kido@
@clearsightedness@|@takken, takushiki@
@cleavage (in gems)@|@hekikai@
@cleaving (a person) in two@|@karatakewari@
@cleek (golf)@|@kuri-ku@
@clef (musical)@|@onbukigou@
@cleft grafting@|@edatsugi@
@clemency@|@jomei@
@clergyman@|@bokushi@
@clerical desk@|@jimudzukue@
@clerk@|@bantou, jimuin, kanri, kura-ku, kyokuin, shoki, ten'in@
@clerk at the information desk@|@annaigakari@
@clerk in charge@|@kakariin@
@clever@|@josainai, kashikoi, keimyou, kinokiita, kiten, kokimiyoi, koumyou, ri, sasuga, umai@
@clever (an)@|@rikou@
@clever man@|@saishi@
@clever person@|@saibutsu, saijin@
@clever presentation@|@takuron@
@clever scheme@|@kisaku@
@clever speech@|@kousai@
@clever style@|@saihitsu@
@clever writing@|@ryouko, ryuuko@
@cleverly@|@umaku@
@cleverness@|@kousha, rihatsu, rikou, takumi@
@cliche@|@kimarimonku@
@click@|@kurikku@
@clicking@|@kotsukotsu@
@clicking (tongue)@|@totsutotsu@
@clicking tongue@|@shitauchi@
@client@|@bengoirainin, iraijin, irainin, iraisha, kokaku, kokyaku, kuraianto, raihousha, torihikisaki@
@clients@|@raikyakusuji@
@cliff@|@dangai, gake, kirigishi, zeppeki@
@climate@|@fuudo, kikou, kikou, kishou@
@climax@|@hakunetsu, kuraimakkusu, kyokuten, moriagari, saikouchou, zecchou@
@climax (story)@|@kakyou@
@climber@|@kuraima-@
@climbing@|@joushou, kuraimingu@
@climograph@|@kuraimogurafu, kurimogurafu@
@clinch@|@kurinchi@
@clincher@|@kimete, todome@
@clinging@|@betabeta, koshu@
@clinging to@|@fuchaku@
@clinic@|@iin, kurinikku@
@clinic (medical)@|@shinryoujo@
@clinic car@|@iryousha@
@clinical pathology@|@rinshou@
@clinical records@|@karute@
@clinical study@|@rinshoushiken@
@clinical thermometer@|@ken'onki, taionki@
@clink@|@kachin@
@clinometer@|@kurinome-ta-@
@clip@|@kai, kurippu, sen@
@clipped@|@shakishaki@
@clipper@|@kurippa-@
@clipping@|@kurippingu@
@clique@|@batsu, batsuzoku, dounin, ha, ittou, totou@
@clitoris@|@inkaku, kurichan, kuritorisu@
@clitoris (col)@|@mame@
@clitoris (sl)@|@kannonsama@
@cloakroom@|@azukarijo, azukarisho, kuro-kuru-mu@
@cloakroom (abbr.)@|@kuro-ku@
@clock@|@kurokku, tokei@
@clock division circuit@|@bunshuukairo@
@clock hand@|@ken@
@clock stand@|@tokeidai@
@clock tower@|@tokeidai@
@clockwise rotation@|@migimawari@
@clod@|@dokai, katamari@
@clog@|@omori@
@clog repairer@|@getanaoshi@
@clog shop@|@getaya@
@clogs@|@hakimono@
@cloisonne ware@|@shippouyaki@
@cloister@|@shuudouin@
@clomiphene@|@kuromifen@
@clone@|@kuro-n@
@close@|@fukai, genmitsu, kitsui, kiwadoi, kuro-zu, matsuyou, missetsu, nakagaii, seimitsu, shuuketsu, shuukyoku, shuumaku, shuuryou, soba, sue@
@close (e.g. friend)@|@shitashii@
@close adviser@|@iakunoshin@
@close air support@|@kinsetsukoukuushien@
@close associate@|@sokkin, sokkinsha@
@close by@|@chikai@
@close call@|@kan'ippatsunotokoro@
@close clipping@|@marugari@
@close combat@|@sessen@
@close confinement (in one's barracks)@|@juukinshin@
@close contest@|@akusen, sessen@
@close enquiry@|@tsuikyuu@
@close fitting trousers@|@momohiki@
@close formation@|@misshuu@
@close friend@|@shin'yuu@
@close game@|@kurosuge-mu, kusen@
@close haircut@|@gobugari@
@close play@|@kurosupure-@
@close relation (association)@|@kin'en@
@close relationship@|@fusokufuri@
@close resemblance@|@houfutsu@
@close siege@|@choui, juui@
@close to@|@hitato@
@close to one's ears@|@mimimotode@
@close up shop@|@misejimai@
@close-cropped hair@|@bouzuatama@
@close-cropped head@|@marubouzu@
@closed@|@kuro-zudo, yasumichuu@
@closed (e.g. store)@|@kyuugyou@
@closed circuit@|@heikairo@
@closed end@|@heitan@
@closed stance@|@kuro-zudosutansu@
@closed system@|@kuro-zudoshisutemu@
@closed world@|@heisekai@
@closefisted@|@kanjoudakai@
@closely@|@bettari@
@closely resembling@|@houfutsu@
@closeness@|@kinmitsu@
@closet@|@kuro-zetto, kurozetto, oshiire@
@close-up@|@kuro-zuappu@
@closing@|@heisa, oshimai, saishuu, shimekiri, shimekiri@
@closing higher@|@takanebike@
@closing of a building@|@heikan@
@closing price@|@owarine@
@closing quotations@|@hikene@
@closing school (temporarily)@|@kyuukou@
@closing shop@|@heiten@
@closing time@|@hikedoki, mongen@
@closing up@|@tojimari@
@closing years@|@makki@
@closing years (period@|@makki@
@closure@|@heikai, heisa, kuro-ja@
@clot@|@gyoukai, keppei, korikatamari@
@cloth@|@asanuno, kiji, kire, kireji, mafu, nuno, tanmono, zukku@
@cloth bag@|@shingenbukuro@
@cloth girdle@|@sanjaku, sanjakuobi@
@cloth scraps@|@kirekuzu@
@cloth wrapper@|@furoshiki@
@clothes@|@emon, fuku, ifuku, koromo@
@clothes & obi@|@itai@
@clothes drying place@|@monohoshi@
@clothes moth@|@shimi@
@clothes rack@|@ika, ikou@
@clothes to be washed@|@sentakumono@
@clothing@|@hifuku, irui, iryou, ishokujuu, ishou, ishou, omeshi, omeshimono, souyou@
@clothing (pol)@|@meshimono@
@cloud@|@kumo@
@cloud formations@|@kumogata@
@cloud masses@|@murakumo@
@cloud movements@|@kumoashi, unkyaku@
@cloud of suspicion@|@giun@
@cloud shape@|@un'ei@
@cloudburst@|@doshaburi, gouu@
@cloudiness@|@kumori@
@clouds & fog@|@kumokasumi, unmu@
@clouds & haze (fog)@|@unka@
@clouds & water@|@unsui@
@clouds in the sky@|@amagumo@
@cloudy weather@|@kumori@
@clout@|@eikyouryoku@
@clove@|@chouji@
@cloven foot@|@soutei@
@cloven-hoofed animal@|@souteijuu@
@clown@|@doukeyakusha, inakamono@
@clowning@|@douke@
@cloy@|@manpuku@
@club@|@gorufujou, kaisho, konbou, kurabu, kurabu@
@club face (golf)@|@kurabufe-su@
@club for poets@|@penkurabu@
@club head@|@kurabuheddo@
@club sandwich@|@kurabusandoicchi@
@clubhouse@|@kurabu, kurabuhausu@
@club-shaped@|@sakibuto@
@clue@|@itoguchi, kikkake, tegakari@
@clump of bushes@|@kusamura@
@clumsiness@|@bukakkou, buma, fuki@
@clumsiness (an)@|@bukiyou, futegiwa@
@clumsy@|@bukiyou, bukotsu, buzama, gikochinai, hebo, tsutanai@
@clumsy (an)@|@fuseikou, setsuretsu@
@clumsy (work)@|@busaiku@
@cluster@|@katamari, kurasuta, kurasuta-, shuukai@
@cluster amaryllis@|@higanbana@
@cluster belladonna@|@manjushage@
@cluster of plants@|@gunraku@
@clustering@|@kurasutaringu@
@clutch@|@kuracchi@
@clutch bag@|@kuracchibaggu@
@clutch hitter@|@kuracchihitta-@
@clutch pedal@|@kuracchipedaru@
@clutter@|@ranzatsu@
@CM@|@shi-emu@
@coach@|@basha, kateikyoushi, ko-chi@
@coaching@|@shidou@
@coaching school@|@juku@
@coachman@|@gyosha, gyosha@
@coach's box@|@ko-chibokkusu@
@co-acting@|@kyouen@
@coactor@|@kyouensha@
@coagulation@|@gyouketsu, gyouko, ketsuekigyouko, korikatamari@
@coal@|@sekitan@
@coal face@|@kiriba, kiriha@
@coal mine@|@tankou@
@coal miner@|@tankouroudousha@
@coal mining@|@saitan@
@coal production@|@shuttan@
@coal seam@|@tansou@
@coal tar@|@ko-ruta-ru@
@coalesce@|@gattai@
@coaling@|@saitan@
@coalition@|@renritsu@
@coarse@|@arai, gebi@
@coarse (an)@|@hizoku, soaku@
@coarse dark-brown paper@|@karasugami@
@coarse man@|@hippu@
@coarse men and women@|@hippuhippu@
@coarse net@|@araiami@
@coarse oilpaper umbrella@|@bangasa@
@coarse or rough (an)@|@sodai@
@coarse tea@|@bancha@
@coarse woman@|@hippu@
@coarseness@|@gehin, retsuaku, teiretsu, zokuaku@
@coast@|@engan, enkai, kaigan, kishi, okiai@
@coastal railway@|@kaigansen@
@coastal waters@|@enkai, kinkai@
@coaster@|@ko-suta-@
@coastlands@|@umizoi@
@coastline@|@kaigansen@
@coastwise service@|@naikou@
@coat@|@joui, ko-to, uwabari, uwagi@
@coat of arms@|@monshou, wappen@
@coat of mail@|@gusoku@
@coated paper@|@kakoushi@
@coating@|@ko-tingu, nurimono, tosou@
@co-authorship@|@kyoucho@
@coaxial loudspeaker@|@koakisharusupi-ka-@
@coaxing voice@|@nekonadegoe@
@cobalt (Co)@|@kobaruto@
@cobalt blue@|@kobarutoburu-@
@cobalt green@|@kobarutoguri-n@
@cobble@|@maruishi@
@COBOL@|@koboru@
@cobra@|@kobura@
@cobra twist@|@koburatsuisuto@
@cobweb@|@su@
@Coca-Cola@|@kokako-ra@
@cocaine@|@kokain@
@coccus@|@kyuukin@
@cock@|@kokku, ondori@
@cockney@|@kokkuni-@
@cockpit@|@kokkupitto, kokupitto, soujuuseki@
@cockroach@|@aburamushi, gokiburi, kokkuro-chi@
@cockscomb@|@keikan, keitou, tosaka@
