@Q'anjob'al@|@English@
@haq'ab'@|@your hand@
@haqan@|@your foot@
@hasat@|@your eye@
@hatx'otx'@|@your land (your singular)@
@hatxutx@|@your mother@
@hawal@|@your cornfield@
@hay@|@there is (hay borrowed from Spanish)@
@hayab'il@|@your sickness, your illness@
@hayach@|@you (second person singular)@
@hayayilal@|@sickness@
@hayej@|@water@
@hayex@|@you all (second person plural)@
@hayin@|@I (first person singular)@
@hayon@|@we or us (inclusive)@
@he-@|@second person plural possessor of a noun that begins with a consonant, ours@
@heb'@|@plural particle indicates many (heb' naq winaq kami The men who died), they (third person plural when used with a stative verb or when it follows a noun or the subject of an intransitive verb that begins with an s or a y) @
@heb' naq winaq@|@the men@
@heb' wuninal@|@my children (heb' is a pluralizer)@
@heb'a@|@to yourselves, yourselves (b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - you did it to yourselves)@
@hekan@|@cousin@
@helya'@|@illness@
@hep@|@strength@
@hetb'i@|@your companion, the one with you@
@hetx'otx'@|@your land (more than one person's land)@
@hex@|@yours (plural - hex is used with stative verbs only)@
@hey-@|@second person plural possessive, your, yours@
@heyalan@|@underneath you all, beneath you all, below you all, under you all@
@heyaloni@|@you all say @
@heyawal@|@your (plural) cornfield @
@heyib'an@|@on you all, above over or on top of you all@
@hi'@|@young tender corn@
@hib'atx@|@your armadillo@
@hika@|@your sauna, your sweat house@
@hikan@|@your cousin@
@hilya'@|@your sickness, your illness@
@hin@|@I (when the subject of a stative)@
@hin-@|@first person singular possessor of a noun that begins with a consonant, my, mine@
@hinb'a@|@myself (b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - I did it to myself), to myself@
@hintoji@|@I go (intransitive)@
@hintx'otx'@|@my land@
@hintxutx@|@my mom@
@hinye@|@in agreement (I agree), Agreed!@
@hinye kaq chi hut halon tu@|@just as you say@
@hip@|@your strength@
@hiqatz@|@your load@
@hixal@|@your wife, your woman@
@hixim@|@your corn@
@hob'eb'al@|@blowgun@
@hok'al@|@one hundred (five times twenty), a hundred@
@holajuneb'@|@fifteen@
@hon@|@mine and yours (when the subject of a stative verb)@
@honeq@|@ours (everyones - when used with a stative verb)@
@honon@|@ours (not including the person spoken to - this is used with stative verbs), wasp@
@hoq@|@marker for potential actions (hoqex tz'ib'loq you all will write hoq jayoq she will come)@
@hostok@|@buzzard@
@hotaq@|@you know@
@how@|@five@
@howal@|@your anger@
@howye'@|@five@
@hox@|@achiote (or annatto a tropical American evergreen shrub or small tree that has showy flowers the seed is used as coloring and a flavoring)@
@hoyeb'@|@five@
@hub'al@|@your bean@
@hub'eb'al@|@your blowgun@
@huhun@|@each one@
@huk'@|@your lice@
@huk'is@|@your lice@
@hukub'@|@canoe@
@hun@|@book, paper, your paper@
@hunab'il@|@year@
@hune'@|@your child@
@hunin@|@your child@
@huqeb'@|@seven@
@huqlajuneb'@|@seventeen@
@husluk'eb@|@eleven@
@hutej@|@you make, you do@
@i'@|@young tender corn@
@ib'atx@|@armadillo@
@ich@|@chile pepper, pepper@
@icham@|@male, old@
@icham na@|@old house@
@icham winaq@|@old man, elder, sir@
@ichamil@|@husband@
@ichamilej@|@husband@
@ichin@|@back@
@ichinej@|@back@
@iiii@|@expression of admiration@
@ij@|@weevil@
@ijan@|@almost (Ijan max kin telk'oji I almost fell)@
@ika@|@sweat house, sauna@
@ikan@|@maternal uncle@
@ikanej@|@aunt (sister of your mother or father), uncle (brother of your mother or father), relative in-law@
@ikannej@|@family member, relative@
@il@|@to see, to look@
@ilb'alej@|@color@
@ilelb'a@|@east@
@im@|@teat, woman's breast@
@imej@|@breast, breast (woman's)@
@in@|@relational noun that introduces the patient of a transitive verb to make it intransitive (A jun ix max q oqwaj yin no tx'i' - It was a woman who shot the dog)@
@inat@|@seed@
@intam@|@iguana@
@inup@|@silk-cotton tree@
@inye@|@that's fine, agreed, I agree@
@ip@|@strength, your strength@
@ipejal@|@loud, aloud@
@iq@|@to carry@
@iqatz@|@load, your load@
@iqb'al@|@wrap for babies@
@iqb'alej@|@wrap for babies, wrap for babies (used to carry a baby on your back)@
@iqb'il@|@load, ship, to carry something heavy@
@is@|@potato@
@isaj@|@idler, lazy, person who doesn't like to work obligate himself to do something or do anything that requires him to exert himself@
@isk'aq@|@nail, claw, hoof@
@isq'ajej@|@fingernail@
@isq'aq@|@fingernail@
@isq'aqej@|@fingernail@
@istilej@|@wife@
@itaj@|@herbs, greens@
@itax@|@your herb@
@ix@|@classifier that indicates respect and is used in reference to the young woman, woman, younger woman@
@ix'unin@|@girl@
@ix chulul@|@small sapodilla plum@
@ix Malin@|@Maria@
@ix nuhej@|@sister@
@ix unin@|@the little girl@
@ixal@|@wife@
@ixalej@|@wife@
@ixim@|@corn, this is the classifier for 'corn' it means 'a' or 'the'@
@ixkab'@|@bee's wax@
@ixnam@|@old woman@
@j-@|@first person plural possessive, our, ours@
@ja'@|@cane, rod, yes@
@jab'@|@odor, smell, scent@
@jab'an@|@long object, numeric classifier used in measurements for items that are long, something long@
@jab'il@|@smell@
@jajan@|@kneeling@
@jal@|@to weave@
@jalan@|@underneath us, beneath us, below us, under us@
@jan@|@some (jan no tz'ikin some birds), this particle marks plurality of unknown or indefinate nouns (jan winaq 'some men' or jan kok'ixhtaj 'some small pine trees'), these (Jun jun k'u chi jil jan no chej ti 'We see these horses every day')@
@janan kanoq@|@empty house@
@Jane Doe hin@|@I am Jane Doe@
@janik'@|@asks a question that has to do with the precise time in which an action was carried out or a few moments before or after the action, used to ask 'how are you feeling?' when greeting someone@
@janik' ch'an@|@little@
@jantaq@|@how, how much, interrogative@
@Jantaq jun stel@|@What size is it?@
@Jantaq yalon k'ul naq unin?@|@How is the boy? (literally what it says his stomach boy)@
@jaqan@|@open@
@jaqan sti'@|@agape, open-mouthed, someone left with their mouth open wide due to surprise or awe@
@jasan@|@numeric classifier meaning a thin sliver of something@
@jat@|@split@
@jatnom te'@|@artisan, artist, craftsman@
@jatxan@|@large house or building@
@jawal@|@our cornfield@
@jawtejteq@|@we called him (Jawtejteq cham Kuwin jetoq We called Pascual with us)@
@jawteteq@|@We called him or her@
@jay-@|@interrogative particle (asks a question - jaywan means 'how many people?')@
@jayeb'@|@hou much, how many@
@jayeb' max halo'@|@How many did you eat?@
@jayk'on txutx wakax@|@How many cows?@
@jaywan heb'@|@how many people?@
@jenan yeji@|@wide object@
@jeneni@|@mop, papers or birds that fly in the air@
@jet'animahil@|@natural, indigenous@
@jetoq@|@with us@
@jewnajoq@|@for a person to fall with their legs spread@
@jexhan yeji@|@bad position of a person due to tiredness or for dressing badly@
@ji@|@oak, live oak@
@jib'an yeji@|@state of measure, flexible, soft, yielding@
@jila@|@see you (said to one person)@
@jilan@|@classifier for an object that is extended like a cane, straight@
@jileq@|@see you (said to more than one person)@
@jinan yeji@|@tall@
@jiq'a'@|@breathe@
@jixan yeji@|@very thin object or person@
@job'al@|@wipe@
@job'wal@|@animal's young (chick kitten etc)@
@joj@|@crow, raven@
@jojtaqneq@|@know@
@jolom@|@head@
@jolom penek@|@kneecap@
@jolomej@|@head@
@joqan@|@long@
@jorori@|@snoring sound@
@jos@|@egg@
@josej@|@testicles, eggs@
@jotajtej@|@dig@
@joto'@|@dig@
@jotx'@|@landslide@
@jub'b'alej@|@leaves used when bathing in a sauna or sweat bath@
@jujun@|@each (literally one one)@
@jujunal@|@each one@
@jukub'@|@canoe, pan or tray (especially one made of wood that is painted and adorned with straw), trough (for feeding animals)@
@jun@|@one, a, this particle indicates that a noun is unknown or indefinate (jun winaq 'a man' - jun chej 'a horse')@
@jun aq'wal@|@one night@
@jun jab'an wale@|@a long cane@
@jun jun k'u@|@every day@
@jun lajan hon@|@we are the same@
@jun mutx'@|@four hundred (five times eighty)@
@jun skawinaq@|@twenty-one@
@jun ti@|@this one@
@jun ti'@|@this, this one@
@jun tu'@|@that, that one@
@jun xa pak'@|@on the other side, to the other side@
@junab'@|@in a year, next year@
@junab'i@|@a year ago, last year@
@junch'an@|@there is only one@
@junel xa@|@again, another time@
@junk'al@|@twenty@
@junk'al heb'@|@they are twenty (there are twenty of them)@
@junk'altaq@|@twenty at a time (by twenties)@
@junnej@|@just one@
@junoq xa@|@another, another one, one more, other@
@junq'ej@|@within twenty days@
@junq'eji@|@twenty days ago@
@Juntaq yalon ak'ul?@|@Are you sick?@
@juntu'@|@that one, that@
@juntzan@|@some (juntzan no tz'ikin 'some birds'), this particle marks plurality of unknown or indefinate nouns (juntzan winaq 'some men' -  juntzan kok'ixhtaj 'some small pine trees'), these (Jun jun k'u chi jil juntzan no chej ti 'We see these horses every day')@
@junxa@|@other@
@k'a'@|@bile, bitter, gall, liver@
@k'achi'@|@salty@
@k'aj@|@toasted corn flour that people like to mix with cacao and sugar and vanilla and then use it to make a refreshing drink, flour@
@k'aj ch'en@|@sand@
@k'ajab' k'ulal@|@diet, fast (go without food for a time)@
@k'ajol@|@son@
@k'ajolej@|@son (a man's son)@
@k'al@|@and (naq Lwin k'al naq Matin 'Peter and Matthew' but when there are several items listed they are separated by a comma and k'al only appears between the last two items), adverb that means always, always@
@k'alan@|@third@
@k'alb'il@|@held in the hand, grasp (Get a good grasp on that)@
@k'alilej@|@sash, belt@
@k'am@|@no there isn't any, not, no, particle of negation (used with incomplete actions and imperitive verbs) that negates the action that follows (K'am k'al hab' chta'wi 'He or she isn't answering' - K'am cha man jun txutx kaxhlan te' 'Don't buy a hen')@
@k'am hinkolanil@|@I don't have time@
@k'am junoq winaq@|@There is no man@
@k'am tze max wala'@|@I said nothing, I didn't say anything@
@k'am tzet@|@nothing@
@k'am yip@|@weak@
@k'amaq@|@particle of negation that indicates a negative answer (K'amaj manaj naj unin 'No this isn't the boy' - Maxach b'et mulnajil? K'amaq 'Did you go to work? No), no@
@k'amtzet@|@nothing@
@k'amye@|@dull@
@k'apax@|@also (naq Xhwan k'apax ix unin John also the little girl), too@
@k'aq@|@lice, louse, particle of negation to indicate a negative answer to a question, no@
@k'ax@|@too@
@k'ay@|@to lose@
@k'eq@|@black@
@k'etxan@|@stiff things that are spread out (for example a tortilla)@
@k'etz@|@scorpion@
@k'ewex@|@Anona Squamose is a small well-branched tree or shrub that bears edible fruit called sugar-apples or sweetsops@
@k'ex@|@to change@
@k'exan@|@left (direction)@
@k'exan q'ab'ej@|@left hand@
@k'ilaj@|@bump, swelling, bite (mosquito or other insect)@
@k'ilis@|@tickle@
@k'isb'al@|@broom, tree branches used for sweeping@
@k'isis@|@cypress@
@k'ix@|@spine, thorn@
@k'ix utxum@|@porcupine@
@k'ixw@|@to be ashamed@
@k'ixwil@|@shame@
@k'och@|@remove the grains from something (especially the corn from the cob once it is dried)@
@k'oj@|@mask (Kawal yob' yili jun k'oj tu' This mask is very ugly)@
@k'ojan k'ulal@|@slowly (k'ojank'ulal max oktoq cham icham The old man entered slowly)@
@k'ojank'ulal@|@someone weak that walks slowly (like an older person with bad knees)@
@k'ojank'ulal heb'@|@they are slow@
@k'ojank'ulal heyaloni@|@Say it slowly@
@k'ojank'ulal hinkanalwi@|@I dance slowly@
@k'ojotx@|@cane, walking stick@
@k'olan@|@round or oval object such as ball or egg (K'olan yeji ch'en ton The marbles we play with are round)@
@k'olan yeji@|@round shaped (like a ball or an egg or a sphere)@
@k'olol@|@oak@
@k'ololi@|@round (ball)@
@k'otan@|@numerical classifier meaning one unit (jun k'otan keneya one banana), lying on the ground@
@k'otan ayoq@|@lying down@
@k'otok'@|@land snail@
@k'otxan@|@short@
@k'oxox@|@spicy stew made with pork and hominy called pozol in Guatemala@
@k'oyol@|@Spanish Bayonet (a type of yucca with sharp pointy leaves), yucca@
@k'u@|@day, one day, sun, thunder, thunderbolt@
@k'uhalil@|@day@
@k'ul@|@belly, body cavity that contains the stomach and intestines, interior of a person where deep feelings such as love and courage are housed, stomach, the inner person@
@k'ulej@|@belly, stomach@
@k'ultaq@|@bush, village@
@k'um@|@squash, calabash@
@k'umb'inaq@|@tired, softened@
@k'un@|@floppy, loose, soft, yielding@
@k'un xilej@|@short soft hair that covers some parts of the human body@
@k'un yeji@|@easy@
@k'upb'il@|@cut@
@k'ute'@|@cedar (trees)@
@k'utz@|@tabacco@
@k'ux@|@moss@
@k'wa'@|@well (especialy a water well)@
@ka@|@two, when ka appears in the phrase 'yet ka' it introduces the adverbial clause of purpose explaining why the primary action took place, and, that@
@ka'@|@grinder, grinding stone, nixtamal metate, moler@
@ka'e'@|@air@
@kab'@|@bee (honey), two@
@kab' kab'@|@two by two (They went into the ark two at a time)@
@kab' kab'taq@|@two at a time, by twos@
@kab' txutxej@|@stepmother@
@kab'ej@|@the day after tomorrow, within two days@
@kab'ji@|@day before yesterday, two days ago@
@kab'jwi@|@the day before yesterday@
@kab'nej@|@few (I just brought a little firewood), only two@
@kab'wi@|@day before yesterday@
@kaboj@|@few@
@kahej@|@grinder@
@kajan@|@live@
@kakaw@|@cacao@
@kalnel@|@sheep@
@kam@|@die, to die@
@kaman@|@death@
@kami@|@die@
@kamnaq@|@dead, he or she is dead@
@kan@|@charley horse, directional meaning to stay without movement, four, muscle cramp, up, verb meaning to stay, high, high price, attic or loft@
@kan kan@|@four by four (four at a time)@
@kan kantaq@|@four by four (four at a time)@
@kan stel@|@high@
@kanal@|@dance@
@kanalwan@|@dancer@
@kaneb'@|@four@
@kanej@|@in four days@
@kanji@|@four days ago@
@kanlajonej@|@within two weeks (fourteen days)@
@kanlajoneji@|@two weeks ago, fourteen days ago@
@kanlajuneb'@|@fourteen@
@kape@|@coffee@
@kapulin@|@cherry@
@kaq@|@hot (like hot coffee), red (kaq yin), scarlet, warm (cooking), flower (ornamental)@
@kaq'e'@|@air, breathe, wind@
@kaq'eq'@|@air, wind@
@kaq is@|@sweet potato, yam@
@kaq xuchem@|@whirl (wind)@
@kaqin@|@red@
@kaqyin@|@red@
@katx@|@gadfly, horsefly, any of various flies like the stable fly or warble fly that bite or annoy domestic animals@
@kaw@|@hard (Kaw chi janani te si' ti' This firewood is very dry), strong, solid, massive, as an intensifier this means very (kaw saq 'very white' - kaw chi' 'very sweet')@
@kaw pitinaq@|@stiff, rigid, hard@
@kaw yib'@|@strong, hard@
@kawal@|@very, intensifier (Kawal chi woche chin wey han 'I want to sleep')@
@kawan@|@two people (Max jay kawan winaq Two men came)@
@kawanil@|@the two persons (Cheqteq heb' kawanil wetoq Send the two with me)@
@kawej@|@corn masa, corn dough@
@kawejal jolomej@|@brain, cranium, mind@
@kawil@|@health, life, near, close@
@kawinaq@|@forty (Kawinaq xa k'u skam hinmam Forty years ago my father died), two times twenty@
@kawk'olinaq@|@unripe fruit, ball that has been inflated tight, anything very hard@
@kawk'uxinaq@|@something that is very hard and cannot be chewed@
@kawni@|@to grind (We will grind the corn)@
@kawniwom@|@woman who grinds with a rock (Kawniwom ix Ewul Eulalia is a grinding woman)@
@kawpitinaq@|@something very hard, to tie something very tight@
@kawsaninaq@|@very hard stomach, ground that is hard when it is struck@
@kawt'ininaq@|@lasso or twine that is stretched tight, inflated@
@kawx@|@to make@
@kawxi@|@fix, build@
@kawxinaq@|@made@
@kaxhlan@|@chicken@
@kaxk'al@|@although@
@kay-@|@prefix that indicates a place (kayti' - here - kaytu' - there)@
@kayti@|@here@
@kayti'@|@here@
@kaytu@|@particle that is used to introduce an adverbial clause of purpose, so it is, that's true, like this, like that, there@
@kaytu'@|@over there, quite so!, so it is, there@
@kaytu max yunej@|@it was done like this@
@key@|@like this, like that@
@kisq'aqej@|@cyst, tumor, born@
@kixkab'@|@earthquake, tremor@
@ko@|@first personal plural possessive, our, we@
@ko-@|@first person plural possessor of a noun that begins with a consonant, our, ours@
@kob'a@|@ourselves (you and I - b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - we did it to ourselves), to ourselves@
@kob'a heq@|@ourselves (you and I and others - b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - we did it to ourselves), to ourselves@
@kob'a hon@|@ourselves (ourselves not including the one spoken to - b'a plus a person from Set A indicates that the person who does tha action is the one who suffers the effects of that action so - we did it to ourselves), to ourselves@
@kochan yeji@|@large, loose@
@koj@|@cougar, mountain lion, puma@
@kok'@|@fine (masa or corn flour)@
@kol@|@defend, huipil (indigenous embroidered blouse or dress), protect, to be saved@
@kolej@|@woman's blouse, woman's blouse (especially an embroidered blouse typical to indigenous women)@
@kolin@|@help me@
@kolon@|@help, save@
@koloneq@|@help us@
@kolq'ab'@|@ring@
@kolq'ab'ej@|@ring@
@kolwajan@|@to ask for help (Kolwajan wetoq wuxhtaq My brother help me)@
@kolwal@|@help@
@komam@|@our father (dual - mine and yours)@
@komam asun@|@our father cloud@
@komam Dyos@|@our Father God (often said of the sun)@
@komam hon@|@our father (exclusive - ours but not yours)@
@komam kaq'eq@|@our father wind (or air)@
@komam kotxutx@|@our fathers, our parents (literally -komam 'our father' kotxutx 'our mother')@
@koman heq@|@our father (inclusive - ours and yours)@
@komes@|@centipede@
@kon@|@gopher@
@konb'laq anima@|@stranger, foreigner, unknown person@
@konh@|@within four days@
@konji@|@within four days, in four days@
@konob'@|@country, town, village@
@kopa@|@our backpack (yours and mine)@
@kopa heq@|@our backpack (back pack belongs to the speaker and the listener as well as to others)@
@kopa hon@|@our backpack (backpack belonging to the speaker and others but not to the one spoken to)@
@kopichil@|@our clothes@
@kosan@|@snake that is resting (just lying in the sun maybe)@
@kostunbre@|@old religion@
@kotin@|@two-headed eagle (appears to have Hittite origins and a symbol of power it is also used by Masons)@
@kotx'an@|@crooked, twisted@
@kotx'otx'@|@our land (yours and mine)@
@kotx'otx' heq@|@our land (land that belongs to the speaker the one spoken to and others)@
@kotx'otx' hon@|@our land (land belonging to the speaker and others but not to the one spoken to)@
@koxan@|@snake that is resting (perhaps lying in the sun)@
@kucham@|@piece, bit, chunk@
@kuk@|@squirrel@
@kuka@|@firefly, lightening bug, Headlight Elater click beetle@
@kukay@|@firefly, glowworm@
@kukuy@|@Headlight Elater click beetle, firefly, lightening bug@
@kunan@|@classifier for a mountain of things (things piled up in the form of a volcano)@
@kurus@|@cross@
@kusiltaq@|@sad, lonely, alone@
@kut wexej@|@long underwear@
@kutan@|@short@
@Kuwin@|@Pascual@
@kux@|@coal@
@kuxa@|@sugarcane liqour@
@kuxin@|@weasel@
@kuyeq@|@you all or they study, you all or they learn@
@kuyoj@|@study, learning, teaching, education@
@kuyu'@|@to teach, to learn, to study@
@kuywajom@|@he who teaches, teacher@
@kuywajwom@|@he who teaches, teacher@
@kuywom@|@studious, student@
@kwelda@|@length measure of a cord@
@la@|@stinging nettle@
@lab'a@|@snake@
@lab'aj@|@snake@
@laj@|@to finish, to end, to terminate@
@lajan@|@the same, equal@
@lajan hon@|@we are the same, we are equal@
@lajan yoki@|@similar, looks like another person or thing, akin@
@lajkaweb'@|@twelve@
@lajoneb'@|@ten@
@lajoneb' skawinaq@|@thirty@
@lajoneb' yoxk'al@|@fifty@
@lajun skawinaq@|@thirty@
@lajun yoxk'al@|@fifty (ten towards three times twenty)@
@lajuneb'@|@ten@
@lajunk'al@|@two hundred (ten times twenty)@
@lajwi tu@|@after, finally (The last thing we did was to go to bed)@
@lak' taq@|@sticky, gummy, gluey, adhesive@
@lak'b'al@|@gum, glue, liquid or pasty substance used to adhere or stick things together@
@lanan@|@marker for actions that are in progress (lanan hinlowi I am eating)@
@Lanan in aq'on a'ej@|@You are drinking (your) water@
@Lanan in kuyon Q'anjob'al@|@I am learning Q'anjob'al@
@lanan in w'uq'on wa'ej@|@I am drinking (my) water@
@Lanana ach b'eyi@|@You (singular) are walking@
@Lanana maq'ch puerta@|@You (singular) are closing the door@
@Lananach b'eyi@|@You (singular) are walking@
@laps@|@pencil@
@lasu@|@lasso@
@latx'@|@poultry lice or mites@
@latz'an@|@classifier for things stacked or placed tightly together such as firewood and tortillas (ox latz'an patej - three orderly stacks of tortillas)@
@latz'on@|@stack firewood tightly so that it occupies the least possible space@
@lek'@|@to lick@
@lekan@|@standing@
@lekan hin ajoq@|@I am seated@
@lem@|@worm@
@lesan yeji@|@person very short and fat, strip of cloth@
@letan yeji@|@midget, short@
@letan yeji stel@|@very short@
@letxb'al@|@crate, vessel made of the round woody fruit of the Bignoniaceae tree@
@letz'lom@|@lightening flash@
@lian a'ej@|@pond@
@lisan@|@numeric classifier for use in measuring a piece of something, piece, sliver@
@lixhton@|@hair ribbon@
@lo'@|@eat, eat (fruit)@
@lob'ej@|@food@
@lob'ejal@|@fruit@
@loj@|@food@
@lokan@|@hung, hanging (The calendar is hanging on the wall)@
@lokb'al@|@instrument for hanging something (like a coat hook)@
@lolis@|@vagina@
@loq'@|@to go out, to leave@
@Lotaxh@|@Rhoda@
@low@|@eat@
@lowan@|@eat (as a command - Eat or you will get sick)@
@lowaneq wal@|@eat up (all of you)@
@lowaqab' wal heb'@|@they should eat@
@lowi@|@eat, to eat@
@lowoqab' wal@|@he or she should eat@
@lowoqon wal@|@ we should eat@
@Luhin@|@Peter@
@luqum@|@earthworm, worm@
@luqum'@|@earthworm@
@ma@|@or (A ix Malin ma a ix Mikin - It is Malin or it is Mikin)@
@ma'@|@macaw@
@maj@|@no, particle of negation for actions that would have been completed or would have taken place in the future @
@maj hinb'eyoq@|@I won't walk@
@majan@|@borrow, loan, loaned, worker@
@majane'@|@to loan@
@majanej@|@to loan@
@majilal@|@hunger (due to poverty)@
@mak@|@cover (verb), subordinator telling who@
@mak txel@|@who@
@makan@|@closed@
@maktxel@|@who@
@Maktxel maxach maq'oni?@|@Who hit you?@
@mal@|@swell, swelling@
@Malin@|@Maria@
@maltin@|@monkey@
@maltin k'oy@|@monkey, small monkey with a long tail@
@mam@|@father@
@mamej@|@father@
@mamej ch'okil@|@male grackle@
@mamej kaxhlan@|@rooster@
@mamej txutxej@|@parents, parents (of a family)@
@mamich@|@my son (mijo term of endearment)@
@mamin@|@gentleman, grandfather@
@mamixh@|@my son (mijo term of endearment)@
@man@|@buy (Maxin man te mansan te' - I bought an apple), buys (My brother buys his shoes here), isn't, particle of negation for a stative  (Man ya'oj ay no' tx'i' - The dog is not sick) or a verb in the potential time aspect (Man hoj sman kaxhlan ix q'opo - The woman will not buy the hen)@
@man wojtaqoq@|@I don't know@
@man yeloq@|@it isn't true@
@mana'@|@to purchase, to buy, buy@
@manaq@|@it isn't, it wasn't@
@manchaj@|@particle of negation for imperitive verbs (Manchaj haman jun no' txutxe kaxhlan - Don't buy a hen)@
@manteka@|@fat (body fat)@
@mantekil@|@fat@
@mantika@|@fat@
@map@|@cohune palm@
@maq'@|@to hit@
@maq' kam@|@kill@
@maq' poj@|@break (Tx'otx' xij max smaq' poj naq unin - The boy broke the pot - Although both hit and break are used in this phrase it is only translated as broke), chop (Yetoq ch'en echej chi smaq' poj naq winaq te si' - With an ax the man chops the firewood)@
@maq'a@|@swim@
@maq'a'@|@hit her, hit him, hit it, to hit (Max smaq' naq Lwin no tx'i' - Peter hit the dog)@
@maq'b'il@|@hit@
@maq'b'il hach@|@you are hit@
@maq'b'il heb'@|@they are hit@
@maq'b'il hex@|@you all are hit@
@maq'b'il hin@|@I am hit@
@maq'b'il hon@|@we are hit@
@maq'b'il ix@|@he is hit@
@maq'b'il naq@|@he is hit@
@maq'il@|@thresh (He threshed the wheat)@
@maq'in@|@hit me@
@maq'kamoq@|@kill@
@maq'lay kam@|@kill with the passive marker lay (max maq'lay kam - was killed)@
@maq'layi@|@hit used passively (maxin maq'layi - I was hit)@
@maq'wajaneq@|@hit you all (a group of persons gathered together)@
@maq-@|@root word meaning closed@
@maqan@|@closed@
@maqtxel@|@who (who went to town to get the chickens?)@
@mar@|@sea@
@masanil@|@all@
@maslo'@|@ate (fruit)@
@maspoj ayoq@|@split it (with an instrument)@
@mastx'oxo'@|@showed it@
@mata@|@word used to express the desire to get something done or wish you had done something or the desire to do something in the future (mata chex lowi 'hope you all eat')@
@matan@|@gift@
@matzaj@|@pineapple (te matzaj 'the pineapple')@
@matzak@|@pineapple (te matzak 'the pineapple')@
@max@|@past tense marker@
@max'alji@|@was born@
@max'ejek' yetoq@|@had it, owned it, possessed it@
@max'el swayan@|@woke up@
@max'etex toq@|@it was rotten (the weaving had rotted)@
@max'ilchaj yuj@|@met it, found it@
@max'ojomb'i@|@coughed@
@max 'achni@|@bathed@
@max 'ajwan@|@got up, raised up, stood up@
@max 'apni@|@arrived (there)@
@max 'apni yin@|@came to be@
@max 'ay k'ayi@|@he fell@
@max 'ay teq@|@went down@
@max 'el toq@|@left, went out@
@max 'el yaw@|@he shouted@
@max 'elajoq@|@escaped, fled@
@max 'ok toq@|@entered@
@max 'oq'i@|@cried@
@max 'uli@|@arrived (here)@
@max 'ulji toq@|@melted@
@max 'uqi@|@boiled@
@Max ajol cham komam k'u@|@Our father sun is out (The sun is shining)@
@max b'eyi@|@walked@
@max b'eytzelayi@|@was put in motion, was directed, was aimed at@
@max b'ili@|@was moved@
@max b'on toq@|@spread it, smeared it with mud@
@max jaqchaji@|@opened it@
@max jayi@|@came@
@max k'ay toq@|@was wrong, erred@
@max k'ay toq yuj@|@forgot it@
@max k'ayi@|@erred, made a mistake@
@max k'owi@|@crawled, went on hands and knees@
@max k'umb'i@|@got tired@
@max kol@|@defended, protected@
@max kolo'@|@third person singular helped or saved third person singular (he helped her or she helped him etc.)@
@max malejoq@|@swelled, was swollen@
@max maq'on kam@|@killed@
@max q'axb'oji@|@crossed@
@max saqb'anelayi@|@it was whitened (perhaps it was bleached to whiten it)@
@max sb'eq k'ayoq@|@lost it@
@max sb'ono'@|@painted it@
@max sjatne'@|@made it@
@max sjib'tz'umne'@|@whipped it@
@max sjo taqoq@|@dried it@
@max sjolom xik'nej@|@carried it on the shoulders@
@max sk'ay eloq@|@spent it (money)@
@max sk'ilista nene'@|@he tickled him or her (or she tickled him or her)@
@max skala'@|@mixed it@
@max slo'@|@ate it@
@max sma' kamoq@|@killed it@
@max sma'a'@|@swam@
@max smajane'@|@loaned it, received it@
@max smeltzene'@|@flipped, turned over@
@max smeq' ekoq@|@carried it (in the arms)@
@max sna teq@|@remembered it@
@max staq'wene'@|@he answered him or her (or she answered him or her)@
@max sten ek'oq@|@disturbed, obstructed, impeded@
@max stena'@|@touched it@
@max taq toq@|@it withered, it dried up@
@max toj@|@he she or it went@
@max toj jupupoq@|@flew@
@max toj k'u@|@sunset@
@max tx'atoq@|@burned (His skin burned from the friction)@
@max txaywi@|@fished@
@max tz'a toq@|@lit it, set it on fire@
@max tz'atoq@|@burned@
@max tzaleji@|@rejoiced@
@max tzaqayi@|@was enough, was sufficient@
@Max wal tet ix hintxutx@|@I said to my mother (Max 'completed action marker' wal 'I say' tet 'to' ix 'respectful title for a young woman' hintxutx 'my mother')@
@max wayi@|@slept@
@max wilon@|@I saw@
@max xewi@|@rested@
@max xhi'@|@bit it (him or her)@
@max ya' kamoq@|@killed it@
@max ya'a'@|@gave it@
@max yab'e'@|@heard it@
@max yahaj toq@|@raised it up, brought it up@
@max yak toq@|@put it in@
@max yala'@|@said@
@max yaq' meltzajok@|@returned it, gave it back@
@max yaq' nab@|@it rained@
@max yaq' q'axnajoq@|@heated it@
@max yaq' tet@|@gave him or her@
@max yaq'a'@|@gave it@
@max yawte'@|@he called it@
@max yeche'@|@weighed@
@max yelq'ene'@|@robbed@
@max yetb'ene'@|@accompanied him or her or it@
@max yetx'a'@|@pinched it@
@max yi skaq'e'@|@he or she took a breath@
@max yi teq@|@brought it@
@max yila'@|@saw it@
@max yoqtane'@|@knew it@
@max yuk'aytoq@|@drank it@
@max yuk'e'@|@drank it@
@maxa lo te on@|@You ate avocado@
@Maxa maq'ch puerta@|@You (singular) closed the door@
@Maxach b'eyi@|@You (singular) walked@
@Maxach wayi@|@You slept@
@maxb'et yila'@|@visited it@
