@English@|@Ligurian@
@Friulian@|@furlàn@
@frog@|@rànn-a, ræna@
@from@|@da@
@from (high place)@|@d'in sce@
@from Barcelona (Catalonia)@|@barçelonéize@
@from Bargaggi (GE)@|@bargagìn@
@from Bordighera (IM)@|@bordigòtto@
@from Camogli (GE)@|@camogìn@
@from Chiavari (GE)@|@ciavaìn@
@from Cicagna (GE)@|@cicagnìn@
@from Cogorno (GE)@|@cogornìn@
@from Cornigliano (GE)@|@cornigiòtto@
@from Dolceacqua (IM)@|@dosaighìn, dôsaighìn@
@from Foce (GE)@|@foxàn@
@from inside...@|@d'inte...@
@from La Brigue (in France after WWII)@|@brigàsco@
@from La Spezia (SP)@|@spezìn@
@from Milan (Lombardy)@|@milanéize@
@from Nice (France)@|@nisàrdo@
@from Pentema (GE)@|@pentemìn@
@from Pisa (Tuscany)@|@pizàn@
@from Portoria (GE)@|@portoliàn@
@from Pra (GE)@|@praìn@
@from Recco (GE)@|@rechelìn@
@from Sampierdarena (GE)@|@sanpedænìn@
@from San Remo (IM)@|@sanremàsco@
@from Savona (SV)@|@savonéize@
@from Seborga (IM)@|@seborghìn@
@from Sessàrego (GE)@|@sesægo (ag.)@
@from Sestri (GE)@|@sestrìn@
@from Tabarka (Tunisia)@|@tabarchìn@
@from the (fpl)@|@da-e@
@from the (fsing)@|@da-a@
@from the (mpl)@|@da-i@
@from the (msing)@|@da-o@
@from time to time@|@ògni tànto@
@from Torriglia (GE)@|@torigìn@
@from Turin (Piedmont)@|@torinéize@
@from where@|@da dôve, dónde@
@frost@|@brìnn-a, zêo@
@frozen@|@ziòu@
@fruit@|@frûta, frûto@
@fruit bowl@|@piâto da frûta@
@fruit worm@|@zânéllo@
@fruiterer (f)@|@regatónn-a@
@fry-up@|@fritùmme (nm)@
@frying pan@|@poêla@
@fuck! (vulg.)(excl.)@|@belìn! (volg.)@
@fugue@|@fûga@
@full (fpl)@|@pìnn-e@
@full (fsing)@|@pìnn-a@
@full (mpl)@|@pìn@
@full (msing)@|@pìn@
@full moon@|@lùnn-a pìnn-a@
@Fumeri (GE)@|@Fumæri@
@fun@|@demôa, divertiménto, scianpràdda, ribòtta, axìllo@
@function@|@fonçión, fonsión@
@funeral@|@funerâle@
@funnel@|@tortaieu@
@funny@|@diverténte@
@fur@|@pelàmme@
@fur coat@|@pelìssa@
@furniture@|@mobìlia (nf)@
@furrow-weed@|@léuggio@
@furthermore@|@pe de ciù@
@fusion@|@fuxón@
@Gallaneto (GE)@|@Galanæo@
@Gallinara (island)@|@Galinæa@
@gallop@|@galòppo@
@galloping up@|@a-o galòppo@
@gallows@|@fórca@
@galore@|@a batagión, a bezèffe, a dezêuvio, a mùggi, a rêo@
@game@|@partîa, zêugo@
@game of chance@|@zêugo d'azàrdo@
@gang@|@cabìrda@
@garage@|@remìssa@
@garbage@|@ruménta@
@garbage collector@|@rumentâ (nm)@
@garbage room@|@rumentêa@
@garden@|@giardìn@
@garden cress@|@cresción@
@gardener@|@giardinê@
@Garibaldo (GE)@|@Gaibâdo@
@garlic@|@àggio@
@garlic and vinegar sauce@|@agiàdda@
@garment@|@vestî (nm)@
@gas@|@gàzzo@
@gate@|@portón, portâ (nm)@
@gathered@|@acugéito@
@Gattorna (GE)@|@Gatórna@
@Gavi (Piedmont)@|@Gâvi@
@Gazzolo (GE)@|@Gazeu@
@gendarme@|@xandàrme (nm)@
@general@|@generâle@
@generation@|@generaçión@
@generosity@|@generozitæ@
@generous@|@generôzo@
@Genoa (GE)@|@Zêna@
@Genoese@|@zenéize@
@Genoese spirit@|@zeneixitæ@
@genre@|@génere (nm)@
@gentleman@|@gentilòmmo, scignôro@
@gently@|@cianìn, adâxo@
@genuine@|@sccétto@
@genuineness@|@sccetéssa@
@George@|@Zòrzo@
@German@|@tedésco@
@German measles@|@rosàzze (fpl)@
@Germany@|@Germània@
@gerund@|@gerùndio@
@gesture@|@ségno@
@gewgaw@|@ciaràffo, fociâra@
@giant@|@gigànte@
@gift@|@regàllo@
@gigolo@|@xatâ (nm)@
@gimlet@|@verìnn-a@
@ginger@|@zénzou@
@Gioventina (GE)@|@Zoentìnn-a@
@girl@|@pivélla@
@girl of marrying age@|@fìggia da màio@
@girlfriend@|@galànte (nf)@
@give me!@|@dàmme!@
@giveaway (sale)@|@sbaràsso@
@glad (f)@|@alêgra@
@glad (m)@|@alêgro@
@glare@|@risblandô@
@glass (for liquid)@|@gòtto@
@glass (material)@|@véddro, vréddo@
@glass canning jar@|@arbanèlla@
@glass of water@|@gòtto d'ægoa@
@glasses (eye)@|@spegétti (mpl)@
@glazier@|@vedrâ (nm)@
@gleam@|@barlùmme, risblandô@
@gleaming@|@lùstro (ag.), brilànte@
@globe@|@glöbo@
@gloomy@|@lùvego, intristîo@
@glorious@|@gloiôzo@
@glory@|@glòria@
@glove@|@goànto@
@glow@|@barlùmme@
@glutton@|@ghiòtto@
@go away! (you)@|@vàtene vîa!@
@Go figure!@|@amîa 'n pö!, mîa 'n pö!, pénsa 'n pö!, chi l'aviéiva mâi dîto?@
@go slowly!@|@dàgghe cianìn!@
@go! (you)@|@vànni!@
@goat@|@crâva@
@God@|@Dîo, Dê@
@goddaughter@|@figiòssa@
@godfather@|@poìn@
@godmother@|@moìnn-a@
@godson@|@figiòsso@
@going for a stroll@|@a spàsso, in gîo, a babà@
@gold@|@öo@
@golden@|@d'öo@
@golden eagle@|@àquila reâ@
@goldfinch@|@cardænn-a@
@goldsmith@|@fràvego@
@good (fpl)@|@bónn-e@
@good (fsing)@|@bónn-a@
@good (mpl)@|@boìn@
@good (msing)@|@bón@
@good afternoon!@|@bónn-a séia!@
@good evening!@|@bónn-a séia!@
@good humour@|@giromîa@
@good luck!@|@bónn-a fortùnn-a!@
@good man@|@brâv'òmmo@
@good manners (pl)@|@bèlle mainêe (fpl)@
@good morning!@|@bongiórno!@
@good night!@|@bónn-a néutte!@
@good sense@|@sæximo@
@good will@|@bónn-a voentæ@
@goodbye@|@adîo@
@goodbye!@|@ciâo!@
@goodbye! (respectful)@|@scignorîa!@
@good-for-nothing@|@pöco de bón (nm)@
@good-humoured@|@de giromîa@
@goods@|@mèrçe (nf)@
@goose@|@öca@
@gooseberry@|@ûga spìnn-a@
@gorgeous@|@stupéndo@
@gorilla@|@gorìlla@
@Gorra (SV)@|@Gôra@
@Gorreto (GE)@|@O Gorêio@
@gospel@|@vangêlo@
@gossip@|@ciæti@
@gout@|@podrâga@
@government@|@govèrno@
@governor@|@governatô@
@grace@|@gàibo@
@grain@|@grànn-a@
@granary@|@granâio@
@granddaughter@|@néssa@
@grandfather@|@mesiâvo, nònno@
@grandfather clock@|@relêuio a péndolo@
@grandmother@|@nònna, madonâva, madonâ@
@grandson@|@nêo, nêvo@
@grandson (diminutive)@|@neétto, nevétto@
@grape@|@ûga@
@grape harvest@|@vendégna@
@grapefruit@|@ponpélmo@
@grapes@|@ûghe (fpl)@
@grappa@|@ràppa@
@gratefulness@|@ringraçiaménto@
@grater@|@gratænn-a@
@gratitude@|@riconoscénsa@
@grave@|@tónba, seportûa@
@gravedigger@|@becamòrto, becalìn@
@gravel@|@pôvìn (nm)@
@grazing land@|@schéussa (nf)@
@greasing@|@vontùmme (nm)@
@greasy@|@gràsso@
@greasy hair@|@cavélli gràsci (mpl)@
@great@|@bonìscimo, magnìfico@
@Great Britain@|@Gràn Bretàgna@
@greater@|@magiôre, magiô@
@greatest@|@màscimo@
@Greece@|@Grêcia@
@greedy@|@avâro, avâo, ghiòtto, pignavèrde@
@greedy man@|@arpagón, avarón, pìgna (fig.), pìtima (nm)@
@Greek@|@grêgo@
@green@|@vèrde@
@greengrocer@|@bezagnìnn-a@
@greengrocer (f)@|@regatónn-a@
@greenish@|@verdàstro@
@greeting@|@salûo@
@greetings@|@salûi (nmpl)@
@Gregory@|@Grigheu@
@grey@|@grixofæro, grîxo@
@grief@|@crepacheu (nm), magón, sconfòrto, angóscia@
@grill@|@grixélla@
@Grondona (Piedmont)@|@Grondónn-a@
@groping around@|@a l'atàsto@
@gross@|@òrdenâio@
@gross mistake@|@stranbòtto, sgoarón@
@grotto@|@gròtta@
@ground@|@tæra@
@group@|@insémme (nm), grùppo@
@grudge@|@rouxîa@
@guard@|@cantonê@
@guardian@|@goardiàn@
@guardian angel@|@àngiou custöde@
@guest@|@invitòu, òspite (nm)@
@guide@|@goìdda@
@guitar@|@chitâra@
@gulf@|@górfo@
@gull (bird)@|@öchìn, gabiàn, öchìn de mâ (nm)@
@gum@|@gómma@
@gum (in mouth)@|@zenzîa@
@gunpowder@|@pôvie (nfsing)@
@gurnard (fish)@|@capón@
@gust@|@ràfega@
@gut@|@intestìn@
@guts@|@ventràggi (nmpl)@
@Gypsies@|@sìngai (mpl)@
@Gypsy@|@sìngou@
@habit@|@àndio, abitùdine@
@Hadrian@|@Adriàn@
@hail@|@gragnêua@
@hair dryer@|@sciugacavélli (nm)@
@hair loss@|@pèrdia di cavélli (nf)@
@hairdresser@|@peruchê, pêtenæa@
@hairstylist@|@peruchê, pêtenæa@
@hale@|@regagîo@
@half@|@meitæ, a meitæ, mêzo@
@half-dead@|@mêzo mòrto@
@ham@|@xanbón, prezùtto@
@hamlet@|@vilàggio, paizìn, borgàdda@
@hand@|@màn@
@handful@|@magnâ@
@handkerchief@|@mandìllo@
@handle@|@manéggia, mànego@
@handmade@|@artexanâle, fæto a màn@
@handrail@|@ringhêa@
@hands@|@màn, moén (fpl)@
@hanging@|@apéizo@
@haphazardly@|@a-a rinfûza, a-a sbæra@
@happily@|@alegraménte@
@happy (f)@|@alêgra@
@happy (m)@|@alêgro@
@happy Easter!@|@Bónn-a Pàsqua!@
@harbor@|@pòrto@
@harbor (diminutive)@|@portixeu@
@hard@|@dûo, difìçile@
@hard worker@|@laboriôzo@
@hardly@|@a fadîga, a îsa a îsa, a malapénn-a, apénn-a@
@hardship@|@sténto@
@hare@|@lêvre (nf)@
@harlot@|@scorlùsoa, scorlùssa (Savona)@
@harm@|@mâ (nm)@
@harmony@|@armonîa@
@harquebus@|@archebûxo@
@harquebusier@|@archebuxê (nm)@
@harsh@|@rùstego, rùdego@
@haste@|@asbrîo@
@hastily@|@de premûa, de spréscia@
@hate@|@òdio@
@hateful@|@odiôzo@
@hatred@|@òdio@
@hatter@|@capelâ (nm)@
@haughtiness@|@alteréssa, supèrbia@
@haughty@|@supèrbo, àltero, supèrbio@
@haul@|@resagiâ (nf)@
@haunt@|@tànn-a@
@having a cold@|@acostipòu, rafreidòu, refreidòu@
@hawk@|@farchétto@
@hay@|@fén@
@hazelnut@|@ninsêua (Savona), nisêua@
@hazy@|@vâgo@
@he@|@lê@
@he does@|@lê o fa@
@he idles@|@lê o l'òçia@
@he is@|@lê o l'é, o l'é@
@he knows@|@lê o sà@
@he puts@|@lê o métte@
@he says@|@lê o dîxe@
@he seems@|@lê o pâ@
@he varies@|@lê o vària@
@he will be worth@|@lê o variâ@
@he would do@|@lê o faiéiva/faiæ@
@he would seem@|@lê o pariéiva/pariæ@
@head@|@tésta@
@headache@|@mâ de tésta (nm)@
@headmaster@|@retô@
@headphones@|@scófie (nfpl)@
@heads and tails (on coins)@|@grìffo e crôxe (in scê monæe)@
@healer@|@mêgón@
@health@|@salûte (nf)@
@healthy@|@sàn, in gànba@
@healthy (f)@|@sànn-a (ag.f)@
@hearing@|@oêgio@
@heartburn@|@ardô@
@heat@|@câdo (nm)@
@heat (summer)@|@câdûa@
@heat wave@|@câdûa@
@heating@|@rescâdaménto@
@heaven@|@çê (m), paradîzo@
@heavy@|@pezànte@
@heavy rain@|@derûo, dilûvio@
@heavy shower@|@ramâ d'ægoa (nf)@
@Hebrew@|@ebràico, ebrêo@
@hedgehog@|@riseu@
@heel (of shoes)@|@tàcco@
@height@|@ertéssa, statûa@
@heir@|@erêde@
@Helen@|@Élena@
@hell@|@infèrno@
@hell! (vulg.)(excl.)@|@belìn! (volg.)@
@hello!@|@ciâo!, alêgri!@
@hello! (respectful)@|@scignorîa!@
@help@|@agiùtto@
@helter skelter@|@a-a rinfûza, a-a sbæra@
@hemisphere@|@emisfêro@
@hen@|@galìnn-a@
@hen do@|@adîo a-o fantinægo@
@hen night@|@adîo a-o fantinægo@
@hen party@|@adîo a-o fantinægo@
@Henry@|@Rîco@
@her (f)@|@a seu, a sò@
@her (m)@|@o seu, o sò@
@herb@|@èrba@
@here@|@chi@
@here and there@|@de sa e de la, in sa e in la@
@here it is@|@écco@
@heritage@|@patrimònio@
@hermit@|@ermìtto@
@hermitage@|@ermitàggio@
@hernia@|@èrnia@
@hero@|@eröe (nm)@
@Herod@|@Eröde@
@heron@|@airón@
@herring@|@ængo@
@hesitant@|@vacilànte@
@hesitation@|@ezitaçión@
@hi!@|@alêgri!, ciâo!@
@hiccup@|@scingùlto, crescentìn@
@hidden@|@ascôzo@
@hide-and-seek@|@scondilô@
@hiding@|@bòtta@
@high@|@èrto@
@high tide@|@èrta marêa, âta marêa@
@higher@|@magiô, magiôre@
@high-pitched@|@agùsso@
@highway@|@outostràdda@
@Hilarius@|@Ilâio@
@Hilary (f)@|@Ilâia@
@Hilary (m)@|@Ilâio@
@hill@|@zerbìn@
@Hillary (f)@|@Ilâia@
@Hillary (m)@|@Ilâio@
@hillock@|@costigeu@
@hindrance@|@òstàcolo@
@hinge@|@màppa (da pòrta), gàngou@
@hinterland@|@entrotæra (nm)@
@hip@|@sciànco (pop.), fiànco@
@his (f)@|@a sò, a seu@
@his (m)@|@o seu, o sò@
@historical@|@stòrico@
@hit@|@córpo@
@hither@|@in sa@
@hoarse@|@röco, rantegôzo@
@hobby@|@pasaténpo@
@hoe@|@vànga@
@hole@|@gàrbo, béuggio, pertûzo@
@holiday@|@fèsta@
@holidays@|@vacànse (nfpl)@
@hollow@|@câo (ag.)@
@hollow (n)@|@cavitæ@
@holy (f)@|@sànta@
@holy (m)@|@sâcro, sànto@
@Holy Land@|@Tæra Sànta@
@Holy Week@|@Setemànn-a Sànta@
@homage@|@omàggio@
@home@|@câza, cà@
@homeland@|@pàtria@
@homemade@|@cazængo, de câza@
@homemade pasta@|@pàsta de câza@
@homesickness@|@nostalgîa@
@homosexual@|@òmosesoâle@
@honest@|@ònèsto@
@honesty@|@ònestæ@
@honey@|@amê (nm)@
@honeycomb@|@brìsca@
@honour@|@önô@
@honourable@|@decénte, dégno@
@hood@|@capùsso@
@hoof (horse)@|@séucou@
@hoofs (horse)@|@séucai (mpl)@
@hook@|@gàncio, làmmo@
@hooves (horse)@|@séucai (mpl)@
@horizon@|@orizónte (nm)@
@horizontal@|@orizontâle@
@horn@|@còrno@
@horns@|@còrne (fpl)@
@horrible@|@òrìbile, òrido, òréndo@
@horror@|@òrô@
@horse@|@cavàllo@
@hospital@|@uspiâ (nm)@
@hot (m)@|@câdo@
@hot pepper@|@pevionòtto@
@hot weather@|@câdo (nm)@
@hotel@|@albèrgo@
@hot-tempered@|@nevrasténico@
@hour@|@ôa (nf)@
@hours@|@ôe (fpl)@
@house@|@cà, câza@
@household@|@domèstico@
@housekeeper@|@cazænga@
@housewife@|@cazænga@
@how@|@cómme@
@how are you? (formal)@|@comme sciâ sta?@
@how are you? (informal)@|@comme ti stæ?@
@how many (f)@|@in quànte, quànte@
@how many (m)@|@in quànte, quànte@
@how much@|@quànte@
@how much (f)@|@quànte@
@how much does it cost?@|@quànt'o vêgne?, quànt'o vâ?@
@how much is it worth?@|@quànt'o vâ?@
@however@|@però@
@howl@|@lûo@
@hubbub@|@ramadàn, sciâto, tramelêuio@
@hug@|@abràsso@
@huge@|@inménso@
@Hugh@|@Ûgo@
@human@|@umàn@
@human being@|@êse umàn (nm)@
@humanism@|@umanêximo@
@humanity@|@umanitæ@
@humble@|@ùmile, ùmio@
@humbleness@|@umiltæ@
@humbug@|@móssa@
@humid@|@ùmido (ag.)@
@humidity@|@umiditæ@
@humiliating@|@umiliànte@
@humility@|@umiltæ@
@humour@|@umô@
@hump@|@regnòcco@
@hunchbacked@|@zénbo, ghéubbo@
@hundred@|@çénto, çentanâ (nm)@
@hundred thousand@|@çénto mìlle@
@hundreds@|@çentanæa (fpl)@
@hunger@|@fàmme@
@hungry@|@afamòu@
@hunter@|@caciòu@
@hunter (f)@|@cacéuia@
@hunting@|@càccia@
@hurray!@|@sciàlla!, sciàlla sciàlla!@
@hurricane@|@uragàn, oragàn@
@hurriedly@|@de premûa, de spréscia@
@hurry@|@sbrigativitæ, premûa, fûga, coìnta, spréscia@
@hurry up!@|@sbrîghite!@
@hurt@|@inciagòu, ferîo@
@husband@|@marîo, màio@
@husky@|@rantegôzo@
@hustle and bustle@|@borbóggio@
@hut@|@cabànna@
@hyena@|@iêna@
@hymn@|@ìnno@
@hypnosis@|@ìpnoxi (nf)@
@I@|@mi@
@I am@|@mi stàggo, mi són@
@I am sore@|@mi me dêuo@
@I am sorry for that!@|@me dispiâxe!@
@I arrive@|@mi arîvo@
@I avoid@|@mi évito@
@I await@|@mi aspêto, mi spêto@
@I bear@|@mi pòrto@
@I beg your apologies!@|@gh'aciàmmo scuze!@
@I believe@|@mi créddo@
@I boil@|@mi bóggio@
@I build@|@mi costroîscio@
@I buy@|@mi acàtto@
@I can@|@mi pòsso@
@I cannot@|@mi no pòsso@
@I choose@|@mi çèrno@
@I close@|@mi særo@
@I come@|@mi vêgno@
@I complain@|@mi mogógno@
@I compose@|@mi conpónn-o@
@I cover@|@mi crêuvo@
@I delete@|@mi scancèllo@
@I destroy@|@mi destrûo@
@I destroyed@|@mi ò destrûto@
@I did@|@mi fâva/fâvo@
@I do@|@mi fàsso@
@I don't know what it is (f)@|@mi no sò cös'a ségge@
@I draw (money)@|@mi schêuvo@
@I drink@|@mi béivo@
@I educate@|@mi éduco@
@I embroider@|@mi recàmmo@
@I empty@|@mi vêuo@
@I enjoy@|@mi gödo@
@I existed@|@mi són existîo@
@I fell@|@mi són chéito@
@I fill@|@mi ìnpo@
@I find@|@mi trêuvo, mi atrêuvo@
@I finish@|@mi finìscio@
@I fly@|@mi xêuo@
@I get dressed@|@mi me vésto@
@I get married@|@mi me màio@
@I give@|@mi dàggo@
@I go@|@mi vàddo@
@I go out@|@mi sciòrto@
@I had done@|@mi avéiva fæto@
@I hate@|@mi òdio@
@I have (possess)@|@mi gh'ò@
@I have awaited@|@mi ò aspêtòu, mi ò spêtòu@
@I have done@|@mi ò fæto@
@I idle@|@mi òçio@
@I insert@|@mi inséiscio@
@I keep silent@|@mi tâxo@
@I know@|@mi sò@
@I laugh@|@mi rîo@
@I like...@|@me piâxe..., m'é câo...@
@I meditate@|@mi médito@
@I miss her@|@a me mànca@
@I miss him@|@o me mànca@
@I miss it (f)@|@a me mànca@
@I miss it (m)@|@o me mànca@
@I must@|@mi dêvo, mi gh'ò da@
@I need...@|@mi gh'ò bezéugno de...@
@I offer@|@mi òffro@
@I owe@|@mi dêvo@
@I peel@|@mi péio@
@I pick up@|@mi arechéuggio@
@I prefer...@|@m'é ciù câo...@
@I put (present)@|@mi métto@
@I read (present)@|@mi lêzo@
@I run@|@mi côro@
@I say@|@mi dìggo@
@I seem@|@mi pâo, mi pàggio@
@I speak@|@mi pàrlo@
@I swim@|@mi nêuo@
@I tolerate@|@mi tòlero@
@I translate@|@mi tradûo@
@I turn on@|@mi açéndo@
@I turned on@|@mi ò açéizo@
@I used to do@|@mi fâva/fâvo@
@I vary@|@mi vàrio@
@I visit@|@mi vìxito@
@I wait for@|@mi aspêto, mi spêto@
@I want@|@mi véuggio@
@I was@|@mi êo/êa@
@I whistle@|@mi scigôo@
@I will do@|@mi faiö@
@I will go@|@mi aniö@
@I will have@|@mi aviö@
@I will have done@|@mi aviö fæto@
@I will say@|@mi diö@
@I would do@|@mi faiéiva/faiæ@
@I would have done@|@mi aviéiva fæto@
@I yawn@|@mi bâgio@
@ibex@|@crâva sarvæga@
@ice@|@giàsso@
@ice cream@|@mantecâto@
@Iceland@|@Islànda@
@Icelandic@|@islandéize@
@I'd rather...@|@m'é ciù câo...@
@idea@|@idêa@
@ideal@|@ideâle@
@identical@|@idéntico@
@identity@|@identitæ@
@idiot@|@belinón, belinâio, scémmo, lappasùcche, tarlùcco@
@idle@|@òçiôzo@
@idleness@|@dezàndio, òçio@
@idler@|@perdigiórni, pelandrón, bìndolo@
@if@|@se@
@Iglesias (Sardinia)@|@Igrêxi@
@ignorance@|@ignorànsa@
@ignorant@|@ignorànte@
@Il Pero (SV)@|@Péi@
@ill@|@infèrmo, mòuto, maròtto@
@illegal@|@ilegâle@
@illicit@|@iléçito@
@illness@|@infermitæ, mâ (nm), malatîa (it.), moutîa@
@illumination@|@inluminaçión, iluminaçión@
@illusion@|@inluxón, iluxón@
@I'm hungry@|@gh'ò fàmme@
@I'm thirsty@|@gh'ò sæ@
@image@|@figûa@
@imbecile@|@deficénte@
@imitation@|@imitaçión@
@imitator@|@imitatô@
@immediately@|@sùbito@
@immense@|@inménso@
@immigrant@|@imigròu@
@immigration@|@imigraçión@
@immortalized@|@inmortalòu@
@impatience@|@inpaçiénsa@
@impetuously@|@d'asbrîo@
@import@|@inportaçión@
@important@|@inportànte@
@impossible@|@inposcìbile@
@imprecise@|@vâgo@
@impression@|@inpresción@
@improvement@|@megioraménto@
@impulse@|@asbrîo@
@in@|@inte, in@
@in a big mess@|@a foticû@
@in a few words@|@a-e cùrte, in pöche paròlle@
@in a good mood@|@de giromîa@
@in a good state@|@in gànba, in tràppa@
@in a hurry@|@a-a córsa@
@in a jumble@|@a-a rinfûza, a-a sbæra@
@in a moment@|@inte 'n moménto, inte 'n amén, inte 'n étte@
@in abundance@|@a mùggi, a dezêuvio, a bezèffe, a batagión@
@in advance@|@in antìçipo@
@in all truth@|@a dîla sccétta, a dîla comm'a l'é, a dî o vêo, a dî a veitæ, sccetaménte@
@in an instant@|@inte 'n sciòu, inte 'n nìnte, inte 'n âmen@
@in another place@|@da unn'âtra pàrte@
@in bad condition@|@malandæto@
@in bloom@|@in sciô (av.)@
@in blossom@|@sccioîo (ag.)@
@in cash@|@a dinæ contànti, in contànti@
@in darkness@|@a-o scûo@
@in fact@|@in efètti, difæti@
@in flower@|@in sciô (av.)@
@in force (law)@|@vigénte@
@in front of@|@davànti a, in fàccia a@
@in general@|@pe-o ciù@
@in great quantity@|@a mùggi, a dezêuvio, a bezèffe, a batagión@
@in half@|@a-a meitæ@
@in haste@|@de premûa, de spréscia@
@in installments@|@a tànto a-o méize@
@in instalments@|@a tànto a-o méize@
@in less than no time@|@inte 'n âmen, inte 'n moménto, inte 'n étte@
@in Liguria@|@inta Ligùria, in Ligùria@
@in my house@|@in cà mæ@
@in my opinion@|@a mæ giudìçio, a mæ pài@
@in no rush@|@sénsa spréscia@
@in order to@|@afinché@
@in pieces@|@a tòcchi@
@in plenty@|@a mùggi, a dezêuvio, a bezèffe, a batagión@
@in risk@|@a réizego@
@in spite of@|@invêce de@
@in such a way that@|@de mòddo che, in mòddo che@
@in surplus@|@de sorveciù@
@in the (fpl)@|@inte@
@in the (fsing)@|@inta@
@in the (mpl)@|@inti@
@in the (msing)@|@into@
@in the (msing)(fsing)@|@inte l'@
@in the dark@|@a-o scûo@
@in the evening@|@de séia@
@in the latest fashion@|@a l'ùrtima mòdda@
@in the middle@|@into mêzo, in mêzo@
@in the middle of@|@in mêzo a@
@in the morning@|@de matìn@
@in those days@|@alantôa@
@inactive@|@inatîvo@
@incense@|@incénso@
@incidentally@|@a propòxito@
@income@|@réndia, rédito@
@incomplete@|@sconplêto, sconpîo@
@incomprehensible@|@inconprenscìbile@
@inconvenient@|@scòmodo, descòmodo, sconveniénte@
@incorrect@|@scorétto@
@increase@|@ouménto@
@incredible@|@incredìbile@
@indeed@|@pe in davéi, davéi, pe 'n davéi@
@independence@|@indipendénsa@
@independent@|@indipendénte@
@index@|@ìndiçe@
@India@|@Ìndia@
@Indian@|@indiàn@
@indicative@|@indicatîvo@
@indigent@|@zenzìggio@
@indigo@|@éndego@
@indirect@|@indirètto@
@individual (adj.)@|@individoâle@
@individual (n)@|@indivìdoo@
@ineffective solution@|@tapóllo@
@inevitably@|@pe fòrsa@
@infamous@|@infâme@
@infection@|@infeçión@
@inferior@|@inferiô@
@infinite@|@infinîo@
@infirmary@|@infermàia@
@inflated@|@bezìggio@
@influence@|@infloénsa@
@information@|@informaçión@
@informer@|@sciusción@
@ingenuity@|@ingenoitæ@
@ingenuous@|@ingénoo@
@inhabitant@|@abitànte@
@injury@|@lexón@
@ink@|@inciòstro@
@ink stain@|@spegàsso@
@inkwell@|@câmâ (nm)@
@insatiable hunger@|@bràsca@
@inside@|@drénto a, drénto@
@insipid@|@fàtto@
@insolvent@|@ciantapóffi (nm)@
@inspector@|@inspetô@
@installment@|@râta@
@instalment@|@râta@
@instantly@|@in sce doî pê@
@instead@|@in càngio, invêce@
@instep@|@tomæa@
@instinct@|@istìnto@
@institute@|@istitûto@
@instruction@|@istroçión, istruçión@
@instructor@|@istrutô@
@instrument@|@struménto@
@instrumentalist (music)@|@sunòu@
@insufficient@|@deficénte@
@insulin@|@insulìnn-a@
@insult@|@poulàssa@
@intected@|@infetòu@
@intellectual@|@inteletoâle@
@intelligence@|@inteligénsa@
@intelligent@|@inteligénte@
@intense@|@inténso@
@intensity@|@intenscitæ@
@intention@|@intençión@
@interest@|@interèsse (nm)@
@interested@|@interesòu@
@interesting@|@interesànte@
@interjection@|@interieçión, esclamaçión@
@internal@|@intèrno@
@international@|@internaçionâle@
@Internet@|@ræ (nf)@
@interpreter@|@intèrprete@
@intertwining@|@intrésso@
@interval@|@intervàllo@
@intervention@|@intervénto@
@intestine@|@intestìn@
@intimacy@|@intimitæ@
@intimate@|@ìntimo@
@into@|@drénto a@
@into pieces@|@in menisétti, in menìssi@
@intolerant@|@intolerànte@
@intonation@|@intonaçión@
@intricate@|@ingarbugiòu@
@introduction@|@introduçión, prezentaçión@
@invalid@|@nùllo@
@invasion@|@invaxón@
@inverted@|@invèrso@
@Ireland@|@Irlànda@
@Irish@|@irlandéize@
@iron@|@færo@
@irony@|@ironîa@
@irregular@|@iregolâre@
@irritating@|@iritànte@
@irritation@|@iritaçión@
@Isidore@|@Xidöo@
@Islamic@|@islàmico@
@island@|@ìzoa@
@islet@|@izoöto@
@isn't it so?@|@vêa?@
@Isola del Cantone (GE)@|@Ìzoa do Cantón@
@isolated@|@izolòu, izoòu@
@Isoverde (GE)@|@Izovèrde@
@Israeli@|@isræliàn@
@issue@|@emisción, facénda@
@it@|@lê@
@it hurts!@|@me fa mâ!@
@it is (f)@|@a l'é@
@it is (m)@|@o l'é@
@it is necessary to...@|@bezéugna...@
@it rained@|@l'é ciuvûo@
@Italian@|@italiàn@
@Italy@|@Itàlia@
@it's about time@|@l'êa l'ôa@
@it's been a long time...@|@l'é ànni e ànni...@
@it's like that@|@l'é coscì@
@ivory@|@avòrio@
@ivy@|@léloa@
@İzmir (Turkey)@|@Smìrna@
@jackdaw (bird)@|@cornagétta@
@Jacob@|@Giacomìn, Giàcamo, Iàcopo@
@jail@|@prexón, galêa@
@James@|@Iàcopo, Giàcamo, Giacomìn@
@January@|@zenâ@
@Japan@|@Giapón@
@Japanese@|@giaponéize@
@jar@|@caràffa@
@jaw@|@mascèlla@
@jay (bird)@|@gazànn-a@
@jealous@|@giôzo, ingiöxîo@
@jerk (vulg.)@|@tarlùcco, belinón, lappasùcche, gondón (volg.), gondonàsso (volg.)@
@Jerusalem@|@Geruzalémme@
@Jesus@|@Gexû@
@jewel@|@gioièllo@
@jeweler@|@gioielê (nm), gioielâ (nm)@
@Jewish@|@giudêo, ebrêo@
@job@|@inpiêgo, lòu@
@John@|@Zâne, Gioâne, Vànni, Zânìn, Gioanìn, Giànni, Giàn@
@John Baptist@|@Bacìccia@
@joke@|@barselétta, schèrso@
