@English@|@Abenaki Penobscot@
@fuel@|@awazonal@
@further@|@chitôiwi@
@furthermore@|@askua awasiwi, awasiwi@
@futile@|@pizwi@
@gale: it's a ~@|@sakpôlômsen@
@gallon: half a ~@|@pabas'galanoo@
@gallon: ten ~s@|@mdala kas'galanoo@
@garden@|@nbizonkikôn+al@
@garters@|@kiganôbial+al@
@gentle@|@wli@
@genuine@|@pôgui@
@genuine (anim)@|@pôguigek@
@genuine (inan)@|@pôguigit@
@German@|@Alemôn@
@Germany@|@Alemônki@
@gesture@|@ladakawôgan@
@giddiness@|@kiwanaskualhawôgan@
@gin@|@jin@
@ginger@|@agômnoki-moskuaswaskw@
@ginger: wild ~@|@alnôbai tipoabel@
@girdle@|@kwutguabizon+al@
@girl: young ~@|@n'ôkskuasis@
@give away (v)@|@magamuk@
@Give me something.@|@mili gagwi.@
@Give me.@|@mili.@
@glass@|@aazasit+ik@
@globe@|@ki@
@globe: our (incl.) ~@|@kdakinna@
@glove@|@aaliljômuk+ik@
@go away (v)@|@môjimuk@
@Go.@|@alosa.@
@go: Let's ~.@|@alsoda.@
@goat@|@kots+ak@
@God@|@kchi niwaskw, tabaldak@
@godfather: my ~ (traditional)@|@kalnegoa@
@godmother: my ~ (traditional)@|@kalnegoa@
@gold@|@pilaskwi-m(ni@
@gold coin@|@pilaskwi-m(ni@
@goldsmith@|@noji-wizôwim(nikad+ik@
@good@|@waligek, waligit, wli@
@good year: a ~@|@wligaden@
@good year: it's a ~@|@wligen gaden@
@good years: these are ~@|@wligenol gadenal@
@good: he is ~@|@wligo@
@good: he/she is ~@|@oligo@
@good: it's ~@|@oligen, wligen, wligo@
@good: she is ~@|@wligo@
@goodbye@|@adio@
@goodness@|@wligowôgan@
@goose@|@wôbigilhakw+ok@
@goose: wild ~@|@wôbtegua+k@
@gooseberry@|@kôwakwimen+ak@
@governor@|@kchi sôgmô+ik@
@gown@|@phanemi-pitkôzon+al@
@grandchild: her ~@|@osessa@
@grandchild: his ~@|@osessa@
@granddaughter: my ~@|@nosses@
@grandfather@|@mahom@
@grandfather: my ~@|@n'mahom@
@grandmother@|@nokmes@
@grandmother: her ~@|@okemessa@
@grandmother: his ~@|@okemessa@
@grandmother: my ~@|@nokemes@
@grandmother: their ~@|@okemeswô, okemeswôn@
@grandson: my ~@|@nosses@
@grape@|@môlôgowimen+al@
@gravel@|@senômkol+al@
@grease@|@pemi@
@great@|@kchi@
@great lake@|@kchi nebes+al@
@Great Spirit@|@kchi niwaskw@
@green@|@askaskui@
@green dye@|@askasku'atsigan@
@green paint@|@askaskui sezowigan@
@green: it's ~@|@askaskuigan@
@Gregory@|@klegual@
@grey@|@wibgui@
@grey: he is ~@|@wibguigo@
@grey: it's ~@|@wibguigen, wibguigo@
@grey: she is ~@|@wibguigo@
@grocer@|@klosli+ak@
@ground hemlock@|@sagaskôdagw+ok@
@ground: our ~@|@k'-d-akinna@
@ground-nut@|@skibô+k@
@grumble (v)@|@madwôzimuk@
@gull@|@kaakw+ok@
@gull: small grey ~@|@kaakw+ok@
@gun@|@paskhigan+al@
@gun: double-barreled ~@|@nahnisakwtag+il@
@gunsmith@|@noji-paskhiganikat+ik@
@hail@|@pabadegw+ok@
@hail: it will ~@|@pabadegoji@
@hailing: it's ~@|@pabadegwoo@
@hair@|@wdepkwanal@
@hair of the head@|@wdupkuan+al@
@hairs@|@piassoal@
@half@|@psigia@
@half an hour@|@pabasômkipoda@
@halfpenny@|@somalkin@
@ham@|@wibalasigan@
@hammer (of a gun)@|@alemos@
@hand@|@welji@
@hand and the foot@|@melji ta mezid+al@
@handkerchief@|@moswa+al@
@handsome (anim)@|@waligek@
@handsome (inan)@|@waligit@
@hare@|@mateguas+ak@
@harness@|@aseswôbial@
@harness-maker@|@noji-aseswôbikad+ik@
@harrow@|@nokapodigan+al@
@harrow: I ~@|@n'nokapodiga@
@harrow: my ~@|@n'nokapodigan@
@harrowing: act of ~@|@nokapodigawôgan@
@harvest@|@kawakwnigawgan, kawakwnigawôgan@
@hat@|@asolkwôn+al@
@hatter@|@nodasolkwônkat+ik@
@have (v)@|@wajônômuk, wajônôzik@
@hawk@|@siômo+ak@
@hay@|@mskiko+al@
@hay-fork@|@mskikoi-nimateguai'gan+al@
@hay-stack@|@tebeskahigan+al@
@hazelnut@|@pagôn+al@
@hazy: it's ~@|@nolemasokwad@
@he@|@agmah', w'@
@head@|@mdup, wdep@
@head-ache@|@mdupinawôgan@
@heads@|@namas mdebal fish@
@health@|@sôglamalsowôgan@
@hear (v)@|@tapsedawômuk, tapsedôzik@
@heart@|@mlawogan+al, wlawngan, Wlawôgan, wlawongan@
@heat@|@wlôda@
@heat: there is ~@|@wlôda@
@heaven@|@spemki@
@heavy@|@takwiguelek, tkuigui@
@heavy (anim)@|@takwiguak@
@heavy (inan)@|@takwiguelek@
@heavy: it appears ~@|@tkwaguinôgwat@
@heifer@|@kaozis+ak@
@hello@|@kway@
@help@|@wijokadôzik@
@help (v)@|@wijokagamimuk, wijokamômuk@
@help each other (v)@|@wijokadjimuk@
@help oneself (v)@|@wijokamzimuk@
@hemlock@|@alnisedi+ak@
@hen@|@ahamo+ak@
@henceforth@|@nikuôbioji@
@herb@|@mskikois+al@
@here@|@iu, u, u tali, yo@
@Here is something.@|@Yo gagwi.@
@hereafter@|@nikuôbioji@
@heron@|@kasko+ak@
@hers (poss. pr.)@|@agma@
@herself (pr. reflective)@|@agmatta@
@hi@|@kway@
@hiccups@|@chachapsolowôgon@
@hide (v)@|@kôttassimuk@
@him her (she) (pr. obj.)@|@agma@
@himself@|@agmatta@
@hip@|@mzabi+al, wzabi@
@his@|@agma@
@hoe: a ~@|@lakaigan+al@
@hold (v)@|@kagalnômuk, kagalnôzik@
@hold: in the ship's ~@|@alômolagua@
@holy@|@wawasi@
@Holy Ghost (trinity)@|@wiji-wliniwaskwit@
@holy people: they who are ~@|@wawasinnoijik@
@holy person: he is a ~@|@wawasinnoid@
@holy person: she is a ~@|@wawasinnoid@
@honey@|@ômwaimlases@
@hope@|@nkawatzowôgan@
@horn@|@askan+ak@
@horse@|@aaso+ak, ahaso, ases@
@horse: my ~@|@n'd-aasom@
@horse-dealer@|@nadazoonigad@
@horse-fly@|@massakua+k@
@horse-trader@|@nadazoonigad@
@hospital@|@notchôguaigamigw+ol@
@hot: be ~@|@kezabzimek@
@hot: I am ~@|@n'kezabzi@
@hour: an ~@|@nguedômkipoda@
@house@|@-gamigw+ol, wigwôm@
@house: old ~@|@negôni gamigw+ol@
@how@|@toni, tôni@
@How are you?@|@Doni gedowiozin?@
@however@|@kanwa@
@hummingbird@|@nanatasis+ak, nanataso@
@hundred@|@nguedatgua@
@hundredth@|@nguedatgua akwôbabit, nguedatgua alagimguak, nguedatgua kasi chebenôzik@
@hungry: be ~ (v)@|@kadopimuk@
@hunt (v)@|@nadialimuk@
@hunter@|@nadialowinno+ak, nadialwinno+ak@
@hunting@|@nadialowôgan@
@hunting ground@|@nadialoi ki@
@hunting-knife@|@nadialwalhakw+ol@
@husband@|@sanoba@
@husband: her ~@|@niswiidiji@
@husband: my ~@|@niswiak@
@husband: my sister's ~ (speaker female)@|@nilem+ok@
@husband: my sister's ~ (speaker male)@|@nadôgw+ak@
@husband: thy ~@|@niswiakw@
@hydrophobia@|@wanôdaminawôgan@
@I@|@nia@
@I (pr. nom.)@|@h'@
@I am … (name).@|@… nia.@
@I say yes.@|@nididam oho.@
@I too@|@nia atsinowlowzi bitta.@
@ice@|@pkuami+ak@
@ice: it's thick ~@|@kpagizo pkuami@
@icicle@|@pkuami+ak@
@icy: it's ~@|@pkuamoo@
@if@|@chaga, pajitebihl(ga@
@illness@|@akuamalsowôgan@
@I'm very well.@|@nia atsinowlowzi bitta.@
@immediately@|@nitta@
@imprison (v)@|@kabh(zik@
@in a few years@|@wakasigadeniwi@
@in case@|@pajitebihl(ga@
@in order that@|@wajiji@
@in reality@|@kaalaki@
@in the middle of summer@|@nanônibeniwi@
@in the same way as@|@nôbi taôlawi@
@incarnation@|@alnôbaiosowôgan@
@inch: an ~@|@nguet'akwiad(gan@
@indeed@|@kaalaki, kalaata@
@Indian costume@|@alnôbawôzowôgan@
@Indian potato@|@skibô+k@
@Indian reservation@|@alnôbai sigwnigan@
@Indian village@|@alnôba'odana@
@Indian: an ~@|@Alnôba@
@indisposition@|@madamalsowôgan@
@infringe@|@poskwkôzik@
@ink is blue: my ~@|@n'-d-awighiganebim wlôwbaga@
@ink: some ~@|@awighiganegi@
@inn@|@soghebaigamigw+ol@
@innkeeper@|@soghebat@
@inquire@|@nadodôzik, nadomômuk@
@inquire (v)@|@nadodemokamuk@
@Iriquois tribe@|@kaanawagihnono@
@Irishman@|@Illôda@
@Irleland@|@Illôdaki@
@island@|@menahan+ol@
@it's freezing@|@ôpichikaden@
@jack (of cards)@|@wsemôganes@
@jackass@|@spônioli ases@
@jail@|@kbahodwigamigw+ol@
@jams@|@minôbo@
@January@|@alamikos@
@jaundice@|@wizôwilahwôgan@
@Jesus@|@sazos@
@jeweller@|@noji-mônikad+ik@
@jewels@|@mizôwimôniinôkwkil+al@
@John@|@az@
@Joseph@|@sozap@
@July@|@temaskikos@
@June@|@nakkahigas@
@just@|@sasagi@
@justice@|@sasaginnowôgan@
@keep@|@nanswalmômuk@
@key@|@pkwessagahigan+al@
@key (alt.)@|@pkwessaghigan+al@
@kid (goat)@|@kotsis+ak@
@kidney@|@wdollo+ak@
@king@|@kinjames+ak@
@king (of cards)@|@sôgmô+k@
@kingfisher@|@cheskwadadas+ak@
@kiss (v)@|@wajadôzik, wajamômuk@
@kiss me!@|@wajemi!@
@knave@|@wsemôganes+ak@
@knee@|@mkedukw+ok, wkedokw@
@labor@|@alokawôgan@
@lad@|@w'skinnossis@
@lady: a ~@|@sanioliskua@
@lake@|@nebes+al@
@lake: at the ~@|@nebesek@
@lake: to the ~@|@nebesek@
@lamb@|@azibiia, azibis+ak@
@land surveyor@|@noji-tbakwnigad+ik@
@land: barren ~@|@maji ki+al@
@land: fertile ~@|@wli ki+al@
@land: our (incl.) ~@|@kdakinna@
@land: poor ~@|@maji ki+al, mamadaki+al@
@landlady@|@mahôwadiskwa+k@
@landlord@|@mahôwad+ik@
@large@|@msi@
@late@|@sipkiwi@
@late summer: it's ~@|@zibkiwigen niben@
@launch@|@abodes@
@Lawrence@|@Lol@
@lawyer@|@noji-tbelodmowinno+ak@
@leaf@|@wanibagw+ol@
@league@|@nguet'osômguat@
@league: a square ~@|@nguet'osômguat tmeskuiwi@
@leanness@|@matôlwzowôgan@
@leech@|@pabaskw+ok@
@leg@|@wkôd, wkond@
@leg of mutton@|@azibigan@
@less@|@nodôiwi@
@level@|@tatebi@
@light (v.)@|@chegasômuk@
@lightning@|@alakwsahla padôgiwigi@
@like@|@taôlawi@
@lime@|@wôbipegw@
@lining@|@pitoguônsôgan@
@lion@|@pitôlo+ak@
@lip@|@azbasdon@
@liquor@|@kadosmoôgan+al@
@listen to@|@tapsedawômuk, tapsedôzik@
@Listen!@|@kita!@
@little@|@tagasiwi@
@little boy@|@w'skinnossis@
@lizard@|@kakadôlôgw+ak@
@load (v)@|@mijebikamuk@
@load a canon@|@pitkazawamuk@
@load a gun@|@pitkazawamuk@
@load a pistol (v)@|@pitkazawamuk@
@lobster@|@sôga+k@
@lock@|@asenapanes+ak@
@locust@|@sigiliamo+ak@
@loin@|@môigan+al@
@look for (v)@|@kwilawabômuk@
@Look!@|@kina!@
@looking-glass@|@pipinawjakwôgan+al@
@loon@|@mdawilha, mdawilhasis+k@
@loon: young ~@|@mdawilhasis+ak@
@lord (Christian)@|@tabaldak@
@lord: a ~@|@saniol@
@lose (v)@|@waniadômuk, waniadôzik, wanialômuk@
@Louisa@|@Lowiz@
@louse@|@kemô+k@
@lung@|@wpan+ak@
@lynx@|@bezo, wigwedi@
@mackerel@|@makelo+ak@
@mail (v)@|@pejidakamuk@
@make (v)@|@waliômuk, walitôzik@
@make greater (v)@|@mahsihômuk, mahsitôzik@
@male bird@|@nôbalha+k@
@malice@|@majigowôgan@
@Mamphremagog@|@Mamlawbagak@
@man@|@sanoba, sanôba@
@Mantawa@|@Môdôwa@
@many years@|@kasigaden@
@many years old@|@kasigadma@
@many years: for ~@|@kazigadenwaiwi@
@maple@|@senomozi+ak@
@March@|@mozokas@
@Margaret@|@malgelit@
@mark (v)@|@agizimuk@
@marrow@|@win@
@marsh@|@mskagw, wôljebagw+ol@
@marten@|@apanakes+ak@
@Mary@|@mali@
@Mary: virgin ~@|@sôgmôwi mali@
@mason@|@nodapskenigad+ik@
@mast: ship's ~@|@mdawakwam+ak@
@May@|@kikas@
@me (pr. obj)@|@nia@
@meal: a ~@|@alipimek@
@mean@|@maji-@
@mean (angry)@|@chilao@
@mean (anim)@|@majigek@
@mean (bad)@|@majigit@
@mean (inan)@|@majigit@
@measles@|@pazisilhawôgan@
@meat@|@wios@
@Megantic@|@namakôttik@
@melon@|@timeno+al@
@mention (v)@|@tablodôzik, tablomômuk@
@merchant@|@nodônkolhôd+ik@
@mercy@|@kdemôgaldowôgan@
@Michael@|@missal@
@mid day@|@nôwiwi kisokok@
@middle@|@nanôwiwi, nôwiwi@
@middle of autumn: in the ~@|@nanôtaguôgoiwi@
@middle of autumn: the ~@|@nanôtaguôgo@
@middle of summer@|@nanôniben@
@middle of summer: it's the ~@|@nanôwigen niben@
@middle: at the ~@|@nanôwiwi, nôwiwi@
@midnight@|@nôwidebakad, nôwitebakad@
@midnight (alt.)@|@nôwidbakad@
@midnight: after ~@|@kizi nôwidbakad@
@midnight: at ~@|@nôwidebakak, nôwitebakak@
@midnight: it's ~@|@nôwidebakad, nôwitebakad@
@midsummer@|@nôwiniben@
@midsummer: in ~@|@nôwinibeniwi@
@mile@|@mail@
@mill@|@taguahôgan+al@
@miller@|@nottahasid+ik@
@million@|@kchi-nguedômkuaki@
@mine (poss. pr.)@|@nia@
@mineral water@|@nbisonbi+al@
@minister@|@manistel+ak@
@minister of state@|@kchisôgmôi lidebezowinno+ak@
@mink@|@mosbas+ak@
@minute@|@minit@
@mist@|@nebiasokw@
@misty (water cloud): it's ~@|@nebiasokwad@
@moccasin@|@mkezen+al@
@molasses@|@mlases@
@mole@|@alemônska@
@Monday@|@kizsanda@
@money@|@môni@
@month@|@kisos@
@month: one ~@|@pazeko kisos@
@moon@|@nahnibôssat, nahnibssat, pgwas, pôgwas@
@moon light@|@pguasek@
@moonlight@|@pôguasek, pogwassek@
@moose@|@moz+ak@
@moose hide@|@mozagen@
@moose meat@|@mozia+ak@
@moose skin@|@mozagen@
@more@|@mina@
@moreover@|@askua awasiwi@
@morning@|@chakwa+al@
@morning: after this ~@|@kizi chakwak@
@morning: early ~@|@waospôzaki+al@
@morning: in the ~@|@spôsowiwi@
@morning: in the early ~@|@waospôzakiiwi+al@
@morning: this ~@|@chakwak@
@mosquito@|@pegues+ak@
@moss@|@asakuam@
@mother and daughter@|@kchi phanem ta wdosa@
@mother: her ~@|@wigawessa, wigewessa@
@mother: his ~@|@wigawessa, wigewessa@
@mother: my ~@|@nigawes@
@mother: my ~ (formal)@|@nigawes@
@mother: my ~ (personal)@|@n'nonon@
@mother: my spouse's ~@|@n'zegues, n'zekwes@
@mother: your ~@|@kigawes@
@mother-in-law: my ~@|@n'zegues, n'zekwes@
@mountain@|@-aden, wajo, wajos@
@mouse@|@wôbikwsos+ak@
@mouth@|@wdon@
@move forward (v)@|@ôtlômuk@
@mow: he ~s@|@temaskezôwa@
@mow: I ~@|@n'temskezôwa@
@much@|@mamlawiwi, pita@
@mud@|@azesko@
@muddy water@|@pibganbi@
@mulberry@|@psakwdamen+ak@
@mule@|@spônioli ases@
@muskrat@|@moskuas+ak@
@muskrat pelt@|@moskuas+ak@
@muskrat skin@|@moskuas+ak@
@mustard@|@whawizôwjagak@
@mutton@|@azibiia@
@mutton-chop@|@azibi-wpigasin+ol@
@myself (pr. reflective)@|@nialla@
@nail: toe/finger-~@|@mkaz+ak, wkaz+ak@
@napkin@|@napkin+al@
@near@|@pasodawiwi, pasojiwi@
@nearly@|@pasodawiwi, pasojiwi@
@neck@|@wdapskokwa, wkuedôgan+al@
@neck tie@|@nôpkowan+al@
@neither@|@ôda@
@nerve@|@wejat+al@
@nerves@|@wjatal@
@net@|@ahlab+ak, lhab+ak@
@net: his ~@|@w'-d-ahlbema@
@net: my ~@|@n-d-ahlabem+ak@
@net: our ~@|@k'-d-ahlabemna@
@net: our ~s@|@n'd-ahlabemnawak@
@net: their ~@|@w'-d-ahlabemowô@
@net: your ~@|@k'-d-ahlabem@
@never@|@asma@
@nevertheless@|@kanwa@
@new@|@pildowi, pili, wski, wskia@
@new moon@|@pili kisos@
@new year@|@piligaden@
@new year: it's a ~@|@piliwigen gaden@
@New Year's Day@|@alamikôwadimek@
@New Year's Eve@|@nôwidbakad asma alamikôwadin@
@next week@|@nakwaltak sandak@
@Nicholas@|@nikpla@
@night@|@tebokw@
@night before: the ~@|@asma tebokok@
@night: in the ~@|@nibôiwi, tebokol@
@nightingale@|@wlôgowilhas@
@nine@|@noliwi@
@nine hundred@|@noliwi kasatgua@
@nine times@|@noliwi kasta@
@nineteen@|@noliwi kasônkaw@
@ninety@|@noliwi kasinska@
@nipple@|@nonos, nonoz@
@no@|@nda, ôda@
@noon@|@paskua, paskwa@
@noon: at ~@|@paskuak, paskwak@
@noon: before ~@|@asma paskwa@
@noon: exactly at ~@|@kwaskwai paskwak@
@noon: it's ~@|@paskua@
@nor@|@ôda@
@north@|@pebonki@
@north: from the ~@|@pebonkik@
@north: to the ~@|@pebonkik@
@northern lights@|@abasandôganal@
@northern people@|@pebonkiak@
@northerners@|@pebonkiak@
@northward@|@pebonkik@
@nose@|@wjôl, wjonl@
@not@|@ôda@
@not yet@|@asma@
@notary public@|@nodawighigad+ik@
@notify (v)@|@wawôdokawômuk@
@November@|@mzatanos@
@nun@|@patlihôskua+k@
@nuthatch@|@chigôlôdawasid@
@nutmeg@|@lamiskad@
@oak@|@anaskemezi+ak@
@oar@|@ôdolibiôgan@
@oat@|@asesowimen+al@
@observe@|@pazôbimuk@
@observe (v)@|@namihômuk, namitôzik@
@ocean@|@sobagw+ol@
@October@|@penibagos@
@often@|@wigawôjiwi@
@oil@|@pemi@
@old@|@negôni@
@omnipresent@|@nônguitegilek@
@once@|@pazgueda@
@one@|@pazego, pazeguen, pazekw@
@one cent@|@sans@
@one dollar@|@pazeko môni@
@one o'clock@|@nguedômkipoda@
@onion@|@winos+ak@
@onion: wild ~@|@chijis+k@
@orange@|@wasawas+al@
@organ@|@kchi-lôbaktaigan+al@
@Ottawa@|@Ottawa@
@Ottawa: people of ~@|@Otawaiiak@
@otter@|@wnegigw+ak@
@ounce@|@awens@
@ours (excl. poss. pr.)@|@niuna@
@ours (incl. poss. pr.)@|@kiuna@
@ourselves@|@kiunatta, niunatta@
@ourselves: to ~ (incl. pr. reflective)@|@kiunatta@
@out@|@kwajemiwi@
@outside@|@kwajemiwi@
@over@|@awasiwi@
@overcoat@|@kchi pitkôzon+al@
@owl@|@kokokhas, walôias+ak@
@ox@|@aksen+ak@
@oysters@|@als+ak@
@paddle: large ~@|@masegilek wdahôgan@
@paint@|@sezowigan+al@
@paint (v)@|@sezohigamuk, sezohômuk, sezohôzik@
@painted red: it's ~@|@mkui sezowzo@
@painter@|@noji-sezowigad+ik@
@palace@|@kinjamesigamigw+ol@
@Pamigewasset@|@Pamijoasik@
@pancake@|@pôngoks+ak@
@paper: some ~@|@pilaskw@
@paradise@|@spemki@
@part of the year@|@pagaiya gaden@
@partly cloudy: it's ~@|@mômenasokwad@
@partridge@|@bakeso, pakesso+ak@
@passion (Christian)@|@mamagahodwôgan@
@Passumpsic@|@Pasômsik@
@path@|@ôwdesis+al@
@pay (v)@|@ôbankamuk@
@pea soup@|@pizilasob@
@peach@|@piches+ak@
@peacock@|@pôlôbai-sibes+ak@
@pebble@|@senis@
@peel (with a knife) (v)@|@palagzômuk, palagzôzik@
@peel (with the hands) (v)@|@palagnômuk, palagnozik@
@pen@|@miguen@
@peninsula@|@menahanakamigw+ol@
@penis@|@askoks@
@pennant@|@ndawagen+ol@
@Penobscot@|@Panaôbskak@
@Penobscot Indians@|@Panaôbskaiiak@
@Penobscot River@|@Panaôbsiattegw@
@people (Indians) from where the sun rises@|@wôbanaki@
@pepper@|@tipwabel@
@perfection@|@sasaginnowôgan@
@perhaps@|@kizilla, wskebi@
@person: dishonest ~@|@adagi pmowsowinno+ak@
@person: holy ~@|@wawasiwinno+ak@
@person: respected ~@|@kwsilawinno+ak@
@person: uncivilized ~@|@pisowakamigwinno+ak@
@person: western ~@|@ali-nkihlôtweji pmôwzowinno+ak@
@Peter@|@pial@
@petticoat@|@labizowan+al@
@physician@|@noji-nbizonhowad+ik@
@piano@|@kchi-lôbaktaigan+al@
@pickerel@|@watagua+k@
@pickets@|@skahôganak@
@pie@|@pata@
@pig@|@biges, piges+ak@
@pigeon: tame ~@|@wôbipelaz+ak@
@pigeon: wild ~@|@pelaz+ak@
@pike@|@kwenoza+k@
@pilot: boat ~@|@notkuaag+ik@
@pin@|@pinsis+ak@
@Pine River@|@Koattegw@
@pint@|@pabasba@
@pipe@|@pôgan, wdamgan, wdamôgan@
@pipe bowl@|@olôganisipôgan@
@pipe bowl: holy ~@|@wawasiolôganisipôgan@
@pipe smoker@|@odamôdpôgan@
@pipe stem: holy ~@|@wawasiodamôilipôgan@
@pipe: holy ~@|@wawasipôgan@
@pipe: stone ~@|@senipôgan@
@pipe: wooden ~@|@abazipôgan@
@pipestem@|@odamôilipôgan@
@pipestone@|@ôdamôpôganisen@
@pismire@|@alikws+ak@
@pistol@|@alômsawaiias+al@
@place (v)@|@ponasimuk, ponôzik@
@plain (meadow)@|@mskoda@
@plait (v)@|@pakawagnômuk@
@planter@|@notkikad+ak@
@plate@|@anasiat+al@
@Plattsburg@|@Sôn-Halônek@
@please@|@walilawaômnk, walilawatôzik@
@plough@|@lakazôwôgan+al@
@plough: I ~@|@n'-d-elkazôwa@
@plough: my ~@|@n-de-elkazôwôgan@
@ploughing: act of ~@|@lakazôwawôgan@
@plough-man@|@notkazôwad+ik@
@plover (bird)@|@sasaso+ak@
@plover: small ~@|@sasasoiswis+ak@
@plum@|@azawanimen+ak@
@plum-tree@|@azawanimenakuam+ak@
@pocket@|@pidôgan+al@
@pock-marks@|@maskihlaidguawôgan@
@point: it's ~ed@|@skwahigan@
@pond@|@nebessis+al@
@Pope: the ~@|@kchi sôgmôwi patlihôz+ak@
@poplar@|@wawabibagw@
@porcupine@|@kôgw+ak@
@porcupine: young ~@|@kôgwis+ak@
@pork-chop@|@piksi-wpigasen+ol@
@potato@|@padates+ak@
@potato: Indian ~@|@skibô+k@
@poultry@|@ahamoiia@
@pound@|@ngueji tkwiguan@
@pound (Brittish currency)@|@pazeko lowi@
@pound: half a ~@|@pabasi tkwiguan@
@pound: quarter of a ~@|@kaltlo@
@powder-horn@|@askan+ak@
@praise (v)@|@maskawlohômuk, maskawlohôzik@
@preacher@|@kinomasowinno+ak@
@precipice@|@kôkajigapskw+ol@
@preserves@|@minôbo@
@president of the United States@|@pastoni-kchi sôgmô@
@presume (v)@|@alidabôdôzik, alidahôzimuk@
@priest@|@patlihôz+ak@
@prince@|@kinjamessis+ak@
@princess@|@kinjamessiskuasis+ak@
@printer@|@noji-alnalhakwawighigad+ik@
@prison@|@kbahodwigamigw+ol@
@promontory@|@mamilahômak+il@
@provided that@|@tabat, tabatta@
@provisions@|@mijowôgan@
@puppy@|@wski alemos+ak@
@purchase (v)@|@manohigamuk@
@pure@|@pôgui, pôguigek, pôguigit@
@pursue (v)@|@nosokôzik, nosokozimuk@
@put@|@ponasimuk, ponôzik@
@put on (v)@|@naslômuk, nastôzik@
@put out (v)@|@nakasahôzik@
@quadruple@|@iawdi pkawiwi@
@quart (quarter of one gallon)@|@nguet'kwatoo@
@quarter@|@iawi chebenôzik, tlôtso@
@queen@|@kinjamesiskua+k@
@queen (of cards)@|@awanochwi-skuaso+ak@
@question (v)@|@nadodemawômuk@
@quill@|@miguen@
@quintuple@|@nônneda pkawiwi@
@rabbit@|@mateguas+ak@
@rabies@|@wanôdaminawôgan@
@raccoon@|@asban+ak@
@railway@|@alnahlagwôwdi+al@
@rain@|@soh-glon'be@
@rain storm@|@soglôn kinlôn@
@rain water@|@solgônbi@
@rain: it ~s@|@soglôn@
@rain: it will@|@soglônji@
@rain: it's freezing ~@|@ôpchikadenwisoglôn@
@rainbow@|@managuôn@
@raining a little: it's ~@|@soglônoso@
@rains: when it ~@|@soglônga@
@rainy day: it's a ~@|@soglônkisgad@
@rainy weather: it's ~@|@soglônkisgad@
@raisin@|@somen+ak@
@rake@|@aalôbidaak+al@
@ramrod@|@saguôlhigan+al@
@rapid (water)@|@pôntegw+ol@
@rapid: grand ~ (cascade)@|@kchi pôntegw+ol@
@rarely@|@nadawiwi@
@raspberry@|@sgueskimen+ak@
@raspberry-bush@|@sgueskimenimozi@
@rather than@|@ôdaki@
@rattlesnake@|@sisikwa+k@
@raven@|@kchimkazas+ak, ponki-mkazas+ak@
@razor@|@chigitwahigan+al@
@read (v)@|@agidôzik@
@reaper@|@noji-kawakwnigad+ik@
@rectum@|@wkejiloakw@
@red@|@mkui@
@red dye@|@mku'atsigan@
@red pine@|@pasaakw+ok@
@red: he's ~@|@mkuigo@
@red: it's ~@|@mkuigen@
@red: she's ~@|@mkuigo@
@red: they are ~@|@mkuigenol, mkuigoak@
@reddish@|@mkuôbamegua@
@redemption (Christian)@|@polwakhowawôgan@
@registrar@|@noji-sôglitigad+ik@
@reins@|@pihanisak+ok@
@relate@|@ôjemimuk@
@relation: all my ~s@|@n'dalgommek@
@relation: the ~@|@alôgomômek@
@religion@|@pôbatamwôgan@
@reserve@|@sigwnigan@
@revoke (v)@|@poskwenôzik@
@revolver@|@alômsawaiias+al@
@ribbon@|@silki+al@
@rifle@|@adebôlagw+ol@
@right@|@sasagi@
@ring (for the finger)@|@sakhilajahon+al@
@ring: wedding-~@|@nibawiljahon+al@
@river@|@sibo+al, tegw+ak, ttegw+ak@
@river water@|@sibobi@
@river: great ~@|@kchi sibo@
@road@|@ôwdi+al@
@roast meat@|@mkuejazigan@
@roast-beef@|@mkuejazigan kaoziia@
@Robert@|@Lobal@
@robin@|@kwikueskas+ak@
@rock (stone)@|@pamapskak+il@
@roguish@|@adagi@
@root@|@wajabk+al@
@rope@|@pihan+ak@
@rudder@|@wlokuahigan+al@
@rum@|@akwbi@
@run (v)@|@kazômahlômuk@
@run after (v)@|@nosokawômuk@
@rye@|@nagakowimen+al@
@sable@|@apanakes+ak@
@sacred@|@wawasi@
@saddle@|@tawabodi@
@sail@|@sibakhigan+al@
@sailor@|@pgois+ak@
@saint@|@sôgmôwi, wawasinno@
@salmon@|@mskuamagw+ok@
@salmon trout@|@namagw+ok@
@salt (v)@|@siwanaigamuk, siwanaômuk, siwanaôzik@
@salvation@|@pôlwawôgan@
@sand@|@pegui@
@sand bank@|@ôdawômkak@
@sap@|@wskidakuam@
@Saratoga@|@Salatogi@
@sarsaparilla@|@sasôgsek@
@sassafras@|@sasôgsek@
@satin@|@silki+al@
@Saturday@|@kadawsanda@
@save@|@manazaawimuk@
@saviour@|@polwakhowawinno@
@saw-mill@|@pessakuôgan+al@
@say (v)@|@ida, idôzik, ikôlômuk@
@say that again.@|@Ida ni mina.@
@say that.@|@Ida ni.@
@say this.@|@Ida yo.@
@scales@|@tebôbakhigan+al@
@scalp@|@whagakw@
@scissors@|@temespanahon@
@Scotchman@|@Koswa@
@Scotland@|@Koswaki@
@scream@|@kôgôkwawôgan@
@scythe@|@temaskezôwôgan@
@scythe: my ~@|@n'temskezôwôgan@
