@English@|@Nanai@
@to add@|@poai-@
@to answer@|@achögo-@
@to appear@|@aGbiachi-@
@to arouse@|@pikpu-@
@to arrange@|@xuelbi-@
@to arrange in order@|@idule-@
@to arrange marriage@|@delxu-@
@to ask@|@ireme-@
@to attack@|@apa-, fukchu-, xukchu-@
@to attain@|@qändachi-, qäntachi-@
@to be@|@bi-@
@to be afraid@|@bölda-zhi-@
@to be angry@|@geuxe-de-, taGda-@
@to be ashamed@|@irente-, xalzha-@
@to be broken off@|@kermë-@
@to be burnt@|@xënggi-@
@to be infected@|@dä-@
@to be inimical@|@kïmu-lë-@
@to be jealous@|@xoralsi-@
@to be poor@|@sinezhi-@
@to be shy@|@sägo-@
@to be sleepy@|@amalo-, amasi-@
@to be soaked@|@soro-@
@to be sore@|@Gilkï-@
@to be surprised@|@pekse-@
@to be unable@|@chïla-, osisi-@
@to become blunt@|@mulup-@
@to become dry@|@bocho-@
@to become hoarse@|@sije-@
@to become quiet@|@singchien-@
@to become silent@|@dunggirien-, singchien-@
@to become torn@|@kikpë-@
@to bend@|@buku@
@to bend one's head@|@gunggule-@
@to bend upwards@|@qotajgä@
@to bite@|@kengne-, s'ä, xajqo-@
@to blaze@|@potal@
@to blow@|@fulgi-, pü-@
@to boast@|@zhëri-@
@to boil@|@puju-, ulu-@
@to bow@|@kengkele-@
@to bow one's head@|@kuzhu-@
@to break@|@baqta-@
@to break into pieces@|@molzhi-@
@to break through@|@putë-@
@to breathe@|@erisi-@
@to bring@|@nuku-@
@to burn@|@dzegdi-@
@to burst@|@poldoli-@
@to caper@|@södo-@
@to carve@|@chuktuli-@
@to castrate a deer@|@xaqta-@
@to catch fire@|@tepe-@
@to catch up with@|@boqongGi-@
@to choke@|@qawali-@
@to chop@|@tokto-@
@to close@|@dälia-@
@to clutch@|@sefele-@
@to comb@|@sigzhi-@
@to come@|@zhi-@
@to come true of a premonition@|@leksir-@
@to complain@|@xapsi-@
@to compress@|@cofola-@
@to contest@|@Gali-@
@to cover@|@daqa-, dasi-@
@to cover oneself@|@kumuligu-@
@to creep@|@miku-@
@to cross a river@|@dä-, däw-@
@to curse@|@Gosöla-, Gosxo, Gosxon, soi-, soqola-@
@to cut@|@dä-ri-, mui-@
@to cut off@|@chäli-, xäGa-, xoi-@
@to cut oneself@|@kikia-@
@to cut out@|@Giri-@
@to cut smth@|@chïre@
@to dampen@|@derbe-@
@to dance@|@tepete-@
@to defecate@|@am-chi-@
@to die@|@bu-, bude-, bur-@
@to die of epidemic@|@mäl-@
@to dig@|@fete-, xule-@
@to disappear@|@gël-@
@to dive@|@purin-@
@to divide@|@bori-@
@to doubt@|@tergede-@
@to drag@|@kutu-, olbin-@
@to drink@|@omi-@
@to drive away by shouting@|@kusi-@
@to drive deer@|@pumgne-@
@to dry@|@xolGo-@
@to eat@|@zheb-, zhep-@
@to eat greedily@|@legbechi-@
@to economize@|@okchi-@
@to endure@|@ali-@
@to enter@|@ï-@
@to envy@|@alaqi, ëjuechi-@
@to exchange@|@zhue-chi-@
@to fall on one's back@|@önzhi@
@to feed@|@uli-@
@to feed animals@|@dalo-@
@to feel constrained@|@echisi-@
@to feel pain@|@enusi-@
@to fetch@|@ngäni-@
@to fish@|@tukiechi-@
@to flash@|@pojqana-@
@to flay@|@puji-@
@to flee@|@chocha-@
@to float on the surface@|@kepte, qopto-l@
@to fly@|@degde-@
@to fold@|@qampi-@
@to follow@|@dächi-@
@to forget@|@ongbo-@
@to freeze@|@beji-@
@to fumigate@|@samngichi-@
@to gallop@|@Giqo-@
@to gather@|@omö-, xopala-@
@to gaze at@|@mäqä-@
@to get caught@|@tojqo-@
@to get tired@|@ali-@
@to get wet@|@uksi-@
@to give@|@bü-@
@to give a feast@|@tuju-@
@to give out a smell of burning@|@qaqtari@
@to gnaw@|@furgi-, kerkieli-, qiarqiali-@
@to go along the shore@|@chiku-le-@
@to go forward@|@mio-ria-@
@to go mad@|@Goria-@
@to go out@|@në-, nie-@
@to gossip@|@cholchi-@
@to grab with teeth@|@sekpen-@
@to grasp one's hair@|@qatara-@
@to grip@|@cawachi-@
@to grip with claws@|@chimi-@
@to grizzle@|@xoan-@
@to grope@|@temiri-@
@to grow@|@ure-@
@to guard@|@etü-@
@to hang@|@lö-, pasi-@
@to hang the net@|@temnegu-@
@to harm@|@qocha-li-@
@to hate@|@Galo-@
@to have a troubled@|@pue-se-@
@to have enough@|@ele-@
@to have fun@|@sebzheni@
@to have insomnia@|@Gajazhi-@
@to hear@|@döld'i-@
@to heat@|@jangGor'a-@
@to help@|@bele-chi-@
@to hit down berries@|@gupi-@
@to hit the target@|@tatki-@
@to hit with a mallet@|@moksa-@
@to hold@|@turi-n-, turü-@
@to humiliate@|@xeulën-@
@to hurry@|@buduri-, penin-@
@to indulge@|@Gojsanto-@
@to itch@|@xotorsi-@
@to jump away@|@petën-@
@to kick@|@bangsala-, puskule-@
@to kill@|@wä-@
@to know@|@sã-@
@to lack@|@aboli-@
@to laugh@|@in'e-mu@
@to leave@|@solö-@
@to lick@|@ile-@
@to look out@|@gurpun-@
@to lose@|@kizho-@
@to lose powers@|@moxo-@
@to make@|@o-@
@to make notches@|@sai-@
@to marry@|@marin-@
@to measure@|@ilkechi-@
@to meet@|@ërüche-@
@to miss@|@zhelu-@
@to mount@|@ö-@
@to neigh@|@inggiri-@
@to nurse@|@etexi-@
@to obey@|@däbo-@
@to offend@|@singgere-@
@to open@|@ni-xeli-@
@to oppress@|@qama-li-@
@to overcome@|@xete-@
@to overpower@|@mute-@
@to panic@|@obosa-@
@to pass@|@sï-@
@to patch@|@namu, pisa-@
@to peck@|@chongki-, choqi-@
@to pinch@|@pata-@
@to pity@|@monialsi-@
@to plane@|@Gia-@
@to play@|@kupi-, xupi-@
@to poach@|@liwe-@
@to pole in a boat@|@Göa-, Göa-@
@to pound@|@poqpi-@
@to pray@|@lengge-@
@to present gifts@|@saoli-@
@to press@|@qapira-@
@to procure poles for the tent@|@gerbe-@
@to pull out@|@aGbi-mboGo-, lopto-, sije-si-@
@to punish@|@kesü-li-@
@to put@|@në-@
@to put animal bones@|@gulï-@
@to quarrel@|@maria-, zhozha-@
@to quilt@|@ute-@
@to raise@|@xujgie-@
@to rake up@|@xeti-@
@to rasp@|@xarpichi-@
@to reach@|@isi-@
@to rejoice@|@barachi-, sene-@
@to remember@|@zhömbo-@
@to repair@|@taGo-@
@to resound@|@chawali-@
@to respect@|@kidu-@
@to ride@|@namna-@
@to rise@|@onda-zhi-@
@to roast@|@dalGa-@
@to rot@|@n'ä-@
@to row@|@melbi-@
@to run@|@tutu-@
@to saw@|@pö-@
@to say@|@un-, unde-, unggu-@
@to scatter@|@chichikële-, sese-, seuseli-@
@to scoop@|@qodori-@
@to scrape@|@xosaqala-@
@to scrape skin@|@tuchu-le-@
@to see@|@ice- ise-, iske-@
@to send@|@Giaqta-@
@to separate@|@Giala-@
@to set fire@|@Gola-@
@to set up@|@tule-@
@to sew@|@ulpi-@
@to shake@|@fexse-@
@to shake of ground@|@saqa-@
@to shamanize@|@jaja-, tao-, un-@
@to shine@|@Garpa-@
@to shiver@|@dergi-@
@to show@|@Gajaochi-@
@to shut eyes@|@chömian-@
@to sing@|@ïkë-@
@to sink@|@zhirie-@
@to sit@|@tësi-@
@to sleep@|@ao-@
@to slight@|@sali-@
@to smear@|@ilba-, lipa-, päGda-@
@to smell@|@fü, pü, ujne-@
@to smoke@|@nup-chi-, pongqi-@
@to soak@|@bilxo-@
@to soar@|@pïluen-@
@to sound@|@xuj-si-@
@to spawn@|@xurbe-@
@to spin@|@tompo-@
@to splatter of water@|@sarGi-@
@to split@|@delki-, piari@
@to split in halves@|@qaltä-@
@to spread@|@childin-@
@to spread a carcass@|@telgechi-@
@to sprinkle@|@fisi-, fuksu-, pisi-@
@to stand@|@ilGo-@
@to steer a boat@|@ïngqocha-@
@to step@|@Giran-@
@to step on sand@|@äi-@
@to stick into@|@chip@
@to stick to@|@daqsa-@
@to stink@|@chiriftala-@
@to stir coals@|@nulku-@
@to strain@|@siri-@
@to stretch@|@gulde-@
@to strike@|@pächi-chi-@
@to sully@|@xolo-@
@to swallow@|@lumge-, lungbe-, nikike-, tami-@
@to sweep@|@xapoli-@
@to swell@|@pukche-, xaolo-@
@to swim@|@faor'i-@
@to swim of birds@|@ojana-, on'oan-@
@to take@|@Ga-@
@to take aim@|@zhori-@
@to take into arms@|@tuxi-si-@
@to tarry@|@nädoala-@
@to teach@|@alö-si-@
@to tear@|@suldë-@
@to tear apart@|@xetu-li-@
@to the side@|@xeunzhi@
@to think@|@muruchi-@
@to thread@|@sï-@
@to thresh@|@möso-la-@
@to tie a band@|@gorï@
@to tie up@|@boqi-@
@to tremble@|@sirgun-@
@to turn back@|@mochogo-@
@to turn up@|@sibiri-@
@to understand@|@otolio-@
@to unfasten@|@gure-li-@
@to unite@|@ada-@
@to unload@|@iwari-@
@to vomit@|@xuse-@
@to wait@|@eksechi-, xala-chi-@
@to wait for a convenient time@|@changgichi-@
@to walk@|@chirgiliechigde, duere-, Giari-, pul-si-@
@to walk around@|@xeri-, xöli-@
@to watch@|@qarGa-chi-@
@to weaken@|@qäta-@
@to weep@|@songGo-@
@to wind ropes@|@maxchi-ra-@
@to wish@|@chixala-@
@to worry@|@bogbi-@
@to wound accidentally@|@körxi-@
@to wrap@|@xuku-@
@to wrestle@|@wächa-@
@to yield@|@ebe-ri-@
@together@|@qap@
@tongs@|@kiskië@
@tongue@|@singmu, sirmu@
@tooth@|@xukte, xuktele@
@top@|@sue, suwe@
@top of head@|@porõ, tembilku, törpoä, törpoä@
@torture@|@erü@
@touchwood@|@xüte@
@tough@|@zhiktu@
@trade@|@xuda@
@trap@|@qapali@
@tree@|@mö@
@tree juice@|@zhilkö@
@trousers@|@ojï, ojïki@
@true@|@tongdo@
@trumpet@|@büni-ku@
@tussock in a swamp@|@sumkü, sungku, sungkun, sungpü@
@twenty@|@xoñ@
@twins@|@adö@
@two@|@zhü, zhuer@
@uneven surface of birch-bark@|@kuchi@
@unrip@|@xezhë-@
@unwrap@|@gulde-@
@upper layer of dried fish@|@sargali@
@upper layer of yukola@|@orixta@
@uproot@|@tadora-@
@upside down@|@xumesi@
@urinary bladder@|@xuzhü@
@urine@|@chië@
@vapour@|@sugdu, sugdun@
@variegated dog breed@|@kiaktän@
@various@|@xachï@
@vegetable@|@solgi@
@vertical@|@lapa@
@very@|@anam@
@vessel for spoons@|@kurmï, xurmu@
@vessel made of birch bark@|@kurke@
@voice@|@zhilGä@
@wade@|@ono-@
@wages@|@tori@
@wake@|@xergë@
@walk@|@ene-@
@wall@|@pazhirä@
@wall mat@|@xondori@
@warm@|@nama, näma, xul'd'i@
@wart@|@pükte@
@water@|@muke@
@water flowing over ice@|@darxol@
@water lily@|@qalzhoqta@
@water nut@|@kori-chi@
@watery@|@lujr-lujr bï@
@wave@|@depsi-, läta, wë@
@we@|@bü, bue@
@weak@|@ekechï, xumdu@
@weakness@|@nimeku@
@wedge@|@siwar@
@well@|@qochi, sire@
@West@|@perxi@
@wet@|@chaqpa, derbi-ktu, ularikö@
@what@|@xai@
@whetstone@|@angä@
@whisper@|@simu-@
@white@|@chäGzhä@
@white-fish@|@sao@
@who@|@ui@
@whole@|@kupukte, moï@
@whole piece@|@gulxü@
@wholely@|@bilde-bilde@
@wick@|@buli@
@wide@|@xugzhi@
@wild@|@delemi@
@wild animal@|@uselte@
@wild apple@|@un'ikte@
@wild boar@|@likete, nekte@
@wild deer@|@sirü@
@wild onion@|@xezhukte@
@wild pig's lair@|@kum'i@
@willow@|@fotoxa, GorGolazhi, tungde@
@willow rod@|@urekte@
@wind@|@xedu, xedun@
@wing@|@xasar@
@winter@|@tue@
@wipe off@|@xao-@
@wolf@|@jenggur@
@wolverine@|@ongdo@
@woman@|@asa, ekte@
@women's breast cover@|@zhilba@
@wonder@|@mian-@
@wooden dish@|@muksu@
@wooden platform for storing@|@deke@
@wooden quiver@|@xonzhi@
@woodpecker@|@kurekte@
@worm@|@qolä, silukte@
@wormwood@|@söaqta@
@worn out@|@mana-@
@woven basket@|@inru@
@write@|@niru-@
@year@|@ajngan'a, ajngani@
@yellow@|@söGzhö, sojä, sölä, söm@
@yoke belt@|@siliptun@
@you@|@sue, sun@
@young@|@dolboan@
@young boar@|@mojxa@
@young elk@|@natchän@
@young of birds@|@deuruë, nalamngi@
@young willow@|@nargi@
@younger brother@|@neu@
@younger relative sister@|@neku@
@younger relative-in-law@|@bener@

