@English@|@Gagauz@
@sort@|@cins, soy, türlü@
@soul@|@can, gönül@
@sound@|@ses@
@soup@|@corba@
@sour@|@iisi@
@source@|@cösmä@
@sow@|@sach-@
@space between@|@ära@
@spade@|@bel@
@span@|@qaryš@
@span between the fingers@|@serä@
@spare@|@zapas@
@spear@|@sünggü@
@speech@|@laf, söz@
@speed@|@hiz@
@spider@|@örümcä@
@spindle@|@ï@
@spirit@|@ruh@
@spleen@|@dalak, dalaq@
@sponge@|@sünker@
@spoon@|@kashik, kasik@
@spring@|@ilkyaz@
@spring(time)@|@ilkyaz@
@square@|@meydan@
@squirrel@|@sincap@
@stable@|@ahir, pek@
@staff@|@deynek, kazik@
@stain@|@benek, lekä@
@stalk@|@kocan@
@stallion@|@haygir@
@stamp@|@damga, mühür@
@star@|@jyldys, yildiz@
@starling@|@sýržyq@
@state@|@devlet@
@station@|@menzil@
@steel@|@çelik@
@steep bank@|@jar@
@step@|@adim@
@step-@|@üvä@
@steppe@|@kir, qyr@
@stick@|@sopa@
@stick to@|@japyš-@
@still@|@henez@
@stir up@|@bula-@
@stirrup@|@özengi@
@stocking@|@corap@
@stomach@|@karni, qursaq@
@stone@|@taš@
@stork@|@lelek@
@storm@|@boran, furtuna@
@stove@|@soba@
@straight@|@uz@
@strained@|@gergin@
@strap@|@kayis@
@straw@|@saman@
@strawberry@|@cilek@
@street@|@sokak@
@strength@|@güc, kuvet@
@strike@|@doqun-, greva@
@string@|@buqaa, byqaa@
@strong@|@dinch@
@stud@|@hergelä@
@stupid@|@budala, deli@
@submerge@|@sin-@
@subvert@|@devir-@
@such@|@bölä, ölä, sölä@
@suffering@|@bun@
@sugar@|@seker, sheker@
@suitcase@|@camadan@
@sulfur@|@kükürt@
@summer@|@jäz, yaz@
@sun@|@gün, güneš@
@Sunday@|@pazar@
@support@|@dayak, direk, sövä, süvä, süvän@
@surrender@|@teslim@
@suspicion@|@süpä@
@swaddle@|@kundak@
@swaddlingclothes@|@qundaq@
@swallow@|@kirlangac@
@swamp@|@balta, batak@
@swan@|@kuu@
@swear@|@sü-@
@sweat@|@ter@
@sweet@|@datly, tatli@
@swelling@|@ciban, šiš@
@sword@|@kilic, qylych@
@table@|@masa, sofra@
@tail@|@kuyruk, qujruq@
@tailor@|@terzi@
@tale@|@masal@
@tar@|@katran, zift@
@tassel@|@püskül@
@taste@|@dat, dat-1a@
@tax@|@nalog@
@tea@|@çay@
@tear@|@jir-, qaq-@
@tear apart@|@sök-@
@ten@|@on, uon@
@tendon@|@sinir@
@tent@|@cadir, oda@
@thank@|@sükür@
@that@|@ki, o@
@that there@|@te o@
@the essential part@|@jöz@
@the most@|@en@
@the other@|@öbür@
@the whole@|@cümlä@
@then@|@sora@
@there@|@ora@
@there is@|@var@
@there is not@|@joq@
@they@|@onnar@
@thick@|@balaban, gür, kalin@
@thigh@|@but, steam@
@thin@|@incä, inžä, užüs, yufka@
@thirty@|@otuz@
@this@|@bu@
@this here@|@su, te bu@
@thorn@|@cali, chaly, tiken@
@thou@|@sän@
@thought@|@fikir@
@thousand@|@bin@
@thread@|@ip, jip, sümek@
@three@|@üc@
@threshold@|@esik@
@throat@|@buaz, buwaz, girtlak@
@thumb@|@parmaq@
@Thursday@|@persembä@
@tick@|@kenä, saqyrha@
@tiger@|@kaplan@
@time@|@vakit, zaman@
@times@|@kerä@
@tin@|@kalay, teneki@
@tired@|@jorhun, jorul-, yorgun@
@to adhere@|@yapismaa@
@to appear@|@chybar-@
@to arrange@|@dizmää, düzmää@
@to ask@|@jalvar-, sor-, sormaa@
@to be@|@i-, ir-, olmaa@
@to be afraid@|@jürük-@
@to be ashamed@|@ut-an-@
@to be beneficial@|@jara-@
@to be born@|@duumaa@
@to be cooked@|@pismää@
@to be defeated@|@syn-@
@to be ended@|@bit-@
@to be enough@|@etmää@
@to be fed up@|@bikmaa@
@to be filled@|@dolmaa@
@to be frightened@|@ürkmää@
@to be full@|@doymaa@
@to be in surplus@|@artmaa@
@to be remembered@|@anilmaa@
@to be sated@|@kanmaa@
@to be sour@|@ïši-@
@to be squeezed@|@ezdirmää@
@to be suitable@|@yarasmaa@
@to be tired@|@bun-@
@to bead@|@diz-@
@to beat@|@ur-@
@to become@|@ol-@
@to become accustomed@|@dadanmaa@
@to become pregnant@|@gebe@
@to beg@|@dilenmää, yalvarmaa@
@to begin@|@baslamaa@
@to belch@|@gïr-@
@to bend@|@bükmää@
@to bind@|@bä-la-, bag-la-@
@to bind around@|@chal-@
@to bite@|@dala-, dislemää@
@to bite into@|@dalamaa@
@to blow@|@üflemää@
@to blow of wind@|@esmää@
@to blow one's nose@|@sümkür-@
@to boil@|@kaynamaa, qajna-@
@to bore through@|@del-@
@to braid@|@örmää@
@to break@|@kirmaa, qyr-@
@to breathe@|@solumaa@
@to breathe heavily@|@solu-@
@to brew@|@haslamaa@
@to bring@|@getirmää@
@to build@|@kurmaa@
@to burn@|@jan-, jaq-, yakmaa, yakmaa, yanmaa@
@to bury@|@göm-, gömmää@
@to call@|@caarmaa@
@to carry@|@tasimaa@
@to carve@|@oymaa@
@to catch@|@kapmaa@
@to cease@|@dinmää@
@to change@|@aktarmaa, diismää, dïš-@
@to chew@|@chïne-, gevše-@
@to choose@|@secmää@
@to close eyes@|@jum-@
@to close the eyes@|@yummaa@
@to collect@|@jyv-, toplamaa@
@to comb@|@taramaa@
@to come@|@gel-, gelmää@
@to come near to each other@|@jaqyš-@
@to come to an end@|@tüken-@
@to consider@|@saj-, sanmaa@
@to consult@|@danismaa@
@to cook@|@pisirmää@
@to cough@|@üsür-, üüsürää@
@to count@|@saymaa@
@to cover@|@jört-, örtmää@
@to cover up@|@bürü-@
@to crawl@|@mekle-@
@to create@|@yapmaa, yaratmaa@
@to curl@|@kivirmaa@
@to curve@|@bük-@
@to cut@|@bich-, kesmää@
@to cut branches@|@buda-@
@to cut in small pieces@|@qyj-@
@to cut into slices@|@dora-@
@to cut up@|@dooramaa@
@to dare@|@qyj-@
@to dawn@|@at-@
@to dazzle@|@kamasmaa@
@to deceive@|@aldatmaa, aut-@
@to decrease@|@jisil-@
@to defecate@|@sych-@
@to descend@|@inmää@
@to destroy@|@bozmaa@
@to die@|@jöl-, ölmää@
@to die out@|@süünmää@
@to dig@|@kazmaa, qaz-@
@to dislocate@|@bertmää@
@to divide@|@bölmää@
@to do@|@etmää@
@to donate@|@adamaa@
@to draw@|@chiz-, cizmää@
@to draw together@|@kasmaa@
@to dress@|@giimää@
@to drink@|@ich-, icmää@
@to drive@|@ajda-, hajda-@
@to drive away@|@sür-@
@to drizzle@|@cisemää@
@to earn wages by labour@|@qazan-@
@to eat@|@i-, imää@
@to end@|@tükenmää@
@to enter@|@gir-, girmää@
@to erect a building@|@qur-@
@to examine@|@yoklamaa@
@to exist@|@bulunmaa@
@to explode@|@patlamaa@
@to fade away@|@bajyl-@
@to fall@|@düsmää@
@to fear@|@korkmaa@
@to feel@|@duymaa@
@to fight@|@buusmaa, güresmää@
@to find@|@bul-, bulmaa@
@to finish@|@bitirmää, bitmää@
@to fit@|@uymaa@
@to fit in@|@siymaa@
@to flow@|@akmaa, aq-@
@to fly@|@ucmaa@
@to forget@|@unut-, unutmaa@
@to freeze@|@donmaa, üšü-@
@to gather@|@choq-la-n-@
@to get accustomed@|@dad-a-n-@
@to get cold@|@suumaa@
@to get hot@|@kizmaa@
@to get offended@|@küsmää@
@to get tired@|@farimaa@
@to give@|@ver-, vermää@
@to give water@|@sulamaa@
@to gnaw@|@kemir-@
@to go@|@gecmää, gitmää@
@to go astray@|@äz-@
@to go away@|@get-@
@to go mad@|@kudurmaa@
@to go out@|@cikmaa@
@to go round@|@dolasmaa@
@to grasp@|@kavramaa, tut-@
@to graze@|@güt-@
@to grind@|@kiymaa, üütmää@
@to grow@|@bitmää, büümää@
@to growl@|@hirlamaa@
@to guard@|@kollamaa@
@to hang@|@as-, asmaa, asmaa, dart-, ger-@
@to hear@|@išit-@
@to herd@|@gütmää, sürmää@
@to hit@|@düümää@
@to hold@|@tutmaa@
@to hop@|@hoplamaa@
@to hope@|@ummaa@
@to hope for@|@um-@
@to howl@|@ulumaa, üürümää@
@to hunt@|@avlamaa@
@to inflate@|@sisirmää@
@to insert@|@tikamaa@
@to keep@|@saklamaa@
@to kick@|@tepmää@
@to kill@|@öldür-, öldürmää@
@to kindle@|@yandirmaa@
@to kiss@|@öpmää@
@to knead@|@ez-, jur-, yuurmaa@
@to kneel down@|@chök-@
@to knock@|@carpmaa, kakmaa@
@to know@|@bil-, bilmää, tanimaa@
@to laugh@|@gülmää@
@to lean@|@dajan-@
@to learn@|@üürenmää@
@to leave the way@|@sap-@
@to lick@|@jala-, yalamaa@
@to lie down@|@yatmaa@
@to lift@|@götürmää@
@to like@|@beenmää@
@to live@|@yasamaa@
@to look@|@bakmaa@
@to lose@|@kaybetmää@
@to love@|@sev-, sevmää@
@to make a mistake@|@yanilmaa@
@to make holes@|@deš-@
@to make noise@|@gürlemää@
@to measure@|@jölch-, ölcmää@
@to meet@|@üra-@
@to melt@|@erimää, jeri-@
@to migrate@|@göch-@
@to milk@|@sä-, saamaa@
@to miss@|@sasirmaa@
@to mix@|@karmaa, katmaa@
@to moan@|@innemää@
@to move@|@göcmää@
@to mow@|@bicmaa@
@to ooze@|@sizmaa, syz-@
@to open@|@ach-, acmaa@
@to oppress@|@sataš-@
@to order@|@bujur-@
@to overflow@|@taš-, tasmaa@
@to overthrow@|@yikmaa@
@to overturn@|@devirmää@
@to paint@|@boja-@
@to pamper@|@simarmaa@
@to pass@|@asmaa, sauš-@
@to patch@|@jama-, yamamaa@
@to pay@|@ödemää@
@to peel@|@soymaa@
@to perceive@|@duj-@
@to perforate@|@delmää@
@to pick@|@oj-@
@to plait@|@jör-@
@to plant out seedlings@|@haš-la-@
@to plant vertically@|@dik-@
@to play@|@ojna-, oynamaa@
@to pluck@|@koparmaa, yolmaa@
@to pound@|@dü-@
@to pour@|@dökmää@
@to pour out@|@dök-@
@to pour over@|@kotarmaa@
@to press@|@bas-, syq-@
@to prop@|@daja-@
@to pull@|@cekmää@
@to push@|@itirmää@
@to put@|@koymaa, sal-@
@to quarrel@|@cekismää@
@to rain@|@jä-@
@to rake@|@kürü-@
@to reach@|@di-, ermää, jet-@
@to read@|@okumaa@
@to remember@|@anmaa@
@to renounce@|@vazgecmää@
@to resemble@|@andirmaa, benzemää@
@to rest@|@din-ne-n-@
@to revolve@|@ajla-, ajlan@
@to rise@|@kalkmaa, üsel-@
@to rize@|@pin-@
@to roll up@|@dürmää@
@to rub@|@uumaa@
@to say@|@de-, demää@
@to scatter@|@daalmaa, sacmaa@
@to scrape@|@esmää, kazimaa@
@to scratch@|@kasimaa@
@to see@|@gör-, görmää@
@to sell@|@sat-, satmaa@
@to send@|@göndermää, yollamaa@
@to separate@|@ajyr-@
@to set off@|@ceketmää@
@to sew@|@dikmää@
@to shake@|@silk-, silkmaa@
@to sharpen@|@bile-@
@to shiver@|@teprenmää, titirämää@
@to shout@|@baarmaa@
@to show@|@göstermää@
@to sift@|@iele-@
@to sigh@|@oflanmaa@
@to sing of birds@|@ötmää@
@to sink@|@bat-, batmaa, dal-, dalmaa@
@to sit@|@otur-, oturmaa@
@to sit down@|@konmaa@
@to skin@|@jüz-@
@to sleep@|@jat-, uju-, uyumaa@
@to slide@|@kaymaa@
@to smear@|@bulamaa, suamaa, suwa-@
@to smell@|@kokmaa@
@to smell badly@|@qoq-@
@to smoke@|@tüt-, tütmää@
@to snatch@|@qap-@
@to sow@|@ek-, ekmää@
@to speak@|@konusmaa, söle-, sölemää@
@to spend@|@harcamaa@
@to spit@|@tükürmää@
@to split@|@catlamaa, jar-, yarmaa@
@to spread@|@dösemää, jaj-, ser-, žaz-@
@to spread out@|@döše-, sermää@
@to squat@|@cömelmää@
@to squeeze@|@ezmää, sikmaa@
@to stand@|@dur-, durmaa@
@to stay@|@kalmaa@
@to steal@|@calmaa@
@to steal away@|@sausmaa@
@to stick@|@dikmää@
@to stick into@|@dürtmää@
@to stiffen@|@ujvaš-@
@to stop@|@durmaa@
@to strain@|@germää, süz-, süzmää@
@to strangle@|@bü-, buumaa@
@to strike@|@urmaa@
@to strike fire@|@cakmaa, chaq-@
@to strive@|@calismaa, didin-@
@to struggle@|@cirpinmaa@
@to suck@|@emmää@
@to suit@|@yaramaa@
@to support@|@dayamaa@
@to suppurate@|@azmaa@
@to swallow@|@jut-, yutmaa@
@to sweep@|@süpür-, süpürmää@
@to swell@|@kabarmaa, šiš-, sismää@
@to swim@|@üzmää@
@to swing@|@sallamaa@
@to take@|@al-, almaa@
@to take out@|@cikarmaa@
@to taste@|@datmaa@
@to tear@|@kopmaa, yirtmaa@
@to think@|@düsünmää@
@to threaten@|@jän-@
@to throw@|@atmaa, saurmaa@
@to thrust in@|@sokmaa@
@to tie@|@baalamaa, catmaa@
@to touch@|@diimää@
@to trample@|@ciinemää@
@to transport@|@asirmaa@
@to tread@|@basmaa@
@to try@|@denemää@
@to tuck up@|@sua-, suva-@
@to tumble@|@cökmää@
@to turn@|@döndürmää, dönmää@
@to turn in a direction@|@uuramaa@
@to turn over@|@cevirmää@
@to twist@|@burmaa, chevir-, sarmaa@
@to understand@|@annamaa@
@to undo@|@sökmää@
@to unite@|@ulamaa@
@to untie@|@cözmää, ditmää@
@to use@|@kullanmaa@
@to vanquish@|@enmää@
@to vaporize@|@ä-@
@to vomit@|@kusmaa, qus-@
@to wait@|@beklemää@
@to wake up@|@uyanmaa@
@to wake up (intr.)@|@ujan-@
@to walk@|@jörü-, var-@
@to wander@|@gezmää@
@to want@|@istemää@
@to wash@|@yikamaa@
@to watch@|@korumaa@
@to weave@|@dokumaa, doqu-@
@to weep@|@aalamaa@
@to whet@|@bilemää@
@to win@|@jen-, kazanmaa@
@to wind around@|@sar-@
@to wipe@|@sil-, silmää@
@to wish@|@dilemää@
@to withdraw@|@cekilmää@
@to wither@|@solmaa@
@to wonder@|@sasmaa@
@to work@|@islemää@
@to write@|@jaz-, yazmaa@
@tobacco@|@tütün@
@today@|@büün@
@together@|@barabar, bilä@
@toilet@|@kenef@
@tomb@|@mezar@
@tomorrow@|@yaarin@
@tongue@|@dil@
@tooth@|@dis, diš@
@top@|@üst@
@top of head@|@tepe@
@top(s) of boots@|@qonch@
@towel@|@peskir@
@tower@|@burgas, kulä@
@town@|@kasaba@
@trace@|@jiz@
@track@|@iz@
@traction@|@gergi@
@tramp@|@tep-@
@treasure@|@hazna@
@tree@|@äch, fidan@
@tripod@|@sažaq@
@troop@|@cata@
@trouble@|@bela, zaamet@
@troubled water@|@cirkef@
@trough@|@teknä, yalak@
@trump@|@koz@
@trumpet@|@boru@
@trunk@|@cotuk, kütük@
@truth@|@ger-chek, hakikat@
@Tuesday@|@sali@
@tulip@|@laalä@
@turban@|@chalma@
@turf@|@chim@
@Turkish@|@türk@
@twenty@|@irmi@
@twin@|@ikiz@
@two@|@iki@
@tyrannical@|@zulum@
@udder@|@elin, jelin@
@ugly@|@cirkin@
@unbroken of a horse@|@tor@
@understand@|@düšün-@
@unemployed@|@ajlaq, hajlaq@
@unfortunate@|@garip@
@unique@|@tek@
@unite@|@qoš-@
@unrelated@|@jüvä@
@unripe@|@esil@
@unsubstantial@|@jufqa, jyfqa@
@until@|@taa@
@up to@|@chaq, chäq@
@urine@|@cis@
@use@|@fayda@
@valley@|@uva, yalpi@
@value@|@kiymet@
@variegated@|@ala-ža, alaca@
@vegetables@|@zarzavat@
@veil@|@duak@
@vein@|@damar@
@velvet@|@kadifä@
@vertical@|@dik@
@very@|@heng, pek@
@vessel@|@kap@
@village@|@küü@
@vinegar@|@sirkä@
@violent person@|@zorba@
@violet@|@menevsa@
@voice@|@oy, ses@
@waist@|@bel@
@walk through@|@gez-@
@wall@|@duar@
@wall panel@|@pervaz@
@war@|@cenk@
@wardrobe@|@skaf@
@warm@|@sicak, yly@
@watch@|@baq-@
@water@|@su@
@watermelon@|@karpuz@
@watery@|@sulu@
@wave@|@dalga, talaz@
@wax candle@|@mum@
@we@|@bis, biz@
@weak@|@argin, baygin, zayif@
@weather@|@hava@
@wedding@|@düün@
@wedge@|@kama@
@wedge between trouser legs@|@ä@
@Wednesday@|@carsamba@
@week@|@hafta@
@weep@|@inne-@
@weight@|@ceki@
@well@|@pinar, quju@
@west@|@bati@
@wet@|@chij, yas@
@wether@|@toklu@
@what@|@ne@
@wheat@|@booday@
@wheel@|@cark, cikrik, tekerlek@
@whelp@|@enik@
@when@|@nezaman@
@where@|@hani, nerdä, nere@
@Where is my room?@|@Benim içerim nerede?, Nända benin içerim?@
@Where is the bar?@|@bar nerede?, Nända bar?@
@Where is the beach?@|@Nända bulunär plaj?, plaj nerede?@
@whetstone@|@bilä@
@which@|@angi@
@whip@|@kamci@
@whirlpool@|@oban@
@whistle@|@düdük@
@white@|@ak, aq, biyaz@
@who@|@kim@
@whole@|@bütün@
@wick@|@fitil@
@wide@|@genis@
@widow@|@dul@
@widower@|@dul@
@wife@|@avrad, kari@
@wild@|@ham, tor@
@wild onion@|@kömüren@
@wilderness@|@yaban@
@willow@|@qavaq, süt, süt, süüt@
@wind@|@lüzgär@
@wind round@|@bur-@
@window@|@pencerä@
@wine@|@sarap, sharap@
@wing@|@kanat, qanat@
@winter@|@kis, kiš, qyš@
@wire@|@tel@
@wise@|@aarif@
@witch@|@cadi@
@wither@|@sol-, solu-@
@without saddle@|@jalburdaq@
@wizard@|@bü@
@wolf@|@canavar@
@woman@|@kari@
@wood@|@aac, aac, daa@
@wooden fork@|@jaba@
@wool@|@jün, ün, yapaa@
@word@|@söz@
@work@|@is@
@worker@|@cirak@
@world@|@dünnää@
@worm@|@kurt, qurt@
@wormwood@|@pelin@
@wound@|@bert-, jara, yara@
@wreath@|@celek@
@wrestle@|@güreš-@
@wrist@|@bilek@
@year@|@jaš, jyl, yil@
@yeast@|@maya@
@yellow@|@sari, sary@
@yesterday@|@dün@
@yoghurt@|@yuurt@
@you@|@sän, siz@
@young@|@genç, körpä@
@young cow@|@düvä@
@young man@|@ergen@
@young of a wild animal@|@jenik@
@young of birds and animals@|@javru@

