@English@|@Koine Greek@
@an object of eager desire@|@ἁρπαγμός -οῦ -ὁ@
@an object of worship@|@σέβασμα -ατος -τό@
@an occasion@|@ἀφορμή -ῆς -ἡ@
@an occupation@|@πραγματεία -ας -ἡ@
@an ode@|@ᾠδή -ῆς -ἡ@
@an odor@|@ὀσμή -ῆς -ἡ@
@an offence committed through ignorance@|@ἀγνόημα -ατος -τό@
@an offering@|@προσφορά -άς -ἡ@
@an offering dedicated by a worshipper@|@ἀνάθημα -ατος -τό@
@an offering of expiation@|@λύτρον -ου -τό@
@an officer employed to execute judicial sentences@|@πράκτωρ -ορος -ὁ@
@an old man@|@γέρων -οντος -ὁ, πρεσβύτης -ου -ὁ@
@an old woman@|@πρεσβῦτις -ιδος -ἡ@
@an olive tree@|@ἐλαία -ας -ἡ@
@an open coffin@|@σορός -οῦ -ἡ@
@an opponent@|@ἀντίδικος -ου -ὁ@
@an oracle@|@χρηματισμός -οῦ -ὁ@
@an orator@|@ῥήτωρ -ορος -ὁ@
@an ordinance@|@ἐντολή -ῆς -ἡ@
@an orphan@|@ὀρφανός -ή -όν@
@an outburst of passion@|@θυμός -οῦ -ὁ@
@an outline@|@σκιά -ᾶς -ἡ@
@an oven@|@κλίβανος -ου -ὁ@
@an ox@|@βοῦς -βοός -ὁ, ταῦρος -ου -ὁ@
@an undeserved favor@|@χάρισμα -ατος -τό@
@an unripe fig@|@ὄλυνθος -ου -ὁ@
@an untimely birth@|@ἔκτρωμα -ατος -τό@
@an untranslatable word that makes a statement contingent@|@ἄν@
@an unveiling@|@ἀποκάλυψις -εως -ἡ@
@an upper room@|@ἀνώγεον -ου -τό, ὑπερῷον -ου -τό@
@analogy@|@λόγος -ου -ὁ@
@Ananias@|@Ἀνανίας -α -ὁ@
@ancestor@|@πατήρ -πατρός -ὁ@
@ancestral@|@πατρικός -ή -όν@
@ancient@|@ἀρχαῖος -αία -αῖον, παλαιός -ά -όν@
@and@|@ἀνά, δέ, καί, τέ@
@and from there@|@κἀκεῖθεν@
@and he@|@κἀκεῖνος -η -ο@
@and if@|@εἴτε, κἄν@
@and not@|@μηδέ, οὔτε@
@and that@|@κἀκεῖνος -η -ο@
@and thence@|@κἀκεῖθεν@
@and there@|@κἀκεῖ@
@and yet@|@καίτοι, καίτοιγε@
@and yonder@|@κἀκεῖ@
@Andrew@|@Ἀνδρέας -ου -ὁ@
@Andronicus@|@Ἀνδρόνικος -ου -ὁ@
@anger@|@ὀργή -ῆς -ἡ@
@anguish@|@συνοχή -ῆς -ἡ@
@animal@|@θηρίον -ου -τό, ψυχικός -ή -όν@
@anise@|@ἄνηθον -ου -τό@
@Anna@|@Ἅννα -ας -ἡ@
@Annas@|@Ἄννας -α -ὁ@
@annihilate@|@ἀναλίσκω, ἐξολοθρεύω@
@announce@|@ἀπαγγέλλω@
@annoy@|@σκύλλω@
@anoint@|@ἐγχρίω, ἐπιχρίω@
@anointed@|@Χριστός -οῦ -ὁ@
@anointing-oil@|@μύρον -ου -τό -@
@another@|@ἄλλος -η -ον, ἕτερος -α -ον@
@answer@|@ὑπολαμβάνω@
@answerable to@|@ὑπόδικος -ον@
@antelope@|@Ταβηθά -ἡ@
@antichrist@|@ἀντίχριστος -ου -ὁ@
@anticipate@|@προλαμβάνω@
@Antioch@|@Ἀντιόχεια -ας -ἡ@
@Antipas@|@Ἀντίπας -α -ὁ@
@Antipatris@|@Ἀντιπατρίς -ίδος -ἡ@
@anxiety@|@ἀπορία -ας -ἡ, μέριμνα -ης -ἡ@
@any one@|@τις -τι@
@anything committed to one’s charge@|@παραθήκη -ης -ἡ ’@
@anything eaten with bread@|@προσφάγιον -ου -τό@
@anything happily and successfully accomplished@|@κατόρθωμα -ατος -τό@
@anything hidden@|@μυστήριον -ου -τό@
@anything interwoven@|@πλέγμα -ατος -τό@
@anything made of gold@|@χρυσός -οῦ -ὁ@
@anything made of wood@|@ξύλον -ου -τό@
@apart@|@καταμόνας@
@apart from@|@ἄτερ, ἐκτός, χωρίς@
@Apelles@|@Ἀπελλῆς -οῦ -ὁ@
@apiece@|@ἀνά@
@Apollonia@|@Ἀπολλωνία -ας -ἡ@
@Apollos@|@Ἀπολλώς -ώ -ὁ@
@Apollyon@|@Ἀπολλύων -ονος -ὁ@
@apostasy@|@ἀποστασία -ας -ἡ@
@apostleship@|@ἀποστολή -ῆς -ἡ@
@apparent@|@φανερός -ά -όν@
@appeal@|@ἐπερώτημα -ατος -τό@
@appeal to@|@ἐπικαλέω@
@appear@|@δοκέω, φαίνω@
@appear before@|@ἐμφανίζω@
@appearance@|@εἶδος -ους -τό, ὅρασις -εως -ἡ, σχῆμα -ατος -τό@
@appearing@|@ἐπιφάνεια -ας -ἡ@
@Apphia@|@Ἀπφία -ας -ἡ@
@Appius@|@Ἄππιος -ου -ὁ@
@appoint@|@ἀναδείκνυμι, καθίστημι, ὁρίζω, προστάσσω, συντάσσω, χειροτονέω@
@appointed@|@τακτός -ή -όν@
@appointed before@|@προθεσμία -ας -ἡ@
@appreciation@|@ἀποδοχή -ῆς -ἡ@
@apprehend@|@συλλαμβάνω@
@approach@|@ἐγγίζω, προσάγω, προσαγωγή -ῆς -ἡ@
@approbation@|@ἀποδοχή -ῆς -ἡ@
@approved@|@δόκιμος -ον@
@approved character@|@δοκιμή -ῆς -ἡ ;@
@apron@|@λέντιον -ου -τό@
@apt to teach@|@διδακτικός -ή -όν@
@Aquila@|@Ἀκύλας -ου -ὁ@
@Arabia@|@Ἀραβία -ας -ἡ@
@Aramaic@|@Ἑβραΐς -ΐδος -ἡ@
@Aramaic for my God@|@ἐλωΐ@
@arbitrary worship@|@ἐθελοθρησκεία -ας -ἡ@
@arbitrate@|@βραβεύω@
@Archelaus@|@Ἀρχέλαος -ου -ὁ@
@Archippus@|@Ἄρχιππος -ου -ὁ@
@Aretas@|@Ἀρέτας -α -ὁ@
@Arimathea@|@Ἀριμαθαία -ας -ἡ@
@arise@|@κοῦμι@
@Aristarchus@|@Ἀρίσταρχος -ου -ὁ@
@Aristobulus@|@Ἀριστόβουλος -ου -ὁ@
@Armageddon@|@Ἁρμαγεδών@
@armies@|@σαβαώθ@
@arms@|@ὅπλον -ου -τό@
@army in battle array@|@παρεμβολή -ῆς -ἡ@
@around@|@περί@
@arouse@|@ἐγείρω, ἐξεγείρω@
@Arphaxad@|@Ἀρφαξάδ -ὁ@
@arrange@|@τάσσω@
@arranged@|@τακτός -ή -όν@
@arrival@|@ἄφιξις -εως -ἡ, ἔλευσις -εως -ἡ, παρουσία -ας -ἡ@
@arrive@|@παραβάλλω, φθάνω@
@arrive at@|@καταντάω, παραγίνομαι@
@arrogance@|@ὑπερηφανία -ας -ἡ@
@arrogant@|@αὐθάδης -ες -, ὑπερήφανος -ον@
@arrogant display@|@ἀλαζονεία -ας -ἡ@
@art@|@τέχνη -ης -ἡ@
@Artemas@|@Ἀρτεμᾶς -ᾶ -ὁ@
@Article the@|@ὁ -ἡ -τό@
@artisan@|@τεχνίτης -ου -ὁ@
@as@|@καθά, καθό, καθώς, ὡς, ὥσπερ@
@as a free gift@|@δωρεάν@
@as far as@|@ἄχρι, ἕως, μέχρι@
@as if@|@ὡσεί@
@as it were@|@ὡσεί, ὡσπερεί@
@as often as@|@ὁσάκις@
@Asa@|@Ἀσά -ὁ@
@ascend@|@ἀναβαίνω@
@ascertain@|@μανθάνω@
@Ashdod@|@Ἄζωτος -ου -ἡ@
@Asher@|@Ἀσήρ -ὁ@
@ashes@|@σποδός -οῦ -ἡ@
@ask alms@|@ἐπαιτέω@
@ask for@|@ἐξαιτέω@
@ask what is my due@|@ἀπαιτέω@
@assault@|@κατεφίστημι@
@assemble@|@συμπορεύομαι, συναθροίζω, συνέρχομαι@
@assent@|@ἐπινεύω, συγκατάθεσις -εως -ἡ@
@assent to@|@συγκατατίθημι@
@assistance@|@βοήθεια -ας -ἡ@
@Assos@|@Ἄσσος -ου -ἡ@
@assurance@|@ὑπόστασις -εως -ἡ@
@assuredly@|@ἀσφαλῶς@
@astonishment@|@θάμβος -ους -τό@
@astounded@|@ἐκπλήσσω@
@Asyncritus@|@Ἀσύγκριτος -ου -ὁ@
@at@|@ἐπί@
@at all@|@καθόλου@
@at all times@|@πάντοτε@
@at any time@|@πώποτε@
@at dawn@|@πρωΐ@
@at every time@|@ἑκάστοτε@
@at least@|@γε@
@at one time or other@|@ποτέ@
@at present@|@νῦν, νυνί@
@at the last@|@ἔσχατος -η -ον@
@at the point of death@|@ἐπιθανάτιος -ον@
@at the same time@|@ἅμα@
@at what time@|@πότε@
@Athenian@|@Ἀθηναῖος -α -ον@
@Athens@|@Ἀθῆναι -ῶν -αἱ@
@atoning sacrifice@|@ἱλασμός -οῦ -ὁ@
@attack@|@ἐπέρχομαι@
@Attalia@|@Ἀττάλεια -ας -ἡ@
@attempt@|@ἐπιχειρέω, πειράω@
@attend@|@ἀκολουθέω, θεραπεύω@
@attend to@|@ἐπιμελέομαι@
@attendant@|@θεράπων -οντος -ὁ@
@attention@|@ἐπιμέλεια -ας -ἡ, θεραπεία -ας -ἡ@
@attire@|@καταστολή -ῆς -ἡ@
@auditorium@|@ἀκροατήριον -ίου -τό@
@august@|@Σεβαστός -ή -όν@
@Augustus@|@Αὐγούστος -ου -ὁ@
@author@|@ἀρχηγός -οῦ -ὁ@
@authority@|@βασιλεία -ας -ἡ., ἐξουσία -ας -ἡ, ἐπιταγή -ῆς -ἡ, ἡγεμονία -ας -ἡ@
@autumn@|@ὀπώρα -ας -ἡ@
@autumnal@|@φθινοπωρινός -ή -όν@
@autumnal fruits@|@ὀπώρα -ας -ἡ@
@avarice@|@πλεονεξία -ας -ἡ, φιλαργυρία -ας -ἡ@
@avaricious@|@φιλάργυρος -ον -@
@avenge@|@ἐκδικέω@
@avenging@|@ἔκδικος -ον@
@avoid@|@περιΐστημι@
@avoid loss@|@κερδαίνω@
@await@|@προσδοκάω@
@away@|@ἐκφεύγω@
@away from@|@ἀπό@
@away from home@|@ἀπόδημος -ον@
@away from the synagogue@|@ἀποσυνάγωγος -ον@
@Azor@|@Ἀζώρ -ὁ@
@Azotus@|@Ἄζωτος -ου -ἡ@
@Baal@|@Βάαλ -ὁ@
@babe@|@βρέφος -ους -τό@
@Babylon@|@Βαβυλών -ῶνος -ἡ@
@backbite@|@δάκνω@
@backbiting@|@καταλαλιά -ας -ἡ -@
@back-biting@|@κατάλαλος -ον@
@backward@|@ὀκνηρός -ά -όν@
@bad@|@κακός -ή -όν, πονηρός -ά -όν@
@badly@|@κακῶς@
@bag@|@γλωσσόκομον -ου -τό@
@Balaam@|@Βαλαάμ -ὁ@
@Balak@|@Βαλάκ -ὁ@
@bandit@|@λῃστής -οῦ -ὁ@
@banish@|@ἐκβάλλω@
@banker@|@τραπεζίτης -ου -ὁ -@
@baptism@|@λουτρόν -οῦ -τό@
@baptize@|@βαπτίζω@
@Barabbas@|@Βαραββᾶς -ᾶ -ὁ@
@Barachiah@|@Βαραχίας -ου -ὁ@
@Barak@|@Βαράκ -ὁ@
@bare@|@γυμνός -ή -όν -@
@Bar-Jesus@|@Βαρϊησοῦς -οῦ -ὁ@
@Bar-Jonas@|@Βαριωνᾶς -ᾶ -ὁ@
@barley@|@κριθή -ῆς -ἡ@
@barn@|@ἀποθήκη -ης -ἡ@
@Barnabas@|@Βαρνάβας -α -ὁ@
@barracks@|@παρεμβολή -ῆς -ἡ@
@barren@|@ἄκαρπος -ον, στεῖρος -α -ον@
@barrier@|@ὕψωμα -ατος -τό@
@Barsabbas@|@Βαρσαββᾶς -ᾶ -ὁ@
@Bartholomew@|@Βαρθολομαῖος -ου -ὁ@
@Bartimaeus@|@Βαρτίμαιος -ου -ὁ@
@base@|@αἰσχρός -ά -όν, φαῦλος -η -ον@
@baseness@|@αἰσχρότης -τητος -ἡ@
@bastard@|@νόθος -η -ον@
@bathe@|@λούω@
@battle@|@πόλεμος -ου -ὁ@
@battlement@|@πτερύγιον -ου -τό@
@be a deputy@|@ἀνθυπατεύω@
@be of good cheer@|@θαρσέω@
@be opened up@|@ἐφφαθά@
@beach@|@αἰγιαλός -οῦ -ὁ -@
@bear@|@βαστάζω, φέρω@
@bear away@|@ἀποφέρω@
@bear expense@|@δαπανάω@
@bear with@|@ἀνέχομαι, στέγω@
@bearer of good tidings@|@εὐαγγελιστής -οῦ -ὁ@
@beat@|@δέρω@
@beat against@|@προσπίπτω@
@beaten way@|@τρίβος -ου -ἡ@
@beautiful@|@ἀστεῖος -α -ον, καλός -ή -όν, ὡραῖος -αία -αῖον@
@beauty@|@εὐπρέπεια -ας -ἡ@
@because@|@διότι, καθότι, ὅτι@
@beckon@|@διανεύω, κατασείω@
@become callous@|@ἀπαλγέω@
@become greater@|@αὐξάνω@
@become pregnant@|@συλλαμβάνω@
@become ripe@|@ἀκμάζω@
@become weak@|@ἐκλύω@
@becoming@|@ἀνήκω@
@becomingly@|@εὐσχημόνως@
@becomingness@|@εὐσχημοσύνη -ῆς -ἡ@
@bed@|@κλίνη -ης -ἡ@
@Beelzebul@|@Βεελζεβούλ -ὁ@
@befall one@|@ἐφίστημι@
@before@|@ἔναντι, ἐναντίον, πρίν, πρό, πρότερον, πρότερος -α -ον, πρῶτον, πρῶτος -η -ον@
@before the face@|@ἔμπροσθεν@
@before the face of@|@ἐνώπιον, κατενώπιον@
@beg@|@αἰτέω, δέομαι@
@beget into a new life@|@ἀναγεννάω@
@beggary@|@πτωχεία -ας -ἡ@
@beginning@|@ἀρχή -ῆς -ἡ@
@begotten@|@γεννητός -ή -όν@
@beguile@|@παραλογίζομαι@
@behavior@|@ἀναστροφή -ῆς -ἡ, κατάστημα -ατος -τό@
@behind@|@ὀπίσω@
@behold@|@ἐποπτεύω, θεάομαι@
@Beliar@|@Βελίαρ -ὁ@
@belief@|@πίστις -εως -ἡ@
@believing@|@πιστός -ή -όν@
@belly@|@κοιλία -ας -ἡ@
@belonging to a mill@|@μυλικός -ή -όν@
@belonging to Adramyttium@|@Ἀδραμυττηνός -ή -όν@
@belonging to another person@|@ἀλλότριος -ία -ιον@
@belonging to Berea@|@Βεροιαῖος -α -ον@
@belonging to Cyprus@|@Κύπριος -ου -ὁ@
@belonging to Cyrene@|@Κυρηναῖος -ου -ὁ@
@belonging to Derbe@|@Δερβαῖος -α -ον@
@belonging to Gadara@|@Γαδαρηνός -ή -όν@
@belonging to human beings@|@ἀνθρώπινος -η -ον@
@belonging to old women@|@γραώδης -ες@
@belonging to ordinary life@|@βιωτικός -ή -όν@
@belonging to Pontus@|@Ποντικός -ή -όν@
@belonging to Tarsus@|@Ταρσεύς -έως -ὁ@
@belonging to the eighth day@|@ὀκταήμερος -ον@
@belonging to the foundation@|@θεμέλιος -ον@
@belonging to the morning@|@πρωϊνός -ή -όν@
@belonging to the place@|@ἐντόπιος -ία -ιον@
@belonging to the province Galatia@|@Γαλατικός -ή -όν@
@belonging to the Roman province Asia@|@Ἀσιανός -οῦ -ὁ@
@belonging to the same body@|@σύσσωμος -ον@
@belonging to woman@|@γυναικεῖος -α -ον@
@beloved@|@ἀγαπητός -ή -όν@
@below@|@κάτω@
@belt@|@ζώνη -ῆς -ἡ@
@bend together@|@συγκάμπτω@
@beneficial@|@ὠφέλιμος -ον@
@benefit@|@εὐεργετέω, ὠφελέω@
@benevolence@|@φιλανθρωπία -ας -ἡ@
@benignity@|@χρηστότης -τητος -ἡ@
@Benjamin@|@Βενιαμίν -ὁ@
@Berea@|@Βέροια -ας -ἡ@
@Berean@|@Βεροιαῖος -α -ον@
@bereave@|@ἀπορφανίζω@
@bereaved@|@ὀρφανός -ή -όν@
@Bernice@|@Βερνίκη -ης -ἡ@
@besides@|@παρεκτός@
@besiege@|@κυκλόω@
@bestow@|@περιτίθημι@
@bestow freely on@|@χαριτόω@
@bestow glory on@|@δοξάζω@
@Bethany@|@Βηθανία -ας -ἡ@
@Bethesda@|@Βηθεσδά -ἡ@
@Bethlehem@|@Βηθλεέμ -ἡ@
@Bethphage@|@Βηθφαγή -ἡ@
@Bethsaida@|@Βηθσαϊδά -ἡ@
@betray@|@παραδίδωμι, προδίδωμι@
@better@|@βελτίων -ον@
@between@|@μεταξύ@
@between two seas@|@διθάλασσος -ον@
@bewilderment@|@ἔκστασις -εως -ἡ@
@bewitch@|@βασκαίνω@
@beyond@|@ἐπέκεινα, πέραν, πορρωτέρω, ὑπερέκεινα@
@beyond measure@|@ὑπερβαλλόντως, ὑπερπερισσῶς@
@beyond that@|@λοιπόν@
@bier@|@κλίνη -ης -ἡ@
@bind@|@κατέχω@
@bird of prey@|@ἀετός -οῦ -ὁ@
@birth@|@γένεσις -εως -ἡ, γενετή -ῆς -ἡ, γέννησις -εως -ἡ@
@Bithynia@|@βιθυνία -ας -ἡ@
@bitter@|@ἁλυκός -ή -όν, πικρός -ά -όν@
@bitter herbs@|@χολή -ῆς -ἡ@
@bitterly@|@πικρῶς@
@bitterness@|@πικρία -ας -ἡ@
@black@|@μέλας -αινα -αν@
@blame@|@καταγινώσκω@
@blameless@|@ἄμεμπτος -ον, ἄμωμος -ον, ἀνέγκλητος -ον, ἀπρόσκοπος -ον@
@blamelessly@|@ἀμέμπτως@
@blaspheme@|@βλασφημέω@
@blasphemy@|@βλασφημία -ας -ἡ@
@Blastus@|@Βλάστος -ου -ὁ@
@blessed@|@εὐλογητός -ή -όν, μακάριος -α -ον, μακαρισμός -οῦ -ὁ@
@blessing@|@εὐλογία -ας -ἡ@
@blind@|@τυφλός -ή -όν@
@block@|@ἄμφοδον -ου -τό@
@blood@|@αἷμα -ατος -τό@
@bloom@|@ἄνθος -ους -τό@
@Boanerges@|@Βοανεργές@
@boar@|@ὗς -ὑός -ἡ@
@board@|@ἐπιβαίνω, σανίς -ίδος -ἡ@
@boastful@|@ὑπέρογκος -ον@
@boasting@|@ἀλαζονεία -ας -ἡ@
@Boaz@|@Βοόζ -ὁ@
@bodies@|@κῶλον -ου -τό@
@bodily@|@σωματικός -ή -όν, σωματικῶς@
@body@|@σάρξ -σαρκός -ἡ, σῶμα -ατος -τό@
@body of elders@|@γερουσία -ας -ἡ@
@boiling hot@|@ζεστός -ή -όν@
@boldly@|@παρρησιάζομαι@
@bond@|@σύνδεσμος -ου -ὁ, χειρόγραφον -ου -τό@
@bondage@|@δουλεία -ας -ἡ@
@bonds-maid@|@δούλη -ης -ἡ@
@border@|@μεθόριον -ου -τό@
@born@|@γεννητός -ή -όν@
@borrow@|@δανείζω@
@bosom@|@κόλπος -ου -ὁ@
@bosom of a garment@|@κόλπος -ου -ὁ@
@Bosor@|@Βοσόρ -ὁ@
@both@|@τέ@
@both of two@|@ἀμφότεροι -αι -α@
@bounty@|@δώρημα -ατος -τό@
@bow@|@κάμπτω@
@bowels@|@σπλάγχνα -ων -τά@
@box@|@γλωσσόκομον -ου -τό@
@brace up@|@ἀναζώννυμι@
@braided hair@|@πλέγμα -ατος -τό@
@braiding@|@ἐμπλοκή -ῆς -ἡ@
@branch of a tree@|@στοιβάς -άδος -ἡ@
@brass@|@χαλκός -οῦ -ὁ@
@bread@|@ἄρτος -ου -ὁ@
@breadth@|@πλάτος -ους -τό@
@break@|@θραύω@
@break forth@|@ῥήγνυμι -ῥήσσω@
@break in pieces@|@συνθλάω@
@break on the wheel@|@τυμπανίζω@
@break through@|@διορύσσω@
@break up@|@διαμερίζω@
@breakfast or a mid-day meal@|@ἄριστον -ου -τό@
@breaking up@|@διαμερισμός -οῦ -ὁ@
@breath@|@ἀτμίς -ίδος -ἡ, πνεῦμα -ατος -τό, πνοή -ῆς -ἡ@
@breathe into@|@ἐμπνέω@
@breathe out life@|@ἀποψύχω@
@breathe upon@|@ἐμφυσάω@
@brief@|@ὀλίγος -η -ον@
@briefly@|@συντόμως@
@brigand@|@λῃστής -οῦ -ὁ@
@bright@|@λαμπρός -ά -όν, λευκός -ή -όν, φωτεινός -ή -όν@
@brightness@|@ἀστραπή -ῆς -ἡ, λαμπρότης -τητος -ἡ, φέγγος -ους -τό@
@brilliancy@|@φωστήρ -ῆρος -ὁ@
@brimstone@|@θεῖον -ου -τό@
@bring@|@φέρω@
@bring a good harvest@|@εὐφορέω@
@bring a report@|@ἀπαγγέλλω@
@bring down@|@κατάγω@
@bring forth@|@γεννάω, ἐκβάλλω, τίκτω@
@bring in@|@εἰσάγω, εἰσφέρω@
@bring safely to@|@διασώζω@
@bring to light@|@ἀποκαλύπτω, φωτίζω@
@bring to swift accomplishment@|@συντέμνω@
@bring up@|@ἀνατρέφω, ἐκτρέφω@
@bringing in@|@ἐπεισαγωγή -ῆς -ἡ@
@bringing salvation@|@σωτήριος -ον@
@broad@|@εὐρύχωρος -ον, πλατύς -εῖα -ύ@
@broiled@|@ὀπτός -ή -όν@
@brotherhood@|@ἀδελφότης -τητος -ἡ@
@brotherly love@|@φιλαδελφία -ας -ἡ@
@brought in secretly@|@παρείσακτος -ον@
@bubble up@|@ἅλλομαι@
@buffet@|@βασανίζω@
@build@|@ἀνοικοδομέω@
@build up@|@ἀνοικοδομέω, οἰκοδομέω@
@builder@|@δημιουργός -οῦ -ὁ@
@bulwark@|@ὕψωμα -ατος -τό@
@burden@|@βαρέω, βάρος -ους -τό, ὄγκος -ου -ὁ, φορτίζω@
@burdensome@|@βαρύς -εῖα -ύ@
@burial-place@|@τάφος -ου -ὁ@
@burn@|@καίω@
@burning heat@|@καῦμα -ατος -τό@
@burst@|@διασπάω@
@business@|@ἐμπορία -ας -ἡ, χρεία -ας -ἡ@
@bust@|@εἰκών -όνος -ἡ@
@but@|@ἀλλά, δέ, μόνον@
@but if not@|@εἰ δὲ μήγε@
@buy@|@κτάομαι@
@by@|@ἀνά, ὑπό@
@by another way@|@ἀλλαχόθεν@
@by force@|@ἀναγκαστῶς@
@by name@|@τοὔνομα@
@by nature@|@φυσικῶς@
@by no means@|@οὐδαμῶς, οὐχί@
@by the sea@|@παραθαλάσσιος -ία -ιον@
@Caesar@|@Καῖσαρ -αρος -ὁ@
@Caesarea@|@Καισάρεια -ας -ἡ@
@Caiaphas@|@Καϊάφας -ᾶ -ὁ@
@Cain@|@Κάϊν -ὁ@
@Cainan@|@Καϊνάν -ὁ@
@call aloud@|@βοάω@
@call upon@|@ἐντυγχάνω@
@called@|@κλητός -ή -όν@
@can@|@ἀγγεῖον -ου -τό@
@Cana@|@Κανᾶ -ἡ@
@Canaan@|@Χαναάν -ἡ@
@Canaanite@|@Χαναναῖος -αία -αῖον@
@cancel@|@ἀκυρόω@
@Candace@|@Κανδάκη -ης -ἡ@
@Capernaum@|@Καπερναούμ -ἡ@
@Cappadocia@|@Καππαδοκία -ας -ἡ@
@captain of the temple@|@στρατηγός -οῦ -ὁ@
@captive@|@δεσμώτης -ου -ὁ@
@captivity@|@αἰχμαλωσία -ας -ἡ@
@capture@|@ἀγρεύω, ἅλωσις -εως -ἡ@
@capturing@|@ἅλωσις -εως -ἡ@
@care@|@ἐπιμέλεια -ας -ἡ, θεραπεία -ας -ἡ, μέριμνα -ης -ἡ@
@care for@|@ἐπισκοπέω@
@career@|@δρόμος -ου -ὁ@
@careful@|@φροντίζω@
@carefully@|@ἀκριβῶς (.), ἐπιμελῶς@
@carnal@|@σαρκικός -ή -όν@
@carnelian@|@σάρδιον -ου -τό@
@carousing@|@πότος -ου -ὁ@
@Carpus@|@Κάρπος -ου -ὁ@
@carried away by a stream@|@ποταμοφόρητος -ον@
@carry@|@ἀπάγω@
@carry away@|@βαστάζω, παραφέρω@
@carry out@|@ἐκφέρω@
@cast@|@ἐκβάλλω, ῥίπτω@
@cast forth@|@ἐκτείνω@
@cast lots@|@λαγχάνω@
@cast off@|@περιαιρέω@
@cast out@|@ἔκθετος -ον@
@cast stones at@|@λιθοβολέω@
@cast upon@|@ἐπιρρίπτω@
@casting off@|@ἀπέκδυσις -εως -ἡ@
@Castor and Pollux@|@Διόσκουροι -ων -οἱ@
@castrate@|@εὐνουχίζω@
@catching@|@ἄγρα -ας -ἡ@
@cattle@|@θρέμμα -ατος -τό@
@Cauda@|@Κλαῦδη -ης -ἡ@
@cause@|@αἴτιον -ου -τό@
@cause to go down@|@καταβιβάζω@
@cause to migrate@|@μετοικίζω@
@cause to recline@|@κατακλίνω@
@cause to rest@|@καταπαύω@
@cause to sprout@|@βλαστάνω, ἐκφύω@
@cause tumult@|@ἐνοχλέω@
@cautious@|@εὐλαβής -ές@
@cave@|@ὀπή -ῆς -ἡ@
@cease@|@ἐκλείπω@
@cease to be@|@ἀπογίνομαι@
@cease to care@|@ἀπαλγέω@
@celestial@|@ἐπουράνιος -ον@
@Cenchreae@|@Κεγχρεαί -ας -ἡ@
@censure@|@μέμφομαι@
@census-taking@|@ἀπογραφή -ῆς -ἡ -@
@Cephas@|@Κηφᾶς -ᾶ -ὁ@
@certain proof@|@τεκμήριον -ου -τό@
@certainly@|@ἀληθῶς, μήν, ναί, πάντως@
@cessation from labor@|@ἀνάπαυσις -εως -ἡ@
@chaff@|@ἄχυρον -ου -τό@
@chain@|@δεσμός -οῦ -ὁ@
@chair@|@καθέδρα -ας -ἡ@
@chalcedony@|@χαλκηδών -όνος -ὁ@
@chance@|@συγκυρία -ας -ἡ@
@change@|@ἀνακαινόω, μετάθεσις -εως -ἡ, μεταστρέφω, μετατίθημι, περιτρέπω, στρέφω@
@change my mind@|@μεταβάλλω, μετανοέω@
@change of abode@|@μετοικεσία -ας -ἡ@
@change the position of@|@μετάγω@
@character@|@ὄνομα -ατος -τό, τρόπος -ου -ὁ@
@charge@|@αἰτία -ας -ἡ, ἔγκλημα -ατος -τό, κατηγορέω, παραγγελία -ας -ἡ, παραγγέλλω@
@charge solemnly by@|@ὁρκίζω@
@charity@|@ἐλεημοσύνη -ῆς -ἡ -@
@chasm@|@χάσμα -ατος -τό@
@chaste@|@ἁγνός -ή -όν@
@chastise@|@παιδεύω@
@chastisement@|@κόλασις -εως -ἡ@
@chastity@|@ἁγνεία -ας -ἡ, ἁγνότης -τητος -ἡ@
@cheek@|@σιαγών -όνος -ἡ@
@cheerful@|@εὔθυμος -ον, ἱλαρός -ά -όν@
@cheerfulness@|@ἱλαρότης -ητος -ἡ@
@Cherubim@|@Χερουβίμ@
@chest@|@γλωσσόκομον -ου -τό@
@chide@|@ἐπιπλήσσω, ἐπιτιμάω@
@chief@|@πρωτοστάτης -ου -ὁ@
@chief priest@|@ἀρχιερεύς -έως -ὁ@
@chief tax-gatherer@|@ἀρχιτελώνης -ου -ὁ -@
@child@|@γέννημα -ατος -τό, νήπιος -α -ον@
@child bearing@|@τεκνογονία -ας -ἡ@
@childless@|@ἄτεκνος -ον@
@Chios@|@Χίος -ου -ἡ@
@chip of wood@|@κάρφος -ους -τό@
@Chloe@|@Χλόη -ης -ἡ@
@choice@|@ἐκλεκτός -ή -όν@
@choice by God@|@ἐκλογή -ῆς -ἡ@
@choke@|@ἀποπνίγω@
@choose@|@ἐξαιρέω, προχειρίζομαι@
@choose for myself@|@ἐπιλέγω@
@Chorazin@|@Χοραζίν -ἡ@
@chosen@|@ἐκλεκτός -ή -όν@
@church@|@ἐκκλησία -ας -ἡ@
@Chuza@|@Χουζᾶς -ᾶ -ὁ@
@Cilicia@|@Κιλικία -ας -ἡ@
@cinnamon@|@κινάμωμον -ου -τό@
@circumcision@|@περιτομή -ῆς -ἡ@
@citizen body@|@πολιτεία -ας -ἡ@
@citizenship@|@πολιτεία -ας -ἡ@
@clamor@|@κραυγή -ῆς -ἡ@
@Clauda@|@Κλαῦδη -ης -ἡ@
@Claudia@|@Κλαυδία -ας -ἡ@
@Claudius@|@Κλαύδιος -ου -ὁ@
@Claudius Lysias@|@Λυσίας -ου -ὁ@
@clay@|@πηλός -οῦ -ὁ@
@clean@|@καθαρός -ά -όν@
